	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.49.4486.01A.01R.1206.07	TCGA.49.4512.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.QXCU.0626.SM.2TC69	GTEX.U8XE.1426.SM.3DB8Q	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ASXL1	368.65	389.72	356.05	358.54	400.71	860.08	1119.56	693.58	490.14	473.41	583.07	607.87	708.18	583.07	866.07	884.29	909.17	547.75	297.17	587.13	575.03
B4GALNT3	82.87	88.88	11.47	140.04	152.28	1286.18	921.88	1745.2	120.1	202.66	301.33	353.59	490.14	429.54	262.2	551.56	808.0	371.22	117.6	417.77	896.64
B4GALT5	194.36	99.43	307.69	307.69	329.84	2178.83	2573.36	1977.24	591.22	974.5	896.64	395.18	1529.73	728.11	1191.69	1322.37	2178.83	629.35	525.39	1015.93	2367.9
BAHD1	169.07	153.34	94.67	239.52	211.31	1572.76	1081.39	808.0	529.06	426.57	406.31	444.72	563.18	341.51	802.41	738.29	921.88	303.44	181.28	429.54	1143.1
BATF3	27.05	12.27	19.25	128.79	285.03	743.43	144.01	353.59	155.5	341.51	134.3	143.01	638.15	101.54	260.38	301.33	368.65	67.59	116.78	114.36	417.77
BCL3	87.03	29.27	384.34	733.19	209.84	3235.01	3491.39	5633.22	1477.58	1832.01	1143.1	660.68	2520.38	1073.91	2609.3	3146.52	3372.43	896.64	954.43	1519.15	2061.24
BCL9L	29.48	14.89	105.15	124.37	185.11	2271.4	1561.89	6652.97	713.11	343.89	693.58	373.81	642.59	1059.11	1001.93	651.58	1923.14	325.29	236.21	400.71	2434.5
BMP2	14.45	13.52	19.68	129.69	381.68	7589.61	8778.97	3794.3	909.17	612.11	1651.0	392.44	1709.26	518.15	1617.0	4736.79	4388.98	325.29	303.44	854.13	3212.66
BRD4	202.66	50.27	532.74	297.17	246.28	1159.07	1662.49	1066.48	438.59	493.56	559.28	397.93	808.0	599.49	669.92	902.89	1037.29	323.03	239.52	679.29	1037.29
CAMSAP1	37.85	21.78	89.51	59.97	100.13	384.34	165.57	217.27	122.64	236.21	134.3	181.28	183.82	195.72	131.51	255.0	258.57	169.07	46.5	166.73	237.86
CCNK	108.9	130.6	384.34	698.41	361.04	1191.69	1844.76	1127.35	543.96	759.08	775.05	532.74	703.28	679.29	961.07	775.05	1167.14	500.46	432.53	651.58	896.64
CCRN4L	32.82	14.14	19.11	52.45	17.13	249.73	115.97	283.05	91.41	72.01	53.95	50.27	248.0	55.89	112.77	148.09	134.3	33.3	47.17	59.13	193.01
CD97	177.53	33.06	150.17	1685.71	2303.12	19618.49	3716.2	10014.87	8901.53	5672.41	7433.4	2061.24	6337.83	7911.95	15285.81	11424.74	6935.54	4704.07	2485.67	3039.3	12502.12
CDKN1A	2645.74	2485.67	2956.17	1457.23	988.12	7642.41	6250.56	5831.91	1477.58	2351.53	2209.26	2018.8	5147.73	2682.69	3395.89	6079.61	4512.4	1896.65	1369.04	2573.36	4937.99
CHD2	99.43	54.33	133.36	169.07	195.72	842.36	1883.54	587.13	314.17	395.18	376.41	409.15	493.56	476.71	866.07	738.29	909.17	480.04	283.05	406.31	525.39
CHRDL1	0.75	1.17	0.0	45.53	239.52	1870.53	9088.59	178.77	651.58	1008.9	1709.26	633.73	629.35	1295.13	4038.61	1977.24	1119.56	915.51	493.56	2739.08	3443.31
CHSY1	69.52	59.97	43.02	87.65	224.97	1135.2	1447.15	1340.84	397.93	466.88	409.15	218.79	1023.0	368.65	651.58	607.87	1388.16	249.73	291.04	684.02	836.53
CLCF1	221.86	2.84	27.05	218.79	54.72	1832.01	511.0	305.55	251.48	159.9	162.14	57.08	547.75	73.54	384.34	813.63	728.11	123.5	180.02	63.0	454.09
CLSTN2	3.66	0.0	5.02	0.55	7.46	48.18	90.77	7.28	49.56	30.56	37.59	53.19	24.28	8.13	11.47	35.25	9.27	6.31	23.93	43.02	46.5
CSNK1D	830.75	223.41	1259.69	2061.24	1322.37	4268.94	8901.53	2335.28	1896.65	2682.69	1733.13	1350.18	3039.3	1977.24	4671.57	3235.01	2997.45	1594.73	1183.45	1639.59	3146.52
CXXC11	0.0	0.0	0.0	0.82	0.0	8.71	7.75	5.32	1.13	2.46	2.01	3.41	0.36	2.18	4.43	2.78	1.22	3.08	1.36	0.36	2.97
DDX24	1051.79	1030.12	1781.89	2468.49	1977.24	3491.39	5672.41	2434.5	2163.77	2573.36	2255.7	3235.01	2193.99	2609.3	2537.92	3257.52	4802.93	2816.11	2209.26	2178.83	3467.27
DEDD	325.29	312.0	878.17	607.87	543.96	1268.46	1037.29	842.36	669.92	638.15	759.08	587.13	866.07	595.34	961.07	813.63	988.12	638.15	748.61	872.1	928.3
DGKD	35.0	9.63	115.16	368.65	169.07	3901.01	1369.04	1277.29	341.51	759.08	336.79	271.48	759.08	301.33	769.69	518.15	2384.37	329.84	101.54	361.04	1561.89
DIAPH1	536.45	642.59	1508.65	1081.39	1519.15	3103.19	4152.18	2835.7	1950.0	1896.65	1508.65	1304.15	2303.12	1498.22	2163.77	1963.57	3540.14	1498.22	1259.69	1540.37	2664.15
DOT1L	14.35	17.0	56.68	35.0	65.26	1081.39	444.72	490.14	371.22	348.71	305.55	269.6	529.06	309.83	470.14	353.59	599.49	205.5	108.14	262.2	688.78
DUSP14	293.07	156.59	162.14	277.2	283.05	1467.37	287.01	426.57	603.67	209.84	236.21	138.1	1104.13	518.15	679.29	616.37	521.76	373.81	297.17	269.6	1250.98
EHD1	169.07	127.0	277.2	392.44	995.0	4268.94	1870.53	10154.69	2417.67	1331.57	1081.39	902.89	3639.7	2178.83	1628.26	921.88	4066.71	1088.92	1127.35	1369.04	3395.89
EIF3B	866.07	454.09	1397.83	1832.01	1350.18	4639.29	5076.84	3443.31	1806.78	3190.46	1322.37	1572.76	3212.66	2104.58	1519.15	2240.11	3982.99	1477.58	1167.14	1437.15	2720.15
ELK1	420.68	339.14	423.61	258.57	371.22	579.04	753.83	988.12	397.93	536.45	540.19	327.56	500.46	420.68	412.0	420.68	503.95	486.75	403.5	518.15	813.63
ELL	71.0	41.22	64.8	86.43	93.35	384.34	381.68	343.89	176.29	193.01	186.4	172.65	253.23	173.85	220.32	226.54	325.29	172.65	132.44	220.32	279.14
EMP1	329.84	185.11	80.57	1936.53	5041.77	39785.74	23169.48	13123.73	2645.74	5954.47	3060.45	1551.09	5954.47	2591.27	16157.44	14065.74	16383.0	3794.3	5292.48	2591.27	14163.58
ETS2	97.36	178.77	348.71	1407.55	1199.98	6381.92	12764.83	8778.97	2796.65	2104.58	2240.11	1781.89	3491.39	3515.68	4010.71	3982.99	8022.41	1857.6	1572.76	3491.39	4869.99
ETV3	30.34	30.34	118.43	133.36	198.47	651.58	866.07	728.11	406.31	320.8	376.41	236.21	435.55	432.53	403.5	348.71	587.13	277.2	226.54	329.84	384.34
FAM107A	82.29	134.3	54.72	127.89	373.81	19482.97	9344.14	753.83	1388.16	3614.55	5366.37	2997.45	2915.45	3395.89	9474.59	11745.96	3349.13	4575.41	4575.41	6607.01	12589.08
FAM83G	87.03	14.78	105.15	49.21	49.21	848.22	169.07	346.29	151.22	244.57	197.09	92.05	441.64	117.6	185.11	191.67	358.54	132.44	49.91	107.38	547.75
FOSL1	5.5	0.0	0.78	100.83	10.88	3955.48	718.08	921.88	169.07	591.22	63.45	36.53	896.64	45.53	684.02	684.02	1313.23	77.79	59.13	48.18	2367.9
FOSL2	529.06	178.77	551.56	684.02	314.17	3515.68	5329.3	2609.3	607.87	1268.46	1119.56	878.17	2758.13	1096.5	2163.77	2485.67	2758.13	713.11	748.61	1794.29	3235.01
GADD45B	2193.99	3039.3	703.28	1662.49	1378.57	10659.59	12764.83	12589.08	3018.3	4038.61	2664.15	2224.63	5219.6	3639.7	6381.92	11424.74	10512.82	6381.92	2047.0	5183.54	4736.79
GDF5OS	0.0	0.0	0.0	0.0	0.0	2.73	1.23	0.49	0.0	1.06	1.58	0.48	0.0	0.0	2.48	1.91	1.55	0.33	0.34	0.0	1.46
HAPLN3	18.03	4.39	20.56	25.91	166.73	334.46	379.04	656.11	71.0	99.43	65.26	68.07	476.71	69.03	104.42	175.07	297.17	28.04	96.68	187.71	281.09
HBEGF	56.28	24.81	24.28	444.72	277.2	3639.7	1551.09	3982.99	1135.2	669.92	866.07	728.11	2796.65	1487.87	3419.52	1781.89	2739.08	620.67	426.57	902.89	1216.75
HELZ2	33.3	12.09	152.28	111.99	149.12	2303.12	1008.9	543.96	872.1	376.41	389.72	255.0	1757.34	373.81	511.0	791.35	2193.99	379.04	84.63	423.61	1008.9
HIPK3	412.0	221.86	154.42	363.56	688.78	1662.49	1936.53	723.08	503.95	616.37	1135.2	559.28	961.07	738.29	1322.37	1208.34	1733.13	575.03	473.41	995.0	1225.22
HIVEP1	80.57	20.86	133.36	100.83	95.34	884.29	420.68	660.68	348.71	191.67	297.17	165.57	616.37	214.27	303.44	470.14	660.68	151.22	193.01	341.51	551.56
HIVEP2	39.22	4.28	24.28	58.71	59.55	633.73	441.64	490.14	177.53	156.59	181.28	113.56	334.46	136.19	241.19	220.32	460.44	123.5	80.01	161.02	532.74
HMCES	470.14	287.01	796.86	941.27	934.76	2997.45	1662.49	1605.83	1127.35	738.29	1023.0	860.08	1119.56	1208.34	1733.13	1397.83	2271.4	1216.75	848.22	713.11	2047.0
ICAM1	58.71	47.17	212.78	967.76	2956.17	42346.82	28132.47	158046.64	9673.69	8963.45	6121.9	2758.13	28923.41	3847.29	18689.27	13123.73	79572.48	4298.64	3467.27	7180.15	29124.6
IFNLR1	16.15	26.86	35.76	26.86	21.94	312.0	135.24	373.81	126.12	206.94	182.55	155.5	215.77	127.89	202.66	182.55	180.02	157.68	47.84	72.01	209.84
IRF1	251.48	162.14	366.09	624.99	1498.22	3372.43	3018.3	7857.29	2645.74	1794.29	1437.15	974.5	6250.56	1295.13	2777.33	2720.15	4038.61	1397.83	1037.29	2061.24	2240.11
ITPKC	180.02	145.02	119.26	1457.23	253.23	4671.57	3955.48	2645.74	567.1	1697.45	825.0	612.11	1397.83	947.83	2271.4	3639.7	1936.53	915.51	713.11	2209.26	2796.65
KIAA0226	52.08	50.27	72.52	101.54	99.43	403.5	241.19	204.07	191.67	119.26	215.77	201.25	258.57	205.5	299.25	191.67	258.57	198.47	93.35	182.55	295.11
KIAA0247	132.44	208.38	161.02	312.0	559.28	1662.49	2796.65	2739.08	878.17	934.76	890.44	633.73	1477.58	896.64	1167.14	1059.11	2209.26	603.67	591.22	1111.82	1259.69
KIRREL	25.35	5.54	7.94	24.99	154.42	457.25	1159.07	209.84	212.78	246.28	171.45	115.97	583.07	152.28	242.88	429.54	466.88	209.84	297.17	555.41	753.83
KISS1	5.96	8.58	75.64	3.76	7.69	134.3	37.59	83.45	16.63	52.82	20.41	33.78	42.11	33.06	28.65	88.26	138.1	7.75	28.45	17.51	18.56
KLF16	40.64	35.5	74.06	121.79	108.9	483.38	295.11	262.2	256.78	217.27	171.45	142.01	320.8	172.65	197.09	454.09	392.44	164.42	131.51	229.72	242.88
KPNA7	0.37	0.0	0.0	47.5	9.06	224.97	5.11	20.26	12.83	7.06	18.84	3.63	65.26	19.68	25.17	116.78	41.22	36.79	27.05	19.39	130.6
LDLR	102.97	1950.0	555.41	878.17	1030.12	15715.58	6164.49	8134.41	3820.7	5594.3	3901.01	3325.99	10585.95	3982.99	9740.98	7642.41	5913.33	4095.0	4736.79	3515.68	8598.28
LITAF	28132.47	2303.12	1498.22	1295.13	4358.66	10154.69	6983.79	8479.89	3847.29	5183.54	2976.74	2271.4	6935.54	3212.66	3955.48	4038.61	7032.37	3103.19	2400.97	3614.55	8718.32
LRTM2	0.0	0.0	0.0	0.0	0.0	6.16	7.46	0.27	0.0	0.03	0.0	0.04	0.0	0.03	1.58	0.77	1.53	0.04	0.0	0.26	1.57
MAP1S	232.94	255.0	236.21	1081.39	599.49	2209.26	1685.71	1457.23	854.13	1051.79	825.0	878.17	1359.57	981.29	1208.34	1437.15	2178.83	1135.2	1250.98	713.11	1896.65
MAP2K3	197.09	82.29	514.56	928.3	651.58	5255.91	2777.33	4836.35	1561.89	1896.65	1059.11	743.43	3081.75	1143.1	1819.35	1794.29	4298.64	1208.34	1088.92	915.51	5041.77
MAP3K9	4.06	1.95	48.52	36.53	19.25	157.68	115.97	107.38	82.29	68.55	64.34	72.01	124.37	63.0	92.05	83.45	137.14	48.18	46.5	56.28	153.34
MFHAS1	30.34	1.6	78.89	157.68	152.28	1477.58	1467.37	1119.56	348.71	341.51	480.04	232.94	743.43	295.11	579.04	759.08	2319.15	291.04	224.97	348.71	947.83
MGRN1	358.54	132.44	423.61	607.87	318.57	2758.13	1487.87	2032.85	1059.11	1540.37	1529.73	1977.24	1447.15	1111.82	1551.09	2319.15	1304.15	1340.84	1242.34	1268.46	2502.97
MLLT1	113.56	21.78	265.87	77.79	175.07	1870.53	878.17	1286.18	693.58	728.11	718.08	507.46	995.0	967.76	708.18	1286.18	629.35	583.07	170.25	802.41	1369.04
MMP19	3.82	2.03	7.51	115.16	289.02	19618.49	854.13	775.05	1008.9	1059.11	1015.93	796.86	825.0	785.88	7382.04	12415.75	1437.15	1662.49	1991.0	341.51	1977.24
MPZL3	9.27	19.97	71.5	103.69	127.89	583.07	651.58	595.34	135.24	224.97	185.11	141.02	318.57	224.97	358.54	460.44	366.09	197.09	157.68	214.27	244.57
NFKB2	100.13	67.59	267.73	287.01	260.38	988.12	1023.0	2664.15	842.36	555.41	497.0	289.02	1151.06	514.56	656.11	571.05	1151.06	447.82	356.05	733.19	878.17
NPLOC4	438.59	172.65	764.36	703.28	571.05	1498.22	2451.44	1427.22	769.69	1051.79	941.27	995.0	1216.75	808.0	1208.34	1208.34	1769.57	1030.12	656.11	1167.14	1388.16
NUP98	406.31	201.25	466.88	620.67	511.0	1870.53	2739.08	1508.65	733.19	896.64	629.35	703.28	1037.29	848.22	1127.35	1143.1	1529.73	660.68	583.07	733.19	1709.26
OASL	13.62	11.55	131.51	46.5	521.76	961.07	381.68	361.04	836.53	363.56	521.76	791.35	633.73	94.01	283.05	825.0	1030.12	253.23	60.82	102.25	693.58
P2RY11	12.45	10.71	57.89	39.79	109.66	620.67	1467.37	379.04	287.01	356.05	100.13	166.73	555.41	202.66	269.6	503.95	536.45	108.9	186.4	96.68	289.02
PAPD7	44.89	24.81	111.99	115.97	129.69	417.77	1427.22	327.56	283.05	201.25	260.38	215.77	368.65	309.83	466.88	473.41	563.18	193.01	195.72	295.11	171.45
PIM1	638.15	400.71	353.59	287.01	450.94	2855.44	2255.7	2319.15	981.29	1135.2	620.67	444.72	2855.44	764.36	1477.58	2163.77	1295.13	591.22	780.44	642.59	1127.35
POM121	186.4	31.45	164.42	139.07	151.22	1397.83	3124.78	1023.0	486.75	669.92	511.0	559.28	759.08	665.29	679.29	866.07	1119.56	327.56	177.53	642.59	1225.22
POM121C	205.5	68.55	144.01	221.86	208.38	1519.15	2758.13	759.08	376.41	693.58	559.28	490.14	669.92	497.0	785.88	647.07	954.43	239.52	153.34	651.58	1242.34
PPRC1	109.66	30.78	147.06	361.04	180.02	1883.54	1369.04	1008.9	607.87	1008.9	473.41	444.72	1208.34	521.76	854.13	1175.27	1350.18	358.54	460.44	503.95	1135.2
PRKCG	0.0	0.0	0.0	0.0	0.0	11.3	2.34	0.19	1.66	0.16	0.0	0.0	0.16	1.69	0.92	3.35	3.86	0.44	0.47	2.2	4.86
RBM12	234.57	158.79	201.25	368.65	420.68	1369.04	1008.9	693.58	607.87	651.58	595.34	603.67	878.17	802.41	723.08	902.89	1044.52	480.04	363.56	708.18	1199.98
RELA	808.0	417.77	713.11	1023.0	825.0	2075.59	2520.38	2061.24	1437.15	1437.15	1628.26	1268.46	1909.85	1572.76	1844.76	2061.24	2178.83	1295.13	1037.29	1540.37	2163.77
RELL1	50.27	34.75	18.97	2.73	85.82	1001.93	718.08	476.71	99.43	190.34	297.17	135.24	186.4	110.43	275.28	197.09	718.08	91.41	100.83	309.83	629.35
REXO1	79.45	25.91	138.1	134.3	94.67	830.75	2178.83	490.14	441.64	414.87	454.09	414.87	647.07	348.71	507.46	733.19	708.18	297.17	255.0	454.09	299.25
RNF114	1437.15	1030.12	1066.48	728.11	1208.34	1417.35	2468.49	1378.57	1059.11	1127.35	1066.48	974.5	1119.56	896.64	1225.22	1388.16	1417.35	941.27	961.07	1030.12	1175.27
RP11-468E2.4	0.42	1.23	5.73	2.1	7.69	49.21	37.32	11.13	13.03	9.41	9.93	4.46	41.22	13.93	16.88	20.26	37.32	9.13	1.87	16.27	4.35
SAMD4B	674.59	305.55	748.61	1697.45	713.11	3018.3	2997.45	2720.15	1519.15	1088.92	974.5	1447.15	2075.59	1551.09	1467.37	2537.92	1781.89	947.83	1199.98	1127.35	2417.67
SAP30BP	703.28	559.28	928.3	1143.1	1030.12	2417.67	3794.3	1950.0	1757.34	1781.89	1467.37	1628.26	1936.53	1457.23	2451.44	1950.0	2119.22	1407.55	1388.16	1870.53	1832.01
SDC4	7803.01	9474.59	928.3	6381.92	8247.98	42346.82	33224.42	66912.05	10512.82	12853.63	13306.94	8363.13	14361.31	14561.8	15934.98	19348.38	30361.44	9279.58	11267.44	10512.82	24832.5
SERPINB9	35.25	18.03	30.12	37.05	183.82	392.44	486.75	796.86	224.97	161.02	138.1	105.89	400.71	161.02	295.11	220.32	490.14	137.14	223.41	205.5	356.05
SERPINE1	98.04	23.25	514.56	351.14	173.85	8538.88	3419.52	7081.29	429.54	909.17	842.36	224.97	941.27	693.58	3103.19	4358.66	5751.61	656.11	223.41	620.67	5517.27
SFTPA2	1.89	0.0	0.0	55491.3	254974.66	6014443.23	4051429.61	3995652.37	3806410.22	2171106.91	5163792.94	3526974.2	3313672.43	2654482.97	2786455.11	5163792.94	2825352.59	1775752.63	2617937.91	3406832.48	4051429.61
SGMS2	329.84	53.19	87.03	384.34	507.46	15499.21	3168.41	2956.17	1216.75	1313.23	2468.49	1008.9	3168.41	1259.69	3982.99	5913.33	4152.18	1023.0	830.75	1143.1	7280.4
SH2D3A	9.06	149.12	46.5	426.57	361.04	842.36	780.44	1923.14	500.46	633.73	447.82	579.04	808.0	555.41	555.41	693.58	1066.48	480.04	358.54	575.03	1059.11
SIK3	116.78	61.68	432.53	117.6	186.4	503.95	647.07	579.04	293.07	273.37	341.51	297.17	309.83	314.17	336.79	397.93	392.44	267.73	218.79	271.48	392.44
SLC41A1	70.51	26.86	10.0	281.09	264.03	1447.15	1806.78	1340.84	703.28	497.0	698.41	497.0	836.53	603.67	764.36	961.07	1628.26	389.72	466.88	629.35	1340.84
SLC8A2	0.0	1.55	0.0	0.96	0.0	22.75	42.41	3.99	0.0	4.28	0.0	3.0	11.3	8.92	1.3	5.96	15.45	1.77	0.0	0.91	19.25
SMURF1	289.02	77.79	159.9	239.52	187.71	1159.07	1923.14	743.43	334.46	265.87	450.94	307.69	543.96	309.83	567.1	669.92	915.51	314.17	181.28	470.14	603.67
SNX9	599.49	164.42	246.28	395.18	299.25	307.69	743.43	483.38	275.28	309.83	320.8	275.28	323.03	251.48	435.55	356.05	507.46	279.14	271.48	480.04	728.11
SPEN	34.26	17.0	208.38	159.9	178.77	1167.14	2739.08	743.43	642.59	432.53	665.29	624.99	595.34	743.43	813.63	1081.39	934.76	406.31	414.87	490.14	808.0
SRSF4	258.57	99.43	733.19	896.64	808.0	2104.58	5751.61	1936.53	1191.69	1685.71	1561.89	1378.57	1806.78	1583.71	2047.0	1733.13	2537.92	974.5	1159.07	1819.35	1745.2
SSH1	45.21	36.53	105.15	58.71	85.82	624.99	830.75	633.73	241.19	275.28	269.6	221.86	503.95	242.88	346.29	361.04	780.44	204.07	169.07	334.46	607.87
ST3GAL1	438.59	406.31	1883.54	551.56	214.27	3515.68	6337.83	2573.36	567.1	1286.18	902.89	555.41	2163.77	497.0	1519.15	2178.83	808.0	547.75	384.34	454.09	1896.65
SUPT6H	146.03	47.84	356.05	373.81	363.56	1519.15	3372.43	1135.2	579.04	708.18	651.58	743.43	961.07	842.36	1250.98	941.27	1388.16	547.75	318.57	1023.0	981.29
SYN1	56.28	0.0	1.1	4.35	4.98	85.82	28.24	78.34	18.43	16.39	8.92	5.87	24.11	4.7	5.41	20.86	61.25	4.39	18.43	10.24	37.05
THBS1	199.85	22.59	132.44	202.66	567.1	18950.18	7966.99	9876.98	1259.69	3564.78	1561.89	947.83	7032.37	2303.12	7331.05	6294.04	11424.74	1233.75	819.3	4038.61	13399.51
TNFRSF12A	1781.89	723.08	536.45	1617.0	1963.57	12502.12	3467.27	7230.1	2935.74	2573.36	1896.65	796.86	6294.04	1572.76	4836.35	5147.73	7130.55	1378.57	1250.98	915.51	11112.3
TOP1	348.71	221.86	406.31	1313.23	738.29	4736.79	2351.53	2855.44	961.07	1844.76	1508.65	769.69	1923.14	890.44	2351.53	1936.53	2335.28	1111.82	642.59	1096.5	3467.27
TP53BP2	72.52	82.29	435.55	217.27	341.51	1277.29	954.43	1175.27	543.96	497.0	679.29	483.38	674.59	507.46	954.43	547.75	890.44	490.14	454.09	748.61	967.76
TRH	0.37	0.0	0.96	1.71	4.74	13.22	43.02	7.75	0.0	2.07	4.78	0.0	2.27	1.46	3.35	2.46	7.63	1.73	0.6	1.45	0.0
URGCP	339.14	163.28	242.88	325.29	269.6	947.83	684.02	346.29	647.07	497.0	521.76	503.95	764.36	536.45	379.04	409.15	660.68	444.72	361.04	571.05	866.07
USP36	232.94	57.08	218.79	241.19	348.71	1023.0	1487.87	1001.93	426.57	808.0	435.55	409.15	713.11	397.93	1051.79	638.15	825.0	348.71	289.02	438.59	743.43
USP42	72.01	28.65	34.75	49.21	63.45	150.17	172.65	94.01	111.99	80.57	111.21	85.22	191.67	131.51	147.06	124.37	143.01	75.11	60.39	134.3	134.3
YBX3	2163.77	2163.77	432.53	4639.29	4298.64	11189.6	15392.14	21172.91	3665.02	5872.48	4736.79	3395.89	7642.41	5791.62	6381.92	7230.1	13399.51	3235.01	3303.0	5041.77	12589.08
ZBED4	21.32	15.45	58.71	94.01	78.89	256.78	312.0	165.57	112.77	119.26	147.06	89.51	212.78	165.57	218.79	166.73	229.72	110.43	64.8	116.78	223.41
ZBTB21	70.51	47.5	24.99	56.68	63.45	353.59	371.22	244.57	129.69	162.14	158.79	143.01	220.32	147.06	209.84	221.86	202.66	100.13	78.34	217.27	201.25
ZNFX1	111.21	51.35	251.48	99.43	249.73	1551.09	1286.18	723.08	647.07	571.05	688.78	417.77	1199.98	473.41	802.41	555.41	1709.26	400.71	223.41	607.87	1427.22
ZSWIM6	93.35	72.52	21.94	63.89	89.51	299.25	279.14	295.11	136.19	127.89	187.71	92.7	187.71	107.38	221.86	195.72	265.87	117.6	100.83	147.06	249.73
