	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.UY.A78P.01A.12R.A36F.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.50.5045.01A.01R.1628.07	TCGA.35.4122.01A.01R.1107.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.OHPK.1526.SM.3MJGM	GTEX.POMQ.0826.SM.3P61H
B3GAT2	1.17	0.97	1.57	1.77	2.61	0.32	1.39	8.65	14.45	5.45	8.92	5.87	1.14	5.87	6.73	6.01	11.82	14.14	18.56	5.73	10.24	7.46	5.96	1.5	0.82	2.92	0.95	0.72	3.23	1.38	1.25	0.87	2.97	13.93	1.83	8.92	15.56	2.76	20.41	13.72	4.62	10.88	22.26	22.59	5.23	6.46	20.11	11.64	4.82	13.72	11.13	6.31	8.0
BAZ2A	187.71	341.51	314.17	301.33	320.8	169.07	470.14	802.41	258.57	599.49	414.87	457.25	271.48	470.14	738.29	698.41	1250.98	1519.15	967.76	1066.48	1111.82	1096.5	1096.5	264.03	49.21	232.94	198.47	309.83	283.05	165.57	234.57	103.69	759.08	1457.23	759.08	1745.2	1447.15	679.29	1388.16	1073.91	836.53	884.29	1909.85	1551.09	616.37	866.07	1745.2	830.75	1001.93	1304.15	961.07	633.73	1030.12
BIVM-ERCC5	0.0	0.0	1.31	0.0	0.0	0.0	25.17	7.94	3.03	7.57	21.94	8.99	0.0	0.0	34.02	108.9	90.14	151.22	114.36	7.94	29.48	22.43	23.42	0.0	0.0	15.34	0.0	0.0	0.0	8.71	1.77	0.0	63.89	190.34	4.31	75.11	148.09	29.27	145.02	190.34	48.18	251.48	165.57	226.54	52.08	152.28	214.27	97.36	130.6	76.71	112.77	92.05	100.83
BPTF	551.56	323.03	412.0	426.57	476.71	185.11	389.72	521.76	543.96	775.05	753.83	713.11	312.0	595.34	563.18	1030.12	1015.93	1119.56	848.22	536.45	624.99	708.18	679.29	309.83	54.72	205.5	277.2	312.0	289.02	139.07	301.33	78.89	753.83	1498.22	603.67	842.36	1794.29	718.08	1781.89	1628.26	1268.46	2400.97	1870.53	1313.23	693.58	1151.06	1639.59	1844.76	896.64	884.29	780.44	703.28	836.53
C19orf55	124.37	84.04	45.85	164.42	62.12	55.89	444.72	111.21	78.34	162.14	162.14	161.02	78.34	205.5	273.37	358.54	432.53	454.09	291.04	327.56	295.11	361.04	417.77	94.01	19.82	42.11	38.12	38.12	116.78	226.54	94.01	20.11	289.02	579.04	249.73	147.06	665.29	206.94	426.57	575.03	511.0	638.15	669.92	651.58	228.13	476.71	575.03	647.07	555.41	269.6	341.51	232.94	432.53
C1orf195	0.0	2.53	0.0	2.03	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96	2.16	3.17	3.69	0.21	3.63	3.08	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.04	1.2	10.96	4.86	0.0	8.78	22.75	9.78	9.41	8.51	3.53	1.48	31.45	27.05	14.78	12.74	18.03	16.15	0.0	0.0
C3orf35	6.73	5.45	5.36	14.67	4.24	0.95	7.63	9.27	13.32	28.04	28.45	21.78	4.94	16.39	19.11	15.22	25.54	26.86	32.59	16.15	15.68	14.14	18.56	5.32	1.25	13.42	10.96	4.13	9.34	2.01	0.93	0.0	6.73	36.79	21.94	47.5	31.45	10.24	99.43	67.59	18.56	12.93	34.51	48.18	10.39	24.99	81.71	16.63	63.0	35.0	17.77	12.64	10.71
C9orf38	0.0	0.0	0.0	0.29	0.65	0.0	0.68	0.61	2.05	0.28	0.4	0.37	0.0	0.0	0.0	0.64	0.11	0.92	0.92	0.15	0.47	1.3	0.35	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	9.13	0.43	6.94	11.04	2.05	5.82	9.41	2.1	8.65	12.83	3.96	2.89	6.57	6.16	3.69	4.66	4.74	1.13	0.0	1.93
CLEC16A	198.47	158.79	142.01	454.09	220.32	156.59	242.88	368.65	277.2	297.17	202.66	262.2	136.19	190.34	242.88	202.66	251.48	291.04	518.15	161.02	262.2	295.11	244.57	209.84	127.0	303.44	164.42	229.72	181.28	116.78	149.12	74.58	412.0	460.44	301.33	253.23	540.19	232.94	334.46	463.65	283.05	363.56	529.06	563.18	178.77	255.0	457.25	376.41	248.0	275.28	373.81	301.33	277.2
CNNM3	120.1	99.43	114.36	312.0	147.06	197.09	231.32	146.03	215.77	435.55	260.38	426.57	110.43	301.33	371.22	647.07	366.09	595.34	368.65	426.57	309.83	237.86	343.89	78.34	45.53	336.79	323.03	279.14	149.12	133.36	139.07	44.57	334.46	493.56	890.44	713.11	647.07	242.88	656.11	878.17	454.09	808.0	872.1	503.95	490.14	941.27	836.53	780.44	540.19	629.35	872.1	332.14	395.18
CREBBP	206.94	102.25	124.37	127.89	164.42	109.66	237.86	126.12	231.32	470.14	256.78	255.0	151.22	201.25	373.81	351.14	392.44	529.06	728.11	248.0	368.65	486.75	414.87	134.3	64.8	156.59	98.04	119.26	187.71	64.8	125.24	68.07	450.94	1015.93	490.14	412.0	1340.84	476.71	555.41	1331.57	420.68	819.3	1457.23	878.17	301.33	507.46	1015.93	647.07	536.45	540.19	567.1	438.59	493.56
DNAJC13	191.67	273.37	185.11	429.54	221.86	171.45	403.5	183.82	198.47	226.54	249.73	287.01	234.57	249.73	376.41	397.93	384.34	460.44	450.94	318.57	307.69	371.22	293.07	384.34	93.35	208.38	236.21	125.24	212.78	190.34	214.27	144.01	256.78	629.35	214.27	397.93	583.07	373.81	529.06	547.75	438.59	384.34	591.22	555.41	336.79	660.68	486.75	483.38	450.94	387.02	291.04	325.29	423.61
DNAJC16	67.59	76.71	50.27	98.73	103.69	75.64	193.01	215.77	157.68	185.11	130.6	151.22	67.59	102.97	183.82	325.29	163.28	166.73	251.48	173.85	137.14	135.24	197.09	81.71	49.21	115.16	201.25	105.15	99.43	78.89	80.57	40.07	237.86	341.51	185.11	262.2	376.41	202.66	299.25	373.81	241.19	379.04	417.77	275.28	246.28	303.44	339.14	269.6	182.55	180.02	301.33	175.07	218.79
EBLN2	0.33	1.0	1.6	4.17	2.32	0.65	8.71	25.54	6.21	22.1	18.7	16.75	1.83	13.22	24.63	43.02	47.17	57.49	55.89	43.94	34.26	27.64	24.81	2.46	0.0	0.0	0.0	1.23	11.38	2.73	1.57	0.0	9.48	68.55	37.59	65.72	68.55	11.73	48.52	59.97	23.25	74.06	64.34	45.85	39.79	56.68	68.55	56.68	53.57	90.14	28.45	14.67	27.05
ELF1	273.37	277.2	197.09	457.25	567.1	267.73	642.59	995.0	1651.0	890.44	368.65	769.69	173.85	432.53	647.07	915.51	703.28	896.64	1199.98	679.29	1286.18	1268.46	1044.52	423.61	361.04	223.41	161.02	412.0	684.02	555.41	607.87	395.18	890.44	1378.57	733.19	753.83	1359.57	819.3	928.3	1175.27	1001.93	1427.22	1519.15	1259.69	961.07	1304.15	1199.98	921.88	884.29	624.99	1143.1	941.27	743.43
EP300	134.3	71.5	114.36	121.79	171.45	99.43	253.23	211.31	224.97	316.37	262.2	239.52	107.38	187.71	363.56	384.34	348.71	603.67	693.58	389.72	325.29	521.76	669.92	127.0	28.24	115.97	132.44	91.41	145.02	63.89	137.14	67.12	511.0	813.63	358.54	688.78	941.27	429.54	848.22	620.67	476.71	723.08	866.07	921.88	373.81	583.07	476.71	748.61	341.51	423.61	674.59	406.31	423.61
FAM160A2	305.55	497.0	392.44	463.65	441.64	146.03	265.87	271.48	579.04	1066.48	759.08	890.44	262.2	796.86	669.92	1369.04	1088.92	1313.23	947.83	651.58	896.64	961.07	802.41	291.04	131.51	629.35	525.39	836.53	348.71	208.38	232.94	135.24	429.54	1127.35	420.68	1183.45	1096.5	616.37	1059.11	708.18	620.67	514.56	1277.29	1259.69	684.02	974.5	1199.98	902.89	684.02	595.34	860.08	665.29	728.11
GATAD2A	514.56	830.75	470.14	669.92	674.59	669.92	743.43	1304.15	808.0	376.41	651.58	743.43	480.04	698.41	791.35	1313.23	1030.12	1662.49	587.13	733.19	624.99	848.22	1175.27	684.02	65.26	514.56	493.56	444.72	536.45	283.05	723.08	137.14	866.07	1561.89	1151.06	723.08	1572.76	825.0	1111.82	1233.75	1350.18	1304.15	1909.85	1437.15	1073.91	1350.18	1427.22	1378.57	1417.35	708.18	947.83	830.75	854.13
GBF1	231.32	220.32	285.03	251.48	327.56	144.01	457.25	403.5	327.56	305.55	289.02	307.69	215.77	339.14	547.75	708.18	633.73	733.19	813.63	642.59	457.25	612.11	603.67	392.44	68.55	209.84	309.83	295.11	267.73	187.71	193.01	108.14	497.0	1059.11	629.35	638.15	995.0	551.56	583.07	629.35	620.67	1331.57	988.12	974.5	457.25	674.59	860.08	656.11	651.58	525.39	591.22	532.74	748.61
GLTSCR1L	27.84	40.93	59.97	75.11	57.89	26.86	102.97	76.17	139.07	242.88	92.05	55.49	12.36	114.36	138.1	167.9	85.82	103.69	214.27	167.9	124.37	98.73	231.32	44.89	5.02	43.32	49.56	32.59	74.58	38.12	44.57	15.11	142.01	265.87	215.77	103.69	371.22	133.36	158.79	291.04	124.37	279.14	412.0	283.05	518.15	226.54	193.01	198.47	314.17	149.12	113.56	127.0	134.3
GLYR1	438.59	267.73	190.34	389.72	497.0	409.15	575.03	1167.14	941.27	836.53	785.88	872.1	417.77	688.78	684.02	1340.84	571.05	848.22	1923.14	954.43	1023.0	941.27	733.19	480.04	255.0	518.15	295.11	444.72	567.1	417.77	351.14	248.0	1199.98	1369.04	1059.11	769.69	1639.59	764.36	642.59	1991.0	830.75	1583.71	1781.89	1242.34	603.67	872.1	1529.73	1199.98	1044.52	780.44	1127.35	1359.57	1662.49
GOLGA3	183.82	244.57	236.21	379.04	314.17	77.25	633.73	234.57	231.32	327.56	500.46	232.94	183.82	316.37	379.04	353.59	438.59	363.56	314.17	332.14	249.73	312.0	420.68	246.28	70.51	271.48	182.55	198.47	262.2	142.01	237.86	69.03	363.56	860.08	366.09	301.33	1023.0	258.57	620.67	825.0	503.95	941.27	1044.52	872.1	297.17	384.34	647.07	463.65	457.25	463.65	674.59	483.38	457.25
GPATCH8	108.14	95.34	124.37	103.69	120.1	123.5	246.28	164.42	154.42	256.78	212.78	228.13	124.37	275.28	323.03	490.14	441.64	529.06	660.68	229.72	320.8	384.34	381.68	126.12	14.78	61.68	82.29	40.36	127.0	74.06	95.34	30.56	287.01	543.96	128.79	373.81	688.78	237.86	395.18	620.67	327.56	483.38	728.11	521.76	229.72	426.57	718.08	460.44	356.05	403.5	392.44	234.57	239.52
HELZ	107.38	77.25	67.59	84.63	69.52	74.58	114.36	57.49	61.68	130.6	146.03	122.64	63.45	104.42	132.44	156.59	161.02	232.94	244.57	83.45	144.01	147.06	142.01	43.94	11.64	51.35	40.36	60.82	82.87	91.41	53.57	41.52	158.79	381.68	106.63	183.82	403.5	224.97	412.0	361.04	273.37	397.93	409.15	325.29	162.14	279.14	400.71	237.86	229.72	176.29	206.94	106.63	127.0
IFRG15	0.0	0.0	0.0	8.32	0.0	48.87	57.49	307.69	23.08	54.72	53.95	22.1	0.0	0.0	48.52	44.25	35.5	41.52	20.56	29.91	27.44	115.16	104.42	27.64	0.0	0.0	0.0	0.0	0.0	38.12	14.78	0.0	406.31	267.73	21.78	115.97	244.57	79.45	153.34	432.53	39.5	470.14	162.14	486.75	175.07	110.43	403.5	175.07	92.7	43.32	237.86	165.57	86.43
INO80D	25.17	25.17	23.08	33.3	36.01	20.71	35.25	48.87	77.25	61.68	63.89	44.25	25.17	63.0	71.5	85.22	113.56	126.12	148.09	71.5	77.79	112.77	111.99	26.67	7.06	24.11	21.47	16.63	22.59	13.52	19.25	9.63	64.8	215.77	87.65	115.16	191.67	60.82	118.43	151.22	78.34	190.34	239.52	182.55	83.45	132.44	180.02	114.36	91.41	66.18	152.28	74.58	70.01
KBTBD7	22.26	19.39	30.34	49.91	66.18	28.45	64.8	50.98	65.72	120.1	88.88	45.53	18.16	43.02	60.39	65.26	69.52	55.89	100.83	40.36	127.89	50.27	50.27	22.26	25.72	41.22	29.7	47.5	35.76	19.82	45.21	19.82	69.52	69.52	75.64	129.69	119.26	45.21	150.17	111.21	71.0	463.65	111.21	159.9	86.43	135.24	139.07	111.21	139.07	78.89	39.22	67.12	88.88
KIAA0556	73.03	46.18	81.71	173.85	68.55	73.54	137.14	234.57	183.82	500.46	191.67	202.66	66.18	132.44	182.55	193.01	175.07	211.31	260.38	111.99	172.65	212.78	202.66	94.67	15.34	87.03	78.34	73.03	90.77	69.03	59.13	34.26	264.03	438.59	167.9	267.73	387.02	138.1	202.66	476.71	206.94	624.99	316.37	353.59	214.27	226.54	435.55	348.71	320.8	244.57	307.69	239.52	348.71
KLHL11	6.46	1.31	1.3	6.52	4.9	10.08	21.94	12.83	10.16	21.32	21.16	8.85	4.1	6.57	29.48	37.32	48.52	47.5	75.11	30.78	20.26	25.54	42.11	7.06	0.74	1.38	4.7	4.39	16.27	14.56	5.73	4.7	54.72	102.97	21.63	59.97	121.79	47.84	82.87	120.94	76.71	348.71	111.99	161.02	43.94	70.01	128.79	90.14	75.11	33.06	108.14	24.99	44.25
KMT2B	31.22	36.79	23.93	72.01	35.25	29.48	138.1	39.22	46.18	103.69	132.44	66.18	32.36	85.82	176.29	223.41	215.77	218.79	201.25	145.02	150.17	169.07	187.71	45.21	3.96	39.79	32.36	48.87	43.63	72.01	41.81	6.52	116.78	239.52	191.67	100.83	273.37	107.38	152.28	178.77	154.42	283.05	295.11	236.21	61.68	150.17	251.48	246.28	166.73	133.36	131.51	126.12	158.79
KMT2D	77.79	165.57	137.14	180.02	191.67	87.03	309.83	273.37	273.37	373.81	368.65	316.37	79.45	486.75	486.75	769.69	1001.93	679.29	500.46	438.59	466.88	412.0	599.49	191.67	31.22	182.55	120.1	152.28	177.53	35.0	153.34	22.26	463.65	988.12	633.73	480.04	1350.18	320.8	896.64	934.76	679.29	1119.56	1242.34	1051.79	363.56	651.58	599.49	981.29	708.18	738.29	842.36	595.34	642.59
KMT2E	253.23	111.99	81.14	201.25	167.9	88.26	371.22	249.73	258.57	540.19	173.85	361.04	96.01	234.57	376.41	514.56	808.0	743.43	1081.39	525.39	497.0	866.07	651.58	118.43	33.3	94.01	112.77	144.01	291.04	149.12	236.21	301.33	432.53	1216.75	511.0	607.87	1322.37	591.22	909.17	981.29	629.35	915.51	1769.57	1044.52	460.44	928.3	830.75	848.22	684.02	373.81	693.58	397.93	412.0
LATS1	73.54	69.03	55.1	100.83	78.34	81.71	124.37	74.06	143.01	149.12	157.68	95.34	53.19	139.07	172.65	127.0	232.94	229.72	269.6	167.9	202.66	195.72	164.42	76.71	24.63	45.53	57.49	95.34	100.83	77.25	59.97	69.03	191.67	353.59	106.63	249.73	447.82	186.4	373.81	409.15	232.94	656.11	420.68	334.46	260.38	211.31	218.79	258.57	246.28	169.07	206.94	163.28	159.9
LCN2	1159.07	1208.34	58250.19	318292.9	13123.73	5.41	217400.14	565825.41	1179708.33	706337.4	311742.51	280957.98	143.01	316094.29	542775.98	343510.77	313910.86	275175.93	606436.73	654483.73	1238359.56	336441.4	513497.31	33922.56	4.82	177811.84	85876.94	10959.3	4038.61	3982.99	3146.52	13586.57	425853.18	27745.15	1034138.94	565825.41	9606.86	1472666.19	593956.43	20310.37	244588.0	269512.87	199.85	525.39	431797.89	334117.42	48982.22	466008.55	301123.38	383800.28	305326.92	218912.29	301123.38
LINC00999	4.74	3.89	6.94	29.06	3.96	5.23	25.91	17.38	23.59	36.27	42.41	18.29	4.9	32.13	43.02	76.71	34.75	63.45	80.01	52.82	37.59	36.53	36.79	2.12	0.0	3.82	1.68	3.96	14.45	2.23	10.16	0.0	29.06	105.15	65.26	72.01	115.16	19.25	128.79	153.34	36.79	60.39	138.1	77.25	50.98	211.31	173.85	64.34	119.26	111.21	78.34	43.32	38.67
MDM4	85.82	76.17	135.24	85.82	68.07	12.09	102.97	84.63	108.14	172.65	167.9	167.9	61.25	244.57	176.29	232.94	348.71	376.41	208.38	181.28	195.72	190.34	234.57	36.27	15.8	154.42	78.34	48.52	117.6	48.87	88.88	37.85	166.73	830.75	122.64	244.57	878.17	209.84	454.09	884.29	226.54	486.75	1225.22	441.64	191.67	403.5	813.63	332.14	316.37	1037.29	241.19	167.9	237.86
MGRN1	295.11	224.97	260.38	438.59	381.68	191.67	642.59	239.52	307.69	688.78	563.18	775.05	178.77	500.46	909.17	1030.12	547.75	674.59	1427.22	591.22	656.11	616.37	624.99	323.03	132.44	638.15	423.61	1651.0	656.11	283.05	536.45	70.01	470.14	1467.37	981.29	941.27	1769.57	1295.13	928.3	1191.69	1159.07	988.12	1991.0	1369.04	723.08	896.64	1561.89	1467.37	1378.57	785.88	1143.1	866.07	1030.12
MON1B	246.28	435.55	334.46	532.74	309.83	232.94	318.57	129.69	224.97	379.04	490.14	444.72	269.6	256.78	497.0	444.72	361.04	473.41	733.19	348.71	563.18	441.64	444.72	236.21	96.01	217.27	341.51	283.05	289.02	229.72	234.57	155.5	567.1	915.51	595.34	490.14	1066.48	387.02	417.77	769.69	764.36	583.07	967.76	1051.79	473.41	802.41	1183.45	866.07	878.17	409.15	470.14	674.59	1037.29
MON2	131.51	124.37	135.24	180.02	177.53	84.63	218.79	275.28	305.55	312.0	299.25	334.46	214.27	211.31	275.28	220.32	363.56	466.88	320.8	170.25	366.09	397.93	320.8	149.12	66.65	139.07	119.26	180.02	248.0	114.36	138.1	111.21	251.48	825.0	141.02	297.17	708.18	262.2	457.25	595.34	314.17	547.75	915.51	438.59	164.42	406.31	500.46	525.39	403.5	334.46	414.87	361.04	318.57
MPHOSPH8	341.51	267.73	327.56	400.71	400.71	159.9	802.41	400.71	426.57	1127.35	638.15	420.68	285.03	591.22	629.35	848.22	866.07	503.95	961.07	356.05	1088.92	703.28	575.03	234.57	78.89	256.78	175.07	260.38	343.89	103.69	199.85	79.45	633.73	909.17	429.54	848.22	967.76	708.18	607.87	1175.27	679.29	848.22	1191.69	941.27	647.07	941.27	665.29	674.59	813.63	660.68	575.03	559.28	693.58
NPRL3	647.07	500.46	312.0	379.04	376.41	387.02	320.8	341.51	642.59	866.07	642.59	423.61	249.73	587.13	660.68	493.56	395.18	463.65	583.07	921.88	638.15	435.55	426.57	327.56	267.73	500.46	258.57	212.78	406.31	220.32	190.34	194.36	638.15	947.83	1167.14	514.56	1001.93	753.83	902.89	1151.06	532.74	884.29	1015.93	1044.52	432.53	1127.35	819.3	1216.75	728.11	713.11	1167.14	612.11	563.18
