	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.131XW.1126.SM.5EGK4	GTEX.13FTY.0126.SM.5J2NZ	GTEX.N7MS.0926.SM.2HMIZ	GTEX.145LU.0526.SM.5O9AT	GTEX.139UW.0226.SM.5K7WU	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.144GO.0226.SM.5LUB1	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.14E6C.2626.SM.5RQJP	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.14A5H.0726.SM.5Q5DW	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
DTYMK	0.21	161.02	79.45	136.19	267.73	122.64	211.31	204.07	185.11	178.77	159.9	191.67	91.41	110.43	426.57	447.82	460.44	376.41	312.0	376.41	228.13	356.05	438.59	267.73	346.29	151.22	140.04	358.54	287.01	269.6	256.78	426.57	289.02	346.29	466.88	334.46	86.43	389.72	134.3	406.31	447.82	271.48	356.05	447.82	363.56	267.73	381.68	299.25	392.44	332.14	269.6	395.18	275.28	132.44	376.41	229.72	334.46	267.73	457.25	403.5	320.8	348.71	190.34	551.56	432.53	255.0	251.48	334.46	287.01	291.04	470.14	316.37	429.54	358.54	156.59	336.79	275.28	218.79	351.14	332.14	356.05	281.09	339.14	432.53
DUOXA2	0.39	9.48	264.03	12.93	12.09	6.52	4.24	135.24	28.45	7.82	17.9	10.39	7.0	152.28	1745.2	2739.08	1628.26	1870.53	624.99	860.08	848.22	688.78	2148.82	260.38	1551.09	400.71	47.84	1407.55	120.1	316.37	379.04	2434.5	493.56	743.43	2163.77	1104.13	229.72	1487.87	131.51	1191.69	1268.46	486.75	1159.07	583.07	921.88	209.84	1030.12	231.32	2335.28	967.76	563.18	579.04	229.72	346.29	1457.23	988.12	3168.41	444.72	1757.34	703.28	1397.83	723.08	221.86	2875.3	2935.74	299.25	301.33	2255.7	332.14	1111.82	503.95	1008.9	1594.73	162.14	152.28	295.11	587.13	463.65	1001.93	1135.2	575.03	144.01	1369.04	3982.99
ECHS1	0.33	884.29	567.1	884.29	1388.16	591.22	728.11	961.07	884.29	780.44	934.76	1151.06	651.58	620.67	3716.2	3491.39	5006.93	3589.58	2720.15	3124.78	2555.58	2956.17	4239.45	2335.28	3257.52	2148.82	796.86	3540.14	2119.22	2591.27	1844.76	3124.78	2976.74	2701.35	2720.15	2664.15	1175.27	4298.64	830.75	3847.29	2935.74	2119.22	3372.43	2682.69	2609.3	2468.49	3018.3	2319.15	3060.45	3235.01	2555.58	3280.18	1844.76	974.5	3018.3	1950.0	2875.3	2609.3	3443.31	3039.3	2451.44	2148.82	1369.04	3847.29	3955.48	2400.97	1857.6	2664.15	2061.24	3039.3	3349.13	2956.17	4869.99	1844.76	1651.0	2434.5	2591.27	1674.06	3257.52	3124.78	2895.31	2255.7	3349.13	4419.52
EIF2B2	0.73	297.17	684.02	289.02	314.17	476.71	343.89	297.17	460.44	525.39	836.53	395.18	429.54	414.87	1397.83	2609.3	3124.78	2287.2	1183.45	1745.2	1883.54	1572.76	1909.85	2271.4	1617.0	1350.18	698.41	1477.58	1143.1	1073.91	954.43	1745.2	1487.87	1674.06	1745.2	1605.83	1159.07	2417.67	995.0	1950.0	1721.16	1427.22	2075.59	1977.24	1369.04	1304.15	1870.53	1111.82	1991.0	2895.31	1870.53	1639.59	1819.35	1467.37	1519.15	1697.45	1572.76	2193.99	2104.58	2468.49	1427.22	1519.15	1407.55	1832.01	2133.97	1407.55	1359.57	1896.65	1617.0	1487.87	1685.71	2061.24	2193.99	890.44	928.3	1151.06	1437.15	1369.04	1529.73	2018.8	2163.77	1651.0	2417.67	1936.53
ENDOG	0.16	116.78	180.02	108.9	120.94	88.26	115.97	156.59	75.11	139.07	212.78	125.24	109.66	122.64	389.72	379.04	356.05	218.79	379.04	435.55	379.04	460.44	241.19	242.88	379.04	155.5	148.09	223.41	197.09	262.2	237.86	351.14	339.14	476.71	480.04	525.39	118.43	567.1	180.02	293.07	387.02	312.0	473.41	291.04	291.04	197.09	295.11	204.07	376.41	633.73	251.48	164.42	309.83	148.09	775.05	201.25	366.09	153.34	693.58	267.73	351.14	312.0	183.82	723.08	532.74	334.46	432.53	289.02	309.83	376.41	703.28	285.03	665.29	96.68	136.19	336.79	301.33	244.57	500.46	242.88	312.0	152.28	267.73	265.87
FAM195B	0.92	1378.57	928.3	1806.78	1651.0	1111.82	1674.06	1498.22	2004.85	1066.48	1617.0	1216.75	785.88	791.35	4066.71	2664.15	3257.52	2485.67	2609.3	3847.29	2591.27	2609.3	2875.3	1991.0	2777.33	1794.29	1870.53	3060.45	2303.12	2451.44	1745.2	3349.13	2627.46	2537.92	2915.45	2591.27	1697.45	2701.35	1508.65	3235.01	3467.27	2367.9	2032.85	3235.01	3257.52	3467.27	3060.45	2104.58	2255.7	2555.58	2796.65	3589.58	2319.15	1331.57	2451.44	1936.53	2400.97	1721.16	3467.27	4038.61	2351.53	2255.7	1757.34	3372.43	2485.67	2434.5	2351.53	2400.97	2209.26	2701.35	4736.79	2319.15	3467.27	1733.13	1572.76	2133.97	2075.59	2061.24	1844.76	2193.99	3982.99	2367.9	2609.3	3716.2
FAM213B	0.57	255.0	73.54	126.12	167.9	161.02	387.02	241.19	426.57	137.14	96.01	264.03	241.19	85.82	547.75	397.93	532.74	612.11	251.48	638.15	312.0	361.04	368.65	277.2	332.14	170.25	129.69	450.94	156.59	246.28	217.27	483.38	348.71	334.46	343.89	334.46	109.66	320.8	141.02	563.18	490.14	236.21	320.8	473.41	480.04	368.65	473.41	339.14	473.41	307.69	417.77	540.19	258.57	107.38	256.78	384.34	389.72	363.56	435.55	507.46	305.55	325.29	211.31	438.59	341.51	336.79	194.36	356.05	281.09	231.32	248.0	281.09	353.59	262.2	153.34	334.46	205.5	208.38	334.46	346.29	460.44	183.82	466.88	480.04
FAM86C1	0.0	34.75	36.27	22.1	43.02	27.05	28.24	23.76	36.01	57.49	36.27	36.27	27.44	44.57	215.77	202.66	307.69	249.73	194.36	253.23	191.67	185.11	197.09	198.47	194.36	120.1	98.04	171.45	87.03	187.71	154.42	217.27	208.38	193.01	189.02	224.97	81.14	205.5	118.43	223.41	244.57	166.73	214.27	228.13	220.32	100.13	183.82	147.06	242.88	248.0	241.19	161.02	175.07	114.36	206.94	148.09	208.38	221.86	236.21	209.84	209.84	139.07	95.34	199.85	212.78	201.25	194.36	161.02	129.69	251.48	232.94	180.02	226.54	137.14	106.63	246.28	141.02	197.09	209.84	149.12	144.01	107.38	224.97	256.78
FIBP	0.39	738.29	780.44	808.0	1159.07	674.59	521.76	642.59	890.44	679.29	921.88	733.19	525.39	490.14	1950.0	1883.54	2178.83	1769.57	1350.18	1923.14	1769.57	1628.26	1781.89	1745.2	1617.0	902.89	902.89	1819.35	1096.5	1417.35	934.76	2104.58	1467.37	1457.23	1781.89	1437.15	961.07	2004.85	1088.92	2240.11	1857.6	1304.15	1551.09	1781.89	1685.71	1594.73	2047.0	1498.22	1844.76	1977.24	1857.6	1832.01	1277.29	974.5	1781.89	1199.98	1709.26	1529.73	2104.58	1991.0	1369.04	1388.16	1191.69	1909.85	2193.99	1519.15	1268.46	1685.71	1388.16	1359.57	2018.8	1417.35	1870.53	1135.2	995.0	1242.34	1286.18	1208.34	1745.2	1572.76	1639.59	1208.34	1697.45	1896.65
GAL3ST3	0.0	0.6	0.0	0.0	0.0	2.36	0.0	0.0	0.61	0.0	1.11	0.0	0.0	2.84	723.08	1225.22	1030.12	713.11	775.05	521.76	616.37	703.28	842.36	214.27	890.44	395.18	157.68	373.81	249.73	287.01	287.01	361.04	336.79	420.68	1037.29	559.28	309.83	638.15	57.49	339.14	1233.75	759.08	1044.52	813.63	454.09	164.42	450.94	178.77	473.41	854.13	242.88	463.65	366.09	142.01	1073.91	514.56	866.07	334.46	713.11	371.22	884.29	303.44	109.66	2224.63	1111.82	457.25	579.04	854.13	470.14	1175.27	1685.71	878.17	848.22	161.02	133.36	836.53	660.68	291.04	1572.76	316.37	688.78	325.29	902.89	819.3
JMJD8	0.8	679.29	633.73	629.35	346.29	435.55	941.27	571.05	1208.34	674.59	1037.29	967.76	426.57	579.04	2555.58	2855.44	2895.31	2133.97	2119.22	2682.69	1991.0	1991.0	2682.69	1674.06	2075.59	1896.65	1233.75	2075.59	1066.48	1896.65	1447.15	2303.12	2119.22	2400.97	1844.76	2351.53	1242.34	2193.99	1477.58	2739.08	2434.5	1977.24	2193.99	2609.3	2400.97	1857.6	2682.69	1685.71	2193.99	3018.3	1733.13	2835.7	2303.12	1135.2	2400.97	1844.76	2018.8	1583.71	2555.58	2758.13	2434.5	1561.89	1447.15	2468.49	2148.82	2119.22	1991.0	1709.26	1551.09	2400.97	3257.52	2047.0	2485.67	1350.18	1896.65	2224.63	1757.34	2287.2	2485.67	1662.49	2520.38	1467.37	3039.3	2468.49
KLHDC7A	0.0	2.16	26.86	4.5	33.3	3.26	0.0	5.11	2.16	0.0	2.2	4.03	0.0	2.23	87.65	78.34	102.97	69.03	80.57	51.35	38.67	76.17	100.13	44.89	54.33	13.42	4.03	56.28	3.23	25.91	27.84	42.71	50.98	100.13	108.9	76.71	8.06	56.28	0.0	61.25	161.02	34.02	82.29	38.4	58.3	6.94	70.01	11.3	69.52	56.68	37.85	71.5	31.67	9.63	87.65	37.59	123.5	69.52	77.79	33.3	79.45	71.5	10.0	107.38	130.6	61.68	50.27	34.51	47.17	87.03	81.14	96.68	93.35	7.94	14.24	153.34	45.21	27.05	140.04	41.52	26.47	10.39	84.63	162.14
LEPREL4	242.88	38.4	29.06	40.36	53.19	42.71	185.11	81.71	100.83	52.82	48.18	37.59	42.41	50.98	708.18	775.05	753.83	587.13	389.72	866.07	395.18	426.57	490.14	366.09	476.71	373.81	166.73	497.0	318.57	318.57	244.57	514.56	363.56	656.11	551.56	616.37	182.55	620.67	118.43	587.13	543.96	336.79	444.72	624.99	607.87	249.73	624.99	395.18	660.68	791.35	417.77	438.59	336.79	138.1	417.77	507.46	633.73	312.0	480.04	466.88	397.93	412.0	260.38	612.11	587.13	457.25	293.07	480.04	336.79	490.14	483.38	466.88	603.67	293.07	150.17	420.68	318.57	214.27	490.14	473.41	454.09	339.14	587.13	708.18
LSM4	0.85	1059.11	764.36	988.12	693.58	674.59	967.76	1806.78	1191.69	941.27	1001.93	1617.0	802.41	1096.5	2816.11	2720.15	3395.89	2645.74	2193.99	2701.35	2287.2	2335.28	2875.3	2148.82	2720.15	1721.16	1119.56	2645.74	1551.09	2303.12	1378.57	2835.7	2609.3	2271.4	2935.74	1950.0	1268.46	3039.3	1183.45	2976.74	2682.69	2018.8	2468.49	2855.44	2075.59	2417.67	2573.36	3103.19	2335.28	2875.3	2417.67	2417.67	2090.03	872.1	2777.33	2178.83	2758.13	1651.0	3146.52	2758.13	2271.4	1977.24	1322.37	3303.0	2915.45	2240.11	1923.14	2255.7	1806.78	2555.58	3325.99	2520.38	3103.19	1378.57	1477.58	2224.63	1844.76	1936.53	2502.97	2384.37	2956.17	1617.0	2537.92	2915.45
LSMD1	0.57	1268.46	785.88	1617.0	1551.09	769.69	1447.15	1832.01	1127.35	808.0	1369.04	1733.13	947.83	1259.69	3690.52	4388.98	4671.57	2855.44	3589.58	3168.41	3060.45	3716.2	4210.15	2701.35	3665.02	2047.0	1639.59	3443.31	1605.83	2664.15	1639.59	3874.05	4010.71	3235.01	3589.58	3280.18	1159.07	4450.27	1313.23	4181.07	4210.15	2895.31	3081.75	3190.46	2915.45	3395.89	3847.29	2400.97	3901.01	5076.84	2627.46	3614.55	2400.97	1191.69	4704.07	3060.45	3124.78	1832.01	5791.62	4010.71	3039.3	2417.67	1498.22	6471.02	4575.41	3146.52	2240.11	3280.18	2133.97	2573.36	6652.97	3103.19	4802.93	1674.06	2224.63	3168.41	1757.34	2895.31	4123.49	2573.36	3372.43	1909.85	3491.39	3955.48
MARCKSL1	0.4	2004.85	866.07	1733.13	1183.45	1685.71	2075.59	2451.44	1104.13	1745.2	775.05	2287.2	5041.77	633.73	6294.04	4769.75	11267.44	7180.15	2739.08	9474.59	3146.52	3303.0	4836.35	2976.74	6607.01	4937.99	854.13	7857.29	3794.3	2319.15	1806.78	3794.3	3124.78	3395.89	3794.3	3515.68	5183.54	3168.41	2004.85	6294.04	3742.05	1923.14	3874.05	4704.07	5711.87	2384.37	4066.71	2537.92	6471.02	5076.84	4972.34	5831.91	1628.26	1508.65	2796.65	4038.61	5292.48	3235.01	4123.49	7081.29	3443.31	3467.27	2796.65	2855.44	3794.3	2701.35	2148.82	4512.4	3742.05	4419.52	2417.67	3349.13	8718.32	2502.97	2682.69	1963.57	3614.55	1662.49	3146.52	3515.68	7130.55	4181.07	7695.57	7911.95
MFSD3	0.45	73.54	61.25	47.5	41.52	49.91	135.24	83.45	58.3	102.25	137.14	97.36	49.91	84.04	1066.48	1225.22	1378.57	688.78	748.61	595.34	813.63	915.51	819.3	454.09	808.0	638.15	208.38	684.02	463.65	441.64	521.76	947.83	718.08	713.11	872.1	764.36	316.37	775.05	228.13	769.69	878.17	490.14	753.83	961.07	759.08	665.29	1044.52	603.67	738.29	808.0	624.99	647.07	555.41	301.33	934.76	651.58	1159.07	281.09	1066.48	866.07	723.08	583.07	258.57	1417.35	995.0	563.18	559.28	536.45	368.65	656.11	1127.35	780.44	1044.52	426.57	295.11	624.99	366.09	400.71	733.19	743.43	921.88	514.56	780.44	902.89
