	TCGA.VN.A88P.01A.11R.A352.07	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KC.A7F6.01A.11R.A33R.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6361.01A.21R.1965.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.J4.AATZ.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.G9.6370.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.ZG.A9L4.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.KC.A7FE.01A.12R.A33R.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.KK.A8I5.01A.11R.A36G.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.139T6.1526.SM.5P9G6
APBB2	158.79	147.06	208.38	128.79	236.21	212.78	343.89	226.54	194.36	156.59	114.36	159.9	253.23	251.48	170.25	185.11	157.68	148.09	133.36	133.36	131.51	175.07	148.09	135.24	116.78	307.69	136.19	153.34	182.55	137.14	232.94	236.21	189.02	129.69	55.1	231.32	193.01	140.04	125.24	100.13	186.4	121.79	208.38	177.53	202.66	166.73	283.05	176.29	142.01	194.36	166.73	183.82	157.68	186.4	185.11	176.29	183.82	111.99	138.1	232.94	206.94	189.02	215.77	144.01	114.36	154.42	164.42	221.86	220.32	205.5	178.77	209.84	148.09	195.72	237.86	246.28	241.19	149.12	201.25	175.07	287.01	180.02	218.79	111.21	155.5	190.34	206.94	197.09	224.97	180.02	189.02	180.02	60.82	152.28	73.54	117.6	406.31	190.34	93.35	231.32	164.42	199.85	186.4	158.79	181.28	66.65	133.36	242.88	171.45	121.79	248.0	147.06	122.64	102.25	299.25	167.9	181.28	183.82	260.38	144.01	157.68	195.72	145.02	167.9	281.09	191.67	229.72	159.9	195.72	175.07	215.77	185.11	303.44	151.22	232.94	248.0	164.42	182.55	79.45	180.02	169.07	138.1	159.9	167.9	199.85	283.05	108.14	381.68	229.72	172.65	106.63	107.38	139.07	121.79	177.53	163.28	194.36	299.25	221.86	164.42	153.34	181.28	165.57	183.82	141.02	79.45	187.71	149.12	170.25	201.25	124.37	206.94	125.24	223.41	129.69	258.57	236.21	153.34	162.14	204.07	171.45	205.5	303.44	141.02	122.64	237.86	150.17	96.01	98.04	189.02	165.57	248.0	152.28	193.01	186.4	182.55	131.51	323.03	295.11
ARHGAP31	44.57	40.36	19.82	16.75	29.06	59.13	88.88	95.34	46.18	36.53	12.18	57.49	98.73	11.55	33.3	21.47	43.02	43.94	37.05	31.9	59.55	31.67	49.56	42.41	32.36	88.26	37.59	14.78	64.8	41.52	71.0	46.18	36.27	35.5	8.0	59.55	75.11	44.89	28.24	16.88	35.76	40.36	39.22	41.22	49.21	55.89	119.26	28.86	36.27	46.84	31.0	37.32	38.67	62.12	47.5	48.18	44.89	23.25	47.17	22.26	46.18	34.75	40.64	36.53	31.45	60.39	46.18	59.13	38.67	29.48	30.34	94.67	19.11	42.11	74.58	77.25	57.49	40.07	28.45	46.5	80.01	47.17	26.86	15.22	29.27	33.3	19.68	31.22	54.33	40.07	66.65	51.71	16.39	35.0	19.97	25.72	120.94	36.79	30.34	59.97	16.15	61.25	36.01	40.36	75.11	18.16	18.56	83.45	75.11	20.86	35.5	59.55	94.01	26.28	82.29	40.93	36.53	50.63	54.33	93.35	31.9	51.35	28.86	43.63	81.14	80.57	14.35	31.45	47.84	25.72	48.18	17.64	26.1	30.12	64.34	25.35	26.47	43.02	40.07	19.82	26.86	14.67	11.55	85.22	80.57	134.3	33.54	191.67	33.3	39.79	23.93	15.22	22.43	17.9	59.13	11.3	52.82	65.26	88.88	28.65	29.48	53.95	27.05	84.04	37.59	20.11	59.97	67.59	38.67	42.71	36.79	49.21	9.48	81.71	24.81	59.55	34.75	32.13	38.95	85.82	34.26	54.33	43.94	27.84	24.11	32.82	16.88	35.25	17.38	46.5	41.81	44.89	49.91	62.12	73.54	61.25	24.99	108.14	111.99
C14orf37	16.39	8.71	11.55	13.12	21.16	18.7	29.7	25.54	11.38	37.05	20.11	15.45	39.79	2.73	44.25	3.11	5.82	44.57	25.17	15.11	10.31	11.73	25.17	17.77	13.93	38.95	8.78	11.13	20.26	16.88	27.84	20.11	8.71	30.34	4.03	23.76	29.06	16.51	11.47	6.26	18.84	26.1	23.59	28.24	10.96	26.28	27.84	4.21	23.08	27.25	7.82	15.91	8.99	31.45	7.57	26.1	12.64	8.38	36.27	7.51	17.0	10.96	11.13	9.27	11.13	31.9	9.93	27.44	21.32	5.73	12.0	46.5	12.93	10.0	46.5	26.86	46.18	10.08	21.63	13.42	22.26	30.56	9.13	18.56	14.03	25.91	17.9	14.03	28.24	15.8	22.75	21.94	8.19	12.09	9.13	11.3	71.0	17.9	17.25	19.53	9.13	37.59	21.32	18.7	31.9	11.91	2.84	43.02	40.64	14.78	14.89	28.24	14.03	12.83	42.71	15.34	24.99	27.64	7.11	29.91	18.97	24.46	31.0	25.72	21.01	15.34	1.58	11.82	15.68	18.43	38.95	10.79	9.41	20.26	9.41	175.07	19.53	14.78	16.88	17.0	14.24	10.96	2.32	42.41	36.01	49.91	16.88	49.91	13.22	15.0	11.73	7.75	18.97	10.88	13.22	6.01	34.75	28.45	28.65	18.84	8.92	16.39	9.78	21.47	13.52	7.46	23.42	23.42	17.51	19.68	14.03	18.97	8.92	29.48	19.68	24.46	22.43	8.92	14.89	38.4	10.0	20.71	27.44	14.67	9.06	8.45	10.88	5.19	22.26	26.28	18.97	48.52	56.28	29.06	41.22	47.5	23.08	78.34	20.71
CAP1	3349.13	2627.46	2720.15	1896.65	2287.2	3372.43	3257.52	3395.89	3794.3	2855.44	2032.85	2835.7	3982.99	2303.12	2915.45	2271.4	2271.4	2835.7	2609.3	2796.65	2367.9	2468.49	2555.58	2796.65	2573.36	4095.0	1819.35	1950.0	3190.46	3419.52	2609.3	3515.68	2796.65	3168.41	1369.04	3190.46	3665.02	3146.52	2351.53	2104.58	2417.67	3372.43	3060.45	2956.17	3081.75	3124.78	3257.52	1427.22	2018.8	2682.69	1977.24	2855.44	3235.01	3235.01	2591.27	3303.0	2520.38	2758.13	3124.78	2004.85	2935.74	3168.41	2351.53	2758.13	2855.44	3467.27	3325.99	2816.11	3124.78	2645.74	2997.45	4038.61	1991.0	2935.74	3039.3	2976.74	3146.52	2468.49	2701.35	3018.3	3235.01	2796.65	2976.74	2209.26	2133.97	3372.43	2303.12	2367.9	2573.36	2682.69	3372.43	2367.9	1685.71	2271.4	2119.22	2895.31	3955.48	2720.15	3146.52	3540.14	2573.36	3540.14	2240.11	2976.74	3874.05	2240.11	2047.0	3372.43	3467.27	2133.97	3372.43	3124.78	2835.7	2047.0	3303.0	2997.45	3124.78	2434.5	3081.75	3146.52	2935.74	2537.92	2816.11	2875.3	3515.68	2816.11	2627.46	2555.58	3235.01	2090.03	3103.19	2319.15	2591.27	2367.9	3874.05	2434.5	2591.27	2739.08	2468.49	2777.33	2701.35	2119.22	2018.8	4543.8	3467.27	4639.29	2209.26	4419.52	2609.3	2935.74	2591.27	1991.0	2997.45	1991.0	2004.85	2104.58	3349.13	3325.99	3395.89	2104.58	2133.97	2796.65	2351.53	2485.67	3018.3	2468.49	2645.74	3325.99	3491.39	3235.01	2609.3	4298.64	1781.89	3540.14	2915.45	3349.13	2701.35	1896.65	2739.08	2935.74	3146.52	2417.67	3212.66	2351.53	2178.83	2915.45	2573.36	2148.82	2032.85	3768.09	2895.31	3372.43	3303.0	2816.11	3443.31	3639.7	2997.45	4419.52	3690.52
CLIC4	1023.0	1015.93	967.76	325.29	665.29	1175.27	1378.57	1467.37	595.34	1066.48	281.09	791.35	1977.24	532.74	1191.69	521.76	723.08	1073.91	896.64	1030.12	866.07	612.11	775.05	1208.34	713.11	1733.13	674.59	791.35	1225.22	954.43	1583.71	733.19	934.76	1286.18	236.21	902.89	1697.45	995.0	417.77	738.29	884.29	1119.56	1159.07	872.1	1073.91	890.44	1388.16	228.13	808.0	1407.55	563.18	1135.2	616.37	1540.37	884.29	1639.59	769.69	1119.56	1135.2	612.11	947.83	808.0	928.3	348.71	819.3	947.83	878.17	1044.52	1639.59	723.08	769.69	1477.58	860.08	842.36	2720.15	1407.55	1417.35	493.56	674.59	567.1	1529.73	902.89	368.65	249.73	529.06	1350.18	684.02	674.59	1081.39	780.44	1733.13	1001.93	176.29	603.67	536.45	854.13	2758.13	954.43	802.41	1583.71	612.11	1508.65	884.29	599.49	1369.04	417.77	490.14	1030.12	1277.29	748.61	397.93	884.29	1143.1	723.08	1806.78	1143.1	1175.27	703.28	915.51	1369.04	1015.93	733.19	915.51	1259.69	1369.04	555.41	343.89	713.11	1457.23	595.34	1135.2	642.59	454.09	521.76	1135.2	521.76	988.12	703.28	748.61	1081.39	373.81	612.11	642.59	2895.31	1378.57	2739.08	660.68	2090.03	325.29	733.19	575.03	361.04	753.83	244.57	947.83	493.56	1561.89	1674.06	1781.89	660.68	651.58	1044.52	486.75	1008.9	884.29	595.34	1304.15	1233.75	1175.27	679.29	791.35	995.0	142.01	1781.89	1111.82	1143.1	1088.92	423.61	890.44	1407.55	708.18	954.43	961.07	819.3	444.72	476.71	460.44	400.71	551.56	1143.1	1066.48	1561.89	1159.07	1388.16	1191.69	1639.59	1208.34	3395.89	1950.0
CLMP	48.18	42.71	18.43	9.27	44.89	39.22	98.73	94.01	16.88	35.76	8.99	37.59	78.89	4.74	62.12	10.08	9.06	78.89	37.85	25.35	47.17	32.36	45.85	30.78	21.78	111.21	12.55	36.27	66.18	30.12	86.43	81.71	20.56	85.82	3.5	70.51	84.63	61.25	16.88	46.18	39.22	61.68	60.39	24.28	75.11	60.82	15.22	5.87	38.4	61.68	16.63	27.25	42.11	68.07	21.01	43.32	57.08	7.4	42.11	9.06	30.12	30.56	22.75	14.89	32.36	37.05	27.05	62.12	100.13	16.51	29.06	146.03	18.29	38.67	74.58	46.84	165.57	15.22	20.86	19.53	98.73	22.59	20.56	7.46	16.51	55.89	21.32	52.45	63.45	38.12	104.42	57.08	1.62	7.0	18.56	22.92	102.25	30.12	40.07	48.87	10.63	106.63	35.25	46.5	81.14	17.77	26.1	50.63	127.0	16.51	25.17	27.44	39.79	18.16	120.94	77.25	66.65	54.72	36.53	66.18	28.24	28.86	33.3	48.52	105.89	10.16	4.74	34.75	67.59	6.67	38.67	15.34	33.06	38.95	36.01	25.72	33.54	32.82	24.28	28.65	9.48	6.84	4.17	63.89	133.36	228.13	28.24	158.79	15.11	29.48	21.63	17.13	29.91	17.51	43.63	11.73	70.01	104.42	85.22	22.26	16.15	53.57	11.38	30.12	21.47	8.32	33.06	102.25	39.79	35.25	29.27	65.26	5.77	95.34	22.43	67.12	18.97	21.47	33.78	33.54	34.02	68.07	58.3	20.71	19.25	9.2	22.1	23.25	17.64	65.72	46.5	46.5	50.98	89.51	148.09	83.45	32.13	231.32	72.01
COL4A4	37.85	29.48	19.11	2.51	15.8	40.07	33.06	58.3	21.01	25.91	6.36	34.26	66.18	2.81	26.1	4.03	8.58	38.67	37.85	23.08	25.54	16.27	14.56	27.84	21.01	95.34	10.96	6.46	53.19	29.48	63.89	34.75	30.12	41.81	3.69	22.1	50.98	48.52	18.84	14.35	24.28	25.91	55.89	17.51	42.11	31.45	27.84	4.24	22.43	38.4	35.0	19.82	16.51	32.36	28.45	31.45	24.81	16.03	36.53	7.82	37.85	30.78	12.55	11.91	11.21	33.54	21.63	50.98	44.25	19.68	17.25	74.58	21.16	29.91	80.01	78.89	72.01	16.03	10.31	18.29	61.25	27.84	9.41	7.57	8.0	23.25	17.0	20.56	52.45	21.78	52.08	30.56	2.05	7.4	13.22	16.88	69.03	19.68	18.97	49.56	7.0	23.93	15.34	22.59	25.17	15.68	4.03	43.94	21.94	13.42	21.16	24.63	36.27	18.03	50.27	67.12	45.85	26.28	22.1	53.19	19.53	16.03	26.86	49.21	44.25	10.0	5.02	25.91	46.5	5.92	24.99	11.47	15.56	19.82	22.43	14.24	21.78	28.24	21.94	23.25	11.21	8.0	4.74	76.17	99.43	74.58	17.0	111.21	8.32	24.81	8.45	8.06	27.84	10.96	25.54	5.87	61.68	55.89	37.05	25.17	8.85	28.45	8.71	23.42	20.41	6.62	25.91	32.82	33.54	17.51	17.64	38.95	1.99	75.64	24.28	57.08	21.63	10.31	32.59	46.5	31.0	49.56	27.64	13.32	12.36	10.88	9.27	15.8	13.62	13.22	21.47	45.21	43.32	43.32	49.91	41.81	13.22	102.25	27.44
COL6A3	860.08	967.76	255.0	193.01	764.36	1008.9	1322.37	1697.45	392.44	620.67	206.94	571.05	1225.22	69.52	638.15	289.02	189.02	743.43	728.11	728.11	389.72	400.71	511.0	540.19	500.46	1572.76	199.85	265.87	974.5	848.22	1023.0	890.44	759.08	1104.13	67.59	599.49	1883.54	775.05	543.96	376.41	961.07	836.53	1167.14	353.59	878.17	579.04	444.72	205.5	525.39	728.11	327.56	571.05	463.65	947.83	500.46	921.88	470.14	395.18	785.88	130.6	961.07	753.83	400.71	198.47	299.25	486.75	607.87	848.22	981.29	525.39	397.93	1233.75	264.03	988.12	1135.2	1191.69	1757.34	339.14	147.06	417.77	1216.75	612.11	241.19	161.02	381.68	400.71	320.8	339.14	723.08	503.95	1378.57	529.06	90.14	118.43	579.04	555.41	1685.71	454.09	389.72	941.27	119.26	759.08	363.56	460.44	1359.57	234.57	267.73	866.07	708.18	229.72	612.11	647.07	642.59	470.14	1397.83	884.29	1037.29	753.83	473.41	981.29	497.0	293.07	642.59	1023.0	1340.84	490.14	173.85	759.08	819.3	111.99	825.0	201.25	281.09	493.56	674.59	379.04	435.55	387.02	551.56	860.08	371.22	169.07	74.58	2209.26	1369.04	2627.46	332.14	2193.99	255.0	480.04	486.75	211.31	607.87	241.19	514.56	130.6	974.5	1208.34	1457.23	679.29	348.71	665.29	366.09	518.15	563.18	346.29	620.67	1208.34	426.57	318.57	361.04	1331.57	39.5	2061.24	974.5	1313.23	607.87	264.03	483.38	1233.75	417.77	587.13	529.06	490.14	150.17	414.87	205.5	341.51	297.17	234.57	511.0	909.17	616.37	961.07	825.0	860.08	381.68	2591.27	642.59
CRIM1	392.44	412.0	287.01	127.89	162.14	332.14	808.0	521.76	182.55	642.59	176.29	336.79	1001.93	164.42	507.46	101.54	242.88	529.06	432.53	231.32	343.89	316.37	395.18	283.05	318.57	612.11	217.27	236.21	486.75	279.14	334.46	555.41	237.86	366.09	84.63	490.14	551.56	389.72	269.6	234.57	241.19	379.04	463.65	329.84	339.14	366.09	429.54	161.02	265.87	334.46	209.84	356.05	305.55	466.88	287.01	470.14	356.05	183.82	348.71	567.1	368.65	307.69	237.86	309.83	267.73	363.56	339.14	447.82	629.35	314.17	316.37	438.59	181.28	341.51	802.41	441.64	575.03	303.44	277.2	511.0	406.31	503.95	579.04	221.86	153.34	301.33	158.79	241.19	441.64	389.72	583.07	389.72	72.01	267.73	115.16	314.17	1051.79	507.46	301.33	660.68	361.04	967.76	327.56	215.77	842.36	141.02	95.34	532.74	651.58	277.2	234.57	366.09	361.04	228.13	669.92	253.23	490.14	295.11	327.56	500.46	429.54	483.38	497.0	379.04	647.07	536.45	293.07	226.54	423.61	244.57	376.41	215.77	316.37	305.55	599.49	260.38	255.0	215.77	239.52	312.0	112.77	291.04	500.46	718.08	473.41	988.12	202.66	1119.56	466.88	297.17	289.02	169.07	215.77	299.25	297.17	171.45	295.11	503.95	532.74	194.36	262.2	329.84	358.54	447.82	273.37	176.29	587.13	432.53	366.09	265.87	264.03	417.77	142.01	514.56	307.69	384.34	314.17	231.32	366.09	543.96	409.15	368.65	361.04	193.01	244.57	249.73	242.88	197.09	185.11	444.72	660.68	842.36	529.06	583.07	624.99	521.76	305.55	941.27	759.08
CRTC3	299.25	299.25	450.94	166.73	223.41	281.09	540.19	400.71	144.01	356.05	172.65	327.56	450.94	194.36	361.04	273.37	229.72	341.51	318.57	309.83	301.33	253.23	417.77	529.06	303.44	376.41	158.79	195.72	348.71	323.03	397.93	403.5	293.07	318.57	190.34	295.11	379.04	353.59	336.79	241.19	242.88	358.54	387.02	299.25	334.46	289.02	368.65	193.01	289.02	307.69	255.0	323.03	258.57	379.04	323.03	417.77	323.03	346.29	309.83	258.57	329.84	301.33	220.32	273.37	267.73	387.02	318.57	287.01	409.15	271.48	220.32	348.71	195.72	348.71	532.74	417.77	381.68	223.41	271.48	262.2	463.65	389.72	283.05	236.21	373.81	358.54	297.17	379.04	384.34	325.29	423.61	346.29	212.78	325.29	208.38	303.44	684.02	299.25	267.73	438.59	264.03	447.82	246.28	267.73	346.29	236.21	224.97	323.03	312.0	303.44	297.17	343.89	314.17	214.27	444.72	325.29	295.11	275.28	329.84	403.5	323.03	256.78	202.66	341.51	305.55	309.83	269.6	218.79	323.03	211.31	353.59	218.79	316.37	285.03	339.14	346.29	314.17	249.73	271.48	273.37	293.07	162.14	165.57	438.59	373.81	500.46	236.21	480.04	341.51	283.05	206.94	198.47	242.88	332.14	361.04	228.13	368.65	403.5	387.02	291.04	237.86	325.29	281.09	316.37	420.68	256.78	392.44	395.18	325.29	265.87	264.03	389.72	228.13	412.0	182.55	307.69	275.28	295.11	289.02	457.25	403.5	353.59	334.46	255.0	265.87	220.32	218.79	197.09	236.21	248.0	346.29	417.77	329.84	473.41	400.71	293.07	279.14	555.41	426.57
CTC-786C10.1	3.26	3.79	2.46	1.62	1.97	4.13	17.51	3.66	1.6	10.63	0.84	3.47	4.58	0.0	19.97	5.11	0.0	8.25	1.1	4.94	4.9	0.0	5.02	10.88	7.0	14.35	2.66	2.97	2.18	5.54	8.32	2.78	1.71	12.55	3.38	4.46	10.24	6.62	1.11	1.06	5.23	4.98	11.73	4.06	4.82	2.03	12.64	0.0	1.11	5.19	4.46	5.96	2.61	8.99	5.59	11.82	9.34	0.78	10.16	0.0	2.07	5.59	0.0	3.69	4.13	3.53	6.36	4.35	14.45	2.63	0.8	11.91	2.36	6.41	13.32	6.89	15.56	4.5	2.07	5.28	13.03	5.32	6.11	0.74	3.0	10.71	1.68	3.92	3.06	5.5	7.51	6.11	0.45	0.0	0.49	2.12	24.81	3.32	5.96	9.85	0.0	13.62	0.0	7.4	12.18	0.0	0.0	12.93	10.79	6.06	2.43	6.06	4.82	2.29	19.25	9.13	3.89	5.41	8.0	11.04	3.35	4.98	4.43	7.82	22.26	4.82	2.86	0.0	4.62	2.07	3.72	0.0	4.46	4.58	7.51	3.29	4.17	10.79	0.84	3.44	2.03	0.0	2.78	2.46	19.53	16.27	0.0	14.67	7.28	9.85	0.77	0.0	2.86	1.38	1.08	0.0	17.0	17.9	9.7	3.08	2.78	5.28	1.68	8.58	0.85	0.0	5.41	8.71	6.67	6.46	0.0	9.41	1.48	7.17	3.66	4.86	4.1	0.51	2.89	3.96	3.79	9.48	10.79	4.21	2.18	0.0	2.03	4.24	0.0	6.62	4.35	16.75	7.17	22.26	13.42	3.0	1.69	45.21	27.64
