	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.VR.A8EY.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A4A2.01A.31R.A260.31	TCGA.LN.A7HX.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A51D.01A.11R.A36D.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.JY.A6FE.01A.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11P7K.1326.SM.5BC5G	GTEX.ZPU1.1426.SM.4WWFU	GTEX.11P81.0826.SM.5P9GR	GTEX.QV44.1126.SM.4R1KO	TCGA.CV.6943.11A.01R.1915.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
DENND1C	974.5	928.3	170.25	176.29	37.32	23.59	104.42	49.91	25.17	51.35	90.14	106.63	29.06	107.38	46.18	145.02	193.01	16.15	198.47	52.82	231.32	647.07	483.38	532.74	525.39	473.41	248.0	836.53	514.56	728.11	579.04	432.53
DHX32	1583.71	1628.26	486.75	454.09	228.13	223.41	353.59	220.32	438.59	236.21	483.38	555.41	220.32	486.75	283.05	669.92	514.56	181.28	251.48	299.25	587.13	1143.1	728.11	775.05	934.76	713.11	791.35	693.58	743.43	603.67	902.89	1111.82
EIF2AK3	241.19	409.15	182.55	147.06	88.88	120.1	94.01	171.45	92.05	87.03	127.89	131.51	96.68	171.45	111.21	126.12	152.28	71.0	181.28	78.34	155.5	514.56	414.87	563.18	309.83	441.64	248.0	107.38	318.57	185.11	237.86	120.1
ERMP1	954.43	961.07	406.31	457.25	521.76	158.79	231.32	269.6	242.88	283.05	170.25	480.04	118.43	224.97	128.79	454.09	417.77	185.11	199.85	346.29	595.34	796.86	679.29	796.86	718.08	579.04	466.88	738.29	1066.48	423.61	607.87	392.44
GOLGA4	2032.85	1015.93	684.02	540.19	269.6	244.57	480.04	497.0	392.44	493.56	521.76	674.59	301.33	642.59	339.14	733.19	595.34	351.14	389.72	303.44	728.11	1963.57	961.07	2573.36	1832.01	1159.07	1378.57	1044.52	915.51	902.89	1199.98	1594.73
HSD17B4	2287.2	3419.52	3103.19	2777.33	1447.15	1806.78	1870.53	961.07	1286.18	2400.97	1467.37	2835.7	1417.35	2075.59	1001.93	2976.74	2193.99	1407.55	1662.49	1819.35	3103.19	3742.05	2855.44	3540.14	3491.39	3589.58	4010.71	2555.58	3794.3	3372.43	4639.29	2875.3
IER3IP1	1059.11	1208.34	718.08	507.46	536.45	536.45	656.11	684.02	633.73	785.88	503.95	651.58	571.05	660.68	420.68	583.07	620.67	669.92	819.3	571.05	603.67	954.43	941.27	890.44	902.89	1350.18	1909.85	1259.69	733.19	796.86	954.43	1313.23
IFNAR1	638.15	547.75	287.01	361.04	165.57	212.78	258.57	376.41	204.07	211.31	195.72	414.87	341.51	341.51	209.84	305.55	303.44	204.07	226.54	146.03	353.59	688.78	733.19	583.07	723.08	595.34	660.68	346.29	490.14	438.59	444.72	500.46
KIAA1211L	813.63	669.92	166.73	262.2	57.49	2.34	7.34	2.27	6.67	40.64	60.39	155.5	8.58	81.71	7.94	260.38	173.85	2.97	85.82	15.91	228.13	483.38	490.14	547.75	713.11	438.59	656.11	3589.58	1044.52	1605.83	595.34	559.28
MAGI3	265.87	444.72	166.73	121.79	41.52	70.01	44.89	83.45	82.29	67.12	73.03	162.14	96.68	113.56	99.43	215.77	164.42	21.47	96.68	78.89	190.34	432.53	255.0	334.46	435.55	323.03	363.56	713.11	392.44	318.57	392.44	612.11
MAGT1	947.83	909.17	583.07	423.61	211.31	218.79	346.29	379.04	567.1	332.14	246.28	376.41	486.75	507.46	392.44	376.41	480.04	521.76	291.04	518.15	406.31	791.35	738.29	967.76	708.18	1066.48	1159.07	878.17	775.05	796.86	728.11	603.67
MARCKS	5183.54	3419.52	1242.34	759.08	759.08	341.51	555.41	974.5	866.07	934.76	866.07	1286.18	651.58	1561.89	934.76	1151.06	1208.34	1088.92	902.89	902.89	1037.29	1477.58	1417.35	1437.15	1674.06	1697.45	2555.58	1844.76	1467.37	2119.22	1769.57	1529.73
METTL7A	1277.29	2451.44	255.0	450.94	101.54	40.36	55.1	76.71	51.35	220.32	228.13	271.48	111.99	223.41	86.43	412.0	346.29	82.87	281.09	82.29	743.43	909.17	866.07	769.69	819.3	896.64	1437.15	206.94	1628.26	241.19	591.22	764.36
METTL9	3280.18	3257.52	1487.87	1674.06	1143.1	1073.91	1259.69	1286.18	1674.06	1183.45	1286.18	1977.24	1233.75	1794.29	928.3	2119.22	1407.55	1457.23	1477.58	1127.35	2209.26	2720.15	1936.53	2090.03	2148.82	2434.5	3928.15	2319.15	1936.53	2720.15	3039.3	3081.75
MFSD11	665.29	947.83	417.77	521.76	420.68	329.84	264.03	514.56	267.73	389.72	417.77	563.18	420.68	397.93	279.14	490.14	384.34	177.53	318.57	420.68	559.28	629.35	579.04	571.05	688.78	624.99	674.59	620.67	547.75	669.92	808.0	1066.48
MTUS1	1286.18	2468.49	693.58	656.11	583.07	540.19	567.1	579.04	518.15	429.54	587.13	872.1	642.59	500.46	432.53	708.18	563.18	217.27	525.39	389.72	785.88	1457.23	1277.29	1322.37	1350.18	995.0	718.08	563.18	1551.09	890.44	1008.9	607.87
PGRMC2	2047.0	1806.78	1015.93	896.64	909.17	616.37	764.36	813.63	599.49	633.73	559.28	1250.98	490.14	961.07	738.29	1001.93	728.11	660.68	808.0	1051.79	1001.93	1519.15	1477.58	1322.37	1561.89	1417.35	1697.45	1427.22	1008.9	1457.23	1191.69	1794.29
POF1B	299043.36	221968.2	748.61	412.0	12.0	32.59	2.16	4.13	1.27	140.04	157.68	343.89	264.03	232.94	1.48	497.0	450.94	0.0	271.48	4.03	412.0	1551.09	791.35	1583.71	1088.92	1936.53	25005.23	22535.88	6037.61	4328.55	6164.49	19754.96
PPCS	2075.59	2451.44	1096.5	967.76	884.29	738.29	836.53	854.13	934.76	738.29	693.58	1259.69	1044.52	1015.93	748.61	915.51	921.88	651.58	1088.92	808.0	1008.9	1857.6	1745.2	1583.71	1697.45	1674.06	2591.27	1427.22	1417.35	1551.09	1498.22	1498.22
PPIC	1096.5	1313.23	1407.55	1605.83	733.19	872.1	743.43	518.15	547.75	947.83	872.1	1529.73	988.12	836.53	743.43	1242.34	1023.0	928.3	909.17	733.19	1369.04	1417.35	1709.26	1498.22	1369.04	1119.56	2335.28	2502.97	1870.53	1477.58	2271.4	1073.91
RAB27B	6381.92	2664.15	221.86	142.01	4.9	51.35	94.67	53.95	111.21	31.67	51.71	189.02	25.17	162.14	28.24	251.48	221.86	24.11	117.6	7.17	167.9	638.15	412.0	579.04	583.07	476.71	633.73	934.76	384.34	435.55	376.41	599.49
RHBDL2	12853.63	5954.47	460.44	220.32	155.5	205.5	176.29	89.51	164.42	171.45	132.44	265.87	23.76	329.84	23.93	718.08	1208.34	7.11	156.59	43.32	651.58	890.44	559.28	713.11	890.44	651.58	902.89	1551.09	1769.57	1277.29	1529.73	1617.0
SCP2	4268.94	4095.0	3372.43	1977.24	1340.84	1073.91	1191.69	1250.98	1208.34	1225.22	1369.04	2319.15	1519.15	1572.76	1096.5	2520.38	1883.54	1030.12	1551.09	1242.34	2209.26	5076.84	3742.05	4095.0	4210.15	4038.61	7433.4	5594.3	3515.68	4704.07	4181.07	4869.99
SLC35A3	860.08	620.67	406.31	165.57	95.34	92.05	108.14	175.07	147.06	136.19	123.5	218.79	120.94	157.68	138.1	198.47	258.57	95.34	136.19	85.22	226.54	624.99	450.94	420.68	532.74	323.03	190.34	165.57	246.28	208.38	183.82	170.25
SMIM14	1662.49	3467.27	371.22	420.68	255.0	154.42	303.44	142.01	166.73	157.68	287.01	420.68	199.85	289.02	346.29	463.65	305.55	170.25	414.87	206.94	651.58	1286.18	753.83	915.51	1268.46	967.76	1628.26	769.69	693.58	470.14	1044.52	728.11
SNX1	2796.65	2485.67	1233.75	1628.26	1104.13	1066.48	1216.75	1216.75	1617.0	1051.79	1331.57	1572.76	1259.69	1378.57	1551.09	1551.09	1437.15	1208.34	1304.15	1340.84	1832.01	2032.85	1963.57	1923.14	2090.03	1745.2	2816.11	1674.06	2178.83	1781.89	2090.03	1857.6
ST14	14065.74	6983.79	1457.23	1806.78	642.59	1286.18	1427.22	351.14	108.14	2537.92	1498.22	633.73	146.03	713.11	295.11	813.63	2400.97	0.0	1277.29	624.99	5633.22	3081.75	2591.27	2935.74	2645.74	3168.41	2720.15	4802.93	5041.77	4543.8	5255.91	3419.52
ST6GALNAC1	1651.0	1397.83	166.73	136.19	82.29	6.78	11.91	9.56	13.83	106.63	72.01	101.54	2.53	42.71	3.53	138.1	170.25	1.28	91.41	2.01	194.36	1096.5	1167.14	915.51	1594.73	708.18	346.29	223.41	575.03	244.57	748.61	226.54
SUCLG2	1001.93	902.89	429.54	366.09	187.71	164.42	279.14	226.54	143.01	251.48	256.78	320.8	262.2	307.69	183.82	293.07	346.29	237.86	299.25	176.29	511.0	1259.69	1378.57	1628.26	1225.22	854.13	1477.58	1216.75	1167.14	651.58	896.64	890.44
SYAP1	954.43	543.96	242.88	214.27	145.02	214.27	186.4	162.14	209.84	180.02	145.02	262.2	104.42	256.78	177.53	215.77	187.71	351.14	176.29	141.02	214.27	454.09	363.56	435.55	423.61	432.53	638.15	633.73	303.44	417.77	470.14	514.56
TMEM167B	555.41	759.08	450.94	309.83	234.57	361.04	236.21	384.34	353.59	248.0	336.79	497.0	353.59	343.89	283.05	387.02	309.83	277.2	273.37	241.19	406.31	480.04	684.02	525.39	400.71	470.14	718.08	376.41	438.59	463.65	412.0	476.71
TMEM59	6207.38	8598.28	3874.05	3742.05	2720.15	2255.7	2303.12	2240.11	2777.33	2537.92	2997.45	3716.2	2895.31	2895.31	2417.67	3690.52	2997.45	2664.15	3325.99	3190.46	4575.41	8658.09	5076.84	4358.66	6983.79	5329.3	5219.6	3901.01	4769.75	4736.79	5751.61	4869.99
TMEM9B	2758.13	2384.37	1183.45	1457.23	1250.98	563.18	547.75	289.02	759.08	656.11	775.05	1487.87	579.04	954.43	480.04	1159.07	1001.93	480.04	612.11	974.5	1127.35	1685.71	1529.73	1639.59	1639.59	1909.85	2502.97	2018.8	1709.26	2148.82	1991.0	2032.85
TPD52	3372.43	2935.74	2720.15	1088.92	543.96	785.88	92.05	825.0	775.05	836.53	514.56	808.0	698.41	1044.52	947.83	1225.22	1286.18	297.17	1175.27	303.44	988.12	2384.37	2664.15	2835.7	2209.26	2468.49	2400.97	2555.58	1769.57	1721.16	1467.37	1175.27
WNT4	1617.0	2224.63	466.88	463.65	395.18	33.54	9.85	127.89	540.19	212.78	135.24	353.59	12.09	143.01	133.36	599.49	195.72	3.63	244.57	214.27	1378.57	1008.9	665.29	660.68	656.11	457.25	2645.74	7911.95	1977.24	4481.23	2032.85	5517.27
XK	178.77	134.3	35.0	21.16	4.35	5.92	3.69	3.76	5.15	18.16	16.27	20.71	7.4	17.0	4.17	21.32	24.46	1.07	15.22	7.69	37.32	66.65	88.88	76.17	64.34	43.02	92.05	138.1	64.8	131.51	126.12	119.26
ZDHHC20	1059.11	466.88	629.35	607.87	83.45	68.07	202.66	255.0	181.28	120.1	195.72	633.73	197.09	343.89	420.68	866.07	497.0	115.97	206.94	53.57	785.88	1697.45	915.51	988.12	1233.75	1119.56	3212.66	3124.78	1159.07	2835.7	1340.84	2193.99
ZNF675	2209.26	1119.56	67.59	68.55	20.41	59.55	6.31	11.04	48.87	35.5	49.21	74.58	40.64	55.89	12.55	98.73	70.01	34.75	87.03	12.55	107.38	275.28	159.9	194.36	305.55	129.69	460.44	170.25	366.09	287.01	301.33	325.29
ZNF681	497.0	334.46	16.63	13.72	0.67	2.81	0.67	1.3	9.27	3.47	10.24	20.56	1.43	13.83	2.63	24.81	21.63	7.69	14.78	1.83	34.26	115.97	63.0	96.01	136.19	50.98	289.02	55.89	35.5	40.64	67.59	29.91
