	TCGA.K4.A54R.11A.11R.A26T.07	GTEX.Y9LG.0626.SM.4WWDH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.147F4.0926.SM.5Q5EO	GTEX.11NV4.1126.SM.5HL6J	GTEX.11OF3.1126.SM.5986C	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.11WQK.2926.SM.5EQKT	GTEX.11NUK.2426.SM.5BC4U	GTEX.117YW.2226.SM.5N9DB
DNAJB2	1529.73	890.44	0.0	0.6	819.3	518.15	842.36	995.0	785.88	603.67	2384.37	3395.89	3146.52	1950.0	3395.89	2591.27	3039.3	2591.27	2935.74	2240.11	2997.45	2609.3	3349.13	2645.74	2240.11	2816.11	2875.3	2319.15	2178.83	3168.41	3325.99	2018.8	3820.7	3540.14	2895.31	3060.45	3443.31	2287.2	3039.3	3467.27	3018.3	2591.27	3018.3	3124.78	3639.7	3190.46	2997.45	1030.12	307.69	708.18
DNAL4	299.25	271.48	0.0	0.0	232.94	336.79	236.21	177.53	166.73	128.79	583.07	775.05	665.29	575.03	802.41	532.74	764.36	555.41	718.08	547.75	647.07	698.41	866.07	567.1	647.07	595.34	679.29	518.15	476.71	698.41	981.29	473.41	921.88	651.58	591.22	708.18	848.22	764.36	642.59	753.83	708.18	780.44	679.29	616.37	791.35	759.08	842.36	141.02	171.45	111.21
ERAL1	587.13	708.18	0.0	0.34	320.8	309.83	220.32	177.53	228.13	147.06	934.76	1081.39	1001.93	1051.79	1277.29	947.83	1096.5	961.07	1143.1	866.07	1104.13	1127.35	1286.18	854.13	1143.1	947.83	1135.2	860.08	860.08	1143.1	1183.45	909.17	1030.12	1135.2	974.5	1111.82	1135.2	1051.79	1008.9	1151.06	1030.12	1073.91	1023.0	1233.75	1088.92	1183.45	1191.69	379.04	314.17	234.57
ERBB2	1685.71	1936.53	0.0	0.77	759.08	303.44	684.02	368.65	297.17	244.57	1733.13	2701.35	2148.82	1340.84	2502.97	3146.52	1844.76	1745.2	2224.63	1540.37	3303.0	3103.19	1936.53	1639.59	1529.73	2193.99	2520.38	2777.33	1870.53	1794.29	3039.3	1721.16	3372.43	1745.2	1819.35	3235.01	3491.39	1733.13	1359.57	2682.69	2520.38	1183.45	3168.41	1605.83	2018.8	1709.26	2739.08	688.78	447.82	674.59
ERCC2	361.04	209.84	0.0	0.4	108.14	109.66	158.79	103.69	128.79	111.21	397.93	599.49	414.87	273.37	620.67	447.82	387.02	403.5	325.29	536.45	665.29	599.49	397.93	341.51	483.38	432.53	432.53	466.88	480.04	497.0	563.18	343.89	518.15	339.14	363.56	497.0	409.15	493.56	579.04	540.19	373.81	384.34	547.75	381.68	432.53	379.04	457.25	191.67	189.02	65.72
FAM134A	1286.18	1277.29	0.0	0.64	656.11	460.44	860.08	500.46	836.53	536.45	1757.34	3235.01	2319.15	2004.85	2609.3	2935.74	2240.11	2004.85	2319.15	2537.92	3018.3	2573.36	2627.46	1991.0	2224.63	2335.28	2537.92	2367.9	2018.8	2271.4	2875.3	2061.24	3467.27	3515.68	1745.2	3564.78	2485.67	1896.65	3515.68	2520.38	2417.67	1991.0	3491.39	2434.5	2319.15	2417.67	2796.65	698.41	684.02	941.27
FAM50B	63.45	44.57	0.0	0.32	58.71	36.53	34.75	57.08	21.01	40.07	115.16	190.34	199.85	105.15	215.77	128.79	251.48	132.44	75.11	226.54	162.14	197.09	237.86	25.17	195.72	151.22	228.13	116.78	167.9	215.77	253.23	157.68	267.73	220.32	208.38	211.31	177.53	231.32	173.85	256.78	150.17	87.65	176.29	234.57	239.52	320.8	195.72	29.06	7.17	56.28
FARS2	264.03	171.45	0.0	0.16	215.77	157.68	232.94	100.83	172.65	120.1	217.27	406.31	237.86	212.78	318.57	248.0	248.0	234.57	246.28	262.2	285.03	293.07	305.55	241.19	271.48	258.57	305.55	248.0	279.14	289.02	301.33	237.86	285.03	255.0	249.73	316.37	273.37	277.2	241.19	264.03	262.2	217.27	283.05	309.83	301.33	283.05	307.69	65.26	138.1	127.0
FDX1L	343.89	186.4	0.0	0.21	237.86	182.55	206.94	121.79	260.38	214.27	575.03	1073.91	674.59	547.75	791.35	587.13	674.59	607.87	967.76	525.39	928.3	579.04	723.08	575.03	529.06	679.29	629.35	559.28	397.93	941.27	1051.79	503.95	796.86	796.86	612.11	713.11	1044.52	543.96	518.15	796.86	620.67	571.05	802.41	665.29	629.35	813.63	941.27	156.59	86.43	173.85
FKBP8	4388.98	5112.16	5872.48	3564.78	5633.22	4010.71	7695.57	4802.93	5751.61	4328.55	5913.33	7803.01	7180.15	5954.47	10225.32	6121.9	8078.22	7032.37	8305.36	5403.7	9151.82	7130.55	9876.98	8778.97	6745.86	6887.62	8305.36	4836.35	4512.4	9025.81	12676.65	4512.4	6207.38	7803.01	6983.79	8247.98	8538.88	5872.48	6745.86	9808.75	8901.53	7180.15	6983.79	7433.4	8078.22	9151.82	8305.36	3515.68	2835.7	3235.01
GPAM	26.67	37.59	0.0	0.0	24.46	23.42	20.41	19.53	13.32	18.03	47.5	35.0	72.01	46.5	49.91	46.84	50.98	42.11	37.59	74.58	64.34	68.07	61.25	41.22	55.1	64.8	73.54	58.3	83.45	38.12	73.54	53.57	67.59	57.08	63.0	52.08	38.95	76.17	94.01	59.55	51.35	43.63	57.49	63.45	72.01	58.3	55.1	32.59	17.77	25.35
HAUS4	660.68	435.55	0.0	0.72	669.92	343.89	500.46	450.94	470.14	154.42	599.49	1159.07	660.68	500.46	934.76	947.83	684.02	551.56	612.11	559.28	830.75	808.0	967.76	748.61	674.59	450.94	878.17	684.02	769.69	836.53	802.41	607.87	638.15	607.87	872.1	753.83	660.68	785.88	785.88	808.0	466.88	872.1	511.0	848.22	988.12	872.1	896.64	255.0	412.0	237.86
HEXIM2	53.95	56.28	0.0	0.0	49.21	47.84	15.11	35.5	20.11	14.35	85.22	373.81	130.6	138.1	242.88	176.29	182.55	92.7	204.07	171.45	361.04	202.66	246.28	154.42	205.5	123.5	249.73	82.29	133.36	320.8	329.84	198.47	224.97	271.48	171.45	229.72	318.57	191.67	132.44	248.0	195.72	63.45	159.9	232.94	209.84	226.54	228.13	42.71	37.05	66.65
HMGCL	521.76	543.96	0.0	0.31	285.03	236.21	325.29	264.03	312.0	205.5	967.76	1498.22	1628.26	733.19	1617.0	1250.98	1417.35	1151.06	1225.22	1111.82	1304.15	1268.46	1733.13	1286.18	1208.34	1331.57	1437.15	1286.18	1216.75	1487.87	1950.0	728.11	1304.15	1286.18	1304.15	1617.0	1417.35	1378.57	1540.37	1709.26	1175.27	1135.2	1487.87	1594.73	1594.73	1572.76	1733.13	275.28	728.11	387.02
IGIP	97.36	62.56	0.0	0.36	327.56	120.94	119.26	146.03	135.24	226.54	133.36	269.6	246.28	144.01	334.46	193.01	228.13	171.45	309.83	260.38	275.28	241.19	395.18	193.01	279.14	202.66	232.94	277.2	318.57	176.29	185.11	144.01	281.09	279.14	214.27	218.79	251.48	181.28	262.2	368.65	307.69	118.43	299.25	265.87	353.59	392.44	297.17	36.01	43.94	47.84
IL17RC	866.07	813.63	0.0	0.55	316.37	318.57	156.59	126.12	273.37	202.66	2240.11	2485.67	1540.37	1135.2	2417.67	2032.85	1936.53	2240.11	2520.38	1923.14	2645.74	2018.8	2090.03	1407.55	1447.15	2537.92	1457.23	2193.99	1407.55	2032.85	1883.54	1487.87	2004.85	1594.73	1628.26	2400.97	2209.26	1111.82	1674.06	2739.08	2976.74	1498.22	2627.46	1832.01	3103.19	2555.58	2209.26	466.88	351.14	258.57
ITFG3	1081.39	1175.27	1104.13	159.9	583.07	283.05	406.31	358.54	379.04	253.23	1651.0	1781.89	1832.01	1519.15	1977.24	1662.49	2018.8	1594.73	1685.71	1628.26	2004.85	1651.0	1551.09	1286.18	1936.53	1733.13	1508.65	1605.83	1199.98	1651.0	1233.75	1127.35	1963.57	1674.06	1313.23	1832.01	1709.26	1883.54	1950.0	2133.97	1628.26	1519.15	2047.0	1628.26	1551.09	2255.7	1769.57	1175.27	808.0	397.93
KLHDC3	599.49	981.29	1369.04	255.0	1250.98	470.14	470.14	769.69	1359.57	860.08	1697.45	2855.44	1697.45	1832.01	2209.26	1757.34	2018.8	1745.2	1963.57	1721.16	2178.83	1832.01	2047.0	2255.7	1923.14	1757.34	2193.99	1769.57	1437.15	2133.97	2520.38	1583.71	2075.59	2417.67	1651.0	2224.63	2384.37	1721.16	1832.01	2319.15	1909.85	1745.2	1909.85	1896.65	2004.85	2224.63	2468.49	995.0	473.41	629.35
KLHL22	150.17	115.97	0.0	0.39	123.5	90.14	138.1	147.06	90.77	61.68	483.38	599.49	567.1	353.59	547.75	435.55	599.49	518.15	642.59	595.34	595.34	540.19	660.68	435.55	500.46	785.88	518.15	457.25	460.44	688.78	629.35	432.53	825.0	708.18	525.39	738.29	571.05	571.05	583.07	733.19	624.99	435.55	651.58	563.18	656.11	674.59	532.74	112.77	61.25	100.13
KLHL26	69.52	68.07	0.0	0.15	47.17	87.65	95.34	99.43	46.18	50.98	130.6	177.53	169.07	123.5	183.82	181.28	199.85	121.79	221.86	190.34	229.72	181.28	214.27	148.09	165.57	189.02	173.85	199.85	163.28	163.28	220.32	154.42	176.29	141.02	189.02	273.37	195.72	161.02	208.38	217.27	169.07	173.85	215.77	162.14	191.67	214.27	158.79	70.01	80.01	39.79
KLK3	20.41	0.0	0.0	0.0	1.14	0.0	0.0	1.64	6.73	6.84	881742.8	1345768.59	1005860.33	682276.92	731246.37	1116072.03	1212874.47	845824.19	1163466.92	1116072.03	925580.18	1063212.58	1055868.42	1255646.43	1187913.85	1093103.58	1139523.1	906531.99	1327240.99	1147449.11	1412675.8	906531.99	1238359.56	1327240.99	1196176.45	869603.57	1212874.47	1238359.56	1048575.0	736332.6	1345768.59	828417.36	1472666.19	1229805.58	1019901.63	925580.18	1063212.58	6.57	8.65	5.02
LMAN2L	163.28	135.24	0.0	0.28	267.73	211.31	146.03	149.12	175.07	167.9	409.15	656.11	420.68	466.88	571.05	341.51	624.99	497.0	441.64	483.38	587.13	543.96	708.18	217.27	532.74	435.55	514.56	397.93	457.25	507.46	454.09	412.0	555.41	368.65	414.87	480.04	525.39	490.14	353.59	612.11	403.5	420.68	376.41	447.82	620.67	679.29	708.18	105.15	75.64	115.97
MAP2K5	211.31	215.77	0.0	0.29	177.53	112.77	140.04	144.01	187.71	98.04	291.04	417.77	307.69	312.0	379.04	265.87	265.87	316.37	334.46	368.65	373.81	332.14	376.41	281.09	403.5	299.25	332.14	283.05	289.02	483.38	366.09	339.14	406.31	325.29	336.79	373.81	384.34	334.46	397.93	400.71	314.17	358.54	392.44	312.0	356.05	316.37	318.57	63.0	185.11	135.24
MTHFS	339.14	334.46	0.0	0.07	961.07	1023.0	336.79	633.73	384.34	684.02	1477.58	1806.78	3018.3	1037.29	1991.0	2434.5	2032.85	1322.37	1923.14	2591.27	2609.3	1417.35	2047.0	3820.7	1685.71	1277.29	1757.34	1104.13	2915.45	2193.99	1870.53	2240.11	2367.9	2758.13	2240.11	2075.59	2047.0	2573.36	2047.0	3081.75	2303.12	1561.89	3146.52	2384.37	1605.83	2032.85	2739.08	122.64	518.15	1066.48
