	TCGA.GV.A3QG.01A.11R.A220.07	TCGA.BT.A2LB.11A.11R.A18C.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0H5.01A.21R.A115.07	TCGA.B6.A0RT.01A.21R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZT9X.0526.SM.5GCOP	GTEX.13111.0826.SM.5LZV3	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	TCGA.DQ.7593.01A.11R.2232.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CR.7393.01A.11R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.73.4666.01A.01R.1206.07	TCGA.MP.A4TJ.01A.51R.A262.07	GTEX.X4EO.0926.SM.3P5Z2	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
CAMK4	108.14	32.36	180.02	289.02	121.79	171.45	2.58	80.57	11.55	6.73	12.0	25.91	5.96	4.21	16.39	22.92	7.17	14.35	15.22	8.71	10.08	12.74	22.75	4.9	15.68	100.13	20.11	0.46	20.41	65.72	57.89	28.86	68.07	115.97	25.35	16.39	48.18	10.47	21.01	36.79	8.65	12.27	43.32	106.63	320.8	44.89	75.64	4.46	5.96	8.85	0.71	14.14
CCL5	3820.7	934.76	5791.62	9945.68	7130.55	9808.75	2627.46	3081.75	166.73	62.12	176.29	256.78	44.89	105.89	253.23	473.41	825.0	248.0	92.05	88.26	136.19	206.94	323.03	36.53	117.6	2271.4	1519.15	6.73	81.71	3325.99	2384.37	10659.59	2367.9	2178.83	1051.79	669.92	1008.9	277.2	921.88	947.83	348.71	297.17	2875.3	3018.3	16383.0	307.69	1199.98	151.22	1447.15	113.56	87.03	65.26
CCR4	147.06	63.0	353.59	379.04	264.03	242.88	2.92	198.47	0.0	0.71	7.51	35.0	0.59	1.1	12.09	11.64	4.66	8.32	5.06	2.36	3.32	10.08	2.56	1.57	11.73	131.51	65.72	0.0	3.96	138.1	101.54	33.54	157.68	246.28	47.17	12.83	98.04	5.82	37.59	139.07	1.53	19.25	34.26	185.11	1059.11	4.86	156.59	7.46	14.03	7.06	7.69	0.8
CCR5	273.37	52.45	503.95	490.14	563.18	842.36	70.51	246.28	4.03	8.58	24.81	33.06	4.24	5.92	37.05	48.52	25.35	27.84	17.38	10.96	19.97	23.59	18.56	6.01	14.24	262.2	150.17	0.0	14.03	237.86	211.31	215.77	236.21	271.48	98.73	73.54	106.63	13.93	100.83	183.82	18.56	42.11	169.07	232.94	1066.48	22.92	89.51	30.78	90.14	10.96	4.13	2.89
CD2	995.0	251.48	2956.17	4736.79	2351.53	3395.89	769.69	1216.75	23.59	24.81	94.67	133.36	10.0	21.47	146.03	201.25	108.14	156.59	90.77	58.71	62.56	98.73	66.65	11.38	77.79	1066.48	543.96	2.29	68.07	1397.83	775.05	1008.9	688.78	878.17	470.14	236.21	532.74	149.12	450.94	633.73	84.63	191.67	616.37	1175.27	8363.13	136.19	1250.98	78.34	336.79	55.1	37.85	24.63
CD226	69.03	9.48	159.9	152.28	96.68	128.79	0.49	41.81	4.24	1.75	8.71	15.91	2.76	2.86	18.03	9.06	8.71	10.55	10.88	3.56	2.78	11.38	6.89	0.6	10.79	71.0	38.67	1.71	15.56	43.02	45.85	41.22	67.59	63.45	19.11	20.26	44.57	11.64	24.11	55.89	6.21	8.92	56.68	115.97	262.2	3.38	88.26	39.22	11.73	7.0	4.39	4.58
CD247	514.56	178.77	1259.69	1628.26	1111.82	1340.84	170.25	583.07	23.76	36.27	38.67	120.94	8.78	21.16	55.1	108.14	85.22	45.21	45.21	42.71	68.55	58.71	21.94	15.45	71.0	435.55	178.77	6.67	50.63	674.59	287.01	429.54	242.88	457.25	191.67	99.43	195.72	34.02	164.42	180.02	36.53	73.54	242.88	591.22	2061.24	38.95	262.2	34.51	161.02	35.76	22.43	42.11
CD27	915.51	277.2	2835.7	3901.01	2163.77	1745.2	102.25	825.0	7.22	6.73	65.26	147.06	9.34	11.38	55.89	78.89	79.45	47.84	74.58	47.5	25.17	72.01	18.84	20.26	82.29	435.55	486.75	19.39	27.64	2163.77	854.13	785.88	1037.29	764.36	381.68	94.67	332.14	43.32	293.07	129.69	57.89	332.14	309.83	1119.56	748.61	6.73	25.54	62.56	351.14	76.71	13.83	2.66
CD28	251.48	47.5	441.64	559.28	226.54	303.44	2.66	112.77	1.46	2.61	15.56	52.82	3.38	1.75	24.11	22.75	9.63	7.63	11.3	3.03	7.06	14.35	7.63	3.29	17.51	127.89	67.12	0.0	1.39	205.5	103.69	60.39	156.59	215.77	68.07	11.3	50.63	4.66	36.01	66.65	5.32	14.03	87.65	214.27	651.58	5.45	71.5	11.82	11.91	0.38	15.91	1.04
CD3D	1697.45	447.82	2758.13	5995.9	2777.33	2796.65	884.29	1427.22	32.13	21.47	81.71	228.13	8.51	17.77	120.1	165.57	198.47	127.89	118.43	55.49	99.43	109.66	62.12	22.43	135.24	1628.26	651.58	0.0	106.63	1991.0	802.41	1359.57	830.75	733.19	529.06	182.55	599.49	204.07	366.09	780.44	86.43	281.09	583.07	1498.22	6652.97	35.5	872.1	74.58	1208.34	51.35	189.02	9.78
CD3E	2178.83	688.78	4543.8	8778.97	3742.05	4512.4	733.19	1870.53	137.14	39.22	134.3	329.84	24.81	42.41	202.66	285.03	241.19	221.86	127.89	104.42	111.99	156.59	90.77	26.47	183.82	1685.71	728.11	4.54	68.55	2240.11	1159.07	1519.15	1030.12	1508.65	733.19	343.89	775.05	157.68	595.34	769.69	119.26	299.25	802.41	1685.71	9945.68	156.59	2032.85	224.97	483.38	80.57	71.5	15.68
CD3G	289.02	75.64	1159.07	1008.9	743.43	723.08	206.94	242.88	4.98	3.63	18.7	47.5	1.11	5.11	20.41	42.41	17.13	29.27	24.11	7.82	12.93	23.08	11.47	1.79	14.45	275.28	88.88	0.0	9.06	366.09	175.07	320.8	162.14	381.68	173.85	59.13	249.73	35.5	103.69	128.79	25.35	54.33	212.78	226.54	2047.0	9.56	65.72	11.55	63.0	26.67	2.1	6.78
CD4	1457.23	363.56	2032.85	3190.46	2609.3	2163.77	144.01	836.53	108.14	94.01	346.29	432.53	144.01	76.17	406.31	297.17	346.29	262.2	223.41	223.41	297.17	258.57	363.56	48.87	194.36	1437.15	511.0	26.1	54.72	1183.45	1001.93	603.67	1340.84	1781.89	406.31	237.86	503.95	110.43	536.45	432.53	90.77	248.0	1561.89	1963.57	9808.75	209.84	320.8	363.56	193.01	78.34	164.42	47.84
CD40LG	98.04	34.26	366.09	624.99	189.02	220.32	22.92	118.43	0.45	3.35	6.67	14.89	0.27	0.89	9.06	5.54	1.53	17.38	4.86	7.11	6.89	6.84	1.75	0.82	7.94	159.9	59.13	0.0	15.56	176.29	35.5	20.11	25.54	54.72	44.25	15.11	71.5	9.41	21.16	90.77	8.38	25.91	19.11	90.77	1242.34	28.04	52.45	3.03	19.82	4.03	7.06	0.64
CD48	3190.46	921.88	5441.3	9344.14	4038.61	4481.23	406.31	1407.55	26.28	23.93	90.14	201.25	18.43	15.68	111.21	98.73	120.1	90.14	53.19	51.35	70.51	117.6	50.27	36.01	189.02	1378.57	511.0	20.86	38.95	2520.38	819.3	884.29	825.0	1183.45	651.58	273.37	753.83	332.14	409.15	447.82	57.49	318.57	769.69	1685.71	6840.04	31.67	329.84	214.27	226.54	29.91	23.76	57.49
CD5	371.22	120.94	1008.9	1073.91	674.59	684.02	32.36	423.61	3.17	9.34	20.71	63.45	2.25	3.44	18.43	35.0	21.16	19.68	11.55	10.79	14.78	29.27	6.94	7.46	24.99	373.81	176.29	4.86	5.36	432.53	279.14	181.28	358.54	473.41	147.06	50.98	232.94	23.08	106.63	223.41	17.64	65.72	150.17	381.68	2664.15	23.25	87.65	16.27	32.13	12.09	8.71	1.11
CD53	4038.61	1008.9	7749.1	9808.75	4903.87	4639.29	170.25	1685.71	253.23	81.14	463.65	921.88	212.78	122.64	616.37	660.68	571.05	392.44	246.28	220.32	334.46	497.0	493.56	138.1	547.75	3060.45	1127.35	30.78	100.13	3467.27	1397.83	1378.57	2255.7	1896.65	759.08	387.02	981.29	223.41	518.15	785.88	178.77	387.02	2335.28	3372.43	9945.68	100.13	348.71	486.75	211.31	132.44	194.36	100.13
CD6	473.41	156.59	1242.34	1143.1	825.0	921.88	77.25	603.67	7.51	12.83	34.75	145.02	3.53	8.99	55.49	75.11	55.89	88.88	43.32	27.05	52.45	46.84	13.12	8.38	50.98	356.05	303.44	10.71	46.5	423.61	232.94	303.44	291.04	348.71	130.6	59.55	234.57	30.78	102.25	237.86	33.06	109.66	209.84	674.59	3982.99	29.27	368.65	35.76	78.34	38.95	12.83	6.11
CD7	848.22	438.59	1044.52	1457.23	1295.13	1457.23	381.68	825.0	71.5	48.52	119.26	287.01	36.53	36.53	126.12	332.14	269.6	117.6	113.56	63.45	130.6	133.36	113.56	31.67	105.15	1359.57	392.44	31.45	33.78	872.1	583.07	1066.48	842.36	896.64	289.02	115.97	381.68	71.5	181.28	432.53	74.06	132.44	642.59	1498.22	2384.37	67.12	612.11	65.72	109.66	79.45	92.05	42.41
CD8A	536.45	193.01	1605.83	2573.36	2319.15	2701.35	514.56	769.69	24.28	12.74	60.82	92.7	7.88	25.54	77.25	198.47	67.59	59.13	59.13	16.75	30.78	55.1	38.67	12.93	63.45	967.76	518.15	2.46	43.94	629.35	547.75	723.08	547.75	470.14	224.97	217.27	279.14	76.71	279.14	293.07	65.26	52.82	674.59	802.41	1605.83	57.49	819.3	155.5	96.68	64.8	18.84	3.2
CD8B	336.79	89.51	785.88	1487.87	909.17	1268.46	134.3	457.25	14.78	9.93	21.01	49.56	3.56	7.63	38.4	74.06	37.59	23.42	28.04	14.67	10.79	37.05	13.22	3.82	24.63	389.72	187.71	3.96	18.97	540.19	183.82	417.77	173.85	175.07	121.79	70.51	111.99	59.13	134.3	105.15	25.91	23.25	301.33	339.14	656.11	42.71	547.75	22.43	65.72	48.18	16.75	0.0
CD96	497.0	102.25	819.3	1119.56	753.83	819.3	128.79	327.56	18.43	13.12	26.86	95.34	13.62	17.25	68.55	97.36	34.75	70.01	35.0	14.24	25.91	51.35	52.82	4.28	42.11	285.03	108.9	7.63	10.47	450.94	150.17	368.65	234.57	224.97	100.83	72.01	195.72	44.25	87.03	166.73	30.12	51.71	395.18	599.49	1583.71	46.18	125.24	40.64	51.35	7.17	28.04	13.32
CERKL	170.25	59.13	490.14	791.35	285.03	366.09	23.76	115.97	9.63	27.05	16.15	42.11	14.67	12.45	43.94	56.28	17.13	49.56	25.91	16.75	21.32	31.45	21.47	13.52	12.83	120.94	47.5	1.81	4.46	166.73	55.1	94.01	88.26	111.21	36.79	21.32	40.07	11.55	30.78	31.0	7.17	32.59	47.84	275.28	902.89	10.55	18.43	16.88	20.11	4.1	9.78	3.14
CORO1A	6207.38	1651.0	12853.63	15499.21	6426.31	6652.97	514.56	3820.7	525.39	563.18	599.49	1883.54	149.12	228.13	454.09	575.03	802.41	629.35	463.65	346.29	559.28	620.67	503.95	281.09	1001.93	3690.52	2224.63	74.58	244.57	6079.61	2075.59	2271.4	2777.33	3614.55	1519.15	651.58	1709.26	351.14	1143.1	1977.24	258.57	981.29	2032.85	4210.15	7382.04	305.55	854.13	642.59	1340.84	293.07	201.25	126.12
CRTAM	50.98	8.58	198.47	281.09	246.28	183.82	7.4	69.03	5.36	2.29	7.06	11.82	0.47	8.25	7.17	18.56	2.27	7.34	10.63	3.99	2.29	4.13	2.66	2.05	3.23	33.06	23.42	0.93	1.03	55.49	41.22	30.34	31.45	59.97	24.99	16.27	25.35	6.11	24.99	21.63	7.88	7.51	63.45	72.52	198.47	26.86	19.11	22.59	2.94	0.0	2.89	0.88
CST7	1167.14	406.31	1950.0	2855.44	1794.29	1709.26	201.25	1059.11	31.0	18.84	111.21	232.94	36.01	44.57	127.89	291.04	177.53	94.67	90.77	52.08	112.77	131.51	51.71	50.63	137.14	426.57	460.44	26.28	42.71	830.75	638.15	1044.52	603.67	759.08	303.44	146.03	373.81	111.21	371.22	373.81	43.32	134.3	769.69	1295.13	2163.77	249.73	896.64	130.6	441.64	106.63	101.54	18.16
CXCR6	197.09	68.55	242.88	435.55	647.07	579.04	65.72	336.79	7.22	10.96	45.53	57.89	9.27	13.62	77.25	136.19	67.59	75.11	27.64	20.86	42.41	37.05	23.08	9.48	21.16	241.19	172.65	14.14	21.47	417.77	249.73	289.02	332.14	277.2	130.6	102.25	229.72	28.45	108.9	283.05	35.0	46.5	273.37	432.53	7642.41	15.56	403.5	116.78	102.25	26.86	20.71	5.19
CYTH4	426.57	92.05	1088.92	1088.92	620.67	595.34	44.89	332.14	56.28	29.27	106.63	189.02	59.55	29.48	166.73	127.89	171.45	96.01	89.51	59.97	131.51	127.0	87.65	29.7	117.6	343.89	187.71	10.71	38.95	497.0	366.09	248.0	620.67	426.57	121.79	59.13	144.01	14.67	111.99	151.22	37.05	78.89	323.03	620.67	1044.52	17.0	69.03	59.97	114.36	29.27	20.26	12.83
CYTIP	1259.69	307.69	1477.58	2485.67	1709.26	995.0	67.59	497.0	16.75	27.25	34.75	79.45	12.55	12.0	44.57	56.28	29.48	33.06	21.94	14.24	27.05	42.71	26.47	11.21	55.1	738.29	214.27	6.57	8.99	954.43	279.14	435.55	723.08	559.28	185.11	72.01	234.57	25.17	148.09	190.34	59.13	85.22	334.46	1322.37	4450.27	19.82	61.25	46.18	58.3	23.93	18.97	27.05
DOCK10	454.09	152.28	1037.29	1295.13	813.63	791.35	267.73	287.01	20.56	33.06	129.69	136.19	50.98	32.82	176.29	98.04	86.43	124.37	61.25	101.54	96.01	86.43	121.79	32.82	132.44	371.22	249.73	20.56	65.26	493.56	265.87	148.09	406.31	432.53	187.71	88.26	271.48	37.05	202.66	327.56	49.56	156.59	291.04	463.65	1359.57	265.87	133.36	220.32	94.67	101.54	68.55	92.05
DOCK2	656.11	209.84	1551.09	1594.73	909.17	941.27	29.91	363.56	24.11	17.64	62.56	114.36	17.38	13.03	87.65	65.72	57.89	56.28	42.71	32.13	38.4	63.89	51.35	12.55	94.67	785.88	323.03	7.06	38.4	563.18	248.0	242.88	473.41	511.0	149.12	90.77	185.11	34.75	158.79	209.84	49.91	92.05	353.59	633.73	7331.05	29.7	94.01	76.17	109.66	16.63	22.75	36.27
DOK1	348.71	107.38	679.29	454.09	738.29	397.93	11.73	251.48	23.42	157.68	94.01	198.47	29.48	15.34	138.1	129.69	127.89	63.0	64.8	34.26	132.44	197.09	66.18	28.65	66.18	228.13	120.94	48.87	43.94	275.28	241.19	198.47	299.25	236.21	115.97	63.0	114.36	30.12	114.36	98.04	41.52	80.57	206.94	341.51	500.46	17.77	29.06	81.71	26.28	26.47	17.9	40.93
ETS1	1757.34	902.89	4639.29	4869.99	3742.05	2224.63	136.19	988.12	256.78	223.41	283.05	718.08	246.28	170.25	563.18	854.13	305.55	301.33	269.6	99.43	353.59	587.13	409.15	146.03	231.32	660.68	366.09	208.38	117.6	1388.16	1167.14	607.87	2485.67	2178.83	381.68	214.27	476.71	77.25	400.71	392.44	669.92	158.79	1088.92	1397.83	2701.35	305.55	507.46	232.94	126.12	113.56	136.19	72.01
EVI2A	633.73	205.5	791.35	2255.7	764.36	1037.29	69.03	351.14	31.67	18.84	50.98	88.88	27.64	23.93	135.24	87.03	42.71	46.5	41.52	33.3	40.36	69.03	57.08	13.12	55.89	269.6	129.69	9.13	13.83	728.11	336.79	258.57	480.04	603.67	169.07	94.01	190.34	73.03	152.28	140.04	30.34	80.01	327.56	775.05	1883.54	21.78	64.34	98.73	33.54	24.63	31.0	13.42
EVI2B	1051.79	334.46	2915.45	4704.07	1819.35	1781.89	41.52	571.05	46.5	37.05	134.3	249.73	53.95	39.79	226.54	163.28	105.15	124.37	87.65	76.17	92.7	146.03	113.56	39.22	133.36	854.13	283.05	14.35	56.28	1529.73	616.37	358.54	780.44	848.22	297.17	135.24	361.04	66.65	273.37	249.73	64.34	189.02	473.41	1135.2	3742.05	14.24	55.1	149.12	91.41	41.22	31.67	55.89
FAM65B	463.65	138.1	1909.85	2178.83	813.63	775.05	7.0	265.87	6.62	19.39	35.0	122.64	29.27	13.12	38.95	41.81	29.27	30.78	28.86	16.51	25.17	43.02	14.67	12.27	81.14	267.73	94.67	6.41	8.45	336.79	154.42	57.49	242.88	376.41	73.03	16.51	111.99	9.13	69.52	83.45	11.38	43.94	115.97	423.61	559.28	26.1	45.85	48.18	31.22	19.11	27.05	15.56
FGD3	457.25	170.25	1073.91	1208.34	813.63	703.28	241.19	447.82	26.67	78.34	140.04	202.66	132.44	70.01	144.01	119.26	154.42	102.97	123.5	127.0	92.05	97.36	115.16	30.34	152.28	273.37	169.07	19.11	112.77	323.03	269.6	214.27	255.0	325.29	173.85	99.43	113.56	43.94	217.27	190.34	88.88	123.5	150.17	384.34	1388.16	84.63	127.0	158.79	92.05	61.25	45.53	58.71
FMNL1	1088.92	379.04	2537.92	3060.45	1407.55	1733.13	205.5	854.13	218.79	125.24	358.54	616.37	218.79	384.34	432.53	454.09	521.76	318.57	234.57	229.72	366.09	376.41	285.03	123.5	414.87	1059.11	638.15	99.43	133.36	1059.11	769.69	866.07	1340.84	1096.5	351.14	215.77	368.65	63.0	371.22	521.76	150.17	265.87	591.22	1662.49	4903.87	106.63	271.48	141.02	163.28	73.54	37.05	94.01
FOXP3	178.77	45.85	299.25	713.11	368.65	476.71	55.89	167.9	19.11	14.14	53.19	100.83	8.13	3.86	68.55	90.14	97.36	41.81	53.95	32.13	43.02	56.68	47.17	7.82	59.13	217.27	105.89	21.78	20.11	441.64	251.48	236.21	318.57	334.46	92.7	33.3	64.34	10.0	77.25	70.01	28.24	62.12	76.17	208.38	323.03	87.03	91.41	26.47	80.01	13.93	11.3	5.87
GIMAP2	525.39	109.66	1191.69	1617.0	995.0	1199.98	34.26	387.02	167.9	71.0	100.13	239.52	29.91	35.0	172.65	127.0	135.24	102.25	90.77	82.87	101.54	111.21	204.07	42.71	82.29	514.56	116.78	49.56	33.3	476.71	297.17	265.87	229.72	341.51	147.06	93.35	164.42	79.45	166.73	156.59	83.45	60.82	343.89	507.46	1023.0	27.25	84.04	111.99	23.59	24.46	47.17	27.64
GMFG	3081.75	1242.34	4388.98	8022.41	3742.05	3589.58	94.67	1923.14	265.87	232.94	435.55	718.08	289.02	217.27	629.35	343.89	679.29	348.71	307.69	307.69	543.96	536.45	351.14	189.02	371.22	1721.16	718.08	185.11	140.04	2367.9	1350.18	1457.23	1651.0	1322.37	624.99	332.14	808.0	441.64	603.67	563.18	177.53	409.15	1268.46	2240.11	5517.27	309.83	493.56	490.14	417.77	185.11	314.17	127.0
GPR174	90.14	7.0	376.41	460.44	109.66	281.09	19.11	79.45	0.0	0.0	5.15	22.26	0.0	1.04	12.0	17.0	3.76	7.69	7.94	2.58	2.84	6.26	1.07	0.78	10.24	92.05	31.9	0.0	5.11	88.26	48.52	29.06	53.19	77.79	14.03	10.63	29.7	1.01	22.1	49.56	2.71	8.99	49.91	147.06	289.02	3.96	33.06	4.9	10.31	0.0	0.06	1.5
