	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.S95S.0326.SM.4B66U	GTEX.147F4.2626.SM.5Q5CS	TCGA.CJ.5680.11A.01R.1541.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.OXRP.0526.SM.2I3EW	GTEX.ZVP2.0826.SM.59HJ6	GTEX.R53T.1226.SM.48FCT	GTEX.QV44.1226.SM.4R1KE	GTEX.O5YW.1526.SM.3MJGL	GTEX.S7SF.0626.SM.4AD4V
MTPN	1794.29	1733.13	2032.85	1651.0	1605.83	2209.26	764.36	1963.57	1950.0	239.52	269.6	287.01	173.85	791.35	258.57	688.78	525.39	153.34	289.02	587.13	228.13	198.47	248.0	638.15	490.14	186.4	454.09	246.28	299.25	1844.76	2133.97	1295.13	896.64	1044.52	1896.65
MTX3	249.73	152.28	295.11	121.79	211.31	332.14	100.13	236.21	102.97	4.7	21.47	24.28	2.29	53.19	16.03	47.84	36.53	16.03	27.05	40.07	13.22	15.45	18.43	27.84	41.22	25.72	38.95	35.0	5.41	52.08	194.36	103.69	90.14	77.25	172.65
NEDD1	423.61	346.29	612.11	314.17	403.5	536.45	193.01	435.55	314.17	17.9	37.05	43.94	17.64	114.36	34.02	90.77	79.45	43.63	26.86	84.04	28.86	31.67	67.59	53.57	44.89	39.79	51.71	63.89	24.46	217.27	447.82	176.29	124.37	164.42	285.03
NMBR	2.51	3.92	3.96	1.04	5.06	3.29	1.51	1.45	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	2.66	5.06	0.0	2.97	8.78
NOG	9.85	5.68	5.32	19.25	13.03	54.72	10.63	507.46	4.13	0.0	1.71	0.99	0.0	1.03	2.39	2.53	0.0	0.49	0.0	1.06	0.0	0.0	2.81	1.55	0.0	0.0	1.36	0.89	1.58	22.43	30.34	44.25	17.51	5.73	7.57
NOMO2	878.17	866.07	638.15	1088.92	896.64	825.0	679.29	1175.27	1051.79	423.61	162.14	329.84	256.78	854.13	253.23	743.43	563.18	212.78	353.59	679.29	563.18	228.13	341.51	743.43	514.56	329.84	299.25	267.73	137.14	1066.48	1143.1	1096.5	647.07	819.3	1143.1
PARD6G	211.31	180.02	336.79	264.03	255.0	532.74	39.5	100.13	167.9	38.95	36.53	51.35	37.85	23.59	46.18	74.06	70.51	34.51	28.04	35.5	198.47	55.1	39.5	63.89	59.55	30.56	32.13	36.01	28.86	128.79	256.78	165.57	92.7	85.82	384.34
PARP1	1023.0	1225.22	1001.93	1721.16	1151.06	1008.9	1183.45	1199.98	1096.5	587.13	426.57	463.65	503.95	1437.15	466.88	769.69	583.07	409.15	473.41	1030.12	532.74	480.04	500.46	974.5	764.36	406.31	629.35	486.75	476.71	1259.69	1977.24	1583.71	1216.75	1832.01	1208.34
PCDHB3	38.4	51.35	47.5	40.64	64.8	144.01	17.38	368.65	48.52	1.73	5.59	5.11	0.0	1.55	0.54	2.76	0.43	1.41	2.27	2.78	0.0	0.0	2.51	4.1	7.75	3.72	4.62	7.06	0.62	45.21	71.5	21.78	11.38	29.7	42.11
PRDM4	518.15	412.0	543.96	387.02	432.53	529.06	373.81	532.74	579.04	47.17	63.45	75.11	49.56	120.94	72.52	100.13	99.43	70.01	40.36	83.45	92.05	75.11	76.17	74.58	159.9	67.12	57.89	87.65	38.95	336.79	295.11	366.09	265.87	269.6	387.02
