	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.11I78.1326.SM.5PNY9	GTEX.13CF3.1326.SM.5LZXZ	GTEX.ZTSS.1226.SM.51MSZ	GTEX.13CF3.1426.SM.5K7YY	GTEX.11EM3.1626.SM.5N9CO	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.RM2N.1926.SM.48FCU	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZV6S.1526.SM.5NQ7O
FAM211B	35.0	128.79	173.85	209.84	104.42	139.07	392.44	447.82	480.04	860.08	151.22	728.11	112.77	208.38	1540.37	981.29	2018.8	191.67	1023.0	1037.29	1662.49	1191.69	189.02	684.02	518.15	61.25	961.07	878.17	473.41	825.0	1143.1	1286.18	854.13	1359.57	669.92	1769.57	1498.22	764.36	961.07	1191.69	559.28	1331.57	0.0	0.58	279.14
FGFR4	6.46	131.51	135.24	134.3	63.89	164.42	780.44	1135.2	1757.34	995.0	842.36	1819.35	343.89	872.1	2591.27	4607.24	4575.41	532.74	3060.45	2384.37	4358.66	4210.15	599.49	1950.0	1977.24	229.72	2178.83	4181.07	1369.04	2351.53	4836.35	5292.48	1023.0	3443.31	2133.97	2777.33	4268.94	2816.11	2417.67	2895.31	1001.93	3039.3	0.0	0.61	53.95
FOXRED1	921.88	197.09	343.89	314.17	303.44	400.71	1104.13	836.53	921.88	902.89	796.86	1199.98	902.89	764.36	1135.2	1457.23	2193.99	878.17	1183.45	1242.34	1685.71	1477.58	376.41	1313.23	1639.59	1001.93	1096.5	1322.37	435.55	616.37	1519.15	1081.39	764.36	1277.29	1191.69	1127.35	1096.5	1388.16	1023.0	967.76	1286.18	1242.34	400.71	244.57	277.2
GDPD4	0.0	0.0	4.31	0.0	0.74	0.26	6.84	10.0	22.26	12.18	1.25	27.25	6.46	4.54	45.85	156.59	85.82	2.48	113.56	39.5	73.54	14.35	7.4	39.5	27.25	0.38	48.52	86.43	3.53	9.78	23.93	110.43	30.56	70.01	9.27	46.18	111.99	23.25	15.56	67.12	7.51	60.39	0.0	0.12	0.0
GLDC	8.65	2.73	12.74	3.89	12.74	14.35	1175.27	1674.06	1896.65	1923.14	1806.78	842.36	543.96	1250.98	3491.39	2240.11	6561.36	1832.01	3847.29	10225.32	3614.55	1583.71	65.26	5954.47	2335.28	647.07	7280.4	3443.31	1175.27	1857.6	642.59	2555.58	6337.83	3794.3	638.15	1963.57	1322.37	2335.28	1733.13	1015.93	1757.34	1651.0	0.0	0.35	4.28
GPAM	55.89	53.57	131.51	95.34	54.72	64.8	423.61	2193.99	1870.53	896.64	1135.2	1259.69	170.25	384.34	13872.08	18431.96	39510.91	249.73	12329.98	19214.73	3018.3	5366.37	624.99	5594.3	3443.31	234.57	18560.17	2367.9	674.59	961.07	3018.3	10808.41	1378.57	6121.9	684.02	2367.9	8363.13	1674.06	1923.14	3212.66	1030.12	5147.73	0.0	0.0	43.02
GRB14	3.69	8.25	194.36	54.72	22.75	38.12	514.56	1143.1	785.88	836.53	379.04	1350.18	193.01	759.08	2591.27	1745.2	2193.99	366.09	2835.7	2976.74	4010.71	1427.22	796.86	1721.16	1183.45	218.79	1794.29	3081.75	679.29	1037.29	1662.49	1304.15	915.51	2915.45	1225.22	2417.67	2997.45	1104.13	2032.85	2855.44	718.08	2104.58	0.0	0.52	33.54
HAPLN4	0.0	2.05	3.17	2.32	2.86	3.2	60.82	25.35	19.82	86.43	0.74	98.04	13.62	8.51	215.77	1388.16	525.39	13.03	638.15	173.85	251.48	96.01	6.94	37.59	96.01	0.0	638.15	301.33	38.4	161.02	87.65	271.48	119.26	142.01	39.5	80.01	229.72	84.04	38.4	211.31	33.54	379.04	0.0	0.2	7.63
HCN3	7.75	40.64	41.22	28.24	34.02	30.56	239.52	186.4	187.71	220.32	186.4	575.03	50.63	149.12	723.08	1594.73	1059.11	127.89	1051.79	813.63	748.61	638.15	99.43	426.57	466.88	15.34	1277.29	665.29	183.82	217.27	759.08	1008.9	540.19	802.41	473.41	647.07	791.35	423.61	457.25	825.0	511.0	775.05	0.0	0.6	9.7
HDAC6	890.44	1044.52	974.5	780.44	954.43	967.76	1950.0	1745.2	2209.26	3690.52	1388.16	2796.65	1662.49	1407.55	4512.4	4066.71	5751.61	2271.4	5329.3	3419.52	4512.4	3235.01	1167.14	2287.2	2835.7	1001.93	4639.29	4704.07	1572.76	1963.57	4388.98	3639.7	3716.2	3443.31	2193.99	4512.4	5751.61	2701.35	2701.35	6699.25	1857.6	3443.31	0.0	1.08	460.44
HGFAC	0.0	5.15	3.86	5.92	4.21	2.03	4607.24	5112.16	6250.56	19482.97	40.07	7589.61	102.25	128.79	32315.87	22225.61	86474.27	769.69	58655.36	25179.16	53601.03	19082.0	476.71	16960.78	33455.53	420.68	21468.49	52863.07	3212.66	1104.13	28525.2	36864.92	11664.82	51062.33	13492.72	41188.81	114897.47	17681.08	44452.21	65535.0	2400.97	40621.74	0.0	0.62	0.0
IL17RC	275.28	733.19	1044.52	1008.9	848.22	896.64	1909.85	1378.57	2148.82	1757.34	718.08	2193.99	688.78	679.29	2855.44	3768.09	4512.4	878.17	3515.68	2047.0	3303.0	2609.3	819.3	1477.58	2367.9	480.04	4328.55	2303.12	884.29	1519.15	3060.45	3190.46	1806.78	2591.27	1819.35	2319.15	2520.38	2018.8	1883.54	3467.27	1304.15	3190.46	0.0	0.55	543.96
IL23A	6.78	2.25	7.34	3.06	12.0	4.39	8.06	7.0	10.08	8.45	4.39	12.36	8.38	5.11	11.04	22.92	55.49	0.05	29.7	14.67	27.05	13.32	5.5	22.75	8.51	9.56	25.91	38.4	7.63	11.91	20.56	34.26	8.51	41.52	7.34	13.22	7.11	13.32	11.3	12.36	6.57	6.73	0.0	0.35	4.5
ISM1	7.34	46.5	38.67	51.71	35.25	7.11	78.34	37.05	38.12	53.19	34.51	62.56	7.46	75.11	334.46	638.15	780.44	41.52	507.46	878.17	199.85	76.17	346.29	476.71	71.5	72.52	591.22	120.94	19.53	30.12	59.97	165.57	234.57	307.69	58.71	444.72	90.14	26.86	143.01	111.99	24.63	379.04	0.0	0.43	18.03
MTFR1L	493.56	1350.18	1417.35	1199.98	1183.45	1508.65	915.51	1467.37	1572.76	1477.58	603.67	1313.23	872.1	684.02	1540.37	1769.57	2209.26	764.36	1870.53	1697.45	2335.28	2018.8	738.29	1250.98	1350.18	603.67	1685.71	2351.53	947.83	1268.46	1639.59	1832.01	1304.15	2119.22	1487.87	2163.77	2417.67	1104.13	1447.15	2004.85	967.76	1991.0	0.0	0.69	909.17
MTRNR2L12	187.71	44.89	166.73	125.24	119.26	93.35	603.67	647.07	514.56	551.56	96.01	559.28	0.0	236.21	1369.04	1135.2	1605.83	497.0	1199.98	1167.14	1159.07	1073.91	234.57	665.29	555.41	325.29	1216.75	1001.93	423.61	808.0	759.08	1008.9	1216.75	1096.5	723.08	277.2	954.43	320.8	780.44	551.56	1143.1	1369.04	0.0	0.0	0.0
MTRNR2L9	12.45	71.0	36.01	59.13	54.72	87.65	51.35	94.01	49.91	107.38	51.35	146.03	5.77	38.95	202.66	358.54	279.14	58.71	341.51	135.24	131.51	223.41	39.5	165.57	80.57	37.32	223.41	285.03	141.02	204.07	104.42	208.38	248.0	117.6	47.5	80.57	149.12	36.53	164.42	145.02	389.72	152.28	0.0	0.0	31.22
NYNRIN	11.13	50.98	54.33	62.56	52.08	68.55	8.06	41.81	178.77	25.54	51.71	41.22	46.18	21.63	63.89	444.72	563.18	18.29	77.79	74.58	244.57	152.28	13.72	166.73	11.73	5.19	214.27	63.45	37.85	11.3	376.41	69.03	33.54	137.14	75.11	130.6	159.9	46.18	241.19	277.2	29.91	73.03	0.0	0.39	62.56
PFKFB1	7.57	0.93	3.06	22.59	0.0	2.43	412.0	466.88	547.75	1674.06	52.08	1037.29	51.35	236.21	1745.2	2935.74	4607.24	212.78	2032.85	1662.49	3614.55	2061.24	95.34	1037.29	909.17	7.0	1540.37	1883.54	201.25	493.56	915.51	1572.76	470.14	2119.22	1304.15	2502.97	6561.36	1628.26	1397.83	1923.14	466.88	813.63	0.0	0.08	1.3
PGAP2	255.0	157.68	248.0	262.2	208.38	271.48	438.59	599.49	500.46	629.35	447.82	684.02	417.77	435.55	819.3	872.1	1159.07	450.94	974.5	718.08	1143.1	830.75	309.83	633.73	860.08	242.88	651.58	941.27	583.07	543.96	629.35	1015.93	890.44	854.13	830.75	981.29	1304.15	723.08	808.0	954.43	486.75	825.0	0.0	0.21	264.03
PIGQ	603.67	343.89	563.18	356.05	403.5	389.72	412.0	518.15	457.25	688.78	305.55	480.04	497.0	305.55	1015.93	995.0	1388.16	229.72	830.75	967.76	947.83	743.43	363.56	703.28	587.13	249.73	909.17	607.87	521.76	872.1	454.09	620.67	872.1	759.08	728.11	775.05	854.13	1008.9	656.11	536.45	525.39	629.35	0.0	0.73	642.59
RAB26	0.0	4.35	11.64	11.91	8.58	8.65	323.03	493.56	743.43	521.76	356.05	769.69	35.0	167.9	2178.83	2645.74	2935.74	115.16	2163.77	1674.06	1477.58	1709.26	56.68	988.12	1540.37	34.26	1769.57	1277.29	246.28	271.48	1447.15	1685.71	748.61	2193.99	748.61	2104.58	1697.45	1674.06	1225.22	1936.53	490.14	1963.57	0.0	0.24	11.82
RAC3	232.94	4.28	43.32	54.72	25.91	49.21	170.25	171.45	363.56	336.79	137.14	575.03	95.34	164.42	1167.14	1685.71	1378.57	68.55	836.53	629.35	769.69	651.58	50.98	497.0	583.07	48.52	902.89	656.11	101.54	301.33	860.08	703.28	567.1	934.76	249.73	842.36	1059.11	775.05	698.41	647.07	260.38	1167.14	0.0	0.56	29.91
RFNG	571.05	587.13	616.37	540.19	435.55	595.34	1159.07	1628.26	1936.53	1769.57	759.08	1769.57	830.75	748.61	3395.89	2997.45	3419.52	764.36	2178.83	2255.7	2400.97	2645.74	684.02	2061.24	2061.24	921.88	2855.44	2193.99	1208.34	1662.49	2400.97	2520.38	1662.49	3168.41	1950.0	1883.54	2609.3	2032.85	2133.97	2384.37	941.27	2502.97	0.0	0.83	503.95
RNF208	8.45	80.57	161.02	297.17	52.08	68.07	260.38	297.17	267.73	334.46	98.04	269.6	108.14	119.26	612.11	423.61	624.99	82.87	403.5	633.73	511.0	373.81	144.01	414.87	414.87	82.29	444.72	412.0	285.03	389.72	429.54	432.53	571.05	457.25	318.57	397.93	447.82	698.41	361.04	316.37	173.85	525.39	0.0	0.51	113.56
SFXN5	64.8	90.14	150.17	88.26	253.23	115.16	660.68	842.36	866.07	1175.27	460.44	1437.15	395.18	525.39	1427.22	2664.15	1963.57	432.53	2367.9	1540.37	1685.71	1447.15	376.41	1008.9	1639.59	165.57	1498.22	1674.06	988.12	1250.98	1051.79	2061.24	1183.45	2104.58	1233.75	1605.83	2319.15	1551.09	1225.22	1277.29	743.43	2502.97	0.0	0.57	38.67
SLC25A10	366.09	185.11	251.48	249.73	248.0	135.24	2627.46	2303.12	3690.52	2956.17	2701.35	3742.05	1059.11	2271.4	7749.1	8901.53	6745.86	1639.59	7130.55	5995.9	5594.3	4419.52	1583.71	4607.24	5076.84	703.28	9151.82	6164.49	1551.09	3820.7	6935.54	6935.54	4268.94	6745.86	3564.78	6207.38	7280.4	6426.31	4095.0	4769.75	3794.3	6699.25	0.0	0.0	234.57
SLC39A5	0.0	92.7	60.39	75.11	73.54	136.19	5183.54	4836.35	5403.7	8538.88	2119.22	14561.8	39.22	1369.04	16843.62	18689.27	36610.26	4123.49	29943.43	13776.25	40904.3	25708.25	2400.97	14163.58	14262.1	1051.79	14065.74	25354.3	9215.48	12764.83	15075.35	11745.96	11584.24	27745.15	13306.94	27363.16	34396.12	9606.86	21468.49	16496.96	13123.73	24153.43	0.0	0.48	52.08
SLC6A1	2.46	4.86	7.94	6.21	4.74	4.46	743.43	1001.93	1175.27	432.53	318.57	1883.54	63.45	251.48	5076.84	7911.95	7803.01	381.68	4298.64	4769.75	3443.31	2682.69	674.59	3081.75	2664.15	81.71	13681.08	6164.49	1030.12	518.15	5366.37	4671.57	2018.8	3443.31	3280.18	4481.23	5791.62	5076.84	3982.99	3212.66	848.22	6207.38	0.0	0.29	8.25
SLC6A13	0.0	0.38	4.17	1.03	4.39	1.66	303.44	373.81	256.78	656.11	53.57	463.65	23.59	62.12	780.44	713.11	1159.07	189.02	2119.22	693.58	3190.46	878.17	71.5	540.19	629.35	1.89	587.13	1832.01	279.14	493.56	909.17	775.05	379.04	1437.15	693.58	1073.91	1709.26	166.73	860.08	1963.57	490.14	1119.56	0.0	0.0	4.74
SPG7	529.06	915.51	941.27	1037.29	878.17	656.11	1104.13	802.41	884.29	1037.29	497.0	1037.29	759.08	536.45	1628.26	1733.13	1757.34	575.03	1844.76	1529.73	1870.53	1295.13	743.43	1250.98	1111.82	825.0	1508.65	1721.16	743.43	995.0	1183.45	1487.87	1216.75	1936.53	988.12	1857.6	2075.59	1191.69	1407.55	1437.15	785.88	1551.09	0.0	0.95	669.92
TM6SF2	10.63	22.92	16.75	19.53	14.14	31.45	1259.69	854.13	1008.9	3212.66	217.27	1191.69	68.07	343.89	2271.4	9673.69	9344.14	291.04	6983.79	3614.55	9025.81	2104.58	56.68	1250.98	2915.45	34.75	13033.07	4095.0	961.07	2627.46	6294.04	5403.7	4066.71	3303.0	1963.57	2502.97	5147.73	2855.44	2384.37	4210.15	3515.68	2351.53	0.0	0.31	49.21
TMEM175	83.45	334.46	473.41	327.56	325.29	660.68	842.36	532.74	775.05	723.08	387.02	961.07	563.18	480.04	967.76	902.89	2018.8	521.76	1359.57	825.0	1304.15	830.75	503.95	769.69	961.07	384.34	688.78	1167.14	830.75	896.64	954.43	830.75	1313.23	1233.75	1088.92	974.5	1721.16	1561.89	1001.93	1583.71	769.69	848.22	0.0	0.8	289.02
TMEM63B	343.89	525.39	497.0	409.15	429.54	403.5	571.05	620.67	486.75	688.78	633.73	1447.15	403.5	785.88	579.04	669.92	2319.15	511.0	1183.45	981.29	1467.37	1135.2	507.46	866.07	454.09	381.68	567.1	830.75	769.69	708.18	796.86	967.76	1001.93	866.07	836.53	1477.58	1639.59	1242.34	1286.18	629.35	688.78	928.3	0.0	0.33	142.01
UPB1	0.92	1.03	2.07	3.69	1.38	1.62	4210.15	4769.75	5555.65	7537.18	1721.16	20451.65	132.44	842.36	38966.94	45386.27	47313.67	2133.97	32767.0	10368.08	32540.65	39510.91	1685.71	8718.32	32315.87	68.07	27363.16	17681.08	3146.52	4181.07	32092.64	82378.63	7911.95	18819.27	18560.17	25179.16	63302.6	11112.3	17804.06	54349.29	10225.32	33688.23	0.0	0.28	4.5
VPS37D	3.11	39.22	36.01	45.53	8.19	18.84	43.63	82.29	59.97	66.65	38.67	125.24	23.08	39.22	129.69	163.28	426.57	26.28	224.97	314.17	155.5	106.63	24.46	85.22	119.26	13.22	376.41	190.34	32.36	90.77	221.86	161.02	100.83	285.03	125.24	128.79	457.25	97.36	105.15	255.0	152.28	186.4	0.0	0.27	82.29
ZBTB48	154.42	232.94	314.17	348.71	301.33	323.03	493.56	497.0	575.03	551.56	212.78	674.59	503.95	279.14	1127.35	1015.93	1023.0	221.86	872.1	674.59	1191.69	656.11	295.11	532.74	555.41	293.07	703.28	819.3	412.0	854.13	954.43	656.11	713.11	718.08	775.05	884.29	1037.29	674.59	819.3	764.36	688.78	723.08	0.0	0.72	693.58
