	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HI.01A.11R.A38B.07	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.11TT1.1026.SM.5PNW7	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	TCGA.49.4506.01A.01R.1206.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11PRG.0926.SM.5EGI8	GTEX.11GSP.0726.SM.5986L	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.13QJ3.1026.SM.5QGQU	GTEX.SN8G.0926.SM.4DM5I	GTEX.111VG.0726.SM.5GIDC	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.ZP4G.0726.SM.4WWF2
AL358333.1	97.36	0.0	39.5	0.0	0.0	0.69	9.2	75.11	2.71	70.01	82.87	28.45	14.67	25.17	21.01	346.29	148.09	43.32	36.79	0.0	161.02	131.51	119.26	147.06	0.0	70.51	65.72	36.27	151.22	44.25	40.64	117.6	92.7	20.56	69.03	19.25	21.63	30.12	115.16	0.0	77.79	0.0	46.5	1.19	56.68	48.18	61.68	70.51	59.97	92.7	769.69	624.99	262.2	39.22	198.47	339.14	211.31	693.58	301.33	669.92	309.83	529.06	348.71	107.38	780.44	361.04	0.0	4.94	223.41	93.35	376.41	47.84	124.37	143.01	51.35	309.83
ANGPTL2	518.15	679.29	164.42	82.29	53.19	44.57	128.79	58.3	55.1	215.77	88.26	154.42	161.02	129.69	62.12	1498.22	260.38	133.36	117.6	76.71	246.28	116.78	620.67	1407.55	73.54	543.96	148.09	129.69	1216.75	417.77	147.06	343.89	187.71	110.43	563.18	171.45	131.51	251.48	2018.8	107.38	152.28	167.9	134.3	25.35	208.38	563.18	909.17	305.55	289.02	180.02	674.59	591.22	591.22	283.05	363.56	713.11	178.77	1322.37	1081.39	518.15	2032.85	1030.12	819.3	679.29	1304.15	231.32	3212.66	521.76	1832.01	872.1	830.75	480.04	713.11	358.54	334.46	2209.26
AOC3	934.76	135.24	567.1	72.52	66.18	94.01	194.36	42.11	84.63	358.54	18.16	28.86	89.51	42.41	40.93	2915.45	249.73	53.95	307.69	77.25	583.07	30.78	323.03	42.71	31.22	454.09	75.64	55.1	693.58	329.84	158.79	244.57	212.78	186.4	151.22	51.71	249.73	54.72	1487.87	141.02	241.19	120.1	49.21	80.57	198.47	493.56	723.08	231.32	248.0	147.06	3847.29	5366.37	4512.4	1051.79	497.0	4419.52	2835.7	8078.22	4769.75	3168.41	6840.04	13033.07	15934.98	7642.41	14065.74	3395.89	7966.99	4671.57	7382.04	4972.34	5041.77	205.5	303.44	191.67	371.22	4704.07
ARHGAP24	197.09	49.91	27.05	40.93	9.56	20.56	38.67	2.01	11.55	17.51	14.03	17.13	39.5	8.65	28.86	232.94	54.72	16.75	49.56	6.57	27.05	59.97	34.02	37.05	11.73	62.56	21.47	21.78	108.9	34.02	22.92	66.65	45.53	5.54	52.45	22.59	25.54	24.99	161.02	21.94	42.41	20.26	25.54	5.54	96.01	127.89	111.99	182.55	138.1	36.01	358.54	1088.92	559.28	346.29	297.17	665.29	2090.03	848.22	1295.13	599.49	7130.55	1498.22	540.19	460.44	2555.58	361.04	791.35	1051.79	748.61	866.07	1104.13	84.63	81.14	102.97	95.34	426.57
ARHGAP31	86.43	40.93	23.76	7.63	9.2	11.64	57.89	8.19	29.7	13.22	15.8	17.38	16.51	8.99	12.64	95.34	34.02	10.96	31.67	10.88	66.65	41.22	86.43	92.7	6.62	56.68	16.51	25.54	69.03	48.52	19.82	42.41	53.57	14.78	58.71	28.04	43.94	21.16	75.64	13.03	34.51	17.9	33.54	9.41	52.08	100.13	124.37	34.75	64.34	24.46	264.03	480.04	299.25	256.78	312.0	353.59	514.56	486.75	665.29	607.87	921.88	775.05	507.46	223.41	258.57	1388.16	285.03	341.51	890.44	334.46	748.61	117.6	104.42	84.63	139.07	260.38
ARHGEF10	242.88	102.97	31.67	30.78	32.59	78.89	129.69	18.29	63.0	27.44	40.36	120.94	21.01	53.95	9.93	131.51	66.65	84.63	76.17	85.82	37.59	51.71	56.68	70.51	51.35	137.14	100.83	64.34	167.9	32.36	97.36	149.12	45.21	65.72	52.82	81.14	53.57	72.01	131.51	13.12	58.71	34.51	78.34	6.01	128.79	145.02	175.07	130.6	173.85	157.68	587.13	884.29	371.22	255.0	147.06	612.11	426.57	327.56	909.17	1096.5	423.61	521.76	1096.5	775.05	819.3	400.71	802.41	314.17	1233.75	579.04	540.19	153.34	140.04	153.34	151.22	620.67
ARHGEF17	409.15	241.19	145.02	123.5	41.52	47.17	169.07	99.43	50.63	73.54	42.41	189.02	63.0	62.56	212.78	457.25	125.24	98.73	59.97	85.82	101.54	147.06	67.12	236.21	241.19	277.2	95.34	95.34	267.73	144.01	140.04	158.79	145.02	75.11	283.05	81.14	108.9	98.73	293.07	65.72	67.59	85.82	211.31	12.36	135.24	262.2	327.56	139.07	232.94	112.77	463.65	1295.13	902.89	127.89	921.88	444.72	1417.35	1008.9	612.11	1295.13	1059.11	2047.0	1151.06	854.13	2119.22	351.14	995.0	954.43	708.18	1870.53	612.11	753.83	536.45	500.46	733.19	738.29
BAI3	53.19	0.0	0.96	0.0	0.0	4.43	1.93	0.34	0.0	4.17	0.32	0.89	0.58	0.0	0.0	35.5	1.14	0.32	3.41	0.32	1.83	0.0	0.6	0.67	8.99	4.39	9.63	4.82	4.94	2.68	1.83	1.36	0.34	0.34	0.72	2.39	23.25	7.0	9.2	2.29	1.85	6.01	11.82	0.79	12.36	1.75	3.23	0.96	2.84	0.0	17.13	16.39	26.1	2.61	17.38	22.92	31.0	76.17	51.35	44.57	28.04	102.25	83.45	51.35	47.84	12.74	64.34	61.25	43.32	25.72	27.84	20.41	17.0	18.03	15.34	50.98
BHLHE22	6.26	11.04	4.74	5.28	3.72	4.1	2.25	2.29	6.01	2.71	4.86	6.46	10.16	2.56	2.86	40.36	16.39	4.86	3.08	1.57	9.78	5.87	8.25	9.48	0.88	7.22	1.64	1.53	8.32	11.38	5.45	7.06	25.35	3.82	15.0	1.22	3.69	1.5	44.25	7.17	7.94	4.46	15.56	4.28	10.79	15.22	79.45	19.82	5.73	13.22	22.1	27.05	62.56	87.65	31.9	35.25	138.1	45.85	82.87	46.18	29.27	6.94	34.51	74.06	269.6	12.83	17.9	16.75	24.11	21.32	26.1	4.54	9.63	3.17	3.72	10.88
C14orf132	201.25	34.51	56.28	13.22	42.71	67.12	38.12	40.93	6.36	2.46	4.31	35.0	3.2	8.65	5.77	82.87	61.68	92.7	3.14	2.84	12.09	384.34	19.82	24.81	15.11	21.47	33.78	4.28	108.9	13.12	27.44	18.29	31.45	2.94	16.27	19.82	14.78	31.67	78.89	4.39	81.14	5.19	16.75	6.31	27.64	55.1	76.17	45.53	64.34	24.11	107.38	599.49	269.6	121.79	460.44	176.29	305.55	525.39	51.35	941.27	59.97	486.75	981.29	381.68	616.37	713.11	143.01	2400.97	234.57	177.53	334.46	28.65	16.88	9.63	15.0	1216.75
C1QTNF2	141.02	10.71	8.51	6.57	1.45	8.78	8.85	0.67	3.32	5.11	4.24	2.36	3.41	2.56	2.58	53.19	8.19	6.06	2.73	4.94	5.45	7.57	4.74	5.28	2.01	15.56	4.54	1.83	12.93	9.13	6.36	27.64	11.47	1.3	7.69	8.32	17.9	4.1	44.89	2.61	11.55	11.73	5.63	1.19	23.42	17.0	12.83	24.46	12.93	4.43	124.37	149.12	85.22	26.86	104.42	78.34	26.47	314.17	157.68	113.56	72.52	224.97	185.11	103.69	191.67	36.01	48.52	62.56	124.37	60.39	81.14	11.55	16.03	11.91	7.0	121.79
C1QTNF5	2468.49	866.07	351.14	224.97	151.22	198.47	450.94	126.12	256.78	441.64	100.13	249.73	154.42	295.11	220.32	1977.24	902.89	221.86	173.85	334.46	587.13	316.37	1477.58	363.56	124.37	974.5	403.5	187.71	878.17	1059.11	325.29	743.43	1081.39	154.42	1023.0	285.03	511.0	301.33	1467.37	242.88	457.25	429.54	251.48	133.36	269.6	1104.13	1096.5	612.11	780.44	320.8	2573.36	2224.63	1051.79	1073.91	1250.98	1437.15	909.17	5872.48	2758.13	2758.13	3639.7	2417.67	2047.0	1216.75	1977.24	780.44	1378.57	1119.56	1781.89	1909.85	1745.2	1199.98	1350.18	665.29	1023.0	1143.1
C1QTNF7	555.41	20.71	15.45	5.96	4.58	8.51	61.68	2.63	7.82	8.38	1.85	3.26	2.29	8.58	2.61	89.51	64.8	5.77	7.51	13.22	71.0	3.69	4.17	31.67	0.88	37.59	4.24	11.13	19.97	13.32	13.93	26.47	23.76	3.23	5.32	11.04	40.36	5.87	100.83	11.73	15.8	18.7	21.32	12.09	8.06	16.27	16.39	29.91	17.77	2.94	41.52	170.25	343.89	110.43	154.42	155.5	142.01	559.28	165.57	595.34	36.79	521.76	825.0	371.22	204.07	145.02	55.49	769.69	334.46	140.04	209.84	14.89	28.65	5.87	50.63	269.6
CADM3	559.28	1.71	1.93	0.68	0.0	0.71	12.64	0.0	0.33	0.62	0.33	0.32	1.16	0.35	0.6	234.57	6.78	0.0	2.41	0.0	3.66	0.87	11.21	1.35	0.59	3.79	0.35	0.64	52.82	3.86	3.99	5.41	11.47	0.99	1.45	3.63	2.97	1.79	69.52	0.31	13.93	0.67	0.34	0.8	62.56	15.56	97.36	14.24	17.9	7.28	255.0	120.94	127.0	27.64	76.71	195.72	107.38	314.17	26.86	90.14	14.89	50.63	104.42	293.07	165.57	27.25	115.16	97.36	142.01	297.17	175.07	129.69	551.56	141.02	35.0	65.26
CALCRL	297.17	169.07	68.07	40.64	28.86	22.26	55.89	14.35	33.06	49.56	11.64	65.26	34.02	24.28	57.49	234.57	159.9	50.27	41.81	68.07	167.9	33.3	77.25	108.9	26.86	209.84	54.72	74.06	92.05	109.66	97.36	141.02	131.51	27.64	124.37	57.89	79.45	80.01	239.52	42.11	72.01	26.28	83.45	7.11	154.42	234.57	244.57	212.78	187.71	138.1	1617.0	4038.61	1030.12	616.37	961.07	1175.27	1819.35	1936.53	583.07	3081.75	1870.53	5751.61	7331.05	723.08	1639.59	967.76	2627.46	603.67	3955.48	2384.37	3665.02	231.32	153.34	181.28	287.01	256.78
CASKIN2	199.85	309.83	267.73	305.55	325.29	521.76	312.0	99.43	277.2	444.72	211.31	224.97	242.88	154.42	325.29	332.14	212.78	356.05	265.87	133.36	293.07	88.88	246.28	246.28	186.4	607.87	194.36	253.23	239.52	141.02	314.17	547.75	186.4	177.53	262.2	334.46	295.11	211.31	217.27	212.78	283.05	255.0	193.01	229.72	234.57	255.0	231.32	109.66	202.66	71.0	1119.56	571.05	387.02	373.81	493.56	941.27	591.22	1508.65	1769.57	674.59	1407.55	665.29	915.51	1119.56	1277.29	802.41	1059.11	400.71	1977.24	1037.29	1259.69	460.44	327.56	334.46	447.82	555.41
CBFA2T3	113.56	53.19	9.56	54.72	31.67	15.11	18.29	49.56	3.06	2.76	2.48	34.75	7.75	8.65	10.96	112.77	41.81	64.34	10.31	59.97	21.16	6.26	16.63	32.59	9.13	27.64	26.47	7.34	17.77	15.0	12.55	13.93	26.67	15.11	22.92	5.45	67.12	15.91	35.5	5.23	34.51	52.08	25.17	15.68	66.65	53.57	92.7	11.73	30.34	17.64	136.19	332.14	237.86	19.39	108.9	180.02	334.46	486.75	178.77	490.14	141.02	579.04	193.01	309.83	423.61	190.34	579.04	132.44	105.89	336.79	228.13	31.22	48.18	32.36	43.94	178.77
CCR10	11.21	17.9	8.92	59.97	8.06	9.27	5.5	2.32	13.62	14.14	4.62	42.41	8.58	7.06	4.66	46.84	20.26	17.25	7.57	20.71	11.73	108.9	36.79	7.69	13.93	31.45	4.94	9.13	9.7	7.34	4.66	8.19	13.22	2.94	11.73	49.56	9.63	5.63	18.7	5.23	10.16	7.11	14.56	21.78	16.75	18.97	40.36	13.42	3.53	21.32	104.42	86.43	94.01	79.45	14.14	86.43	29.06	102.97	59.13	37.85	108.14	165.57	66.18	77.79	136.19	23.08	48.18	40.93	47.5	164.42	91.41	15.68	35.5	83.45	36.01	83.45
CD248	2240.11	325.29	189.02	228.13	101.54	68.07	116.78	78.34	76.71	162.14	72.01	111.21	336.79	69.03	85.82	2224.63	339.14	122.64	102.97	55.1	318.57	260.38	521.76	191.67	22.75	368.65	165.57	111.99	1199.98	202.66	223.41	559.28	381.68	59.97	1111.82	126.12	135.24	163.28	1286.18	181.28	199.85	137.14	151.22	31.67	785.88	656.11	1340.84	420.68	244.57	327.56	1242.34	780.44	493.56	206.94	1225.22	299.25	140.04	1295.13	2468.49	392.44	1167.14	571.05	954.43	403.5	1119.56	264.03	262.2	145.02	1008.9	954.43	480.04	547.75	599.49	231.32	470.14	5633.22
CD93	819.3	371.22	164.42	77.79	66.65	55.1	187.71	36.27	63.89	89.51	48.52	139.07	93.35	46.18	104.42	595.34	269.6	92.05	112.77	84.63	381.68	647.07	228.13	195.72	43.63	339.14	90.77	146.03	248.0	221.86	193.01	303.44	191.67	87.03	366.09	134.3	185.11	181.28	454.09	100.83	178.77	85.22	217.27	29.48	409.15	356.05	457.25	103.69	316.37	158.79	2148.82	878.17	2255.7	358.54	454.09	3491.39	718.08	1508.65	4903.87	2367.9	3280.18	1498.22	1208.34	3419.52	4769.75	1437.15	941.27	1721.16	4481.23	3874.05	1561.89	293.07	260.38	277.2	656.11	454.09
CDC42EP2	583.07	262.2	232.94	111.21	39.5	128.79	224.97	144.01	258.57	49.56	423.61	187.71	46.84	713.11	169.07	473.41	194.36	205.5	77.79	127.89	423.61	748.61	389.72	63.45	107.38	88.88	120.94	133.36	435.55	90.14	55.1	139.07	1066.48	141.02	221.86	84.63	85.82	126.12	162.14	246.28	236.21	82.29	124.37	29.91	463.65	162.14	406.31	406.31	325.29	226.54	438.59	239.52	267.73	400.71	239.52	674.59	341.51	363.56	1561.89	307.69	1651.0	567.1	249.73	351.14	511.0	529.06	708.18	96.68	802.41	429.54	420.68	273.37	229.72	289.02	264.03	934.76
CDC42EP3	376.41	409.15	234.57	232.94	285.03	55.1	100.83	392.44	39.5	91.41	444.72	236.21	54.72	223.41	305.55	642.59	409.15	95.34	175.07	181.28	693.58	525.39	563.18	187.71	209.84	220.32	271.48	358.54	457.25	275.28	267.73	237.86	1127.35	48.52	283.05	187.71	136.19	620.67	785.88	82.29	289.02	91.41	246.28	423.61	140.04	314.17	438.59	244.57	395.18	118.43	785.88	878.17	1477.58	3257.52	713.11	2148.82	547.75	463.65	616.37	490.14	2335.28	470.14	536.45	583.07	525.39	397.93	567.1	915.51	854.13	1104.13	890.44	1551.09	1674.06	1467.37	1015.93	2645.74
