	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.R53T.0326.SM.48FEC	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.56.8082.11A.01R.2247.07
CASC5	16.88	9.06	0.71	119.26	122.64	156.59	37.59	146.03	75.11	78.89	109.66	228.13	38.95	167.9	220.32	49.56	255.0	154.42	22.43	9.34	12.55	44.89	19.39	3.96	8.38	8.92	4.54	27.84	6.89
CCNA2	33.3	59.97	9.06	164.42	127.89	220.32	271.48	76.17	316.37	389.72	163.28	297.17	189.02	638.15	111.99	17.38	159.9	17.51	72.52	40.93	28.86	171.45	120.94	8.0	14.67	12.18	20.56	155.5	11.38
CCNB1	242.88	191.67	144.01	1233.75	490.14	866.07	3325.99	339.14	1551.09	2537.92	1030.12	909.17	2573.36	3081.75	366.09	34.51	525.39	67.59	178.77	150.17	145.02	854.13	178.77	43.94	130.6	74.58	31.22	460.44	62.12
CCNB2	57.49	71.5	16.88	204.07	190.34	303.44	426.57	118.43	423.61	1183.45	258.57	780.44	368.65	915.51	139.07	4.9	149.12	26.28	70.51	66.18	50.27	269.6	81.14	29.7	49.91	42.41	34.75	205.5	11.04
CCNF	30.12	45.53	21.78	109.66	60.39	87.65	135.24	49.21	117.6	199.85	183.82	78.89	89.51	126.12	43.02	10.79	91.41	15.56	49.91	33.54	19.68	99.43	52.08	10.63	22.26	22.43	32.59	55.89	22.92
CDC20	121.79	110.43	72.52	802.41	339.14	559.28	2739.08	98.73	684.02	1322.37	1044.52	3103.19	2335.28	2835.7	224.97	7.57	395.18	54.33	101.54	75.11	33.06	316.37	81.71	17.9	57.89	46.5	28.86	293.07	11.47
CDC25A	12.74	10.39	10.96	59.97	30.78	45.85	112.77	27.44	119.26	248.0	42.41	57.49	59.13	152.28	15.68	3.23	70.01	22.75	17.51	4.82	15.45	63.45	11.13	2.78	9.13	8.71	3.03	21.94	4.06
CDCA2	7.82	5.96	3.38	232.94	18.03	24.28	117.6	38.4	36.27	127.0	74.58	68.55	68.55	133.36	15.0	0.0	41.52	8.19	19.68	9.27	14.56	69.03	9.85	5.06	7.34	10.0	5.87	39.79	1.46
CDCA3	81.14	50.63	41.22	540.19	271.48	642.59	1199.98	173.85	759.08	872.1	264.03	941.27	281.09	1427.22	195.72	11.73	218.79	25.17	71.0	46.5	42.11	236.21	29.91	12.0	27.44	28.86	19.25	167.9	14.35
CDCA5	39.22	59.13	27.25	301.33	198.47	194.36	387.02	130.6	271.48	457.25	127.89	358.54	318.57	559.28	93.35	11.13	163.28	20.11	68.55	41.52	35.5	239.52	71.5	12.55	46.5	21.94	28.86	120.94	24.63
CDCA8	34.26	42.41	21.78	260.38	135.24	211.31	389.72	76.17	232.94	323.03	361.04	420.68	366.09	571.05	94.67	3.89	143.01	15.56	57.08	36.79	32.82	178.77	63.89	8.19	27.25	26.86	16.03	89.51	9.56
CDK1	71.0	105.89	29.91	802.41	236.21	183.82	629.35	197.09	872.1	842.36	441.64	759.08	285.03	441.64	148.09	6.57	336.79	43.02	169.07	147.06	113.56	444.72	267.73	59.55	120.1	63.89	38.12	356.05	64.34
CDKN3	59.55	90.14	34.75	1183.45	283.05	460.44	1651.0	363.56	583.07	4181.07	587.13	1709.26	551.56	961.07	223.41	7.06	242.88	32.13	277.2	78.89	142.01	429.54	130.6	13.52	70.01	29.48	13.22	366.09	47.5
CDT1	73.54	63.45	81.14	161.02	201.25	241.19	287.01	69.52	262.2	563.18	156.59	341.51	264.03	260.38	131.51	5.19	157.68	12.36	52.45	27.25	25.91	99.43	30.56	11.91	44.89	10.47	36.01	85.82	9.48
CENPA	31.45	27.05	12.55	128.79	129.69	155.5	379.04	36.27	154.42	279.14	183.82	209.84	279.14	651.58	52.45	0.0	47.84	7.51	33.3	27.44	28.86	195.72	30.12	16.15	15.22	40.93	23.76	103.69	3.53
CENPE	4.03	3.35	0.37	57.89	9.78	29.06	81.14	10.47	38.12	46.84	44.89	66.65	12.55	127.89	15.0	0.72	31.9	2.97	14.14	7.4	6.57	46.5	18.16	4.54	8.58	12.18	10.88	21.94	7.94
CENPF	47.5	50.98	7.69	470.14	217.27	116.78	514.56	197.09	269.6	954.43	341.51	1167.14	248.0	902.89	185.11	2.63	109.66	21.78	28.04	31.45	34.51	183.82	34.02	15.91	40.07	29.7	5.73	87.65	12.27
CENPH	115.97	57.49	21.32	199.85	112.77	62.12	173.85	92.7	134.3	447.82	157.68	358.54	197.09	312.0	125.24	10.88	170.25	9.48	128.79	84.04	123.5	214.27	29.48	40.07	78.89	63.0	50.63	104.42	56.28
CENPK	38.95	27.64	4.78	316.37	78.34	37.32	101.54	35.0	129.69	334.46	96.68	269.6	67.59	305.55	80.01	7.94	90.14	12.55	58.71	56.28	35.25	139.07	23.59	14.14	18.43	19.39	17.13	109.66	27.84
CENPN	82.87	135.24	133.36	368.65	255.0	224.97	320.8	102.97	301.33	679.29	551.56	921.88	256.78	361.04	185.11	94.67	214.27	175.07	199.85	161.02	68.07	521.76	123.5	173.85	82.29	48.18	141.02	211.31	127.89
CEP55	37.32	42.11	6.94	109.66	43.32	54.33	163.28	20.86	139.07	143.01	55.89	120.1	65.26	224.97	32.82	1.43	95.34	9.85	43.94	30.34	29.06	166.73	51.35	12.93	21.63	43.94	13.93	140.04	7.94
CHEK1	97.36	72.01	38.95	178.77	85.22	102.25	178.77	64.34	255.0	343.89	92.7	371.22	339.14	224.97	77.25	22.75	165.57	20.11	57.08	40.93	80.01	271.48	39.5	23.76	45.53	21.01	54.72	87.65	24.11
CKAP2L	7.63	14.56	1.1	63.89	36.79	49.91	72.52	16.03	91.41	149.12	127.0	93.35	34.02	133.36	28.65	2.29	39.5	17.38	29.06	8.65	12.18	50.98	41.81	3.66	7.69	5.73	7.75	37.32	4.58
CLSPN	11.64	13.32	5.82	72.01	15.8	29.06	26.86	3.96	63.0	48.87	57.89	96.68	53.57	48.18	6.73	0.64	48.87	9.13	16.15	5.02	4.31	73.03	29.27	12.18	4.9	10.79	6.16	34.26	3.44
DEPDC1B	13.12	9.13	9.13	85.22	67.59	41.22	105.89	30.34	164.42	212.78	63.45	116.78	82.87	332.14	38.67	0.96	132.44	5.59	20.56	9.48	6.31	51.35	15.91	5.11	8.32	14.03	15.56	45.53	3.72
DLGAP5	14.35	17.25	1.85	121.79	49.91	72.52	215.77	42.11	127.89	194.36	141.02	215.77	98.73	165.57	43.94	7.51	73.54	5.73	35.25	15.34	21.63	129.69	20.71	4.13	8.99	15.91	6.94	87.03	4.43
DSN1	273.37	193.01	66.18	260.38	234.57	221.86	314.17	178.77	387.02	503.95	260.38	591.22	167.9	366.09	159.9	69.03	281.09	90.77	234.57	175.07	211.31	297.17	90.77	118.43	195.72	275.28	105.15	220.32	116.78
ESCO2	6.89	8.32	0.36	125.24	15.68	20.11	34.26	15.45	28.24	53.95	88.26	55.49	14.67	38.4	14.03	2.46	51.35	10.71	24.81	5.54	10.31	35.76	7.4	2.81	10.0	5.36	1.69	28.45	4.1
ESPL1	20.56	25.54	13.62	89.51	94.01	51.71	103.69	45.21	129.69	155.5	108.9	96.01	42.41	201.25	35.76	6.89	151.22	54.33	10.16	11.13	19.68	71.0	17.38	9.2	11.21	13.72	14.24	29.7	47.17
EXO1	18.29	20.86	1.48	275.28	99.43	52.45	135.24	59.13	103.69	260.38	141.02	145.02	85.22	363.56	49.21	3.06	94.01	12.0	29.06	8.32	19.39	119.26	6.73	8.13	8.85	17.38	8.32	37.05	6.06
FAM111B	13.93	11.3	0.74	145.02	46.84	92.05	72.52	37.05	62.12	83.45	137.14	151.22	40.93	211.31	65.26	8.19	180.02	10.24	25.35	15.91	11.47	76.17	13.42	2.78	13.22	3.96	2.12	52.45	3.89
FAM136A	587.13	620.67	587.13	1427.22	567.1	748.61	1721.16	1250.98	2351.53	1733.13	1151.06	1030.12	995.0	1397.83	669.92	647.07	941.27	660.68	503.95	450.94	483.38	665.29	232.94	223.41	525.39	417.77	173.85	642.59	332.14
FASTKD1	409.15	457.25	320.8	1477.58	334.46	132.44	753.83	242.88	420.68	348.71	435.55	432.53	323.03	1088.92	323.03	312.0	620.67	312.0	339.14	312.0	289.02	555.41	204.07	108.14	163.28	251.48	120.94	457.25	171.45
FEN1	228.13	299.25	175.07	532.74	620.67	497.0	1167.14	406.31	633.73	1051.79	312.0	981.29	638.15	1242.34	260.38	107.38	629.35	150.17	177.53	150.17	111.21	441.64	67.12	133.36	237.86	176.29	151.22	269.6	98.04
FLAD1	656.11	575.03	759.08	1498.22	2004.85	808.0	2303.12	1529.73	1111.82	1477.58	1331.57	1340.84	1417.35	1896.65	1369.04	1208.34	1313.23	819.3	490.14	607.87	277.2	791.35	493.56	267.73	400.71	341.51	307.69	688.78	363.56
FOXM1	57.49	71.5	34.51	733.19	301.33	1199.98	1096.5	239.52	629.35	1519.15	318.57	1119.56	293.07	1277.29	181.28	19.39	132.44	12.55	57.49	27.84	35.25	409.15	60.39	12.27	57.08	31.0	17.64	180.02	10.24
FTL	1422501.74	1355129.16	1422501.74	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	919186.72	912837.43	1147449.11	894051.48	1493223.86	546551.29	925580.18	2294899.22	1327240.99	2326934.84	1204496.53	757033.75	845824.19	1336472.68	938500.81	932018.1	887875.81	1179708.33	527933.71	971597.0	141455.6
FTSJ2	769.69	587.13	334.46	616.37	503.95	389.72	791.35	500.46	753.83	854.13	563.18	575.03	624.99	961.07	497.0	441.64	571.05	435.55	454.09	429.54	329.84	651.58	312.0	205.5	563.18	318.57	262.2	511.0	314.17
GINS2	56.68	42.11	30.34	111.99	145.02	170.25	114.36	60.82	75.64	234.57	117.6	327.56	197.09	214.27	64.34	22.59	175.07	14.56	30.56	21.63	22.1	208.38	12.55	8.78	17.9	6.11	7.34	94.67	12.36
GTSE1	28.45	29.91	7.75	126.12	49.56	65.72	194.36	58.71	151.22	260.38	52.45	167.9	62.56	271.48	42.71	3.66	87.03	5.41	19.25	19.39	11.55	78.89	21.01	4.24	18.16	9.85	13.42	59.55	4.54
H2AFX	435.55	633.73	409.15	728.11	507.46	624.99	1617.0	660.68	460.44	1259.69	674.59	1233.75	825.0	1709.26	346.29	234.57	1051.79	267.73	493.56	536.45	348.71	934.76	205.5	303.44	239.52	277.2	567.1	753.83	521.76
HDHD3	669.92	563.18	915.51	1794.29	1143.1	1605.83	1081.39	1977.24	1081.39	1529.73	2739.08	1806.78	1135.2	1628.26	2148.82	1369.04	1757.34	2119.22	387.02	447.82	301.33	638.15	348.71	183.82	381.68	178.77	197.09	457.25	262.2
HELLS	52.45	34.51	10.24	157.68	77.79	70.01	228.13	106.63	118.43	339.14	78.34	412.0	62.56	130.6	66.18	13.62	175.07	4.66	24.63	21.94	64.8	150.17	43.63	15.56	14.14	29.06	20.71	52.45	31.45
HIST1H3C	4.78	2.53	0.0	26.67	9.13	8.92	72.01	0.0	7.34	24.11	4.58	0.0	11.55	30.78	5.41	3.72	0.0	12.93	0.0	0.0	0.0	16.75	0.0	3.82	0.0	20.11	7.51	8.13	0.0
HIST2H4A	312.0	106.63	47.5	265.87	175.07	214.27	186.4	417.77	212.78	224.97	1159.07	1175.27	486.75	229.72	406.31	309.83	106.63	146.03	208.38	197.09	111.99	656.11	325.29	146.03	40.64	63.45	400.71	215.77	94.01
HJURP	17.77	22.92	4.5	120.94	103.69	158.79	323.03	72.01	262.2	379.04	277.2	182.55	114.36	878.17	88.88	1.77	111.21	10.88	19.53	14.24	30.78	81.14	34.51	10.71	6.78	12.45	16.39	70.01	8.99
HMMR	21.16	13.42	2.23	368.65	76.17	157.68	269.6	83.45	190.34	178.77	329.84	934.76	253.23	239.52	138.1	6.21	94.67	15.68	57.89	25.91	14.45	116.78	19.11	7.82	19.39	10.31	22.75	100.83	8.92
HYLS1	35.5	84.04	40.64	87.03	60.82	100.13	163.28	112.77	107.38	75.11	92.7	157.68	143.01	150.17	60.39	43.32	62.56	74.06	74.06	49.56	24.99	92.05	32.36	22.75	60.39	21.32	25.72	70.51	46.18
KIAA0101	139.07	131.51	42.71	713.11	638.15	336.79	423.61	157.68	660.68	2178.83	429.54	878.17	507.46	1883.54	384.34	37.05	490.14	71.5	273.37	139.07	94.67	417.77	42.41	34.26	110.43	52.45	35.5	493.56	38.12
KIF11	24.81	30.12	2.18	94.01	41.52	42.41	129.69	38.95	76.71	172.65	121.79	114.36	59.55	120.1	37.85	4.7	93.35	10.63	30.78	19.68	29.91	151.22	55.89	14.78	17.9	29.06	16.39	67.12	6.57
KIF14	2.58	3.35	0.38	73.54	19.82	14.89	22.75	17.51	24.46	35.0	69.52	55.49	17.9	74.58	22.92	1.58	13.83	4.21	4.39	1.66	3.5	21.47	9.06	1.75	3.63	4.78	4.94	11.13	1.25
KIF15	15.0	10.47	0.0	76.17	45.85	13.42	112.77	17.77	69.03	195.72	106.63	93.35	23.25	138.1	33.06	3.66	54.33	3.79	18.16	9.7	8.71	70.01	14.45	6.16	7.0	8.92	4.24	64.34	6.16
KIF18B	8.58	11.04	5.59	82.87	36.79	31.22	163.28	52.45	115.16	214.27	102.97	334.46	57.49	209.84	48.52	1.68	78.34	12.64	6.06	7.22	6.41	84.63	24.63	2.1	11.73	4.17	6.11	22.43	3.63
KIF20A	19.11	40.93	8.13	212.78	102.97	158.79	642.59	75.11	269.6	466.88	269.6	476.71	201.25	753.83	82.29	5.96	105.89	20.56	42.71	18.16	27.05	165.57	24.63	12.0	18.97	18.84	13.32	172.65	4.58
KIF4A	13.12	17.51	3.66	190.34	64.34	118.43	190.34	46.5	228.13	275.28	96.01	316.37	159.9	381.68	43.32	1.28	80.57	7.11	13.22	7.46	7.51	88.26	13.62	2.23	9.13	1.43	3.63	39.5	8.0
KIFC1	42.71	53.95	27.44	269.6	206.94	194.36	547.75	149.12	283.05	791.35	379.04	241.19	289.02	660.68	145.02	7.34	217.27	29.27	59.13	43.94	50.27	175.07	66.65	30.78	48.87	44.89	31.67	130.6	26.1
KPNA2	460.44	723.08	567.1	2047.0	961.07	1088.92	3039.3	703.28	2148.82	2255.7	1498.22	4671.57	2018.8	2537.92	785.88	265.87	1151.06	387.02	769.69	642.59	332.14	1745.2	647.07	819.3	633.73	486.75	995.0	947.83	780.44
LCN12	92.05	22.75	74.58	718.08	170.25	170.25	291.04	379.04	55.89	236.21	189.02	500.46	177.53	180.02	896.64	679.29	483.38	215.77	40.07	38.12	13.72	122.64	10.39	15.0	2.14	17.77	3.69	40.07	9.78
MAD2L1	98.73	75.64	57.08	206.94	193.01	241.19	153.34	70.51	289.02	412.0	182.55	432.53	325.29	460.44	154.42	16.15	218.79	40.64	96.68	99.43	94.67	307.69	46.84	17.64	47.84	72.52	53.57	221.86	21.47
MCM10	3.29	7.51	3.66	84.63	21.47	37.05	57.89	14.14	92.05	120.1	51.35	102.25	28.65	84.04	16.51	1.2	66.18	2.97	10.88	5.73	10.08	58.3	5.19	6.41	6.21	11.13	2.1	24.63	3.79
MCM2	214.27	197.09	231.32	267.73	325.29	334.46	860.08	215.77	665.29	848.22	466.88	753.83	438.59	457.25	172.65	33.06	392.44	36.53	120.1	87.65	105.15	438.59	147.06	37.05	129.69	61.68	32.13	163.28	54.33
MCM6	189.02	289.02	132.44	403.5	371.22	376.41	656.11	249.73	480.04	884.29	476.71	890.44	325.29	518.15	178.77	36.01	543.96	55.49	264.03	153.34	229.72	591.22	191.67	205.5	198.47	412.0	173.85	293.07	165.57
MELK	26.47	34.75	8.45	275.28	142.01	148.09	215.77	65.72	193.01	336.79	271.48	232.94	164.42	417.77	75.64	2.46	85.82	7.46	26.67	22.92	23.42	145.02	18.43	5.68	19.82	19.97	13.62	87.03	5.19
MKI67	31.45	53.95	8.78	236.21	90.14	191.67	255.0	67.12	172.65	514.56	255.0	253.23	167.9	373.81	56.28	6.62	94.67	16.03	27.25	27.44	25.91	182.55	75.64	14.78	33.06	21.32	64.8	80.01	11.38
MND1	9.48	38.4	17.25	146.03	128.79	99.43	71.5	16.88	90.14	260.38	33.3	269.6	142.01	279.14	82.87	0.0	76.71	8.78	40.93	25.54	13.83	65.72	21.01	8.65	77.79	12.45	9.27	62.12	5.45
MPZ	47.5	35.76	35.0	1896.65	1119.56	237.86	111.99	54.33	68.55	147.06	420.68	91.41	178.77	612.11	151.22	1250.98	334.46	135.24	66.18	54.72	23.08	108.9	100.83	37.32	12.36	28.86	35.25	69.03	46.84
MRPS25	1457.23	890.44	1322.37	1583.71	1104.13	1551.09	3081.75	902.89	1313.23	1277.29	1030.12	1359.57	1519.15	2555.58	1127.35	1561.89	3419.52	1551.09	1030.12	1001.93	819.3	1066.48	921.88	450.94	860.08	785.88	599.49	1159.07	723.08
MYBL2	40.93	78.34	33.3	679.29	503.95	150.17	1427.22	234.57	753.83	1662.49	366.09	414.87	579.04	1151.06	109.66	3.96	384.34	17.13	55.89	43.02	58.3	432.53	15.11	14.45	48.52	36.53	26.28	127.89	17.51
NCAPG	18.7	22.1	2.58	348.71	109.66	74.58	397.93	65.26	318.57	251.48	172.65	212.78	264.03	902.89	70.01	0.66	108.9	11.55	27.25	19.25	24.46	136.19	40.64	4.06	23.76	12.64	12.18	58.3	5.19
NEIL3	7.34	9.2	4.06	201.25	31.0	53.19	62.56	8.38	72.01	30.78	56.68	51.35	80.57	299.25	22.26	0.0	43.32	2.36	7.51	3.76	2.94	33.3	6.01	2.94	3.2	1.87	2.71	16.39	2.25
NEK2	16.39	19.97	3.29	348.71	124.37	132.44	218.79	111.99	209.84	463.65	420.68	748.61	195.72	555.41	92.05	2.76	76.71	8.65	29.27	26.47	12.64	147.06	43.63	7.75	13.83	7.4	14.56	58.3	5.11
NOL12	483.38	438.59	587.13	633.73	733.19	429.54	921.88	486.75	660.68	647.07	551.56	753.83	748.61	1340.84	447.82	299.25	476.71	115.97	503.95	532.74	267.73	660.68	429.54	173.85	309.83	161.02	127.0	521.76	432.53
NUF2	18.7	16.39	1.11	295.11	124.37	62.56	371.22	100.13	158.79	363.56	289.02	563.18	149.12	579.04	111.99	0.0	64.34	11.3	41.22	21.01	13.93	58.71	40.07	14.78	23.42	19.68	32.36	92.7	9.06
NUPL2	629.35	473.41	232.94	733.19	417.77	356.05	743.43	665.29	1127.35	872.1	587.13	981.29	571.05	1819.35	842.36	454.09	420.68	493.56	454.09	441.64	368.65	616.37	273.37	249.73	387.02	493.56	255.0	571.05	356.05
NUSAP1	136.19	105.89	19.25	371.22	395.18	624.99	540.19	265.87	802.41	981.29	559.28	1088.92	303.44	848.22	312.0	157.68	293.07	111.21	142.01	102.25	129.69	387.02	100.13	67.12	92.7	120.1	143.01	381.68	59.55
ORC1	10.31	13.03	14.03	113.56	48.52	84.04	102.25	17.51	99.43	115.16	113.56	137.14	98.04	98.73	29.06	2.18	48.52	5.06	21.78	11.64	13.93	48.18	7.94	2.94	12.45	21.16	29.06	31.0	5.59
ORC6	54.33	37.59	20.86	169.07	68.55	80.01	135.24	31.22	127.89	224.97	74.06	336.79	115.97	181.28	63.0	7.17	202.66	8.06	21.78	36.01	24.99	128.79	29.7	24.11	18.29	44.25	12.93	65.72	24.11
PBK	7.63	22.92	9.48	679.29	56.68	59.97	269.6	98.04	100.83	237.86	171.45	255.0	111.21	283.05	54.72	1.73	96.01	17.38	42.71	10.63	11.64	120.1	6.06	1.64	16.63	6.36	2.92	108.14	4.21
PDXP	307.69	320.8	234.57	954.43	802.41	1159.07	791.35	1225.22	460.44	1350.18	1487.87	1159.07	486.75	974.5	1044.52	1844.76	1304.15	1066.48	145.02	189.02	120.94	329.84	131.51	34.75	69.52	98.73	42.11	209.84	102.97
PLK1	57.08	81.71	29.7	551.56	267.73	166.73	536.45	100.83	507.46	775.05	599.49	291.04	423.61	620.67	169.07	18.7	139.07	12.93	63.89	50.27	55.1	221.86	79.45	16.75	32.13	38.4	26.86	153.34	18.43
POC1A	63.45	58.3	78.34	195.72	157.68	143.01	309.83	108.14	281.09	420.68	127.89	181.28	341.51	299.25	134.3	154.42	138.1	132.44	72.01	65.72	32.82	156.59	36.79	15.56	63.45	28.86	62.56	132.44	36.27
POLE2	44.57	30.34	18.84	64.34	70.01	146.03	426.57	265.87	163.28	490.14	152.28	400.71	163.28	246.28	59.97	23.25	169.07	56.68	67.12	34.26	24.28	97.36	27.84	7.06	34.75	12.93	16.75	78.89	23.59
PTTG1	279.14	379.04	145.02	1529.73	708.18	698.41	3515.68	470.14	1030.12	2835.7	1119.56	3124.78	3419.52	3901.01	547.75	42.71	490.14	72.52	595.34	264.03	420.68	1096.5	454.09	98.73	214.27	353.59	389.72	759.08	109.66
RAD51	41.22	57.08	19.39	58.3	127.0	79.45	116.78	44.25	301.33	343.89	59.97	165.57	98.04	269.6	47.84	10.0	155.5	8.32	38.12	19.68	47.84	241.19	34.26	19.39	24.28	12.93	7.94	93.35	11.13
RAD51AP1	80.01	54.72	10.55	138.1	61.68	154.42	110.43	45.85	169.07	180.02	102.25	314.17	25.91	162.14	56.68	3.92	127.0	28.65	157.68	55.49	70.51	172.65	33.54	46.18	55.49	24.63	21.32	119.26	23.93
RDM1	20.71	14.56	13.93	57.89	30.56	7.69	81.14	19.11	20.41	23.25	49.21	142.01	64.34	48.52	44.57	0.0	35.0	6.62	6.78	7.34	5.41	21.01	0.0	0.0	2.16	3.14	0.0	8.13	0.0
RRM2	111.21	155.5	48.87	1225.22	397.93	571.05	1059.11	253.23	854.13	1427.22	1015.93	698.41	444.72	2319.15	211.31	18.97	796.86	46.84	169.07	110.43	108.9	718.08	111.21	38.4	52.82	92.05	57.49	497.0	21.94
RRP36	854.13	1037.29	928.3	1540.37	1674.06	947.83	1721.16	796.86	1628.26	1794.29	1191.69	1304.15	2148.82	1388.16	1015.93	854.13	915.51	551.56	1096.5	1030.12	703.28	1794.29	529.06	450.94	915.51	1143.1	684.02	1295.13	890.44
SCXA	48.18	49.56	46.84	61.25	23.59	19.68	67.12	61.25	13.12	45.21	80.57	64.8	50.27	136.19	111.21	14.89	12.18	1.57	15.68	20.86	19.82	158.79	61.68	18.16	21.78	26.67	30.78	46.84	31.45
SGOL1	7.28	8.71	0.37	143.01	49.56	71.0	109.66	31.0	92.7	161.02	89.51	218.79	115.16	295.11	48.52	10.0	47.84	20.86	18.7	7.4	20.26	48.87	26.47	3.86	9.41	3.56	15.91	26.28	4.35
SHCBP1	27.05	40.07	30.34	164.42	36.27	30.78	59.13	9.56	81.71	102.25	116.78	58.71	19.11	108.9	28.24	0.78	52.45	3.03	38.12	19.97	23.08	144.01	33.06	23.42	25.17	23.59	27.05	71.5	22.43
SKA1	6.62	14.67	1.85	201.25	51.35	52.08	190.34	43.94	140.04	147.06	76.71	297.17	105.15	435.55	22.43	0.0	48.87	2.76	8.85	14.14	8.58	68.07	19.97	3.03	8.65	3.53	9.2	36.53	3.89
