	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.E2.A1LB.01A.11R.A144.07	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A0BA.01A.11R.A056.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.E2.A2P6.01A.11R.A19W.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.13NZ8.0126.SM.5IJCT	TCGA.M7.A724.01A.12R.A32O.07
DSP	214.27	295.11	253.23	1268.46	4419.52	3280.18	3716.2	1437.15	2664.15	2319.15	1639.59	2935.74	1508.65	563.18
EEA1	57.89	45.21	105.15	149.12	281.09	218.79	275.28	82.87	77.25	218.79	301.33	182.55	198.47	36.53
ESYT2	379.04	341.51	563.18	1216.75	1709.26	1167.14	2287.2	529.06	785.88	1350.18	1407.55	1216.75	1135.2	283.05
EXT1	271.48	381.68	435.55	591.22	884.29	587.13	1111.82	303.44	348.71	753.83	647.07	647.07	713.11	251.48
FAM126B	50.27	28.24	61.68	69.52	114.36	140.04	169.07	70.01	68.55	134.3	167.9	112.77	154.42	33.54
FAT3	0.62	0.35	1.99	3.5	12.27	6.57	10.55	2.53	5.36	8.38	16.39	14.14	3.29	0.33
GPD2	262.2	316.37	303.44	297.17	836.53	457.25	688.78	273.37	417.77	620.67	599.49	802.41	595.34	161.02
GREM1	2.51	1.03	185.11	460.44	2047.0	599.49	1540.37	102.25	162.14	1250.98	1397.83	884.29	728.11	0.51
HERPUD2	341.51	332.14	223.41	363.56	423.61	432.53	603.67	275.28	518.15	447.82	521.76	463.65	441.64	166.73
HIST1H4I	2.46	1.97	8.65	7.69	28.04	17.77	24.11	5.36	5.06	15.0	23.08	28.04	11.38	5.5
KCNB1	0.31	0.33	0.93	22.43	52.45	10.79	85.22	1.2	2.76	29.7	61.25	17.25	19.97	7.82
LRRC40	101.54	58.71	132.44	180.02	348.71	195.72	212.78	153.34	126.12	199.85	195.72	218.79	155.5	79.45
LRRC8B	56.28	51.71	149.12	198.47	256.78	191.67	363.56	69.03	84.63	327.56	316.37	269.6	144.01	97.36
MAN1A2	185.11	197.09	265.87	211.31	514.56	376.41	579.04	193.01	242.88	346.29	438.59	373.81	318.57	119.26
MEST	896.64	665.29	111.99	703.28	1331.57	848.22	2032.85	463.65	1023.0	981.29	1781.89	1119.56	733.19	49.21
MIB1	107.38	87.03	256.78	267.73	511.0	356.05	559.28	157.68	228.13	420.68	438.59	438.59	220.32	38.95
MLK4	31.22	20.71	3.76	24.46	74.06	25.54	127.0	5.23	8.45	80.01	75.64	57.08	65.26	13.32
MTPN	473.41	595.34	444.72	1467.37	2018.8	1721.16	2148.82	559.28	1322.37	1397.83	1427.22	1674.06	1709.26	190.34
NAA35	113.56	91.41	242.88	318.57	412.0	332.14	435.55	229.72	297.17	392.44	400.71	454.09	332.14	236.21
NCOA4	759.08	848.22	2255.7	1806.78	3690.52	1883.54	3515.68	1175.27	1936.53	2777.33	2997.45	2935.74	2367.9	1015.93
NPEPPS	769.69	775.05	665.29	1111.82	1477.58	1313.23	1819.35	967.76	1295.13	1427.22	1769.57	1781.89	1030.12	825.0
PCCB	426.57	599.49	1119.56	988.12	2061.24	1119.56	1857.6	571.05	954.43	1397.83	1540.37	2047.0	536.45	842.36
PCDHAC2	0.6	0.0	2.53	5.5	10.88	6.31	9.85	3.96	3.38	6.73	6.11	7.17	6.06	0.0
PDS5B	150.17	164.42	262.2	325.29	536.45	435.55	738.29	291.04	403.5	490.14	500.46	507.46	438.59	177.53
PKHD1	0.0	1.95	0.3	1.22	0.61	0.3	3.0	0.28	0.29	1.01	1.01	2.29	0.91	0.0
PRKAB2	90.14	82.87	142.01	231.32	301.33	275.28	444.72	94.67	126.12	305.55	384.34	289.02	318.57	79.45
PURB	208.38	211.31	231.32	256.78	738.29	480.04	563.18	289.02	138.1	403.5	379.04	414.87	329.84	159.9
RABL3	118.43	120.1	167.9	351.14	878.17	629.35	563.18	244.57	264.03	438.59	583.07	660.68	642.59	187.71
RHOT1	447.82	269.6	323.03	476.71	583.07	571.05	836.53	409.15	629.35	587.13	669.92	703.28	543.96	232.94
RNF13	563.18	674.59	1407.55	1199.98	1870.53	1477.58	2209.26	813.63	1225.22	1781.89	1662.49	1709.26	1529.73	500.46
RNF157	32.13	12.27	7.57	25.54	148.09	40.93	129.69	20.71	21.47	175.07	111.21	69.03	42.41	52.08
RP11-650K20.3	2.1	0.0	1.83	1.77	22.1	2.78	9.85	3.56	0.0	5.96	13.72	12.93	0.0	1.97
SEPT2	2875.3	3039.3	5041.77	4903.87	6652.97	5112.16	6037.61	4512.4	4736.79	4972.34	5751.61	5791.62	4704.07	2193.99
SFMBT1	108.9	103.69	112.77	194.36	387.02	191.67	299.25	130.6	128.79	197.09	220.32	303.44	258.57	78.34
SLC41A2	1.57	1.01	603.67	563.18	981.29	660.68	967.76	45.21	299.25	660.68	1066.48	808.0	358.54	6.06
ST6GAL1	15.8	44.89	1857.6	1923.14	4268.94	1605.83	3665.02	323.03	108.9	2319.15	2367.9	2004.85	1594.73	353.59
SYNPO2L	0.31	0.96	4.78	88.88	155.5	23.42	187.71	96.68	0.32	6.16	113.56	195.72	98.04	0.0
TBCEL	34.26	35.5	170.25	181.28	283.05	211.31	267.73	90.77	139.07	209.84	221.86	234.57	154.42	78.34
TLCD2	9.06	3.89	14.56	42.71	52.82	25.72	165.57	9.34	21.01	33.06	128.79	23.25	51.35	3.26
TMEM192	127.0	81.71	318.57	473.41	591.22	381.68	884.29	246.28	454.09	507.46	591.22	607.87	483.38	371.22
TNFRSF11A	23.59	21.32	8.0	24.99	73.03	24.81	95.34	8.38	34.75	81.71	90.14	36.01	53.95	6.52
TNPO1	283.05	223.41	785.88	860.08	1183.45	753.83	1259.69	199.85	507.46	884.29	902.89	974.5	708.18	329.84
TVP23B	316.37	336.79	802.41	543.96	1143.1	1037.29	1225.22	409.15	551.56	961.07	1127.35	1111.82	753.83	438.59
UBN2	93.35	96.01	36.01	84.04	156.59	123.5	142.01	84.04	99.43	115.16	122.64	118.43	108.14	54.72
USP28	107.38	68.07	198.47	218.79	921.88	275.28	878.17	109.66	180.02	353.59	361.04	363.56	323.03	70.51
VKORC1L1	199.85	214.27	325.29	656.11	872.1	665.29	1127.35	429.54	346.29	363.56	836.53	444.72	718.08	307.69
ZYG11B	79.45	74.06	119.26	197.09	244.57	186.4	265.87	127.0	178.77	249.73	283.05	242.88	267.73	92.05
