	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13O3O.1826.SM.5IFGW	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
CASKIN1	0.87	1.22	7.17	2.43	0.48	4.78	0.51	5.54	1.03	6.78	0.46	0.0	4.06	0.75	0.0	1.04	0.0	2.51	1.66	3.69	9.48	1.79	1.77	4.39	1.83	8.71	66.18	1.95	16.63	11.38	18.7	20.26	37.32	53.95	32.59	22.43	20.26	40.07	21.01	16.88	2.53	35.76	1.48	34.51	53.57	21.32	18.29	46.18
CC2D2B	4.17	6.67	2.27	0.99	3.82	2.66	1.97	4.06	0.53	1.39	0.0	0.0	1.62	9.7	0.0	1.33	0.41	1.97	3.17	0.83	1.38	2.16	2.14	2.32	5.82	4.39	105.89	8.38	4.1	34.26	3.96	77.79	131.51	55.89	97.36	17.64	35.0	113.56	80.01	105.89	27.25	2.34	8.25	16.63	195.72	83.45	9.63	97.36
CCDC104	473.41	591.22	231.32	438.59	190.34	134.3	279.14	1529.73	1467.37	591.22	1467.37	961.07	325.29	748.61	47.84	175.07	115.97	1044.52	995.0	748.61	607.87	759.08	848.22	819.3	780.44	688.78	2061.24	1769.57	2485.67	2178.83	1733.13	2240.11	2178.83	1963.57	2835.7	1806.78	2367.9	1639.59	2018.8	1651.0	2133.97	1322.37	1697.45	1208.34	2224.63	2303.12	1359.57	1977.24
CCND2	334.46	346.29	54.72	49.56	49.91	60.82	229.72	108.14	346.29	1369.04	1199.98	842.36	37.85	138.1	13.22	55.89	14.24	122.64	559.28	1037.29	129.69	90.14	85.82	258.57	314.17	348.71	1467.37	583.07	688.78	2104.58	866.07	896.64	1594.73	2384.37	2384.37	500.46	2178.83	1447.15	2032.85	2032.85	1119.56	872.1	591.22	1331.57	1806.78	1674.06	323.03	2682.69
CELSR2	46.18	62.12	95.34	59.13	152.28	72.01	88.88	371.22	412.0	295.11	232.94	366.09	68.07	58.3	109.66	71.0	65.72	209.84	82.87	88.26	49.56	125.24	148.09	176.29	197.09	205.5	647.07	256.78	336.79	860.08	366.09	540.19	511.0	486.75	426.57	698.41	748.61	529.06	559.28	426.57	500.46	353.59	201.25	403.5	629.35	579.04	156.59	836.53
CLIC2	139.07	139.07	115.97	60.82	50.63	52.82	67.59	135.24	37.59	111.21	101.54	66.18	48.52	143.01	27.84	10.96	11.47	79.45	79.45	138.1	175.07	102.25	67.12	136.19	198.47	149.12	921.88	1388.16	1051.79	718.08	1167.14	1015.93	1051.79	1073.91	961.07	1331.57	638.15	1225.22	1104.13	748.61	769.69	1127.35	2061.24	1605.83	988.12	1151.06	748.61	974.5
CLIP4	91.41	131.51	8.25	256.78	224.97	6.26	102.25	329.84	99.43	336.79	215.77	232.94	198.47	118.43	66.65	19.53	70.01	181.28	72.01	55.1	80.01	68.55	46.5	177.53	130.6	256.78	1191.69	376.41	612.11	928.3	444.72	808.0	872.1	1037.29	947.83	738.29	1594.73	1242.34	753.83	995.0	642.59	318.57	285.03	555.41	1175.27	629.35	595.34	1111.82
CNIH3	33.78	18.84	70.01	17.77	117.6	68.07	29.06	138.1	130.6	198.47	121.79	102.97	66.65	48.87	41.22	114.36	76.71	59.55	52.82	22.1	102.97	92.7	119.26	35.5	60.39	63.45	327.56	141.02	438.59	277.2	127.89	237.86	346.29	256.78	289.02	157.68	387.02	127.0	395.18	281.09	361.04	96.01	110.43	86.43	293.07	329.84	293.07	412.0
CTNNAL1	218.79	379.04	1015.93	507.46	587.13	854.13	1322.37	1268.46	620.67	476.71	384.34	693.58	988.12	511.0	163.28	193.01	1159.07	708.18	366.09	599.49	503.95	318.57	323.03	187.71	563.18	493.56	1427.22	647.07	1073.91	3955.48	1023.0	2090.03	1216.75	1378.57	1540.37	1583.71	4671.57	1662.49	1561.89	1745.2	2271.4	713.11	813.63	1151.06	1896.65	1561.89	1023.0	1844.76
DLG4	106.63	189.02	102.97	36.53	102.25	78.89	123.5	189.02	39.5	232.94	70.01	136.19	104.42	258.57	56.68	63.89	42.71	187.71	320.8	123.5	138.1	124.37	138.1	175.07	176.29	291.04	1225.22	138.1	127.0	624.99	336.79	503.95	974.5	769.69	1030.12	146.03	780.44	890.44	688.78	743.43	890.44	356.05	40.36	473.41	896.64	688.78	208.38	884.29
DOCK9	460.44	575.03	651.58	231.32	392.44	392.44	665.29	633.73	98.04	195.72	189.02	336.79	312.0	551.56	177.53	808.0	111.99	780.44	559.28	587.13	441.64	954.43	356.05	684.02	1350.18	660.68	3280.18	1639.59	1111.82	4010.71	1721.16	2163.77	2796.65	2816.11	2956.17	2303.12	4736.79	3372.43	1721.16	1963.57	3190.46	1806.78	1268.46	2224.63	4210.15	2645.74	1059.11	2061.24
DRAP1	1594.73	1639.59	3491.39	3280.18	4152.18	4328.55	3303.0	1477.58	2956.17	2367.9	3349.13	2148.82	2591.27	2956.17	1977.24	2451.44	1286.18	1674.06	1437.15	2104.58	2090.03	1594.73	1909.85	1923.14	2224.63	2032.85	4481.23	4010.71	2351.53	8134.41	5555.65	4095.0	4671.57	3639.7	5219.6	2664.15	5219.6	3874.05	6337.83	5076.84	8840.04	3614.55	4298.64	3280.18	4358.66	6840.04	5403.7	4575.41
DUOX1	68.55	60.39	16.75	12.74	44.89	6.67	32.82	16.27	16.27	86.43	149.12	59.55	10.63	28.45	4.74	7.94	0.48	158.79	111.21	264.03	389.72	1081.39	674.59	638.15	902.89	356.05	3614.55	571.05	1617.0	1519.15	902.89	1991.0	3982.99	3540.14	3515.68	1639.59	1963.57	4239.45	3280.18	3955.48	954.43	1088.92	743.43	1437.15	4181.07	3325.99	148.09	1991.0
DUOXA1	12.18	9.56	0.91	1.46	1.43	0.0	0.0	10.0	8.99	40.64	80.01	38.12	0.89	3.79	1.97	12.0	6.52	5.77	15.91	105.89	228.13	713.11	441.64	432.53	536.45	218.79	2855.44	796.86	674.59	2148.82	769.69	1923.14	3190.46	2875.3	3665.02	1388.16	2591.27	4937.99	2224.63	3280.18	1008.9	1350.18	836.53	1340.84	2997.45	2485.67	154.42	1733.13
EFCAB13	78.89	53.95	44.57	28.65	39.5	29.91	59.13	70.51	38.67	39.5	13.03	39.5	103.69	48.52	7.82	43.94	6.62	125.24	33.06	92.05	39.5	40.36	9.06	94.01	9.85	55.49	320.8	164.42	74.58	156.59	140.04	521.76	616.37	146.03	182.55	202.66	376.41	214.27	113.56	353.59	125.24	124.37	56.28	497.0	842.36	473.41	39.5	172.65
ENTPD1	176.29	175.07	180.02	86.43	94.01	143.01	242.88	206.94	90.77	201.25	244.57	155.5	128.79	457.25	33.78	80.01	23.76	231.32	241.19	202.66	74.06	131.51	146.03	260.38	334.46	231.32	1991.0	500.46	435.55	1639.59	269.6	2090.03	2935.74	2133.97	2720.15	1225.22	2303.12	6516.03	5403.7	2255.7	2119.22	420.68	336.79	483.38	4358.66	3443.31	397.93	2537.92
EPHX4	4.21	0.0	12.83	3.82	1.41	11.64	13.93	19.25	1.01	59.13	4.03	3.35	11.82	31.0	0.0	0.0	0.0	122.64	31.0	30.34	0.0	0.0	0.0	7.46	14.67	12.09	142.01	100.83	29.27	224.97	212.78	148.09	88.26	111.21	198.47	175.07	100.83	303.44	142.01	173.85	162.14	158.79	258.57	124.37	248.0	182.55	30.78	218.79
ESYT3	4.24	25.35	1.38	18.29	11.73	2.2	16.51	29.06	13.52	16.63	13.52	22.43	0.84	36.53	1.77	4.54	0.06	58.3	12.64	37.05	12.74	16.51	12.74	36.27	10.63	28.45	339.14	95.34	212.78	185.11	149.12	264.03	325.29	320.8	363.56	154.42	287.01	334.46	166.73	395.18	80.57	186.4	107.38	126.12	540.19	299.25	64.8	400.71
ETV5	68.07	57.08	67.59	674.59	71.0	85.22	117.6	460.44	100.83	457.25	279.14	178.77	246.28	170.25	43.32	66.18	128.79	466.88	400.71	183.82	231.32	198.47	172.65	339.14	145.02	323.03	928.3	255.0	529.06	559.28	173.85	848.22	842.36	785.88	1023.0	435.55	878.17	961.07	1119.56	842.36	473.41	371.22	123.5	536.45	995.0	743.43	473.41	525.39
EXOC6	186.4	412.0	361.04	120.94	144.01	251.48	248.0	154.42	86.43	118.43	201.25	175.07	256.78	158.79	80.01	67.12	134.3	135.24	150.17	325.29	103.69	126.12	76.71	149.12	72.52	221.86	860.08	583.07	559.28	591.22	1081.39	551.56	571.05	753.83	518.15	764.36	684.02	698.41	400.71	438.59	246.28	759.08	902.89	759.08	954.43	693.58	212.78	679.29
FAM167A	34.26	24.63	47.5	62.56	22.92	34.75	7.17	262.2	2.48	19.97	59.55	125.24	0.0	97.36	17.9	3.41	8.13	10.0	163.28	26.1	52.08	57.89	74.58	119.26	33.3	80.57	591.22	819.3	1304.15	50.27	1407.55	1963.57	808.0	802.41	575.03	1216.75	158.79	743.43	738.29	389.72	38.95	1199.98	406.31	1051.79	1551.09	753.83	159.9	289.02
FAM171B	9.48	23.08	19.25	8.51	3.72	8.99	13.32	42.11	5.45	28.24	32.59	2.86	5.63	22.75	0.49	1.19	0.91	33.3	28.65	27.84	10.16	18.29	9.06	18.03	18.29	63.45	76.71	29.06	22.59	14.14	30.34	31.0	109.66	195.72	215.77	35.76	18.7	303.44	89.51	136.19	52.82	24.11	16.88	22.92	320.8	110.43	29.06	151.22
FAM49A	50.98	66.65	40.07	93.35	29.48	19.11	36.79	46.5	8.06	80.57	43.63	80.01	35.25	96.68	49.21	36.79	17.64	46.18	35.0	53.95	44.25	33.78	22.92	42.11	60.82	77.79	921.88	808.0	591.22	607.87	368.65	1322.37	651.58	1896.65	830.75	1721.16	785.88	759.08	633.73	583.07	379.04	423.61	536.45	934.76	1617.0	928.3	228.13	733.19
FRMD4B	314.17	285.03	54.33	31.22	35.25	48.87	61.68	397.93	368.65	170.25	271.48	285.03	126.12	223.41	88.88	275.28	173.85	289.02	195.72	318.57	166.73	281.09	262.2	297.17	195.72	246.28	633.73	368.65	525.39	371.22	525.39	435.55	660.68	366.09	1250.98	426.57	785.88	1561.89	866.07	1923.14	435.55	353.59	381.68	231.32	1540.37	1066.48	202.66	791.35
FRMPD2	0.0	1.25	36.79	3.82	1.39	22.75	19.11	8.38	3.96	12.93	0.45	2.86	5.02	14.78	0.59	0.62	0.0	10.39	32.36	0.73	3.59	10.47	5.02	2.78	1.3	3.44	85.22	109.66	57.08	8.13	89.51	67.12	93.35	50.98	48.52	53.95	19.11	131.51	83.45	139.07	2.29	40.07	124.37	67.59	73.03	64.8	19.39	105.15
GAL3ST3	0.0	1.28	2.63	0.93	0.92	0.0	1.89	29.06	0.0	5.73	15.34	9.41	0.0	0.56	0.0	1.28	0.0	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	555.41	72.01	400.71	409.15	63.0	432.53	460.44	246.28	231.32	371.22	348.71	457.25	713.11	521.76	271.48	55.89	78.34	38.4	483.38	733.19	36.53	466.88
GPRASP1	47.84	94.67	31.0	6.84	35.5	18.84	38.95	187.71	8.13	14.14	43.02	21.32	11.64	49.91	6.73	24.63	10.0	63.45	20.86	19.97	40.36	24.99	16.27	52.82	56.28	54.72	511.0	366.09	166.73	111.99	450.94	353.59	497.0	336.79	329.84	201.25	406.31	389.72	273.37	441.64	163.28	228.13	209.84	334.46	392.44	237.86	112.77	361.04
GXYLT2	40.93	104.42	36.01	2.46	5.73	3.53	69.03	26.86	25.54	73.03	84.04	64.8	0.0	8.25	0.56	0.79	0.59	45.85	19.82	19.82	8.71	24.11	8.19	8.32	18.43	45.85	138.1	81.71	45.85	133.36	102.25	90.14	139.07	177.53	189.02	212.78	363.56	320.8	186.4	150.17	450.94	146.03	123.5	156.59	255.0	137.14	105.15	251.48
HEG1	135.24	115.97	217.27	72.52	111.99	173.85	279.14	624.99	94.01	211.31	229.72	175.07	84.04	239.52	56.28	35.76	18.97	105.89	379.04	279.14	334.46	329.84	75.11	271.48	234.57	265.87	2537.92	1001.93	1044.52	1369.04	603.67	1088.92	1519.15	1437.15	2485.67	1551.09	1378.57	1639.59	775.05	1277.29	1437.15	693.58	660.68	1757.34	1437.15	915.51	497.0	1167.14
HHEX	138.1	112.77	39.79	20.56	38.4	34.26	59.97	99.43	13.83	57.49	25.54	32.59	638.15	529.06	297.17	954.43	271.48	81.14	63.0	181.28	36.01	40.64	19.82	52.45	120.94	78.34	1769.57	1159.07	1340.84	1088.92	2004.85	1135.2	2384.37	1023.0	1331.57	967.76	1572.76	1697.45	2047.0	2303.12	796.86	813.63	995.0	896.64	3639.7	2104.58	400.71	1991.0
HOMER1	5.11	12.09	17.51	58.71	20.71	5.96	22.26	128.79	26.28	99.43	82.29	117.6	25.72	25.35	3.86	2.12	34.75	118.43	59.97	22.75	37.32	17.51	26.1	22.43	23.42	20.26	301.33	87.65	214.27	157.68	303.44	171.45	107.38	209.84	273.37	130.6	392.44	253.23	115.97	183.82	135.24	126.12	171.45	204.07	265.87	209.84	98.04	181.28
HRASLS	2.56	3.41	0.0	2.41	1.89	1.31	4.35	14.89	18.84	92.05	30.78	26.47	0.92	7.46	2.81	0.0	0.0	49.21	9.85	3.89	43.94	16.39	18.29	11.21	1.64	16.75	126.12	155.5	121.79	135.24	307.69	129.69	172.65	295.11	217.27	262.2	158.79	172.65	262.2	130.6	94.67	199.85	156.59	265.87	239.52	175.07	231.32	316.37
IFT81	70.51	108.9	53.19	46.5	26.1	28.04	77.79	189.02	117.6	52.82	101.54	139.07	153.34	178.77	9.93	42.41	15.8	228.13	125.24	162.14	32.13	80.57	77.25	87.65	62.56	110.43	432.53	371.22	237.86	366.09	497.0	265.87	309.83	260.38	314.17	183.82	265.87	327.56	232.94	457.25	318.57	289.02	323.03	297.17	283.05	255.0	180.02	343.89
ITGB3	38.4	92.05	29.7	59.97	56.28	29.27	44.57	511.0	167.9	351.14	104.42	162.14	33.3	40.64	37.05	12.64	2.53	32.13	84.63	117.6	96.68	14.24	20.71	48.52	48.18	43.02	612.11	95.34	157.68	723.08	281.09	1340.84	769.69	529.06	400.71	1088.92	1322.37	698.41	450.94	312.0	679.29	293.07	102.25	1259.69	2335.28	1259.69	36.27	80.01
KDM1B	224.97	199.85	28.45	23.93	38.95	29.48	38.12	220.32	221.86	143.01	190.34	341.51	129.69	82.87	51.71	41.81	46.84	143.01	183.82	287.01	73.54	87.65	69.03	146.03	112.77	106.63	339.14	540.19	323.03	241.19	490.14	332.14	262.2	373.81	426.57	334.46	551.56	253.23	397.93	229.72	162.14	299.25	460.44	412.0	460.44	303.44	301.33	336.79
KLHL14	10.79	17.13	2.2	2.36	0.46	0.42	6.16	97.36	11.73	28.24	18.03	9.41	0.0	1.51	0.54	0.38	0.29	4.5	1.33	5.36	0.66	0.49	0.0	3.63	5.92	13.42	265.87	99.43	123.5	167.9	269.6	189.02	190.34	124.37	249.73	205.5	249.73	267.73	134.3	234.57	193.01	94.01	83.45	155.5	273.37	214.27	42.71	271.48
KPNA5	38.95	57.08	34.51	18.29	31.0	31.22	42.71	130.6	40.93	33.06	63.0	42.71	10.63	50.27	14.14	19.82	18.7	157.68	59.97	32.82	50.27	78.34	34.75	69.03	63.89	105.89	154.42	249.73	132.44	107.38	158.79	169.07	164.42	170.25	202.66	133.36	169.07	198.47	78.89	189.02	133.36	134.3	93.35	127.89	181.28	182.55	117.6	162.14
KRT27	2.89	9.48	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.35	0.0	0.0	0.0	3.35	1.23	0.0	0.0	1.81	0.0	0.27	4.43	0.0	0.0	0.0	0.0	8.58	158.79	25.91	1.89	43.94	36.27	74.06	73.03	96.68	199.85	39.22	20.41	208.38	323.03	309.83	3.82	80.01	13.42	14.45	126.12	182.55	9.34	145.02
LCA5	9.48	17.64	19.97	10.08	8.45	15.11	22.1	96.01	14.45	12.64	35.5	23.42	4.13	22.92	2.53	6.73	3.72	34.75	37.32	23.08	16.03	21.01	9.7	18.56	32.36	35.5	152.28	54.72	47.84	141.02	52.08	103.69	87.65	84.63	120.1	73.54	226.54	193.01	61.25	144.01	167.9	52.45	25.17	61.25	89.51	68.07	30.34	73.54
LMO3	36.79	253.23	1.31	0.47	4.13	0.0	2.39	121.79	3.92	14.14	21.01	6.11	3.26	1.03	6.16	6.57	1.66	68.55	26.28	38.4	1.33	25.91	9.41	55.89	147.06	52.08	3955.48	99.43	551.56	3955.48	842.36	1583.71	3540.14	3820.7	8022.41	1119.56	4543.8	4388.98	4268.94	5441.3	2004.85	713.11	105.15	748.61	1233.75	2018.8	73.54	3665.02
LRP4	141.02	237.86	42.41	9.7	27.84	32.13	26.28	49.56	8.13	111.21	23.59	79.45	44.89	49.56	7.75	17.0	2.43	58.3	120.1	99.43	110.43	277.2	132.44	169.07	78.34	273.37	3443.31	195.72	325.29	995.0	226.54	674.59	1909.85	1369.04	3794.3	417.77	1806.78	7485.11	2777.33	2384.37	1111.82	327.56	86.43	332.14	2032.85	1199.98	116.78	1685.71
LRRK2	20.26	28.86	5.54	4.98	30.12	4.5	7.0	301.33	759.08	612.11	441.64	1313.23	25.35	15.56	19.53	29.06	53.57	41.22	16.03	19.97	11.21	34.02	10.31	29.06	89.51	33.78	4607.24	285.03	239.52	607.87	55.1	3212.66	4419.52	3847.29	5112.16	166.73	2178.83	4095.0	2148.82	2682.69	373.81	80.57	237.86	101.54	7280.4	2591.27	59.13	4210.15
LRRN1	13.22	18.97	5.23	0.95	1.39	1.28	1.91	19.68	1.97	38.95	42.41	50.98	2.68	0.84	5.59	9.13	3.79	11.64	45.85	13.93	84.04	28.65	24.63	12.83	56.28	255.0	194.36	51.71	42.41	63.0	896.64	97.36	53.95	101.54	98.04	209.84	62.56	293.07	341.51	26.47	297.17	248.0	60.82	1733.13	493.56	39.22	73.54	107.38
MAN2B2	358.54	339.14	199.85	358.54	156.59	281.09	400.71	507.46	258.57	684.02	438.59	521.76	271.48	193.01	486.75	297.17	199.85	642.59	896.64	384.34	287.01	403.5	334.46	429.54	563.18	432.53	514.56	490.14	309.83	603.67	444.72	775.05	525.39	540.19	684.02	753.83	764.36	974.5	921.88	679.29	532.74	409.15	412.0	753.83	775.05	703.28	363.56	543.96
MAP3K1	149.12	137.14	71.5	205.5	118.43	61.25	172.65	291.04	77.79	204.07	145.02	239.52	223.41	121.79	37.05	88.88	55.89	264.03	145.02	135.24	143.01	204.07	119.26	136.19	162.14	209.84	518.15	279.14	358.54	656.11	486.75	281.09	373.81	412.0	490.14	231.32	915.51	457.25	325.29	624.99	718.08	309.83	293.07	392.44	514.56	389.72	256.78	791.35
MEGF9	96.01	114.36	309.83	316.37	150.17	423.61	447.82	493.56	158.79	460.44	234.57	206.94	511.0	147.06	190.34	341.51	121.79	178.77	73.03	110.43	140.04	214.27	181.28	285.03	181.28	185.11	1322.37	299.25	1242.34	1388.16	262.2	1088.92	954.43	1369.04	1233.75	1096.5	2855.44	890.44	638.15	674.59	665.29	463.65	187.71	429.54	728.11	896.64	426.57	693.58
MPP2	25.35	45.53	8.45	31.67	20.41	6.46	27.64	48.18	6.01	33.78	4.5	17.64	0.72	11.04	3.17	2.25	1.66	20.86	37.32	15.22	17.51	17.77	11.04	34.75	48.52	47.5	155.5	38.12	21.01	29.7	156.59	351.14	104.42	114.36	79.45	88.88	112.77	104.42	122.64	102.97	43.32	191.67	14.45	186.4	180.02	147.06	16.39	63.0
