	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
ASH1L	267.73	246.28	220.32	136.19	170.25	205.5	135.24	159.9	218.79	145.02	173.85	303.44	457.25	156.59	163.28	253.23	223.41	346.29	187.71	94.01	483.38	511.0	521.76	346.29	525.39	253.23	463.65	555.41	486.75	629.35	638.15	563.18	111.99	343.89	444.72	307.69	616.37	384.34	463.65	579.04	258.57	348.71	343.89	334.46	348.71	483.38	249.73	403.5	303.44	339.14	353.59	521.76	318.57	759.08	180.02	444.72	175.07	473.41	295.11	551.56	373.81	379.04	454.09	435.55	150.17	358.54	234.57	480.04	583.07	400.71	406.31	234.57	361.04	303.44	366.09
ASXL2	100.83	87.65	105.89	71.5	62.56	86.43	57.89	69.52	82.29	56.28	66.65	102.97	178.77	75.11	52.08	116.78	92.05	153.34	74.58	42.41	191.67	201.25	170.25	125.24	204.07	95.34	172.65	182.55	198.47	209.84	273.37	244.57	61.25	119.26	164.42	120.94	169.07	195.72	204.07	148.09	91.41	132.44	176.29	129.69	186.4	229.72	92.05	202.66	152.28	148.09	128.79	262.2	69.03	153.34	75.64	177.53	72.52	176.29	124.37	150.17	130.6	161.02	262.2	167.9	59.55	195.72	120.1	189.02	214.27	173.85	134.3	85.82	191.67	116.78	137.14
ATP10D	170.25	242.88	154.42	113.56	197.09	133.36	133.36	87.65	205.5	172.65	113.56	197.09	420.68	189.02	138.1	151.22	249.73	224.97	162.14	89.51	376.41	366.09	339.14	246.28	358.54	255.0	309.83	463.65	414.87	629.35	511.0	246.28	283.05	303.44	307.69	162.14	256.78	267.73	693.58	616.37	242.88	305.55	283.05	258.57	373.81	361.04	228.13	336.79	236.21	242.88	307.69	384.34	202.66	454.09	198.47	384.34	275.28	500.46	329.84	262.2	271.48	346.29	341.51	420.68	275.28	323.03	232.94	444.72	392.44	334.46	223.41	223.41	312.0	193.01	329.84
ATP11B	170.25	195.72	206.94	173.85	153.34	177.53	191.67	163.28	175.07	152.28	171.45	212.78	384.34	150.17	137.14	215.77	167.9	297.17	178.77	76.71	325.29	358.54	295.11	202.66	409.15	178.77	248.0	334.46	301.33	389.72	323.03	289.02	164.42	253.23	218.79	256.78	253.23	323.03	376.41	318.57	176.29	169.07	234.57	180.02	249.73	343.89	182.55	226.54	198.47	186.4	215.77	432.53	167.9	480.04	149.12	244.57	134.3	299.25	220.32	283.05	264.03	279.14	387.02	275.28	159.9	273.37	163.28	368.65	295.11	262.2	223.41	242.88	435.55	183.82	186.4
ATRX	249.73	202.66	231.32	162.14	165.57	211.31	176.29	194.36	211.31	127.0	158.79	265.87	511.0	156.59	204.07	295.11	224.97	318.57	185.11	104.42	432.53	483.38	417.77	224.97	514.56	232.94	363.56	466.88	361.04	518.15	412.0	490.14	208.38	262.2	356.05	320.8	387.02	412.0	466.88	339.14	249.73	301.33	211.31	299.25	281.09	500.46	264.03	287.01	329.84	295.11	244.57	571.05	269.6	684.02	191.67	297.17	193.01	371.22	332.14	316.37	269.6	358.54	403.5	301.33	176.29	255.0	172.65	435.55	493.56	293.07	358.54	305.55	540.19	231.32	361.04
BMPR1A	206.94	351.14	153.34	185.11	115.16	138.1	164.42	159.9	193.01	104.42	166.73	221.86	409.15	231.32	157.68	260.38	208.38	255.0	209.84	140.04	518.15	470.14	559.28	351.14	525.39	348.71	518.15	575.03	480.04	460.44	426.57	791.35	182.55	381.68	400.71	279.14	503.95	651.58	819.3	540.19	414.87	511.0	376.41	295.11	366.09	438.59	260.38	708.18	241.19	435.55	267.73	941.27	251.48	551.56	291.04	500.46	269.6	429.54	221.86	348.71	447.82	642.59	616.37	400.71	289.02	429.54	334.46	432.53	525.39	420.68	379.04	260.38	265.87	463.65	466.88
C10orf12	19.25	10.63	13.62	12.64	10.79	12.09	14.14	12.18	11.47	12.83	13.83	23.93	38.67	17.13	15.45	22.75	18.97	37.32	11.04	8.85	36.01	37.05	31.22	19.68	53.57	17.13	24.46	33.06	35.5	26.86	36.53	33.06	21.63	17.0	27.25	24.63	44.89	35.76	37.85	22.1	17.13	13.72	14.89	16.88	22.92	32.13	17.0	27.44	24.99	16.51	24.28	29.91	21.32	21.63	19.97	21.01	11.04	36.53	20.41	34.26	21.47	38.12	26.28	23.59	14.78	18.56	17.13	34.26	16.15	19.53	19.39	25.54	51.35	10.47	22.43
C16orf52	146.03	194.36	158.79	118.43	154.42	156.59	157.68	125.24	176.29	121.79	128.79	163.28	220.32	215.77	141.02	198.47	187.71	169.07	175.07	112.77	181.28	264.03	218.79	147.06	251.48	191.67	206.94	291.04	228.13	220.32	299.25	208.38	135.24	169.07	181.28	189.02	162.14	215.77	251.48	228.13	154.42	167.9	190.34	152.28	242.88	248.0	155.5	137.14	187.71	162.14	234.57	289.02	144.01	258.57	149.12	169.07	167.9	223.41	165.57	201.25	197.09	163.28	194.36	169.07	114.36	155.5	137.14	242.88	253.23	156.59	178.77	208.38	312.0	180.02	199.85
C3orf17	599.49	693.58	684.02	397.93	441.64	591.22	473.41	412.0	665.29	503.95	525.39	708.18	981.29	555.41	346.29	674.59	638.15	616.37	551.56	384.34	656.11	748.61	866.07	551.56	878.17	497.0	802.41	961.07	629.35	791.35	928.3	748.61	543.96	612.11	665.29	583.07	674.59	607.87	651.58	764.36	567.1	563.18	684.02	651.58	616.37	616.37	802.41	647.07	660.68	575.03	591.22	1088.92	633.73	902.89	532.74	769.69	603.67	638.15	567.1	679.29	679.29	896.64	713.11	708.18	629.35	647.07	457.25	688.78	915.51	679.29	642.59	579.04	563.18	595.34	647.07
CAB39	743.43	753.83	791.35	638.15	547.75	665.29	674.59	559.28	693.58	642.59	759.08	733.19	878.17	497.0	547.75	733.19	698.41	860.08	591.22	470.14	954.43	954.43	878.17	753.83	941.27	769.69	909.17	1104.13	872.1	1277.29	934.76	1295.13	633.73	679.29	660.68	703.28	872.1	1313.23	1819.35	1208.34	463.65	684.02	633.73	555.41	693.58	954.43	629.35	1119.56	909.17	738.29	708.18	2004.85	684.02	1127.35	497.0	764.36	693.58	854.13	660.68	854.13	848.22	791.35	981.29	954.43	612.11	624.99	651.58	1015.93	1104.13	785.88	791.35	802.41	1143.1	624.99	961.07
CAMSAP2	253.23	279.14	305.55	205.5	198.47	234.57	189.02	223.41	226.54	170.25	185.11	303.44	457.25	208.38	183.82	267.73	242.88	353.59	229.72	144.01	438.59	476.71	414.87	281.09	406.31	239.52	356.05	423.61	417.77	470.14	409.15	426.57	229.72	299.25	318.57	316.37	417.77	332.14	551.56	351.14	265.87	291.04	312.0	255.0	218.79	454.09	287.01	289.02	273.37	271.48	318.57	525.39	273.37	420.68	258.57	309.83	256.78	409.15	323.03	351.14	314.17	400.71	412.0	343.89	186.4	336.79	232.94	334.46	444.72	387.02	353.59	281.09	470.14	281.09	351.14
CCNT1	146.03	159.9	147.06	94.67	110.43	116.78	113.56	106.63	150.17	120.1	99.43	199.85	269.6	218.79	109.66	173.85	140.04	206.94	131.51	124.37	246.28	242.88	251.48	205.5	299.25	173.85	234.57	320.8	265.87	353.59	356.05	248.0	138.1	194.36	246.28	169.07	249.73	214.27	281.09	275.28	206.94	173.85	212.78	137.14	183.82	255.0	170.25	214.27	167.9	201.25	212.78	301.33	144.01	287.01	137.14	224.97	153.34	229.72	193.01	214.27	269.6	283.05	363.56	209.84	176.29	211.31	132.44	194.36	316.37	212.78	236.21	162.14	176.29	146.03	150.17
CPSF6	607.87	703.28	708.18	463.65	599.49	612.11	633.73	647.07	591.22	651.58	497.0	688.78	884.29	703.28	521.76	651.58	642.59	703.28	688.78	480.04	759.08	802.41	718.08	684.02	967.76	748.61	708.18	703.28	688.78	748.61	995.0	842.36	529.06	665.29	718.08	713.11	698.41	733.19	728.11	769.69	693.58	713.11	791.35	624.99	718.08	759.08	599.49	748.61	708.18	738.29	698.41	941.27	559.28	1008.9	587.13	738.29	753.83	718.08	954.43	718.08	738.29	743.43	896.64	713.11	633.73	878.17	780.44	854.13	941.27	961.07	769.69	603.67	764.36	785.88	684.02
CSNK1G1	105.15	113.56	86.43	43.02	76.17	90.14	67.12	77.79	87.03	80.01	84.04	112.77	131.51	106.63	90.14	87.65	112.77	132.44	76.71	60.39	164.42	147.06	156.59	148.09	156.59	96.01	159.9	204.07	161.02	166.73	215.77	150.17	55.49	132.44	154.42	105.89	151.22	106.63	214.27	126.12	117.6	131.51	149.12	107.38	120.94	149.12	124.37	175.07	127.0	127.0	152.28	169.07	85.82	117.6	94.01	133.36	126.12	154.42	150.17	149.12	108.14	187.71	170.25	141.02	111.99	142.01	118.43	134.3	182.55	121.79	132.44	81.71	96.68	125.24	128.79
CSNK1G3	195.72	202.66	163.28	146.03	183.82	158.79	162.14	147.06	201.25	172.65	164.42	202.66	251.48	226.54	116.78	208.38	217.27	231.32	163.28	129.69	285.03	336.79	287.01	226.54	323.03	173.85	248.0	341.51	293.07	387.02	269.6	336.79	234.57	211.31	236.21	241.19	236.21	371.22	423.61	305.55	172.65	217.27	195.72	212.78	191.67	336.79	183.82	249.73	221.86	205.5	239.52	406.31	248.0	339.14	214.27	205.5	198.47	251.48	226.54	209.84	244.57	218.79	256.78	277.2	206.94	191.67	178.77	381.68	231.32	165.57	237.86	251.48	334.46	182.55	293.07
CTDSPL2	164.42	151.22	162.14	62.12	108.9	135.24	109.66	123.5	158.79	75.64	116.78	175.07	334.46	132.44	100.83	181.28	143.01	201.25	115.16	80.01	307.69	379.04	323.03	215.77	392.44	176.29	283.05	389.72	301.33	373.81	551.56	376.41	139.07	191.67	217.27	193.01	323.03	264.03	325.29	305.55	153.34	190.34	177.53	172.65	241.19	379.04	224.97	237.86	193.01	195.72	241.19	473.41	198.47	353.59	151.22	189.02	166.73	336.79	191.67	316.37	204.07	237.86	283.05	258.57	140.04	209.84	145.02	289.02	438.59	208.38	332.14	140.04	283.05	241.19	189.02
CXorf38	150.17	115.16	132.44	148.09	109.66	163.28	111.21	94.01	161.02	90.77	118.43	146.03	264.03	131.51	129.69	144.01	108.14	151.22	102.97	130.6	242.88	253.23	215.77	217.27	262.2	197.09	223.41	269.6	348.71	305.55	218.79	223.41	198.47	289.02	287.01	202.66	283.05	251.48	409.15	329.84	199.85	239.52	262.2	148.09	291.04	241.19	303.44	241.19	212.78	229.72	215.77	265.87	223.41	323.03	214.27	312.0	181.28	236.21	198.47	229.72	297.17	234.57	251.48	256.78	123.5	279.14	166.73	283.05	224.97	232.94	241.19	170.25	195.72	177.53	187.71
DCP1A	162.14	127.89	154.42	84.63	98.73	132.44	120.94	133.36	137.14	108.14	78.89	159.9	332.14	117.6	85.22	155.5	146.03	199.85	139.07	67.59	242.88	289.02	275.28	178.77	299.25	176.29	217.27	287.01	281.09	343.89	285.03	204.07	123.5	182.55	229.72	197.09	191.67	157.68	241.19	260.38	175.07	186.4	209.84	156.59	231.32	260.38	181.28	249.73	164.42	202.66	199.85	309.83	154.42	283.05	127.0	253.23	151.22	256.78	127.89	241.19	248.0	295.11	279.14	201.25	149.12	182.55	186.4	293.07	341.51	208.38	273.37	146.03	194.36	178.77	150.17
DDX18	435.55	599.49	514.56	406.31	403.5	366.09	463.65	417.77	521.76	379.04	371.22	473.41	1037.29	486.75	392.44	525.39	420.68	620.67	420.68	358.54	753.83	890.44	854.13	638.15	981.29	748.61	878.17	860.08	733.19	1030.12	1051.79	866.07	500.46	872.1	738.29	748.61	802.41	961.07	1208.34	629.35	896.64	703.28	890.44	525.39	698.41	1111.82	571.05	830.75	642.59	909.17	684.02	1159.07	551.56	947.83	438.59	1044.52	529.06	884.29	759.08	540.19	703.28	928.3	1167.14	708.18	518.15	728.11	802.41	693.58	1313.23	896.64	796.86	470.14	808.0	603.67	660.68
DDX46	412.0	417.77	414.87	287.01	373.81	397.93	325.29	332.14	406.31	356.05	295.11	460.44	723.08	334.46	253.23	429.54	392.44	555.41	376.41	291.04	642.59	698.41	718.08	493.56	842.36	518.15	551.56	660.68	651.58	961.07	764.36	567.1	447.82	463.65	633.73	595.34	728.11	551.56	651.58	836.53	579.04	525.39	633.73	486.75	629.35	624.99	567.1	518.15	473.41	563.18	563.18	830.75	603.67	860.08	438.59	638.15	356.05	638.15	571.05	684.02	629.35	775.05	620.67	559.28	371.22	603.67	435.55	866.07	733.19	624.99	669.92	480.04	587.13	493.56	457.25
DDX6	373.81	303.44	262.2	223.41	162.14	253.23	147.06	165.57	329.84	206.94	299.25	466.88	759.08	273.37	260.38	429.54	356.05	470.14	289.02	120.1	684.02	733.19	902.89	674.59	981.29	346.29	802.41	775.05	688.78	915.51	902.89	830.75	267.73	802.41	775.05	420.68	1151.06	547.75	753.83	791.35	435.55	583.07	624.99	343.89	379.04	981.29	281.09	1073.91	409.15	764.36	363.56	866.07	332.14	813.63	373.81	775.05	215.77	791.35	651.58	490.14	866.07	674.59	1359.57	785.88	228.13	591.22	473.41	603.67	1001.93	748.61	503.95	348.71	420.68	346.29	532.74
DEK	1407.55	1457.23	1487.87	769.69	878.17	1073.91	1051.79	1066.48	1407.55	878.17	1015.93	1369.04	2104.58	866.07	884.29	1651.0	1051.79	1651.0	1304.15	743.43	2133.97	2555.58	2335.28	1781.89	2664.15	1819.35	2303.12	2664.15	2335.28	2796.65	1721.16	3146.52	1709.26	2148.82	2148.82	2018.8	2573.36	3081.75	3614.55	3467.27	1651.0	1457.23	1561.89	1685.71	1857.6	2303.12	2240.11	2032.85	1806.78	2434.5	1936.53	3847.29	2319.15	3820.7	1225.22	2287.2	1963.57	2193.99	1896.65	2796.65	2224.63	2335.28	1806.78	2468.49	1977.24	2335.28	1551.09	2193.99	2468.49	1923.14	2255.7	2119.22	3018.3	2090.03	2627.46
DENND4C	320.8	281.09	269.6	199.85	208.38	217.27	167.9	165.57	277.2	149.12	155.5	307.69	497.0	198.47	178.77	318.57	246.28	356.05	229.72	102.25	463.65	486.75	466.88	314.17	507.46	281.09	454.09	514.56	575.03	536.45	591.22	387.02	173.85	351.14	406.31	307.69	525.39	320.8	616.37	500.46	368.65	417.77	497.0	275.28	318.57	642.59	295.11	387.02	232.94	450.94	356.05	563.18	246.28	514.56	275.28	420.68	281.09	463.65	392.44	463.65	403.5	525.39	507.46	607.87	232.94	406.31	273.37	409.15	575.03	412.0	371.22	251.48	384.34	287.01	316.37
