	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
BEND6	47.17	5.41	21.16	47.5	7.28	30.78	19.97	6.21	13.72	11.64	28.24	20.11	37.85	13.62	28.45	31.45	29.48	37.05	29.91	19.11	52.82	23.42	19.39	27.64	35.76	24.28	22.26	34.51	52.08	27.44	6.16	24.99	4.54	15.56	24.63	44.25	22.26	29.27	13.93	52.08	28.65	36.01	10.79	6.67	14.67	47.84	1.3	26.28	24.63	23.93	21.01	9.63	40.07	38.4	12.45	65.26	15.8	20.56	25.91	25.54	39.79	23.59	53.57	22.26	20.41	38.12	6.94	3.03	13.62	29.48	29.27	10.71	23.08	3.69	10.88	27.25	5.77	8.58	12.18	35.5	40.64	6.94	19.97	13.22	22.59	11.73	9.85	57.08	24.46	20.26	25.91	40.64	11.82	16.39	10.47	14.24	26.1	40.07	8.51	39.22	23.08	37.59	20.86	51.35	5.11	17.9	12.09	51.71	27.84	55.49	35.76	75.64	32.82	88.26	53.57	38.67	51.35	30.34	56.28	30.56	20.86	67.12	101.54
BHMT2	148.09	74.58	16.39	147.06	38.95	40.36	124.37	11.38	16.75	2.32	88.88	47.84	118.43	180.02	182.55	164.42	158.79	53.95	81.14	74.06	128.79	134.3	55.1	34.02	137.14	30.56	195.72	202.66	209.84	132.44	26.1	113.56	21.32	28.04	88.88	131.51	58.3	63.89	75.64	170.25	108.14	84.04	52.82	53.19	51.71	199.85	4.94	84.63	108.14	27.84	67.12	50.27	234.57	224.97	5.59	194.36	21.78	118.43	102.97	127.0	102.97	47.5	111.21	46.18	51.71	81.71	22.1	4.94	15.34	159.9	46.5	69.52	36.53	36.79	91.41	142.01	36.27	25.17	17.51	218.79	178.77	31.0	75.64	33.3	125.24	27.64	27.25	185.11	127.0	82.87	77.25	116.78	52.45	51.71	43.32	23.93	39.22	172.65	8.65	72.52	102.25	181.28	42.11	58.71	14.67	61.68	61.68	145.02	32.36	171.45	318.57	426.57	177.53	379.04	299.25	249.73	159.9	169.07	356.05	309.83	93.35	466.88	343.89
C16orf45	521.76	199.85	118.43	454.09	177.53	218.79	599.49	40.64	75.64	42.41	387.02	275.28	679.29	381.68	511.0	521.76	525.39	441.64	339.14	267.73	406.31	480.04	262.2	166.73	647.07	159.9	718.08	629.35	866.07	395.18	105.89	389.72	231.32	133.36	316.37	674.59	260.38	215.77	212.78	884.29	373.81	463.65	205.5	249.73	229.72	441.64	34.02	400.71	297.17	185.11	521.76	241.19	651.58	769.69	99.43	713.11	128.79	336.79	379.04	483.38	460.44	251.48	381.68	215.77	228.13	332.14	74.58	273.37	191.67	543.96	373.81	267.73	154.42	131.51	202.66	547.75	102.25	197.09	83.45	521.76	647.07	150.17	275.28	181.28	348.71	115.97	163.28	620.67	473.41	358.54	444.72	529.06	120.94	301.33	273.37	152.28	218.79	665.29	115.16	253.23	579.04	624.99	214.27	253.23	77.25	221.86	312.0	674.59	368.65	785.88	921.88	1340.84	718.08	995.0	825.0	1037.29	567.1	679.29	1662.49	802.41	480.04	1104.13	947.83
C3orf70	118.43	31.22	14.45	83.45	10.39	25.54	105.15	28.45	8.06	16.63	80.57	28.65	77.79	72.52	74.06	65.72	109.66	27.64	55.1	63.0	84.04	41.81	50.98	29.48	112.77	51.71	84.04	102.25	169.07	93.35	6.84	62.56	15.34	30.34	47.84	127.0	33.78	39.22	46.5	136.19	66.18	58.71	23.42	41.81	74.06	115.16	4.78	46.18	41.52	32.36	41.22	34.51	122.64	190.34	5.63	206.94	10.08	62.56	39.22	87.65	58.3	49.21	52.08	21.47	35.76	73.54	10.39	3.38	11.04	105.89	23.59	37.59	39.5	7.88	34.75	62.12	18.7	17.13	36.53	212.78	100.13	15.91	57.08	25.17	66.18	10.79	18.29	114.36	99.43	62.12	31.67	84.04	34.75	31.22	32.13	34.75	56.28	123.5	4.58	31.22	70.01	111.21	11.82	44.25	11.13	31.45	35.5	79.45	49.91	106.63	135.24	147.06	100.13	100.13	181.28	165.57	129.69	75.11	197.09	116.78	62.12	123.5	170.25
CAV1	1259.69	579.04	323.03	1151.06	283.05	297.17	1540.37	85.22	154.42	101.54	1378.57	551.56	1331.57	1208.34	1059.11	988.12	1794.29	587.13	915.51	693.58	748.61	860.08	1191.69	293.07	1467.37	255.0	1286.18	1870.53	2434.5	1225.22	149.12	738.29	182.55	246.28	825.0	1477.58	665.29	429.54	651.58	2537.92	1259.69	974.5	371.22	441.64	753.83	1709.26	137.14	796.86	802.41	187.71	651.58	371.22	2335.28	2758.13	87.03	2061.24	177.53	878.17	1143.1	1369.04	866.07	555.41	836.53	283.05	825.0	921.88	149.12	87.65	209.84	1936.53	409.15	559.28	232.94	165.57	532.74	947.83	121.79	204.07	236.21	1832.01	1639.59	253.23	620.67	260.38	769.69	124.37	224.97	2537.92	1159.07	616.37	947.83	1977.24	305.55	825.0	435.55	218.79	423.61	2163.77	75.11	447.82	1359.57	2287.2	339.14	616.37	108.14	341.51	435.55	1896.65	620.67	1977.24	3639.7	2935.74	2209.26	5594.3	4607.24	3540.14	1745.2	1781.89	3690.52	2240.11	1757.34	3614.55	3395.89
CCDC69	381.68	163.28	95.34	389.72	78.34	87.65	368.65	36.53	55.89	106.63	244.57	155.5	450.94	260.38	312.0	301.33	441.64	181.28	183.82	232.94	329.84	232.94	211.31	133.36	417.77	83.45	497.0	525.39	679.29	400.71	100.83	273.37	101.54	194.36	223.41	723.08	165.57	144.01	149.12	656.11	332.14	323.03	237.86	172.65	246.28	432.53	31.67	289.02	253.23	66.18	234.57	239.52	603.67	651.58	32.36	497.0	77.79	307.69	204.07	339.14	279.14	218.79	332.14	126.12	185.11	264.03	84.04	30.56	124.37	423.61	127.0	164.42	176.29	105.15	204.07	293.07	112.77	89.51	46.5	591.22	480.04	106.63	231.32	110.43	253.23	46.5	106.63	603.67	295.11	249.73	248.0	500.46	73.03	214.27	147.06	102.25	186.4	665.29	54.72	133.36	260.38	638.15	111.21	265.87	72.52	164.42	153.34	633.73	309.83	521.76	775.05	1225.22	406.31	884.29	679.29	967.76	607.87	551.56	1023.0	624.99	423.61	1015.93	967.76
CHRDL1	1721.16	323.03	48.18	854.13	103.69	125.24	1233.75	21.16	77.25	48.87	624.99	260.38	620.67	366.09	1397.83	988.12	1407.55	334.46	518.15	718.08	583.07	603.67	325.29	154.42	1250.98	325.29	1216.75	995.0	1662.49	872.1	48.18	395.18	106.63	125.24	363.56	1216.75	366.09	248.0	536.45	1651.0	1001.93	473.41	193.01	264.03	351.14	1135.2	3.0	381.68	476.71	69.03	373.81	283.05	1487.87	1295.13	31.9	1447.15	77.79	423.61	187.71	1127.35	780.44	387.02	480.04	173.85	267.73	638.15	57.08	36.79	71.5	1175.27	376.41	327.56	201.25	161.02	457.25	679.29	57.89	101.54	63.45	1991.0	1605.83	50.27	435.55	93.35	633.73	120.1	98.04	1216.75	1457.23	518.15	571.05	928.3	105.15	129.69	343.89	80.01	454.09	1015.93	15.0	80.57	703.28	1066.48	47.5	283.05	98.04	299.25	264.03	1044.52	723.08	1322.37	1605.83	3168.41	1151.06	3146.52	1583.71	2468.49	1529.73	1651.0	3190.46	1950.0	633.73	3419.52	4358.66
CLIP3	400.71	102.97	53.95	271.48	64.8	88.26	536.45	16.51	47.17	20.11	232.94	115.97	325.29	325.29	426.57	249.73	320.8	212.78	237.86	218.79	291.04	142.01	138.1	121.79	346.29	119.26	521.76	423.61	759.08	190.34	61.68	198.47	74.06	78.89	221.86	493.56	126.12	147.06	181.28	813.63	190.34	223.41	124.37	105.15	134.3	511.0	20.41	206.94	193.01	43.94	232.94	171.45	718.08	536.45	21.32	633.73	89.51	193.01	201.25	295.11	387.02	171.45	287.01	93.35	93.35	264.03	73.03	43.32	75.64	249.73	182.55	180.02	90.77	81.14	214.27	397.93	73.54	36.53	24.28	303.44	543.96	126.12	189.02	89.51	144.01	67.59	118.43	450.94	271.48	256.78	318.57	368.65	83.45	197.09	194.36	58.71	140.04	723.08	54.33	100.13	348.71	327.56	92.7	153.34	50.63	144.01	143.01	316.37	251.48	674.59	543.96	860.08	381.68	486.75	713.11	848.22	341.51	525.39	1096.5	480.04	258.57	796.86	1066.48
CORO2B	38.12	16.51	12.64	32.13	18.03	12.64	28.24	3.53	5.82	6.11	20.71	17.77	20.71	31.67	43.63	18.16	24.63	23.25	33.06	19.82	36.79	30.12	26.47	12.27	33.3	11.73	39.79	42.71	35.0	28.65	9.41	22.75	9.2	11.38	19.53	47.5	22.43	12.09	9.56	27.25	20.11	17.51	18.56	17.13	21.47	23.42	4.54	12.27	20.41	3.17	20.26	14.78	66.65	29.06	5.19	40.07	9.56	26.67	46.84	25.54	37.59	10.08	32.82	13.62	9.41	38.12	6.31	2.23	19.53	14.78	15.0	16.51	13.42	5.68	22.43	17.0	8.65	5.68	2.2	20.86	52.82	15.34	14.89	7.34	13.93	5.63	12.36	28.04	29.7	13.83	32.13	29.27	8.85	23.76	13.03	9.7	13.22	40.64	4.74	11.82	22.26	32.59	10.47	16.75	5.15	17.64	10.39	32.13	19.68	17.64	36.79	57.08	33.06	43.94	40.64	21.32	26.1	47.5	45.85	32.59	21.63	41.22	71.0
CPEB1	34.75	9.56	4.78	28.65	5.06	5.73	34.51	2.2	3.69	2.1	10.63	9.27	15.11	16.88	21.63	26.47	46.18	26.1	25.54	17.51	25.17	28.24	8.0	16.75	17.77	5.02	45.53	39.22	31.9	23.59	1.5	20.11	7.57	8.32	5.41	47.84	7.22	13.52	12.74	41.81	24.11	24.99	14.03	10.08	16.03	40.36	0.45	17.9	14.24	4.13	41.22	18.03	63.0	35.0	1.85	81.71	10.47	15.22	20.86	21.63	19.53	23.25	31.9	13.12	14.24	31.9	3.89	1.69	6.57	12.45	13.62	14.35	3.69	3.59	17.64	27.05	4.74	8.99	2.61	23.93	57.49	7.63	26.67	2.25	10.71	4.58	7.46	37.32	36.79	22.59	48.87	21.32	6.67	15.91	11.3	8.38	16.51	53.95	1.07	14.03	14.67	32.13	3.96	9.06	8.45	11.47	15.91	50.63	15.22	33.3	52.45	78.89	35.25	42.11	52.08	30.34	37.05	69.52	109.66	72.01	17.38	84.04	102.25
DAAM2	260.38	36.27	25.91	114.36	26.28	57.08	198.47	10.71	29.27	18.56	110.43	69.52	85.82	88.88	165.57	152.28	162.14	98.04	146.03	122.64	171.45	122.64	131.51	46.84	137.14	53.19	201.25	153.34	223.41	169.07	26.67	111.99	44.57	44.25	87.03	249.73	51.71	48.18	59.13	195.72	107.38	144.01	63.45	59.55	95.34	224.97	7.88	46.18	81.14	17.38	102.97	37.85	341.51	251.48	9.7	127.89	45.85	131.51	111.21	190.34	137.14	90.14	151.22	61.68	44.57	191.67	37.85	15.68	29.06	178.77	82.87	70.51	42.41	38.67	97.36	87.03	32.82	18.7	16.63	156.59	301.33	47.5	90.14	40.07	94.67	40.36	36.53	267.73	152.28	90.14	164.42	151.22	44.57	82.87	80.57	34.26	65.72	323.03	8.58	49.91	121.79	246.28	37.32	71.0	23.76	74.06	37.85	309.83	114.36	248.0	323.03	373.81	186.4	406.31	299.25	221.86	226.54	241.19	514.56	234.57	96.68	521.76	529.06
DPYSL3	1781.89	728.11	356.05	1529.73	368.65	521.76	2032.85	232.94	202.66	285.03	1286.18	796.86	1651.0	1151.06	1508.65	1350.18	2148.82	813.63	854.13	995.0	1529.73	1030.12	808.0	563.18	2520.38	665.29	1870.53	1844.76	2915.45	1350.18	242.88	1111.82	457.25	432.53	1008.9	2417.67	981.29	728.11	921.88	2816.11	1498.22	1208.34	567.1	753.83	909.17	2209.26	379.04	896.64	1059.11	624.99	1208.34	500.46	2682.69	2451.44	208.38	2682.69	358.54	1199.98	941.27	1340.84	1397.83	988.12	1745.2	381.68	825.0	1151.06	336.79	273.37	423.61	1819.35	915.51	830.75	713.11	334.46	775.05	1322.37	612.11	420.68	591.22	2573.36	2758.13	802.41	974.5	547.75	1066.48	660.68	511.0	2335.28	1662.49	1159.07	1096.5	1883.54	1135.2	514.56	679.29	447.82	1037.29	2573.36	182.55	698.41	1313.23	2178.83	551.56	1008.9	309.83	543.96	684.02	1896.65	1135.2	2351.53	2591.27	3515.68	1936.53	3901.01	3060.45	4038.61	2075.59	2163.77	4268.94	2835.7	1551.09	3564.78	4152.18
EDNRA	414.87	113.56	45.85	397.93	74.58	146.03	236.21	41.52	44.89	28.65	297.17	131.51	223.41	327.56	307.69	507.46	429.54	161.02	277.2	147.06	363.56	215.77	147.06	100.13	493.56	100.83	301.33	503.95	395.18	305.55	47.5	246.28	104.42	65.26	164.42	587.13	115.16	108.14	159.9	514.56	332.14	275.28	117.6	124.37	209.84	358.54	13.83	205.5	223.41	47.17	110.43	104.42	476.71	483.38	19.53	708.18	172.65	264.03	246.28	358.54	190.34	223.41	400.71	114.36	224.97	264.03	53.19	27.64	78.34	351.14	67.59	140.04	124.37	53.57	116.78	253.23	85.82	83.45	52.82	656.11	423.61	50.98	187.71	82.87	176.29	55.89	56.68	460.44	301.33	248.0	183.82	283.05	100.13	198.47	137.14	73.03	167.9	423.61	15.8	59.97	237.86	490.14	77.25	209.84	61.68	111.99	140.04	414.87	162.14	395.18	599.49	603.67	312.0	559.28	633.73	579.04	348.71	395.18	684.02	305.55	234.57	466.88	802.41
ELMOD1	4.78	0.44	0.0	2.68	1.48	1.14	8.65	0.0	0.46	0.78	4.46	2.05	2.78	4.17	5.02	3.32	9.41	1.2	3.17	2.43	2.73	0.84	0.82	2.89	2.73	3.06	6.11	4.54	4.98	3.44	0.44	3.89	1.99	3.0	1.57	1.71	4.06	2.68	7.28	8.38	14.45	0.87	1.22	3.76	0.89	10.47	0.42	0.82	4.58	0.44	6.26	0.45	18.7	4.03	0.0	8.32	0.43	0.47	1.22	5.02	7.63	1.99	3.66	0.83	1.2	2.34	0.0	0.0	0.47	3.59	2.71	3.53	2.32	2.27	0.89	9.63	0.84	0.45	0.41	3.99	12.93	0.82	3.41	0.83	1.55	0.45	1.5	12.0	9.85	0.84	11.21	4.86	0.0	1.38	2.78	1.5	3.11	11.04	0.41	1.25	6.62	8.13	0.45	3.76	0.42	0.85	2.07	1.51	2.58	5.96	3.89	13.62	10.88	32.36	12.18	2.16	2.68	6.36	15.56	11.13	6.31	10.31	15.11
ENO2	211.31	91.41	248.0	221.86	69.03	66.65	307.69	84.63	96.01	77.25	212.78	111.99	353.59	307.69	291.04	244.57	215.77	201.25	202.66	256.78	303.44	297.17	157.68	211.31	237.86	71.5	463.65	414.87	511.0	190.34	135.24	185.11	96.68	71.5	148.09	379.04	130.6	123.5	129.69	361.04	148.09	215.77	110.43	123.5	85.22	260.38	102.97	251.48	156.59	107.38	224.97	162.14	426.57	409.15	116.78	379.04	62.56	201.25	361.04	223.41	264.03	123.5	242.88	136.19	123.5	163.28	69.52	62.56	90.14	218.79	122.64	206.94	262.2	108.14	144.01	285.03	108.14	68.07	34.26	212.78	329.84	166.73	193.01	214.27	110.43	63.45	101.54	366.09	199.85	199.85	246.28	314.17	92.7	151.22	150.17	99.43	93.35	486.75	248.0	221.86	303.44	307.69	199.85	145.02	72.01	108.14	199.85	412.0	94.67	316.37	327.56	490.14	353.59	540.19	432.53	476.71	285.03	450.94	647.07	384.34	209.84	684.02	476.71
EYA4	93.35	31.0	2.76	50.27	12.55	9.63	39.22	3.41	7.0	6.11	40.07	16.27	34.51	35.76	50.63	57.89	111.21	28.45	31.45	23.59	39.79	41.22	29.27	8.65	75.11	18.16	54.72	51.71	65.72	46.5	10.79	29.27	17.13	7.75	24.81	89.51	18.7	12.93	27.64	90.14	54.72	21.16	12.83	19.82	36.79	48.18	0.59	22.59	34.75	5.23	19.68	9.34	55.1	74.58	4.24	124.37	9.56	26.67	18.84	53.19	33.78	24.11	44.25	11.91	23.42	35.0	5.59	3.56	5.59	70.51	15.56	23.08	19.39	6.46	19.82	26.67	5.15	11.04	7.63	118.43	74.06	7.88	32.82	6.57	45.21	7.17	8.32	78.34	63.89	41.52	27.44	59.97	10.0	23.25	17.9	3.14	37.05	58.3	2.58	10.96	29.48	76.17	7.22	20.11	10.96	18.29	23.42	70.01	22.59	64.8	86.43	155.5	59.55	74.58	88.88	127.0	61.68	47.84	120.94	70.01	35.25	77.25	132.44
FAM162B	68.55	9.63	28.24	45.53	7.22	14.56	30.78	3.38	18.16	7.82	17.0	23.93	46.84	47.84	43.94	66.65	59.97	26.47	47.5	20.86	70.01	18.03	67.12	20.56	36.27	5.45	52.45	90.77	59.55	76.71	7.75	63.0	10.88	18.84	16.51	55.49	23.42	15.34	20.56	78.89	33.78	36.01	19.97	11.64	14.56	70.51	7.0	49.56	42.71	9.78	45.85	27.05	90.77	74.58	6.67	52.82	24.63	46.5	49.21	38.4	42.41	35.5	98.04	10.96	31.45	50.98	7.22	8.38	15.8	34.75	52.08	37.05	10.31	16.27	46.5	38.67	14.78	8.65	6.06	50.63	144.01	20.71	34.75	17.13	20.56	14.35	17.13	72.52	26.47	37.05	37.59	44.25	19.39	45.85	23.93	18.56	19.11	87.03	7.4	18.29	60.39	70.51	16.63	45.53	5.19	26.1	16.39	108.14	29.91	63.45	100.83	120.1	43.32	183.82	59.55	29.7	73.03	132.44	152.28	87.65	32.13	84.63	156.59
FAT3	50.98	7.82	1.6	15.56	2.23	3.5	49.91	0.59	2.05	0.96	14.35	6.73	27.64	16.88	47.17	18.97	39.22	14.67	11.38	19.82	18.43	16.63	10.47	5.41	35.0	7.34	38.4	30.78	64.8	16.88	1.64	15.34	7.51	2.66	11.91	20.11	11.55	12.18	12.18	66.18	24.63	16.88	5.41	8.25	7.22	36.27	0.33	12.64	16.88	2.25	14.67	5.63	38.12	34.02	0.35	38.12	2.53	10.55	14.14	16.88	26.1	13.62	10.96	2.68	3.38	17.0	0.92	4.39	0.72	36.79	8.06	16.03	9.7	4.28	14.78	18.7	1.38	2.34	1.48	37.59	57.08	3.29	16.75	5.96	10.16	2.63	3.2	47.5	47.17	21.94	13.22	16.63	3.32	5.02	6.62	2.58	9.2	53.95	0.61	5.92	26.86	30.12	4.31	8.58	2.39	6.16	7.82	14.35	11.04	60.39	35.25	40.93	54.72	22.26	57.08	70.01	43.63	32.82	83.45	49.91	15.91	78.34	57.49
FAXDC2	363.56	136.19	73.03	318.57	48.18	63.89	493.56	35.25	45.21	23.42	309.83	126.12	291.04	285.03	255.0	289.02	473.41	260.38	189.02	165.57	251.48	318.57	123.5	88.88	248.0	73.03	329.84	397.93	819.3	438.59	87.65	232.94	111.99	51.35	177.53	543.96	67.59	95.34	113.56	791.35	185.11	318.57	172.65	154.42	162.14	314.17	9.34	186.4	363.56	68.07	185.11	144.01	660.68	665.29	36.53	470.14	81.14	239.52	140.04	392.44	297.17	218.79	208.38	112.77	154.42	293.07	73.54	43.32	130.6	493.56	143.01	189.02	73.03	84.04	176.29	264.03	95.34	54.33	31.45	473.41	620.67	93.35	215.77	86.43	144.01	88.88	84.04	473.41	289.02	215.77	273.37	441.64	111.99	273.37	116.78	75.11	193.01	733.19	49.91	69.52	189.02	583.07	111.21	217.27	62.12	162.14	175.07	460.44	403.5	775.05	866.07	872.1	612.11	854.13	802.41	848.22	412.0	665.29	941.27	426.57	490.14	878.17	1015.93
FERMT2	961.07	518.15	166.73	638.15	329.84	303.44	738.29	134.3	285.03	221.86	543.96	441.64	753.83	507.46	872.1	866.07	928.3	363.56	503.95	426.57	571.05	591.22	591.22	202.66	813.63	239.52	1037.29	967.76	1015.93	624.99	181.28	423.61	348.71	312.0	387.02	775.05	603.67	285.03	571.05	1191.69	928.3	426.57	201.25	397.93	547.75	1073.91	153.34	414.87	389.72	191.67	493.56	303.44	1216.75	769.69	202.66	1143.1	253.23	450.94	511.0	629.35	656.11	343.89	620.67	281.09	447.82	679.29	109.66	224.97	287.01	688.78	320.8	389.72	381.68	175.07	387.02	638.15	178.77	234.57	187.71	1242.34	995.0	283.05	356.05	205.5	480.04	133.36	223.41	954.43	769.69	493.56	473.41	669.92	246.28	327.56	269.6	193.01	406.31	915.51	122.64	299.25	595.34	934.76	197.09	497.0	191.67	262.2	318.57	967.76	521.76	961.07	1066.48	1757.34	1104.13	1794.29	1088.92	1447.15	928.3	842.36	1991.0	1225.22	642.59	1639.59	1709.26
FEZ2	723.08	450.94	514.56	583.07	299.25	457.25	607.87	312.0	332.14	346.29	438.59	420.68	567.1	540.19	507.46	551.56	603.67	417.77	599.49	532.74	587.13	525.39	551.56	260.38	599.49	575.03	656.11	607.87	599.49	480.04	255.0	500.46	420.68	409.15	387.02	587.13	444.72	441.64	473.41	674.59	698.41	543.96	490.14	525.39	507.46	693.58	389.72	457.25	529.06	435.55	470.14	293.07	808.0	543.96	341.51	647.07	483.38	579.04	642.59	529.06	486.75	503.95	769.69	381.68	511.0	543.96	334.46	376.41	432.53	470.14	460.44	341.51	500.46	403.5	438.59	616.37	429.54	346.29	684.02	802.41	723.08	420.68	392.44	339.14	473.41	251.48	389.72	638.15	624.99	363.56	476.71	620.67	447.82	521.76	323.03	363.56	414.87	587.13	438.59	651.58	466.88	703.28	293.07	591.22	312.0	371.22	392.44	723.08	647.07	624.99	651.58	1001.93	591.22	1059.11	599.49	796.86	785.88	703.28	854.13	921.88	616.37	947.83	1037.29
