	TCGA.AN.A0XV.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.B6.A0X4.01A.11R.A109.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.G9.6332.01A.11R.1789.07
DERL3	603.67	279.14	429.54	142.01	275.28	100.83	400.71	14.03	363.56	142.01	246.28	119.26	211.31	39.79	43.63	80.01
DIAPH3	52.82	40.07	52.45	23.59	98.73	18.43	115.16	13.93	90.77	37.05	101.54	17.51	35.25	3.63	3.72	3.0
DLGAP5	161.02	63.0	208.38	87.03	295.11	20.11	239.52	44.57	114.36	81.14	363.56	54.33	7.63	13.93	9.56	1.3
E2F8	26.86	20.86	82.87	11.91	135.24	7.51	100.13	5.87	41.52	16.75	171.45	8.13	2.12	5.15	0.83	0.2
ECT2	486.75	497.0	470.14	454.09	941.27	117.6	808.0	260.38	384.34	384.34	896.64	253.23	190.34	96.01	220.32	110.43
ELOVL1	2701.35	1769.57	2224.63	2133.97	2956.17	1709.26	2855.44	2163.77	2351.53	2502.97	4066.71	1844.76	1225.22	1857.6	1199.98	1991.0
ERCC6L	33.78	21.63	60.82	21.01	65.26	10.63	95.34	11.38	37.05	21.16	99.43	9.41	13.72	3.41	2.16	4.98
ESCO2	34.75	33.54	193.01	40.64	105.89	12.18	187.71	27.05	115.16	65.72	63.89	18.16	12.83	0.09	1.46	0.08
FAM111B	226.54	81.71	258.57	52.82	559.28	33.06	400.71	78.89	102.97	234.57	241.19	63.0	21.94	7.06	9.27	4.13
FAM3C	1175.27	967.76	1437.15	878.17	1286.18	915.51	1233.75	764.36	1369.04	836.53	1059.11	764.36	612.11	514.56	915.51	759.08
FAM83D	178.77	82.29	279.14	100.83	191.67	27.64	218.79	36.27	109.66	77.25	185.11	36.27	4.94	62.12	12.93	28.65
FOXM1	381.68	351.14	567.1	165.57	688.78	164.42	599.49	176.29	379.04	232.94	595.34	127.89	178.77	91.41	33.78	28.65
GAS2L3	87.65	26.86	102.25	58.3	124.37	13.83	131.51	13.62	81.14	48.52	166.73	19.25	19.97	4.58	7.57	2.12
GNAI3	1519.15	674.59	1242.34	902.89	1359.57	708.18	1427.22	954.43	961.07	967.76	1721.16	884.29	629.35	366.09	603.67	599.49
GSG2	25.91	21.78	31.0	9.78	47.5	5.77	33.3	9.7	22.43	23.25	35.76	9.63	19.53	12.18	2.46	1.27
HJURP	129.69	96.68	199.85	73.54	162.14	26.86	220.32	43.94	104.42	73.54	218.79	32.82	25.91	15.91	4.62	8.78
HMGB2	4239.45	2739.08	3874.05	1001.93	4419.52	934.76	3639.7	1208.34	3081.75	1991.0	4210.15	1594.73	3018.3	688.78	808.0	454.09
KIF11	218.79	120.1	205.5	80.57	389.72	29.48	414.87	78.34	190.34	153.34	529.06	82.29	60.39	23.25	24.63	8.38
KIF18A	53.95	23.76	109.66	28.24	96.01	10.31	115.97	15.45	36.79	25.72	103.69	17.38	14.03	3.11	2.61	3.38
KIF20A	239.52	100.83	242.88	154.42	277.2	46.84	285.03	53.95	149.12	114.36	273.37	53.57	11.13	21.32	10.31	6.73
KIF20B	134.3	57.49	121.79	46.5	251.48	12.27	218.79	30.12	109.66	84.04	267.73	62.12	90.77	15.56	23.42	9.78
KIF2C	199.85	161.02	241.19	73.54	361.04	38.12	373.81	68.55	148.09	115.97	642.59	64.8	15.68	33.06	5.73	10.88
KIF4A	145.02	90.14	223.41	96.68	251.48	27.64	221.86	42.71	142.01	106.63	271.48	38.4	14.67	20.71	2.56	3.06
KPNA2	1628.26	1551.09	3665.02	896.64	3515.68	878.17	2240.11	934.76	1721.16	1685.71	1883.54	1044.52	293.07	244.57	152.28	336.79
MCM5	555.41	529.06	529.06	414.87	1242.34	336.79	713.11	361.04	1242.34	587.13	616.37	351.14	559.28	336.79	162.14	180.02
MTFR2	58.71	34.51	63.89	47.17	72.01	17.0	84.63	28.04	37.05	34.75	96.01	22.43	9.56	4.94	5.02	3.47
NBPF6	128.79	2.39	237.86	199.85	239.52	38.12	2.73	74.58	232.94	100.83	202.66	19.68	46.18	0.0	0.31	0.0
NCAPG	135.24	88.88	346.29	41.22	178.77	44.57	289.02	53.19	90.14	94.67	312.0	48.52	11.91	16.75	4.17	6.21
NCAPH	148.09	107.38	218.79	68.07	249.73	59.97	341.51	36.79	151.22	115.16	540.19	44.25	11.73	28.65	8.32	5.59
NEIL3	41.52	28.65	57.49	11.3	57.49	4.06	46.18	8.45	24.28	30.34	34.75	12.27	3.35	1.58	0.0	0.34
NEK2	305.55	253.23	353.59	155.5	417.77	52.45	287.01	76.71	307.69	197.09	403.5	79.45	13.32	14.89	7.34	2.97
NUSAP1	1023.0	575.03	1015.93	273.37	1259.69	204.07	1304.15	241.19	679.29	470.14	854.13	251.48	78.34	63.45	22.1	21.94
ORC1	30.34	24.63	57.89	32.36	82.87	13.93	79.45	12.09	50.98	30.34	123.5	10.88	12.55	7.75	4.58	2.14
PGLYRP2	19.68	5.32	466.88	92.7	3146.52	11.38	540.19	94.67	17.25	253.23	1322.37	3.69	21.32	1.38	0.0	0.26
PRR11	130.6	68.55	255.0	45.53	289.02	31.67	273.37	24.99	144.01	98.73	476.71	43.94	9.78	12.09	7.51	5.59
RACGAP1	555.41	514.56	748.61	603.67	1066.48	202.66	775.05	239.52	620.67	384.34	808.0	241.19	190.34	90.77	47.84	62.12
RGS13	15.34	4.78	25.17	5.11	13.93	0.0	48.52	0.97	2.89	5.96	8.78	0.72	5.23	1.2	3.14	3.06
RP11-404P21.8	30.78	8.19	8.13	8.19	30.12	2.56	9.2	4.39	6.46	6.26	24.46	0.0	6.41	0.0	0.0	0.0
RTKN2	52.08	21.16	77.25	16.27	77.25	9.56	94.01	20.26	43.63	17.64	145.02	6.89	41.52	7.57	23.59	8.13
SKA1	87.65	47.84	152.28	20.56	128.79	16.51	127.89	30.12	70.01	55.89	109.66	29.48	8.0	10.31	1.5	5.23
SPC24	149.12	105.89	144.01	69.03	176.29	41.22	147.06	40.64	85.82	76.17	299.25	43.94	18.16	49.56	11.3	12.55
SPC25	172.65	126.12	299.25	115.97	287.01	44.25	281.09	55.49	122.64	136.19	301.33	55.89	3.0	21.16	1.81	2.32
STIL	85.82	49.91	132.44	65.26	136.19	20.71	142.01	34.26	86.43	60.82	206.94	28.04	41.22	20.11	40.64	14.24
TOP2A	854.13	915.51	1508.65	334.46	2255.7	154.42	1870.53	217.27	961.07	642.59	1551.09	353.59	49.91	101.54	27.84	41.81
TPX2	412.0	271.48	571.05	281.09	563.18	156.59	693.58	125.24	376.41	267.73	1111.82	141.02	30.12	53.19	15.34	13.12
TTC39A	4358.66	1331.57	2271.4	2090.03	7081.29	1794.29	2384.37	2178.83	3081.75	3874.05	4419.52	2004.85	2664.15	507.46	1088.92	563.18
TUBA1B	16611.71	15607.02	26800.01	18052.61	26986.43	11909.94	20881.4	9151.82	17197.56	15392.14	24660.96	9279.58	7589.61	8191.0	4575.41	5751.61
UBE2K	1883.54	1216.75	1936.53	1467.37	1923.14	1059.11	1832.01	1388.16	1529.73	1857.6	2451.44	1225.22	769.69	981.29	1369.04	1044.52
UBXN2A	194.36	194.36	295.11	204.07	323.03	95.34	303.44	130.6	187.71	169.07	384.34	148.09	162.14	82.29	121.79	101.54
WDR44	164.42	159.9	275.28	248.0	242.88	115.16	285.03	101.54	163.28	229.72	318.57	141.02	145.02	38.12	112.77	81.14
XPNPEP2	23.76	7.0	23.76	2.05	4.58	1.03	40.64	0.37	2.25	6.06	41.81	3.53	1.77	0.73	0.0	0.36
ZNF367	92.05	67.12	111.21	50.98	231.32	23.25	59.13	26.67	84.63	64.34	129.69	42.41	9.63	8.19	4.78	4.62
ZNF831	8.06	2.76	50.98	1.62	3.11	0.36	21.94	0.67	1.13	2.48	7.4	0.0	0.09	0.0	0.41	0.4
