	GTEX.YFC4.1426.SM.5IFJG	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49W.01A.11R.A260.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R45C.1226.SM.48FEE	GTEX.131XE.1426.SM.5HL7V	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
FAN1	571.05	115.97	435.55	202.66	178.77	332.14	180.02	271.48	244.57	164.42	339.14	204.07	164.42	297.17	281.09	72.52	94.67	111.21	86.43	142.01	122.64	68.07	82.87	163.28	73.54	87.03	65.26
FBXO44	830.75	438.59	718.08	529.06	441.64	353.59	540.19	511.0	693.58	395.18	819.3	316.37	463.65	848.22	503.95	156.59	178.77	159.9	139.07	161.02	165.57	52.08	90.77	161.02	153.34	102.97	151.22
FOXC2	24.81	0.17	44.89	37.32	15.34	44.89	147.06	21.47	40.36	1.87	6.67	4.46	8.99	29.91	11.21	1.66	5.73	4.06	4.98	2.56	2.89	1.25	1.85	4.94	0.79	0.58	1.46
GALT	1896.65	486.75	1059.11	1259.69	934.76	961.07	954.43	909.17	563.18	607.87	638.15	693.58	769.69	1023.0	791.35	318.57	283.05	303.44	406.31	363.56	412.0	155.5	244.57	441.64	371.22	275.28	178.77
GIT2	698.41	248.0	785.88	387.02	435.55	583.07	314.17	497.0	400.71	429.54	660.68	447.82	384.34	660.68	551.56	161.02	264.03	149.12	190.34	312.0	241.19	148.09	189.02	224.97	194.36	199.85	124.37
GNB3	92.05	3.38	105.15	28.45	48.52	76.17	72.01	14.78	127.0	25.17	244.57	48.18	20.86	108.14	63.89	4.74	5.02	1.51	1.64	18.56	16.75	0.0	2.29	2.43	1.5	2.71	1.27
GSAP	476.71	156.59	454.09	204.07	206.94	336.79	204.07	256.78	198.47	159.9	417.77	157.68	194.36	212.78	237.86	78.34	149.12	65.26	43.94	85.22	111.21	25.72	29.91	88.26	52.08	46.18	24.11
HES7	2.29	5.54	41.52	18.97	9.56	0.0	15.22	18.43	8.99	5.11	39.5	0.0	0.0	12.0	10.16	0.0	0.74	0.0	0.77	0.71	2.48	0.0	0.05	0.0	0.0	0.0	0.34
HMBOX1	830.75	123.5	285.03	279.14	223.41	287.01	212.78	341.51	265.87	244.57	543.96	251.48	244.57	759.08	318.57	152.28	145.02	61.68	106.63	136.19	144.01	26.67	91.41	128.79	117.6	103.69	95.34
HPS3	547.75	92.7	417.77	336.79	204.07	339.14	224.97	320.8	239.52	214.27	607.87	251.48	143.01	373.81	211.31	83.45	139.07	143.01	76.71	178.77	145.02	108.14	64.8	118.43	110.43	94.67	104.42
HSFX1	39.22	21.32	13.32	0.0	35.5	0.0	34.02	26.67	0.0	0.0	105.89	35.76	65.26	62.56	38.12	0.0	12.27	0.0	5.41	10.88	0.0	0.0	0.0	0.0	14.03	0.0	11.3
IL17RB	551.56	50.98	42.11	100.13	37.59	67.12	30.78	24.46	38.95	24.28	52.82	55.1	24.81	96.01	57.08	8.58	13.12	21.47	14.35	19.53	27.25	1.22	1.91	21.47	2.81	9.27	3.79
INTS3	2319.15	483.38	1519.15	1216.75	1096.5	1044.52	981.29	974.5	1233.75	1096.5	1991.0	1225.22	896.64	1519.15	1127.35	435.55	511.0	244.57	409.15	547.75	525.39	267.73	447.82	567.1	329.84	414.87	267.73
INTS8	1286.18	283.05	1397.83	1259.69	642.59	1073.91	473.41	1088.92	1023.0	698.41	1286.18	785.88	638.15	902.89	802.41	323.03	403.5	307.69	303.44	397.93	320.8	283.05	201.25	237.86	173.85	234.57	236.21
IQCC	136.19	44.89	52.08	47.5	42.11	55.1	57.49	59.55	87.03	39.22	104.42	75.64	29.27	65.26	42.41	17.25	33.78	37.32	21.78	37.85	62.56	17.9	14.03	26.28	14.67	16.15	9.56
MAPRE3	866.07	119.26	733.19	441.64	395.18	267.73	293.07	435.55	503.95	293.07	511.0	450.94	285.03	728.11	420.68	273.37	255.0	74.58	361.04	111.99	183.82	54.33	161.02	198.47	147.06	127.89	88.88
MLH3	483.38	109.66	532.74	400.71	244.57	329.84	198.47	379.04	267.73	212.78	406.31	303.44	186.4	312.0	316.37	98.73	114.36	71.0	64.8	141.02	111.21	73.03	49.91	99.43	110.43	101.54	46.5
NAB1	2090.03	1023.0	733.19	723.08	642.59	848.22	536.45	813.63	819.3	616.37	1030.12	738.29	583.07	884.29	723.08	514.56	738.29	620.67	825.0	555.41	514.56	356.05	981.29	679.29	563.18	346.29	591.22
NHS	53.19	26.28	60.39	49.21	46.5	58.71	32.36	62.12	76.71	46.5	57.08	29.06	50.27	51.35	62.12	12.09	35.0	19.53	16.39	52.45	29.7	7.75	24.46	26.1	8.99	10.47	9.78
NOD1	231.32	99.43	559.28	363.56	237.86	392.44	363.56	255.0	123.5	171.45	153.34	195.72	241.19	285.03	161.02	61.68	79.45	31.22	65.26	83.45	71.0	38.67	74.06	79.45	54.72	60.39	47.84
OGG1	718.08	94.01	529.06	297.17	262.2	307.69	429.54	239.52	241.19	214.27	329.84	334.46	334.46	466.88	303.44	146.03	180.02	251.48	120.94	165.57	236.21	136.19	148.09	217.27	120.94	119.26	75.64
OSGEPL1	269.6	85.82	180.02	148.09	81.14	143.01	81.14	119.26	116.78	90.14	246.28	74.58	77.79	170.25	116.78	32.13	55.89	65.72	63.0	64.34	85.82	75.11	46.18	63.89	50.98	52.82	40.93
PAN2	2119.22	343.89	1233.75	854.13	808.0	1359.57	607.87	967.76	688.78	743.43	3124.78	624.99	836.53	2209.26	1304.15	202.66	237.86	126.12	93.35	285.03	297.17	67.59	182.55	226.54	98.73	144.01	64.8
PAXBP1	514.56	149.12	638.15	579.04	376.41	567.1	343.89	529.06	447.82	353.59	583.07	409.15	332.14	713.11	420.68	167.9	220.32	156.59	148.09	183.82	171.45	62.56	103.69	139.07	121.79	108.9	100.13
POLG2	381.68	129.69	450.94	231.32	218.79	314.17	147.06	325.29	312.0	201.25	460.44	264.03	176.29	414.87	368.65	68.07	114.36	85.22	48.87	87.65	84.04	34.51	62.56	87.03	72.01	41.52	40.93
PPP2R3B	279.14	169.07	400.71	242.88	244.57	248.0	318.57	226.54	242.88	224.97	500.46	329.84	194.36	647.07	373.81	167.9	133.36	40.07	178.77	73.03	117.6	103.69	132.44	162.14	154.42	205.5	167.9
PRDM8	70.01	1.38	143.01	100.83	90.77	48.87	63.89	80.57	8.38	24.99	178.77	65.72	45.21	119.26	43.02	1.19	7.22	2.63	2.36	22.75	3.79	15.22	19.97	9.41	2.92	2.97	3.89
PROX1	142.01	5.96	8.58	57.49	23.93	31.22	5.45	12.18	6.52	5.11	59.97	7.46	5.73	81.14	18.97	2.16	7.06	5.06	5.15	10.88	3.56	8.71	30.56	11.64	10.63	6.11	7.22
PYROXD2	1259.69	75.11	141.02	65.26	71.0	123.5	84.04	96.01	177.53	47.84	264.03	40.07	59.97	384.34	172.65	20.11	35.25	12.0	7.51	48.52	78.89	2.58	25.72	51.35	16.15	38.4	6.84
RAD51D	291.04	92.7	190.34	115.97	170.25	138.1	158.79	97.36	102.25	100.83	251.48	130.6	93.35	223.41	90.14	71.0	82.29	89.51	64.8	72.52	142.01	111.99	62.56	95.34	77.25	79.45	29.06
RAD52	460.44	121.79	346.29	167.9	155.5	214.27	105.89	255.0	420.68	262.2	638.15	176.29	169.07	514.56	420.68	39.79	103.69	69.03	34.02	87.03	76.71	36.79	64.8	96.01	29.27	42.71	29.06
RBM12B-AS1	102.25	7.51	111.21	27.05	34.26	62.12	18.16	21.47	38.95	17.13	158.79	31.9	28.04	32.59	50.63	4.66	7.51	2.27	0.0	13.93	5.73	1.11	2.92	8.65	2.76	1.41	0.0
RBM4B	718.08	435.55	708.18	339.14	332.14	366.09	307.69	473.41	559.28	403.5	551.56	447.82	361.04	791.35	679.29	159.9	307.69	248.0	199.85	316.37	293.07	138.1	197.09	246.28	220.32	171.45	146.03
RBM6	2739.08	493.56	1733.13	1977.24	1151.06	2255.7	1467.37	1745.2	1096.5	1242.34	1857.6	1467.37	1175.27	2664.15	2319.15	733.19	579.04	307.69	373.81	698.41	764.36	167.9	476.71	665.29	384.34	426.57	258.57
RP11-1220K2.2	31.22	0.0	1.77	35.0	8.58	33.3	2.81	1.81	4.66	1.5	8.19	16.51	0.47	26.28	20.86	0.0	0.0	0.83	0.0	3.5	1.81	0.07	0.0	5.32	1.28	8.13	0.0
RP11-697E2.6	4.7	1.45	10.63	7.88	4.1	3.92	4.35	4.58	3.79	5.02	8.99	10.08	6.21	3.14	5.77	2.66	1.91	0.95	2.97	2.18	2.48	2.36	0.0	0.68	1.11	1.43	0.16
RP4-583P15.15	138.1	41.22	189.02	141.02	98.73	119.26	118.43	97.36	78.34	75.11	106.63	87.65	67.59	128.79	96.68	19.39	19.68	15.45	11.91	24.28	35.5	2.76	16.39	16.51	7.69	5.73	5.15
RSPH9	39.79	10.24	8.19	14.56	11.55	10.39	11.64	6.62	8.99	14.78	11.47	31.22	7.46	25.35	15.91	6.67	4.94	7.17	5.68	5.36	32.36	7.46	4.28	8.32	13.12	9.63	7.11
SEC61A2	180.02	52.45	253.23	218.79	127.89	309.83	108.14	220.32	189.02	111.99	307.69	115.16	108.9	159.9	145.02	39.5	57.08	34.26	40.93	55.1	35.25	34.26	41.81	48.87	53.57	40.93	36.01
SGK494	209.84	40.36	327.56	172.65	228.13	287.01	181.28	189.02	170.25	181.28	356.05	246.28	159.9	110.43	234.57	25.35	23.93	3.53	7.34	32.59	30.78	1.14	34.51	17.51	6.01	11.73	6.11
SLC25A37	616.37	209.84	551.56	363.56	320.8	368.65	486.75	638.15	332.14	260.38	974.5	579.04	279.14	1127.35	438.59	237.86	163.28	85.22	111.21	173.85	183.82	128.79	82.87	242.88	141.02	182.55	82.87
SLC35E2B	2451.44	309.83	785.88	703.28	521.76	571.05	346.29	473.41	595.34	409.15	647.07	373.81	490.14	1259.69	902.89	152.28	281.09	123.5	147.06	309.83	281.09	133.36	123.5	293.07	104.42	201.25	138.1
SMARCC2	2537.92	450.94	1313.23	872.1	1225.22	1183.45	728.11	1175.27	1037.29	1151.06	1794.29	988.12	1037.29	1030.12	1331.57	432.53	684.02	346.29	389.72	713.11	612.11	283.05	547.75	759.08	503.95	551.56	260.38
SNRNP48	318.57	153.34	139.07	180.02	108.9	202.66	98.73	149.12	198.47	133.36	256.78	132.44	90.77	236.21	167.9	57.08	106.63	95.34	53.19	93.35	72.52	51.71	29.06	64.8	51.35	57.89	55.49
SPIN2B	529.06	79.45	191.67	171.45	138.1	206.94	145.02	156.59	140.04	144.01	149.12	144.01	176.29	343.89	189.02	94.67	124.37	102.25	75.11	95.34	120.1	119.26	57.49	71.0	53.95	79.45	48.87
STARD3	4869.99	647.07	1477.58	1135.2	1572.76	1250.98	1447.15	1286.18	1135.2	1167.14	1340.84	1457.23	1088.92	3146.52	1551.09	748.61	780.44	718.08	748.61	830.75	1104.13	343.89	748.61	656.11	780.44	571.05	420.68
STAT6	4736.79	1745.2	3768.09	3540.14	4836.35	4836.35	3768.09	3901.01	2796.65	3491.39	5147.73	4010.71	4038.61	6607.01	5076.84	2224.63	1936.53	1457.23	2209.26	2148.82	2287.2	1540.37	2627.46	2664.15	2240.11	2224.63	1844.76
STK36	1662.49	135.24	860.08	759.08	525.39	825.0	547.75	587.13	490.14	669.92	995.0	587.13	579.04	934.76	1023.0	125.24	123.5	77.25	38.67	142.01	143.01	39.79	66.65	165.57	74.06	94.01	60.82
SUPT20H	1397.83	403.5	872.1	1037.29	651.58	974.5	684.02	995.0	629.35	753.83	1044.52	612.11	665.29	785.88	753.83	376.41	395.18	384.34	376.41	432.53	441.64	217.27	336.79	366.09	228.13	262.2	221.86
TIGD1	149.12	30.56	95.34	190.34	60.39	93.35	61.68	88.88	70.01	77.79	130.6	98.04	38.95	162.14	86.43	33.54	31.67	37.32	27.44	44.25	43.94	18.29	14.89	23.59	18.29	12.09	11.38
TIGD7	575.03	16.15	199.85	191.67	39.22	80.01	80.57	70.01	92.05	72.01	136.19	75.64	57.89	143.01	133.36	44.57	49.56	21.16	17.51	41.22	42.41	21.78	19.97	38.12	14.78	18.97	8.58
TP53BP1	1183.45	255.0	551.56	305.55	309.83	447.82	279.14	432.53	567.1	301.33	525.39	376.41	249.73	497.0	444.72	183.82	244.57	111.99	173.85	242.88	214.27	131.51	159.9	224.97	163.28	169.07	111.21
TRANK1	476.71	21.32	1127.35	153.34	320.8	373.81	246.28	204.07	118.43	277.2	209.84	353.59	164.42	265.87	218.79	33.78	103.69	27.05	27.64	164.42	84.04	43.32	71.5	135.24	62.12	55.1	15.45
TRIM52	620.67	102.97	373.81	208.38	146.03	267.73	145.02	157.68	161.02	152.28	212.78	119.26	119.26	358.54	273.37	40.36	61.25	33.06	43.02	78.34	68.07	18.03	33.78	57.49	33.3	35.5	23.42
TTC14	1407.55	102.25	878.17	327.56	363.56	579.04	493.56	603.67	361.04	316.37	769.69	409.15	314.17	842.36	575.03	120.94	161.02	169.07	141.02	226.54	148.09	50.27	149.12	141.02	72.01	69.03	45.53
UQCC1	1073.91	384.34	551.56	785.88	647.07	698.41	748.61	490.14	409.15	490.14	665.29	529.06	547.75	934.76	567.1	406.31	420.68	476.71	373.81	371.22	490.14	444.72	500.46	490.14	450.94	387.02	287.01
VIPAS39	532.74	220.32	363.56	346.29	387.02	356.05	409.15	417.77	309.83	414.87	379.04	460.44	417.77	397.93	376.41	169.07	285.03	420.68	212.78	343.89	346.29	392.44	351.14	339.14	305.55	256.78	291.04
VPS16	1199.98	327.56	764.36	842.36	743.43	693.58	785.88	718.08	583.07	642.59	693.58	698.41	684.02	1183.45	591.22	547.75	476.71	426.57	406.31	480.04	688.78	334.46	511.0	555.41	339.14	400.71	417.77
WDR83	591.22	78.34	346.29	231.32	264.03	277.2	291.04	249.73	229.72	229.72	249.73	305.55	255.0	420.68	356.05	148.09	189.02	153.34	162.14	167.9	197.09	107.38	98.73	264.03	154.42	163.28	108.14
WDR92	229.72	127.89	265.87	152.28	151.22	176.29	114.36	154.42	170.25	118.43	208.38	110.43	100.13	143.01	122.64	84.63	122.64	90.77	107.38	107.38	132.44	126.12	121.79	129.69	109.66	100.83	66.18
YJEFN3	316.37	33.06	444.72	98.73	115.97	156.59	159.9	115.97	116.78	161.02	595.34	215.77	81.14	281.09	223.41	21.94	21.32	33.3	24.63	19.82	23.93	3.26	20.71	23.25	5.28	7.57	11.91
ZBTB26	211.31	35.5	127.89	118.43	65.26	124.37	59.55	105.15	77.79	67.12	133.36	71.5	52.45	143.01	111.99	24.46	41.52	29.7	13.83	48.18	37.85	19.82	20.56	41.22	21.94	21.63	17.64
ZNF182	199.85	20.86	118.43	97.36	50.98	103.69	54.33	69.52	75.64	45.85	104.42	42.41	45.21	125.24	72.01	15.0	36.27	20.56	15.34	36.53	40.93	14.89	16.03	31.9	16.88	22.59	17.0
ZNF211	854.13	59.97	165.57	314.17	164.42	258.57	148.09	171.45	138.1	144.01	127.0	153.34	217.27	307.69	389.72	60.82	133.36	69.52	47.84	113.56	93.35	43.02	27.25	69.52	60.82	57.08	56.28
ZNF341	107.38	94.67	115.16	110.43	92.05	101.54	127.89	89.51	100.83	106.63	91.41	136.19	113.56	175.07	110.43	32.59	41.52	34.75	38.95	53.95	80.01	51.35	48.52	70.51	50.27	61.68	43.94
ZNF417	406.31	33.54	115.97	89.51	126.12	176.29	75.11	68.07	123.5	76.71	109.66	81.14	82.29	91.41	199.85	31.9	57.89	20.56	14.89	48.87	48.87	13.32	21.63	38.67	27.84	26.67	13.03
ZNF444	718.08	438.59	363.56	633.73	409.15	559.28	497.0	299.25	497.0	389.72	307.69	463.65	429.54	884.29	486.75	198.47	202.66	115.97	211.31	197.09	209.84	94.67	96.01	329.84	137.14	199.85	182.55
ZNF514	293.07	144.01	825.0	624.99	258.57	346.29	312.0	256.78	201.25	197.09	500.46	218.79	218.79	389.72	303.44	95.34	111.99	88.88	55.89	127.89	112.77	55.1	93.35	220.32	104.42	66.65	57.08
ZNF594	209.84	16.27	139.07	72.01	34.26	94.67	47.17	34.51	80.57	41.52	120.94	39.5	35.25	83.45	61.68	10.63	18.56	5.11	3.5	22.92	31.22	7.11	4.7	29.06	6.41	13.22	1.35
ZNF780B	559.28	24.99	107.38	123.5	85.82	249.73	52.08	81.14	125.24	84.63	205.5	55.89	78.89	102.97	128.79	44.25	80.01	90.77	27.84	95.34	102.25	51.71	28.24	36.79	45.53	33.3	23.59
ZSCAN9	813.63	91.41	175.07	162.14	146.03	172.65	189.02	173.85	176.29	132.44	195.72	132.44	119.26	339.14	202.66	59.55	106.63	70.01	84.04	115.16	107.38	46.5	36.53	118.43	59.13	71.5	37.59
