	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.1269C.0626.SM.5FQSS	GTEX.1212Z.0226.SM.59HLF	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A22L.01A.11R.A180.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
CCND3	1037.29	587.13	476.71	279.14	409.15	339.14	529.06	358.54	384.34	406.31	307.69	0.0	0.97	2148.82	2104.58	2061.24	2816.11	2047.0	1199.98	2075.59	1697.45	1359.57	3928.15	967.76	890.44	2032.85	2032.85	1781.89	1350.18	1870.53	1388.16	1233.75	1651.0	1073.91	1498.22	1950.0	1757.34	1030.12	1883.54	1225.22	1781.89	1950.0	1304.15	2119.22	2018.8	1216.75	2061.24	1628.26	1781.89	2061.24	1794.29	1639.59	2573.36	1259.69
CSNK1D	2018.8	1388.16	1216.75	1369.04	1529.73	743.43	1617.0	1073.91	819.3	941.27	866.07	0.0	1.04	3081.75	3257.52	3018.3	4239.45	2720.15	2119.22	3257.52	3018.3	1819.35	3280.18	2271.4	1806.78	2520.38	3235.01	3060.45	2400.97	3039.3	1806.78	2319.15	2335.28	2351.53	2520.38	1963.57	3124.78	2240.11	3018.3	2468.49	2796.65	2645.74	3280.18	3168.41	3589.58	2720.15	3443.31	3395.89	2701.35	2720.15	3372.43	2224.63	2701.35	2163.77
DDB1	1963.57	1572.76	1733.13	1561.89	1832.01	1697.45	1806.78	1709.26	1870.53	1369.04	1037.29	0.0	0.91	3874.05	3325.99	4010.71	3395.89	3515.68	2664.15	3212.66	3103.19	2400.97	3614.55	2417.67	2255.7	3190.46	3303.0	3614.55	3303.0	3372.43	2434.5	2935.74	2303.12	2351.53	2835.7	3060.45	3146.52	2682.69	2645.74	2451.44	3349.13	2976.74	3081.75	3280.18	3303.0	2855.44	3614.55	3124.78	2682.69	3235.01	3060.45	2645.74	3124.78	2835.7
DISP2	4.74	23.76	27.84	8.65	3.76	8.0	8.92	10.79	13.62	13.32	2.86	0.0	0.0	323.03	264.03	109.66	511.0	181.28	27.44	507.46	376.41	158.79	110.43	26.86	27.44	307.69	536.45	299.25	186.4	167.9	37.05	87.03	61.68	38.67	167.9	102.25	301.33	60.39	356.05	102.25	279.14	141.02	124.37	220.32	318.57	96.68	358.54	529.06	209.84	376.41	450.94	71.5	212.78	70.01
DNAJC5	223.41	301.33	232.94	211.31	201.25	161.02	283.05	229.72	260.38	199.85	193.01	0.0	0.79	1008.9	995.0	1001.93	1008.9	836.53	909.17	961.07	1008.9	909.17	1135.2	872.1	703.28	928.3	974.5	1073.91	884.29	1001.93	759.08	738.29	785.88	854.13	878.17	928.3	1159.07	902.89	934.76	708.18	1135.2	961.07	941.27	1081.39	1008.9	791.35	884.29	1059.11	981.29	1096.5	1143.1	708.18	1151.06	813.63
DTNA	181.28	39.5	42.71	21.78	19.53	61.68	231.32	62.56	46.84	40.07	81.71	0.0	0.74	1059.11	693.58	1277.29	2148.82	1127.35	373.81	1721.16	830.75	356.05	1030.12	532.74	258.57	587.13	723.08	521.76	748.61	612.11	325.29	206.94	361.04	346.29	204.07	470.14	796.86	444.72	791.35	420.68	1051.79	934.76	599.49	836.53	1322.37	432.53	808.0	890.44	1159.07	1639.59	866.07	389.72	713.11	511.0
ETV5	120.94	161.02	136.19	81.14	92.05	87.03	90.77	120.1	108.9	58.3	45.53	0.0	0.2	1277.29	1073.91	1051.79	872.1	1127.35	158.79	775.05	438.59	234.57	454.09	102.25	108.9	285.03	346.29	575.03	371.22	387.02	129.69	102.25	170.25	166.73	248.0	234.57	420.68	175.07	397.93	165.57	540.19	629.35	674.59	476.71	316.37	162.14	669.92	591.22	529.06	371.22	708.18	191.67	285.03	126.12
EVI5L	68.07	63.89	61.25	39.5	32.36	49.21	55.1	44.25	55.1	85.22	62.12	0.0	0.58	343.89	325.29	297.17	351.14	327.56	199.85	301.33	262.2	223.41	190.34	228.13	253.23	283.05	297.17	289.02	285.03	255.0	224.97	198.47	221.86	220.32	217.27	237.86	236.21	224.97	260.38	262.2	262.2	260.38	283.05	251.48	229.72	231.32	208.38	285.03	271.48	258.57	260.38	176.29	244.57	236.21
FAM222B	127.89	102.25	111.21	121.79	108.9	126.12	169.07	194.36	141.02	106.63	153.34	0.0	0.58	343.89	329.84	356.05	381.68	361.04	301.33	303.44	201.25	283.05	223.41	197.09	258.57	264.03	299.25	229.72	312.0	205.5	214.27	253.23	163.28	209.84	395.18	223.41	258.57	249.73	316.37	177.53	258.57	269.6	279.14	293.07	262.2	209.84	316.37	400.71	249.73	325.29	242.88	212.78	314.17	249.73
FOXK2	260.38	361.04	281.09	371.22	307.69	133.36	253.23	258.57	285.03	239.52	201.25	0.0	0.83	480.04	454.09	432.53	656.11	503.95	392.44	536.45	406.31	444.72	698.41	450.94	406.31	483.38	559.28	412.0	441.64	432.53	403.5	346.29	373.81	473.41	559.28	463.65	473.41	384.34	395.18	395.18	417.77	384.34	363.56	540.19	435.55	540.19	551.56	450.94	438.59	444.72	518.15	426.57	497.0	480.04
GABBR2	3.53	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.71	2.63	0.0	0.09	283.05	76.17	220.32	872.1	258.57	57.08	138.1	217.27	42.11	68.07	33.06	27.05	141.02	110.43	26.47	283.05	77.79	46.84	88.26	23.25	102.97	116.78	72.01	138.1	55.49	45.85	22.26	136.19	46.5	90.77	74.06	161.02	23.76	71.5	155.5	75.11	131.51	94.67	13.62	106.63	63.89
HIP1	123.5	90.14	78.89	81.14	70.51	90.14	88.88	116.78	120.94	119.26	66.18	0.0	0.66	595.34	417.77	591.22	1143.1	629.35	285.03	454.09	318.57	249.73	110.43	182.55	273.37	244.57	303.44	191.67	500.46	231.32	264.03	220.32	183.82	314.17	309.83	218.79	279.14	186.4	368.65	199.85	264.03	256.78	287.01	348.71	275.28	208.38	283.05	309.83	191.67	187.71	255.0	204.07	262.2	209.84
KCNJ11	20.11	4.78	8.51	13.93	11.13	10.0	6.52	15.0	12.55	12.45	6.73	0.0	0.03	332.14	384.34	275.28	356.05	251.48	46.84	215.77	305.55	21.94	234.57	56.68	46.5	262.2	172.65	136.19	109.66	119.26	56.28	49.91	92.7	63.89	102.25	107.38	145.02	46.5	198.47	29.06	120.1	144.01	194.36	358.54	244.57	21.63	191.67	269.6	201.25	303.44	98.04	84.04	397.93	72.01
KIF13B	78.89	105.89	98.73	102.97	80.57	110.43	126.12	102.97	124.37	63.89	63.45	0.0	0.53	346.29	316.37	332.14	376.41	332.14	283.05	265.87	325.29	279.14	473.41	234.57	197.09	395.18	429.54	246.28	299.25	256.78	277.2	236.21	228.13	295.11	332.14	265.87	287.01	205.5	199.85	218.79	343.89	163.28	255.0	299.25	423.61	224.97	314.17	368.65	246.28	293.07	307.69	232.94	348.71	211.31
LMO3	10.24	0.99	6.01	0.0	0.96	7.51	3.72	3.26	3.41	12.36	5.92	0.0	0.43	7749.1	3614.55	4450.27	4575.41	4972.34	1008.9	1088.92	1697.45	1561.89	1540.37	366.09	830.75	1950.0	1397.83	1167.14	1135.2	934.76	1088.92	1594.73	1104.13	909.17	967.76	1870.53	1467.37	1111.82	738.29	638.15	1605.83	1733.13	1313.23	1857.6	3614.55	599.49	3060.45	3372.43	1662.49	1259.69	1208.34	480.04	1417.35	848.22
LPHN1	19.11	32.59	9.34	3.17	7.34	8.45	7.75	27.25	15.56	12.64	58.3	0.0	0.72	607.87	532.74	674.59	660.68	723.08	555.41	414.87	642.59	358.54	738.29	532.74	463.65	583.07	915.51	551.56	521.76	507.46	514.56	511.0	444.72	429.54	612.11	395.18	503.95	312.0	423.61	435.55	551.56	262.2	511.0	567.1	387.02	423.61	447.82	665.29	438.59	373.81	607.87	361.04	480.04	633.73
MFSD6	115.16	40.93	41.22	27.05	35.25	33.06	77.79	34.26	57.49	81.14	90.14	0.0	0.27	1407.55	1167.14	896.64	1397.83	1023.0	1059.11	934.76	1088.92	921.88	819.3	713.11	825.0	915.51	769.69	679.29	728.11	775.05	703.28	599.49	591.22	733.19	728.11	791.35	669.92	660.68	819.3	629.35	693.58	708.18	780.44	954.43	1001.93	684.02	941.27	825.0	759.08	1233.75	723.08	587.13	836.53	703.28
MOAP1	323.03	341.51	271.48	327.56	323.03	301.33	318.57	348.71	303.44	256.78	346.29	0.0	0.41	1059.11	836.53	860.08	769.69	896.64	1104.13	954.43	660.68	848.22	830.75	693.58	603.67	708.18	764.36	575.03	633.73	825.0	684.02	559.28	878.17	728.11	819.3	915.51	748.61	493.56	470.14	679.29	854.13	684.02	633.73	988.12	947.83	830.75	902.89	748.61	656.11	830.75	813.63	708.18	915.51	638.15
MXRA7	1199.98	583.07	392.44	189.02	470.14	285.03	303.44	368.65	454.09	571.05	305.55	0.0	0.78	10808.41	8479.89	9673.69	15392.14	10014.87	13872.08	14361.31	9876.98	14765.09	13033.07	9606.86	5555.65	5517.27	10959.3	9344.14	12764.83	5954.47	10296.45	5183.54	10585.95	13681.08	8134.41	12415.75	7695.57	4152.18	6607.01	5954.47	7589.61	13399.51	9673.69	8191.0	12589.08	5366.37	11992.79	14361.31	9876.98	7230.1	6471.02	6294.04	9025.81	5672.41
NACC2	74.58	98.04	69.52	82.29	61.68	80.57	71.5	89.51	105.89	87.65	68.07	0.0	0.56	215.77	149.12	195.72	215.77	209.84	124.37	164.42	162.14	115.97	163.28	115.16	93.35	171.45	212.78	162.14	173.85	173.85	110.43	100.83	108.14	104.42	177.53	127.89	178.77	127.89	163.28	100.13	166.73	171.45	154.42	180.02	190.34	116.78	220.32	171.45	128.79	149.12	177.53	119.26	167.9	130.6
NBR1	583.07	836.53	769.69	802.41	684.02	1001.93	941.27	1208.34	1167.14	1030.12	1088.92	0.0	0.56	2004.85	1487.87	1498.22	2319.15	1605.83	1685.71	1757.34	1529.73	1551.09	1277.29	1277.29	1088.92	1437.15	1709.26	1313.23	1350.18	1662.49	1167.14	1175.27	1015.93	1259.69	1617.0	1417.35	1508.65	1250.98	1191.69	1225.22	1674.06	1059.11	1437.15	1594.73	1757.34	1340.84	1896.65	1769.57	1277.29	1781.89	1467.37	1286.18	1388.16	1111.82
NKX2-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	1.31	0.0	0.0	0.62	5329.3	6745.86	6471.02	7280.4	8598.28	2835.7	5076.84	6121.9	3515.68	5112.16	2609.3	2796.65	7130.55	5831.91	3820.7	3820.7	5219.6	2367.9	3190.46	4038.61	2720.15	3325.99	3168.41	5751.61	4450.27	5791.62	3146.52	5366.37	4450.27	4543.8	5403.7	6294.04	4123.49	3515.68	6294.04	5517.27	5633.22	5183.54	3794.3	4010.71	4010.71
NPNT	258.57	51.71	63.89	11.38	25.35	75.64	102.25	75.64	46.5	49.56	575.03	878.17	629.35	10733.74	11992.79	9025.81	11909.94	10512.82	5076.84	10368.08	9740.98	8191.0	7589.61	3467.27	4769.75	9876.98	9673.69	6164.49	10368.08	10154.69	6983.79	5041.77	6079.61	4388.98	5112.16	8078.22	9740.98	4802.93	10512.82	4388.98	12502.12	14065.74	7749.1	8901.53	12160.22	4010.71	12329.98	12589.08	13776.25	16157.44	11035.54	6471.02	12676.65	6294.04
PAK6	2.41	10.0	3.08	3.53	3.2	3.2	3.56	1.81	5.23	0.0	17.51	145.02	170.25	371.22	543.96	373.81	325.29	441.64	353.59	239.52	351.14	211.31	255.0	234.57	242.88	426.57	480.04	371.22	463.65	248.0	285.03	277.2	176.29	234.57	305.55	323.03	241.19	389.72	269.6	221.86	320.8	316.37	312.0	426.57	289.02	262.2	267.73	361.04	220.32	444.72	363.56	249.73	361.04	312.0
PCSK2	4.39	4.5	4.24	0.65	0.58	1.91	0.0	0.72	1.45	8.0	0.6	0.0	0.0	15715.58	22850.48	39510.91	42346.82	39237.98	10.31	3257.52	400.71	327.56	476.71	16.51	6.62	5594.3	5255.91	1096.5	1015.93	215.77	20.86	5.73	275.28	80.57	40.64	287.01	2104.58	55.49	236.21	7.88	775.05	624.99	543.96	8778.97	3742.05	17.0	4481.23	4802.93	2555.58	1286.18	688.78	71.0	244.57	63.89
PLCE1	22.59	8.06	8.13	7.57	8.25	11.21	13.22	17.77	13.72	18.03	3.5	70.51	33.3	713.11	267.73	483.38	728.11	575.03	105.89	161.02	124.37	98.04	1540.37	144.01	82.29	260.38	229.72	68.55	136.19	166.73	136.19	63.89	64.34	128.79	55.89	156.59	148.09	122.64	74.06	74.58	137.14	92.7	143.01	301.33	281.09	88.88	177.53	395.18	123.5	97.36	109.66	102.25	98.04	92.05
PPP5C	825.0	813.63	616.37	713.11	769.69	698.41	728.11	651.58	587.13	525.39	974.5	0.0	0.77	1437.15	1769.57	1709.26	1806.78	1467.37	860.08	1199.98	1242.34	698.41	1119.56	974.5	947.83	1167.14	1175.27	1304.15	1001.93	1304.15	947.83	1081.39	872.1	866.07	866.07	1008.9	1208.34	954.43	1143.1	928.3	1073.91	961.07	1111.82	1225.22	1175.27	1044.52	1081.39	1135.2	872.1	1331.57	961.07	1008.9	1096.5	1023.0
RHOBTB2	36.53	40.64	24.99	29.06	13.72	30.34	18.29	19.53	41.22	62.12	4.62	0.0	0.3	941.27	1639.59	1081.39	1572.76	1167.14	384.34	836.53	1073.91	384.34	1417.35	463.65	351.14	988.12	813.63	896.64	791.35	723.08	607.87	406.31	547.75	353.59	571.05	791.35	551.56	476.71	1135.2	529.06	633.73	463.65	728.11	651.58	1286.18	713.11	1088.92	819.3	656.11	1059.11	624.99	579.04	967.76	429.54
RND2	39.22	231.32	100.83	98.73	47.5	220.32	43.63	102.25	32.82	139.07	256.78	0.0	0.38	1757.34	1242.34	1427.22	2417.67	1286.18	336.79	1721.16	540.19	954.43	536.45	348.71	341.51	1073.91	514.56	915.51	743.43	1183.45	387.02	429.54	830.75	511.0	384.34	575.03	1477.58	265.87	260.38	291.04	1225.22	808.0	132.44	896.64	656.11	438.59	669.92	1159.07	1304.15	1605.83	660.68	293.07	1119.56	529.06
RNF135	163.28	221.86	146.03	31.22	138.1	130.6	57.08	91.41	108.9	56.68	156.59	0.0	0.36	603.67	521.76	551.56	642.59	555.41	406.31	389.72	389.72	346.29	473.41	325.29	356.05	595.34	532.74	389.72	490.14	521.76	389.72	346.29	327.56	346.29	536.45	363.56	403.5	356.05	457.25	334.46	490.14	529.06	371.22	500.46	579.04	277.2	389.72	497.0	518.15	454.09	363.56	353.59	417.77	457.25
RNF146	353.59	316.37	309.83	314.17	381.68	361.04	346.29	567.1	412.0	420.68	381.68	0.0	0.67	1277.29	1733.13	1709.26	1674.06	1896.65	928.3	1030.12	1151.06	848.22	2682.69	624.99	1127.35	1183.45	1617.0	884.29	934.76	1175.27	1037.29	981.29	1111.82	848.22	836.53	890.44	961.07	728.11	629.35	1008.9	1417.35	848.22	934.76	1066.48	1467.37	934.76	1104.13	1733.13	660.68	1561.89	947.83	981.29	759.08	1127.35
RUNDC1	70.01	77.25	52.82	55.89	60.82	64.34	67.59	85.82	67.59	127.0	71.5	147.06	186.4	305.55	325.29	289.02	497.0	275.28	320.8	353.59	297.17	241.19	265.87	201.25	217.27	299.25	318.57	312.0	289.02	314.17	248.0	234.57	161.02	212.78	395.18	236.21	314.17	253.23	264.03	199.85	303.44	314.17	318.57	273.37	281.09	309.83	323.03	318.57	291.04	305.55	327.56	244.57	248.0	220.32
SGSH	423.61	299.25	376.41	211.31	228.13	262.2	454.09	343.89	241.19	389.72	381.68	0.0	0.99	988.12	1051.79	1191.69	1832.01	1225.22	647.07	1119.56	1023.0	559.28	1023.0	825.0	884.29	830.75	1159.07	890.44	954.43	1066.48	981.29	967.76	947.83	1088.92	595.34	928.3	954.43	854.13	934.76	947.83	1059.11	753.83	1286.18	1119.56	1088.92	830.75	866.07	961.07	890.44	1066.48	1135.2	988.12	679.29	890.44
SLC39A10	52.08	21.63	29.27	13.03	21.78	26.47	31.9	34.02	53.19	17.0	14.03	186.4	267.73	2075.59	1540.37	1322.37	1896.65	1250.98	486.75	1023.0	1030.12	928.3	1066.48	651.58	536.45	1572.76	660.68	660.68	583.07	954.43	414.87	934.76	351.14	423.61	579.04	429.54	426.57	1015.93	884.29	466.88	854.13	796.86	785.88	587.13	656.11	507.46	753.83	1832.01	698.41	1950.0	638.15	599.49	420.68	587.13
SLMO1	25.91	2.56	4.46	3.86	12.0	1.57	5.5	8.19	12.45	9.63	3.35	0.0	0.65	253.23	220.32	275.28	444.72	299.25	90.14	115.16	85.22	65.26	236.21	44.89	153.34	45.53	42.41	18.16	109.66	73.54	111.21	106.63	52.45	69.03	23.93	50.98	50.98	57.49	117.6	66.65	105.15	49.21	44.57	57.89	71.0	53.57	43.32	112.77	35.25	217.27	31.67	40.64	45.53	143.01
SNX25	87.65	81.14	77.79	111.99	105.89	106.63	102.97	121.79	120.1	96.01	107.38	0.0	0.0	848.22	660.68	703.28	1508.65	769.69	503.95	334.46	389.72	409.15	371.22	248.0	334.46	351.14	656.11	185.11	195.72	341.51	432.53	171.45	387.02	356.05	226.54	297.17	384.34	191.67	273.37	218.79	301.33	265.87	384.34	320.8	384.34	182.55	473.41	633.73	348.71	363.56	387.02	285.03	629.35	197.09
ST3GAL1	486.75	1044.52	941.27	954.43	583.07	808.0	743.43	872.1	1322.37	426.57	483.38	142.01	791.35	3901.01	3081.75	2335.28	2451.44	2976.74	1617.0	4639.29	3419.52	2303.12	3039.3	1295.13	1111.82	2682.69	3690.52	2645.74	1745.2	1870.53	1781.89	1259.69	1909.85	1340.84	1896.65	2875.3	3212.66	884.29	2434.5	1001.93	2351.53	2537.92	3060.45	1781.89	2451.44	909.17	3443.31	3060.45	2502.97	4268.94	2758.13	1594.73	3665.02	1844.76
ST3GAL5	169.07	334.46	303.44	220.32	197.09	236.21	258.57	295.11	185.11	543.96	237.86	0.0	0.62	2976.74	4298.64	3257.52	3820.7	4736.79	764.36	2451.44	1806.78	995.0	2777.33	866.07	1340.84	3168.41	1487.87	1167.14	1617.0	1242.34	808.0	1208.34	1313.23	1199.98	1896.65	808.0	2119.22	921.88	1051.79	1359.57	2287.2	2335.28	1030.12	2047.0	1870.53	1250.98	1519.15	3614.55	2502.97	1651.0	1199.98	1369.04	1697.45	1277.29
