	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07
C14orf93	88.26	136.19	106.63	0.0	0.02	236.21	107.38	103.69	148.09	173.85	111.21	151.22	177.53	117.6	244.57	111.99	136.19	146.03	110.43	136.19	71.5	173.85	189.02	212.78	138.1	144.01	177.53	193.01	191.67	237.86	151.22	126.12	223.41	193.01	131.51	141.02	253.23	234.57	224.97	198.47	156.59
C20orf196	148.09	82.87	116.78	0.0	0.16	279.14	307.69	117.6	212.78	271.48	242.88	241.19	201.25	246.28	269.6	201.25	260.38	236.21	165.57	320.8	199.85	246.28	289.02	173.85	226.54	361.04	212.78	155.5	361.04	220.32	154.42	414.87	244.57	231.32	161.02	275.28	271.48	327.56	239.52	251.48	320.8
C21orf119	102.25	96.68	127.89	0.0	0.26	447.82	463.65	191.67	258.57	518.15	193.01	223.41	218.79	334.46	511.0	91.41	264.03	353.59	320.8	334.46	182.55	329.84	343.89	170.25	373.81	341.51	303.44	466.88	438.59	470.14	165.57	438.59	536.45	423.61	409.15	332.14	316.37	297.17	293.07	500.46	463.65
C5orf55	29.91	28.65	36.01	0.0	0.13	295.11	142.01	96.68	71.5	176.29	84.63	135.24	115.97	152.28	182.55	64.34	107.38	94.67	187.71	143.01	96.01	163.28	226.54	78.34	143.01	180.02	154.42	181.28	175.07	178.77	72.52	171.45	161.02	165.57	166.73	159.9	154.42	108.14	123.5	143.01	100.13
C7orf26	514.56	218.79	234.57	0.0	0.54	780.44	624.99	511.0	511.0	743.43	551.56	620.67	521.76	698.41	698.41	603.67	713.11	571.05	748.61	500.46	503.95	616.37	624.99	743.43	780.44	791.35	660.68	473.41	624.99	713.11	525.39	660.68	896.64	728.11	616.37	579.04	808.0	679.29	612.11	743.43	698.41
CA11	92.7	376.41	273.37	0.0	0.31	262.2	248.0	198.47	182.55	267.73	122.64	387.02	182.55	208.38	1073.91	70.51	166.73	193.01	116.78	273.37	124.37	361.04	571.05	277.2	279.14	289.02	444.72	224.97	490.14	591.22	87.03	204.07	547.75	518.15	309.83	301.33	460.44	414.87	361.04	525.39	438.59
CAMK2B	332.14	11.13	2.56	0.0	0.45	287.01	142.01	72.52	59.13	267.73	58.71	172.65	237.86	42.11	275.28	109.66	248.0	244.57	105.15	131.51	21.47	83.45	204.07	199.85	104.42	194.36	110.43	116.78	285.03	267.73	54.72	215.77	293.07	353.59	145.02	211.31	178.77	366.09	105.15	295.11	353.59
CBR1	119.26	1447.15	1639.59	0.0	0.87	2627.46	2537.92	1183.45	1697.45	2075.59	1427.22	2855.44	2047.0	1437.15	2335.28	547.75	1697.45	1628.26	1628.26	1844.76	2319.15	2664.15	2682.69	1819.35	1963.57	2018.8	2148.82	2193.99	2032.85	2319.15	775.05	1674.06	2075.59	2018.8	1551.09	2224.63	1709.26	2502.97	2997.45	2319.15	2367.9
CHADL	14.78	14.45	26.47	0.0	0.0	309.83	193.01	156.59	109.66	348.71	105.89	223.41	273.37	303.44	269.6	77.25	159.9	157.68	145.02	171.45	131.51	229.72	297.17	140.04	206.94	412.0	327.56	226.54	256.78	211.31	68.55	363.56	336.79	258.57	217.27	211.31	339.14	241.19	215.77	277.2	295.11
CHMP1A	444.72	651.58	1001.93	0.0	0.89	2193.99	1781.89	896.64	1096.5	1709.26	738.29	2271.4	1216.75	1477.58	2119.22	738.29	1685.71	995.0	2047.0	1529.73	1037.29	1769.57	2520.38	1225.22	1233.75	2133.97	2061.24	1073.91	1757.34	2303.12	769.69	1950.0	2400.97	2090.03	1151.06	1883.54	2090.03	2075.59	2224.63	1883.54	2287.2
CLDND2	2.46	8.85	8.71	0.0	0.44	32.82	82.29	40.36	31.0	72.01	33.54	46.84	136.19	34.26	127.89	11.55	39.5	30.78	12.64	48.52	3.53	107.38	111.99	39.5	159.9	155.5	39.22	77.79	122.64	55.49	24.81	80.01	96.01	108.14	61.68	45.21	182.55	90.77	77.25	71.0	50.63
COA3	2224.63	1991.0	1870.53	0.0	0.22	5219.6	4038.61	1295.13	2255.7	5076.84	2609.3	3874.05	3467.27	3039.3	5441.3	1909.85	3742.05	2555.58	3395.89	3257.52	2976.74	3742.05	4937.99	3325.99	3614.55	4639.29	3768.09	2434.5	4419.52	4066.71	2303.12	3395.89	4836.35	4704.07	3515.68	3820.7	4038.61	4038.61	4239.45	5112.16	6079.61
COG4	351.14	403.5	575.03	0.0	0.0	1066.48	688.78	738.29	612.11	842.36	738.29	591.22	642.59	417.77	693.58	708.18	559.28	559.28	684.02	607.87	466.88	819.3	753.83	540.19	540.19	981.29	860.08	463.65	915.51	1066.48	450.94	693.58	1119.56	1127.35	551.56	813.63	830.75	830.75	769.69	921.88	813.63
CTD-2616J11.11	0.0	5.87	0.0	0.0	0.0	61.25	33.3	8.38	4.35	36.27	14.14	34.75	37.32	18.16	48.18	2.43	15.34	17.77	8.71	14.45	4.28	65.72	53.57	36.01	46.84	66.65	11.04	15.22	39.22	19.53	10.0	48.52	40.64	48.18	33.3	4.35	43.94	17.64	34.51	32.13	20.11
CTU2	74.06	46.5	125.24	0.0	0.42	435.55	271.48	127.0	169.07	316.37	110.43	293.07	215.77	194.36	248.0	133.36	373.81	170.25	339.14	187.71	180.02	211.31	336.79	191.67	241.19	392.44	239.52	201.25	201.25	346.29	166.73	348.71	379.04	327.56	236.21	323.03	260.38	251.48	262.2	336.79	264.03
CXorf67	0.0	0.39	0.0	0.0	0.18	0.0	0.75	0.0	0.0	0.75	1.28	1.28	1.25	0.0	1.87	1.25	0.75	0.75	0.0	0.0	0.0	0.75	2.34	0.77	0.0	2.2	3.26	0.75	1.28	0.77	0.77	0.75	5.54	4.7	0.0	0.78	3.38	2.27	2.16	3.82	1.19
CYB5R1	1001.93	2664.15	1407.55	0.0	0.84	1407.55	1674.06	1277.29	1208.34	1583.71	1594.73	1437.15	1059.11	1295.13	1819.35	884.29	1277.29	860.08	1350.18	1369.04	1322.37	1487.87	1674.06	1304.15	1477.58	1427.22	1143.1	1561.89	1757.34	1583.71	1191.69	1331.57	1322.37	1757.34	1216.75	1359.57	1340.84	1605.83	1721.16	1697.45	1977.24
DEF8	204.07	183.82	480.04	0.0	1.01	728.11	769.69	571.05	547.75	796.86	389.72	934.76	674.59	567.1	723.08	368.65	703.28	450.94	1030.12	599.49	348.71	896.64	988.12	698.41	540.19	995.0	753.83	466.88	647.07	915.51	633.73	947.83	819.3	1001.93	595.34	780.44	902.89	718.08	981.29	967.76	848.22
DGCR6	34.51	10.31	121.79	0.0	0.36	241.19	371.22	150.17	157.68	435.55	353.59	303.44	116.78	187.71	301.33	24.11	307.69	148.09	242.88	214.27	211.31	189.02	376.41	42.41	199.85	376.41	241.19	38.12	444.72	297.17	93.35	231.32	540.19	426.57	316.37	395.18	312.0	688.78	947.83	587.13	500.46
DGCR6L	239.52	297.17	567.1	0.0	0.51	2701.35	1819.35	1250.98	872.1	2555.58	1088.92	1936.53	1617.0	1950.0	2835.7	587.13	2193.99	1304.15	1844.76	1487.87	1183.45	1870.53	2609.3	1870.53	2075.59	2645.74	2018.8	1605.83	2018.8	2351.53	1143.1	1950.0	3124.78	2664.15	2148.82	2018.8	2645.74	2303.12	2434.5	2758.13	2956.17
DHODH	72.52	96.01	122.64	0.0	0.27	299.25	208.38	191.67	144.01	265.87	135.24	211.31	205.5	146.03	140.04	226.54	204.07	156.59	199.85	173.85	131.51	162.14	217.27	154.42	111.99	251.48	262.2	144.01	177.53	201.25	135.24	256.78	226.54	202.66	138.1	206.94	220.32	239.52	214.27	242.88	175.07
DHX38	154.42	166.73	327.56	0.0	1.03	759.08	651.58	536.45	423.61	616.37	346.29	684.02	543.96	414.87	738.29	612.11	620.67	497.0	693.58	466.88	320.8	769.69	748.61	575.03	490.14	902.89	802.41	438.59	713.11	708.18	480.04	647.07	791.35	759.08	529.06	514.56	974.5	802.41	764.36	708.18	629.35
DNAJB12	387.02	267.73	426.57	493.56	171.45	1037.29	825.0	842.36	647.07	902.89	688.78	860.08	896.64	842.36	941.27	738.29	764.36	759.08	769.69	642.59	547.75	1001.93	947.83	872.1	860.08	928.3	808.0	934.76	884.29	896.64	825.0	819.3	848.22	921.88	981.29	743.43	854.13	915.51	884.29	808.0	928.3
DRG2	312.0	239.52	414.87	0.0	0.57	1191.69	961.07	660.68	866.07	1096.5	633.73	1059.11	1044.52	967.76	1119.56	848.22	1059.11	848.22	915.51	728.11	813.63	1051.79	1427.22	941.27	902.89	1467.37	1081.39	921.88	1088.92	1191.69	813.63	967.76	1233.75	1359.57	1030.12	967.76	1151.06	1127.35	1183.45	1216.75	1191.69
EDC4	759.08	796.86	309.83	563.18	208.38	1175.27	665.29	669.92	567.1	902.89	575.03	909.17	665.29	507.46	830.75	1044.52	819.3	532.74	1143.1	579.04	444.72	1059.11	848.22	785.88	603.67	1359.57	1030.12	642.59	836.53	1059.11	1015.93	941.27	1561.89	1208.34	728.11	836.53	1427.22	854.13	1015.93	854.13	647.07
ENKD1	40.64	29.27	157.68	0.0	0.65	642.59	336.79	258.57	206.94	473.41	169.07	532.74	327.56	334.46	551.56	234.57	332.14	265.87	334.46	191.67	140.04	406.31	559.28	373.81	409.15	802.41	567.1	500.46	438.59	497.0	325.29	525.39	791.35	624.99	493.56	381.68	780.44	466.88	551.56	551.56	406.31
FAM110A	563.18	267.73	125.24	0.0	0.52	555.41	507.46	201.25	363.56	507.46	153.34	540.19	540.19	595.34	638.15	426.57	444.72	361.04	285.03	232.94	343.89	679.29	808.0	500.46	571.05	947.83	444.72	343.89	665.29	764.36	376.41	616.37	967.76	698.41	866.07	579.04	743.43	660.68	543.96	629.35	612.11
FAM27A	21.63	22.26	33.54	0.0	0.22	62.12	120.1	43.94	8.99	80.57	108.14	148.09	0.0	61.25	81.71	25.54	21.01	105.15	88.88	0.0	10.0	198.47	115.16	76.71	8.71	121.79	273.37	84.63	194.36	93.35	50.63	14.78	157.68	258.57	70.01	73.54	151.22	99.43	86.43	185.11	60.82
FAM27D1	0.99	0.0	0.37	0.0	0.1	0.0	0.49	0.52	0.0	2.01	0.52	1.31	0.0	0.51	1.81	0.0	0.0	0.49	0.85	0.0	0.0	1.66	2.16	1.3	0.0	0.88	0.89	1.27	0.92	0.89	0.89	1.25	0.93	4.35	1.25	0.52	2.56	2.14	0.88	1.31	0.87
FAM3A	301.33	351.14	339.14	0.0	0.77	1870.53	1159.07	791.35	759.08	1437.15	647.07	1709.26	1277.29	1183.45	1617.0	693.58	1175.27	1088.92	1183.45	708.18	947.83	1313.23	1819.35	1427.22	1208.34	1529.73	1857.6	1127.35	1457.23	1617.0	703.28	1407.55	2193.99	1662.49	2178.83	1359.57	1991.0	1487.87	2018.8	1508.65	1487.87
FEV	0.0	0.0	2.48	0.0	0.0	1051.79	447.82	150.17	120.1	934.76	384.34	329.84	511.0	51.71	303.44	244.57	536.45	301.33	426.57	368.65	10.08	836.53	842.36	193.01	1066.48	1268.46	536.45	244.57	785.88	1088.92	195.72	866.07	808.0	684.02	44.25	642.59	674.59	285.03	318.57	379.04	301.33
FLJ00104	25.72	9.06	13.72	0.0	0.62	13.42	16.88	16.03	23.93	25.54	10.63	24.28	22.1	15.68	13.52	17.64	37.32	23.42	33.3	13.22	6.73	42.11	33.3	22.1	16.63	28.86	26.86	11.47	18.56	38.95	16.03	23.93	27.44	35.25	20.86	17.0	53.57	26.47	33.78	23.59	18.03
FUK	100.13	94.01	186.4	0.0	0.64	414.87	368.65	236.21	215.77	334.46	246.28	285.03	301.33	166.73	336.79	373.81	307.69	220.32	305.55	223.41	132.44	420.68	334.46	228.13	165.57	409.15	353.59	267.73	301.33	379.04	212.78	379.04	417.77	444.72	260.38	389.72	457.25	373.81	429.54	289.02	307.69
GAS8	84.04	246.28	246.28	0.0	0.54	409.15	289.02	248.0	234.57	307.69	234.57	414.87	283.05	281.09	285.03	236.21	325.29	297.17	368.65	172.65	231.32	441.64	435.55	329.84	273.37	497.0	334.46	251.48	366.09	457.25	212.78	412.0	463.65	480.04	323.03	312.0	547.75	379.04	376.41	312.0	314.17
GBA	748.61	1936.53	1081.39	0.0	0.3	1487.87	1369.04	854.13	909.17	1685.71	1037.29	1259.69	961.07	1081.39	1781.89	642.59	1044.52	902.89	928.3	1143.1	1447.15	1331.57	1519.15	988.12	1127.35	1242.34	1111.82	1088.92	1447.15	1397.83	1001.93	1151.06	1896.65	1369.04	1151.06	1088.92	1427.22	1191.69	1051.79	1508.65	1378.57
GCAT	76.71	96.68	115.97	0.0	0.21	2193.99	1259.69	708.18	708.18	1561.89	743.43	1709.26	1417.35	1175.27	1857.6	329.84	1977.24	748.61	1313.23	1417.35	638.15	1437.15	2018.8	1508.65	665.29	2178.83	1617.0	1151.06	1794.29	2047.0	620.67	1519.15	2090.03	1896.65	1340.84	1437.15	2061.24	1583.71	1883.54	1551.09	1295.13
GHDC	172.65	155.5	493.56	480.04	1639.59	1023.0	1015.93	587.13	813.63	1088.92	660.68	1159.07	1233.75	1008.9	1331.57	144.01	1388.16	848.22	674.59	854.13	629.35	1183.45	1417.35	1066.48	1519.15	1407.55	1259.69	1143.1	1268.46	1508.65	1037.29	1030.12	1225.22	1651.0	961.07	1268.46	1216.75	1427.22	1183.45	1199.98	1096.5
GNB2	3325.99	4358.66	3540.14	0.0	1.28	13586.57	10154.69	8421.31	7589.61	11827.67	7230.1	11035.54	11035.54	10368.08	11584.24	8479.89	14561.8	7280.4	11584.24	8421.31	7966.99	10808.41	13399.51	11992.79	11345.82	14163.58	9740.98	8305.36	12076.21	14361.31	8078.22	11664.82	13492.72	13399.51	12415.75	14663.09	12589.08	10440.2	10585.95	8963.45	8901.53
IKBKG	175.07	154.42	220.32	0.0	1.01	536.45	540.19	327.56	327.56	503.95	323.03	532.74	466.88	476.71	503.95	358.54	366.09	463.65	486.75	334.46	473.41	642.59	525.39	323.03	579.04	684.02	518.15	426.57	460.44	511.0	343.89	457.25	703.28	567.1	620.67	363.56	656.11	432.53	525.39	532.74	417.77
JMJD7	59.13	107.38	177.53	0.0	0.41	486.75	633.73	307.69	400.71	718.08	327.56	473.41	426.57	392.44	587.13	265.87	373.81	356.05	441.64	281.09	301.33	624.99	769.69	480.04	525.39	860.08	532.74	371.22	567.1	457.25	435.55	698.41	753.83	511.0	414.87	536.45	441.64	547.75	633.73	674.59	591.22
JOSD2	171.45	281.09	251.48	0.0	0.52	525.39	567.1	307.69	358.54	718.08	237.86	547.75	684.02	651.58	791.35	392.44	454.09	457.25	575.03	303.44	450.94	713.11	1127.35	400.71	638.15	1001.93	620.67	825.0	563.18	764.36	368.65	470.14	902.89	713.11	521.76	273.37	866.07	728.11	718.08	902.89	669.92
KLHDC4	130.6	172.65	182.55	0.0	0.75	607.87	351.14	215.77	212.78	389.72	195.72	450.94	373.81	246.28	363.56	228.13	339.14	295.11	447.82	384.34	248.0	400.71	480.04	417.77	361.04	688.78	351.14	334.46	406.31	575.03	244.57	500.46	753.83	579.04	426.57	420.68	607.87	406.31	438.59	403.5	417.77
KLK3	0.31	0.0	0.0	0.0	0.0	1345768.59	1005860.33	311742.51	350728.68	1212874.47	459592.86	887875.81	1116072.03	875652.15	1055868.42	691801.16	1187913.85	706337.4	1093103.58	1327240.99	573724.06	925580.18	822695.06	1238359.56	1327240.99	731246.37	1196176.45	800198.39	839981.65	869603.57	805764.22	1238359.56	672883.8	736332.6	1345768.59	1472666.19	585779.24	691801.16	1019901.63	925580.18	1063212.58
LDHD	6.84	98.04	57.08	0.0	0.32	638.15	237.86	44.89	111.21	226.54	112.77	595.34	108.9	201.25	511.0	21.63	301.33	153.34	275.28	346.29	307.69	624.99	291.04	309.83	134.3	395.18	457.25	139.07	273.37	995.0	198.47	248.0	988.12	748.61	151.22	1127.35	599.49	511.0	624.99	258.57	463.65
LRP3	638.15	102.97	177.53	0.0	0.83	1529.73	1104.13	1127.35	872.1	1883.54	915.51	1127.35	1397.83	1096.5	1388.16	708.18	1388.16	698.41	1350.18	909.17	483.38	1369.04	1909.85	1378.57	1369.04	2047.0	1030.12	941.27	1250.98	1721.16	813.63	1216.75	1467.37	1378.57	1467.37	1407.55	1583.71	1216.75	1322.37	1427.22	1242.34
LRRC29	13.12	43.63	39.22	0.0	0.3	269.6	145.02	68.55	77.25	193.01	60.82	156.59	111.21	71.0	223.41	55.49	109.66	80.57	113.56	95.34	57.49	234.57	206.94	120.1	175.07	172.65	161.02	111.21	156.59	145.02	88.26	153.34	248.0	205.5	178.77	148.09	226.54	202.66	226.54	217.27	157.68
MCEE	599.49	503.95	368.65	0.0	0.35	954.43	860.08	651.58	764.36	808.0	703.28	884.29	836.53	642.59	733.19	679.29	753.83	860.08	854.13	1008.9	470.14	974.5	738.29	607.87	759.08	813.63	878.17	708.18	1081.39	624.99	633.73	934.76	629.35	961.07	780.44	860.08	764.36	785.88	995.0	796.86	718.08
MRPL34	896.64	1073.91	679.29	0.0	0.4	2148.82	2367.9	1378.57	1111.82	1963.57	1104.13	1651.0	1923.14	1685.71	2090.03	860.08	1870.53	1191.69	1757.34	1794.29	1225.22	1977.24	2835.7	1369.04	2701.35	2555.58	2240.11	2032.85	2104.58	1794.29	1159.07	1651.0	1662.49	2701.35	2090.03	1322.37	2075.59	2335.28	2061.24	2555.58	2682.69
MTHFSD	186.4	226.54	140.04	0.0	0.05	283.05	205.5	161.02	242.88	239.52	172.65	251.48	187.71	199.85	299.25	190.34	253.23	271.48	271.48	226.54	183.82	336.79	303.44	195.72	204.07	363.56	202.66	212.78	279.14	323.03	178.77	327.56	368.65	389.72	309.83	244.57	397.93	295.11	366.09	277.2	231.32
MVB12A	466.88	432.53	698.41	0.0	0.67	1191.69	688.78	629.35	571.05	1277.29	547.75	988.12	490.14	802.41	1216.75	713.11	813.63	947.83	656.11	642.59	260.38	540.19	1167.14	1023.0	543.96	1359.57	1127.35	796.86	836.53	1051.79	693.58	808.0	1135.2	1066.48	802.41	785.88	872.1	961.07	995.0	1208.34	1104.13
NAGK	1340.84	1883.54	1313.23	0.0	0.35	2163.77	1950.0	1477.58	1175.27	2104.58	1447.15	1923.14	1617.0	1605.83	2178.83	1073.91	1397.83	1832.01	1781.89	1457.23	2104.58	2178.83	1662.49	1857.6	1605.83	2090.03	1487.87	1709.26	1674.06	1447.15	1407.55	2018.8	2271.4	2255.7	2061.24	1963.57	2061.24	1605.83	2485.67	2018.8	2119.22
NICN1	186.4	134.3	195.72	0.0	0.52	332.14	265.87	186.4	237.86	403.5	208.38	363.56	346.29	262.2	457.25	183.82	334.46	356.05	351.14	283.05	249.73	457.25	366.09	343.89	395.18	327.56	325.29	303.44	346.29	371.22	246.28	376.41	351.14	511.0	314.17	346.29	483.38	432.53	450.94	400.71	327.56
NOSIP	624.99	368.65	688.78	0.0	0.8	2271.4	1331.57	921.88	915.51	1605.83	733.19	1605.83	1259.69	1304.15	1561.89	842.36	1487.87	1081.39	1457.23	1119.56	995.0	1417.35	1870.53	1498.22	1388.16	2255.7	1457.23	1388.16	1407.55	1819.35	1135.2	1447.15	1819.35	1819.35	1551.09	1242.34	1950.0	1561.89	1594.73	1733.13	1733.13
