	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.145LS.1226.SM.5Q5D9	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
HNRNPC	5995.9	5913.33	6037.61	4869.99	4268.94	4972.34	4450.27	1407.55	6840.04	8078.22	17197.56	7230.1	6887.62	7331.05	8022.41	6561.36	6887.62	6607.01	7642.41	10014.87	9344.14	6121.9	10154.69	6471.02	10585.95
HRH1	2.89	2.97	6.26	10.31	3.32	1.23	2.14	0.01	420.68	55.89	182.55	92.7	141.02	65.72	83.45	63.89	82.29	120.94	91.41	295.11	143.01	48.18	120.1	246.28	389.72
IFNGR2	555.41	406.31	447.82	819.3	289.02	273.37	371.22	0.77	2032.85	1322.37	2555.58	1806.78	1639.59	2319.15	1832.01	1674.06	1594.73	1781.89	1407.55	2816.11	2351.53	1437.15	2935.74	1183.45	2209.26
IL3RA	18.16	10.08	11.73	7.82	10.88	30.56	10.96	0.2	403.5	275.28	698.41	341.51	264.03	223.41	343.89	169.07	224.97	287.01	173.85	532.74	287.01	119.26	218.79	674.59	1051.79
JHDM1D	83.45	53.19	65.26	69.03	65.26	96.01	50.98	0.49	186.4	76.17	269.6	145.02	120.1	166.73	239.52	140.04	193.01	151.22	256.78	265.87	183.82	158.79	336.79	131.51	162.14
KCTD20	221.86	366.09	368.65	368.65	348.71	291.04	309.83	0.45	780.44	642.59	1870.53	551.56	559.28	540.19	638.15	336.79	688.78	457.25	423.61	1044.52	921.88	518.15	1225.22	551.56	921.88
LIMK2	120.1	88.26	106.63	187.71	56.68	69.52	59.55	0.6	1135.2	441.64	1950.0	483.38	525.39	688.78	547.75	612.11	708.18	473.41	507.46	1572.76	435.55	503.95	1662.49	1111.82	961.07
MCMBP	253.23	316.37	336.79	381.68	309.83	215.77	218.79	0.59	1457.23	785.88	1167.14	1088.92	854.13	819.3	1104.13	921.88	1059.11	842.36	928.3	1540.37	1529.73	638.15	872.1	988.12	2209.26
OTUD4	148.09	182.55	161.02	91.41	129.69	232.94	166.73	0.33	571.05	234.57	669.92	395.18	269.6	239.52	406.31	366.09	316.37	301.33	339.14	909.17	599.49	303.44	775.05	423.61	733.19
PCBP1	5219.6	5995.9	5831.91	5594.3	5441.3	4038.61	4210.15	1.07	9025.81	6887.62	15180.22	4543.8	6935.54	5831.91	9808.75	7695.57	8022.41	7280.4	6607.01	9808.75	8598.28	6079.61	10014.87	6426.31	12943.04
PGS1	140.04	95.34	111.21	167.9	107.38	147.06	108.9	0.83	1127.35	802.41	1617.0	819.3	620.67	842.36	759.08	830.75	669.92	802.41	529.06	1477.58	1015.93	738.29	1259.69	1199.98	1167.14
PIK3C2B	63.89	58.3	55.49	80.01	87.65	55.89	29.48	103.69	307.69	159.9	830.75	135.24	291.04	167.9	165.57	215.77	170.25	132.44	162.14	547.75	178.77	181.28	438.59	454.09	403.5
RAB31	35.5	53.57	64.34	137.14	54.72	16.75	107.38	1331.57	3303.0	2090.03	2240.11	1059.11	753.83	2664.15	1963.57	1073.91	2047.0	1331.57	780.44	6250.56	3467.27	1963.57	4972.34	1001.93	3349.13
RAP1B	967.76	1295.13	1259.69	1369.04	1059.11	1059.11	878.17	1015.93	3325.99	2193.99	5954.47	2835.7	3124.78	2555.58	4388.98	2520.38	3614.55	2758.13	2148.82	5517.27	6250.56	2682.69	8718.32	2701.35	4607.24
RNF10	2609.3	1769.57	1551.09	1561.89	2004.85	2075.59	2032.85	0.97	2895.31	2240.11	4210.15	2119.22	2384.37	1923.14	2720.15	2591.27	3395.89	2209.26	2627.46	3564.78	3794.3	2193.99	6561.36	2032.85	3690.52
SDCBP	1051.79	1199.98	1561.89	1540.37	947.83	679.29	921.88	5219.6	6561.36	5041.77	8840.04	5751.61	5751.61	6792.79	6250.56	4181.07	7032.37	4152.18	4512.4	9540.5	10959.3	5954.47	10585.95	6337.83	9945.68
SFTPA2	4.74	5.02	1.13	0.0	2.81	0.0	0.0	123.5	6014443.23	4495342.72	3995652.37	3995652.37	3806410.22	4851500.88	5163792.94	2654482.97	2786455.11	5163792.94	3968052.37	2825352.59	2904784.09	2672946.37	2053992.24	3406832.48	4051429.61
SH3RF1	67.59	78.34	70.51	85.22	119.26	226.54	97.36	0.27	947.83	291.04	483.38	356.05	334.46	269.6	389.72	351.14	241.19	336.79	368.65	995.0	665.29	351.14	860.08	540.19	902.89
SIPA1L2	55.89	49.56	81.14	9.78	30.56	64.8	53.19	0.68	260.38	111.99	503.95	100.13	153.34	224.97	325.29	128.79	167.9	162.14	55.49	896.64	356.05	150.17	316.37	295.11	567.1
SMNDC1	178.77	205.5	158.79	156.59	187.71	142.01	110.43	0.61	571.05	363.56	698.41	444.72	314.17	438.59	587.13	463.65	507.46	387.02	403.5	733.19	579.04	358.54	884.29	507.46	547.75
SRPK1	127.0	144.01	166.73	152.28	140.04	136.19	133.36	99.43	293.07	176.29	507.46	214.27	170.25	231.32	287.01	234.57	242.88	167.9	180.02	450.94	397.93	223.41	607.87	234.57	293.07
SVIL	74.58	143.01	75.64	139.07	148.09	98.73	136.19	0.64	981.29	728.11	688.78	878.17	291.04	718.08	603.67	536.45	208.38	591.22	571.05	1477.58	444.72	297.17	698.41	1572.76	1216.75
TGFA	47.5	57.08	60.39	17.77	36.01	28.45	26.47	0.4	262.2	78.89	713.11	131.51	98.04	181.28	318.57	176.29	133.36	136.19	91.41	1498.22	206.94	85.82	575.03	242.88	397.93
TNFRSF10A	38.95	30.12	57.08	73.03	38.67	30.56	39.5	0.46	327.56	127.0	441.64	102.25	127.89	211.31	157.68	190.34	145.02	80.57	151.22	400.71	105.15	74.58	423.61	202.66	283.05
USP32	229.72	287.01	329.84	241.19	316.37	432.53	285.03	0.55	947.83	547.75	825.0	559.28	346.29	656.11	679.29	518.15	543.96	460.44	521.76	674.59	525.39	483.38	591.22	521.76	915.51
USP38	141.02	141.02	161.02	109.66	142.01	133.36	138.1	0.3	571.05	197.09	242.88	217.27	190.34	237.86	395.18	289.02	277.2	289.02	255.0	743.43	507.46	287.01	507.46	323.03	547.75
ZFAND3	603.67	819.3	785.88	934.76	540.19	607.87	571.05	138.1	1519.15	1561.89	3124.78	1059.11	967.76	1277.29	1498.22	1378.57	1313.23	961.07	995.0	2468.49	1508.65	1051.79	2319.15	1313.23	1923.14
