	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.Y8.A8S1.01A.11R.A37K.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.QV31.0726.SM.3GAEG	GTEX.OIZI.0726.SM.2XCEI	GTEX.11I78.0526.SM.5986A	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YF7O.0726.SM.4W213	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
KLHL12	265.87	438.59	521.76	603.67	616.37	417.77	429.54	426.57	406.31	483.38	473.41	444.72	525.39	438.59
KLHL9	117.6	106.63	490.14	529.06	587.13	356.05	368.65	255.0	466.88	334.46	457.25	312.0	454.09	397.93
KRBOX4	113.56	53.57	371.22	336.79	400.71	229.72	246.28	163.28	251.48	271.48	323.03	208.38	346.29	303.44
KRCC1	312.0	94.01	1199.98	1096.5	1397.83	819.3	785.88	796.86	819.3	780.44	1001.93	878.17	1191.69	954.43
LAMTOR3	511.0	848.22	1304.15	1350.18	2133.97	981.29	1001.93	878.17	1037.29	1096.5	1277.29	1066.48	1594.73	1359.57
LINC00998	351.14	860.08	1540.37	1508.65	1991.0	1199.98	808.0	1127.35	1191.69	1051.79	1519.15	1447.15	1628.26	1674.06
LPAR6	409.15	90.77	426.57	476.71	551.56	400.71	351.14	191.67	358.54	234.57	426.57	454.09	384.34	409.15
LRRC70	49.21	18.03	141.02	244.57	309.83	198.47	110.43	33.3	137.14	86.43	124.37	61.68	96.68	155.5
LYRM7	34.51	14.56	228.13	191.67	435.55	78.34	128.79	108.9	95.34	101.54	132.44	142.01	146.03	246.28
LYSMD3	34.02	52.08	403.5	444.72	514.56	295.11	242.88	220.32	381.68	277.2	387.02	283.05	341.51	318.57
MBIP	237.86	143.01	2502.97	2303.12	3928.15	1477.58	1233.75	1331.57	1721.16	1883.54	1794.29	1508.65	2816.11	2400.97
MRPL44	389.72	921.88	514.56	624.99	595.34	429.54	432.53	438.59	490.14	389.72	547.75	454.09	518.15	438.59
MTERF	74.06	53.19	234.57	299.25	299.25	158.79	155.5	97.36	229.72	141.02	180.02	198.47	199.85	183.82
MTIF3	808.0	543.96	1781.89	1936.53	2335.28	1447.15	1088.92	941.27	1096.5	1268.46	1477.58	1388.16	1605.83	1794.29
MZT1	77.25	63.0	269.6	242.88	281.09	150.17	98.04	155.5	164.42	162.14	242.88	167.9	229.72	217.27
NFE2L2	1427.22	660.68	3589.58	3639.7	4038.61	2255.7	2271.4	1950.0	2609.3	2451.44	2609.3	1923.14	2816.11	2573.36
NXT2	76.71	49.21	226.54	218.79	198.47	150.17	134.3	140.04	165.57	147.06	180.02	134.3	209.84	169.07
OSGEPL1	61.68	40.36	209.84	166.73	218.79	120.1	138.1	123.5	117.6	161.02	153.34	164.42	154.42	153.34
PAAF1	397.93	476.71	587.13	532.74	775.05	291.04	497.0	387.02	470.14	503.95	540.19	486.75	607.87	412.0
PCNXL4	164.42	204.07	476.71	599.49	591.22	363.56	392.44	293.07	417.77	441.64	486.75	368.65	514.56	460.44
PGBD3	40.36	14.78	88.26	92.05	121.79	41.22	48.18	41.22	54.33	49.21	62.12	71.5	75.11	76.17
PHF6	53.57	25.91	301.33	299.25	341.51	220.32	198.47	220.32	244.57	211.31	212.78	244.57	265.87	283.05
PLEKHA1	229.72	209.84	642.59	660.68	616.37	514.56	389.72	414.87	368.65	473.41	476.71	432.53	647.07	536.45
POLA1	75.64	22.92	117.6	118.43	108.14	88.26	88.88	60.39	67.12	90.14	68.07	65.26	83.45	71.0
PPP1CC	1111.82	733.19	1909.85	1697.45	1936.53	1322.37	1313.23	1216.75	1183.45	1313.23	1467.37	1286.18	1551.09	1583.71
PRMT10	54.72	47.5	444.72	507.46	571.05	269.6	318.57	224.97	389.72	275.28	356.05	291.04	397.93	389.72
PWWP2A	92.05	24.99	229.72	327.56	215.77	237.86	143.01	127.89	223.41	186.4	217.27	135.24	244.57	220.32
RAB11FIP2	31.67	26.1	483.38	486.75	417.77	182.55	183.82	189.02	220.32	221.86	264.03	220.32	299.25	291.04
RAB14	728.11	748.61	1407.55	1437.15	1628.26	1066.48	1015.93	866.07	967.76	934.76	1199.98	954.43	1167.14	1233.75
RAB6A	728.11	571.05	1832.01	2061.24	2047.0	1561.89	1417.35	1369.04	1447.15	1508.65	1662.49	1457.23	1769.57	1781.89
RAD17	187.71	125.24	486.75	563.18	567.1	409.15	403.5	371.22	397.93	429.54	480.04	395.18	500.46	441.64
RAD51C	429.54	264.03	400.71	379.04	547.75	262.2	346.29	255.0	332.14	320.8	400.71	414.87	529.06	327.56
RBM48	107.38	46.5	389.72	318.57	403.5	237.86	289.02	167.9	295.11	239.52	320.8	220.32	363.56	248.0
SASS6	18.84	2.58	64.34	49.21	53.19	34.02	31.0	25.35	28.45	31.9	38.67	37.05	44.57	43.32
SEPT7	1143.1	511.0	2351.53	2502.97	2682.69	1857.6	1781.89	1685.71	1757.34	1794.29	1832.01	1605.83	1936.53	1950.0
SFR1	85.22	46.18	206.94	212.78	381.68	129.69	164.42	156.59	154.42	158.79	206.94	197.09	239.52	164.42
SLC10A7	30.34	56.28	197.09	220.32	231.32	140.04	105.15	125.24	139.07	152.28	170.25	183.82	119.26	183.82
SLC25A12	258.57	289.02	651.58	642.59	785.88	361.04	543.96	493.56	409.15	500.46	529.06	587.13	532.74	454.09
SLC35A5	155.5	260.38	1242.34	1225.22	1369.04	890.44	656.11	693.58	954.43	878.17	928.3	698.41	1081.39	890.44
SLC46A3	124.37	1088.92	384.34	309.83	532.74	144.01	211.31	129.69	169.07	246.28	397.93	384.34	224.97	361.04
SNAPC3	139.07	147.06	392.44	412.0	447.82	269.6	262.2	251.48	275.28	256.78	316.37	279.14	384.34	351.14
SRPK1	167.9	119.26	303.44	283.05	265.87	242.88	218.79	180.02	175.07	189.02	190.34	221.86	199.85	253.23
SRPK2	248.0	145.02	432.53	460.44	620.67	297.17	289.02	301.33	348.71	366.09	316.37	346.29	395.18	312.0
ST7L	325.29	170.25	460.44	497.0	547.75	264.03	289.02	264.03	341.51	253.23	351.14	435.55	500.46	361.04
STYX	84.63	33.06	197.09	158.79	208.38	121.79	102.25	92.7	108.14	102.97	149.12	121.79	144.01	197.09
SUDS3	260.38	126.12	603.67	612.11	638.15	450.94	414.87	490.14	432.53	470.14	490.14	476.71	638.15	567.1
SYPL1	1088.92	1529.73	3372.43	3540.14	3742.05	2701.35	2271.4	2627.46	2915.45	2319.15	3190.46	2400.97	3540.14	3146.52
TAF1B	82.87	23.59	297.17	299.25	325.29	187.71	178.77	187.71	214.27	198.47	185.11	194.36	223.41	170.25
TBCK	92.05	110.43	423.61	483.38	521.76	312.0	307.69	208.38	283.05	316.37	309.83	327.56	460.44	323.03
TDRD3	154.42	94.01	334.46	318.57	412.0	208.38	271.48	246.28	236.21	291.04	285.03	289.02	329.84	303.44
TEX9	20.71	7.4	212.78	177.53	361.04	67.12	100.13	88.88	96.01	108.9	170.25	189.02	189.02	170.25
THEM4	171.45	204.07	595.34	567.1	595.34	361.04	490.14	314.17	460.44	420.68	536.45	470.14	529.06	543.96
THNSL1	29.48	23.93	206.94	237.86	291.04	112.77	119.26	92.7	169.07	120.1	205.5	166.73	183.82	137.14
TMEM87B	152.28	92.05	395.18	356.05	339.14	251.48	228.13	199.85	264.03	232.94	267.73	275.28	283.05	332.14
TOPORS	86.43	23.93	435.55	395.18	426.57	251.48	275.28	204.07	346.29	248.0	295.11	226.54	376.41	275.28
TPO	5.32	0.78	645473.24	619179.28	66449.85	402881.61	828417.36	716197.51	1078054.48	443937.41	919186.72	875652.15	386469.83	2111737.85
TRA2A	1104.13	262.2	2502.97	2485.67	3303.0	1359.57	1457.23	1286.18	1477.58	1963.57	1909.85	1936.53	2915.45	1709.26
TRIM24	115.97	38.4	251.48	356.05	299.25	217.27	155.5	176.29	185.11	197.09	204.07	191.67	224.97	220.32
TRIM45	97.36	49.56	197.09	194.36	197.09	87.65	96.01	60.39	60.82	142.01	112.77	154.42	152.28	177.53
TTC19	403.5	293.07	1175.27	1096.5	1233.75	819.3	902.89	674.59	878.17	884.29	1008.9	642.59	1111.82	974.5
UBTD2	147.06	152.28	226.54	264.03	277.2	253.23	239.52	186.4	218.79	205.5	229.72	176.29	271.48	231.32
UBXN2A	113.56	48.18	202.66	226.54	209.84	158.79	166.73	132.44	127.89	141.02	182.55	100.83	169.07	185.11
UCHL5	152.28	44.57	466.88	480.04	651.58	281.09	312.0	323.03	312.0	314.17	397.93	373.81	420.68	392.44
UFM1	387.02	403.5	1437.15	1561.89	1350.18	1151.06	995.0	1051.79	1304.15	1073.91	1277.29	1127.35	1369.04	1519.15
URI1	684.02	351.14	1540.37	1529.73	1639.59	1104.13	1143.1	1151.06	1175.27	1096.5	1216.75	1119.56	1378.57	1313.23
USP10	571.05	647.07	1135.2	1167.14	1081.39	848.22	860.08	780.44	819.3	830.75	808.0	769.69	909.17	928.3
VMA21	223.41	141.02	371.22	366.09	518.15	236.21	283.05	217.27	316.37	301.33	381.68	277.2	373.81	329.84
WDR33	343.89	246.28	651.58	579.04	802.41	507.46	525.39	384.34	514.56	493.56	543.96	480.04	629.35	647.07
WDR89	72.01	32.13	255.0	323.03	297.17	217.27	214.27	151.22	299.25	205.5	241.19	194.36	255.0	242.88
ZBTB6	45.53	26.47	162.14	162.14	204.07	120.94	134.3	110.43	149.12	126.12	164.42	116.78	182.55	140.04
ZCCHC9	264.03	119.26	551.56	599.49	575.03	409.15	361.04	275.28	406.31	406.31	555.41	480.04	476.71	400.71
ZDHHC21	26.28	17.0	140.04	153.34	193.01	97.36	86.43	76.71	99.43	105.89	113.56	105.15	129.69	120.94
ZFAND1	346.29	218.79	1407.55	1242.34	1508.65	813.63	819.3	785.88	1008.9	974.5	1088.92	872.1	1529.73	1225.22
ZFAND6	988.12	748.61	2682.69	2915.45	3665.02	2133.97	1977.24	1781.89	2193.99	1769.57	2573.36	2451.44	2816.11	2591.27
ZFP82	27.25	29.06	151.22	136.19	187.71	102.25	110.43	77.79	131.51	119.26	164.42	77.25	151.22	123.5
ZMYM1	18.97	6.26	205.5	178.77	249.73	84.63	114.36	102.25	84.04	145.02	136.19	147.06	129.69	136.19
ZNF138	71.5	20.26	186.4	316.37	353.59	72.52	107.38	128.79	142.01	114.36	177.53	152.28	166.73	248.0
ZNF14	54.72	18.29	224.97	232.94	299.25	119.26	162.14	90.14	165.57	158.79	187.71	100.83	262.2	152.28
ZNF140	195.72	70.01	540.19	551.56	748.61	412.0	432.53	309.83	486.75	417.77	518.15	381.68	629.35	579.04
ZNF180	46.84	14.24	204.07	190.34	224.97	117.6	156.59	103.69	143.01	149.12	159.9	111.21	198.47	157.68
ZNF182	37.85	10.08	242.88	223.41	269.6	144.01	132.44	107.38	140.04	177.53	152.28	141.02	205.5	178.77
ZNF184	44.57	11.04	167.9	178.77	151.22	131.51	101.54	82.29	121.79	96.01	156.59	108.14	142.01	121.79
ZNF334	43.94	3.08	339.14	392.44	713.11	107.38	220.32	102.25	140.04	215.77	157.68	307.69	283.05	194.36
ZNF383	41.81	25.35	182.55	186.4	189.02	105.15	107.38	87.65	101.54	98.04	106.63	107.38	164.42	106.63
ZNF43	29.91	17.25	248.0	232.94	329.84	113.56	190.34	146.03	146.03	161.02	159.9	194.36	217.27	175.07
ZNF512	204.07	180.02	915.51	1008.9	1286.18	521.76	591.22	450.94	559.28	791.35	679.29	660.68	791.35	854.13
ZNF543	30.78	17.51	89.51	78.34	96.01	47.17	71.0	34.51	70.01	59.55	71.0	45.53	80.01	57.08
ZNF551	39.22	19.97	143.01	131.51	105.89	84.63	106.63	50.27	85.82	113.56	107.38	132.44	111.99	108.14
ZNF567	19.53	24.63	156.59	151.22	178.77	100.13	120.94	89.51	114.36	106.63	134.3	107.38	148.09	141.02
ZNF610	18.43	10.96	99.43	73.03	180.02	37.59	59.97	26.47	57.08	76.71	71.5	60.82	88.88	65.26
ZNF675	59.97	23.42	201.25	228.13	224.97	85.82	114.36	98.73	94.01	115.97	111.99	132.44	115.97	181.28
ZNF680	60.82	14.35	902.89	688.78	1104.13	486.75	429.54	384.34	511.0	540.19	525.39	420.68	603.67	848.22
ZNF681	8.38	2.18	44.25	45.21	80.57	11.91	20.86	22.43	23.42	19.53	31.0	24.81	31.67	35.76
ZNF709	11.38	6.62	81.71	95.34	129.69	62.12	55.1	53.57	58.3	66.18	89.51	71.5	68.07	65.72
ZNF782	19.11	10.71	100.13	108.9	145.02	58.71	50.27	33.06	59.13	45.21	75.64	74.06	73.03	77.79
ZNF823	62.56	36.79	94.67	114.36	141.02	57.89	76.71	68.07	75.11	77.79	101.54	85.82	134.3	84.04
