	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E9.A1R7.01A.11R.A14M.07	TCGA.D8.A1XM.01A.21R.A14M.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.CG.5734.01A.11R.1602.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13
BNIP3L	3081.75	1950.0	1977.24	2701.35	1104.13	1745.2	1628.26	1313.23	2018.8	2090.03	2627.46	1572.76	603.67	2032.85	2319.15	769.69	603.67	463.65	902.89	603.67	1073.91	848.22	493.56	785.88	665.29	884.29	764.36	633.73
BPNT1	902.89	1457.23	988.12	3168.41	2895.31	1407.55	1331.57	1639.59	1794.29	1457.23	1059.11	348.71	0.0	0.0	819.3	753.83	825.0	665.29	532.74	802.41	579.04	503.95	866.07	521.76	450.94	624.99	679.29	363.56
CCSAP	228.13	466.88	253.23	275.28	348.71	125.24	158.79	175.07	162.14	182.55	231.32	67.59	0.0	0.18	115.16	53.95	54.33	57.49	56.28	53.95	57.08	55.89	21.78	52.08	49.56	77.25	22.26	37.85
CDC16	1135.2	1407.55	2075.59	2119.22	1388.16	1313.23	1417.35	1378.57	1369.04	1457.23	1519.15	1151.06	0.0	0.72	866.07	759.08	884.29	1143.1	961.07	947.83	830.75	1225.22	551.56	1081.39	884.29	1001.93	884.29	848.22
CDC73	595.34	629.35	429.54	842.36	836.53	679.29	473.41	476.71	961.07	603.67	583.07	204.07	0.0	0.26	291.04	169.07	182.55	212.78	267.73	142.01	187.71	256.78	144.01	199.85	177.53	206.94	253.23	158.79
CHAMP1	417.77	463.65	444.72	802.41	555.41	460.44	460.44	426.57	414.87	414.87	525.39	170.25	0.0	0.02	267.73	336.79	435.55	358.54	320.8	279.14	301.33	503.95	262.2	283.05	403.5	303.44	229.72	312.0
CHML	242.88	170.25	309.83	314.17	105.15	206.94	150.17	172.65	226.54	236.21	193.01	40.07	0.0	0.48	108.14	25.91	97.36	61.68	51.71	33.06	42.41	67.12	19.25	31.67	35.5	32.13	37.05	35.0
CUL4A	1037.29	1397.83	1721.16	2163.77	1950.0	1250.98	1359.57	1477.58	1540.37	1295.13	1322.37	1015.93	785.88	135.24	1104.13	884.29	1015.93	1008.9	981.29	753.83	1001.93	947.83	583.07	718.08	693.58	896.64	525.39	703.28
CYB5A	8479.89	9808.75	8191.0	16960.78	26800.01	6516.03	5791.62	6079.61	7180.15	3768.09	4769.75	2351.53	0.0	0.62	42346.82	3614.55	2537.92	2384.37	3820.7	5751.61	3742.05	4937.99	7911.95	2351.53	6471.02	5594.3	17558.94	5112.16
DARS2	299.25	708.18	314.17	575.03	974.5	518.15	438.59	309.83	909.17	567.1	361.04	178.77	0.0	0.19	265.87	255.0	275.28	366.09	260.38	283.05	205.5	356.05	189.02	241.19	244.57	361.04	258.57	271.48
DCUN1D2	281.09	343.89	486.75	854.13	242.88	312.0	339.14	293.07	480.04	256.78	356.05	334.46	0.0	0.75	279.14	151.22	242.88	186.4	212.78	234.57	154.42	202.66	97.36	195.72	217.27	152.28	180.02	171.45
DIEXF	228.13	273.37	202.66	339.14	429.54	187.71	140.04	191.67	334.46	226.54	258.57	97.36	0.0	0.0	93.35	70.01	96.68	100.13	83.45	67.12	88.26	87.65	29.27	69.03	70.01	81.71	57.89	55.89
DIS3	521.76	447.82	518.15	1127.35	579.04	571.05	473.41	567.1	567.1	463.65	616.37	409.15	264.03	110.43	379.04	303.44	366.09	332.14	297.17	271.48	358.54	312.0	177.53	232.94	211.31	293.07	155.5	264.03
DKFZP667F0711	20.56	3.99	6.52	43.94	1.43	7.17	15.91	5.28	2.81	9.56	13.83	14.67	0.0	0.39	1.19	0.0	2.51	2.84	0.0	2.73	4.74	2.43	1.41	2.92	1.58	1.38	0.0	0.0
DNAH14	237.86	791.35	518.15	536.45	483.38	211.31	271.48	253.23	414.87	392.44	291.04	35.76	0.0	0.49	67.12	47.5	83.45	90.77	63.0	17.0	67.59	124.37	25.35	42.41	48.18	90.14	98.73	61.68
DYRK3	204.07	285.03	118.43	1199.98	343.89	249.73	166.73	153.34	295.11	403.5	341.51	46.5	0.0	0.13	175.07	48.52	39.5	59.55	59.97	45.85	84.63	111.21	63.89	117.6	53.95	61.68	60.82	26.1
ECD	612.11	665.29	571.05	1508.65	1183.45	698.41	575.03	728.11	723.08	638.15	738.29	379.04	0.0	0.43	295.11	320.8	293.07	460.44	371.22	301.33	351.14	379.04	289.02	356.05	256.78	318.57	444.72	346.29
EFTUD1	395.18	373.81	260.38	229.72	291.04	571.05	423.61	500.46	514.56	366.09	423.61	214.27	0.0	0.13	301.33	151.22	273.37	208.38	221.86	198.47	231.32	202.66	165.57	231.32	183.82	141.02	283.05	148.09
EPRS	2075.59	2193.99	2796.65	14163.58	6935.54	2303.12	2758.13	2701.35	3060.45	2758.13	1832.01	1127.35	0.0	0.0	1044.52	1051.79	1561.89	1806.78	1159.07	1008.9	1199.98	1487.87	872.1	1199.98	1167.14	928.3	947.83	1259.69
EXOC5	902.89	603.67	529.06	1216.75	1119.56	872.1	723.08	551.56	748.61	633.73	878.17	327.56	0.0	0.38	392.44	191.67	221.86	217.27	309.83	199.85	293.07	275.28	153.34	229.72	161.02	291.04	191.67	169.07
EXOC8	312.0	320.8	256.78	142.01	802.41	208.38	258.57	339.14	249.73	232.94	277.2	148.09	101.54	71.5	223.41	85.82	97.36	119.26	111.21	91.41	134.3	177.53	82.29	120.1	105.89	67.12	55.89	104.42
FAIM3	954.43	638.15	559.28	1313.23	854.13	651.58	454.09	796.86	1191.69	1059.11	236.21	83.45	0.0	0.51	275.28	435.55	143.01	733.19	158.79	638.15	176.29	318.57	109.66	669.92	616.37	289.02	87.65	432.53
FAM149B1	403.5	540.19	432.53	1508.65	511.0	397.93	454.09	483.38	529.06	441.64	514.56	320.8	0.0	0.39	379.04	183.82	137.14	223.41	258.57	167.9	205.5	325.29	177.53	275.28	183.82	224.97	368.65	253.23
FAM184A	42.41	36.53	43.63	281.09	74.58	44.25	29.27	80.57	21.47	21.63	158.79	38.12	0.0	0.28	708.18	7.17	22.1	37.32	20.26	18.16	33.78	7.57	21.63	31.45	21.32	6.73	9.63	7.75
FAM213A	1628.26	2335.28	1870.53	6983.79	813.63	1870.53	1397.83	1977.24	1551.09	1583.71	2271.4	1883.54	728.11	1259.69	1769.57	447.82	307.69	325.29	423.61	988.12	669.92	521.76	1594.73	473.41	457.25	341.51	698.41	591.22
FARP1	1721.16	2351.53	2835.7	4543.8	698.41	3589.58	2163.77	1044.52	2796.65	2915.45	1437.15	599.49	218.79	93.35	1268.46	830.75	684.02	1044.52	733.19	514.56	1037.29	1250.98	358.54	802.41	884.29	603.67	536.45	1135.2
FBXO28	780.44	1286.18	629.35	1001.93	2193.99	764.36	802.41	718.08	995.0	813.63	748.61	454.09	0.0	0.43	373.81	220.32	249.73	271.48	271.48	211.31	291.04	281.09	172.65	206.94	187.71	275.28	198.47	148.09
FH	1594.73	2075.59	2032.85	2400.97	3491.39	1909.85	1870.53	1991.0	2520.38	2133.97	1397.83	1008.9	0.0	0.29	1111.82	981.29	1572.76	1662.49	1259.69	1359.57	1127.35	1427.22	1268.46	1059.11	1088.92	1651.0	1369.04	1447.15
FKBP4	4268.94	4181.07	5147.73	4543.8	17927.91	5366.37	4972.34	3639.7	4903.87	7857.29	6792.79	1883.54	0.0	0.27	693.58	2451.44	3018.3	2816.11	2384.37	1313.23	2018.8	2240.11	1437.15	1857.6	1844.76	2335.28	1605.83	2351.53
FLVCR1	217.27	563.18	412.0	384.34	1350.18	351.14	287.01	253.23	400.71	373.81	253.23	79.45	181.28	387.02	71.5	73.54	265.87	127.89	135.24	198.47	118.43	153.34	218.79	85.82	156.59	146.03	106.63	122.64
GCA	802.41	693.58	616.37	1427.22	684.02	802.41	698.41	909.17	638.15	819.3	669.92	223.41	0.0	0.16	1295.13	559.28	353.59	555.41	651.58	540.19	575.03	660.68	358.54	389.72	525.39	684.02	1119.56	555.41
GNPAT	961.07	1417.35	1397.83	866.07	3190.46	1037.29	1250.98	1477.58	1583.71	1225.22	836.53	583.07	0.0	0.54	651.58	575.03	854.13	684.02	728.11	603.67	753.83	743.43	540.19	674.59	607.87	723.08	1023.0	796.86
GORAB	392.44	435.55	397.93	414.87	599.49	289.02	283.05	301.33	406.31	412.0	307.69	194.36	0.0	0.54	189.02	83.45	119.26	133.36	180.02	78.34	103.69	133.36	55.89	98.73	127.0	132.44	199.85	91.41
GPR137B	738.29	890.44	928.3	571.05	1936.53	785.88	961.07	599.49	796.86	708.18	743.43	166.73	0.0	0.52	551.56	543.96	241.19	244.57	258.57	371.22	293.07	277.2	279.14	283.05	363.56	297.17	185.11	218.79
HEATR1	473.41	638.15	503.95	514.56	1397.83	397.93	417.77	400.71	738.29	384.34	476.71	234.57	0.0	0.33	138.1	131.51	218.79	231.32	149.12	115.97	132.44	162.14	64.34	93.35	110.43	123.5	57.89	111.99
HK2	587.13	543.96	563.18	733.19	1417.35	409.15	236.21	500.46	769.69	358.54	507.46	629.35	0.0	0.36	1191.69	860.08	848.22	674.59	348.71	348.71	358.54	395.18	116.78	273.37	264.03	267.73	74.58	305.55
HNRNPU	5954.47	7589.61	6561.36	7911.95	8134.41	7589.61	7537.18	4671.57	8078.22	6699.25	5329.3	2417.67	3325.99	1477.58	2956.17	2555.58	3124.78	2627.46	2895.31	2287.2	2835.7	3081.75	1685.71	2271.4	2434.5	1350.18	921.88	1977.24
IARS2	1896.65	3467.27	2956.17	5995.9	5006.93	2119.22	2451.44	2384.37	3018.3	2303.12	2104.58	981.29	0.0	0.38	1037.29	579.04	1073.91	1037.29	884.29	616.37	813.63	967.76	397.93	791.35	679.29	791.35	595.34	638.15
IL20	29.91	97.36	6.57	1781.89	353.59	114.36	223.41	143.01	961.07	256.78	50.98	0.0	0.0	0.0	0.0	2.27	0.27	0.73	0.61	0.0	0.0	1.36	0.73	0.0	0.0	3.59	0.78	0.0
INTS7	435.55	616.37	447.82	559.28	1417.35	511.0	389.72	368.65	860.08	633.73	316.37	186.4	0.0	0.0	159.9	143.01	223.41	228.13	178.77	90.14	120.1	202.66	85.82	145.02	96.01	223.41	158.79	87.03
KCNS3	518.15	249.73	429.54	1697.45	511.0	361.04	406.31	253.23	525.39	825.0	189.02	81.14	0.0	0.67	1331.57	81.14	73.03	77.79	353.59	50.63	373.81	178.77	50.27	246.28	104.42	283.05	148.09	195.72
KLHL12	909.17	1639.59	890.44	1001.93	3081.75	947.83	698.41	1044.52	1096.5	1037.29	718.08	279.14	0.0	0.0	480.04	212.78	366.09	348.71	432.53	242.88	339.14	389.72	152.28	320.8	237.86	329.84	281.09	246.28
LIG4	146.03	163.28	158.79	244.57	150.17	173.85	157.68	185.11	127.89	108.14	241.19	132.44	0.0	0.39	224.97	85.82	144.01	151.22	146.03	96.01	93.35	169.07	94.01	120.1	73.54	95.34	141.02	102.97
LYPLAL1	1096.5	1628.26	1208.34	4152.18	2895.31	878.17	1199.98	1037.29	1304.15	1059.11	947.83	591.22	0.0	0.39	748.61	228.13	346.29	299.25	295.11	271.48	279.14	346.29	334.46	285.03	275.28	389.72	860.08	426.57
MAPKAPK2	2835.7	5479.15	2209.26	8191.0	7130.55	5255.91	2701.35	3146.52	3901.01	5219.6	2502.97	1794.29	2835.7	2018.8	1519.15	1519.15	1369.04	2075.59	1540.37	2075.59	1832.01	1977.24	1369.04	2255.7	2209.26	2335.28	642.59	1359.57
MIB1	417.77	441.64	346.29	599.49	490.14	384.34	466.88	412.0	529.06	343.89	473.41	183.82	0.0	0.41	171.45	87.03	170.25	132.44	126.12	96.68	166.73	183.82	62.12	137.14	119.26	122.64	85.22	70.51
MINPP1	316.37	381.68	277.2	1175.27	258.57	463.65	316.37	305.55	363.56	316.37	460.44	98.04	0.0	0.42	291.04	201.25	159.9	187.71	258.57	242.88	186.4	283.05	218.79	169.07	244.57	260.38	432.53	170.25
MRPS16	1572.76	2400.97	2178.83	8598.28	2468.49	2061.24	2104.58	2502.97	2303.12	2209.26	1870.53	1407.55	2400.97	1844.76	1437.15	1572.76	1487.87	1857.6	1540.37	1977.24	1487.87	1397.83	1662.49	1259.69	1769.57	2193.99	3124.78	2148.82
MSH2	480.04	454.09	466.88	1015.93	698.41	532.74	497.0	486.75	595.34	432.53	642.59	151.22	0.0	0.0	258.57	100.83	172.65	228.13	204.07	93.35	124.37	176.29	45.21	115.97	109.66	133.36	115.97	52.08
NAV1	293.07	336.79	183.82	392.44	426.57	412.0	273.37	215.77	406.31	638.15	273.37	175.07	169.07	55.49	23.25	147.06	76.17	163.28	105.15	118.43	202.66	145.02	68.55	130.6	108.9	100.83	26.67	100.13
NKRF	231.32	136.19	139.07	275.28	218.79	177.53	182.55	285.03	267.73	186.4	234.57	129.69	0.0	0.39	87.65	109.66	135.24	112.77	87.65	115.16	72.52	91.41	47.5	74.06	96.68	81.14	85.22	91.41
PCID2	764.36	928.3	1277.29	1709.26	890.44	587.13	796.86	1096.5	769.69	764.36	954.43	579.04	0.0	0.96	454.09	497.0	591.22	612.11	651.58	466.88	536.45	529.06	358.54	633.73	518.15	866.07	872.1	486.75
PCNXL2	336.79	435.55	397.93	211.31	387.02	312.0	237.86	234.57	409.15	361.04	237.86	150.17	211.31	209.84	102.97	52.08	146.03	142.01	94.01	103.69	87.65	125.24	104.42	144.01	142.01	95.34	38.4	101.54
PCP4L1	7.46	1.35	9.48	45.53	13.22	14.24	9.13	10.31	2.07	6.57	13.52	265.87	0.0	0.23	316.37	0.0	2.94	5.68	67.59	4.62	206.94	1.28	4.9	68.55	6.41	1.01	19.68	6.57
PDE5A	312.0	228.13	173.85	1199.98	144.01	97.36	107.38	285.03	215.77	309.83	460.44	143.01	0.0	0.26	283.05	117.6	41.52	108.14	214.27	118.43	379.04	98.04	72.52	262.2	89.51	40.07	159.9	100.83
PIBF1	303.44	241.19	356.05	518.15	368.65	291.04	314.17	325.29	444.72	366.09	387.02	120.1	0.0	0.32	260.38	123.5	147.06	96.68	170.25	108.9	129.69	130.6	68.07	133.36	163.28	126.12	339.14	180.02
PIGM	320.8	267.73	327.56	301.33	248.0	336.79	289.02	226.54	307.69	343.89	253.23	84.04	76.71	81.14	176.29	81.71	114.36	136.19	127.0	126.12	128.79	142.01	80.01	90.77	122.64	105.15	94.67	138.1
PPP3CB	902.89	890.44	764.36	1806.78	2240.11	1030.12	764.36	1037.29	961.07	708.18	1066.48	503.95	620.67	279.14	567.1	318.57	346.29	412.0	579.04	341.51	417.77	536.45	283.05	579.04	389.72	555.41	595.34	361.04
PTPN20B	44.89	96.68	59.55	107.38	50.63	98.73	29.7	40.07	48.52	44.89	23.42	30.56	0.0	0.13	42.71	4.43	6.11	12.0	14.45	7.57	13.62	1.27	8.38	19.68	21.78	9.85	28.04	2.58
QTRTD1	438.59	409.15	358.54	563.18	423.61	384.34	332.14	460.44	493.56	420.68	397.93	180.02	0.0	0.33	248.0	138.1	224.97	206.94	161.02	151.22	206.94	218.79	98.04	105.89	105.89	140.04	84.63	101.54
RAB3GAP2	587.13	748.61	559.28	1250.98	1388.16	521.76	575.03	540.19	651.58	540.19	575.03	205.5	295.11	587.13	169.07	166.73	260.38	223.41	212.78	152.28	264.03	221.86	105.89	170.25	170.25	198.47	157.68	153.34
RABGGTB	1519.15	1529.73	988.12	5441.3	1950.0	1561.89	1721.16	1104.13	2004.85	1498.22	2240.11	1437.15	0.0	0.89	981.29	688.78	1044.52	1437.15	878.17	738.29	638.15	902.89	791.35	674.59	796.86	1023.0	1359.57	921.88
RABIF	301.33	363.56	256.78	244.57	551.56	366.09	325.29	358.54	343.89	371.22	269.6	218.79	0.0	0.0	205.5	166.73	251.48	162.14	173.85	201.25	131.51	155.5	194.36	169.07	124.37	201.25	229.72	131.51
RANBP6	483.38	334.46	273.37	403.5	131.51	454.09	406.31	395.18	403.5	371.22	500.46	185.11	0.0	0.36	255.0	79.45	167.9	150.17	139.07	76.17	127.0	159.9	48.18	100.13	115.97	136.19	127.89	125.24
RBM26	703.28	708.18	748.61	1159.07	688.78	688.78	723.08	651.58	713.11	599.49	836.53	532.74	229.72	226.54	447.82	389.72	441.64	532.74	353.59	301.33	346.29	476.71	248.0	423.61	423.61	332.14	231.32	579.04
RBM34	1594.73	2351.53	2739.08	2061.24	4869.99	1844.76	2627.46	1594.73	3190.46	2468.49	1651.0	1216.75	0.0	0.77	1225.22	567.1	902.89	967.76	660.68	555.41	387.02	620.67	733.19	764.36	769.69	529.06	1250.98	718.08
RNF219	262.2	241.19	301.33	532.74	318.57	205.5	253.23	231.32	260.38	264.03	251.48	96.01	0.0	0.16	158.79	80.57	151.22	102.25	92.05	66.18	71.5	90.77	42.71	63.0	72.01	65.72	87.03	78.89
RPGRIP1L	153.34	87.65	90.77	163.28	81.71	158.79	199.85	134.3	167.9	145.02	158.79	29.06	0.0	0.0	50.63	55.89	44.89	35.0	44.25	36.01	46.5	52.82	19.97	28.45	48.52	51.35	74.58	47.17
RPS6KC1	336.79	536.45	353.59	493.56	974.5	353.59	320.8	299.25	346.29	351.14	325.29	112.77	0.0	0.55	151.22	102.25	103.69	128.79	178.77	94.01	146.03	183.82	75.64	144.01	117.6	151.22	133.36	100.13
RRP15	432.53	529.06	543.96	1286.18	961.07	373.81	392.44	400.71	607.87	514.56	406.31	217.27	429.54	84.04	176.29	127.0	171.45	172.65	140.04	125.24	152.28	117.6	83.45	92.05	131.51	136.19	202.66	81.71
SDE2	444.72	660.68	414.87	540.19	1199.98	426.57	395.18	540.19	518.15	432.53	563.18	158.79	389.72	547.75	363.56	173.85	161.02	150.17	204.07	118.43	183.82	246.28	164.42	164.42	140.04	157.68	162.14	116.78
SEC24C	1088.92	1378.57	1477.58	3564.78	2163.77	1350.18	1388.16	1508.65	1208.34	1250.98	1295.13	1936.53	988.12	136.19	1199.98	967.76	1030.12	1639.59	1127.35	1216.75	1268.46	1135.2	848.22	1151.06	819.3	1051.79	334.46	884.29
SLC25A44	638.15	974.5	708.18	603.67	483.38	780.44	521.76	563.18	718.08	723.08	532.74	435.55	339.14	212.78	540.19	358.54	395.18	532.74	368.65	480.04	406.31	395.18	563.18	444.72	329.84	432.53	178.77	339.14
SLC40A1	15285.81	3467.27	1617.0	20451.65	780.44	5672.41	3982.99	2119.22	12076.21	5872.48	4358.66	555.41	0.0	0.35	3103.19	2351.53	961.07	1250.98	2645.74	1883.54	2133.97	2434.5	1135.2	1540.37	1883.54	2047.0	2875.3	1721.16
SMTNL1	5.68	30.12	3.56	22.1	11.04	2.86	11.04	9.93	3.59	8.71	3.35	1.95	0.0	0.46	6.31	4.5	11.55	3.38	2.01	3.17	7.4	4.58	3.35	6.06	3.47	1.75	3.0	0.0
SMYD2	825.0	884.29	1242.34	1498.22	3467.27	1059.11	1487.87	775.05	665.29	1051.79	638.15	607.87	0.0	0.25	1313.23	301.33	435.55	551.56	406.31	323.03	318.57	438.59	267.73	346.29	483.38	808.0	1183.45	571.05
SMYD3	808.0	759.08	1437.15	5147.73	1304.15	2627.46	1519.15	503.95	406.31	2303.12	497.0	279.14	0.0	0.44	444.72	264.03	318.57	191.67	231.32	239.52	269.6	273.37	158.79	249.73	325.29	312.0	521.76	185.11
SOCS5	493.56	289.02	232.94	392.44	262.2	336.79	329.84	368.65	361.04	343.89	500.46	131.51	0.0	0.31	193.01	74.58	111.21	111.21	152.28	83.45	140.04	144.01	60.39	131.51	107.38	92.05	141.02	107.38
SPRTN	236.21	217.27	206.94	204.07	708.18	249.73	279.14	303.44	215.77	246.28	275.28	124.37	0.0	0.0	118.43	84.63	97.36	98.73	108.14	109.66	122.64	109.66	50.98	96.01	76.71	97.36	129.69	97.36
SRP9	8305.36	12076.21	16843.62	10585.95	24660.96	7331.05	8718.32	10368.08	13123.73	8305.36	7749.1	2520.38	0.0	1.0	3303.0	3018.3	3874.05	3589.58	3768.09	2720.15	2335.28	3955.48	2777.33	2895.31	3419.52	4095.0	7966.99	3515.68
SUCO	1001.93	1561.89	769.69	2148.82	3146.52	854.13	698.41	825.0	915.51	884.29	1015.93	283.05	0.0	0.52	500.46	178.77	236.21	303.44	264.03	176.29	229.72	366.09	193.01	211.31	199.85	215.77	199.85	191.67
TAF1A	205.5	269.6	265.87	221.86	241.19	131.51	224.97	159.9	237.86	170.25	197.09	104.42	0.0	0.04	63.0	63.45	172.65	149.12	123.5	56.68	127.0	114.36	39.22	81.71	93.35	143.01	151.22	69.52
TBCE	532.74	819.3	791.35	1044.52	1457.23	514.56	713.11	647.07	1030.12	642.59	603.67	490.14	703.28	441.64	339.14	251.48	336.79	346.29	341.51	249.73	289.02	295.11	248.0	265.87	244.57	353.59	429.54	353.59
TFB2M	536.45	603.67	941.27	896.64	1685.71	381.68	571.05	547.75	1001.93	518.15	518.15	237.86	0.0	0.0	332.14	248.0	356.05	283.05	239.52	281.09	237.86	299.25	156.59	187.71	231.32	392.44	470.14	147.06
TFF1	11504.21	4038.61	120609.84	356.05	15.0	12160.22	15499.21	15934.98	6935.54	6079.61	37121.34	1462493.73	0.0	0.15	1.018540392E7	539026.74	632189.57	945028.61	606436.73	475800.4	645473.24	687022.54	381149.17	805764.22	1026995.62	561916.97	2729110.67	1503610.06
TM2D1	981.29	1008.9	647.07	1896.65	2758.13	1250.98	1397.83	1191.69	1096.5	961.07	1233.75	723.08	0.0	0.67	1583.71	764.36	559.28	612.11	708.18	733.19	563.18	669.92	748.61	612.11	830.75	890.44	1519.15	688.78
TMEM254	995.0	2018.8	1794.29	3639.7	1427.22	1250.98	1175.27	1111.82	1870.53	1001.93	1286.18	866.07	0.0	0.0	620.67	397.93	283.05	343.89	587.13	466.88	470.14	684.02	540.19	358.54	511.0	463.65	718.08	414.87
TOMM20	3564.78	4512.4	5219.6	4512.4	10154.69	3280.18	3419.52	5006.93	6607.01	5041.77	4639.29	1923.14	0.0	0.95	2335.28	1340.84	1977.24	1950.0	1794.29	1745.2	2032.85	1883.54	1407.55	1674.06	1844.76	2627.46	4123.49	1832.01
TPP2	713.11	603.67	1088.92	1104.13	813.63	669.92	743.43	669.92	703.28	536.45	813.63	540.19	279.14	708.18	559.28	363.56	507.46	497.0	376.41	297.17	307.69	379.04	289.02	371.22	387.02	341.51	237.86	307.69
TRIM58	134.3	3.14	84.63	57.89	603.67	59.97	41.52	37.85	176.29	113.56	35.5	3.76	0.0	0.02	22.43	5.96	0.87	3.14	19.39	10.31	12.55	8.85	2.73	2.43	0.99	5.77	9.27	1.62
TXLNG	373.81	309.83	381.68	361.04	346.29	373.81	305.55	327.56	325.29	332.14	454.09	242.88	0.0	0.39	183.82	132.44	223.41	163.28	153.34	126.12	123.5	228.13	107.38	133.36	155.5	137.14	117.6	130.6
UPP2	1.77	1.27	2.32	6.16	1.64	0.66	2.73	1.68	1.0	0.35	3.11	0.0	0.0	0.0	0.39	3.35	0.0	0.0	0.36	1.2	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0
