	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.O5YV.0526.SM.2I5GE	GTEX.R55G.0826.SM.2TC5U	GTEX.ZAB5.0626.SM.5PNVB	GTEX.PWOO.0726.SM.2I3EB	GTEX.11P81.0226.SM.5HL5M	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	TCGA.77.8007.11A.01R.2187.07
CDC5L	493.56	409.15	154.42	185.11	258.57	299.25	140.04	142.01	172.65	120.1	189.02	144.01	105.15	105.89	136.19	214.27	215.77	170.25	148.09	191.67	320.8	181.28	172.65	198.47	339.14	253.23	258.57	234.57	279.14	320.8	156.59	346.29	253.23	229.72	389.72	186.4
CSNK2A2	1242.34	1508.65	748.61	753.83	454.09	507.46	420.68	551.56	417.77	547.75	258.57	463.65	351.14	379.04	356.05	493.56	753.83	397.93	368.65	460.44	555.41	764.36	679.29	583.07	633.73	825.0	1250.98	981.29	842.36	848.22	466.88	961.07	507.46	866.07	1059.11	624.99
CSTF2T	503.95	567.1	187.71	277.2	224.97	161.02	142.01	173.85	155.5	90.14	128.79	46.84	134.3	189.02	260.38	152.28	287.01	149.12	180.02	217.27	275.28	212.78	241.19	223.41	392.44	432.53	285.03	460.44	363.56	403.5	264.03	368.65	299.25	251.48	543.96	224.97
CTR9	1639.59	1286.18	312.0	343.89	412.0	356.05	536.45	297.17	307.69	373.81	476.71	307.69	182.55	329.84	221.86	205.5	363.56	279.14	255.0	435.55	514.56	332.14	591.22	287.01	629.35	507.46	325.29	503.95	511.0	624.99	389.72	595.34	620.67	497.0	708.18	332.14
DCAF17	320.8	220.32	106.63	87.03	73.03	53.95	40.07	29.06	49.56	31.9	54.72	35.76	29.27	60.39	48.52	44.57	95.34	56.68	39.5	48.52	62.12	111.21	187.71	106.63	116.78	115.16	136.19	189.02	98.73	206.94	61.68	170.25	116.78	94.67	220.32	108.9
DOCK1	1331.57	1066.48	232.94	395.18	141.02	132.44	50.63	82.29	157.68	159.9	123.5	92.05	140.04	135.24	88.88	100.83	693.58	91.41	78.89	127.0	191.67	373.81	147.06	177.53	389.72	327.56	703.28	656.11	403.5	486.75	246.28	518.15	406.31	363.56	660.68	273.37
DPY19L3	444.72	297.17	80.57	81.14	111.99	76.71	31.9	58.71	66.65	62.12	53.19	29.27	28.45	80.57	115.16	52.82	100.13	50.27	53.95	67.59	53.19	165.57	255.0	111.21	178.77	193.01	141.02	220.32	215.77	128.79	100.13	171.45	327.56	132.44	253.23	133.36
DSTYK	323.03	265.87	76.17	109.66	77.79	76.71	29.7	88.26	46.18	45.53	59.13	41.52	13.03	31.9	15.0	32.82	41.52	26.1	18.84	25.54	28.45	124.37	79.45	74.58	169.07	143.01	100.13	158.79	146.03	214.27	69.52	186.4	129.69	143.01	206.94	98.04
ERCC6L2	728.11	703.28	108.9	75.11	85.82	65.26	66.65	31.67	71.5	36.27	67.59	37.85	25.91	109.66	165.57	73.54	41.22	113.56	64.34	88.88	205.5	143.01	100.13	154.42	260.38	162.14	217.27	281.09	277.2	463.65	133.36	406.31	351.14	231.32	583.07	226.54
ESF1	476.71	480.04	158.79	84.63	249.73	228.13	151.22	191.67	190.34	125.24	122.64	94.67	27.44	149.12	114.36	82.29	251.48	78.89	90.14	115.16	134.3	131.51	202.66	130.6	239.52	271.48	228.13	267.73	234.57	208.38	126.12	202.66	215.77	166.73	271.48	124.37
EXOC2	1111.82	638.15	246.28	297.17	248.0	241.19	135.24	134.3	155.5	150.17	193.01	169.07	138.1	120.1	102.97	96.01	255.0	102.25	120.1	177.53	275.28	251.48	212.78	265.87	363.56	320.8	346.29	400.71	351.14	571.05	291.04	417.77	316.37	303.44	660.68	248.0
FAM222B	521.76	532.74	346.29	271.48	271.48	123.5	194.36	77.79	112.77	98.04	140.04	119.26	113.56	120.94	75.11	121.79	212.78	65.26	118.43	165.57	187.71	312.0	547.75	177.53	275.28	205.5	363.56	403.5	381.68	684.02	249.73	389.72	283.05	323.03	381.68	214.27
FITM2	190.34	249.73	348.71	212.78	177.53	105.89	84.04	87.65	92.7	143.01	147.06	57.08	80.01	105.15	52.82	62.56	116.78	59.13	70.01	77.25	119.26	132.44	260.38	70.51	197.09	186.4	119.26	246.28	305.55	173.85	167.9	150.17	199.85	220.32	273.37	131.51
FKTN	226.54	177.53	76.17	69.03	117.6	45.85	48.87	48.18	31.0	31.45	55.89	38.95	17.38	46.18	29.48	42.11	84.63	49.56	28.04	35.25	38.67	98.73	141.02	57.89	127.0	88.26	82.29	98.04	109.66	71.0	62.12	97.36	114.36	69.52	102.97	84.63
FTL	47974.16	100719.65	1422501.74	1355129.16	2111737.85	1327240.99	1452391.55	875652.15	1055868.42	696613.03	1514068.5	1493223.86	472513.8	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	2326934.84	998912.34	1273174.62	1204496.53	834179.46	1336472.68	938500.81	577714.63	783730.52	531605.79	1327240.99	535303.41	945028.61	900270.11	200048.85	971597.0
FUT11	518.15	503.95	441.64	426.57	123.5	111.99	46.18	98.04	63.0	54.72	72.01	120.1	81.14	94.67	98.04	76.71	82.87	68.07	107.38	120.94	91.41	426.57	182.55	295.11	591.22	567.1	417.77	780.44	397.93	780.44	470.14	412.0	403.5	353.59	896.64	389.72
G2E3	267.73	264.03	55.1	47.17	68.07	44.25	37.05	37.85	36.27	28.65	40.93	34.02	13.93	63.89	26.1	23.93	78.89	22.92	23.25	43.63	78.34	109.66	107.38	114.36	177.53	117.6	142.01	140.04	166.73	98.04	70.51	128.79	115.16	67.59	226.54	126.12
GEMIN5	323.03	312.0	154.42	141.02	100.83	92.05	77.79	71.0	107.38	66.18	98.73	134.3	60.39	76.17	84.63	91.41	75.64	69.52	54.72	85.22	115.16	99.43	127.89	100.83	198.47	173.85	182.55	199.85	180.02	260.38	136.19	149.12	149.12	169.07	267.73	78.89
GXYLT1	237.86	256.78	98.04	71.5	116.78	52.08	58.71	52.08	86.43	52.08	79.45	46.18	36.53	102.97	90.77	69.52	104.42	86.43	64.34	78.34	169.07	98.73	142.01	94.67	138.1	128.79	153.34	115.97	108.9	167.9	39.22	146.03	165.57	68.07	221.86	102.25
HECTD1	1923.14	2400.97	967.76	1073.91	507.46	723.08	1015.93	698.41	866.07	733.19	1015.93	454.09	909.17	921.88	1167.14	1769.57	995.0	854.13	1104.13	995.0	1733.13	1268.46	1508.65	1008.9	1277.29	1350.18	2555.58	2119.22	1896.65	1498.22	1051.79	1561.89	1583.71	1605.83	2468.49	915.51
HIF1AN	718.08	583.07	231.32	248.0	157.68	84.04	114.36	107.38	112.77	143.01	86.43	119.26	116.78	109.66	62.56	88.26	195.72	133.36	123.5	167.9	166.73	241.19	218.79	232.94	397.93	307.69	305.55	343.89	384.34	432.53	301.33	327.56	473.41	351.14	444.72	246.28
HP1BP3	2956.17	3372.43	1167.14	1286.18	1467.37	708.18	791.35	466.88	323.03	571.05	981.29	819.3	612.11	1119.56	447.82	633.73	896.64	718.08	647.07	1519.15	1340.84	2104.58	896.64	1427.22	1745.2	2520.38	4419.52	3280.18	2224.63	5147.73	1857.6	3491.39	1870.53	2468.49	4575.41	1806.78
HTATSF1	1819.35	1685.71	769.69	884.29	764.36	567.1	343.89	748.61	633.73	307.69	400.71	438.59	255.0	353.59	309.83	423.61	808.0	435.55	339.14	665.29	638.15	698.41	1322.37	521.76	1183.45	764.36	713.11	1159.07	961.07	961.07	651.58	921.88	941.27	713.11	1183.45	514.56
IPO8	723.08	616.37	376.41	325.29	376.41	186.4	107.38	195.72	163.28	156.59	277.2	159.9	187.71	283.05	320.8	267.73	341.51	241.19	199.85	271.48	432.53	316.37	173.85	368.65	629.35	426.57	295.11	567.1	612.11	599.49	277.2	493.56	500.46	476.71	909.17	316.37
KIF3B	1073.91	791.35	536.45	384.34	226.54	271.48	199.85	291.04	295.11	249.73	376.41	148.09	144.01	182.55	176.29	201.25	264.03	242.88	204.07	303.44	638.15	269.6	463.65	236.21	490.14	463.65	351.14	591.22	703.28	409.15	260.38	500.46	454.09	295.11	521.76	271.48
KLHL20	536.45	470.14	172.65	189.02	177.53	158.79	111.99	121.79	118.43	63.89	175.07	61.25	101.54	164.42	171.45	154.42	142.01	156.59	115.97	133.36	187.71	221.86	483.38	214.27	341.51	277.2	353.59	389.72	332.14	420.68	122.64	486.75	226.54	260.38	441.64	277.2
KLHL22	713.11	551.56	332.14	403.5	323.03	283.05	249.73	269.6	265.87	228.13	497.0	267.73	249.73	157.68	120.94	217.27	273.37	209.84	248.0	166.73	332.14	438.59	346.29	320.8	305.55	387.02	275.28	397.93	669.92	384.34	493.56	454.09	348.71	473.41	279.14	403.5
KLHL9	1127.35	1023.0	211.31	248.0	148.09	117.6	68.55	82.29	74.06	71.0	103.69	53.57	86.43	140.04	52.45	115.16	178.77	93.35	115.97	109.66	204.07	223.41	189.02	244.57	547.75	460.44	429.54	764.36	454.09	753.83	89.51	583.07	305.55	228.13	941.27	249.73
LATS1	406.31	403.5	94.01	124.37	111.21	60.82	44.89	41.81	45.53	28.45	72.52	46.5	43.02	94.01	43.32	60.39	47.84	64.34	55.49	31.45	51.71	158.79	125.24	114.36	187.71	185.11	262.2	231.32	159.9	244.57	71.5	199.85	147.06	144.01	285.03	138.1
MAML1	521.76	490.14	176.29	212.78	155.5	150.17	108.9	109.66	104.42	73.54	157.68	156.59	60.39	84.04	106.63	92.05	64.34	69.52	115.97	94.01	63.89	314.17	189.02	198.47	237.86	318.57	447.82	379.04	191.67	454.09	253.23	397.93	191.67	217.27	463.65	217.27
MED1	988.12	642.59	217.27	244.57	187.71	140.04	80.01	108.14	143.01	126.12	169.07	111.99	81.14	148.09	82.29	152.28	190.34	121.79	117.6	127.0	249.73	248.0	518.15	171.45	423.61	403.5	309.83	525.39	429.54	486.75	173.85	381.68	334.46	273.37	629.35	193.01
MED17	1259.69	1059.11	463.65	363.56	291.04	301.33	134.3	170.25	194.36	171.45	212.78	277.2	94.01	403.5	206.94	129.69	234.57	197.09	283.05	131.51	211.31	423.61	279.14	376.41	444.72	444.72	507.46	575.03	423.61	759.08	366.09	511.0	253.23	373.81	753.83	371.22
MGA	409.15	414.87	66.65	69.52	52.82	38.67	38.95	33.54	28.86	21.63	60.82	24.63	16.63	47.17	20.86	28.04	31.22	16.03	27.44	49.56	70.51	102.97	126.12	50.27	120.1	172.65	142.01	186.4	176.29	224.97	112.77	163.28	86.43	109.66	212.78	60.82
MST1R	149.12	135.24	13.83	19.11	120.1	4.9	3.0	5.28	4.82	5.5	88.88	10.47	6.73	3.99	2.03	3.63	81.14	0.99	23.93	1.13	0.83	312.0	80.57	94.01	109.66	264.03	84.04	460.44	579.04	616.37	1143.1	1427.22	155.5	381.68	228.13	180.02
MTF1	264.03	242.88	54.33	71.5	71.5	30.12	30.12	28.04	21.94	36.27	43.32	36.53	13.62	38.95	22.75	32.82	36.53	29.06	32.36	37.05	64.34	96.01	65.26	70.51	144.01	163.28	152.28	132.44	158.79	146.03	90.14	144.01	108.14	123.5	209.84	89.51
NCOA6	660.68	529.06	679.29	591.22	351.14	497.0	249.73	435.55	312.0	273.37	400.71	297.17	223.41	255.0	273.37	346.29	287.01	151.22	320.8	267.73	159.9	497.0	603.67	231.32	651.58	373.81	483.38	460.44	525.39	447.82	432.53	463.65	348.71	575.03	674.59	343.89
NDE1	825.0	571.05	265.87	343.89	291.04	138.1	229.72	98.04	80.01	58.71	127.89	98.04	39.22	88.26	68.55	60.39	110.43	87.03	102.25	119.26	69.03	323.03	379.04	264.03	275.28	563.18	665.29	381.68	414.87	647.07	264.03	629.35	161.02	143.01	389.72	312.0
NSD1	656.11	447.82	199.85	209.84	111.21	104.42	76.17	82.87	102.25	73.03	153.34	808.0	57.08	55.89	26.1	92.7	100.13	50.27	42.41	68.07	127.89	217.27	135.24	166.73	258.57	283.05	316.37	389.72	329.84	353.59	241.19	237.86	289.02	242.88	381.68	199.85
OCRL	387.02	320.8	193.01	228.13	329.84	165.57	136.19	289.02	127.0	142.01	223.41	108.9	102.97	134.3	132.44	170.25	358.54	99.43	74.58	102.25	83.45	277.2	457.25	175.07	325.29	205.5	441.64	371.22	423.61	279.14	197.09	264.03	460.44	285.03	403.5	211.31
PACS1	1457.23	1350.18	759.08	1037.29	575.03	497.0	175.07	246.28	248.0	251.48	181.28	297.17	151.22	229.72	237.86	53.95	293.07	95.34	220.32	208.38	130.6	808.0	967.76	429.54	587.13	802.41	1427.22	1066.48	1088.92	947.83	733.19	934.76	463.65	463.65	660.68	599.49
PAPOLG	285.03	295.11	115.16	96.68	64.8	64.34	33.06	42.41	40.07	32.82	59.55	29.27	25.17	72.01	35.0	39.22	50.63	44.57	35.5	36.79	62.56	135.24	133.36	130.6	134.3	162.14	295.11	181.28	117.6	246.28	120.1	181.28	115.97	159.9	241.19	142.01
PAXIP1-AS2	318.57	248.0	180.02	96.01	66.65	58.3	38.67	47.84	42.71	27.05	62.56	24.63	16.51	105.89	37.05	52.08	90.77	53.57	54.72	68.07	96.01	123.5	55.89	98.73	221.86	117.6	150.17	185.11	111.21	339.14	45.21	265.87	127.0	202.66	218.79	96.68
PDCL	480.04	450.94	221.86	281.09	183.82	127.89	82.87	80.57	76.71	66.65	102.25	89.51	49.21	84.04	39.22	77.79	146.03	62.56	59.55	87.65	138.1	293.07	438.59	371.22	559.28	368.65	368.65	397.93	460.44	567.1	153.34	559.28	414.87	353.59	785.88	271.48
PLCG1	1350.18	921.88	1127.35	651.58	500.46	412.0	244.57	281.09	312.0	267.73	395.18	248.0	217.27	143.01	145.02	195.72	295.11	154.42	164.42	187.71	172.65	1073.91	769.69	480.04	450.94	651.58	2090.03	941.27	511.0	1199.98	511.0	698.41	583.07	947.83	1388.16	583.07
POLH	536.45	348.71	182.55	124.37	87.65	60.39	71.0	32.13	35.0	62.56	60.82	65.26	60.39	50.98	33.06	43.94	115.97	59.97	39.79	78.34	95.34	121.79	70.51	87.03	197.09	220.32	260.38	217.27	291.04	226.54	177.53	318.57	133.36	228.13	343.89	158.79
POLR3A	244.57	206.94	97.36	107.38	100.83	77.25	120.94	92.05	79.45	96.01	68.07	84.04	65.72	67.59	68.55	67.59	169.07	61.68	44.89	63.45	90.14	115.16	127.0	78.89	134.3	175.07	100.83	129.69	131.51	133.36	140.04	135.24	121.79	107.38	144.01	96.68
PTPN13	1467.37	688.78	187.71	97.36	2.48	4.98	1.07	4.62	4.9	2.18	0.93	0.0	5.32	1.68	31.9	12.27	20.11	5.87	9.93	2.29	5.82	400.71	15.56	269.6	684.02	366.09	289.02	358.54	1191.69	450.94	178.77	1066.48	698.41	878.17	1651.0	334.46
PTPN9	624.99	483.38	323.03	457.25	97.36	273.37	130.6	156.59	197.09	143.01	193.01	126.12	144.01	287.01	503.95	181.28	143.01	215.77	197.09	186.4	285.03	403.5	389.72	384.34	387.02	384.34	339.14	599.49	447.82	555.41	251.48	483.38	423.61	460.44	651.58	387.02
PTPRA	2645.74	2104.58	1059.11	988.12	224.97	547.75	323.03	432.53	271.48	297.17	571.05	242.88	334.46	318.57	353.59	239.52	346.29	483.38	253.23	295.11	460.44	780.44	633.73	703.28	1216.75	775.05	1037.29	961.07	1088.92	1457.23	454.09	1135.2	1151.06	921.88	1447.15	819.3
PWWP2A	301.33	343.89	153.34	113.56	139.07	93.35	123.5	78.89	79.45	61.25	134.3	98.04	28.65	130.6	114.36	76.17	62.12	80.01	98.04	111.99	80.01	208.38	103.69	164.42	269.6	241.19	194.36	323.03	226.54	295.11	186.4	297.17	189.02	256.78	314.17	181.28
RAB3D	647.07	500.46	194.36	206.94	9.41	15.68	14.89	13.12	15.8	16.15	100.13	4.28	13.32	6.16	5.68	20.71	5.92	18.29	15.91	39.22	26.47	194.36	215.77	221.86	463.65	172.65	253.23	323.03	567.1	314.17	384.34	403.5	406.31	273.37	454.09	275.28
RAB3GAP1	1096.5	1030.12	417.77	460.44	307.69	299.25	176.29	166.73	182.55	204.07	262.2	141.02	189.02	256.78	162.14	223.41	309.83	194.36	202.66	206.94	403.5	435.55	748.61	381.68	473.41	420.68	825.0	753.83	759.08	791.35	309.83	583.07	629.35	417.77	1001.93	387.02
RAB5B	2976.74	2520.38	954.43	967.76	713.11	441.64	866.07	318.57	325.29	334.46	679.29	236.21	660.68	785.88	651.58	679.29	547.75	733.19	412.0	974.5	1794.29	1322.37	616.37	1572.76	2400.97	1135.2	2193.99	2502.97	2485.67	2664.15	947.83	2935.74	2178.83	1697.45	3372.43	1605.83
RABGAP1	947.83	1119.56	275.28	371.22	189.02	128.79	153.34	115.16	100.13	95.34	187.71	83.45	98.73	111.99	75.11	164.42	217.27	148.09	70.51	96.01	191.67	432.53	466.88	327.56	854.13	417.77	603.67	476.71	633.73	848.22	244.57	836.53	587.13	457.25	860.08	332.14
RAD50	808.0	947.83	221.86	125.24	309.83	204.07	118.43	140.04	172.65	189.02	178.77	295.11	29.91	208.38	224.97	161.02	320.8	134.3	73.03	156.59	186.4	228.13	206.94	187.71	447.82	271.48	279.14	341.51	395.18	299.25	223.41	387.02	483.38	281.09	423.61	264.03
RBBP5	371.22	387.02	134.3	158.79	208.38	180.02	105.15	139.07	133.36	82.29	205.5	112.77	99.43	146.03	93.35	106.63	171.45	195.72	119.26	101.54	194.36	131.51	277.2	142.01	186.4	242.88	236.21	260.38	237.86	295.11	177.53	211.31	172.65	177.53	273.37	141.02
RBFOX2	1757.34	1304.15	237.86	339.14	246.28	327.56	343.89	275.28	395.18	260.38	470.14	202.66	149.12	327.56	148.09	260.38	136.19	387.02	223.41	406.31	447.82	587.13	629.35	339.14	536.45	836.53	808.0	1073.91	723.08	738.29	406.31	941.27	358.54	351.14	607.87	551.56
RBM12	1104.13	738.29	325.29	327.56	242.88	229.72	206.94	145.02	145.02	127.89	178.77	119.26	107.38	187.71	147.06	124.37	293.07	114.36	93.35	189.02	255.0	400.71	514.56	420.68	620.67	400.71	583.07	780.44	791.35	860.08	373.81	775.05	551.56	441.64	775.05	473.41
REST	587.13	529.06	131.51	120.94	91.41	65.72	64.34	59.13	64.8	46.84	75.64	52.08	28.65	92.05	92.7	83.45	113.56	111.99	92.7	91.41	86.43	166.73	159.9	152.28	232.94	242.88	189.02	231.32	182.55	287.01	94.01	275.28	237.86	140.04	287.01	135.24
RGP1	493.56	409.15	167.9	231.32	231.32	129.69	146.03	101.54	115.16	194.36	172.65	127.89	94.01	105.15	80.01	71.5	273.37	92.05	81.14	132.44	205.5	260.38	295.11	182.55	384.34	281.09	511.0	348.71	493.56	379.04	193.01	460.44	426.57	291.04	514.56	212.78
RNF214	607.87	571.05	295.11	318.57	241.19	271.48	214.27	262.2	232.94	242.88	400.71	368.65	201.25	256.78	118.43	248.0	195.72	209.84	201.25	256.78	242.88	400.71	273.37	220.32	361.04	444.72	392.44	432.53	435.55	540.19	384.34	503.95	381.68	412.0	435.55	343.89
RTF1	1001.93	665.29	275.28	314.17	187.71	336.79	244.57	228.13	237.86	183.82	314.17	158.79	114.36	251.48	215.77	237.86	190.34	172.65	162.14	163.28	346.29	384.34	518.15	356.05	583.07	460.44	366.09	379.04	473.41	567.1	450.94	514.56	547.75	536.45	733.19	435.55
SCAF8	718.08	733.19	232.94	275.28	185.11	141.02	143.01	96.68	153.34	110.43	182.55	86.43	101.54	170.25	118.43	122.64	178.77	141.02	108.9	118.43	141.02	264.03	299.25	236.21	395.18	356.05	435.55	353.59	379.04	483.38	221.86	454.09	371.22	379.04	536.45	281.09
SH3KBP1	660.68	1008.9	414.87	842.36	258.57	275.28	217.27	339.14	283.05	214.27	70.51	134.3	183.82	144.01	108.9	162.14	291.04	208.38	226.54	327.56	802.41	642.59	291.04	642.59	738.29	819.3	429.54	1216.75	1447.15	1674.06	242.88	1551.09	607.87	441.64	728.11	748.61
SLC24A1	743.43	476.71	159.9	154.42	27.64	45.85	48.18	53.95	52.08	33.54	77.25	29.06	54.72	46.5	37.85	80.01	132.44	73.03	62.56	47.5	91.41	153.34	112.77	80.01	269.6	131.51	127.89	193.01	172.65	164.42	105.15	260.38	197.09	193.01	205.5	127.0
SLC4A1AP	587.13	571.05	371.22	332.14	318.57	353.59	198.47	231.32	277.2	248.0	182.55	193.01	151.22	183.82	178.77	194.36	400.71	205.5	220.32	267.73	246.28	318.57	450.94	293.07	470.14	432.53	346.29	403.5	423.61	483.38	343.89	480.04	444.72	395.18	447.82	329.84
SOGA1	503.95	237.86	119.26	153.34	46.84	55.1	30.56	18.84	32.36	18.84	27.44	51.35	7.11	11.13	10.0	8.13	29.48	4.17	8.25	18.03	8.78	145.02	119.26	51.71	171.45	206.94	187.71	237.86	111.99	341.51	71.5	159.9	61.68	108.14	297.17	74.06
SP1	1388.16	1378.57	529.06	432.53	228.13	226.54	220.32	183.82	167.9	127.0	305.55	144.01	142.01	229.72	178.77	191.67	161.02	128.79	197.09	242.88	309.83	551.56	325.29	339.14	660.68	669.92	764.36	775.05	571.05	884.29	444.72	947.83	583.07	507.46	890.44	381.68
SPECC1L	947.83	656.11	208.38	265.87	170.25	182.55	264.03	153.34	178.77	193.01	441.64	159.9	122.64	275.28	125.24	202.66	125.24	193.01	182.55	208.38	212.78	381.68	297.17	231.32	587.13	540.19	473.41	819.3	620.67	813.63	253.23	551.56	395.18	486.75	825.0	291.04
SS18	1883.54	1457.23	620.67	567.1	612.11	406.31	376.41	303.44	363.56	327.56	412.0	249.73	332.14	595.34	718.08	540.19	341.51	547.75	412.0	490.14	379.04	764.36	571.05	536.45	1225.22	981.29	842.36	902.89	934.76	842.36	414.87	884.29	842.36	743.43	1477.58	633.73
STAM2	854.13	529.06	154.42	151.22	127.0	115.97	101.54	80.57	104.42	102.97	112.77	106.63	49.91	127.89	72.52	73.03	133.36	104.42	123.5	102.97	114.36	273.37	323.03	309.83	356.05	397.93	392.44	371.22	373.81	441.64	218.79	444.72	336.79	258.57	497.0	275.28
