	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.W5X1.2326.SM.3GIL6	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.A4NV.01A.11R.A311.07	TCGA.ZS.A9CF.01A.11R.A38B.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.78.7156.01A.11R.2039.07	TCGA.78.7162.01A.21R.2066.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7633.01A.11R.2066.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.145MF.0726.SM.5Q5BT	GTEX.OXRK.0926.SM.2HMKP	GTEX.12BJ1.1226.SM.5LUAE	GTEX.OHPM.2626.SM.33HC5
CARF	146.03	125.24	239.52	211.31	241.19	38.95	80.57	35.0	41.81	50.27	32.82	17.64	22.1	26.86	22.43	19.97	42.11	23.42	32.13	35.0	26.47	56.28	24.46	10.08	25.91	16.39	42.11	16.27	59.55	52.08	31.22	47.17	46.18	45.21	17.77	27.64	43.63	47.5	70.51	16.15	9.78	43.94	12.0	22.26	22.26	43.94	24.28	13.22	28.86	32.13	22.43	43.32	15.22	26.47	22.43	36.27	31.0	16.75	16.39	42.11	37.32	57.08	40.07	78.34	59.55	23.59	47.5	25.54	42.11	29.48	59.55	26.86	50.63	35.76	36.79	40.93	40.36	38.95	162.14	68.07	113.56	62.56	58.71	118.43	183.82	149.12	199.85	187.71	103.69	105.15	182.55	189.02
CEP120	293.07	332.14	454.09	320.8	1023.0	127.0	199.85	120.1	68.55	90.77	73.03	78.89	60.82	48.52	43.32	48.18	96.68	66.18	74.06	78.34	67.12	123.5	46.5	45.21	86.43	55.89	111.99	76.17	141.02	89.51	55.89	61.25	122.64	88.88	60.82	62.56	217.27	183.82	248.0	53.57	50.63	105.89	36.53	69.03	44.89	80.01	132.44	49.56	24.63	94.67	88.88	100.83	47.5	52.45	73.54	75.64	73.54	42.71	44.25	82.87	76.71	134.3	66.65	131.51	151.22	43.63	144.01	55.1	175.07	58.71	117.6	64.34	73.03	122.64	107.38	90.77	102.25	78.34	126.12	151.22	131.51	141.02	150.17	406.31	450.94	392.44	414.87	346.29	231.32	334.46	389.72	329.84
CLCN3	1135.2	961.07	988.12	1369.04	884.29	262.2	497.0	400.71	256.78	718.08	301.33	148.09	156.59	169.07	90.14	126.12	180.02	236.21	99.43	316.37	81.14	417.77	220.32	98.73	102.97	118.43	320.8	262.2	239.52	246.28	144.01	145.02	361.04	332.14	96.01	118.43	277.2	283.05	353.59	237.86	232.94	228.13	129.69	157.68	204.07	269.6	279.14	150.17	211.31	343.89	193.01	249.73	209.84	175.07	195.72	343.89	255.0	102.25	191.67	205.5	234.57	158.79	299.25	547.75	275.28	217.27	159.9	185.11	954.43	118.43	169.07	205.5	208.38	142.01	346.29	143.01	366.09	629.35	830.75	529.06	395.18	595.34	1233.75	473.41	450.94	497.0	511.0	497.0	358.54	620.67	769.69	698.41
COL4A3BP	638.15	486.75	595.34	981.29	1407.55	215.77	438.59	291.04	237.86	209.84	248.0	189.02	124.37	150.17	127.89	149.12	229.72	172.65	176.29	178.77	172.65	379.04	211.31	113.56	141.02	135.24	209.84	191.67	303.44	162.14	172.65	177.53	206.94	209.84	124.37	190.34	358.54	343.89	267.73	146.03	142.01	264.03	123.5	211.31	229.72	212.78	275.28	112.77	199.85	271.48	128.79	244.57	181.28	180.02	151.22	237.86	237.86	84.63	170.25	226.54	172.65	318.57	262.2	297.17	255.0	166.73	236.21	285.03	624.99	181.28	167.9	172.65	256.78	194.36	289.02	150.17	397.93	529.06	366.09	363.56	303.44	332.14	536.45	651.58	414.87	457.25	563.18	521.76	607.87	1417.35	753.83	1322.37
CSNK1G3	624.99	693.58	708.18	521.76	769.69	236.21	400.71	212.78	165.57	211.31	209.84	186.4	123.5	208.38	164.42	173.85	226.54	172.65	106.63	281.09	189.02	275.28	173.85	100.83	164.42	183.82	258.57	214.27	332.14	161.02	220.32	177.53	224.97	260.38	115.97	208.38	289.02	447.82	363.56	91.41	143.01	262.2	110.43	162.14	242.88	194.36	237.86	114.36	82.29	289.02	140.04	262.2	130.6	122.64	127.0	262.2	226.54	138.1	167.9	217.27	201.25	237.86	180.02	251.48	327.56	185.11	190.34	239.52	447.82	281.09	190.34	142.01	149.12	189.02	256.78	303.44	224.97	209.84	341.51	318.57	264.03	371.22	423.61	493.56	412.0	457.25	753.83	476.71	490.14	447.82	387.02	423.61
DCAF5	860.08	688.78	825.0	698.41	988.12	389.72	543.96	441.64	353.59	500.46	559.28	329.84	400.71	348.71	183.82	205.5	341.51	435.55	536.45	454.09	454.09	444.72	409.15	244.57	253.23	226.54	483.38	204.07	575.03	234.57	356.05	376.41	356.05	361.04	293.07	343.89	368.65	447.82	457.25	289.02	303.44	336.79	253.23	299.25	214.27	447.82	435.55	307.69	353.59	392.44	236.21	368.65	223.41	397.93	293.07	536.45	470.14	361.04	271.48	417.77	368.65	435.55	420.68	620.67	426.57	279.14	251.48	438.59	397.93	363.56	253.23	358.54	341.51	316.37	444.72	376.41	444.72	441.64	525.39	486.75	647.07	417.77	397.93	819.3	764.36	575.03	753.83	769.69	1001.93	543.96	748.61	595.34
DDX6	1540.37	1350.18	1639.59	1540.37	1991.0	239.52	595.34	273.37	201.25	256.78	389.72	173.85	59.97	176.29	71.5	126.12	271.48	221.86	173.85	193.01	173.85	426.57	211.31	54.33	63.45	82.29	305.55	122.64	368.65	209.84	162.14	191.67	332.14	237.86	85.82	165.57	397.93	231.32	348.71	79.45	105.15	361.04	111.21	98.04	102.97	264.03	232.94	74.06	98.04	273.37	108.14	379.04	186.4	135.24	70.51	265.87	295.11	113.56	71.5	155.5	121.79	366.09	336.79	603.67	325.29	140.04	316.37	156.59	571.05	100.13	172.65	107.38	223.41	132.44	395.18	212.78	325.29	665.29	753.83	753.83	728.11	693.58	819.3	764.36	624.99	961.07	1051.79	802.41	1208.34	1322.37	2032.85	753.83
DMXL1	529.06	647.07	780.44	470.14	1001.93	170.25	323.03	236.21	159.9	358.54	173.85	205.5	105.15	131.51	144.01	115.16	226.54	154.42	136.19	205.5	173.85	242.88	134.3	135.24	181.28	122.64	181.28	157.68	305.55	171.45	181.28	217.27	154.42	208.38	260.38	125.24	229.72	316.37	329.84	107.38	105.15	248.0	92.7	158.79	206.94	158.79	246.28	127.0	76.17	246.28	138.1	191.67	251.48	89.51	139.07	307.69	158.79	149.12	128.79	206.94	253.23	248.0	234.57	295.11	232.94	106.63	204.07	144.01	229.72	175.07	110.43	136.19	80.01	178.77	125.24	142.01	176.29	91.41	285.03	223.41	234.57	236.21	297.17	242.88	395.18	348.71	909.17	320.8	674.59	218.79	961.07	579.04
DYRK1A	1135.2	854.13	947.83	1397.83	1096.5	239.52	476.71	348.71	220.32	409.15	358.54	190.34	162.14	295.11	135.24	178.77	236.21	193.01	301.33	241.19	271.48	414.87	265.87	103.69	177.53	165.57	312.0	142.01	400.71	170.25	262.2	244.57	185.11	264.03	281.09	127.0	232.94	384.34	412.0	159.9	177.53	299.25	145.02	151.22	186.4	316.37	334.46	146.03	190.34	273.37	215.77	392.44	215.77	183.82	214.27	275.28	249.73	187.71	123.5	212.78	190.34	395.18	332.14	629.35	395.18	121.79	215.77	244.57	420.68	122.64	190.34	139.07	212.78	195.72	275.28	159.9	381.68	463.65	684.02	587.13	651.58	420.68	551.56	961.07	934.76	878.17	1216.75	1051.79	612.11	775.05	1191.69	878.17
EEA1	329.84	336.79	307.69	314.17	743.43	61.25	121.79	118.43	104.42	142.01	100.13	65.72	30.12	53.95	40.64	46.5	78.89	63.45	56.28	48.18	63.89	114.36	73.54	40.64	35.25	66.65	94.67	56.28	122.64	84.04	60.39	58.3	70.51	60.82	84.04	65.26	74.58	82.29	180.02	36.53	48.52	122.64	29.91	36.53	67.12	87.03	82.29	46.18	47.84	78.89	56.68	85.22	57.08	42.11	50.27	92.7	76.17	50.98	35.76	76.17	60.39	111.21	65.72	132.44	143.01	43.02	55.1	67.12	173.85	43.63	50.27	60.82	46.5	60.82	63.89	81.14	81.14	77.79	129.69	94.01	82.29	86.43	104.42	251.48	178.77	181.28	275.28	228.13	218.79	142.01	339.14	239.52
EPHX1	13033.07	7433.4	4419.52	7485.11	5112.16	113315.62	81244.48	116501.39	97288.74	30572.63	103551.29	81809.59	128373.58	77934.88	66449.85	90146.51	102836.01	116501.39	94628.34	107948.72	100023.92	109455.64	79022.82	72715.74	68318.04	85283.74	58250.19	87075.75	107948.72	81809.59	102125.66	109455.64	109455.64	190574.09	117311.73	116501.39	159145.95	38164.99	43840.21	95286.54	135693.24	144427.91	87075.75	159145.95	92040.7	108699.57	104271.56	55877.28	118127.7	103551.29	88291.3	127486.83	121448.75	145432.49	89523.81	108699.57	85876.94	71714.63	87075.75	91404.92	167058.21	125731.67	110983.6	43236.64	42937.97	69753.56	89523.81	111755.56	165904.25	258533.99	169390.27	236256.4	97288.74	119776.72	208544.12	147462.67	68793.23	506427.83	38697.77	38966.94	29531.18	34158.52	50359.33	33688.23	45386.27	27938.14	17437.64	20737.16	46019.85	26431.04	8479.89	10512.82
ERBB2IP	1143.1	1498.22	1467.37	759.08	1991.0	536.45	660.68	497.0	334.46	551.56	540.19	473.41	283.05	348.71	177.53	264.03	497.0	312.0	341.51	389.72	336.79	511.0	312.0	191.67	163.28	226.54	486.75	293.07	579.04	258.57	339.14	343.89	336.79	555.41	314.17	356.05	718.08	480.04	728.11	242.88	269.6	518.15	223.41	285.03	273.37	368.65	525.39	158.79	323.03	567.1	258.57	444.72	460.44	277.2	267.73	547.75	403.5	127.0	249.73	476.71	400.71	591.22	507.46	567.1	551.56	209.84	275.28	343.89	551.56	305.55	264.03	271.48	166.73	223.41	275.28	271.48	234.57	241.19	836.53	583.07	571.05	575.03	775.05	629.35	638.15	866.07	1407.55	928.3	769.69	780.44	1051.79	1295.13
ERCC4	281.09	271.48	293.07	124.37	743.43	40.36	78.34	42.11	38.12	79.45	44.89	41.81	30.12	32.13	17.0	31.0	21.16	39.5	31.45	33.06	21.01	65.72	40.36	22.59	23.93	18.56	45.53	39.22	38.12	27.44	28.86	28.45	66.65	53.95	44.57	32.82	29.27	63.0	49.21	22.1	63.0	37.05	16.27	21.94	24.46	38.95	54.33	22.75	29.48	40.36	29.7	75.11	28.45	27.05	24.28	49.21	59.13	29.27	17.77	39.5	46.5	74.58	22.1	93.35	66.18	39.22	33.78	38.67	75.64	33.06	29.7	28.65	29.06	28.86	44.57	20.56	41.81	69.52	100.83	73.54	58.3	59.97	67.59	77.79	77.25	100.83	114.36	77.79	67.12	92.05	212.78	86.43
EXOC5	915.51	713.11	878.17	647.07	2303.12	180.02	346.29	253.23	189.02	312.0	185.11	149.12	119.26	163.28	111.21	122.64	140.04	163.28	164.42	143.01	143.01	265.87	167.9	90.14	105.15	130.6	237.86	100.83	325.29	153.34	153.34	100.83	181.28	148.09	195.72	158.79	327.56	226.54	232.94	112.77	150.17	291.04	94.01	121.79	177.53	178.77	303.44	95.34	108.14	186.4	129.69	273.37	81.14	120.94	99.43	218.79	183.82	130.6	108.14	173.85	111.21	295.11	220.32	376.41	256.78	102.25	122.64	127.0	406.31	186.4	126.12	111.99	141.02	134.3	309.83	144.01	303.44	248.0	287.01	339.14	295.11	279.14	314.17	947.83	616.37	612.11	941.27	860.08	441.64	529.06	753.83	447.82
FAM172A	483.38	616.37	486.75	567.1	1030.12	128.79	244.57	115.97	81.14	132.44	117.6	53.95	99.43	59.97	55.89	70.01	152.28	104.42	89.51	68.07	90.14	155.5	169.07	52.45	46.84	48.87	123.5	56.68	123.5	95.34	94.01	60.82	137.14	118.43	69.03	92.7	215.77	137.14	113.56	56.68	52.08	119.26	70.51	75.64	105.89	166.73	163.28	70.01	55.89	94.67	99.43	190.34	116.78	60.39	80.57	98.73	77.25	36.27	89.51	127.0	93.35	194.36	150.17	183.82	71.5	83.45	60.82	47.17	99.43	57.08	43.63	69.52	23.42	42.11	80.01	32.82	96.68	63.45	157.68	177.53	186.4	211.31	265.87	514.56	343.89	381.68	503.95	397.93	356.05	215.77	738.29	379.04
