	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A4OF.11A.12R.A260.31	GTEX.11UD2.1526.SM.5EQLQ	GTEX.RU72.0726.SM.46MUW	GTEX.YFC4.1226.SM.5LU9R	GTEX.WQUQ.1626.SM.4OOSH	GTEX.UPK5.1226.SM.4IHL8	GTEX.13X6K.2126.SM.5O9D4	GTEX.QESD.0726.SM.4R1KQ	GTEX.SNOS.0726.SM.4DM5Z	GTEX.ZT9W.1226.SM.57WE4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13OVI.2526.SM.5KM4V	GTEX.ZP4G.1926.SM.57WDZ
DHCR24	9279.58	6792.79	3280.18	237.86	9151.82	7230.1	10084.54	6607.01	5403.7	191.67	497.0	97.36	190.34	409.15	11909.94
DHCR7	2240.11	1199.98	305.55	211.31	808.0	1183.45	693.58	679.29	540.19	128.79	139.07	88.88	223.41	139.07	2133.97
DOLPP1	409.15	371.22	348.71	88.26	518.15	529.06	638.15	532.74	316.37	110.43	110.43	40.93	158.79	79.45	514.56
EIF4G1	7966.99	7130.55	5403.7	6207.38	6250.56	7433.4	8598.28	6426.31	5183.54	7803.01	4123.49	4450.27	3820.7	4419.52	12329.98
FAM117B	145.02	356.05	98.04	34.75	260.38	265.87	154.42	155.5	121.79	25.72	50.27	44.25	56.28	72.01	373.81
FAM212A	1208.34	1216.75	47.5	45.85	361.04	493.56	511.0	551.56	190.34	65.72	82.29	30.12	189.02	69.52	684.02
FKBP1A	4903.87	4639.29	4450.27	4298.64	5872.48	6294.04	4543.8	3395.89	4419.52	4298.64	4419.52	2875.3	3280.18	1991.0	4481.23
FKBPL	490.14	273.37	120.1	88.88	251.48	293.07	277.2	202.66	154.42	78.34	123.5	117.6	71.5	97.36	688.78
G6PD	1313.23	947.83	753.83	417.77	1529.73	1733.13	1594.73	1350.18	1286.18	329.84	612.11	406.31	457.25	454.09	6164.49
GSTP1	150561.19	280957.98	14262.1	8134.41	44452.21	55491.3	58250.19	56265.94	41188.81	7280.4	9409.14	8718.32	9279.58	9215.48	108699.57
HIST1H2BK	18689.27	1963.57	1175.27	395.18	909.17	2682.69	2591.27	1832.01	1417.35	651.58	1081.39	591.22	665.29	825.0	4388.98
HSPB1	269512.87	229795.93	29531.18	16727.26	146444.06	256748.15	133825.1	190574.09	74243.68	18689.27	26067.14	17078.76	25530.66	19348.38	228208.61
IMP3	2976.74	1909.85	1008.9	392.44	1709.26	2018.8	1572.76	1159.07	1081.39	473.41	616.37	470.14	679.29	607.87	2451.44
JUP	119776.72	67377.47	3540.14	438.59	19618.49	24660.96	22850.48	18689.27	15715.58	460.44	1304.15	511.0	1008.9	713.11	54727.32
KCNK7	3039.3	813.63	45.21	102.25	403.5	775.05	567.1	366.09	314.17	27.84	28.65	22.26	57.08	63.45	1044.52
KRT5	4.3607468381E8	8.2510357921E8	896.64	66.65	200048.85	217400.14	142439.51	118949.35	102125.66	12.83	4704.07	20.71	81.14	42.41	447025.24
KRT6A	2.01760973986E9	2.41604469791E9	1111.82	50.98	115696.65	172949.54	64632.75	37639.55	54727.32	50.63	4328.55	10.55	112.77	25.54	887875.81
LAD1	46019.85	39785.74	5255.91	12.64	8901.53	12329.98	11189.6	7966.99	6294.04	10.39	229.72	6.52	27.44	13.32	19754.96
LHPP	791.35	703.28	470.14	567.1	759.08	915.51	785.88	872.1	547.75	587.13	361.04	285.03	642.59	211.31	941.27
LYPLA2	2664.15	1806.78	1757.34	1059.11	1794.29	2384.37	2209.26	1806.78	1639.59	860.08	1008.9	633.73	974.5	647.07	2133.97
MAPK13	2777.33	1936.53	1794.29	166.73	2520.38	2976.74	2796.65	2075.59	1674.06	130.6	237.86	96.01	183.82	99.43	4298.64
MAPKAPK3	1529.73	1369.04	848.22	518.15	1572.76	1216.75	1519.15	1295.13	848.22	547.75	532.74	417.77	518.15	563.18	2271.4
MED11	693.58	1015.93	660.68	295.11	775.05	854.13	884.29	738.29	571.05	320.8	503.95	395.18	514.56	305.55	842.36
MPDU1	2240.11	2485.67	1427.22	376.41	1628.26	1407.55	1781.89	1617.0	1044.52	665.29	878.17	392.44	503.95	384.34	2018.8
MSMO1	7180.15	3901.01	656.11	149.12	2018.8	4481.23	2468.49	1628.26	1519.15	201.25	329.84	177.53	293.07	181.28	4802.93
NAGK	13306.94	6652.97	1572.76	961.07	5041.77	8134.41	8479.89	5711.87	4512.4	934.76	1745.2	1242.34	1709.26	878.17	8718.32
NMU	3820.7	5329.3	151.22	0.0	2645.74	3124.78	2520.38	1936.53	1991.0	0.0	54.72	0.0	3.17	4.13	5995.9
NSFL1C	3540.14	3589.58	1322.37	808.0	1870.53	2287.2	2178.83	1745.2	1909.85	1119.56	1259.69	1277.29	1191.69	1519.15	3901.01
