	GTEX.13OVI.1126.SM.5KLZF	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.ET.A3DR.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A3UU.01A.11R.A22L.07
BCL7A	483.38	53.57	41.81	98.73	69.52	94.67	100.13	47.5	70.01	78.34	47.84	53.95	100.13	85.82	532.74	318.57	387.02	400.71	336.79	397.93	366.09	403.5	409.15	371.22	366.09	420.68	343.89
BMPR1A	432.53	38.95	57.49	69.03	55.89	129.69	138.1	25.35	51.71	65.26	82.29	47.5	52.45	106.63	387.02	191.67	241.19	264.03	201.25	260.38	246.28	441.64	218.79	241.19	169.07	293.07	297.17
C6orf89	1268.46	417.77	518.15	514.56	397.93	521.76	638.15	420.68	389.72	723.08	547.75	483.38	403.5	457.25	1008.9	759.08	878.17	830.75	642.59	890.44	921.88	1051.79	947.83	947.83	674.59	934.76	884.29
CCDC6	483.38	108.14	120.94	118.43	108.9	80.01	155.5	155.5	180.02	145.02	241.19	116.78	229.72	226.54	525.39	409.15	483.38	457.25	241.19	507.46	291.04	567.1	450.94	297.17	438.59	607.87	473.41
CEP104	336.79	84.04	148.09	105.89	161.02	152.28	199.85	89.51	169.07	260.38	141.02	115.16	220.32	120.1	435.55	234.57	384.34	253.23	178.77	376.41	256.78	303.44	392.44	229.72	193.01	376.41	244.57
CHD2	974.5	269.6	387.02	157.68	215.77	150.17	269.6	339.14	291.04	189.02	234.57	251.48	289.02	303.44	860.08	638.15	708.18	902.89	748.61	928.3	620.67	1037.29	866.07	733.19	607.87	1037.29	836.53
CHD6	559.28	72.01	107.38	105.89	70.51	114.36	101.54	101.54	256.78	134.3	151.22	124.37	295.11	182.55	599.49	381.68	373.81	490.14	275.28	490.14	406.31	595.34	525.39	414.87	301.33	518.15	540.19
COPA	2417.67	872.1	866.07	909.17	665.29	954.43	1331.57	1015.93	921.88	1369.04	1096.5	642.59	713.11	854.13	1733.13	1551.09	1605.83	1572.76	1242.34	1628.26	1639.59	2240.11	2061.24	1844.76	1519.15	1977.24	1639.59
CREB3L2	941.27	177.53	206.94	112.77	115.16	88.26	108.9	85.82	183.82	158.79	95.34	155.5	147.06	175.07	1794.29	633.73	1096.5	1081.39	738.29	1135.2	1594.73	1331.57	981.29	860.08	698.41	1605.83	1167.14
DDX18	1167.14	361.04	309.83	314.17	368.65	332.14	624.99	334.46	381.68	567.1	476.71	256.78	255.0	441.64	830.75	551.56	738.29	660.68	616.37	660.68	764.36	1159.07	967.76	1023.0	500.46	775.05	775.05
DDX3X	4419.52	1487.87	1066.48	1259.69	808.0	796.86	1857.6	1073.91	1477.58	1081.39	1268.46	1081.39	1167.14	1119.56	3349.13	1651.0	2240.11	1936.53	1870.53	1923.14	2335.28	2255.7	2367.9	2004.85	1359.57	2796.65	1745.2
DDX52	265.87	108.14	110.43	104.42	128.79	112.77	162.14	51.71	145.02	159.9	153.34	124.37	134.3	180.02	420.68	323.03	291.04	327.56	241.19	343.89	316.37	435.55	295.11	208.38	277.2	334.46	353.59
DNAJC5	753.83	275.28	180.02	275.28	255.0	251.48	226.54	267.73	244.57	271.48	228.13	147.06	193.01	190.34	693.58	624.99	802.41	620.67	713.11	679.29	723.08	743.43	785.88	808.0	579.04	860.08	759.08
EDEM1	583.07	708.18	351.14	454.09	412.0	420.68	435.55	397.93	447.82	389.72	603.67	285.03	368.65	529.06	674.59	409.15	624.99	651.58	392.44	567.1	435.55	802.41	738.29	819.3	423.61	813.63	595.34
EFCAB14	2997.45	332.14	358.54	368.65	327.56	368.65	854.13	334.46	518.15	780.44	684.02	293.07	343.89	674.59	1216.75	902.89	1167.14	1175.27	988.12	1135.2	1037.29	1427.22	1832.01	1199.98	902.89	1407.55	1044.52
EIF2AK3	525.39	116.78	143.01	151.22	88.88	84.63	127.89	178.77	92.7	175.07	136.19	92.7	88.88	145.02	373.81	260.38	406.31	273.37	271.48	420.68	366.09	486.75	423.61	420.68	211.31	429.54	251.48
EMC1	607.87	169.07	198.47	229.72	236.21	249.73	480.04	204.07	214.27	420.68	271.48	341.51	307.69	244.57	529.06	379.04	493.56	417.77	426.57	470.14	387.02	525.39	669.92	463.65	463.65	521.76	441.64
ENOX2	214.27	60.39	50.63	73.03	29.27	57.49	75.64	33.78	31.22	74.58	63.45	43.94	44.89	63.89	120.94	102.97	144.01	108.9	85.22	125.24	83.45	146.03	131.51	115.16	107.38	176.29	115.97
ERCC4	109.66	17.0	33.78	25.91	52.45	29.7	52.08	28.86	18.56	44.57	61.68	20.56	29.06	45.85	111.99	52.45	86.43	78.34	47.84	66.65	76.71	100.13	89.51	97.36	57.89	76.17	91.41
FAM160B1	432.53	157.68	142.01	232.94	232.94	142.01	228.13	164.42	148.09	194.36	211.31	258.57	212.78	265.87	406.31	256.78	412.0	371.22	258.57	346.29	339.14	356.05	323.03	239.52	281.09	312.0	303.44
FBXW8	285.03	37.32	42.41	48.87	55.89	33.78	77.25	45.53	44.25	60.39	75.64	41.22	50.27	73.03	205.5	126.12	177.53	126.12	108.9	142.01	153.34	176.29	209.84	127.0	116.78	223.41	164.42
FNDC3B	1001.93	409.15	309.83	275.28	171.45	241.19	514.56	281.09	403.5	447.82	429.54	339.14	406.31	403.5	934.76	567.1	775.05	679.29	480.04	802.41	575.03	808.0	679.29	780.44	476.71	819.3	669.92
GANAB	5594.3	2573.36	3467.27	3372.43	2875.3	3820.7	4639.29	3060.45	3146.52	4704.07	3847.29	3372.43	3018.3	3639.7	3820.7	3540.14	3742.05	3716.2	3847.29	4181.07	4328.55	5112.16	4903.87	4903.87	3716.2	4736.79	4512.4
GBF1	693.58	177.53	148.09	279.14	197.09	221.86	329.84	239.52	217.27	403.5	229.72	239.52	190.34	262.2	775.05	620.67	808.0	808.0	607.87	854.13	651.58	1023.0	1015.93	769.69	660.68	860.08	819.3
GIGYF2	1225.22	98.73	120.1	156.59	124.37	116.78	289.02	161.02	206.94	182.55	182.55	110.43	232.94	248.0	693.58	463.65	599.49	616.37	518.15	629.35	521.76	728.11	780.44	603.67	441.64	616.37	563.18
GLG1	2609.3	376.41	563.18	567.1	420.68	450.94	1088.92	575.03	791.35	743.43	947.83	674.59	518.15	559.28	1950.0	1651.0	1447.15	1594.73	1295.13	1757.34	1594.73	2047.0	1745.2	1651.0	1540.37	1674.06	1674.06
GLYR1	1832.01	400.71	429.54	642.59	559.28	525.39	748.61	417.77	579.04	1030.12	651.58	466.88	483.38	738.29	1286.18	1088.92	1183.45	1143.1	1143.1	1135.2	1159.07	1340.84	1388.16	1457.23	988.12	1151.06	1225.22
GNB1	5366.37	2075.59	1769.57	1639.59	1191.69	1662.49	2133.97	1806.78	1427.22	2417.67	1977.24	1388.16	1199.98	1561.89	4181.07	3060.45	4268.94	3639.7	2976.74	3794.3	3564.78	3874.05	4481.23	3820.7	3039.3	4639.29	3303.0
GRID2IP	7.63	1.38	0.53	2.94	0.53	0.45	0.6	0.44	0.52	1.83	0.65	0.0	0.0	1.48	12.93	6.57	9.85	7.94	4.94	7.34	4.5	12.0	7.88	8.58	9.2	12.45	10.31
GTPBP1	642.59	299.25	381.68	212.78	162.14	209.84	185.11	242.88	341.51	183.82	206.94	392.44	336.79	211.31	791.35	688.78	825.0	825.0	728.11	941.27	591.22	860.08	967.76	759.08	638.15	961.07	848.22
HP1BP3	2367.9	555.41	1051.79	473.41	633.73	718.08	1143.1	708.18	1051.79	1242.34	909.17	947.83	981.29	884.29	3467.27	2193.99	2537.92	2976.74	2163.77	2319.15	2287.2	3235.01	3257.52	2645.74	2163.77	3349.13	2609.3
INO80	381.68	92.7	80.01	173.85	81.71	74.06	153.34	320.8	136.19	111.21	129.69	146.03	152.28	132.44	295.11	214.27	275.28	329.84	285.03	260.38	265.87	318.57	343.89	234.57	260.38	318.57	281.09
INPP4A	381.68	24.99	64.8	59.97	30.12	59.55	73.03	19.82	89.51	53.57	35.76	66.18	58.71	60.82	406.31	265.87	343.89	332.14	323.03	373.81	181.28	376.41	384.34	307.69	255.0	384.34	299.25
KAT6A	633.73	71.0	113.56	30.56	56.68	34.51	88.26	80.57	159.9	82.29	85.82	47.5	115.97	106.63	423.61	224.97	289.02	299.25	214.27	361.04	218.79	329.84	426.57	269.6	211.31	329.84	258.57
KDM5C	928.3	381.68	204.07	457.25	198.47	162.14	447.82	231.32	511.0	269.6	301.33	291.04	232.94	307.69	1437.15	1104.13	1151.06	1073.91	1044.52	1159.07	1096.5	1127.35	1073.91	1088.92	928.3	1359.57	1104.13
KDM6A	629.35	371.22	129.69	264.03	94.67	171.45	287.01	147.06	435.55	127.0	125.24	258.57	155.5	161.02	540.19	371.22	457.25	470.14	457.25	457.25	435.55	607.87	486.75	473.41	376.41	684.02	514.56
KIAA0753	269.6	31.9	42.41	22.75	31.45	28.86	48.52	12.64	64.34	42.41	56.28	32.59	90.77	85.82	281.09	244.57	234.57	253.23	267.73	273.37	253.23	269.6	248.0	273.37	187.71	285.03	275.28
LMO7	3419.52	878.17	587.13	764.36	819.3	1427.22	1143.1	1066.48	2468.49	1015.93	1561.89	1066.48	1023.0	1844.76	3639.7	2591.27	2520.38	3081.75	2434.5	3257.52	2119.22	3146.52	3146.52	2739.08	2384.37	3443.31	2468.49
MAML2	1051.79	15.34	43.32	9.41	16.27	12.0	26.28	55.1	42.71	22.26	38.67	32.59	37.32	53.95	376.41	205.5	223.41	314.17	181.28	255.0	303.44	291.04	325.29	231.32	195.72	303.44	197.09
MAPK8	872.1	320.8	379.04	368.65	262.2	297.17	802.41	460.44	400.71	470.14	660.68	305.55	447.82	629.35	723.08	532.74	669.92	612.11	532.74	684.02	603.67	599.49	620.67	507.46	406.31	616.37	486.75
MARCH8	1277.29	221.86	214.27	493.56	283.05	269.6	587.13	299.25	241.19	642.59	507.46	202.66	201.25	297.17	486.75	301.33	457.25	397.93	309.83	392.44	351.14	473.41	543.96	329.84	343.89	529.06	387.02
MCTP2	201.25	28.45	165.57	17.51	2.27	6.11	2.51	48.87	75.11	5.32	5.96	23.93	35.25	46.5	473.41	368.65	633.73	514.56	426.57	796.86	269.6	802.41	612.11	616.37	438.59	842.36	674.59
MED28	791.35	265.87	239.52	392.44	176.29	244.57	409.15	275.28	198.47	325.29	287.01	262.2	563.18	353.59	591.22	583.07	759.08	529.06	616.37	595.34	490.14	571.05	723.08	638.15	470.14	842.36	518.15
MFAP3	693.58	101.54	122.64	93.35	106.63	149.12	199.85	96.68	70.01	166.73	185.11	154.42	134.3	172.65	450.94	260.38	325.29	318.57	275.28	403.5	316.37	363.56	454.09	420.68	251.48	291.04	305.55
MKL2	587.13	43.94	73.54	68.07	35.5	35.5	147.06	25.91	70.51	56.68	102.97	55.49	67.12	100.83	389.72	209.84	239.52	293.07	204.07	299.25	248.0	381.68	387.02	258.57	205.5	323.03	283.05
MLLT10	563.18	264.03	301.33	264.03	264.03	255.0	353.59	279.14	285.03	194.36	255.0	195.72	275.28	353.59	521.76	400.71	493.56	547.75	507.46	514.56	463.65	480.04	567.1	387.02	366.09	438.59	470.14
MON1B	463.65	277.2	180.02	236.21	176.29	118.43	323.03	211.31	120.1	356.05	223.41	142.01	147.06	171.45	555.41	392.44	525.39	406.31	368.65	503.95	457.25	525.39	511.0	426.57	366.09	493.56	460.44
MTMR3	642.59	162.14	189.02	289.02	73.54	119.26	131.51	90.14	332.14	123.5	234.57	139.07	277.2	156.59	607.87	665.29	638.15	728.11	567.1	713.11	540.19	733.19	819.3	587.13	514.56	638.15	703.28
NAA50	2004.85	463.65	547.75	551.56	647.07	591.22	1304.15	708.18	547.75	1059.11	836.53	490.14	547.75	665.29	1135.2	848.22	995.0	819.3	633.73	1037.29	854.13	995.0	1088.92	890.44	679.29	974.5	713.11
NEDD4L	1628.26	351.14	158.79	96.01	177.53	129.69	159.9	297.17	651.58	90.77	309.83	595.34	187.71	171.45	967.76	307.69	470.14	607.87	269.6	587.13	547.75	629.35	633.73	454.09	332.14	884.29	450.94
NEO1	1322.37	71.5	125.24	206.94	94.01	133.36	444.72	165.57	209.84	218.79	242.88	177.53	164.42	214.27	551.56	309.83	450.94	470.14	323.03	414.87	532.74	540.19	638.15	409.15	329.84	703.28	373.81
NPLOC4	866.07	660.68	346.29	679.29	532.74	684.02	460.44	400.71	450.94	403.5	476.71	389.72	356.05	363.56	854.13	759.08	836.53	819.3	764.36	674.59	780.44	1127.35	909.17	813.63	669.92	1008.9	878.17
NR2C2	511.0	75.11	59.97	29.06	43.63	24.46	33.3	33.06	43.32	30.34	60.39	68.07	59.55	53.57	334.46	186.4	201.25	256.78	155.5	265.87	167.9	316.37	356.05	195.72	156.59	346.29	262.2
NRK	26.28	0.21	0.3	1.5	0.3	0.6	1.73	0.0	0.0	0.0	4.54	0.74	1.11	1.41	66.18	14.03	9.41	5.23	3.86	18.29	6.73	61.68	3.03	12.18	13.12	128.79	29.91
NUP98	884.29	511.0	638.15	486.75	529.06	356.05	620.67	575.03	629.35	567.1	660.68	642.59	454.09	470.14	1081.39	934.76	1051.79	896.64	802.41	1037.29	813.63	1111.82	1143.1	915.51	866.07	1268.46	909.17
NYNRIN	379.04	25.54	41.22	185.11	152.28	11.73	49.21	376.41	59.13	114.36	86.43	46.18	241.19	403.5	420.68	409.15	248.0	409.15	182.55	320.8	323.03	389.72	323.03	444.72	316.37	660.68	532.74
OTUD7B	514.56	148.09	123.5	120.94	132.44	73.54	291.04	85.22	104.42	291.04	157.68	73.54	97.36	118.43	295.11	170.25	258.57	241.19	162.14	285.03	164.42	332.14	293.07	220.32	199.85	438.59	341.51
P2RY2	34.02	35.25	136.19	93.35	47.5	9.63	65.72	49.21	18.43	52.45	30.56	45.21	72.01	57.89	363.56	163.28	356.05	214.27	137.14	371.22	295.11	307.69	234.57	205.5	191.67	429.54	277.2
PARD3B	191.67	29.06	66.18	22.92	29.48	37.85	78.89	18.97	127.89	74.06	85.82	105.89	94.67	86.43	177.53	92.7	125.24	157.68	110.43	145.02	149.12	152.28	229.72	120.94	96.01	124.37	133.36
PBRM1	780.44	115.97	120.94	82.29	71.5	122.64	209.84	127.0	122.64	143.01	187.71	80.01	138.1	180.02	503.95	299.25	379.04	381.68	275.28	397.93	387.02	466.88	511.0	366.09	255.0	397.93	341.51
PCDHA7	16.88	0.0	3.08	0.0	0.0	0.0	2.07	1.71	7.28	0.95	3.53	0.0	3.06	0.0	4.54	2.76	4.06	4.39	1.07	2.78	2.29	19.53	3.86	3.56	3.56	21.78	8.78
PHACTR2	435.55	61.25	92.05	32.59	43.94	33.54	87.65	37.85	103.69	56.28	127.89	65.26	126.12	112.77	563.18	262.2	299.25	420.68	212.78	406.31	348.71	490.14	591.22	366.09	269.6	563.18	334.46
PIK3CA	759.08	97.36	90.77	65.26	74.58	108.14	88.88	78.34	111.99	118.43	116.78	72.52	87.03	96.01	426.57	163.28	264.03	246.28	141.02	314.17	191.67	283.05	289.02	246.28	153.34	301.33	182.55
PIP5K1A	674.59	206.94	242.88	150.17	265.87	215.77	147.06	343.89	336.79	133.36	287.01	182.55	275.28	361.04	872.1	669.92	743.43	607.87	603.67	612.11	825.0	698.41	759.08	624.99	470.14	902.89	638.15
PLAGL2	152.28	22.92	36.79	63.45	49.56	40.93	49.21	43.02	39.79	39.22	49.56	72.01	45.85	55.49	130.6	117.6	153.34	149.12	90.77	169.07	97.36	197.09	134.3	121.79	144.01	285.03	191.67
PLEKHM2	764.36	253.23	249.73	346.29	237.86	232.94	305.55	309.83	206.94	346.29	334.46	242.88	152.28	228.13	759.08	825.0	1111.82	825.0	819.3	921.88	854.13	947.83	1073.91	890.44	928.3	1216.75	902.89
PNPLA8	603.67	351.14	209.84	195.72	229.72	249.73	346.29	307.69	234.57	289.02	281.09	189.02	209.84	325.29	392.44	325.29	368.65	384.34	301.33	414.87	406.31	473.41	395.18	346.29	293.07	432.53	329.84
POGK	842.36	150.17	77.25	97.36	91.41	64.34	185.11	84.63	82.29	155.5	167.9	85.82	112.77	150.17	423.61	329.84	435.55	426.57	323.03	490.14	373.81	454.09	473.41	361.04	351.14	470.14	379.04
POM121	633.73	205.5	153.34	255.0	281.09	309.83	287.01	397.93	277.2	260.38	281.09	182.55	281.09	305.55	493.56	351.14	409.15	417.77	392.44	444.72	447.82	447.82	463.65	414.87	303.44	536.45	392.44
POM121C	791.35	137.14	135.24	202.66	226.54	218.79	262.2	348.71	325.29	209.84	234.57	211.31	253.23	293.07	575.03	457.25	521.76	525.39	521.76	567.1	579.04	651.58	638.15	579.04	392.44	674.59	503.95
PPP1R12A	1066.48	132.44	176.29	87.65	122.64	117.6	167.9	74.06	249.73	117.6	172.65	147.06	195.72	258.57	780.44	507.46	497.0	583.07	423.61	579.04	529.06	842.36	842.36	688.78	426.57	571.05	547.75
PRDM11	158.79	13.22	32.82	43.32	12.18	18.16	38.12	10.39	43.63	36.53	31.67	31.45	49.21	63.0	183.82	90.14	127.89	139.07	123.5	135.24	115.97	150.17	195.72	145.02	91.41	178.77	127.0
PRDM4	909.17	63.45	75.11	102.97	72.52	40.36	127.0	92.05	76.17	74.58	159.9	72.01	67.12	57.89	348.71	275.28	281.09	297.17	281.09	309.83	305.55	384.34	371.22	325.29	264.03	441.64	301.33
PTPN14	348.71	6.41	20.56	5.32	7.11	1.68	4.9	6.73	11.13	7.94	10.55	6.16	15.91	52.82	305.55	139.07	164.42	265.87	164.42	197.09	197.09	249.73	237.86	177.53	107.38	293.07	147.06
PTPRA	1757.34	343.89	417.77	389.72	239.52	483.38	669.92	336.79	351.14	486.75	579.04	291.04	260.38	400.71	1561.89	1388.16	1594.73	1685.71	1407.55	1844.76	1259.69	1883.54	2004.85	1832.01	1167.14	1628.26	1447.15
RAPGEF2	2119.22	271.48	258.57	483.38	289.02	269.6	974.5	368.65	420.68	733.19	728.11	281.09	277.2	563.18	995.0	441.64	521.76	567.1	417.77	536.45	688.78	825.0	748.61	723.08	400.71	743.43	575.03
RBMS2	551.56	44.89	68.07	29.48	33.06	37.05	52.08	39.22	56.68	57.49	77.25	47.84	30.34	39.5	884.29	500.46	607.87	595.34	373.81	693.58	490.14	884.29	909.17	536.45	563.18	612.11	638.15
REL	281.09	17.25	115.97	14.14	14.78	26.86	39.5	62.56	90.14	17.9	32.82	68.55	57.89	59.97	112.77	49.21	118.43	65.72	23.59	103.69	40.93	94.01	59.97	50.98	37.59	127.0	74.06
RIMS3	93.35	5.32	2.81	7.17	4.24	0.6	5.87	1.62	3.23	7.63	5.63	5.54	2.76	4.74	13.83	19.68	34.75	21.47	20.86	27.05	17.38	35.5	31.9	21.47	15.22	70.51	29.91
ROCK1	753.83	127.89	231.32	82.29	121.79	92.05	262.2	118.43	204.07	119.26	116.78	119.26	194.36	228.13	503.95	384.34	387.02	490.14	295.11	483.38	329.84	521.76	511.0	500.46	287.01	423.61	395.18
RP11-849F2.7	16.88	4.13	2.94	0.0	0.0	1.89	0.0	2.27	1.62	3.59	5.23	0.0	1.17	0.0	6.52	3.63	4.43	2.66	3.08	1.68	2.89	7.11	2.86	1.31	1.64	8.13	1.0
RPS6KA2	974.5	80.57	54.72	90.14	84.04	115.16	120.1	57.89	38.12	139.07	135.24	30.78	25.35	31.22	1447.15	825.0	1208.34	1447.15	854.13	1350.18	1111.82	1572.76	1477.58	1199.98	941.27	1388.16	1685.71
RPS6KA6	182.55	1.6	6.89	5.5	0.67	1.1	2.86	4.03	7.94	14.03	6.41	0.01	12.45	10.0	56.28	22.26	37.05	41.22	35.5	48.18	57.49	59.13	50.63	31.22	23.42	55.49	49.91
SASH1	656.11	56.68	77.79	47.17	51.35	45.85	133.36	111.21	144.01	104.42	138.1	42.11	43.02	89.51	651.58	289.02	563.18	435.55	358.54	633.73	866.07	713.11	607.87	417.77	295.11	718.08	540.19
SDE2	435.55	109.66	150.17	115.97	137.14	132.44	215.77	158.79	136.19	155.5	218.79	136.19	118.43	162.14	325.29	232.94	273.37	293.07	215.77	255.0	231.32	215.77	237.86	237.86	175.07	246.28	223.41
SLC35E2	162.14	22.75	21.16	29.91	22.26	10.79	21.32	15.11	13.83	67.12	26.47	7.17	12.18	31.9	202.66	77.79	114.36	63.0	53.57	101.54	85.22	199.85	165.57	108.14	132.44	277.2	123.5
SLC39A6	1870.53	110.43	127.89	198.47	198.47	129.69	563.18	327.56	191.67	291.04	483.38	135.24	171.45	417.77	954.43	638.15	928.3	759.08	688.78	890.44	753.83	1051.79	1135.2	981.29	656.11	1088.92	656.11
SPATA32	5.68	2.25	2.12	1.22	0.82	0.0	0.0	3.08	0.82	0.4	0.0	0.0	0.0	0.0	7.34	8.51	6.89	8.51	2.48	4.86	4.35	4.03	6.46	7.06	3.72	11.04	9.41
SRGAP3	155.5	11.3	45.53	29.48	32.13	25.91	42.71	28.04	29.7	72.52	39.5	27.25	10.96	48.52	325.29	232.94	281.09	223.41	208.38	191.67	126.12	271.48	249.73	120.1	220.32	470.14	241.19
STAT3	2451.44	2018.8	1191.69	1769.57	567.1	1268.46	2119.22	802.41	1111.82	1909.85	1832.01	1175.27	1909.85	1519.15	2163.77	1819.35	2573.36	2163.77	2032.85	2573.36	1844.76	3103.19	3081.75	2720.15	1832.01	3982.99	2555.58
SWAP70	1397.83	82.29	180.02	91.41	33.54	61.68	125.24	87.65	120.1	149.12	187.71	94.01	93.35	143.01	713.11	460.44	688.78	713.11	406.31	723.08	638.15	836.53	769.69	591.22	463.65	947.83	642.59
SYNRG	759.08	113.56	201.25	201.25	115.16	79.45	186.4	102.25	289.02	175.07	186.4	199.85	215.77	253.23	426.57	358.54	361.04	373.81	258.57	353.59	277.2	426.57	460.44	336.79	253.23	423.61	368.65
TACC1	4802.93	206.94	775.05	117.6	146.03	170.25	264.03	166.73	728.11	209.84	400.71	271.48	295.11	356.05	2224.63	974.5	1167.14	1023.0	629.35	1175.27	1685.71	1745.2	1277.29	988.12	769.69	1950.0	1277.29
TADA2B	624.99	229.72	214.27	248.0	248.0	195.72	329.84	181.28	120.1	269.6	205.5	181.28	187.71	256.78	314.17	260.38	348.71	320.8	273.37	341.51	275.28	429.54	406.31	318.57	275.28	392.44	297.17
