	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.UY.A9PB.01A.11R.A38B.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A18F.01A.11R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ZG.A9MC.01A.31R.A41O.07
DCDC1	2.73	2.51	52.08	9.06	31.22	9.27	32.59	95.34	336.79	0.0	0.67	1.23	0.0	0.0	5.63
DCTN6	521.76	460.44	1208.34	629.35	1427.22	733.19	748.61	595.34	698.41	417.77	473.41	595.34	0.0	0.74	656.11
EHF	1896.65	46.84	3491.39	353.59	2627.46	1628.26	2004.85	6381.92	14065.74	532.74	281.09	215.77	860.08	503.95	1685.71
ELP3	231.32	244.57	723.08	376.41	693.58	466.88	796.86	128.79	1277.29	151.22	339.14	339.14	0.0	0.28	395.18
EMB	48.18	312.0	890.44	211.31	432.53	320.8	616.37	397.93	423.61	47.17	140.04	185.11	0.0	0.66	454.09
ENPP5	5.92	61.68	1015.93	128.79	2255.7	603.67	2193.99	10733.74	18304.63	0.43	34.51	49.91	0.0	0.29	633.73
ENTPD4	234.57	183.82	1037.29	305.55	764.36	366.09	559.28	514.56	229.72	191.67	214.27	193.01	0.0	0.62	423.61
FAM86B1	17.13	57.89	194.36	129.69	153.34	151.22	540.19	265.87	59.97	5.68	28.45	39.79	0.0	0.3	58.3
FAM86B2	0.0	7.22	16.15	7.34	24.99	23.93	36.53	16.75	28.24	0.0	0.0	2.61	0.0	0.0	0.83
FBXO25	234.57	336.79	1044.52	463.65	878.17	480.04	656.11	629.35	392.44	305.55	371.22	371.22	0.0	0.47	708.18
FDFT1	1508.65	947.83	3443.31	1457.23	3874.05	1977.24	3665.02	2935.74	2119.22	1127.35	1127.35	1572.76	0.0	0.53	1769.57
FRMD4B	297.17	139.07	444.72	246.28	351.14	199.85	480.04	2061.24	1870.53	122.64	181.28	161.02	0.0	0.52	389.72
FUT10	40.36	41.52	114.36	64.34	107.38	81.14	194.36	115.97	178.77	20.71	48.52	35.0	0.0	0.23	71.0
GALNT10	273.37	629.35	1268.46	463.65	1447.15	1628.26	1963.57	1242.34	3928.15	102.97	244.57	220.32	0.0	0.61	656.11
GPCPD1	161.02	182.55	660.68	323.03	536.45	180.02	638.15	884.29	1104.13	185.11	128.79	187.71	0.0	0.61	249.73
HMBOX1	105.15	92.05	555.41	248.0	336.79	236.21	551.56	529.06	343.89	148.09	127.89	138.1	0.0	0.56	309.83
INTS9	175.07	195.72	500.46	273.37	379.04	295.11	353.59	256.78	403.5	206.94	211.31	190.34	0.0	0.6	314.17
IQGAP2	119.26	124.37	1781.89	291.04	1295.13	830.75	1477.58	3372.43	4836.35	50.63	55.89	44.89	0.0	0.49	435.55
KCTD9	158.79	208.38	819.3	318.57	802.41	303.44	674.59	518.15	423.61	197.09	232.94	297.17	0.0	0.59	273.37
LEPROTL1	708.18	591.22	1397.83	660.68	1044.52	733.19	934.76	718.08	1088.92	325.29	341.51	503.95	0.0	0.45	748.61
LONRF1	146.03	82.87	493.56	228.13	674.59	255.0	647.07	532.74	579.04	68.55	61.68	54.33	0.0	0.43	212.78
MCPH1	67.12	94.67	346.29	142.01	334.46	156.59	497.0	251.48	265.87	79.45	96.01	90.77	0.0	0.4	198.47
MTMR9	22.59	33.06	181.28	74.58	142.01	87.65	156.59	54.72	80.01	25.54	36.01	40.93	31.9	140.04	72.01
MTUS1	295.11	202.66	1721.16	660.68	1909.85	808.0	1096.5	1662.49	1175.27	381.68	327.56	339.14	921.88	251.48	1111.82
NEIL2	104.42	164.42	438.59	348.71	379.04	291.04	483.38	743.43	693.58	27.05	127.0	117.6	169.07	339.14	346.29
OSCP1	163.28	144.01	289.02	323.03	599.49	249.73	848.22	381.68	1757.34	50.27	102.97	107.38	0.0	0.0	346.29
PARD3B	14.89	8.78	186.4	87.65	141.02	93.35	223.41	115.16	106.63	1.73	5.96	6.67	0.0	0.31	175.07
PCM1	620.67	551.56	4038.61	1191.69	3614.55	1378.57	4181.07	2502.97	2627.46	674.59	679.29	842.36	0.0	0.99	1477.58
PPP2CB	884.29	909.17	2367.9	1111.82	3039.3	1313.23	1806.78	1295.13	1617.0	738.29	872.1	848.22	0.0	0.73	1216.75
PPP3CC	185.11	195.72	466.88	334.46	473.41	194.36	289.02	231.32	242.88	74.58	102.97	105.89	0.0	0.57	376.41
RBPMS	1088.92	764.36	2720.15	1519.15	2720.15	1936.53	1081.39	5041.77	4358.66	521.76	336.79	381.68	389.72	186.4	3018.3
SH2D4A	297.17	115.16	753.83	260.38	497.0	435.55	775.05	595.34	981.29	167.9	145.02	146.03	0.0	0.35	305.55
SIRT1	167.9	156.59	514.56	307.69	511.0	346.29	603.67	432.53	480.04	114.36	123.5	148.09	0.0	0.17	285.03
SLC2A13	14.03	20.71	78.34	40.93	236.21	75.64	44.89	134.3	209.84	5.68	71.0	72.01	0.0	0.39	43.32
SRGAP3	57.49	27.25	117.6	48.52	102.97	50.27	239.52	1073.91	753.83	28.04	113.56	98.73	0.0	0.0	102.25
TMEM66	2417.67	2178.83	8840.04	3443.31	10084.54	3665.02	11112.3	5913.33	10512.82	1191.69	1427.22	1233.75	0.0	0.8	4671.57
TMEM86A	64.8	90.14	248.0	209.84	301.33	199.85	454.09	171.45	178.77	34.26	62.56	72.52	0.0	0.13	103.69
TNFRSF10A	96.68	95.34	217.27	120.1	220.32	167.9	143.01	186.4	163.28	105.15	135.24	108.14	0.0	0.46	137.14
TNKS	61.68	57.08	514.56	144.01	426.57	199.85	417.77	316.37	921.88	44.25	68.07	66.18	55.1	44.57	153.34
TRIM35	111.21	94.67	209.84	205.5	191.67	156.59	228.13	182.55	295.11	104.42	146.03	194.36	127.89	87.03	164.42
TTI2	173.85	157.68	332.14	182.55	234.57	215.77	327.56	193.01	269.6	139.07	193.01	177.53	84.04	167.9	172.65
VIPR2	10.0	1.28	108.14	23.25	51.35	32.36	169.07	988.12	389.72	0.0	1.25	2.53	0.0	0.16	82.87
VPS37A	316.37	314.17	921.88	559.28	928.3	497.0	679.29	450.94	412.0	217.27	244.57	293.07	0.0	0.56	363.56
WFDC2	2573.36	1583.71	14163.58	3168.41	8538.88	1896.65	6426.31	1.736886224E7	2.009035788E7	81.71	796.86	31.0	0.0	0.65	5366.37
WRN	50.63	52.08	299.25	99.43	262.2	115.16	176.29	144.01	128.79	55.1	52.82	79.45	0.0	0.43	116.78
XPO7	403.5	291.04	1096.5	450.94	915.51	507.46	1059.11	764.36	748.61	265.87	289.02	309.83	0.0	0.82	444.72
ZBED3	21.01	20.11	209.84	92.05	169.07	139.07	186.4	161.02	191.67	4.21	49.91	66.65	0.0	0.14	142.01
ZMYND12	7.06	9.41	134.3	38.95	159.9	76.17	483.38	486.75	1883.54	1.87	3.0	3.66	0.0	0.0	79.45
ZNF277	327.56	251.48	511.0	305.55	470.14	267.73	603.67	403.5	571.05	182.55	208.38	228.13	0.0	0.35	409.15
ZNF395	180.02	220.32	1151.06	466.88	1286.18	647.07	1529.73	780.44	679.29	309.83	480.04	363.56	145.02	460.44	878.17
ZNF441	20.11	26.1	244.57	96.01	202.66	63.45	256.78	120.1	165.57	14.03	16.75	22.75	0.0	0.15	74.58
ZNF627	159.9	127.89	500.46	231.32	420.68	275.28	454.09	305.55	595.34	71.5	87.03	105.15	0.0	0.25	221.86
