	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.A2.A0D2.01A.21R.A034.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4566.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.52.7810.01A.11R.2125.07	TCGA.NC.A5HK.01A.11R.A26W.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	TCGA.BG.A3PP.01A.11R.A22K.07	TCGA.ND.A4WA.01A.12R.A28V.07	TCGA.NF.A4X2.01A.11R.A28V.07
CPO	2.61	0.3	0.0	1.55	0.33	1.85	0.0	0.13	4.7	0.0	0.49	1.68	15.91	12.64	14.35	21.63	24.81	24.46	31.45	20.11	28.24	21.94	10.47	31.0	22.92	10.16	12.64	13.72	10.39	14.45	13.93	32.36	14.67	15.11	14.14	52.45	32.82	14.56	9.41	16.51	25.54	16.03	28.45	7.88	21.78	20.71	16.15	23.25	0.0	1.69	0.0
CREBRF	34.51	20.11	64.34	61.68	61.25	47.84	0.0	0.34	57.89	41.52	26.28	82.29	483.38	279.14	312.0	397.93	389.72	346.29	336.79	441.64	318.57	264.03	381.68	384.34	307.69	314.17	312.0	406.31	397.93	264.03	297.17	275.28	285.03	400.71	327.56	285.03	329.84	341.51	447.82	435.55	454.09	281.09	463.65	271.48	366.09	231.32	291.04	318.57	100.83	96.01	17.25
DYNC1LI2	361.04	480.04	1151.06	967.76	547.75	638.15	483.38	106.63	397.93	234.57	518.15	791.35	1923.14	1088.92	1936.53	2004.85	1561.89	1583.71	1662.49	1674.06	2163.77	1674.06	1605.83	2148.82	1417.35	1519.15	1605.83	1313.23	1340.84	1583.71	1313.23	1467.37	1313.23	2240.11	1628.26	1417.35	1883.54	2224.63	2075.59	1819.35	2209.26	1417.35	1794.29	1242.34	2682.69	1277.29	1008.9	1757.34	896.64	738.29	476.71
ERCC6-PGBD3	0.0	0.0	3.63	8.38	6.21	6.26	0.0	0.0	3.03	0.65	0.67	9.78	25.72	12.18	29.27	34.26	20.86	40.07	28.86	17.51	59.97	25.91	18.56	24.11	23.42	0.0	24.11	17.9	38.12	40.07	7.46	8.78	17.38	40.07	6.52	4.28	28.86	22.43	35.5	39.5	17.51	16.03	29.06	12.55	41.22	24.11	11.91	9.06	1.39	7.46	1.87
ESRRG	0.0	0.0	0.62	7.63	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	269.6	43.63	95.34	142.01	64.8	217.27	41.22	85.22	90.14	64.34	87.65	79.45	57.89	55.49	108.14	144.01	110.43	59.55	67.12	90.14	121.79	115.16	183.82	73.03	265.87	80.57	55.89	78.89	221.86	106.63	114.36	84.63	177.53	58.3	52.08	97.36	18.29	12.45	1.66
FUBP3	555.41	363.56	595.34	379.04	540.19	373.81	0.0	0.78	529.06	387.02	525.39	785.88	1477.58	928.3	1594.73	1477.58	1427.22	1268.46	1407.55	1628.26	1594.73	1397.83	1233.75	1733.13	860.08	1037.29	1088.92	1059.11	1001.93	1397.83	928.3	1268.46	988.12	1844.76	1286.18	1199.98	1313.23	1467.37	1417.35	1519.15	1936.53	1175.27	2032.85	1127.35	2004.85	1008.9	813.63	1167.14	563.18	708.18	587.13
GOLGA8N	3.56	3.53	3.69	10.08	5.73	22.75	0.0	0.66	9.63	2.03	9.06	43.02	476.71	316.37	483.38	2193.99	384.34	497.0	1295.13	813.63	3235.01	954.43	1051.79	1498.22	143.01	353.59	500.46	293.07	638.15	633.73	116.78	718.08	387.02	1233.75	291.04	226.54	890.44	599.49	941.27	536.45	854.13	287.01	780.44	173.85	2061.24	265.87	84.63	232.94	5.02	12.45	28.45
GOLGA8O	8.19	0.0	0.0	0.0	0.0	3.63	0.0	0.34	8.32	0.0	0.0	8.0	583.07	68.07	124.37	878.17	575.03	186.4	371.22	842.36	674.59	791.35	988.12	190.34	511.0	28.04	149.12	117.6	775.05	406.31	167.9	159.9	255.0	318.57	141.02	137.14	638.15	674.59	429.54	124.37	154.42	63.89	1369.04	89.51	575.03	217.27	114.36	368.65	10.08	8.78	4.28
GOLGA8R	0.91	0.0	2.16	3.06	1.07	1.69	0.0	0.52	5.77	0.0	1.39	8.78	327.56	102.25	215.77	1151.06	995.0	291.04	314.17	718.08	1551.09	521.76	353.59	476.71	169.07	105.15	189.02	71.0	293.07	182.55	105.89	237.86	191.67	536.45	158.79	92.7	285.03	616.37	217.27	191.67	536.45	78.34	470.14	90.77	679.29	113.56	65.72	301.33	4.31	10.96	3.26
GPR56	1909.85	1857.6	3190.46	3467.27	1135.2	406.31	0.0	0.83	1477.58	941.27	2758.13	2335.28	6037.61	5112.16	11112.3	7642.41	6426.31	4575.41	4512.4	8778.97	4903.87	12676.65	6516.03	6699.25	3742.05	3081.75	5517.27	5954.47	4123.49	5633.22	2287.2	10733.74	4869.99	7537.18	4836.35	5913.33	11664.82	4328.55	5594.3	7485.11	6887.62	7180.15	6337.83	7280.4	7433.4	4937.99	4328.55	4543.8	3395.89	379.04	115.97
HEG1	63.45	63.0	89.51	182.55	20.41	305.55	0.0	0.48	279.14	42.11	78.89	348.71	1388.16	872.1	1769.57	1127.35	1225.22	1857.6	693.58	1709.26	1529.73	836.53	1508.65	1250.98	1088.92	660.68	1268.46	988.12	713.11	1487.87	444.72	1225.22	902.89	2573.36	1051.79	665.29	974.5	1304.15	2090.03	1111.82	1242.34	1340.84	1407.55	1540.37	2520.38	457.25	591.22	1199.98	76.71	260.38	140.04
KDM6B	217.27	120.94	111.99	120.94	199.85	149.12	149.12	73.03	90.14	37.05	217.27	182.55	547.75	441.64	376.41	397.93	293.07	543.96	358.54	237.86	285.03	420.68	341.51	343.89	351.14	406.31	995.0	297.17	327.56	511.0	279.14	307.69	417.77	417.77	239.52	217.27	309.83	384.34	376.41	647.07	244.57	218.79	301.33	291.04	339.14	384.34	336.79	353.59	208.38	226.54	169.07
KIAA0232	41.81	94.01	34.75	105.89	108.9	122.64	0.0	0.48	45.21	33.78	65.72	105.15	336.79	150.17	381.68	299.25	224.97	253.23	312.0	323.03	312.0	260.38	293.07	277.2	204.07	166.73	208.38	323.03	223.41	361.04	194.36	234.57	234.57	379.04	221.86	249.73	256.78	438.59	387.02	463.65	414.87	183.82	287.01	260.38	320.8	256.78	195.72	269.6	130.6	164.42	166.73
KLHL3	2.39	4.13	17.38	15.0	5.15	18.84	17.77	60.82	4.13	0.71	4.62	4.98	343.89	147.06	161.02	255.0	145.02	149.12	289.02	139.07	144.01	267.73	351.14	189.02	376.41	191.67	387.02	167.9	316.37	152.28	205.5	176.29	234.57	173.85	163.28	96.68	170.25	132.44	136.19	150.17	127.0	74.06	334.46	87.03	190.34	124.37	95.34	341.51	35.25	28.86	14.03
LATS2	73.03	39.79	50.27	108.14	72.01	100.13	0.0	0.39	195.72	18.43	69.03	73.03	470.14	248.0	426.57	395.18	703.28	417.77	500.46	457.25	371.22	241.19	420.68	460.44	363.56	218.79	379.04	353.59	403.5	507.46	209.84	258.57	320.8	624.99	260.38	363.56	258.57	435.55	447.82	571.05	358.54	295.11	366.09	384.34	532.74	229.72	201.25	325.29	44.89	180.02	62.56
LCN6	2.07	2.07	0.95	17.0	1.97	4.1	0.0	0.34	0.0	4.39	0.0	0.0	2.05	63.89	244.57	1023.0	59.97	19.82	463.65	215.77	525.39	55.1	34.26	79.45	24.46	90.77	31.67	4.13	15.56	164.42	30.78	403.5	26.86	212.78	9.7	253.23	14.89	105.89	149.12	10.79	115.97	215.77	115.97	423.61	273.37	116.78	47.17	28.24	0.0	5.41	7.51
LIFR	42.41	84.04	34.02	55.89	7.57	26.47	0.0	0.38	80.01	21.32	70.01	73.03	1216.75	172.65	954.43	1059.11	1662.49	1059.11	947.83	1369.04	1030.12	616.37	743.43	1583.71	483.38	454.09	595.34	417.77	738.29	1225.22	237.86	1397.83	1023.0	1191.69	718.08	708.18	237.86	1225.22	848.22	872.1	633.73	595.34	1447.15	591.22	1437.15	679.29	80.01	902.89	85.82	215.77	99.43
MAGI2	3.26	5.82	3.69	7.69	8.32	18.43	0.0	0.26	7.94	5.19	12.45	18.56	195.72	80.01	129.69	133.36	194.36	167.9	130.6	208.38	164.42	125.24	150.17	133.36	111.99	130.6	109.66	122.64	139.07	164.42	141.02	71.5	149.12	204.07	163.28	132.44	121.79	140.04	194.36	157.68	171.45	115.16	158.79	68.07	202.66	126.12	75.64	154.42	31.45	69.52	56.28
MAN1A2	156.59	136.19	162.14	96.01	115.97	120.1	0.0	0.47	114.36	84.63	232.94	144.01	529.06	205.5	329.84	403.5	379.04	514.56	255.0	543.96	329.84	293.07	312.0	389.72	244.57	224.97	303.44	466.88	363.56	480.04	262.2	249.73	279.14	406.31	444.72	358.54	525.39	327.56	277.2	457.25	607.87	403.5	454.09	236.21	397.93	329.84	244.57	305.55	236.21	185.11	186.4
METTL7A	201.25	98.73	29.7	1350.18	23.93	194.36	327.56	1529.73	117.6	111.99	218.79	57.08	6079.61	6887.62	7911.95	9025.81	8598.28	10296.45	8078.22	9409.14	10440.2	6381.92	7857.29	9808.75	5872.48	6840.04	5255.91	8022.41	8363.13	9540.5	5329.3	6887.62	6250.56	10808.41	7280.4	14065.74	5147.73	6935.54	9876.98	7331.05	12244.81	11345.82	16157.44	9151.82	8778.97	11664.82	4512.4	5872.48	1008.9	376.41	206.94
MON1B	173.85	295.11	180.02	381.68	299.25	212.78	320.8	140.04	242.88	155.5	336.79	392.44	397.93	409.15	642.59	669.92	454.09	329.84	624.99	698.41	718.08	575.03	500.46	607.87	450.94	460.44	432.53	764.36	543.96	521.76	368.65	529.06	444.72	607.87	432.53	409.15	796.86	703.28	633.73	638.15	669.92	432.53	616.37	660.68	647.07	493.56	607.87	454.09	346.29	406.31	212.78
NFAT5	24.11	16.75	68.07	83.45	48.18	38.67	0.0	0.48	33.54	8.78	55.89	132.44	258.57	85.82	336.79	351.14	176.29	166.73	277.2	277.2	271.48	258.57	293.07	293.07	140.04	133.36	195.72	194.36	152.28	220.32	81.71	130.6	113.56	429.54	164.42	183.82	273.37	256.78	256.78	368.65	329.84	158.79	305.55	144.01	447.82	105.89	87.65	215.77	83.45	85.22	22.43
PCDHA10	0.0	0.0	0.0	1.48	0.0	0.45	0.0	0.0	0.0	0.0	1.43	1.46	295.11	43.94	29.27	23.08	166.73	124.37	78.89	226.54	16.39	96.68	297.17	244.57	69.03	38.12	146.03	214.27	79.45	55.49	63.45	76.17	125.24	269.6	70.01	80.01	72.52	16.39	121.79	127.89	31.9	103.69	587.13	15.91	177.53	40.64	68.07	37.32	3.63	1.73	0.0
PHKB	466.88	303.44	559.28	438.59	679.29	447.82	647.07	368.65	713.11	420.68	470.14	703.28	1259.69	723.08	1350.18	1498.22	1151.06	1447.15	915.51	1477.58	1350.18	1806.78	1225.22	1447.15	995.0	878.17	1350.18	1407.55	1015.93	1369.04	703.28	1551.09	1259.69	1745.2	1159.07	1709.26	1721.16	1191.69	1111.82	1268.46	2133.97	1721.16	1529.73	1119.56	1909.85	1081.39	713.11	1119.56	759.08	334.46	323.03
PHLDB1	320.8	256.78	190.34	947.83	78.89	902.89	371.22	563.18	633.73	94.67	406.31	1051.79	1313.23	1277.29	1322.37	1519.15	1540.37	1457.23	1529.73	921.88	1397.83	1008.9	1745.2	1295.13	1508.65	1008.9	2287.2	890.44	1508.65	1119.56	698.41	1340.84	1127.35	1721.16	1674.06	921.88	1233.75	1819.35	1030.12	974.5	1407.55	1030.12	1051.79	1015.93	1477.58	1023.0	603.67	1844.76	860.08	854.13	743.43
PIAS1	212.78	114.36	248.0	318.57	264.03	341.51	0.0	0.37	379.04	177.53	212.78	281.09	529.06	285.03	753.83	665.29	603.67	514.56	836.53	796.86	791.35	656.11	514.56	825.0	403.5	381.68	536.45	703.28	414.87	748.61	384.34	490.14	358.54	872.1	420.68	603.67	454.09	954.43	808.0	872.1	825.0	432.53	718.08	620.67	633.73	480.04	400.71	426.57	190.34	260.38	217.27
PIK3C2A	171.45	47.5	58.3	172.65	87.65	114.36	0.0	0.46	121.79	83.45	189.02	183.82	633.73	343.89	595.34	599.49	511.0	497.0	480.04	753.83	507.46	432.53	616.37	620.67	323.03	476.71	395.18	409.15	363.56	571.05	444.72	409.15	395.18	656.11	473.41	346.29	514.56	642.59	656.11	723.08	813.63	395.18	718.08	447.82	802.41	366.09	287.01	283.05	236.21	176.29	109.66
PKD2	52.08	118.43	29.06	115.16	69.52	185.11	0.0	0.42	73.54	44.57	111.99	152.28	460.44	246.28	387.02	379.04	567.1	521.76	379.04	297.17	403.5	307.69	289.02	353.59	346.29	309.83	607.87	356.05	277.2	325.29	232.94	195.72	316.37	432.53	497.0	255.0	293.07	470.14	470.14	336.79	314.17	180.02	316.37	325.29	497.0	246.28	185.11	318.57	262.2	253.23	120.1
PKNOX2	2.36	3.79	0.64	2.2	1.73	21.63	0.0	0.37	4.06	1.14	19.53	18.97	796.86	54.72	511.0	3280.18	4095.0	253.23	348.71	389.72	108.9	3212.66	387.02	258.57	486.75	234.57	599.49	2875.3	267.73	1051.79	236.21	206.94	91.41	493.56	387.02	246.28	1242.34	473.41	277.2	473.41	206.94	199.85	381.68	842.36	181.28	358.54	72.52	1950.0	13.42	36.79	40.36
POLK	52.82	37.05	83.45	74.58	120.94	72.52	149.12	102.25	119.26	46.84	61.68	102.25	403.5	185.11	229.72	341.51	299.25	303.44	305.55	356.05	242.88	224.97	248.0	273.37	205.5	246.28	307.69	265.87	281.09	231.32	189.02	244.57	291.04	237.86	273.37	187.71	265.87	264.03	291.04	353.59	279.14	156.59	301.33	202.66	271.48	220.32	231.32	202.66	77.79	97.36	85.22
PPARGC1A	0.6	0.0	1.53	47.17	0.49	1.2	0.0	0.27	0.0	2.34	16.75	0.59	426.57	146.03	665.29	915.51	444.72	271.48	629.35	514.56	1001.93	703.28	638.15	343.89	133.36	297.17	289.02	142.01	599.49	988.12	215.77	417.77	376.41	995.0	82.87	366.09	507.46	353.59	255.0	624.99	928.3	395.18	830.75	146.03	1519.15	205.5	60.82	264.03	11.91	35.25	0.0
PPIC	1001.93	1001.93	941.27	1008.9	748.61	555.41	638.15	603.67	1066.48	1651.0	723.08	1143.1	2047.0	1870.53	1936.53	2193.99	2502.97	2384.37	1331.57	2895.31	2502.97	2287.2	2090.03	1963.57	961.07	981.29	1977.24	1594.73	1617.0	2351.53	836.53	2193.99	1277.29	2075.59	1551.09	2895.31	2351.53	1467.37	1781.89	1769.57	2004.85	2627.46	2777.33	2835.7	2090.03	1250.98	1216.75	1242.34	1044.52	624.99	1225.22
PTPRJ	24.46	9.93	15.22	115.97	24.81	144.01	0.0	0.35	50.63	75.11	35.25	70.51	384.34	193.01	363.56	414.87	435.55	293.07	253.23	329.84	341.51	318.57	301.33	329.84	242.88	236.21	329.84	327.56	177.53	325.29	218.79	195.72	161.02	480.04	206.94	120.1	316.37	457.25	500.46	454.09	470.14	117.6	361.04	223.41	356.05	158.79	125.24	217.27	55.49	65.72	30.56
PURA	124.37	135.24	105.89	79.45	186.4	125.24	0.0	0.31	120.94	137.14	62.12	129.69	412.0	212.78	423.61	366.09	395.18	379.04	334.46	361.04	237.86	301.33	339.14	387.02	244.57	226.54	329.84	426.57	346.29	435.55	226.54	312.0	334.46	351.14	220.32	262.2	387.02	429.54	376.41	346.29	334.46	303.44	438.59	307.69	348.71	241.19	228.13	307.69	191.67	209.84	110.43
PYGO1	11.91	32.82	3.99	5.82	1.66	26.47	0.0	0.31	3.06	1.38	3.79	12.0	206.94	93.35	83.45	80.57	95.34	123.5	108.9	105.89	81.71	74.58	100.13	66.65	75.11	100.83	100.83	119.26	127.0	80.01	132.44	43.63	73.03	105.15	133.36	105.15	75.64	100.83	108.14	97.36	116.78	67.59	108.9	52.82	98.04	100.83	62.56	126.12	8.78	45.85	52.08
RAP1GAP	21.32	244.57	64.8	61.68	64.34	38.95	0.0	0.0	69.52	49.56	123.5	145.02	9088.59	9088.59	15180.22	18431.96	7966.99	10659.59	7230.1	8778.97	21468.49	16611.71	9344.14	7749.1	8363.13	10585.95	8305.36	7695.57	8191.0	8247.98	5441.3	11345.82	5791.62	15715.58	7280.4	11584.24	20170.07	10368.08	7433.4	5183.54	14561.8	10808.41	11345.82	7032.37	19348.38	13492.72	1674.06	12244.81	476.71	341.51	170.25
RAPGEF2	29.06	67.12	67.12	139.07	110.43	140.04	0.0	0.56	77.25	14.78	42.41	124.37	941.27	327.56	813.63	1151.06	896.64	651.58	830.75	1111.82	1233.75	567.1	718.08	954.43	587.13	624.99	872.1	1044.52	480.04	802.41	336.79	738.29	915.51	1175.27	748.61	392.44	909.17	1167.14	1216.75	1259.69	1199.98	299.25	866.07	947.83	954.43	366.09	379.04	703.28	77.25	202.66	171.45
RBPMS	473.41	197.09	248.0	1096.5	71.5	1487.87	389.72	186.4	341.51	158.79	389.72	249.73	3103.19	3280.18	4038.61	2777.33	4937.99	2915.45	3768.09	3257.52	3690.52	2537.92	3742.05	3768.09	2915.45	3419.52	2835.7	2627.46	3982.99	4210.15	2796.65	3491.39	2739.08	4639.29	2997.45	4450.27	3540.14	5006.93	4419.52	3372.43	3665.02	3589.58	3443.31	3190.46	3690.52	3589.58	3982.99	3395.89	480.04	483.38	212.78
RNASEL	23.25	15.8	51.71	31.22	75.64	56.68	0.0	0.14	32.82	36.53	28.04	163.28	221.86	113.56	189.02	212.78	163.28	170.25	234.57	265.87	193.01	182.55	264.03	202.66	197.09	177.53	180.02	269.6	180.02	161.02	209.84	164.42	161.02	198.47	211.31	198.47	267.73	180.02	175.07	195.72	183.82	115.97	198.47	189.02	164.42	172.65	165.57	206.94	30.78	41.81	100.83
RNF180	24.46	1.19	2.46	45.53	0.42	15.34	0.0	0.26	3.26	1.62	5.87	11.73	339.14	99.43	220.32	323.03	253.23	242.88	237.86	279.14	289.02	158.79	273.37	229.72	120.94	183.82	178.77	312.0	249.73	244.57	153.34	189.02	137.14	339.14	246.28	242.88	167.9	197.09	295.11	277.2	318.57	224.97	229.72	158.79	237.86	172.65	98.73	208.38	79.45	10.39	3.86
SACM1L	166.73	507.46	123.5	309.83	336.79	444.72	0.0	0.43	381.68	197.09	265.87	314.17	1015.93	551.56	928.3	1096.5	791.35	764.36	1066.48	947.83	1225.22	830.75	842.36	1104.13	642.59	830.75	802.41	915.51	753.83	872.1	708.18	703.28	638.15	1051.79	941.27	995.0	909.17	1143.1	909.17	1015.93	1216.75	748.61	1096.5	748.61	967.76	660.68	476.71	1167.14	343.89	500.46	269.6
SCD5	85.22	325.29	58.71	60.39	73.03	104.42	0.0	0.26	92.05	86.43	384.34	63.0	2739.08	1096.5	1594.73	878.17	2090.03	1794.29	866.07	1277.29	624.99	603.67	1051.79	1073.91	753.83	1208.34	1268.46	1519.15	1733.13	1167.14	830.75	447.82	629.35	785.88	1477.58	796.86	988.12	1295.13	830.75	1037.29	1427.22	642.59	764.36	1467.37	813.63	854.13	813.63	1378.57	368.65	175.07	166.73
SETX	291.04	297.17	283.05	346.29	466.88	339.14	211.31	43.02	305.55	197.09	241.19	420.68	941.27	511.0	1044.52	1277.29	688.78	848.22	860.08	1151.06	1159.07	830.75	954.43	1104.13	836.53	599.49	753.83	1151.06	791.35	934.76	503.95	860.08	607.87	1119.56	764.36	1030.12	1388.16	884.29	848.22	1175.27	1304.15	1073.91	1457.23	941.27	1030.12	764.36	525.39	743.43	341.51	366.09	339.14
