	TCGA.E2.A15F.01A.11R.A115.07	TCGA.E9.A1R2.01A.11R.A14D.07	TCGA.A2.A0YL.01A.21R.A109.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.4644.01A.02R.1325.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4970.01A.01R.1334.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.POYW.0826.SM.2XCEM	GTEX.WYVS.0326.SM.3NM9V
GORAB	186.4	277.2	289.02	139.07	102.25	117.6	162.14	92.7	25.35	67.59	22.75	540.19	195.72
GZF1	403.5	242.88	255.0	132.44	169.07	111.21	206.94	64.8	56.28	51.35	81.71	363.56	262.2
HERC1	1159.07	836.53	1015.93	176.29	529.06	497.0	703.28	191.67	348.71	336.79	223.41	1081.39	1001.93
IL17D	368.65	194.36	90.14	115.97	28.04	17.64	14.24	8.85	6.21	6.41	0.13	187.71	150.17
INTS3	1151.06	1467.37	1277.29	483.38	423.61	429.54	703.28	403.5	291.04	305.55	163.28	1733.13	1104.13
KHDC1	78.89	65.72	57.89	40.64	23.42	37.85	34.26	7.88	2.43	3.29	0.0	149.12	86.43
KIAA1217	974.5	1119.56	1313.23	2163.77	305.55	325.29	583.07	305.55	107.38	146.03	101.54	1551.09	825.0
KIF5A	92.7	80.57	33.06	2.97	0.67	0.36	2.18	0.0	0.0	0.0	0.0	94.01	28.65
KIF7	158.79	226.54	46.5	0.39	21.63	26.47	47.17	7.4	6.36	6.62	2.18	108.9	141.02
KLK7	58.71	921.88	231.32	1196176.45	0.0	0.0	2.23	0.0	0.0	0.0	0.11	591.22	6.89
KPNA6	743.43	525.39	551.56	371.22	346.29	381.68	511.0	159.9	146.03	187.71	262.2	559.28	417.77
LARP4B	825.0	633.73	607.87	1088.92	277.2	381.68	514.56	176.29	137.14	152.28	181.28	764.36	854.13
LINC00999	62.12	87.03	66.18	17.38	11.04	14.24	38.67	10.24	6.46	8.0	8.19	107.38	91.41
LRRC37A	28.65	97.36	24.63	33.06	12.45	11.55	14.78	3.14	6.67	10.39	7.17	120.94	124.37
LRRC37A2	260.38	587.13	199.85	358.54	116.78	100.83	86.43	58.3	53.19	103.69	49.21	769.69	665.29
LRRC47	967.76	1151.06	785.88	490.14	575.03	688.78	713.11	679.29	660.68	703.28	656.11	1167.14	941.27
LRRC57	486.75	438.59	381.68	204.07	248.0	197.09	281.09	82.29	59.55	84.04	115.97	293.07	287.01
LY6G6C	5.59	327.56	100.13	81809.59	0.0	0.38	0.39	0.0	0.0	1.85	0.64	295.11	14.24
MADD	591.22	547.75	603.67	218.79	244.57	327.56	480.04	178.77	193.01	220.32	123.5	642.59	607.87
MAEA	1037.29	1167.14	981.29	808.0	647.07	928.3	825.0	460.44	651.58	547.75	205.5	1388.16	1259.69
MAML1	450.94	426.57	603.67	182.55	215.77	260.38	329.84	80.01	60.39	97.36	70.51	559.28	429.54
MFSD6	529.06	1096.5	698.41	2224.63	379.04	493.56	563.18	41.22	12.27	28.04	14.14	679.29	703.28
MLLT1	599.49	660.68	642.59	140.04	223.41	169.07	373.81	109.66	199.85	193.01	115.16	497.0	728.11
MMP16	70.51	34.75	81.14	0.43	8.19	6.78	6.46	2.41	0.0	1.06	0.0	100.83	4.03
MROH1	490.14	684.02	198.47	295.11	60.82	97.36	129.69	56.68	126.12	76.17	21.63	1277.29	1044.52
MSTO1	830.75	1277.29	813.63	226.54	397.93	412.0	486.75	262.2	249.73	221.86	64.34	1923.14	884.29
MYO15A	49.21	164.42	33.06	7.94	1.39	4.58	21.01	20.26	8.45	20.56	45.85	76.17	63.89
NAT9	543.96	1191.69	490.14	281.09	381.68	271.48	460.44	392.44	201.25	273.37	170.25	1685.71	974.5
NBPF14	265.87	100.13	343.89	260.38	84.04	81.14	133.36	99.43	27.05	102.25	19.97	432.53	175.07
NBPF20	37.32	31.22	47.17	13.62	9.13	17.51	35.25	27.25	5.59	34.02	10.55	121.79	71.5
NKAIN2	2.41	2.32	8.85	0.16	0.31	0.0	5.28	2.18	0.0	1.41	0.0	10.31	9.48
NOM1	279.14	256.78	249.73	127.89	93.35	162.14	152.28	110.43	97.36	84.63	63.89	307.69	232.94
NUP188	409.15	698.41	612.11	563.18	244.57	281.09	366.09	155.5	106.63	110.43	44.57	599.49	607.87
OCRL	684.02	438.59	438.59	186.4	191.67	223.41	334.46	109.66	102.97	92.7	55.89	723.08	356.05
PACRGL	348.71	279.14	432.53	124.37	132.44	146.03	291.04	105.89	47.17	103.69	53.95	251.48	536.45
PANK4	395.18	624.99	329.84	239.52	232.94	249.73	351.14	264.03	221.86	231.32	181.28	633.73	536.45
PAQR3	255.0	368.65	267.73	65.72	178.77	148.09	212.78	75.11	39.5	55.89	237.86	406.31	236.21
PDIK1L	309.83	265.87	242.88	164.42	120.1	73.03	167.9	58.71	28.86	76.71	65.26	236.21	265.87
PHOSPHO2	277.2	202.66	277.2	43.94	131.51	161.02	74.06	16.88	35.0	55.1	29.48	129.69	234.57
PIGG	854.13	1111.82	733.19	303.44	441.64	629.35	638.15	514.56	303.44	351.14	215.77	1096.5	988.12
PITHD1	1322.37	1322.37	1119.56	4038.61	872.1	733.19	961.07	884.29	830.75	842.36	1073.91	1096.5	1119.56
PKP1	29.7	53.19	323.03	3.003205688E7	1.36	10.31	96.01	0.0	0.0	1.08	0.0	361.04	19.11
POLR1A	277.2	228.13	289.02	76.71	104.42	142.01	329.84	39.79	51.71	66.65	38.95	189.02	120.94
PPP1R10	866.07	638.15	830.75	995.0	441.64	674.59	921.88	500.46	583.07	403.5	202.66	1340.84	941.27
PPP5C	1605.83	1662.49	1015.93	591.22	698.41	743.43	981.29	616.37	785.88	684.02	1081.39	1304.15	1008.9
RBM11	271.48	256.78	131.51	633.73	0.0	0.37	16.27	13.12	4.06	1.85	10.0	130.6	198.47
RBM28	409.15	381.68	493.56	187.71	291.04	289.02	271.48	215.77	86.43	149.12	112.77	480.04	483.38
RGS4	58.71	708.18	438.59	206.94	58.3	23.25	185.11	17.25	19.25	24.99	49.21	269.6	346.29
RIOK1	208.38	336.79	371.22	353.59	170.25	165.57	201.25	129.69	46.18	98.73	46.18	460.44	301.33
RP11-438J1.1	84.04	23.59	77.79	2.27	25.17	8.51	16.15	7.51	0.0	0.0	8.19	30.56	46.5
RQCD1	1135.2	708.18	620.67	346.29	511.0	543.96	432.53	279.14	182.55	181.28	223.41	836.53	551.56
RSPO4	6.36	212.78	6.46	1.07	0.0	2.84	1.16	1.53	0.84	0.0	0.82	194.36	90.14
RSRC2	1359.57	1119.56	1769.57	1331.57	660.68	791.35	1388.16	665.29	309.83	473.41	490.14	2609.3	2417.67
SCAF4	511.0	414.87	409.15	384.34	177.53	271.48	316.37	258.57	191.67	183.82	112.77	463.65	450.94
SCAI	48.52	69.03	113.56	32.36	29.48	25.54	36.53	14.89	7.34	19.25	21.63	94.67	82.87
SENP5	366.09	258.57	229.72	138.1	147.06	157.68	181.28	105.15	60.39	96.01	91.41	356.05	305.55
SETD5	1529.73	902.89	1225.22	563.18	262.2	291.04	624.99	218.79	135.24	220.32	86.43	1617.0	1340.84
SFPQ	4704.07	6471.02	4736.79	3540.14	2119.22	2193.99	4123.49	3081.75	723.08	1111.82	1066.48	8134.41	5255.91
SLMAP	1015.93	373.81	813.63	796.86	320.8	493.56	603.67	198.47	87.65	178.77	209.84	1023.0	928.3
SLTM	1313.23	1277.29	1119.56	1015.93	563.18	624.99	1111.82	651.58	348.71	447.82	336.79	2537.92	1844.76
SMARCD3	928.3	1295.13	511.0	108.9	117.6	173.85	264.03	96.01	52.08	65.26	31.22	1977.24	1175.27
SMC6	241.19	228.13	447.82	441.64	151.22	248.0	204.07	115.97	49.56	76.71	70.51	334.46	205.5
SNED1	297.17	825.0	244.57	11.47	90.14	127.89	175.07	82.87	70.51	63.0	66.65	854.13	934.76
SPAST	208.38	215.77	229.72	215.77	113.56	140.04	182.55	61.68	52.45	85.22	53.57	208.38	164.42
SPATA33	130.6	218.79	229.72	170.25	221.86	158.79	183.82	69.03	57.49	70.01	15.56	348.71	277.2
SPIN3	159.9	193.01	163.28	34.75	42.71	64.8	81.14	28.65	20.41	26.67	15.34	142.01	113.56
SPRR1B	17.0	9.06	0.0	1.90877512245E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.34	4.35
SRSF3	2047.0	3257.52	4268.94	3372.43	1950.0	2224.63	3212.66	1427.22	769.69	1135.2	1313.23	3955.48	3665.02
TBX3	1963.57	1340.84	1437.15	414.87	37.85	43.63	142.01	114.36	409.15	211.31	96.68	2485.67	2075.59
TCEB3	665.29	651.58	693.58	454.09	307.69	329.84	480.04	299.25	329.84	414.87	460.44	669.92	525.39
THOC2	928.3	780.44	995.0	514.56	420.68	426.57	595.34	343.89	76.71	201.25	98.73	1388.16	941.27
TIAL1	1159.07	988.12	1498.22	1001.93	825.0	848.22	1030.12	698.41	454.09	638.15	417.77	1896.65	1757.34
TIMM23B	334.46	353.59	277.2	187.71	99.43	204.07	193.01	82.87	248.0	155.5	199.85	420.68	246.28
TLR9	7.11	1.69	1.58	5.36	0.0	2.48	1.14	0.0	0.0	0.0	0.0	12.09	6.21
TMEM201	199.85	217.27	195.72	120.94	133.36	132.44	127.0	33.06	39.5	38.4	6.41	229.72	133.36
TOE1	202.66	176.29	241.19	120.94	120.94	132.44	175.07	125.24	84.04	121.79	36.53	384.34	293.07
TP53BP1	842.36	624.99	785.88	255.0	258.57	264.03	414.87	75.64	73.03	76.17	31.45	733.19	796.86
TP53BP2	242.88	536.45	775.05	1008.9	217.27	212.78	368.65	232.94	220.32	78.34	291.04	591.22	1268.46
TRA2B	1806.78	2061.24	2319.15	2224.63	1397.83	1508.65	1769.57	1111.82	775.05	1015.93	854.13	3103.19	3614.55
TRAPPC13	547.75	483.38	444.72	224.97	438.59	351.14	358.54	149.12	84.63	167.9	111.99	808.0	406.31
TTC23L	22.92	73.03	78.34	1.25	30.34	4.1	13.32	0.79	7.51	2.76	0.0	84.04	22.1
TTL	441.64	305.55	454.09	112.77	178.77	249.73	237.86	73.54	72.01	123.5	67.59	463.65	267.73
TXLNA	1044.52	796.86	718.08	334.46	438.59	400.71	587.13	409.15	371.22	412.0	231.32	878.17	642.59
UBE2D1	329.84	348.71	332.14	518.15	283.05	318.57	283.05	244.57	64.8	111.99	54.72	497.0	454.09
UBP1	1883.54	1096.5	1208.34	507.46	389.72	336.79	559.28	406.31	255.0	366.09	149.12	1167.14	775.05
UPF3A	934.76	1819.35	543.96	327.56	392.44	457.25	543.96	514.56	265.87	406.31	195.72	3190.46	2287.2
VPS39	1059.11	921.88	796.86	529.06	447.82	563.18	802.41	237.86	260.38	218.79	116.78	1159.07	928.3
WDR48	796.86	463.65	819.3	178.77	432.53	301.33	595.34	214.27	176.29	197.09	161.02	791.35	921.88
XPO6	1963.57	1628.26	1277.29	947.83	915.51	947.83	1208.34	775.05	728.11	796.86	529.06	2255.7	1508.65
YY2	80.01	48.87	28.04	5.96	19.11	23.93	32.59	25.54	18.84	15.22	4.62	67.12	37.85
ZBTB49	134.3	80.57	124.37	34.51	24.28	52.08	92.7	54.72	19.97	15.34	17.25	57.49	132.44
ZC3H11A	1540.37	1909.85	2004.85	1340.84	651.58	819.3	1277.29	629.35	334.46	463.65	320.8	2468.49	1721.16
ZNF134	343.89	260.38	432.53	165.57	202.66	199.85	275.28	63.45	38.95	54.72	33.06	212.78	251.48
ZNF140	486.75	329.84	476.71	239.52	236.21	232.94	351.14	215.77	77.25	172.65	119.26	878.17	612.11
ZNF142	454.09	289.02	346.29	60.82	138.1	202.66	265.87	40.36	46.84	57.49	15.8	212.78	244.57
ZNF197	387.02	195.72	275.28	104.42	117.6	171.45	176.29	105.89	30.56	100.83	69.03	356.05	325.29
ZNF250	334.46	314.17	224.97	305.55	96.01	112.77	175.07	64.34	42.41	37.05	27.84	334.46	483.38
ZNF251	660.68	633.73	307.69	78.89	83.45	133.36	228.13	78.89	33.06	49.91	27.84	785.88	595.34
ZNF34	152.28	208.38	129.69	44.25	87.65	95.34	120.1	67.59	37.05	50.63	52.45	316.37	281.09
ZNF404	49.56	148.09	80.01	16.39	7.75	15.0	52.82	17.0	2.14	12.83	5.54	117.6	127.0
ZNF445	181.28	75.11	125.24	32.13	52.08	69.03	92.05	31.67	22.1	36.01	27.84	149.12	125.24
ZNF544	536.45	866.07	514.56	470.14	387.02	336.79	412.0	198.47	146.03	244.57	159.9	769.69	575.03
ZNF565	107.38	51.35	91.41	37.85	27.25	25.54	58.3	32.36	25.17	37.32	21.78	129.69	102.25
ZNF567	204.07	86.43	136.19	81.14	78.89	74.58	105.89	53.57	55.1	44.89	30.34	193.01	127.89
ZNF609	318.57	540.19	384.34	185.11	138.1	132.44	275.28	69.03	75.64	79.45	51.35	236.21	281.09
ZNF619	76.71	35.25	88.88	32.36	33.54	29.27	57.08	20.71	20.71	35.0	9.2	81.14	71.5
ZNF620	72.01	57.49	63.45	13.52	37.85	21.94	46.18	12.93	4.24	20.26	5.54	73.03	76.17
ZNF621	258.57	101.54	178.77	26.86	59.13	54.72	124.37	26.1	31.22	38.67	23.76	215.77	141.02
ZNF625-ZNF20	71.5	90.14	86.43	24.63	40.64	30.78	35.5	20.56	0.0	8.19	8.45	120.1	50.27
ZNF773	258.57	185.11	208.38	14.03	84.04	102.97	102.97	38.12	11.21	41.81	21.94	214.27	144.01
ZNF776	1096.5	432.53	473.41	95.34	180.02	194.36	248.0	49.56	35.0	92.7	40.64	334.46	314.17
ZNF829	134.3	90.14	97.36	1.5	18.97	22.43	30.56	10.39	1.27	7.94	3.35	62.56	59.97
ZNF852	40.64	26.86	37.32	10.55	17.9	22.26	30.12	15.34	11.04	10.16	12.45	117.6	48.18
ZNF853	159.9	281.09	151.22	0.0	20.86	28.45	51.35	11.3	5.28	10.47	0.64	143.01	214.27
