	GTEX.SE5C.1026.SM.4BRUG	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.G4.6302.01A.11R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.ZAK1.1826.SM.5HL93	GTEX.145LS.2026.SM.5Q5D7	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.Y111.1726.SM.4SOIQ	GTEX.XUZC.0326.SM.4BOO8	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QLQW.0626.SM.447A6	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.RWSA.1326.SM.47JX9	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.FP.7735.11A.01R.2055.13
CAPRIN1	1151.06	2875.3	4181.07	3690.52	6121.9	1991.0	1529.73	2502.97	1674.06	1313.23	1208.34	1225.22	884.29	1081.39	1519.15	1242.34	1477.58	1857.6	941.27	1001.93	1051.79	1199.98	1073.91	1417.35	967.76	1208.34	1143.1	1225.22	1467.37	1208.34	1259.69	1340.84	1225.22	1350.18	1936.53	1950.0	1857.6	2303.12	2047.0	1697.45	2209.26	1225.22
CAPZA1	830.75	1487.87	1844.76	2148.82	1936.53	1313.23	679.29	2537.92	1051.79	1044.52	483.38	521.76	642.59	830.75	1059.11	780.44	1191.69	1151.06	599.49	796.86	642.59	551.56	738.29	988.12	660.68	743.43	651.58	878.17	941.27	884.29	842.36	769.69	723.08	902.89	1322.37	954.43	981.29	1191.69	2255.7	1015.93	1540.37	579.04
CDC73	320.8	490.14	642.59	612.11	1023.0	291.04	341.51	457.25	463.65	406.31	432.53	373.81	173.85	309.83	281.09	253.23	291.04	460.44	205.5	301.33	193.01	320.8	167.9	251.48	212.78	293.07	277.2	279.14	334.46	318.57	251.48	339.14	295.11	253.23	480.04	406.31	343.89	363.56	381.68	450.94	426.57	256.78
CNOT2	406.31	1250.98	1651.0	1304.15	1870.53	713.11	733.19	1143.1	995.0	748.61	629.35	674.59	507.46	728.11	785.88	708.18	909.17	1001.93	521.76	660.68	454.09	559.28	450.94	854.13	532.74	802.41	525.39	848.22	902.89	860.08	728.11	620.67	669.92	878.17	928.3	974.5	780.44	954.43	981.29	995.0	902.89	624.99
CNOT6L	96.68	713.11	825.0	651.58	529.06	191.67	181.28	283.05	283.05	248.0	152.28	221.86	111.21	164.42	262.2	163.28	339.14	387.02	115.16	151.22	96.01	170.25	106.63	187.71	92.05	149.12	120.1	244.57	237.86	265.87	197.09	158.79	164.42	256.78	291.04	281.09	387.02	363.56	674.59	253.23	460.44	149.12
CRYBG3	194.36	529.06	547.75	633.73	1313.23	503.95	1119.56	291.04	327.56	457.25	323.03	567.1	242.88	320.8	343.89	244.57	457.25	518.15	208.38	301.33	208.38	199.85	208.38	283.05	336.79	297.17	208.38	423.61	521.76	190.34	214.27	273.37	195.72	281.09	698.41	514.56	363.56	493.56	463.65	995.0	529.06	251.48
CTDSPL2	96.68	595.34	808.0	616.37	1059.11	202.66	226.54	307.69	303.44	251.48	211.31	223.41	149.12	191.67	249.73	165.57	197.09	305.55	102.25	159.9	83.45	154.42	98.73	236.21	123.5	208.38	127.89	241.19	265.87	264.03	147.06	206.94	169.07	206.94	336.79	503.95	379.04	466.88	518.15	426.57	500.46	187.71
DCP2	65.26	384.34	444.72	334.46	414.87	178.77	104.42	158.79	178.77	169.07	111.21	133.36	89.51	120.94	143.01	108.14	169.07	176.29	105.89	103.69	72.52	80.01	65.26	128.79	97.36	84.63	82.29	133.36	161.02	135.24	111.21	98.04	67.59	115.16	164.42	162.14	224.97	206.94	343.89	201.25	295.11	59.13
EDEM3	185.11	536.45	583.07	656.11	1104.13	301.33	166.73	217.27	232.94	291.04	195.72	314.17	239.52	343.89	361.04	346.29	387.02	555.41	194.36	376.41	208.38	214.27	153.34	323.03	161.02	253.23	159.9	473.41	334.46	234.57	361.04	258.57	242.88	164.42	426.57	351.14	373.81	454.09	334.46	480.04	543.96	206.94
EIF2S3	1277.29	2997.45	5517.27	3372.43	7331.05	2271.4	2032.85	1963.57	2163.77	1794.29	2119.22	1844.76	1233.75	995.0	1331.57	981.29	1819.35	2119.22	1059.11	1001.93	1388.16	1199.98	836.53	1286.18	1268.46	1340.84	1037.29	1883.54	1709.26	1437.15	1167.14	1417.35	1159.07	1427.22	2935.74	2682.69	2193.99	2915.45	2271.4	2609.3	2367.9	1857.6
ELK4	111.21	397.93	435.55	414.87	713.11	181.28	148.09	348.71	403.5	264.03	186.4	221.86	136.19	187.71	221.86	198.47	262.2	358.54	109.66	212.78	124.37	152.28	101.54	198.47	107.38	180.02	130.6	198.47	239.52	218.79	195.72	178.77	171.45	182.55	189.02	329.84	432.53	334.46	759.08	432.53	620.67	180.02
ERAP1	201.25	921.88	1051.79	1066.48	988.12	532.74	480.04	406.31	307.69	356.05	281.09	366.09	117.6	256.78	392.44	356.05	334.46	748.61	180.02	214.27	191.67	303.44	155.5	406.31	229.72	248.0	271.48	285.03	384.34	287.01	305.55	262.2	336.79	251.48	808.0	1044.52	728.11	825.0	921.88	363.56	1030.12	490.14
ERG	23.93	836.53	371.22	567.1	785.88	293.07	199.85	94.01	379.04	470.14	194.36	237.86	96.01	115.16	312.0	151.22	358.54	348.71	132.44	248.0	199.85	120.94	122.64	189.02	106.63	191.67	204.07	454.09	234.57	105.15	166.73	253.23	194.36	246.28	224.97	251.48	251.48	316.37	438.59	239.52	353.59	134.3
ETS1	187.71	2335.28	1322.37	1498.22	2148.82	599.49	450.94	638.15	890.44	693.58	633.73	426.57	356.05	587.13	693.58	466.88	669.92	1037.29	307.69	571.05	447.82	334.46	271.48	785.88	271.48	660.68	490.14	819.3	669.92	651.58	476.71	651.58	718.08	514.56	647.07	759.08	981.29	1388.16	3325.99	884.29	1896.65	314.17
FAS	85.22	406.31	878.17	660.68	1427.22	301.33	279.14	507.46	395.18	514.56	297.17	260.38	144.01	244.57	223.41	387.02	563.18	599.49	209.84	163.28	176.29	189.02	224.97	246.28	169.07	279.14	208.38	356.05	316.37	236.21	309.83	206.94	143.01	255.0	414.87	211.31	229.72	287.01	387.02	258.57	414.87	108.9
FGFR1OP2	432.53	1119.56	1233.75	1167.14	1950.0	616.37	599.49	575.03	753.83	836.53	698.41	808.0	503.95	679.29	988.12	633.73	1135.2	1259.69	583.07	660.68	532.74	514.56	417.77	830.75	624.99	669.92	532.74	791.35	981.29	703.28	629.35	759.08	669.92	540.19	860.08	890.44	638.15	854.13	1044.52	642.59	842.36	607.87
FLNA	197294.7	10225.32	5076.84	4869.99	21320.18	358098.26	1634025.56	419990.32	513497.31	811368.76	1393227.06	649962.87	228208.61	336441.4	237899.7	275175.93	236256.4	137587.47	158046.64	322736.12	189257.69	201440.3	311742.51	280957.98	215898.44	241220.67	256748.15	275175.93	249727.34	334117.42	290865.98	275175.93	258533.99	239554.43	258533.99	258533.99	267651.2	182810.84	211455.3	234624.45	195931.88	358098.26
GCH1	52.45	162.14	244.57	325.29	94.01	102.25	17.25	130.6	158.79	84.04	57.49	74.06	28.24	47.17	71.5	46.84	140.04	113.56	34.02	87.03	47.17	23.25	53.19	63.0	34.26	46.84	32.59	103.69	85.22	55.49	52.82	55.49	53.57	52.82	81.14	50.98	92.05	122.64	107.38	94.01	133.36	29.7
GXYLT1	24.63	246.28	295.11	209.84	281.09	75.64	49.91	86.43	80.01	102.25	52.08	70.51	45.21	71.5	94.01	74.58	100.13	126.12	38.12	100.83	37.59	53.19	35.0	84.63	47.17	58.3	40.07	115.97	104.42	71.0	88.26	73.03	43.94	68.55	86.43	70.51	67.59	88.88	82.29	56.68	93.35	45.21
HELB	5.92	38.12	87.65	28.45	105.89	14.35	5.68	42.11	21.94	18.29	29.48	19.53	0.84	7.0	24.99	13.52	19.39	56.28	5.92	12.83	2.97	5.45	8.25	24.81	5.28	15.91	6.62	17.38	21.01	17.0	15.22	12.18	10.39	11.3	14.78	30.56	43.63	65.72	94.01	36.53	87.03	13.93
IKZF5	87.03	500.46	616.37	497.0	674.59	145.02	159.9	162.14	204.07	275.28	180.02	258.57	172.65	242.88	281.09	181.28	332.14	341.51	147.06	242.88	127.0	215.77	173.85	228.13	221.86	181.28	124.37	248.0	361.04	283.05	224.97	218.79	154.42	249.73	281.09	293.07	281.09	384.34	389.72	297.17	336.79	187.71
INPP4B	27.44	974.5	329.84	435.55	836.53	86.43	100.13	242.88	165.57	232.94	96.68	156.59	66.65	133.36	157.68	136.19	159.9	173.85	13.62	59.97	20.11	45.21	100.13	48.87	127.89	73.03	55.1	112.77	136.19	74.06	45.53	65.72	38.4	105.15	117.6	208.38	211.31	277.2	228.13	320.8	305.55	154.42
IPMK	20.26	133.36	264.03	275.28	119.26	67.59	21.32	140.04	99.43	77.25	36.27	50.98	20.26	44.57	54.72	36.01	97.36	105.15	22.1	42.71	19.82	27.05	37.59	52.08	24.63	32.59	20.71	55.89	63.89	52.45	39.79	44.89	30.56	35.25	112.77	36.79	48.87	112.77	65.26	52.82	60.39	18.84
KIAA0355	71.0	775.05	656.11	575.03	406.31	239.52	246.28	318.57	395.18	412.0	234.57	307.69	124.37	187.71	242.88	183.82	299.25	387.02	135.24	244.57	202.66	187.71	155.5	232.94	186.4	209.84	186.4	423.61	244.57	246.28	202.66	215.77	183.82	224.97	312.0	327.56	309.83	429.54	514.56	358.54	444.72	214.27
KIAA1033	120.1	684.02	954.43	753.83	1268.46	312.0	305.55	656.11	454.09	444.72	318.57	323.03	277.2	318.57	400.71	232.94	483.38	674.59	202.66	255.0	191.67	206.94	120.94	318.57	251.48	228.13	194.36	409.15	500.46	334.46	287.01	269.6	244.57	285.03	473.41	587.13	392.44	587.13	587.13	493.56	497.0	191.67
KIAA1586	53.95	198.47	221.86	220.32	473.41	123.5	121.79	106.63	127.0	139.07	115.16	106.63	63.0	48.52	100.83	67.12	126.12	138.1	46.84	119.26	37.85	53.95	32.13	49.56	70.01	39.79	67.12	87.65	99.43	54.33	49.21	68.55	67.59	99.43	147.06	163.28	143.01	119.26	110.43	105.15	111.21	104.42
LAMP2	819.3	3060.45	3515.68	5041.77	2935.74	1208.34	1096.5	3060.45	1350.18	1159.07	665.29	1199.98	660.68	830.75	1015.93	791.35	896.64	1685.71	819.3	563.18	764.36	748.61	718.08	854.13	698.41	713.11	785.88	1008.9	1135.2	915.51	708.18	878.17	785.88	988.12	1529.73	1350.18	1639.59	1417.35	1594.73	1225.22	1794.29	1030.12
LIN54	35.0	180.02	208.38	161.02	205.5	62.12	82.87	205.5	198.47	106.63	72.01	82.87	36.79	66.65	78.34	57.49	83.45	100.83	44.89	57.08	43.63	58.3	45.21	77.79	40.93	59.97	56.68	75.11	95.34	86.43	66.65	68.55	68.55	64.34	119.26	124.37	108.9	139.07	165.57	111.21	147.06	58.3
LRRC8B	13.32	173.85	226.54	281.09	166.73	94.67	30.12	138.1	80.01	46.5	21.78	77.79	23.93	42.41	71.5	38.95	102.25	101.54	21.01	81.71	34.26	29.7	44.25	63.89	37.59	43.32	26.67	119.26	95.34	73.54	49.21	49.21	44.57	45.21	81.14	65.26	109.66	93.35	163.28	52.82	108.9	28.45
MAML2	31.9	536.45	1037.29	555.41	902.89	108.14	96.68	146.03	173.85	176.29	148.09	97.36	30.78	134.3	126.12	96.01	134.3	232.94	74.58	117.6	40.36	135.24	58.3	138.1	30.78	107.38	90.77	127.89	163.28	142.01	95.34	152.28	101.54	111.21	148.09	232.94	183.82	214.27	356.05	178.77	237.86	100.83
MAN2A1	125.24	620.67	718.08	1008.9	947.83	395.18	267.73	327.56	325.29	320.8	201.25	348.71	269.6	214.27	253.23	228.13	283.05	423.61	162.14	202.66	194.36	116.78	102.25	244.57	307.69	180.02	148.09	244.57	329.84	346.29	236.21	172.65	186.4	275.28	525.39	536.45	387.02	728.11	583.07	483.38	583.07	163.28
MKL2	39.5	1242.34	813.63	836.53	728.11	242.88	265.87	269.6	466.88	624.99	208.38	423.61	281.09	159.9	733.19	246.28	483.38	423.61	242.88	403.5	269.6	285.03	127.89	241.19	264.03	297.17	246.28	759.08	543.96	318.57	307.69	358.54	387.02	309.83	329.84	878.17	775.05	514.56	915.51	511.0	738.29	275.28
MYO5C	14.24	733.19	620.67	616.37	194.36	99.43	17.77	52.08	68.07	134.3	38.4	147.06	39.22	57.08	293.07	43.63	140.04	133.36	37.59	117.6	62.56	23.76	58.3	65.26	52.08	46.18	42.11	234.57	99.43	42.71	55.1	67.59	59.55	128.79	141.02	124.37	131.51	217.27	262.2	156.59	387.02	38.12
N4BP2	15.91	138.1	211.31	124.37	131.51	34.75	30.56	57.08	53.19	41.52	31.22	37.59	14.89	33.78	39.5	31.0	35.5	42.11	12.55	30.78	15.8	19.39	20.41	31.67	16.51	27.05	18.7	30.34	42.41	30.12	29.91	23.25	25.91	27.84	53.57	52.82	55.49	75.64	79.45	53.95	73.54	26.67
NCOA7	176.29	1561.89	2956.17	2468.49	1295.13	860.08	361.04	967.76	954.43	629.35	435.55	620.67	143.01	236.21	514.56	212.78	412.0	902.89	198.47	251.48	178.77	136.19	231.32	334.46	94.67	228.13	190.34	629.35	466.88	190.34	208.38	273.37	251.48	361.04	563.18	493.56	819.3	860.08	884.29	642.59	1268.46	341.51
NT5C3A	209.84	607.87	896.64	921.88	947.83	547.75	253.23	728.11	532.74	346.29	341.51	343.89	197.09	285.03	514.56	197.09	555.41	651.58	253.23	426.57	161.02	189.02	320.8	466.88	133.36	256.78	220.32	483.38	603.67	435.55	332.14	376.41	305.55	381.68	665.29	376.41	381.68	571.05	450.94	351.14	536.45	186.4
NUFIP2	138.1	591.22	733.19	607.87	947.83	406.31	309.83	460.44	463.65	400.71	316.37	384.34	279.14	299.25	351.14	301.33	470.14	426.57	181.28	269.6	228.13	236.21	226.54	334.46	205.5	297.17	295.11	353.59	366.09	473.41	316.37	232.94	256.78	307.69	395.18	503.95	256.78	381.68	457.25	356.05	420.68	255.0
OSBPL8	136.19	884.29	981.29	825.0	2935.74	283.05	348.71	447.82	435.55	395.18	341.51	325.29	135.24	228.13	307.69	204.07	277.2	406.31	152.28	189.02	232.94	205.5	133.36	217.27	127.89	214.27	162.14	260.38	283.05	287.01	183.82	211.31	199.85	212.78	417.77	595.34	466.88	595.34	974.5	500.46	703.28	253.23
PGAP1	23.93	152.28	283.05	146.03	162.14	60.39	79.45	140.04	167.9	105.15	70.51	82.29	32.59	76.17	90.77	53.57	77.25	126.12	21.63	57.08	43.02	31.67	26.28	59.13	33.54	52.82	38.95	92.7	88.88	96.01	63.0	55.49	43.63	65.26	124.37	90.14	84.04	175.07	97.36	115.16	105.15	49.91
PHF3	137.14	1015.93	1304.15	830.75	1350.18	403.5	473.41	559.28	490.14	463.65	371.22	381.68	277.2	351.14	429.54	341.51	503.95	591.22	258.57	336.79	256.78	348.71	214.27	438.59	231.32	351.14	312.0	432.53	466.88	406.31	307.69	389.72	339.14	420.68	612.11	607.87	454.09	599.49	563.18	540.19	587.13	299.25
PHIP	87.65	607.87	872.1	536.45	780.44	183.82	289.02	320.8	295.11	297.17	241.19	301.33	205.5	226.54	262.2	234.57	327.56	343.89	141.02	194.36	141.02	211.31	126.12	262.2	156.59	265.87	132.44	295.11	289.02	351.14	211.31	173.85	150.17	249.73	366.09	432.53	397.93	409.15	457.25	432.53	450.94	244.57
PIKFYVE	48.87	336.79	351.14	265.87	329.84	116.78	138.1	228.13	173.85	197.09	139.07	189.02	134.3	139.07	173.85	108.9	175.07	201.25	94.01	113.56	116.78	108.9	70.01	137.14	109.66	131.51	85.82	146.03	185.11	190.34	141.02	136.19	88.88	145.02	186.4	211.31	182.55	237.86	329.84	193.01	295.11	132.44
PLSCR4	199.85	1733.13	1487.87	1769.57	7081.29	463.65	872.1	1008.9	842.36	1350.18	896.64	684.02	339.14	616.37	780.44	599.49	909.17	1561.89	432.53	791.35	470.14	612.11	480.04	909.17	463.65	656.11	587.13	1044.52	1135.2	896.64	764.36	708.18	500.46	796.86	1051.79	981.29	607.87	981.29	1096.5	819.3	1242.34	532.74
PPP4R2	202.66	928.3	1127.35	1096.5	1322.37	444.72	325.29	384.34	438.59	457.25	314.17	420.68	220.32	303.44	327.56	316.37	503.95	463.65	198.47	285.03	191.67	251.48	234.57	314.17	237.86	339.14	258.57	371.22	384.34	373.81	334.46	262.2	269.6	339.14	507.46	486.75	414.87	470.14	669.92	412.0	423.61	264.03
PRKAA1	206.94	1529.73	1498.22	1583.71	2451.44	633.73	764.36	743.43	733.19	896.64	559.28	802.41	808.0	587.13	738.29	353.59	796.86	878.17	660.68	417.77	718.08	426.57	376.41	612.11	599.49	529.06	457.25	688.78	703.28	620.67	429.54	551.56	447.82	796.86	1030.12	1233.75	860.08	1350.18	1159.07	974.5	1242.34	543.96
PSEN1	356.05	1037.29	928.3	1096.5	1286.18	633.73	441.64	884.29	684.02	559.28	500.46	497.0	334.46	395.18	529.06	358.54	454.09	595.34	486.75	486.75	432.53	353.59	336.79	473.41	371.22	371.22	470.14	432.53	490.14	353.59	351.14	389.72	397.93	432.53	854.13	529.06	599.49	688.78	647.07	503.95	684.02	457.25
QKI	559.28	1963.57	1977.24	1605.83	2468.49	748.61	1529.73	921.88	1313.23	1175.27	1175.27	995.0	473.41	536.45	860.08	503.95	688.78	1508.65	514.56	684.02	450.94	583.07	381.68	836.53	384.34	587.13	555.41	967.76	961.07	775.05	543.96	718.08	808.0	629.35	1286.18	1359.57	1037.29	1242.34	1963.57	1096.5	1709.26	884.29
QSER1	46.84	353.59	486.75	320.8	429.54	101.54	115.16	312.0	212.78	136.19	86.43	142.01	106.63	111.21	117.6	105.89	132.44	206.94	66.18	109.66	81.71	88.26	50.98	136.19	74.58	92.05	82.87	135.24	154.42	130.6	104.42	100.13	82.87	131.51	162.14	231.32	204.07	204.07	273.37	185.11	253.23	90.14
RAB3GAP2	92.7	460.44	579.04	466.88	579.04	185.11	234.57	397.93	285.03	320.8	246.28	260.38	169.07	237.86	343.89	269.6	228.13	389.72	134.3	239.52	151.22	194.36	132.44	285.03	197.09	236.21	157.68	318.57	246.28	283.05	285.03	220.32	202.66	262.2	277.2	368.65	327.56	346.29	384.34	329.84	387.02	171.45
RAB8B	131.51	525.39	547.75	679.29	1159.07	316.37	363.56	198.47	343.89	543.96	248.0	332.14	156.59	229.72	303.44	229.72	329.84	583.07	133.36	180.02	180.02	165.57	149.12	234.57	211.31	195.72	220.32	277.2	303.44	176.29	231.32	167.9	198.47	255.0	429.54	426.57	373.81	511.0	769.69	320.8	693.58	194.36
RBM27	99.43	412.0	536.45	426.57	693.58	162.14	197.09	191.67	186.4	178.77	142.01	189.02	107.38	103.69	162.14	113.56	152.28	204.07	83.45	106.63	92.7	129.69	67.12	139.07	99.43	153.34	136.19	158.79	145.02	135.24	120.1	131.51	145.02	150.17	260.38	241.19	215.77	283.05	307.69	218.79	267.73	123.5
RIF1	60.82	463.65	684.02	460.44	764.36	157.68	150.17	336.79	239.52	181.28	155.5	178.77	117.6	156.59	171.45	123.5	205.5	217.27	98.73	145.02	144.01	103.69	77.25	189.02	78.34	149.12	98.73	209.84	205.5	154.42	138.1	118.43	118.43	206.94	189.02	262.2	226.54	264.03	336.79	223.41	351.14	108.9
RLIM	117.6	414.87	591.22	616.37	551.56	237.86	199.85	334.46	334.46	314.17	267.73	267.73	134.3	152.28	220.32	147.06	262.2	283.05	120.94	142.01	165.57	128.79	117.6	166.73	159.9	165.57	139.07	206.94	217.27	224.97	148.09	152.28	153.34	231.32	223.41	327.56	320.8	314.17	348.71	291.04	400.71	193.01
RNF168	128.79	287.01	267.73	256.78	384.34	166.73	149.12	287.01	429.54	205.5	165.57	169.07	116.78	111.21	175.07	135.24	143.01	297.17	98.73	113.56	127.0	94.67	70.01	119.26	87.65	126.12	86.43	187.71	189.02	117.6	111.99	126.12	99.43	107.38	158.79	198.47	173.85	246.28	231.32	185.11	224.97	105.89
RNFT1	84.04	356.05	466.88	466.88	409.15	146.03	110.43	265.87	190.34	226.54	154.42	176.29	162.14	128.79	209.84	214.27	156.59	356.05	218.79	244.57	147.06	124.37	77.79	100.13	144.01	167.9	136.19	220.32	239.52	77.79	181.28	198.47	124.37	194.36	281.09	229.72	264.03	289.02	299.25	182.55	293.07	115.16
SAV1	351.14	1519.15	2163.77	1639.59	2104.58	796.86	603.67	693.58	813.63	819.3	607.87	647.07	323.03	559.28	819.3	376.41	656.11	791.35	400.71	551.56	361.04	466.88	429.54	521.76	409.15	450.94	435.55	669.92	698.41	518.15	426.57	480.04	532.74	563.18	679.29	587.13	860.08	571.05	723.08	684.02	647.07	575.03
SGPP1	70.01	295.11	320.8	521.76	497.0	152.28	175.07	269.6	173.85	231.32	194.36	186.4	155.5	189.02	242.88	201.25	283.05	334.46	119.26	208.38	119.26	126.12	133.36	204.07	128.79	204.07	130.6	199.85	209.84	128.79	231.32	218.79	193.01	166.73	269.6	246.28	211.31	258.57	356.05	221.86	242.88	154.42
