	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.11P7K.0626.SM.5985Z
CDKAL1	153.34	81.71	113.56	156.59	146.03	78.89	116.78	133.36	123.5	103.69	132.44	116.78	119.26	120.94	124.37	161.02	112.77	91.41	109.66	90.77	110.43	111.99	91.41	90.77	103.69	126.12	96.68	52.08	90.77	108.9	102.25	82.29	119.26	106.63	77.25	83.45	88.26	121.79	100.83	124.37	144.01	99.43	108.14	111.99	65.26	157.68	143.01	80.01	89.51	100.13	155.5	92.05	147.06	129.69	128.79	80.57	111.99	81.14	158.79	84.04	98.04	127.89	84.63	94.01	107.38	89.51	96.01	120.1	173.85	149.12	158.79	176.29	148.09	169.07	141.02	131.51	175.07	133.36	187.71	154.42	134.3	151.22	139.07	156.59	212.78	113.56	123.5	145.02	164.42	187.71	167.9
CECR1	486.75	129.69	612.11	329.84	229.72	37.32	87.03	341.51	307.69	226.54	486.75	126.12	305.55	185.11	125.24	234.57	295.11	79.45	156.59	115.97	150.17	99.43	281.09	163.28	198.47	334.46	246.28	32.13	190.34	281.09	189.02	94.67	669.92	53.57	255.0	204.07	147.06	713.11	279.14	307.69	239.52	178.77	205.5	194.36	49.21	307.69	480.04	147.06	154.42	132.44	332.14	75.64	218.79	165.57	389.72	137.14	376.41	206.94	473.41	148.09	432.53	363.56	138.1	202.66	96.01	103.69	74.58	379.04	1044.52	896.64	808.0	703.28	348.71	480.04	441.64	579.04	371.22	191.67	1286.18	518.15	307.69	842.36	279.14	872.1	1208.34	283.05	591.22	642.59	967.76	713.11	995.0
CHST11	76.71	25.17	75.11	40.64	108.9	5.54	49.91	90.77	59.13	43.63	64.8	29.06	68.07	26.67	32.59	75.64	52.08	19.82	26.28	35.25	20.11	20.41	51.35	27.64	24.46	59.55	31.67	9.34	32.82	61.68	32.13	21.94	137.14	12.74	45.53	46.84	49.56	38.4	89.51	59.55	73.54	29.48	49.56	33.78	14.03	42.11	90.14	41.81	35.25	27.84	97.36	15.11	52.82	32.36	34.75	37.32	63.45	26.86	78.89	36.01	24.81	118.43	32.82	38.4	14.89	50.98	21.63	77.79	169.07	242.88	96.68	146.03	111.21	85.22	92.7	133.36	105.15	88.26	178.77	60.39	39.5	138.1	85.22	150.17	262.2	56.28	32.82	153.34	134.3	176.29	125.24
CHST15	205.5	24.81	226.54	150.17	336.79	70.51	167.9	112.77	120.94	70.01	265.87	80.57	145.02	46.18	41.52	193.01	166.73	92.7	72.01	70.01	85.82	99.43	130.6	85.82	103.69	148.09	47.84	27.64	70.01	127.0	29.7	55.1	218.79	19.25	103.69	134.3	90.77	175.07	90.14	127.89	205.5	61.25	85.82	70.01	120.1	220.32	309.83	57.89	41.22	89.51	255.0	45.21	178.77	101.54	221.86	244.57	130.6	51.71	314.17	202.66	88.88	309.83	48.52	116.78	55.49	69.03	62.56	256.78	518.15	575.03	334.46	403.5	353.59	303.44	221.86	297.17	353.59	320.8	420.68	336.79	226.54	400.71	277.2	463.65	559.28	249.73	181.28	327.56	366.09	198.47	642.59
CLIP2	127.89	34.02	120.1	159.9	193.01	18.56	96.01	114.36	150.17	123.5	166.73	102.97	120.94	76.17	45.21	176.29	148.09	30.12	87.65	120.94	44.25	42.41	85.22	67.12	45.53	97.36	76.71	27.25	112.77	163.28	59.13	72.52	237.86	19.97	78.89	173.85	158.79	105.15	91.41	101.54	120.1	76.71	149.12	60.82	31.45	106.63	234.57	45.21	70.01	49.91	108.14	51.71	118.43	117.6	127.89	37.59	155.5	111.99	221.86	73.03	74.06	215.77	86.43	80.57	96.01	66.65	85.82	162.14	285.03	339.14	208.38	185.11	169.07	228.13	175.07	201.25	244.57	167.9	429.54	172.65	134.3	361.04	204.07	287.01	323.03	145.02	100.13	209.84	273.37	214.27	186.4
CLVS2	49.56	1.58	11.21	16.03	15.45	0.93	6.46	27.44	10.16	31.22	34.02	9.41	38.4	2.16	12.74	20.71	6.26	8.85	3.32	12.36	12.36	18.03	8.99	7.82	1.45	15.45	5.5	0.0	2.61	10.88	8.71	3.92	33.3	0.65	0.32	5.73	1.69	6.73	28.04	16.51	18.56	9.93	9.48	12.83	0.59	14.03	53.57	11.82	2.32	1.31	10.08	1.28	33.78	9.78	4.58	6.78	12.09	2.53	42.41	0.71	10.88	39.5	6.21	3.63	1.19	4.39	2.14	25.54	82.29	24.46	78.34	57.89	62.56	56.68	55.1	27.44	80.01	29.06	198.47	27.84	28.24	96.01	33.06	73.54	134.3	33.06	17.77	60.82	53.19	108.14	42.41
CPQ	830.75	303.44	1216.75	764.36	902.89	287.01	723.08	1143.1	629.35	642.59	947.83	532.74	1127.35	264.03	460.44	1111.82	884.29	334.46	583.07	463.65	547.75	532.74	490.14	376.41	486.75	896.64	361.04	197.09	688.78	764.36	718.08	224.97	1015.93	329.84	738.29	854.13	802.41	836.53	896.64	753.83	842.36	1183.45	323.03	414.87	595.34	961.07	1183.45	551.56	420.68	454.09	825.0	698.41	733.19	1127.35	872.1	665.29	532.74	796.86	947.83	1216.75	753.83	941.27	325.29	536.45	476.71	669.92	275.28	1233.75	1073.91	1662.49	1225.22	1044.52	1096.5	1331.57	1322.37	1508.65	1175.27	1051.79	1769.57	981.29	1081.39	1529.73	1477.58	1081.39	1605.83	1313.23	974.5	1639.59	1417.35	1259.69	2090.03
CRISPLD2	2271.4	327.56	1674.06	1369.04	3491.39	217.27	2367.9	583.07	1081.39	1313.23	2303.12	890.44	1477.58	497.0	229.72	1388.16	1447.15	536.45	884.29	1104.13	351.14	336.79	1127.35	1008.9	397.93	1208.34	1008.9	128.79	551.56	2976.74	1135.2	202.66	2739.08	297.17	1208.34	1167.14	1605.83	1175.27	1216.75	1081.39	1322.37	961.07	713.11	1651.0	429.54	1561.89	6079.61	665.29	490.14	368.65	2255.7	688.78	1313.23	1340.84	1896.65	961.07	540.19	679.29	1437.15	934.76	417.77	2645.74	1111.82	713.11	486.75	612.11	336.79	1259.69	2502.97	4903.87	1259.69	2400.97	2319.15	2224.63	1540.37	1674.06	1857.6	1963.57	5366.37	2224.63	1639.59	2351.53	2537.92	2119.22	2061.24	1277.29	1639.59	5791.62	4543.8	1015.93	928.3
CRKL	536.45	271.48	457.25	476.71	547.75	332.14	414.87	438.59	420.68	379.04	497.0	366.09	441.64	316.37	387.02	583.07	426.57	343.89	457.25	429.54	323.03	299.25	392.44	426.57	371.22	438.59	336.79	329.84	346.29	403.5	271.48	387.02	466.88	466.88	336.79	435.55	373.81	438.59	412.0	500.46	500.46	314.17	447.82	314.17	343.89	497.0	551.56	466.88	329.84	400.71	521.76	397.93	497.0	438.59	426.57	403.5	480.04	373.81	575.03	368.65	379.04	529.06	381.68	395.18	389.72	363.56	277.2	511.0	703.28	571.05	629.35	647.07	507.46	483.38	480.04	406.31	555.41	457.25	624.99	414.87	466.88	624.99	559.28	563.18	728.11	463.65	470.14	587.13	579.04	651.58	607.87
CWF19L2	208.38	82.87	133.36	182.55	152.28	108.9	115.97	111.21	128.79	114.36	158.79	123.5	181.28	66.65	137.14	157.68	145.02	84.04	107.38	134.3	108.14	119.26	120.1	115.16	115.16	193.01	108.14	69.52	68.07	112.77	100.83	59.97	154.42	118.43	93.35	80.57	80.01	121.79	130.6	141.02	152.28	97.36	116.78	102.97	154.42	199.85	183.82	137.14	72.52	129.69	187.71	141.02	156.59	112.77	124.37	121.79	193.01	138.1	177.53	135.24	110.43	146.03	85.82	105.15	98.73	109.66	81.14	181.28	273.37	220.32	231.32	241.19	182.55	232.94	189.02	248.0	220.32	127.0	293.07	180.02	191.67	260.38	177.53	256.78	309.83	209.84	158.79	209.84	249.73	253.23	229.72
DCHS2	9.7	0.33	8.58	7.94	19.39	0.0	5.06	4.35	3.86	5.87	22.26	2.76	4.86	1.77	0.67	11.38	7.0	0.39	1.97	1.91	0.99	1.35	2.32	3.23	6.89	11.21	2.56	0.0	3.5	5.77	0.74	0.99	7.4	0.65	1.83	5.92	2.66	11.91	6.46	1.66	10.96	1.0	3.03	1.43	0.3	17.77	12.74	0.34	0.67	7.82	9.78	0.64	11.91	3.66	7.22	0.66	3.0	0.95	10.31	3.38	3.35	18.56	0.99	2.58	0.59	3.63	2.1	7.34	17.51	28.04	8.65	11.82	13.42	16.51	12.09	13.03	14.24	17.9	26.86	15.56	8.92	38.67	7.57	14.56	18.97	10.08	4.62	9.7	23.93	8.38	48.18
DCUN1D4	309.83	95.34	212.78	253.23	237.86	178.77	190.34	217.27	241.19	291.04	339.14	175.07	275.28	158.79	205.5	297.17	255.0	153.34	150.17	223.41	182.55	281.09	141.02	244.57	214.27	287.01	175.07	178.77	127.0	234.57	173.85	147.06	323.03	180.02	208.38	167.9	141.02	232.94	224.97	251.48	180.02	197.09	239.52	214.27	301.33	429.54	379.04	205.5	167.9	205.5	329.84	127.0	339.14	182.55	248.0	258.57	208.38	150.17	329.84	162.14	172.65	348.71	269.6	193.01	145.02	187.71	217.27	373.81	497.0	591.22	351.14	400.71	473.41	563.18	343.89	423.61	525.39	273.37	708.18	281.09	323.03	587.13	329.84	555.41	595.34	376.41	211.31	358.54	392.44	409.15	525.39
DDO	18.29	6.94	29.48	25.54	36.53	34.51	27.25	31.22	12.93	17.13	29.06	9.34	36.01	5.92	56.68	47.84	24.63	6.11	7.0	5.02	6.36	6.52	15.56	11.13	5.54	19.53	8.65	0.38	15.34	24.11	16.88	14.03	37.05	2.86	17.64	15.11	9.85	11.13	25.54	14.67	31.9	18.43	13.72	25.54	3.44	27.84	35.0	8.32	17.0	12.55	13.72	3.44	15.45	14.89	27.44	16.27	21.63	6.41	55.1	15.34	7.88	36.53	9.06	16.15	7.82	11.47	17.25	43.32	55.49	60.82	53.19	55.49	55.1	59.55	46.18	88.26	55.49	44.25	90.77	42.11	19.68	91.41	49.21	66.18	108.14	36.53	44.89	70.51	76.71	28.04	117.6
DIO3	28.24	44.57	32.13	23.42	55.1	0.0	28.65	8.58	22.1	25.35	18.97	13.72	19.82	7.17	15.45	24.63	18.97	16.39	10.63	11.91	11.04	8.85	13.22	10.16	16.15	16.51	8.06	1.71	22.43	16.27	17.0	16.03	46.18	1.79	8.13	13.72	14.45	20.56	21.63	18.03	13.32	9.93	10.96	15.0	3.76	19.53	31.67	1.83	6.26	16.03	19.68	7.11	31.45	24.28	15.68	6.16	13.12	3.32	19.97	4.43	22.1	39.5	7.4	12.93	5.92	11.3	11.38	25.91	47.17	61.68	15.56	35.0	32.13	41.81	15.11	29.91	51.35	28.45	59.55	39.22	13.22	50.98	32.82	32.36	48.52	34.26	12.18	42.41	44.89	53.19	150.17
DNAJC27	83.45	19.82	59.13	52.82	62.12	36.01	43.94	54.72	38.95	67.59	85.22	30.56	85.22	30.78	33.06	54.72	57.49	31.22	33.54	55.89	39.79	38.67	49.91	57.89	41.22	44.57	49.21	30.12	26.1	63.45	28.04	27.25	86.43	40.64	37.05	53.95	41.52	51.35	60.82	52.45	63.45	32.36	47.17	38.67	43.02	69.03	69.52	68.07	24.28	45.53	64.8	33.3	62.12	42.71	60.39	40.64	42.41	28.65	56.68	40.36	37.05	76.71	60.82	45.21	42.71	35.0	50.63	82.29	97.36	120.1	92.7	102.97	83.45	107.38	93.35	84.04	105.15	60.39	118.43	92.05	66.65	146.03	72.01	111.99	131.51	85.82	48.52	105.15	127.89	115.97	121.79
DOCK1	460.44	180.02	470.14	400.71	575.03	197.09	346.29	435.55	312.0	366.09	624.99	314.17	476.71	206.94	255.0	409.15	503.95	231.32	301.33	281.09	297.17	228.13	368.65	334.46	212.78	246.28	258.57	127.0	232.94	466.88	301.33	193.01	497.0	279.14	191.67	409.15	303.44	387.02	368.65	271.48	514.56	248.0	381.68	295.11	176.29	503.95	507.46	363.56	211.31	356.05	563.18	325.29	373.81	251.48	460.44	267.73	307.69	127.0	518.15	271.48	221.86	567.1	373.81	301.33	444.72	316.37	339.14	514.56	775.05	728.11	633.73	633.73	483.38	518.15	536.45	486.75	620.67	483.38	775.05	450.94	514.56	633.73	651.58	591.22	708.18	486.75	293.07	665.29	603.67	669.92	780.44
DYSF	155.5	38.67	162.14	121.79	182.55	20.86	117.6	94.67	153.34	96.68	220.32	98.04	85.22	47.17	52.45	241.19	152.28	77.79	102.25	94.67	45.85	55.89	88.26	59.55	83.45	114.36	67.59	60.82	144.01	65.72	107.38	64.34	197.09	31.0	48.87	285.03	195.72	120.1	105.15	91.41	167.9	58.3	53.95	63.45	42.71	166.73	158.79	96.68	66.65	129.69	118.43	25.17	100.13	139.07	223.41	75.64	134.3	49.21	197.09	104.42	146.03	231.32	75.11	87.65	24.99	74.58	74.06	77.79	189.02	258.57	135.24	120.94	221.86	158.79	113.56	88.88	198.47	363.56	358.54	381.68	135.24	532.74	129.69	293.07	299.25	159.9	146.03	249.73	271.48	114.36	199.85
EDNRA	414.87	45.85	397.93	236.21	376.41	28.65	297.17	223.41	327.56	307.69	429.54	147.06	215.77	100.13	100.83	395.18	305.55	65.26	164.42	115.16	108.14	159.9	117.6	124.37	209.84	358.54	80.01	13.83	205.5	223.41	110.43	104.42	476.71	19.53	172.65	264.03	246.28	358.54	190.34	264.03	351.14	67.59	140.04	116.78	52.82	656.11	423.61	50.98	82.87	176.29	447.82	56.68	301.33	183.82	283.05	100.13	198.47	73.03	423.61	59.97	237.86	490.14	77.25	209.84	61.68	111.99	140.04	414.87	947.83	860.08	395.18	583.07	599.49	603.67	312.0	559.28	532.74	633.73	1457.23	579.04	348.71	1259.69	395.18	684.02	728.11	305.55	234.57	466.88	802.41	866.07	1477.58
EOGT	356.05	108.14	208.38	316.37	264.03	73.03	175.07	217.27	218.79	260.38	417.77	181.28	277.2	119.26	94.01	239.52	231.32	118.43	129.69	201.25	117.6	199.85	127.89	145.02	195.72	258.57	198.47	54.33	139.07	269.6	265.87	106.63	432.53	132.44	94.67	199.85	181.28	223.41	262.2	232.94	251.48	152.28	185.11	177.53	103.69	376.41	348.71	117.6	128.79	173.85	343.89	59.13	277.2	148.09	256.78	122.64	186.4	133.36	395.18	120.94	143.01	417.77	202.66	218.79	90.77	142.01	139.07	381.68	511.0	620.67	426.57	423.61	356.05	497.0	334.46	395.18	476.71	334.46	651.58	414.87	381.68	612.11	303.44	392.44	595.34	441.64	237.86	466.88	463.65	423.61	466.88
EYA4	93.35	2.76	50.27	39.22	74.06	6.11	40.07	34.51	35.76	50.63	111.21	23.59	41.22	8.65	18.16	65.72	46.5	7.75	24.81	18.7	12.93	27.64	12.83	19.82	36.79	48.18	10.96	0.59	22.59	34.75	19.68	9.34	55.1	4.24	9.56	26.67	18.84	53.19	33.78	35.0	70.51	15.56	23.08	19.82	7.63	118.43	74.06	7.88	6.57	45.21	55.1	8.32	63.89	27.44	59.97	10.0	23.25	3.14	58.3	10.96	29.48	76.17	7.22	20.11	10.96	18.29	23.42	70.01	120.94	157.68	64.8	85.22	86.43	155.5	59.55	74.58	108.14	88.88	244.57	127.0	61.68	218.79	47.84	120.94	167.9	70.01	35.25	77.25	132.44	64.8	119.26
FAM13B	450.94	165.57	287.01	289.02	371.22	226.54	221.86	318.57	255.0	366.09	473.41	236.21	327.56	212.78	256.78	293.07	329.84	183.82	232.94	361.04	281.09	251.48	223.41	293.07	295.11	363.56	293.07	83.45	153.34	356.05	167.9	142.01	473.41	169.07	177.53	297.17	318.57	271.48	316.37	435.55	387.02	232.94	149.12	217.27	307.69	490.14	457.25	206.94	146.03	281.09	444.72	87.65	397.93	314.17	273.37	221.86	303.44	237.86	414.87	202.66	255.0	358.54	255.0	244.57	285.03	151.22	194.36	420.68	591.22	769.69	511.0	511.0	463.65	769.69	409.15	665.29	638.15	267.73	1183.45	361.04	432.53	775.05	403.5	703.28	830.75	403.5	256.78	616.37	713.11	607.87	555.41
FAM83B	17.51	2.2	12.74	25.17	34.75	0.0	15.34	31.0	8.92	3.63	21.78	5.02	27.25	1.13	22.92	29.06	19.82	0.0	2.63	3.47	1.36	3.32	4.54	6.84	1.46	0.78	5.54	1.25	1.97	31.9	0.43	0.72	31.9	3.14	0.38	9.13	0.74	10.0	4.54	7.88	16.88	2.34	12.83	3.86	0.0	37.32	35.5	2.89	2.92	0.72	24.28	3.99	16.03	2.71	11.47	4.39	14.89	2.51	34.26	3.06	0.4	37.32	4.43	15.68	13.62	4.9	1.46	50.98	91.41	46.5	77.79	88.26	53.19	71.5	46.84	35.76	97.36	19.11	80.57	24.81	45.21	43.63	43.63	64.34	101.54	26.47	24.81	46.18	45.85	103.69	29.7
FER	90.14	13.83	46.84	47.5	52.45	27.05	36.53	41.52	33.78	43.02	63.45	31.9	58.3	19.11	40.07	44.25	46.18	21.78	29.48	24.63	32.59	27.64	28.86	28.24	29.27	59.97	36.79	11.13	31.9	53.95	22.92	20.56	66.18	50.63	40.36	29.06	33.78	53.19	43.63	48.87	51.71	27.44	31.22	48.52	31.0	70.51	72.01	47.84	18.29	35.0	73.54	18.84	56.68	43.32	37.85	33.54	45.21	30.12	57.89	44.57	29.48	65.72	45.21	27.25	32.36	44.25	32.59	58.71	114.36	126.12	81.71	96.68	63.89	73.03	54.72	75.64	95.34	41.22	167.9	53.57	72.01	136.19	60.39	103.69	127.89	60.39	28.86	79.45	92.05	78.89	68.07
FOXJ2	289.02	114.36	204.07	251.48	256.78	137.14	177.53	208.38	208.38	197.09	262.2	206.94	215.77	147.06	187.71	269.6	182.55	157.68	170.25	164.42	148.09	169.07	153.34	177.53	195.72	226.54	182.55	127.0	120.1	194.36	164.42	131.51	262.2	144.01	163.28	182.55	120.94	218.79	181.28	201.25	229.72	157.68	191.67	178.77	135.24	260.38	271.48	204.07	137.14	167.9	234.57	149.12	223.41	211.31	215.77	186.4	234.57	158.79	271.48	167.9	152.28	248.0	181.28	117.6	153.34	149.12	169.07	208.38	373.81	348.71	325.29	279.14	237.86	269.6	264.03	208.38	275.28	229.72	348.71	295.11	246.28	400.71	269.6	332.14	395.18	232.94	194.36	291.04	341.51	371.22	305.55
FOXO1	264.03	57.49	134.3	217.27	316.37	63.89	181.28	145.02	143.01	113.56	193.01	157.68	202.66	66.65	152.28	273.37	148.09	89.51	127.89	139.07	83.45	123.5	110.43	123.5	167.9	212.78	143.01	63.0	73.03	116.78	70.51	104.42	183.82	98.04	106.63	82.87	96.68	146.03	182.55	199.85	251.48	96.01	140.04	119.26	76.17	232.94	206.94	134.3	68.07	130.6	251.48	80.01	165.57	181.28	205.5	112.77	134.3	82.29	211.31	151.22	103.69	217.27	115.97	88.26	108.14	121.79	88.26	163.28	305.55	389.72	258.57	283.05	211.31	183.82	256.78	189.02	269.6	281.09	316.37	295.11	236.21	470.14	157.68	318.57	381.68	186.4	178.77	476.71	303.44	307.69	351.14
FREM2	55.1	0.0	18.56	28.04	31.9	0.49	14.14	12.0	14.67	24.81	55.89	5.63	21.01	12.74	7.06	18.97	31.45	1.64	8.0	7.46	5.28	12.36	2.97	5.59	7.0	37.59	4.03	0.0	5.23	11.55	9.78	1.13	28.04	1.97	2.76	5.45	3.29	30.12	12.27	18.97	33.06	5.96	7.0	3.2	0.46	47.17	59.13	0.53	11.13	8.45	24.46	1.08	33.3	13.62	23.08	2.32	17.0	1.66	21.47	3.38	17.38	35.25	1.73	9.63	2.34	4.86	6.01	5.82	36.27	38.95	34.26	14.14	25.17	12.36	21.63	6.16	14.78	35.5	67.59	38.4	13.83	108.9	13.62	34.26	72.52	21.01	13.52	17.25	77.25	55.1	79.45
FRMD6	466.88	35.25	295.11	307.69	435.55	39.22	279.14	275.28	229.72	334.46	429.54	182.55	412.0	111.99	98.73	441.64	414.87	38.67	159.9	120.94	105.89	186.4	155.5	189.02	185.11	381.68	88.88	8.78	143.01	323.03	115.16	88.26	693.58	31.0	70.01	198.47	152.28	343.89	206.94	368.65	373.81	107.38	189.02	166.73	62.56	642.59	599.49	88.26	74.58	190.34	450.94	121.79	341.51	220.32	334.46	88.88	167.9	73.03	579.04	78.34	144.01	571.05	114.36	170.25	64.8	166.73	149.12	490.14	1023.0	1051.79	872.1	934.76	808.0	1175.27	525.39	1044.52	808.0	503.95	2061.24	575.03	420.68	1519.15	595.34	1135.2	1369.04	525.39	373.81	511.0	1088.92	1088.92	1832.01
GALNT5	24.81	3.06	16.51	15.91	34.26	0.93	25.17	12.18	5.68	5.19	18.43	4.7	35.25	2.12	4.17	25.72	26.47	0.77	3.53	4.94	2.89	1.03	11.91	6.89	1.77	9.06	2.53	0.0	6.21	14.24	2.86	2.89	10.96	1.58	0.65	9.56	1.35	10.79	14.67	8.51	43.02	4.5	8.06	3.5	0.6	26.28	20.26	4.98	3.2	9.48	38.12	15.8	10.39	5.54	12.55	4.7	19.68	4.24	22.43	3.35	3.0	31.67	6.52	6.89	4.5	9.85	10.96	41.52	75.64	37.85	40.36	83.45	33.06	18.84	31.9	16.75	43.02	17.9	23.93	23.76	27.25	35.5	30.12	49.21	68.55	13.72	25.17	43.63	33.3	48.18	29.06
GALNT6	25.35	6.89	15.8	25.35	54.72	3.99	12.36	28.04	11.38	7.46	19.11	11.13	17.64	12.0	6.11	25.35	20.86	6.52	7.57	13.03	4.58	3.79	15.91	8.13	6.57	10.96	15.11	3.35	11.47	21.63	5.73	12.74	35.76	3.56	10.39	18.16	34.51	11.64	18.84	15.91	17.51	17.64	21.32	8.25	2.71	14.67	29.7	8.32	7.82	6.01	41.81	6.94	16.27	9.93	15.56	5.73	25.72	22.59	44.57	16.39	6.94	30.12	16.39	14.78	4.1	28.65	10.63	44.57	132.44	69.52	53.19	55.89	34.51	40.36	30.56	29.27	63.45	15.56	71.5	30.78	46.5	40.64	49.21	55.1	166.73	20.41	34.51	50.63	67.59	52.08	39.79
GID4	198.47	95.34	149.12	143.01	142.01	100.83	165.57	137.14	140.04	182.55	176.29	161.02	123.5	98.73	120.1	180.02	165.57	116.78	170.25	124.37	115.97	151.22	96.01	156.59	151.22	195.72	103.69	92.05	102.97	152.28	108.9	115.97	165.57	103.69	119.26	154.42	124.37	191.67	121.79	177.53	191.67	132.44	139.07	127.89	114.36	205.5	187.71	100.13	101.54	135.24	156.59	114.36	180.02	117.6	167.9	103.69	124.37	99.43	185.11	132.44	120.94	181.28	118.43	127.89	147.06	132.44	147.06	152.28	193.01	234.57	206.94	190.34	201.25	199.85	173.85	163.28	191.67	199.85	291.04	191.67	180.02	291.04	146.03	217.27	218.79	161.02	149.12	209.84	218.79	228.13	275.28
GJA1	1030.12	129.69	909.17	1447.15	1030.12	64.34	1001.93	813.63	748.61	684.02	1159.07	490.14	1183.45	212.78	163.28	1674.06	1044.52	483.38	507.46	620.67	320.8	406.31	660.68	307.69	429.54	785.88	463.65	149.12	454.09	813.63	559.28	275.28	1721.16	92.05	181.28	878.17	785.88	679.29	698.41	563.18	842.36	217.27	466.88	353.59	267.73	1551.09	1388.16	277.2	323.03	269.6	1066.48	130.6	738.29	381.68	753.83	460.44	583.07	236.21	1936.53	316.37	518.15	1832.01	366.09	514.56	116.78	392.44	316.37	1359.57	3124.78	2537.92	1781.89	2609.3	2018.8	2090.03	1427.22	1487.87	1844.76	1639.59	2468.49	2400.97	1304.15	3060.45	1322.37	2485.67	2451.44	1331.57	1407.55	1561.89	1963.57	3820.7	2895.31
