	TCGA.DK.AA6W.01A.12R.A39I.07	TCGA.E2.A158.01A.11R.A12D.07	TCGA.B6.A0IQ.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AA.3526.01A.02R.A32Z.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.NK.A5D1.01A.11R.A26W.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.AJ.A3NF.01A.11R.A22K.07	TCGA.AJ.A23N.01A.11R.A22K.07	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.B5.A1MS.01B.11R.A22K.07	TCGA.D1.A2G0.01A.11R.A32Y.07	TCGA.E6.A8L9.01A.21R.A37O.07	TCGA.EY.A3L3.01A.11R.A22K.07	TCGA.PG.A7D5.01A.11R.A34R.07	TCGA.D1.A3JQ.01A.11R.A22K.07	TCGA.FL.A1YQ.11A.11R.A32Y.07
COL9A2	1407.55	796.86	703.28	30.34	121.79	46.5	29.48	7.34	17.25	74.58	23.76	48.52	13.93	20.71	0.0	1059.11	2.61	2.36	57.08	44.57	2.61	12.27	4.82	392.44	1199.98	703.28	1417.35	42.71	941.27	624.99	9808.75	3081.75	283.05
COLQ	38.4	44.57	59.55	2.58	14.67	14.24	24.99	29.91	12.74	1.51	3.72	8.25	4.9	3.41	0.0	52.45	2.12	9.2	4.62	6.36	9.2	7.82	5.23	42.41	65.26	111.21	84.04	19.82	100.13	38.67	59.55	156.59	116.78
CTD-2192J16.20	42.11	21.94	34.75	28.45	22.92	20.26	15.56	17.25	24.28	11.3	16.27	5.28	15.11	11.13	0.0	11.55	16.15	11.47	6.46	17.64	14.24	24.28	23.25	28.04	44.25	31.22	77.79	30.12	35.5	65.26	86.43	56.28	14.24
CUTA	5555.65	7130.55	10225.32	2758.13	5403.7	2895.31	2573.36	2573.36	2956.17	4512.4	1104.13	3325.99	2485.67	3419.52	0.0	7081.29	2816.11	1745.2	2032.85	2796.65	2895.31	3039.3	1977.24	7130.55	9151.82	6607.01	8022.41	3874.05	9474.59	10014.87	14262.1	9409.14	8658.09
DDX25	0.97	57.89	0.69	29.06	0.0	1.91	1.83	0.0	1.43	0.52	0.0	0.49	0.52	0.0	0.0	82.87	0.97	5.68	10.71	9.13	1.89	2.03	1.45	176.29	2.61	92.7	241.19	1.35	40.64	231.32	161.02	89.51	7.88
EIF3C	15934.98	19214.73	34158.52	10808.41	8963.45	8840.04	7642.41	5672.41	8598.28	6337.83	6652.97	8840.04	10585.95	8778.97	11745.96	14663.09	10883.59	14971.21	8363.13	13776.25	10659.59	13586.57	11112.3	16727.26	18052.61	13776.25	9876.98	16496.96	11584.24	16727.26	13586.57	40904.3	15934.98
FAM27A	343.89	36.27	642.59	100.13	33.78	52.08	81.14	53.95	36.27	20.26	11.13	6.26	22.1	25.54	0.0	217.27	67.12	48.87	444.72	85.82	42.11	38.4	10.63	201.25	115.97	205.5	159.9	314.17	169.07	52.45	514.56	563.18	143.01
FAM32A	3124.78	2148.82	4543.8	2303.12	2240.11	1721.16	1447.15	1745.2	1605.83	1477.58	1883.54	2061.24	1519.15	1487.87	0.0	1572.76	2956.17	1733.13	1340.84	2004.85	2627.46	1991.0	2573.36	5112.16	3235.01	5441.3	4836.35	2502.97	3018.3	3820.7	2384.37	3690.52	2193.99
FBXL13	10.16	24.28	67.59	2.2	9.63	1.22	2.46	0.51	1.73	2.51	1.06	3.14	2.12	0.61	0.0	22.1	1.77	7.22	0.0	6.16	6.16	3.35	1.68	15.11	10.71	12.55	29.06	6.16	38.12	31.9	10.24	65.72	26.86
GNL2	1769.57	2701.35	3257.52	954.43	1388.16	1088.92	1183.45	780.44	830.75	551.56	708.18	1508.65	1216.75	981.29	0.0	2573.36	974.5	1295.13	1467.37	1037.29	1096.5	1159.07	1286.18	2400.97	1477.58	3515.68	1594.73	2537.92	2193.99	2148.82	1447.15	4239.45	1487.87
GPBP1	1051.79	1304.15	825.0	1135.2	848.22	753.83	1015.93	915.51	791.35	728.11	733.19	1322.37	884.29	713.11	713.11	1268.46	759.08	902.89	860.08	775.05	909.17	842.36	1088.92	1369.04	1733.13	1331.57	1781.89	1008.9	995.0	1781.89	1477.58	2209.26	1561.89
GTF2E1	332.14	248.0	248.0	151.22	191.67	138.1	197.09	133.36	115.16	199.85	98.73	102.97	217.27	98.73	198.47	150.17	120.94	108.9	138.1	110.43	116.78	157.68	120.1	236.21	269.6	221.86	226.54	167.9	204.07	256.78	226.54	297.17	185.11
HOXA4	89.51	37.05	21.32	38.4	28.65	591.22	775.05	854.13	860.08	0.0	25.35	1.48	2.86	44.25	0.0	400.71	62.56	79.45	0.0	0.0	27.44	35.76	38.95	1066.48	231.32	255.0	186.4	166.73	96.01	665.29	165.57	1119.56	62.12
ILF3	7433.4	3395.89	4419.52	2193.99	2895.31	2777.33	2682.69	2255.7	2075.59	995.0	1721.16	2148.82	1819.35	1674.06	0.0	4671.57	890.44	2119.22	1757.34	1572.76	2148.82	1304.15	1447.15	4607.24	4972.34	5441.3	15715.58	4268.94	6607.01	4903.87	4736.79	6840.04	3395.89
INSL3	12.74	4.58	6.26	0.0	1.55	4.86	3.14	3.38	5.59	1.33	6.67	2.81	3.35	3.63	0.0	18.43	0.21	0.4	11.04	8.06	2.03	8.99	2.43	14.24	46.18	70.01	177.53	25.35	13.83	5.45	6.11	53.95	6.01
IQCC	249.73	186.4	102.25	44.89	113.56	42.11	59.55	39.22	29.27	10.24	40.36	43.02	23.93	15.11	0.0	215.77	17.9	14.03	9.13	26.28	14.67	16.15	9.56	102.25	91.41	106.63	195.72	81.14	173.85	381.68	201.25	356.05	80.57
KAT8	1417.35	1561.89	733.19	409.15	890.44	854.13	629.35	521.76	669.92	279.14	303.44	616.37	351.14	336.79	0.0	1447.15	336.79	329.84	368.65	583.07	351.14	409.15	343.89	1216.75	1159.07	1135.2	2255.7	830.75	872.1	1397.83	1467.37	3303.0	1167.14
KDM4D	23.76	16.03	44.25	9.56	11.04	8.13	12.74	5.73	3.86	10.24	4.94	7.94	8.0	3.86	0.0	43.63	9.78	4.9	4.58	7.88	13.03	9.06	6.62	31.9	44.57	62.12	31.0	18.16	41.81	66.65	52.45	45.53	17.51
KIF22	3190.46	1662.49	3742.05	1457.23	1359.57	974.5	1259.69	633.73	759.08	361.04	389.72	921.88	559.28	384.34	0.0	2645.74	764.36	1183.45	633.73	723.08	825.0	743.43	1015.93	2061.24	2664.15	1977.24	2935.74	1844.76	1322.37	2520.38	2485.67	4836.35	981.29
KLHDC9	13.72	150.17	420.68	53.95	180.02	51.35	80.01	94.01	82.29	7.75	0.0	4.5	4.74	4.17	0.0	285.03	5.32	4.31	9.48	63.45	36.79	36.79	12.45	480.04	241.19	381.68	1135.2	392.44	693.58	403.5	708.18	656.11	339.14
KRT4	305.55	5.77	12.0	3.697379928E7	4.17	1.810644424E7	6140819.49	2.276004283E7	3.109113511E7	813.63	111.21	7.11	27.44	63.45	0.0	1.55	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	34.02	2.81	31.0	866.07	9.34	67.59	27.64	629.35	884.29	6.46
LRCH2	58.3	40.36	15.34	0.0	10.71	12.64	14.03	5.02	4.94	15.68	2.18	2.61	1.48	6.41	0.0	108.9	6.73	4.82	5.68	1.36	0.82	0.0	0.93	61.25	21.47	142.01	135.24	1.2	94.01	38.67	74.58	170.25	59.55
MAATS1	20.86	129.69	38.95	7.82	10.55	8.92	10.24	9.78	30.12	0.74	0.0	2.89	0.0	1.43	0.0	138.1	1.43	2.16	2.73	5.15	5.15	0.0	1.08	85.22	42.71	80.01	197.09	10.47	264.03	148.09	289.02	400.71	109.66
MAN2B1	2956.17	3982.99	2855.44	460.44	753.83	988.12	599.49	785.88	791.35	842.36	1477.58	921.88	802.41	1721.16	0.0	1208.34	1159.07	928.3	591.22	1216.75	915.51	808.0	813.63	1909.85	2061.24	1216.75	2720.15	1350.18	5555.65	1781.89	4450.27	3614.55	2061.24
MAZ	10733.74	10296.45	12329.98	1437.15	4481.23	3467.27	2976.74	2485.67	2591.27	2367.9	1662.49	3303.0	4543.8	3303.0	4575.41	7966.99	2976.74	3303.0	1950.0	2609.3	2537.92	3349.13	2609.3	6561.36	10368.08	5555.65	9279.58	6516.03	4575.41	5112.16	7857.29	14461.21	4095.0
ORAI3	229.72	332.14	152.28	441.64	285.03	426.57	395.18	392.44	373.81	111.21	60.82	129.69	77.25	132.44	607.87	403.5	214.27	80.57	146.03	348.71	251.48	121.79	182.55	591.22	490.14	928.3	1081.39	181.28	551.56	669.92	620.67	1709.26	884.29
PABPC4	4210.15	6381.92	5219.6	1617.0	2627.46	1857.6	2255.7	1794.29	2047.0	1208.34	1508.65	3190.46	1963.57	1427.22	0.0	3325.99	2573.36	1628.26	2855.44	2367.9	2047.0	1674.06	1844.76	3303.0	3820.7	4298.64	8247.98	6516.03	5633.22	1896.65	3665.02	6426.31	3467.27
PEBP1	6426.31	8191.0	10440.2	2997.45	5403.7	4869.99	4298.64	5006.93	6471.02	2875.3	2047.0	2319.15	2209.26	3491.39	4328.55	4095.0	6745.86	6079.61	3349.13	5633.22	6652.97	6935.54	6516.03	7485.11	4736.79	5219.6	8078.22	7081.29	9215.48	7537.18	9409.14	6935.54	8247.98
PHKG2	1322.37	1111.82	743.43	638.15	842.36	587.13	723.08	536.45	493.56	234.57	693.58	507.46	293.07	414.87	0.0	988.12	218.79	473.41	450.94	381.68	400.71	267.73	309.83	848.22	1322.37	981.29	1407.55	1044.52	660.68	1529.73	1135.2	2915.45	674.59
PKN1	3303.0	1331.57	237.86	78.89	995.0	497.0	187.71	204.07	228.13	348.71	162.14	191.67	130.6	285.03	0.0	1304.15	325.29	40.93	108.9	353.59	181.28	231.32	70.01	5403.7	2209.26	2351.53	2855.44	1143.1	1781.89	2090.03	4450.27	6207.38	2047.0
PRR14	1340.84	1250.98	743.43	503.95	1023.0	1167.14	1044.52	1059.11	1096.5	329.84	633.73	567.1	470.14	559.28	0.0	1191.69	426.57	480.04	684.02	656.11	414.87	633.73	647.07	1096.5	1417.35	836.53	1388.16	665.29	607.87	1143.1	1104.13	2335.28	1191.69
RP11-345J4.3	16.27	16.63	67.12	15.22	3.35	12.93	0.0	7.34	3.14	8.45	0.0	11.38	0.0	12.09	0.0	17.13	0.0	2.03	4.43	20.26	10.79	2.94	4.7	16.15	54.33	14.24	7.57	0.0	0.0	10.63	63.45	98.73	12.27
RP11-347C12.3	32.82	95.34	100.83	8.85	5.68	18.43	26.47	8.71	3.44	7.57	3.17	0.8	7.57	2.16	0.0	115.16	1.81	3.82	7.88	34.51	10.24	4.39	4.31	58.3	156.59	59.55	106.63	35.5	9.2	32.59	133.36	318.57	18.43
SH2B1	1199.98	1111.82	1378.57	444.72	638.15	848.22	679.29	620.67	819.3	271.48	366.09	483.38	189.02	301.33	0.0	878.17	176.29	397.93	346.29	693.58	371.22	366.09	242.88	603.67	1183.45	1119.56	1331.57	718.08	896.64	1088.92	1388.16	2104.58	1457.23
SLC26A11	547.75	214.27	224.97	135.24	139.07	226.54	193.01	204.07	186.4	30.34	41.52	36.01	53.19	53.57	0.0	336.79	41.22	22.26	73.54	96.01	82.29	52.08	73.03	299.25	454.09	239.52	775.05	228.13	353.59	785.88	656.11	334.46	279.14
SMIM7	2758.13	2104.58	3515.68	1051.79	1721.16	1369.04	1250.98	1407.55	1447.15	1594.73	1088.92	1119.56	896.64	947.83	1697.45	1870.53	1857.6	954.43	591.22	1096.5	1322.37	1350.18	967.76	3515.68	2351.53	2573.36	3716.2	1427.22	2090.03	3235.01	2178.83	3325.99	2502.97
SNRPN	620.67	271.48	181.28	26.86	249.73	62.56	51.71	67.12	114.36	11.91	11.82	19.68	5.54	15.22	0.0	551.56	23.76	6.01	33.06	96.01	54.72	21.78	23.08	152.28	595.34	409.15	656.11	180.02	518.15	693.58	738.29	660.68	551.56
SNURF	6.31	0.0	2.86	0.0	2.2	1.6	0.36	0.0	0.6	0.0	0.0	0.45	0.0	1.08	0.0	7.69	2.1	1.35	2.78	1.41	1.64	2.36	0.0	0.0	2.94	8.65	5.19	1.03	5.73	18.16	11.04	8.25	2.27
SPOCK2	133.36	348.71	366.09	38.67	97.36	97.36	85.82	56.28	118.43	68.55	73.03	57.49	78.34	105.89	0.0	497.0	9.78	71.5	493.56	86.43	89.51	36.27	35.25	866.07	273.37	638.15	480.04	239.52	2178.83	2573.36	1259.69	1674.06	186.4
TBC1D10B	1073.91	733.19	2018.8	642.59	591.22	791.35	733.19	656.11	642.59	426.57	679.29	575.03	764.36	703.28	0.0	1023.0	409.15	733.19	796.86	620.67	703.28	656.11	723.08	1059.11	1662.49	830.75	1551.09	954.43	624.99	995.0	1127.35	2451.44	947.83
TECTA	9.2	4.21	6.52	1.45	2.12	2.29	4.17	4.7	1.17	1.36	1.57	1.69	1.36	2.16	0.0	6.06	0.67	0.64	1.2	2.92	1.58	0.62	1.06	22.26	18.97	10.71	54.72	3.63	8.71	14.56	8.92	21.78	6.01
THADA	791.35	1073.91	902.89	363.56	447.82	346.29	454.09	316.37	314.17	339.14	190.34	249.73	406.31	267.73	0.0	420.68	397.93	444.72	400.71	500.46	409.15	363.56	444.72	665.29	518.15	514.56	684.02	684.02	651.58	503.95	981.29	934.76	718.08
TMEM234	406.31	684.02	295.11	221.86	450.94	395.18	514.56	414.87	384.34	229.72	275.28	185.11	201.25	159.9	0.0	896.64	131.51	105.15	201.25	202.66	193.01	186.4	113.56	351.14	441.64	529.06	703.28	281.09	954.43	638.15	551.56	1447.15	595.34
TRIM45	358.54	409.15	190.34	40.07	118.43	27.84	68.07	42.11	18.16	16.88	38.95	22.43	10.16	13.03	0.0	221.86	8.45	32.59	20.41	24.63	25.72	17.9	7.51	193.01	312.0	138.1	612.11	116.78	191.67	224.97	379.04	327.56	293.07
USP51	49.56	21.47	38.12	2.51	5.96	6.94	12.45	5.92	4.54	1.28	4.17	1.22	2.43	4.9	0.0	87.03	10.39	5.82	5.59	9.48	4.7	4.46	3.79	107.38	50.63	31.0	65.72	19.97	21.47	76.17	55.89	102.97	78.89
WDR5B	202.66	133.36	149.12	35.76	84.63	36.01	58.3	37.05	24.46	33.3	12.83	20.11	41.52	15.11	0.0	92.7	22.59	9.85	21.01	31.67	15.91	20.11	13.72	80.01	88.88	112.77	132.44	46.84	130.6	144.01	152.28	194.36	119.26
WDR92	373.81	363.56	264.03	127.89	166.73	151.22	154.42	118.43	100.13	80.57	51.71	120.94	84.04	71.5	145.02	221.86	126.12	121.79	82.87	129.69	109.66	100.83	66.18	202.66	318.57	166.73	193.01	133.36	260.38	283.05	583.07	486.75	142.01
YPEL3	2104.58	4481.23	2591.27	3395.89	514.56	3235.01	2178.83	4358.66	3901.01	1322.37	1806.78	1388.16	866.07	1096.5	0.0	1639.59	1104.13	1104.13	708.18	3039.3	1977.24	1883.54	2682.69	2351.53	2255.7	1769.57	5219.6	503.95	1870.53	2047.0	2104.58	6471.02	2255.7
ZFHX2	55.89	62.56	58.3	11.73	5.32	14.89	13.12	15.91	12.93	0.48	1.91	1.2	1.27	1.07	0.0	48.52	1.68	0.09	19.68	8.58	3.17	8.19	0.04	109.66	57.49	103.69	121.79	20.26	154.42	65.72	62.56	76.17	52.82
ZKSCAN4	98.73	156.59	119.26	47.84	107.38	59.13	62.12	61.25	63.89	41.81	28.45	38.67	40.93	40.07	0.0	155.5	71.5	22.1	22.92	64.8	59.55	46.84	37.05	142.01	139.07	143.01	183.82	77.79	153.34	191.67	229.72	183.82	97.36
ZKSCAN7	53.19	59.55	43.94	0.41	9.41	14.89	13.62	12.93	16.51	8.19	1.71	2.23	2.34	4.43	0.0	53.95	8.06	1.66	3.11	17.9	4.66	5.77	1.07	124.37	75.64	81.71	97.36	8.65	49.21	94.01	32.36	121.79	84.04
ZNF100	89.51	106.63	80.01	30.56	57.89	35.5	28.45	45.85	42.41	10.79	6.89	1.38	12.36	13.32	54.33	86.43	20.11	14.89	27.05	12.0	8.51	43.02	27.25	74.06	171.45	154.42	68.55	82.29	73.54	236.21	52.08	244.57	70.01
ZNF136	149.12	251.48	167.9	46.5	92.7	54.33	51.71	45.53	48.18	15.68	30.78	10.24	40.93	27.84	0.0	120.94	44.57	33.54	26.47	56.28	55.49	27.05	18.7	271.48	177.53	100.13	511.0	92.05	169.07	283.05	281.09	332.14	117.6
ZNF14	143.01	262.2	145.02	32.59	83.45	38.12	34.26	38.4	46.84	6.01	13.93	3.41	14.78	4.9	0.0	99.43	38.12	4.24	34.26	42.41	21.94	12.0	14.35	255.0	159.9	161.02	373.81	146.03	109.66	113.56	180.02	246.28	127.89
ZNF2	201.25	69.52	91.41	52.45	52.82	48.52	37.85	35.0	40.36	25.91	17.25	18.16	28.24	21.16	31.22	80.57	49.56	23.76	19.82	46.5	39.5	33.3	15.8	63.45	82.87	81.14	91.41	50.27	82.87	89.51	102.97	85.82	57.89
ZNF248	201.25	275.28	231.32	66.65	172.65	124.37	114.36	119.26	99.43	55.89	41.22	53.95	26.86	44.57	0.0	180.02	54.72	81.14	40.64	78.34	66.18	36.01	36.27	346.29	231.32	361.04	595.34	89.51	148.09	234.57	379.04	281.09	277.2
ZNF253	193.01	346.29	343.89	48.52	87.03	41.52	38.95	41.81	53.19	4.46	11.38	3.06	3.2	18.97	0.0	159.9	53.95	6.36	11.55	38.67	12.18	11.21	11.04	84.04	224.97	242.88	325.29	127.89	149.12	145.02	132.44	167.9	232.94
ZNF254	293.07	318.57	260.38	126.12	133.36	61.25	72.52	91.41	147.06	24.11	9.63	3.53	11.64	78.34	0.0	162.14	96.01	55.89	21.94	130.6	264.03	76.17	90.14	128.79	269.6	325.29	208.38	117.6	145.02	373.81	132.44	339.14	182.55
ZNF43	314.17	246.28	205.5	18.43	47.84	28.65	32.82	34.02	45.85	2.32	5.54	10.71	2.32	4.86	93.35	262.2	33.78	18.03	2.94	46.5	29.7	17.64	17.13	185.11	303.44	460.44	182.55	129.69	143.01	373.81	170.25	543.96	180.02
ZNF44	161.02	205.5	161.02	150.17	159.9	156.59	139.07	170.25	175.07	7.63	89.51	62.12	56.68	72.01	0.0	190.34	82.87	91.41	65.72	112.77	66.65	49.91	65.26	273.37	202.66	198.47	397.93	158.79	142.01	409.15	293.07	392.44	201.25
ZNF441	27.84	97.36	48.87	25.54	56.68	49.21	45.53	59.55	37.32	10.0	22.1	20.86	11.3	10.24	0.0	46.84	20.86	12.18	13.42	16.15	17.77	7.82	8.13	137.14	90.14	86.43	256.78	31.9	55.49	136.19	81.71	237.86	109.66
ZNF444	860.08	514.56	703.28	438.59	567.1	409.15	299.25	389.72	429.54	66.65	121.79	172.65	109.66	132.44	0.0	567.1	94.67	96.01	154.42	329.84	137.14	199.85	182.55	660.68	674.59	583.07	1096.5	563.18	848.22	616.37	808.0	896.64	759.08
ZNF48	603.67	397.93	909.17	45.53	197.09	126.12	88.88	41.52	62.56	31.9	21.78	46.84	32.36	38.4	0.0	281.09	48.87	18.03	103.69	102.25	53.19	66.18	40.93	551.56	941.27	329.84	583.07	417.77	379.04	387.02	480.04	656.11	182.55
ZNF492	66.65	30.78	57.89	36.27	0.18	3.47	3.32	5.41	3.08	0.0	0.0	0.0	0.34	0.42	0.0	39.79	5.5	11.21	6.36	6.52	4.28	1.23	3.14	14.03	32.36	46.84	0.87	13.83	28.24	20.41	0.0	47.5	6.78
ZNF563	47.17	81.71	35.25	114.36	45.85	48.52	48.52	47.84	67.12	4.74	11.91	0.99	28.86	19.39	0.0	57.49	44.57	34.75	11.82	32.59	43.63	31.45	91.41	116.78	69.03	72.52	180.02	39.79	38.12	152.28	143.01	293.07	62.56
ZNF564	125.24	130.6	64.34	39.22	102.25	64.34	67.12	65.26	73.03	41.52	23.76	33.54	22.1	26.28	0.0	60.82	64.8	23.42	50.63	110.43	57.89	48.87	41.81	165.57	206.94	94.67	271.48	121.79	88.88	301.33	297.17	332.14	156.59
ZNF638	3874.05	3742.05	3349.13	1143.1	1081.39	1233.75	1757.34	1508.65	1295.13	684.02	1073.91	1286.18	974.5	753.83	0.0	3303.0	583.07	785.88	941.27	909.17	642.59	802.41	872.1	2451.44	2875.3	2434.5	3103.19	2367.9	3235.01	2895.31	2609.3	3419.52	2935.74
ZNF66	29.91	42.71	71.5	40.93	26.1	11.73	9.34	12.55	19.11	5.54	2.14	2.94	0.0	9.78	33.3	26.67	13.03	12.18	0.92	23.42	15.8	12.09	36.53	55.89	70.01	83.45	17.25	25.17	46.18	17.38	87.65	144.01	41.22
ZNF688	457.25	239.52	155.5	325.29	358.54	291.04	327.56	244.57	307.69	129.69	191.67	169.07	178.77	232.94	0.0	358.54	343.89	211.31	98.73	339.14	303.44	289.02	239.52	490.14	497.0	228.13	674.59	450.94	303.44	299.25	438.59	1191.69	559.28
ZNF691	429.54	454.09	420.68	191.67	314.17	164.42	155.5	119.26	138.1	123.5	82.87	48.52	69.03	55.49	0.0	400.71	105.15	30.34	112.77	147.06	77.25	84.04	57.89	246.28	470.14	384.34	297.17	275.28	336.79	441.64	473.41	514.56	320.8
ZNF708	95.34	171.45	102.25	146.03	57.89	42.71	40.36	40.64	41.52	5.59	6.94	2.39	12.36	18.43	0.0	59.13	18.43	9.27	12.27	40.07	13.42	11.73	6.46	72.52	98.73	109.66	71.5	33.78	77.25	64.8	59.13	153.34	86.43
ZNF709	58.71	95.34	53.95	6.36	19.68	14.35	12.0	12.09	16.27	2.68	0.0	0.97	2.68	7.28	0.0	42.41	4.62	2.78	4.21	10.0	10.63	10.0	9.06	116.78	75.64	53.57	149.12	29.06	148.09	201.25	198.47	115.16	69.52
ZNF714	220.32	244.57	435.55	285.03	117.6	137.14	108.14	161.02	108.9	14.78	26.1	11.82	56.28	16.75	148.09	21.16	154.42	137.14	66.65	141.02	226.54	70.51	76.17	181.28	343.89	473.41	117.6	463.65	152.28	170.25	156.59	368.65	77.25
