	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZYFG.1926.SM.5GID5	GTEX.XUJ4.2126.SM.4BOOX	GTEX.13O61.1626.SM.5KM3T	GTEX.13FTW.2126.SM.5K7YG	GTEX.RWS6.1826.SM.47JXX	GTEX.SNOS.1226.SM.4DM5H	GTEX.X15G.1526.SM.4PQZM	GTEX.12WSJ.1426.SM.5GCON	GTEX.1399U.2226.SM.5KLZI	GTEX.YEC3.2026.SM.4WWFL	GTEX.13PL7.2426.SM.5J2N3	GTEX.13FH7.1526.SM.5J2N6	GTEX.QMRM.1226.SM.447C6	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.11P82.0426.SM.5HL5D	GTEX.1212Z.2026.SM.5N9EA	GTEX.131XE.1226.SM.5EGKF	GTEX.WYVS.0826.SM.4RTXB	GTEX.POMQ.0626.SM.3P61E	GTEX.WFJO.0726.SM.4LVM8	GTEX.13W3W.1726.SM.5LU4A	GTEX.131XF.0926.SM.5BC69	GTEX.YB5K.0726.SM.5LU8R	GTEX.WFG7.1026.SM.4LMK8	GTEX.TKQ2.1226.SM.4DXSV	GTEX.VJYA.0626.SM.4KL1S	GTEX.ZP4G.0926.SM.4WWF4	GTEX.1399R.0726.SM.5KM2A	GTEX.111CU.0626.SM.5EGHL	GTEX.11P81.0926.SM.59874	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZTX8.0426.SM.59HLG	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
ASH1L	258.57	579.04	547.75	450.94	241.19	497.0	414.87	329.84	343.89	285.03	361.04	87.65	258.57	307.69	205.5	291.04	217.27	314.17	162.14	420.68	441.64	170.25	275.28	426.57	493.56	403.5	412.0	511.0	336.79	336.79	490.14	480.04	435.55	579.04	460.44	563.18	536.45	679.29	595.34	633.73	583.07	759.08	638.15	473.41	358.54	684.02	454.09	329.84	679.29	559.28	507.46	638.15	392.44	825.0	429.54	423.61	612.11	651.58	733.19	703.28	551.56
ATF2	209.84	457.25	420.68	381.68	343.89	438.59	389.72	316.37	368.65	283.05	341.51	232.94	392.44	361.04	267.73	297.17	346.29	281.09	236.21	438.59	444.72	301.33	371.22	447.82	376.41	457.25	403.5	563.18	363.56	400.71	473.41	384.34	312.0	444.72	397.93	547.75	532.74	759.08	769.69	866.07	674.59	802.41	551.56	780.44	759.08	764.36	409.15	460.44	543.96	432.53	607.87	620.67	409.15	669.92	476.71	620.67	540.19	521.76	669.92	738.29	543.96
ATF7	271.48	669.92	555.41	559.28	444.72	884.29	514.56	486.75	587.13	409.15	525.39	283.05	447.82	480.04	373.81	450.94	470.14	480.04	438.59	780.44	866.07	511.0	555.41	753.83	703.28	884.29	703.28	785.88	536.45	629.35	669.92	525.39	571.05	708.18	579.04	728.11	791.35	934.76	1199.98	1044.52	1104.13	1388.16	902.89	967.76	1088.92	579.04	718.08	759.08	698.41	743.43	591.22	848.22	603.67	780.44	642.59	669.92	785.88	825.0	1037.29	813.63	620.67
ATRX	186.4	454.09	384.34	305.55	205.5	476.71	275.28	181.28	251.48	181.28	224.97	107.38	199.85	228.13	140.04	246.28	153.34	146.03	133.36	532.74	397.93	159.9	221.86	454.09	336.79	409.15	307.69	514.56	273.37	323.03	450.94	358.54	293.07	551.56	444.72	460.44	521.76	1023.0	748.61	878.17	909.17	890.44	460.44	387.02	454.09	579.04	269.6	305.55	595.34	595.34	384.34	693.58	329.84	698.41	368.65	384.34	387.02	429.54	624.99	432.53	356.05
AXL	1044.52	1417.35	1745.2	1135.2	813.63	2178.83	941.27	866.07	1015.93	764.36	802.41	303.44	674.59	718.08	775.05	836.53	633.73	860.08	312.0	3039.3	1066.48	830.75	813.63	1066.48	947.83	974.5	961.07	1143.1	921.88	1191.69	1081.39	698.41	941.27	1119.56	1242.34	981.29	1447.15	2209.26	2240.11	2384.37	2303.12	2664.15	1639.59	1175.27	1313.23	1397.83	1923.14	1447.15	1857.6	1242.34	1417.35	1572.76	1794.29	1540.37	2018.8	1369.04	1467.37	2004.85	1551.09	1242.34	1397.83
BBX	239.52	728.11	579.04	414.87	204.07	743.43	417.77	279.14	279.14	251.48	279.14	92.05	205.5	256.78	180.02	260.38	142.01	215.77	105.89	395.18	486.75	163.28	307.69	351.14	426.57	406.31	291.04	521.76	271.48	299.25	500.46	395.18	279.14	518.15	429.54	447.82	703.28	981.29	642.59	651.58	665.29	813.63	543.96	665.29	620.67	733.19	429.54	400.71	521.76	559.28	490.14	808.0	249.73	974.5	412.0	595.34	441.64	629.35	647.07	884.29	514.56
CBX6	2417.67	1508.65	1991.0	1167.14	813.63	2720.15	743.43	813.63	743.43	872.1	665.29	217.27	909.17	753.83	500.46	830.75	651.58	928.3	273.37	2609.3	1322.37	890.44	1111.82	1417.35	1378.57	1208.34	1322.37	1417.35	1037.29	1233.75	1583.71	1378.57	1519.15	1397.83	1617.0	1175.27	1233.75	1561.89	1529.73	1594.73	1819.35	1819.35	1259.69	1151.06	1685.71	1477.58	2224.63	813.63	3235.01	1991.0	1963.57	1950.0	902.89	1628.26	1427.22	3716.2	1628.26	2451.44	1605.83	2520.38	1794.29
CELF1	679.29	1183.45	1008.9	961.07	698.41	974.5	764.36	780.44	599.49	579.04	780.44	387.02	688.78	688.78	303.44	620.67	713.11	633.73	493.56	1143.1	902.89	466.88	872.1	1551.09	1135.2	902.89	902.89	995.0	514.56	748.61	1059.11	934.76	836.53	1250.98	854.13	1066.48	1001.93	1378.57	1143.1	1498.22	1551.09	1832.01	1119.56	1427.22	1286.18	915.51	808.0	684.02	1313.23	1159.07	1073.91	1467.37	842.36	1216.75	713.11	1250.98	1199.98	1191.69	1167.14	1447.15	1023.0
CHD6	76.71	279.14	209.84	183.82	144.01	291.04	206.94	154.42	180.02	151.22	147.06	44.25	115.97	127.89	73.03	142.01	150.17	170.25	53.95	242.88	258.57	178.77	236.21	348.71	293.07	258.57	220.32	356.05	111.21	176.29	323.03	205.5	224.97	316.37	164.42	244.57	285.03	503.95	454.09	497.0	500.46	540.19	466.88	291.04	356.05	329.84	339.14	249.73	314.17	307.69	329.84	486.75	147.06	343.89	177.53	277.2	348.71	429.54	460.44	454.09	229.72
CHIC1	71.0	164.42	136.19	133.36	82.29	167.9	124.37	81.14	134.3	87.65	107.38	39.22	108.14	81.14	78.34	78.34	104.42	76.71	55.89	166.73	173.85	87.03	104.42	211.31	118.43	124.37	128.79	187.71	82.29	100.13	147.06	90.14	89.51	170.25	114.36	155.5	206.94	244.57	198.47	195.72	239.52	273.37	241.19	373.81	441.64	397.93	149.12	187.71	195.72	202.66	251.48	356.05	92.7	281.09	146.03	258.57	214.27	194.36	336.79	269.6	182.55
CLUAP1	525.39	890.44	830.75	551.56	343.89	974.5	403.5	432.53	341.51	358.54	400.71	175.07	356.05	327.56	412.0	329.84	309.83	343.89	221.86	693.58	567.1	334.46	470.14	483.38	595.34	500.46	438.59	587.13	514.56	493.56	525.39	638.15	371.22	547.75	567.1	503.95	854.13	679.29	563.18	743.43	684.02	764.36	483.38	323.03	583.07	540.19	454.09	551.56	595.34	563.18	447.82	575.03	307.69	607.87	591.22	463.65	642.59	551.56	674.59	665.29	454.09
CNKSR2	1.46	21.47	24.46	19.39	9.06	46.5	17.77	11.13	24.46	21.16	17.64	10.0	13.42	10.96	17.64	24.63	9.2	3.79	3.56	346.29	124.37	67.12	73.03	78.34	96.01	82.29	62.56	124.37	40.07	115.97	109.66	69.52	59.55	127.89	78.89	142.01	30.78	339.14	231.32	241.19	242.88	376.41	57.89	74.06	72.52	171.45	127.0	138.1	149.12	169.07	95.34	104.42	59.97	117.6	71.0	220.32	75.64	180.02	229.72	141.02	73.03
CNOT4	151.22	341.51	323.03	255.0	231.32	387.02	277.2	217.27	209.84	181.28	231.32	129.69	187.71	175.07	187.71	194.36	186.4	186.4	161.02	289.02	295.11	178.77	262.2	299.25	275.28	265.87	221.86	249.73	241.19	269.6	287.01	206.94	191.67	312.0	218.79	329.84	327.56	441.64	432.53	486.75	403.5	493.56	368.65	450.94	381.68	353.59	297.17	348.71	309.83	291.04	323.03	400.71	236.21	361.04	341.51	329.84	346.29	277.2	392.44	417.77	297.17
CWF19L2	141.02	341.51	231.32	142.01	131.51	231.32	202.66	138.1	164.42	167.9	167.9	104.42	150.17	129.69	214.27	139.07	170.25	132.44	131.51	241.19	262.2	170.25	218.79	291.04	249.73	269.6	204.07	309.83	162.14	208.38	283.05	248.0	176.29	255.0	186.4	381.68	293.07	363.56	470.14	514.56	473.41	406.31	371.22	271.48	409.15	325.29	264.03	373.81	318.57	289.02	258.57	412.0	279.14	334.46	305.55	293.07	353.59	325.29	463.65	463.65	275.28
DDX6	253.23	872.1	848.22	555.41	432.53	728.11	825.0	503.95	603.67	457.25	612.11	195.72	409.15	669.92	305.55	616.37	316.37	620.67	332.14	738.29	571.05	159.9	361.04	607.87	638.15	607.87	543.96	848.22	366.09	429.54	759.08	536.45	447.82	769.69	656.11	791.35	842.36	1233.75	842.36	1151.06	1104.13	1350.18	1030.12	559.28	642.59	1467.37	928.3	638.15	1119.56	791.35	1286.18	1407.55	633.73	1340.84	842.36	921.88	1088.92	1008.9	1350.18	1216.75	819.3
DGKH	35.25	69.52	53.57	73.03	48.87	72.52	34.26	33.06	43.02	31.9	51.35	26.47	30.56	31.45	15.34	61.25	40.07	34.75	24.99	139.07	149.12	51.35	106.63	164.42	80.01	107.38	78.34	191.67	60.82	57.89	92.05	82.87	64.34	108.14	104.42	122.64	102.25	214.27	241.19	271.48	255.0	316.37	99.43	214.27	149.12	125.24	78.34	64.8	155.5	137.14	124.37	178.77	109.66	152.28	63.0	120.94	113.56	124.37	134.3	103.69	133.36
DIXDC1	698.41	1407.55	1572.76	1151.06	571.05	4575.41	567.1	521.76	497.0	480.04	503.95	149.12	343.89	341.51	423.61	397.93	379.04	466.88	163.28	3491.39	1073.91	414.87	379.04	1051.79	802.41	1242.34	780.44	1529.73	426.57	878.17	1023.0	620.67	703.28	995.0	1015.93	1073.91	2434.5	2682.69	1605.83	1639.59	1844.76	2004.85	1417.35	954.43	1295.13	1857.6	1233.75	1030.12	1617.0	1350.18	1437.15	1286.18	890.44	1733.13	1183.45	1519.15	1286.18	1540.37	2351.53	1369.04	1639.59
DLG2	41.22	68.55	58.3	125.24	35.0	206.94	38.4	27.64	31.67	32.82	41.52	12.74	43.63	42.11	37.32	42.71	23.08	31.0	13.62	146.03	116.78	34.26	56.28	75.11	78.89	88.26	46.84	85.82	95.34	64.34	97.36	65.72	43.02	74.06	72.01	80.01	164.42	154.42	194.36	154.42	285.03	215.77	133.36	189.02	215.77	420.68	89.51	78.89	249.73	105.15	43.32	281.09	82.29	131.51	91.41	150.17	67.59	110.43	141.02	132.44	84.63
DMD	1233.75	2061.24	2209.26	1617.0	679.29	2935.74	665.29	511.0	447.82	656.11	684.02	118.43	647.07	450.94	473.41	387.02	551.56	748.61	201.25	1697.45	872.1	620.67	738.29	1088.92	988.12	848.22	669.92	1477.58	764.36	470.14	1216.75	1111.82	802.41	1096.5	884.29	1427.22	2434.5	1857.6	1832.01	1844.76	1857.6	2303.12	1529.73	1397.83	2104.58	2367.9	759.08	1233.75	2209.26	1023.0	1407.55	2148.82	638.15	1857.6	854.13	1111.82	490.14	842.36	1037.29	1295.13	1295.13
DNAJC18	123.5	242.88	258.57	158.79	110.43	406.31	112.77	127.0	135.24	120.94	93.35	74.58	93.35	119.26	183.82	110.43	116.78	82.87	85.22	638.15	208.38	231.32	269.6	353.59	242.88	218.79	128.79	293.07	178.77	183.82	249.73	218.79	152.28	287.01	176.29	279.14	423.61	307.69	500.46	351.14	429.54	555.41	289.02	320.8	353.59	314.17	343.89	297.17	265.87	198.47	251.48	447.82	258.57	376.41	379.04	177.53	285.03	287.01	329.84	212.78	237.86
DNAJC24	97.36	226.54	248.0	183.82	153.34	271.48	178.77	140.04	156.59	93.35	159.9	69.52	93.35	181.28	136.19	164.42	75.11	105.89	95.34	239.52	180.02	76.71	113.56	226.54	170.25	248.0	212.78	305.55	229.72	199.85	186.4	195.72	214.27	224.97	217.27	258.57	262.2	356.05	305.55	624.99	450.94	497.0	155.5	241.19	180.02	273.37	144.01	128.79	199.85	241.19	220.32	212.78	220.32	353.59	212.78	165.57	224.97	327.56	392.44	275.28	295.11
EEA1	88.26	217.27	186.4	143.01	112.77	130.6	127.89	65.26	111.21	80.01	97.36	55.1	78.34	76.71	48.52	140.04	49.56	100.13	82.87	211.31	145.02	72.01	72.52	167.9	94.01	131.51	111.21	191.67	115.97	108.14	130.6	103.69	115.97	177.53	135.24	167.9	202.66	361.04	251.48	305.55	277.2	285.03	281.09	202.66	265.87	260.38	182.55	197.09	255.0	214.27	258.57	244.57	137.14	358.54	178.77	171.45	217.27	170.25	291.04	224.97	185.11
EFR3A	878.17	981.29	1135.2	753.83	503.95	872.1	698.41	620.67	647.07	587.13	612.11	309.83	532.74	460.44	532.74	808.0	395.18	426.57	409.15	1008.9	796.86	381.68	521.76	819.3	703.28	728.11	463.65	896.64	518.15	497.0	902.89	902.89	563.18	1183.45	860.08	1030.12	1073.91	1551.09	1286.18	1583.71	1208.34	1540.37	902.89	872.1	1127.35	1277.29	620.67	884.29	1359.57	1259.69	890.44	1295.13	718.08	1277.29	921.88	1104.13	872.1	848.22	1159.07	1277.29	947.83
EML1	1225.22	1662.49	1857.6	2400.97	785.88	5366.37	1242.34	728.11	536.45	825.0	802.41	172.65	497.0	866.07	567.1	521.76	559.28	583.07	325.29	2701.35	1427.22	775.05	620.67	1030.12	1159.07	1199.98	698.41	1487.87	607.87	718.08	1674.06	1008.9	1023.0	1709.26	1286.18	1225.22	2935.74	2163.77	2209.26	1794.29	2148.82	2682.69	1950.0	1487.87	1963.57	2434.5	1225.22	1605.83	3146.52	2451.44	2119.22	2303.12	1378.57	1304.15	2119.22	3372.43	1806.78	1685.71	1721.16	2451.44	1909.85
ERCC6L2	163.28	454.09	423.61	291.04	194.36	291.04	483.38	285.03	320.8	307.69	312.0	129.69	197.09	320.8	237.86	332.14	231.32	305.55	171.45	327.56	376.41	138.1	323.03	429.54	361.04	406.31	376.41	571.05	279.14	305.55	384.34	376.41	379.04	460.44	389.72	493.56	329.84	764.36	693.58	642.59	638.15	780.44	536.45	420.68	417.77	493.56	412.0	414.87	551.56	532.74	563.18	486.75	256.78	785.88	497.0	480.04	638.15	599.49	769.69	607.87	400.71
FAM168A	493.56	563.18	540.19	493.56	323.03	872.1	476.71	368.65	363.56	397.93	441.64	166.73	376.41	376.41	303.44	381.68	293.07	320.8	182.55	629.35	521.76	358.54	483.38	547.75	647.07	406.31	536.45	473.41	327.56	420.68	780.44	540.19	514.56	595.34	525.39	624.99	620.67	651.58	733.19	684.02	647.07	866.07	612.11	599.49	595.34	547.75	620.67	438.59	836.53	656.11	563.18	1073.91	406.31	587.13	571.05	521.76	532.74	698.41	647.07	713.11	624.99
FAXC	1242.34	1066.48	1167.14	848.22	395.18	2682.69	381.68	358.54	318.57	397.93	406.31	83.45	316.37	248.0	460.44	224.97	244.57	423.61	132.44	954.43	684.02	738.29	379.04	796.86	540.19	607.87	808.0	551.56	587.13	629.35	599.49	896.64	890.44	764.36	514.56	629.35	1369.04	941.27	842.36	1208.34	1044.52	1259.69	540.19	1457.23	1437.15	1295.13	743.43	961.07	1111.82	2133.97	1008.9	1508.65	674.59	1487.87	1745.2	1487.87	1233.75	1340.84	1350.18	1498.22	1819.35
FER	72.01	140.04	120.94	101.54	61.68	140.04	80.01	75.11	68.55	66.65	81.14	27.84	87.65	69.52	29.7	66.18	70.01	72.52	36.01	158.79	149.12	102.97	59.97	145.02	73.03	105.89	85.82	164.42	60.82	75.64	127.0	85.22	80.57	123.5	90.77	94.67	208.38	209.84	169.07	178.77	190.34	197.09	142.01	124.37	149.12	154.42	94.67	93.35	198.47	124.37	170.25	158.79	96.01	157.68	105.15	180.02	132.44	90.77	142.01	127.0	103.69
FGF2	190.34	309.83	273.37	318.57	170.25	555.41	157.68	181.28	221.86	146.03	170.25	37.59	146.03	170.25	133.36	115.97	141.02	133.36	57.08	483.38	251.48	163.28	221.86	223.41	183.82	232.94	186.4	249.73	256.78	212.78	180.02	197.09	186.4	234.57	190.34	226.54	607.87	414.87	507.46	660.68	571.05	579.04	389.72	417.77	353.59	348.71	249.73	341.51	301.33	267.73	297.17	303.44	283.05	559.28	379.04	249.73	287.01	318.57	551.56	303.44	293.07
FOXK1	161.02	332.14	287.01	255.0	204.07	397.93	239.52	258.57	194.36	206.94	193.01	87.03	237.86	146.03	123.5	129.69	264.03	208.38	118.43	281.09	212.78	201.25	249.73	264.03	341.51	226.54	262.2	297.17	183.82	159.9	256.78	241.19	226.54	244.57	305.55	206.94	231.32	454.09	514.56	624.99	518.15	563.18	392.44	389.72	417.77	651.58	387.02	273.37	463.65	320.8	529.06	518.15	223.41	638.15	237.86	476.71	497.0	417.77	728.11	432.53	363.56
FOXN3	1457.23	2384.37	1896.65	981.29	688.78	1447.15	954.43	854.13	915.51	764.36	884.29	318.57	571.05	669.92	679.29	1111.82	473.41	674.59	490.14	1313.23	1081.39	579.04	748.61	1242.34	1208.34	1233.75	1111.82	1457.23	819.3	1023.0	1233.75	1304.15	848.22	1583.71	1286.18	1378.57	1350.18	1870.53	1697.45	1709.26	1857.6	2303.12	1870.53	1081.39	1417.35	2178.83	1457.23	854.13	1159.07	1051.79	947.83	1304.15	1081.39	2032.85	1304.15	2018.8	733.19	1340.84	1340.84	2163.77	941.27
FOXP2	307.69	532.74	514.56	486.75	231.32	1119.56	438.59	269.6	420.68	329.84	423.61	56.28	293.07	265.87	303.44	152.28	320.8	246.28	106.63	490.14	642.59	373.81	395.18	651.58	551.56	473.41	323.03	521.76	125.24	293.07	1331.57	384.34	182.55	764.36	314.17	579.04	836.53	1111.82	743.43	961.07	728.11	909.17	896.64	995.0	1733.13	1135.2	583.07	819.3	1259.69	1167.14	1015.93	1936.53	551.56	1208.34	878.17	1806.78	780.44	813.63	1295.13	1733.13	961.07
FYCO1	1437.15	2224.63	2915.45	2255.7	723.08	4512.4	769.69	764.36	718.08	921.88	718.08	249.73	567.1	698.41	656.11	571.05	583.07	748.61	429.54	1745.2	981.29	703.28	988.12	1073.91	1183.45	915.51	915.51	1066.48	1096.5	988.12	1437.15	1340.84	915.51	1225.22	1331.57	1242.34	2163.77	2224.63	1832.01	1963.57	1697.45	1870.53	1350.18	1037.29	1617.0	1030.12	1268.46	1427.22	1359.57	1427.22	909.17	2319.15	1151.06	1819.35	1757.34	1477.58	1286.18	1950.0	1407.55	1427.22	1457.23
