	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
CAPRIN1	5633.22	2591.27	3303.0	3820.7	3372.43	5041.77	4123.49	2739.08	4123.49	2997.45	4671.57	2855.44	5255.91	3018.3	3190.46	2319.15	4181.07	3303.0	6337.83	3212.66	2816.11	6337.83	3820.7	4010.71	3060.45	4239.45	4575.41	11345.82	2502.97	7032.37	3955.48	3419.52	4066.71	9344.14	3665.02	3372.43	1709.26	693.58	842.36	1127.35	629.35	638.15	656.11	665.29	647.07	753.83	612.11	830.75	902.89	624.99	848.22	780.44	460.44	500.46	0.0	0.89
CBLL1	454.09	287.01	656.11	373.81	262.2	307.69	334.46	253.23	297.17	325.29	454.09	346.29	395.18	397.93	403.5	332.14	497.0	346.29	759.08	299.25	490.14	813.63	486.75	305.55	221.86	591.22	251.48	417.77	412.0	423.61	368.65	327.56	420.68	872.1	325.29	373.81	156.59	130.6	127.0	178.77	116.78	71.5	85.22	113.56	126.12	106.63	111.99	115.97	156.59	88.88	134.3	104.42	47.84	105.15	0.0	0.38
CCDC108	0.38	10.71	0.0	1.23	102.97	5.11	0.0	0.92	1.04	0.39	10.79	0.0	3.44	1.04	87.65	4.82	14.14	0.99	11.38	0.4	108.9	1.3	122.64	3.08	3.23	2.84	0.0	0.0	49.56	0.34	1.27	7.69	0.37	1.57	130.6	1.48	0.31	0.0	1.36	0.0	1.2	0.62	0.0	0.0	0.0	0.71	0.0	0.0	0.62	0.68	0.65	0.0	2.84	0.46	0.0	0.0
CCDC121	96.01	63.45	98.04	138.1	94.01	115.97	83.45	89.51	100.83	95.34	145.02	48.18	208.38	122.64	115.16	64.34	129.69	82.29	136.19	79.45	100.13	164.42	128.79	92.7	76.71	170.25	75.11	117.6	72.01	220.32	135.24	109.66	77.79	165.57	135.24	134.3	63.89	27.64	36.79	31.9	17.38	15.11	15.56	16.63	19.39	50.63	9.2	22.43	47.5	20.71	28.24	37.85	15.22	6.36	0.0	0.0
CCDC64	323.03	336.79	358.54	1037.29	1199.98	353.59	656.11	316.37	287.01	117.6	748.61	432.53	551.56	429.54	629.35	127.0	493.56	379.04	808.0	260.38	796.86	514.56	1037.29	607.87	187.71	301.33	361.04	872.1	633.73	718.08	155.5	575.03	441.64	1008.9	753.83	1199.98	336.79	74.06	59.97	15.56	34.51	19.82	22.26	50.98	10.88	30.34	17.9	38.4	29.06	21.63	67.59	15.91	64.8	44.57	0.0	0.57
CCT2	3372.43	3103.19	2451.44	2997.45	3060.45	2224.63	3443.31	3665.02	3794.3	1896.65	3018.3	3146.52	3665.02	5831.91	3820.7	3372.43	3716.2	3716.2	3690.52	3768.09	14065.74	4298.64	3103.19	9540.5	3303.0	8305.36	2537.92	5219.6	4010.71	4328.55	3372.43	4152.18	7433.4	3768.09	3190.46	3103.19	1259.69	1044.52	934.76	1191.69	1119.56	1023.0	780.44	1096.5	1088.92	896.64	1498.22	1143.1	1081.39	1233.75	1369.04	1030.12	551.56	2193.99	0.0	0.92
CDK5	343.89	567.1	638.15	447.82	866.07	518.15	547.75	529.06	332.14	669.92	633.73	860.08	642.59	629.35	1250.98	348.71	518.15	536.45	381.68	551.56	684.02	743.43	785.88	463.65	723.08	1015.93	483.38	791.35	603.67	684.02	620.67	463.65	688.78	1359.57	559.28	2104.58	466.88	229.72	182.55	229.72	177.53	229.72	260.38	186.4	151.22	269.6	195.72	202.66	228.13	241.19	189.02	231.32	221.86	83.45	0.0	0.0
CDK5R1	50.27	34.26	90.14	59.55	111.99	40.64	35.5	27.84	100.13	27.44	111.99	29.27	312.0	100.13	108.14	53.95	92.7	39.79	75.64	63.89	122.64	187.71	50.27	77.79	30.12	46.84	40.93	152.28	53.95	93.35	25.91	19.11	42.71	106.63	94.67	52.82	40.93	14.03	8.78	6.41	4.17	3.99	7.17	6.06	4.13	7.75	2.66	4.28	5.68	5.02	10.08	7.51	3.06	14.78	0.0	0.46
CDK5R2	0.37	0.32	3.41	0.92	323.03	0.37	0.0	0.32	0.0	0.0	0.34	0.65	98.73	6.52	267.73	2.73	1.03	0.96	66.18	2.2	53.95	0.0	246.28	2.43	0.31	12.83	0.0	146.03	2.51	23.42	0.0	0.67	0.0	0.0	265.87	1.73	0.3	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
CECR6	12.74	11.82	6.52	49.21	142.01	18.56	12.45	32.59	13.03	4.5	12.83	11.04	29.7	26.1	91.41	11.82	10.88	3.79	199.85	17.25	25.17	92.05	112.77	22.59	8.0	177.53	2.2	129.69	5.32	14.03	5.19	9.2	3.59	78.89	118.43	81.14	4.21	0.65	2.36	2.76	2.56	1.03	1.0	1.08	1.07	1.71	2.29	0.58	1.97	1.13	2.07	2.71	1.0	1.36	0.0	0.09
CEP120	205.5	176.29	211.31	198.47	163.28	176.29	201.25	339.14	154.42	164.42	181.28	177.53	211.31	220.32	336.79	161.02	239.52	161.02	353.59	150.17	251.48	379.04	253.23	122.64	144.01	297.17	144.01	195.72	175.07	258.57	158.79	209.84	212.78	432.53	226.54	339.14	151.22	110.43	115.97	111.21	84.04	78.34	28.45	80.01	62.56	113.56	71.5	92.7	132.44	71.0	100.13	92.05	76.71	24.99	0.0	0.21
CLCC1	303.44	426.57	429.54	665.29	493.56	679.29	438.59	423.61	275.28	376.41	460.44	555.41	547.75	616.37	633.73	435.55	486.75	679.29	376.41	223.41	575.03	624.99	633.73	547.75	376.41	547.75	493.56	684.02	825.0	336.79	293.07	400.71	444.72	802.41	493.56	941.27	201.25	289.02	368.65	329.84	273.37	237.86	232.94	351.14	293.07	325.29	236.21	229.72	336.79	327.56	363.56	265.87	267.73	182.55	0.0	0.65
CNOT2	947.83	872.1	1015.93	974.5	748.61	1151.06	1030.12	842.36	1159.07	738.29	1051.79	854.13	1225.22	1216.75	921.88	830.75	1135.2	791.35	1427.22	872.1	3794.3	1322.37	854.13	1037.29	679.29	4010.71	981.29	896.64	988.12	1477.58	1127.35	1286.18	1540.37	1081.39	836.53	1015.93	543.96	447.82	500.46	466.88	384.34	318.57	260.38	493.56	463.65	447.82	476.71	454.09	476.71	371.22	536.45	366.09	164.42	329.84	723.08	3614.55
CNPY4	435.55	480.04	454.09	579.04	547.75	392.44	327.56	447.82	249.73	486.75	325.29	454.09	426.57	279.14	563.18	303.44	381.68	376.41	223.41	466.88	543.96	384.34	507.46	376.41	253.23	341.51	384.34	426.57	334.46	555.41	351.14	353.59	253.23	813.63	289.02	392.44	176.29	95.34	191.67	116.78	88.26	84.63	79.45	92.7	41.22	102.25	52.08	123.5	94.67	94.67	87.65	99.43	53.95	23.59	0.0	0.09
COMMD9	1023.0	1199.98	802.41	1216.75	934.76	1175.27	878.17	974.5	753.83	1662.49	1104.13	941.27	1639.59	796.86	769.69	713.11	708.18	921.88	872.1	674.59	915.51	647.07	718.08	1388.16	743.43	1167.14	1119.56	3874.05	796.86	866.07	563.18	1427.22	1059.11	1135.2	902.89	1991.0	525.39	921.88	848.22	728.11	947.83	941.27	974.5	825.0	665.29	1030.12	493.56	961.07	743.43	743.43	656.11	738.29	660.68	285.03	0.0	0.12
COX6C	223512.12	331809.5	194578.47	136637.07	201440.3	207103.59	211455.3	355624.68	265802.39	263966.36	242898.5	228208.61	186652.11	391864.76	193234.41	425853.18	125731.67	217400.14	164758.26	320506.81	170568.48	269512.87	174152.51	191899.64	189257.69	146444.06	208544.12	194578.47	253213.41	437825.58	527933.71	184082.4	286861.53	223512.12	158046.64	492579.5	204252.32	13033.07	12160.22	9606.86	15715.58	10659.59	12589.08	14461.21	10296.45	12589.08	9409.14	10883.59	10440.2	14065.74	10440.2	15285.81	16045.82	9673.69	7331.05	1167.14
CPLX2	4.98	0.99	1.5	191.67	2997.45	0.0	1.41	0.0	0.0	0.0	0.0	0.0	48.18	28.04	2502.97	0.0	2.16	0.0	4769.75	33.78	1037.29	647.07	3060.45	4.17	0.0	2720.15	0.0	5292.48	84.63	63.89	0.0	3.72	0.74	5633.22	1551.09	26.47	0.36	2.1	0.0	0.83	1.85	0.0	0.0	0.0	1.31	0.83	0.0	0.0	0.0	1.38	6.31	0.0	0.0	0.0	0.0	0.0
CSTF3	759.08	813.63	532.74	775.05	878.17	642.59	703.28	713.11	872.1	450.94	988.12	638.15	764.36	595.34	518.15	660.68	728.11	728.11	679.29	497.0	1066.48	921.88	860.08	713.11	647.07	651.58	669.92	2895.31	444.72	669.92	463.65	713.11	738.29	819.3	718.08	830.75	420.68	327.56	429.54	381.68	384.34	363.56	231.32	417.77	301.33	470.14	366.09	339.14	450.94	309.83	258.57	277.2	244.57	406.31	1674.06	2915.45
DCAF17	197.09	107.38	212.78	211.31	211.31	146.03	127.0	120.94	189.02	120.94	169.07	112.77	208.38	173.85	186.4	105.15	327.56	132.44	271.48	147.06	180.02	205.5	242.88	108.9	130.6	224.97	150.17	202.66	135.24	176.29	217.27	126.12	195.72	334.46	231.32	120.1	107.38	52.82	64.34	64.8	45.53	40.36	29.27	53.95	35.0	63.45	50.63	55.49	64.8	34.02	54.72	48.52	32.82	19.39	0.0	0.04
DDX20	98.73	253.23	187.71	208.38	191.67	195.72	156.59	202.66	113.56	148.09	167.9	194.36	236.21	224.97	205.5	180.02	251.48	162.14	384.34	185.11	214.27	279.14	236.21	244.57	154.42	271.48	175.07	217.27	173.85	205.5	129.69	249.73	132.44	400.71	211.31	320.8	81.14	67.12	65.26	71.0	71.5	46.5	32.82	74.58	53.57	75.11	50.27	62.56	73.54	44.25	71.5	62.12	15.45	108.9	0.0	0.3
DISP2	50.63	61.25	27.05	156.59	1286.18	118.43	19.11	13.03	94.01	15.0	1.25	368.65	198.47	67.12	536.45	35.76	112.77	55.49	595.34	88.88	432.53	323.03	723.08	74.06	4.31	529.06	63.89	329.84	59.13	43.02	3.66	20.56	11.55	848.22	878.17	1008.9	29.06	8.25	31.67	7.22	27.84	1.08	14.78	18.7	8.65	10.0	3.76	14.03	17.38	4.43	6.21	13.72	20.41	21.32	0.0	0.0
DLG3	785.88	825.0	2303.12	1457.23	954.43	656.11	974.5	612.11	915.51	718.08	988.12	884.29	1030.12	775.05	1037.29	660.68	1104.13	503.95	1268.46	624.99	1104.13	1757.34	981.29	934.76	836.53	1277.29	612.11	1015.93	830.75	1388.16	961.07	1088.92	1037.29	1331.57	884.29	1216.75	460.44	28.65	53.19	29.7	40.07	25.72	20.26	31.9	20.26	24.28	13.32	43.63	29.91	23.93	49.56	27.64	17.9	10.55	0.0	0.53
DNAJC24	236.21	133.36	236.21	249.73	205.5	132.44	126.12	145.02	195.72	100.13	193.01	131.51	234.57	120.1	170.25	109.66	332.14	195.72	218.79	103.69	249.73	312.0	220.32	88.88	99.43	295.11	176.29	118.43	140.04	215.77	96.01	149.12	318.57	384.34	249.73	226.54	96.01	99.43	95.34	103.69	83.45	53.95	22.26	87.03	76.17	90.14	67.12	83.45	124.37	51.71	88.26	69.03	30.78	50.27	0.0	0.15
DNASE1L1	490.14	454.09	813.63	432.53	872.1	567.1	575.03	551.56	563.18	497.0	447.82	463.65	1259.69	460.44	412.0	529.06	1023.0	521.76	423.61	559.28	915.51	237.86	381.68	1286.18	444.72	417.77	591.22	457.25	612.11	444.72	718.08	486.75	470.14	529.06	860.08	275.28	679.29	381.68	325.29	356.05	248.0	303.44	264.03	312.0	226.54	323.03	231.32	301.33	339.14	346.29	363.56	291.04	229.72	151.22	0.0	0.47
DRD2	23.42	0.64	1.1	60.39	551.56	15.34	2.36	0.33	2.41	0.0	5.45	2.29	8.58	4.13	32.82	2.16	23.93	3.89	241.19	13.12	17.38	62.12	20.86	5.06	0.62	5.45	10.47	559.28	2.94	16.75	5.06	9.93	2.39	318.57	183.82	376.41	3.2	0.74	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.68	0.0	0.68	0.0	0.0	0.0	0.07
DYRK1A	718.08	536.45	848.22	665.29	547.75	723.08	633.73	358.54	708.18	567.1	688.78	511.0	743.43	493.56	753.83	551.56	860.08	414.87	813.63	532.74	1096.5	808.0	748.61	379.04	400.71	941.27	647.07	599.49	651.58	890.44	616.37	547.75	802.41	915.51	665.29	785.88	521.76	223.41	262.2	329.84	234.57	193.01	106.63	249.73	198.47	239.52	242.88	255.0	279.14	181.28	332.14	204.07	120.94	118.43	0.0	0.77
ECD	624.99	624.99	583.07	406.31	536.45	651.58	612.11	665.29	514.56	629.35	525.39	651.58	656.11	536.45	432.53	665.29	454.09	679.29	748.61	583.07	500.46	813.63	656.11	607.87	441.64	674.59	470.14	376.41	612.11	890.44	743.43	551.56	507.46	854.13	708.18	460.44	483.38	279.14	283.05	262.2	287.01	228.13	187.71	258.57	246.28	241.19	341.51	295.11	273.37	231.32	343.89	218.79	161.02	329.84	0.0	0.43
