	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.49.4510.01A.01R.1206.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M3.01A.11R.A24X.07	TCGA.86.A4JF.01A.11R.A24X.07	TCGA.35.3615.01A.01R.0946.07	TCGA.91.6849.01A.11R.1949.07	TCGA.86.8281.01A.11R.2287.07	TCGA.62.8397.01A.11R.2326.07	TCGA.67.6215.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.49.4486.01A.01R.1206.07	TCGA.49.4506.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.78.7537.01A.11R.2066.07	TCGA.49.4494.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.NJ.A7XG.01A.12R.A39D.07	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.11DXX.0626.SM.5Q5AG	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13CF3.0426.SM.5IJEU	GTEX.QDVN.0726.SM.4B64L	GTEX.11EQ9.0226.SM.5A5JX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.XYKS.0526.SM.4BRW2	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.R55C.0526.SM.3GIKA	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.RWS6.0226.SM.2XCA9	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.144GM.0126.SM.5Q5AX	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.P4QS.0526.SM.2I3ET	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.PWOO.0726.SM.2I3EB	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.RUSQ.0626.SM.2TF5V	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	GTEX.WYVS.0526.SM.3NM9W	TCGA.D7.6820.01A.11R.1884.13
CTDSPL	660.68	775.05	246.28	316.37	457.25	395.18	212.78	420.68	229.72	476.71	336.79	395.18	473.41	435.55	353.59	343.89	293.07	291.04	82.87	438.59	211.31	551.56	503.95	175.07	241.19	438.59	1369.04	1127.35	1551.09	915.51	1208.34	808.0	693.58	1388.16	1340.84	1540.37	934.76	808.0	379.04	409.15	941.27	1111.82	1397.83	1216.75	995.0	748.61	1639.59	1457.23	842.36	1143.1	414.87	351.14	303.44	791.35	748.61	1457.23	1628.26	1277.29	921.88	1388.16	780.44	1378.57	555.41	463.65	802.41	1059.11	1167.14	915.51	1143.1	775.05	1397.83	1216.75	1639.59	1388.16	1259.69	1233.75	620.67	1119.56	318.57	1295.13	1015.93	1183.45	967.76	567.1	848.22	656.11	1350.18	928.3	961.07	1447.15	872.1	1059.11	1242.34	1498.22	540.19	764.36	934.76	1745.2	684.02	1519.15	1167.14	1407.55	1030.12	525.39	1001.93	1225.22	713.11	1023.0	733.19	1159.07	540.19	1023.0	866.07	988.12	414.87	1143.1	915.51	780.44	1605.83	813.63	1242.34	1427.22	1233.75	1295.13	1059.11	1427.22	1295.13	921.88	1208.34	2075.59	595.34	1331.57	583.07	480.04
DIXDC1	28.04	33.54	64.8	31.22	101.54	121.79	45.21	54.72	37.32	67.12	54.33	78.34	60.82	37.85	53.57	58.71	73.03	52.08	22.92	78.89	73.03	81.71	28.86	72.01	40.64	52.08	212.78	164.42	395.18	159.9	155.5	111.21	141.02	215.77	201.25	371.22	201.25	115.16	106.63	80.01	136.19	323.03	153.34	223.41	194.36	128.79	145.02	223.41	121.79	134.3	107.38	63.89	66.65	85.22	96.68	303.44	249.73	208.38	215.77	346.29	153.34	190.34	72.52	76.17	169.07	152.28	249.73	267.73	185.11	77.25	237.86	242.88	305.55	221.86	183.82	198.47	129.69	223.41	61.25	139.07	221.86	205.5	291.04	44.89	129.69	102.97	182.55	93.35	138.1	438.59	102.25	208.38	303.44	269.6	118.43	142.01	332.14	409.15	108.9	258.57	242.88	182.55	209.84	128.79	171.45	287.01	62.12	208.38	128.79	180.02	99.43	197.09	143.01	147.06	53.19	177.53	211.31	136.19	248.0	113.56	248.0	356.05	144.01	133.36	136.19	217.27	323.03	118.43	351.14	551.56	202.66	249.73	173.85	31.22
DST	226.54	389.72	285.03	1709.26	466.88	684.02	150.17	633.73	603.67	384.34	532.74	476.71	616.37	366.09	316.37	1225.22	743.43	201.25	389.72	435.55	173.85	309.83	571.05	191.67	450.94	1175.27	3190.46	2133.97	4802.93	2032.85	2032.85	1001.93	961.07	4869.99	3847.29	5954.47	3820.7	1369.04	318.57	1870.53	1883.54	2777.33	4066.71	3190.46	3257.52	2468.49	1651.0	2935.74	1540.37	1733.13	954.43	1059.11	435.55	2351.53	1397.83	3820.7	7180.15	2255.7	3372.43	4388.98	3349.13	4123.49	1199.98	470.14	4268.94	733.19	3124.78	4937.99	3280.18	1104.13	2645.74	2367.9	4010.71	3124.78	3794.3	2997.45	2367.9	5594.3	373.81	2384.37	2573.36	3540.14	3280.18	3018.3	2451.44	748.61	4066.71	2555.58	1896.65	3982.99	2796.65	3614.55	2417.67	5791.62	297.17	3212.66	3124.78	4298.64	1991.0	4210.15	2224.63	7642.41	1551.09	921.88	2271.4	3349.13	1477.58	2148.82	1733.13	3395.89	476.71	3349.13	1685.71	1295.13	356.05	2178.83	2591.27	1628.26	2855.44	1051.79	2816.11	3901.01	2018.8	1794.29	1936.53	3467.27	2133.97	1697.45	4869.99	5751.61	3146.52	6079.61	470.14	547.75
EPB41L2	74.58	113.56	532.74	198.47	190.34	218.79	56.68	244.57	208.38	176.29	297.17	297.17	307.69	248.0	144.01	426.57	249.73	71.0	102.97	236.21	147.06	183.82	85.22	237.86	248.0	108.9	1340.84	854.13	1030.12	866.07	713.11	381.68	595.34	1350.18	555.41	2271.4	974.5	780.44	450.94	591.22	656.11	728.11	769.69	1322.37	1208.34	802.41	1051.79	728.11	1183.45	511.0	438.59	392.44	563.18	1447.15	669.92	1008.9	2468.49	1639.59	1457.23	1605.83	514.56	1519.15	718.08	336.79	1651.0	457.25	1286.18	1340.84	2875.3	684.02	1127.35	2591.27	1008.9	1096.5	884.29	1467.37	1313.23	1175.27	463.65	854.13	1447.15	995.0	1167.14	325.29	764.36	551.56	2351.53	1250.98	1119.56	2224.63	563.18	1088.92	1001.93	1896.65	470.14	1127.35	764.36	1159.07	813.63	1304.15	753.83	1605.83	1008.9	500.46	1322.37	961.07	759.08	808.0	921.88	1051.79	403.5	1268.46	854.13	466.88	325.29	688.78	1135.2	371.22	1529.73	591.22	909.17	1191.69	708.18	547.75	612.11	1216.75	1709.26	743.43	1697.45	2434.5	669.92	2997.45	420.68	237.86
EPB41L5	158.79	128.79	169.07	171.45	988.12	521.76	237.86	480.04	511.0	309.83	514.56	651.58	444.72	334.46	684.02	206.94	366.09	426.57	121.79	438.59	616.37	202.66	258.57	612.11	297.17	325.29	1183.45	1286.18	1594.73	1111.82	1397.83	616.37	507.46	872.1	981.29	2367.9	1628.26	698.41	195.72	466.88	1909.85	2335.28	1605.83	1991.0	718.08	738.29	1519.15	1427.22	1096.5	954.43	454.09	536.45	273.37	1159.07	1096.5	2434.5	1313.23	1733.13	1111.82	1583.71	813.63	1572.76	713.11	723.08	1447.15	503.95	947.83	1044.52	2255.7	1030.12	1651.0	1331.57	2855.44	1519.15	1037.29	1295.13	1059.11	2400.97	318.57	753.83	1427.22	1477.58	2004.85	575.03	665.29	371.22	1250.98	429.54	1427.22	1583.71	902.89	728.11	1073.91	2018.8	264.03	954.43	1617.0	1896.65	791.35	1721.16	733.19	1159.07	1159.07	842.36	1151.06	1407.55	579.04	1044.52	1044.52	1208.34	228.13	1519.15	1015.93	1096.5	348.71	698.41	1167.14	808.0	1437.15	1059.11	1397.83	2193.99	1066.48	884.29	872.1	1023.0	1991.0	1519.15	1151.06	1167.14	1277.29	1685.71	389.72	269.6
EPS15	307.69	260.38	206.94	265.87	303.44	403.5	228.13	454.09	379.04	297.17	429.54	346.29	297.17	376.41	267.73	339.14	327.56	334.46	201.25	299.25	301.33	379.04	246.28	293.07	285.03	283.05	728.11	1001.93	603.67	493.56	579.04	414.87	483.38	629.35	587.13	813.63	587.13	435.55	612.11	435.55	532.74	684.02	599.49	555.41	607.87	305.55	536.45	551.56	825.0	540.19	392.44	483.38	271.48	483.38	447.82	718.08	961.07	708.18	529.06	769.69	536.45	638.15	470.14	366.09	525.39	444.72	674.59	642.59	791.35	325.29	708.18	738.29	1066.48	825.0	490.14	633.73	660.68	674.59	316.37	366.09	540.19	591.22	620.67	412.0	483.38	412.0	595.34	612.11	466.88	934.76	587.13	591.22	703.28	665.29	273.37	559.28	620.67	723.08	679.29	656.11	460.44	665.29	525.39	463.65	629.35	802.41	316.37	540.19	551.56	674.59	323.03	540.19	490.14	620.67	332.14	518.15	273.37	497.0	896.64	540.19	813.63	878.17	591.22	532.74	551.56	447.82	616.37	591.22	733.19	1001.93	802.41	802.41	429.54	297.17
FAM63B	70.01	27.44	10.55	99.43	63.45	99.43	45.53	84.63	84.63	63.0	75.64	103.69	57.89	78.89	37.59	34.26	63.0	59.55	46.5	77.25	70.01	71.5	43.63	56.28	65.72	51.71	229.72	116.78	165.57	169.07	182.55	96.01	105.15	180.02	169.07	236.21	211.31	121.79	56.68	79.45	169.07	224.97	147.06	239.52	129.69	119.26	141.02	150.17	162.14	117.6	92.7	69.52	62.12	143.01	153.34	212.78	303.44	181.28	194.36	291.04	119.26	181.28	96.01	120.94	141.02	111.21	223.41	159.9	221.86	98.04	241.19	249.73	320.8	214.27	139.07	169.07	128.79	199.85	59.55	74.58	198.47	189.02	236.21	87.03	147.06	71.0	156.59	145.02	157.68	264.03	111.99	232.94	234.57	242.88	50.98	102.25	193.01	231.32	123.5	229.72	155.5	181.28	138.1	141.02	195.72	215.77	120.1	138.1	113.56	134.3	60.39	161.02	190.34	135.24	48.18	94.67	147.06	145.02	223.41	157.68	201.25	295.11	167.9	127.89	185.11	152.28	239.52	173.85	234.57	305.55	253.23	201.25	120.94	54.72
FAT4	1.95	0.99	2.27	1.13	18.29	25.35	3.53	24.99	18.7	15.91	19.53	21.16	73.54	45.53	10.79	84.63	24.28	3.72	5.36	18.43	6.01	19.53	10.0	5.96	18.43	25.91	231.32	137.14	71.5	23.42	14.03	28.86	84.63	90.77	182.55	123.5	66.18	33.54	33.54	45.85	32.36	94.67	36.27	43.63	108.9	49.56	32.59	81.14	68.07	105.15	16.88	18.43	32.36	86.43	35.25	185.11	299.25	79.45	65.72	131.51	21.78	90.14	26.67	18.29	35.0	31.9	277.2	76.71	99.43	6.57	115.97	54.72	395.18	68.55	98.04	139.07	161.02	140.04	14.56	74.06	53.19	57.08	89.51	5.87	144.01	76.71	60.82	102.25	41.22	209.84	55.1	68.07	99.43	111.99	14.78	129.69	61.25	181.28	113.56	80.57	43.02	145.02	61.25	34.02	60.82	65.26	31.67	44.89	38.4	66.65	10.08	12.18	30.34	43.02	21.16	100.83	46.5	63.89	193.01	75.64	54.72	249.73	36.79	40.36	55.49	87.65	62.12	44.25	262.2	277.2	29.06	151.22	28.65	15.34
FIBIN	25.54	8.38	19.82	10.39	52.82	68.55	24.46	40.93	109.66	16.39	32.36	29.91	44.89	12.74	32.13	84.63	55.49	21.63	50.98	48.52	71.5	45.21	27.25	105.15	72.01	11.47	551.56	435.55	591.22	417.77	629.35	368.65	265.87	575.03	567.1	1662.49	460.44	145.02	53.19	158.79	387.02	1135.2	493.56	759.08	647.07	206.94	836.53	587.13	753.83	325.29	57.08	71.0	62.56	246.28	299.25	1857.6	1242.34	967.76	1340.84	1674.06	256.78	769.69	152.28	151.22	872.1	185.11	1081.39	713.11	1044.52	229.72	1015.93	507.46	909.17	764.36	187.71	866.07	194.36	1427.22	214.27	228.13	423.61	1088.92	624.99	39.5	285.03	87.03	1001.93	409.15	529.06	392.44	287.01	262.2	947.83	733.19	125.24	78.89	974.5	1397.83	153.34	1268.46	201.25	941.27	830.75	67.12	612.11	780.44	73.03	802.41	532.74	872.1	77.79	503.95	441.64	316.37	87.65	242.88	532.74	381.68	1322.37	283.05	368.65	1540.37	967.76	656.11	98.73	289.02	718.08	373.81	1498.22	1407.55	81.14	679.29	100.83	9.93
FMO2	10.96	12.45	15.8	0.72	273.37	201.25	22.59	208.38	54.33	95.34	150.17	149.12	153.34	59.55	151.22	323.03	279.14	87.03	120.1	260.38	131.51	77.25	85.22	167.9	70.01	16.27	3515.68	2178.83	4802.93	2645.74	2335.28	251.48	961.07	3665.02	3982.99	6381.92	1417.35	368.65	119.26	1111.82	4481.23	5041.77	2119.22	5441.3	2855.44	500.46	909.17	4419.52	2287.2	1487.87	204.07	532.74	316.37	1322.37	934.76	7433.4	3690.52	3467.27	2451.44	6207.38	1135.2	3467.27	1844.76	460.44	2758.13	420.68	5147.73	4543.8	6121.9	1331.57	7857.29	3467.27	8901.53	3955.48	1457.23	3614.55	3103.19	10014.87	130.6	848.22	1617.0	3639.7	3168.41	559.28	995.0	232.94	2573.36	1167.14	1757.34	5831.91	1745.2	1508.65	3491.39	6516.03	438.59	271.48	4736.79	6079.61	1378.57	4328.55	878.17	3742.05	3419.52	466.88	1551.09	4575.41	262.2	3235.01	1709.26	2032.85	163.28	2720.15	1487.87	1923.14	78.34	693.58	3081.75	2193.99	3235.01	2004.85	2193.99	5041.77	1529.73	2875.3	1233.75	2335.28	5913.33	1417.35	4639.29	8778.97	2133.97	2047.0	403.5	1.36
FOXN3	327.56	161.02	134.3	127.89	178.77	242.88	175.07	323.03	318.57	197.09	346.29	309.83	332.14	314.17	275.28	221.86	199.85	148.09	182.55	389.72	237.86	215.77	77.25	336.79	251.48	116.78	1111.82	909.17	1208.34	571.05	454.09	262.2	329.84	733.19	497.0	1359.57	665.29	346.29	214.27	228.13	679.29	1519.15	775.05	599.49	728.11	158.79	476.71	796.86	511.0	493.56	376.41	209.84	232.94	387.02	493.56	909.17	808.0	708.18	470.14	813.63	579.04	500.46	450.94	400.71	466.88	432.53	738.29	1066.48	1111.82	426.57	981.29	1096.5	967.76	791.35	629.35	759.08	629.35	547.75	189.02	356.05	669.92	651.58	713.11	265.87	466.88	255.0	718.08	423.61	429.54	1030.12	647.07	525.39	848.22	967.76	217.27	547.75	1519.15	1167.14	353.59	961.07	575.03	981.29	708.18	376.41	616.37	743.43	339.14	693.58	769.69	414.87	193.01	723.08	457.25	466.88	155.5	395.18	995.0	444.72	947.83	547.75	941.27	1417.35	547.75	733.19	473.41	536.45	947.83	551.56	1175.27	1066.48	575.03	1023.0	281.09	228.13
GHR	1.0	1.3	5.87	0.85	12.36	13.72	4.35	12.45	5.02	13.52	5.87	11.38	8.58	21.47	4.5	29.06	14.03	3.47	2.39	17.64	6.21	16.03	3.03	6.21	11.82	4.78	127.0	75.11	166.73	17.13	81.71	33.3	28.65	234.57	251.48	486.75	72.01	16.51	3.23	41.81	25.91	190.34	50.63	91.41	89.51	43.02	129.69	130.6	120.1	95.34	1.3	31.67	17.0	37.59	17.9	163.28	341.51	212.78	94.01	323.03	46.18	101.54	17.0	16.39	30.12	26.67	698.41	161.02	575.03	12.27	343.89	343.89	384.34	90.14	56.28	88.88	29.91	97.36	1.55	40.36	63.89	75.11	49.21	5.32	48.87	18.56	175.07	25.54	63.89	99.43	13.72	54.72	176.29	171.45	5.5	26.1	190.34	289.02	25.35	104.42	30.34	92.7	46.5	35.5	102.97	102.25	7.57	53.19	23.93	127.89	20.41	98.04	57.89	63.89	13.03	68.07	72.01	118.43	358.54	10.31	87.03	176.29	80.01	37.05	15.22	63.0	217.27	48.52	202.66	194.36	65.72	126.12	20.86	4.94
GPM6A	0.0	0.65	1.68	1.55	8.19	13.83	5.63	13.12	5.82	4.06	10.16	4.58	0.0	9.2	8.45	8.25	55.89	6.46	3.92	12.36	5.54	1.87	11.04	0.14	21.47	3.72	497.0	2133.97	2090.03	493.56	1950.0	215.77	205.5	1769.57	860.08	4607.24	2163.77	199.85	21.01	41.52	1059.11	1844.76	1437.15	1540.37	212.78	149.12	1066.48	2351.53	769.69	301.33	244.57	122.64	60.39	764.36	279.14	2018.8	947.83	651.58	599.49	1605.83	279.14	1233.75	713.11	194.36	1369.04	260.38	323.03	417.77	2739.08	115.97	2004.85	2104.58	1991.0	2335.28	603.67	1096.5	368.65	1295.13	81.14	150.17	733.19	1313.23	921.88	75.11	281.09	156.59	995.0	967.76	759.08	3768.09	423.61	334.46	665.29	3212.66	36.01	473.41	896.64	2163.77	1781.89	2193.99	599.49	928.3	473.41	351.14	629.35	1044.52	183.82	1059.11	1015.93	808.0	61.25	486.75	373.81	514.56	88.26	228.13	403.5	432.53	1685.71	267.73	583.07	1081.39	1322.37	368.65	232.94	1096.5	1709.26	1073.91	2384.37	1950.0	406.31	1322.37	119.26	0.0
ITGA8	5.82	7.06	3.14	5.92	88.88	94.67	12.93	87.03	35.76	38.12	62.56	87.03	32.82	24.11	38.67	134.3	67.59	27.05	9.13	96.68	31.67	54.72	16.39	16.63	54.72	13.52	684.02	265.87	660.68	170.25	500.46	45.53	202.66	733.19	176.29	934.76	417.77	229.72	43.94	141.02	320.8	540.19	738.29	236.21	460.44	177.53	260.38	878.17	327.56	273.37	20.56	31.45	132.44	172.65	187.71	764.36	698.41	703.28	226.54	915.51	341.51	674.59	242.88	61.25	429.54	120.1	1066.48	995.0	1135.2	164.42	514.56	483.38	1225.22	651.58	392.44	567.1	283.05	909.17	21.47	209.84	518.15	486.75	202.66	53.57	206.94	89.51	669.92	190.34	157.68	638.15	291.04	525.39	397.93	808.0	33.54	229.72	551.56	819.3	166.73	842.36	181.28	1073.91	525.39	92.05	325.29	813.63	133.36	460.44	511.0	435.55	57.89	426.57	165.57	293.07	31.45	194.36	395.18	175.07	1340.84	269.6	323.03	642.59	251.48	490.14	88.26	351.14	567.1	283.05	1037.29	651.58	59.97	860.08	90.14	24.99
KAT2B	65.26	50.98	44.57	35.0	90.77	64.8	51.71	103.69	78.34	127.0	182.55	115.97	242.88	146.03	81.14	195.72	134.3	123.5	48.52	130.6	78.34	106.63	84.04	72.01	73.54	144.01	511.0	293.07	334.46	264.03	334.46	113.56	194.36	343.89	217.27	571.05	536.45	231.32	132.44	187.71	346.29	547.75	371.22	493.56	332.14	180.02	429.54	351.14	400.71	277.2	101.54	158.79	133.36	287.01	251.48	435.55	775.05	417.77	412.0	555.41	251.48	305.55	162.14	205.5	346.29	172.65	507.46	341.51	490.14	208.38	603.67	511.0	688.78	325.29	361.04	387.02	236.21	473.41	90.14	226.54	307.69	435.55	426.57	220.32	291.04	127.89	301.33	138.1	144.01	669.92	275.28	256.78	305.55	603.67	80.01	147.06	379.04	309.83	206.94	540.19	271.48	493.56	403.5	316.37	426.57	463.65	199.85	387.02	197.09	273.37	106.63	366.09	409.15	239.52	93.35	190.34	348.71	215.77	403.5	303.44	387.02	583.07	291.04	262.2	171.45	536.45	473.41	409.15	547.75	860.08	417.77	314.17	271.48	95.34
KIAA0355	80.57	55.1	57.89	147.06	172.65	204.07	119.26	185.11	135.24	145.02	159.9	204.07	95.34	153.34	111.99	175.07	91.41	66.65	43.94	115.16	191.67	143.01	52.45	142.01	191.67	113.56	395.18	258.57	381.68	299.25	191.67	318.57	183.82	307.69	320.8	684.02	346.29	156.59	125.24	182.55	293.07	312.0	293.07	334.46	209.84	169.07	327.56	351.14	246.28	269.6	255.0	120.94	131.51	420.68	329.84	417.77	307.69	241.19	277.2	366.09	180.02	283.05	178.77	194.36	237.86	229.72	279.14	361.04	497.0	156.59	339.14	389.72	400.71	392.44	351.14	283.05	674.59	384.34	119.26	178.77	363.56	293.07	309.83	181.28	265.87	198.47	260.38	249.73	228.13	503.95	269.6	441.64	244.57	379.04	99.43	190.34	371.22	361.04	299.25	293.07	262.2	384.34	202.66	307.69	224.97	246.28	180.02	334.46	190.34	172.65	90.14	389.72	285.03	215.77	99.43	187.71	211.31	256.78	450.94	206.94	246.28	466.88	175.07	260.38	329.84	341.51	808.0	264.03	334.46	507.46	231.32	336.79	138.1	135.24
KLF11	88.88	100.83	265.87	165.57	139.07	169.07	90.77	217.27	212.78	201.25	128.79	197.09	162.14	214.27	108.14	180.02	132.44	75.64	99.43	171.45	163.28	127.89	146.03	217.27	147.06	90.14	379.04	514.56	497.0	591.22	346.29	348.71	285.03	293.07	612.11	1250.98	612.11	147.06	248.0	293.07	575.03	679.29	674.59	624.99	389.72	229.72	358.54	579.04	400.71	353.59	463.65	336.79	267.73	336.79	470.14	473.41	713.11	460.44	420.68	420.68	575.03	318.57	395.18	409.15	366.09	366.09	651.58	629.35	1208.34	217.27	518.15	1037.29	679.29	579.04	309.83	409.15	441.64	540.19	139.07	332.14	281.09	397.93	251.48	161.02	441.64	307.69	633.73	251.48	476.71	480.04	684.02	368.65	305.55	607.87	91.41	339.14	500.46	384.34	387.02	312.0	366.09	551.56	486.75	271.48	559.28	497.0	100.83	361.04	366.09	358.54	206.94	429.54	389.72	301.33	208.38	262.2	591.22	341.51	417.77	417.77	277.2	536.45	500.46	291.04	336.79	412.0	1073.91	332.14	743.43	543.96	241.19	447.82	159.9	211.31
LIFR	1.99	18.16	15.8	18.03	112.77	271.48	66.18	108.9	249.73	133.36	175.07	152.28	76.71	217.27	301.33	103.69	94.67	143.01	10.55	163.28	264.03	75.64	65.26	403.5	117.6	143.01	1794.29	571.05	1225.22	463.65	476.71	120.1	198.47	2351.53	432.53	2485.67	454.09	271.48	141.02	693.58	454.09	642.59	387.02	591.22	813.63	186.4	1427.22	819.3	656.11	273.37	163.28	173.85	123.5	346.29	183.82	1477.58	2502.97	743.43	483.38	1388.16	435.55	819.3	229.72	92.05	830.75	226.54	723.08	802.41	1111.82	208.38	860.08	1457.23	2178.83	1268.46	480.04	1572.76	1111.82	629.35	78.34	153.34	1378.57	902.89	890.44	186.4	379.04	165.57	764.36	376.41	679.29	4836.35	202.66	967.76	1781.89	1508.65	37.32	285.03	961.07	3257.52	1225.22	1199.98	136.19	1304.15	334.46	205.5	1073.91	1183.45	112.77	307.69	571.05	642.59	63.0	674.59	353.59	579.04	74.06	339.14	647.07	253.23	1277.29	536.45	866.07	1151.06	221.86	599.49	363.56	389.72	2061.24	265.87	902.89	2816.11	780.44	1769.57	86.43	112.77
MAMDC2	35.5	4.54	4.43	4.06	116.78	113.56	2.2	111.99	12.27	34.51	140.04	50.98	105.15	51.35	41.52	198.47	105.15	39.79	1.36	78.89	55.49	10.71	16.75	15.0	65.72	32.82	1745.2	988.12	1662.49	460.44	961.07	100.13	476.71	2664.15	1594.73	3419.52	1023.0	116.78	9.93	400.71	1008.9	1709.26	2682.69	314.17	1295.13	723.08	379.04	1417.35	1498.22	764.36	35.25	77.79	285.03	379.04	961.07	1936.53	2835.7	1051.79	1331.57	1757.34	616.37	1721.16	476.71	163.28	1340.84	77.79	1268.46	3103.19	2133.97	336.79	2018.8	1508.65	1857.6	1757.34	1216.75	2104.58	708.18	2976.74	3.11	175.07	764.36	2319.15	836.53	221.86	371.22	265.87	1583.71	170.25	1295.13	1037.29	1159.07	555.41	769.69	2400.97	46.5	218.79	1417.35	2148.82	251.48	2319.15	348.71	2004.85	1721.16	353.59	1794.29	1259.69	260.38	665.29	1286.18	679.29	63.0	866.07	480.04	796.86	88.26	1427.22	669.92	555.41	1477.58	473.41	1167.14	2835.7	629.35	703.28	603.67	301.33	836.53	1175.27	1781.89	1183.45	599.49	1066.48	35.76	5.87
