	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF29.1926.SM.5S2P1	GTEX.TMMY.0726.SM.33HBE	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.Y5V5.1626.SM.4VDSG	GTEX.13NZB.1226.SM.5J2MW	GTEX.WEY5.0926.SM.4LMI4	GTEX.WVLH.1426.SM.4MVNX	GTEX.S341.0526.SM.4AD5U	GTEX.XQ3S.1126.SM.4BOPK
CLDN7	1769.57	2018.8	1111.82	332.14	733.19	981.29	40341.14	19214.73	4836.35	6745.86	3039.3	6079.61	4298.64	8901.53
CLTA	3768.09	4419.52	3540.14	3589.58	2758.13	3564.78	5076.84	5555.65	5555.65	5594.3	3901.01	6652.97	5041.77	6207.38
DBNL	1331.57	1594.73	902.89	703.28	1286.18	1250.98	7485.11	5954.47	4802.93	4972.34	3847.29	5219.6	4704.07	6079.61
DDIT4	728.11	1628.26	423.61	142.01	1936.53	2367.9	29943.43	14163.58	9876.98	29736.59	4869.99	18950.18	3039.3	32315.87
DGAT1	441.64	775.05	595.34	514.56	525.39	878.17	1242.34	693.58	1143.1	1950.0	813.63	2400.97	1183.45	2895.31
DHRS3	1242.34	1617.0	1216.75	1051.79	1477.58	1350.18	3372.43	3742.05	2255.7	2915.45	2468.49	3820.7	1674.06	3614.55
EPN1	909.17	1104.13	414.87	241.19	1044.52	607.87	5441.3	3257.52	2537.92	3419.52	1819.35	3901.01	2976.74	3540.14
FABP5	1008.9	2609.3	2485.67	3515.68	896.64	1870.53	7991305.73	4433454.0	60304.42	93974.69	42054.3	81809.59	65082.31	102125.66
FAM83H	387.02	366.09	158.79	77.79	353.59	217.27	2956.17	2178.83	2018.8	2664.15	1119.56	2400.97	2075.59	2400.97
FGF11	159.9	97.36	111.99	101.54	86.43	115.97	4972.34	981.29	551.56	819.3	217.27	476.71	301.33	878.17
GALNT14	169.07	258.57	71.0	33.54	44.57	39.22	6079.61	748.61	389.72	547.75	234.57	417.77	518.15	1030.12
GIPC1	1135.2	1467.37	384.34	253.23	1001.93	551.56	16960.78	9740.98	8078.22	10084.54	5517.27	10440.2	8134.41	10084.54
GPR108	1498.22	1617.0	941.27	1519.15	1832.01	1295.13	2758.13	2018.8	2004.85	2434.5	1487.87	2075.59	1583.71	2148.82
GUK1	3395.89	4869.99	1304.15	2061.24	3146.52	1487.87	15075.35	12853.63	10659.59	15934.98	7032.37	16611.71	10154.69	15180.22
H3F3B	23009.42	24660.96	23986.58	19618.49	20451.65	20881.4	50359.33	48307.85	28328.16	25530.66	21320.18	27363.16	23009.42	29943.43
HDHD3	836.53	703.28	303.44	423.61	674.59	551.56	2104.58	1286.18	1498.22	1857.6	1073.91	1359.57	1407.55	1572.76
HIST1H2AE	53.57	34.02	27.25	13.03	10.96	49.91	1151.06	212.78	87.03	62.56	109.66	248.0	39.22	884.29
HIST1H2AM	4.13	0.0	10.88	0.0	0.0	4.28	166.73	11.47	28.04	43.02	13.42	17.0	8.45	84.63
HIST1H2BD	444.72	136.19	228.13	78.34	151.22	293.07	1794.29	432.53	988.12	591.22	638.15	1001.93	536.45	3212.66
HIST1H2BE	2.27	0.0	1.55	1.51	0.0	4.98	54.72	5.23	4.35	6.01	3.82	35.76	3.29	67.12
HIST1H2BH	16.51	0.0	8.78	0.0	11.82	3.11	1073.91	49.91	117.6	129.69	38.12	64.8	69.03	187.71
HIST1H4J	61.68	101.54	31.22	0.0	80.57	46.84	480.04	265.87	114.36	92.7	109.66	138.1	75.11	114.36
HIST2H2BF	58.71	69.03	46.84	4.78	37.59	28.86	599.49	90.77	132.44	114.36	89.51	688.78	62.56	1277.29
JMJD7	231.32	251.48	114.36	166.73	258.57	312.0	1427.22	2004.85	532.74	967.76	536.45	941.27	854.13	1250.98
KM-PA-2	0.0	0.0	55.89	3.63	14.03	24.81	162.14	466.88	85.22	199.85	64.34	356.05	191.67	126.12
KRT6A	348.71	1447.15	49.56	0.0	1.93	0.0	2.01760973986E9	2.41604469791E9	244588.0	147462.67	20737.16	54727.32	282912.21	109455.64
LLGL2	599.49	497.0	221.86	195.72	447.82	381.68	11035.54	5076.84	3564.78	5006.93	1950.0	4481.23	4010.71	3716.2
LYNX1	177.53	392.44	297.17	417.77	248.0	76.71	4621724.04	1524599.69	59063.35	46019.85	12076.21	18304.63	30999.42	8247.98
MAP2K2	2163.77	1697.45	1295.13	974.5	1175.27	1561.89	3235.01	2682.69	3303.0	4704.07	2384.37	4512.4	3589.58	4210.15
MKNK2	2004.85	1977.24	961.07	447.82	2224.63	2047.0	23492.92	4836.35	9740.98	25887.07	4481.23	15392.14	5751.61	7966.99
MOB2	718.08	743.43	389.72	1008.9	536.45	660.68	1407.55	1331.57	1059.11	967.76	896.64	1059.11	981.29	1135.2
MTFP1	173.85	208.38	146.03	43.63	117.6	120.94	567.1	212.78	454.09	842.36	305.55	521.76	395.18	591.22
MYH14	638.15	595.34	435.55	59.13	591.22	791.35	21468.49	13681.08	3768.09	2997.45	1359.57	2645.74	1844.76	3901.01
NOTUM	2.84	1.91	0.39	2.84	1.89	1.04	693.58	234.57	26.86	41.22	5.92	5.82	18.03	15.22
NUDT22	647.07	591.22	185.11	204.07	514.56	343.89	1447.15	1250.98	1340.84	1697.45	1001.93	1407.55	1313.23	1745.2
OAZ1	14461.21	18431.96	10014.87	8778.97	13586.57	13681.08	30361.44	21919.61	17804.06	23009.42	15934.98	27363.16	21617.82	31432.17
OTUB1	1331.57	1697.45	1104.13	954.43	1540.37	1199.98	3982.99	3443.31	2451.44	2895.31	2018.8	2915.45	2645.74	3901.01
PHLDA3	860.08	1295.13	379.04	532.74	698.41	529.06	5913.33	915.51	1467.37	3060.45	1088.92	2816.11	934.76	4268.94
PHPT1	1001.93	1304.15	698.41	559.28	571.05	400.71	3212.66	2758.13	2555.58	2384.37	1662.49	2591.27	1417.35	2739.08
PPARD	426.57	381.68	260.38	249.73	363.56	358.54	3491.39	1242.34	1183.45	1457.23	718.08	1295.13	1044.52	2209.26
PPP1R13B	567.1	400.71	262.2	346.29	500.46	269.6	1388.16	599.49	890.44	1277.29	525.39	967.76	708.18	830.75
PROSER2	180.02	117.6	84.63	25.54	105.89	102.97	836.53	536.45	325.29	414.87	138.1	371.22	285.03	785.88
PUSL1	175.07	226.54	100.13	37.59	199.85	248.0	629.35	400.71	525.39	764.36	353.59	802.41	660.68	854.13
RAB38	246.28	147.06	164.42	162.14	80.57	135.24	5711.87	3491.39	866.07	1081.39	567.1	928.3	915.51	1594.73
RASSF7	246.28	277.2	87.65	82.29	299.25	215.77	3395.89	1551.09	1467.37	1977.24	825.0	1991.0	1143.1	1340.84
RHOV	1111.82	981.29	256.78	309.83	420.68	392.44	64186.29	41475.31	4066.71	4836.35	1529.73	6164.49	2209.26	4972.34
RMND5B	575.03	669.92	389.72	336.79	684.02	759.08	7081.29	1733.13	1896.65	2720.15	1639.59	2451.44	2148.82	3103.19
RPH3AL	198.47	173.85	154.42	63.89	189.02	45.85	559.28	1199.98	759.08	665.29	426.57	384.34	287.01	283.05
RTN4R	48.18	37.32	20.11	14.35	26.28	26.1	241.19	119.26	95.34	130.6	54.72	97.36	100.83	85.82
RUSC1	480.04	426.57	334.46	591.22	327.56	432.53	1359.57	884.29	1359.57	1697.45	961.07	1322.37	1322.37	1378.57
SCNN1A	1407.55	1639.59	967.76	301.33	1769.57	1519.15	62431.08	27553.49	7857.29	8247.98	3639.7	6561.36	5633.22	3955.48
SCRIB	808.0	753.83	218.79	152.28	555.41	371.22	7911.95	4704.07	4358.66	5219.6	2090.03	6164.49	4095.0	3515.68
SLC6A8	332.14	389.72	264.03	239.52	441.64	348.71	5555.65	363.56	2335.28	4123.49	1268.46	3146.52	1015.93	1119.56
SLURP1	4.1	2.05	1.2	0.29	39.79	13.52	66912.05	116501.39	18178.19	34635.37	6294.04	30361.44	22850.48	7911.95
SPINT2	10296.45	8305.36	3280.18	3235.01	5633.22	4639.29	36357.37	29736.59	12160.22	12676.65	6426.31	11504.21	10585.95	16383.0
SREBF1	2119.22	2047.0	2133.97	753.83	3419.52	1733.13	13215.02	3467.27	3820.7	7032.37	2935.74	5183.54	5183.54	6983.79
SRRM3	82.29	63.0	21.94	32.59	37.05	180.02	301.33	195.72	239.52	514.56	255.0	409.15	299.25	825.0
SRSF9	3060.45	3257.52	2627.46	2627.46	3589.58	2367.9	10225.32	8134.41	3589.58	4152.18	2956.17	3665.02	3742.05	5831.91
STX10	902.89	974.5	291.04	674.59	684.02	967.76	2075.59	2018.8	1794.29	2451.44	1044.52	2367.9	1242.34	2434.5
TMEM125	348.71	255.0	166.73	82.87	224.97	208.38	4038.61	1295.13	483.38	791.35	246.28	420.68	463.65	483.38
TMEM132A	473.41	314.17	93.35	211.31	178.77	256.78	1757.34	435.55	559.28	802.41	753.83	854.13	616.37	1427.22
TMEM141	1388.16	1561.89	591.22	591.22	1051.79	791.35	4298.64	6983.79	2915.45	3955.48	2047.0	4268.94	2502.97	4937.99
TMEM147	1819.35	2367.9	1794.29	1044.52	1233.75	1487.87	2537.92	3982.99	2997.45	2758.13	2209.26	2451.44	2816.11	4671.57
TMEM54	808.0	1037.29	642.59	500.46	775.05	954.43	24490.61	9025.81	4066.71	4388.98	2537.92	5329.3	3742.05	5791.62
TMPRSS4	48.87	147.06	4.86	1.2	5.59	0.0	12329.98	5594.3	7130.55	5147.73	2133.97	4181.07	3146.52	5913.33
TMUB1	529.06	603.67	314.17	162.14	536.45	563.18	1594.73	1051.79	1066.48	2032.85	764.36	2193.99	1044.52	2018.8
TOR2A	186.4	206.94	148.09	60.39	231.32	220.32	305.55	353.59	318.57	450.94	226.54	417.77	379.04	547.75
TRPT1	633.73	616.37	476.71	426.57	748.61	988.12	1697.45	1322.37	1183.45	1844.76	1119.56	1437.15	1044.52	1909.85
TTLL12	540.19	447.82	279.14	182.55	320.8	320.8	7537.18	3081.75	3257.52	4388.98	2104.58	4239.45	2758.13	3690.52
UPK2	20.41	7.75	4.94	0.0	2.58	14.35	1909.85	34.26	23.08	30.12	87.03	89.51	32.59	55.49
