	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13O61.1226.SM.5KM21	TCGA.55.7815.01A.11R.2170.07	TCGA.55.7727.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.55.7725.01A.11R.2170.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	TCGA.BK.A26L.01A.11R.A277.07
RFNG	309.83	353.59	1628.26	457.25	414.87	332.14	144.01	1051.79	242.88	441.64	346.29	371.22	262.2	220.32	575.03	759.08	1008.9	830.75	1208.34	748.61	1073.91	591.22	356.05	1572.76	591.22	928.3	1111.82	902.89	1191.69	813.63	728.11	1159.07	1051.79	669.92	1127.35	206.94
RFX1	119.26	100.83	209.84	98.73	120.1	102.97	58.71	170.25	43.63	43.63	26.47	33.78	35.25	63.45	277.2	289.02	285.03	314.17	323.03	242.88	166.73	156.59	133.36	351.14	167.9	281.09	231.32	201.25	289.02	231.32	217.27	194.36	277.2	172.65	170.25	21.63
SCYL1	438.59	830.75	2895.31	698.41	521.76	503.95	486.75	1794.29	373.81	507.46	420.68	426.57	595.34	447.82	1015.93	1242.34	1508.65	1561.89	1991.0	1844.76	1331.57	961.07	954.43	1870.53	1313.23	1628.26	1561.89	1519.15	1651.0	1540.37	1407.55	1651.0	1561.89	1340.84	1437.15	603.67
SELO	49.56	158.79	1183.45	148.09	120.1	94.67	103.69	532.74	29.06	96.01	19.11	76.17	37.32	89.51	406.31	514.56	624.99	470.14	373.81	460.44	152.28	320.8	175.07	463.65	255.0	406.31	571.05	587.13	529.06	521.76	441.64	698.41	532.74	579.04	480.04	49.21
SH2B1	166.73	289.02	1135.2	473.41	583.07	346.29	237.86	1268.46	212.78	215.77	84.04	161.02	162.14	301.33	1487.87	529.06	1008.9	866.07	854.13	775.05	429.54	591.22	438.59	454.09	642.59	954.43	866.07	941.27	738.29	718.08	775.05	775.05	579.04	698.41	813.63	177.53
SHARPIN	896.64	656.11	2193.99	612.11	579.04	438.59	291.04	1487.87	169.07	486.75	450.94	521.76	486.75	563.18	1457.23	1066.48	1457.23	1407.55	1909.85	1685.71	1417.35	780.44	802.41	1519.15	1023.0	1427.22	1883.54	1991.0	2434.5	1519.15	1350.18	1977.24	2133.97	1950.0	1844.76	264.03
SHKBP1	1359.57	848.22	2193.99	703.28	486.75	688.78	353.59	884.29	575.03	723.08	316.37	1250.98	384.34	780.44	1268.46	1936.53	3491.39	2061.24	1407.55	2485.67	1583.71	1059.11	1457.23	1104.13	1508.65	902.89	2367.9	1794.29	2417.67	2645.74	1733.13	2915.45	3039.3	1936.53	2271.4	733.19
SIGIRR	764.36	1111.82	1594.73	493.56	327.56	295.11	441.64	1378.57	346.29	346.29	348.71	271.48	403.5	599.49	1073.91	1540.37	1519.15	2209.26	1857.6	1806.78	921.88	1167.14	884.29	2018.8	1208.34	1417.35	2047.0	2032.85	1733.13	1340.84	1709.26	3235.01	2758.13	1991.0	2645.74	293.07
SIRT2	507.46	669.92	1594.73	941.27	902.89	854.13	665.29	1397.83	665.29	470.14	376.41	974.5	457.25	684.02	1159.07	759.08	1685.71	713.11	1350.18	1151.06	848.22	693.58	583.07	1477.58	791.35	974.5	1304.15	1088.92	1286.18	1167.14	1175.27	1322.37	1151.06	1183.45	1313.23	361.04
SLC10A3	348.71	441.64	1199.98	392.44	356.05	420.68	283.05	813.63	157.68	211.31	133.36	336.79	105.15	212.78	665.29	368.65	1023.0	503.95	808.0	575.03	460.44	392.44	366.09	780.44	438.59	444.72	607.87	669.92	665.29	529.06	532.74	599.49	624.99	490.14	575.03	157.68
SSBP4	536.45	567.1	1674.06	536.45	463.65	392.44	343.89	1286.18	177.53	397.93	269.6	162.14	299.25	466.88	928.3	1331.57	1832.01	1437.15	2004.85	1340.84	688.78	688.78	587.13	1331.57	624.99	1551.09	1583.71	1135.2	1639.59	1073.91	921.88	1923.14	1551.09	909.17	1936.53	457.25
TAB1	67.59	182.55	607.87	265.87	249.73	191.67	248.0	507.46	75.11	133.36	76.17	161.02	258.57	156.59	454.09	214.27	435.55	384.34	447.82	348.71	193.01	265.87	193.01	373.81	242.88	363.56	426.57	348.71	429.54	420.68	327.56	305.55	334.46	301.33	351.14	146.03
TIMM44	112.77	267.73	1096.5	339.14	244.57	198.47	441.64	1359.57	309.83	470.14	348.71	258.57	435.55	307.69	447.82	769.69	1242.34	967.76	890.44	1183.45	583.07	575.03	540.19	1015.93	426.57	890.44	825.0	878.17	791.35	733.19	743.43	884.29	743.43	642.59	884.29	457.25
TMEM115	279.14	693.58	1477.58	543.96	441.64	426.57	447.82	1088.92	220.32	242.88	149.12	275.28	212.78	332.14	967.76	463.65	896.64	769.69	1135.2	791.35	688.78	406.31	289.02	1378.57	514.56	759.08	988.12	947.83	988.12	791.35	1015.93	703.28	884.29	656.11	684.02	295.11
TMEM129	303.44	253.23	1111.82	346.29	267.73	220.32	171.45	1051.79	82.29	232.94	143.01	133.36	242.88	234.57	842.36	493.56	703.28	738.29	1143.1	884.29	629.35	432.53	297.17	723.08	497.0	1225.22	1001.93	836.53	981.29	825.0	866.07	842.36	769.69	656.11	854.13	129.69
TMEM259	896.64	854.13	4769.75	1059.11	1183.45	967.76	612.11	4210.15	587.13	1081.39	587.13	1030.12	733.19	878.17	2148.82	2520.38	3955.48	3372.43	3639.7	3874.05	2271.4	1844.76	2400.97	2485.67	1963.57	2739.08	3491.39	3589.58	4010.71	2976.74	2591.27	3742.05	2720.15	2485.67	2682.69	441.64
TPRA1	412.0	490.14	1151.06	466.88	547.75	454.09	379.04	802.41	149.12	297.17	224.97	417.77	320.8	353.59	665.29	403.5	791.35	660.68	842.36	607.87	483.38	518.15	460.44	1088.92	426.57	854.13	647.07	642.59	679.29	551.56	579.04	718.08	738.29	733.19	638.15	314.17
TREX2	0.0	2.89	229.72	4.62	7.34	4.03	1.14	19.11	2.43	0.0	2.07	0.0	3.92	0.0	12.83	20.41	21.78	6.78	11.55	14.45	11.13	5.68	3.03	7.57	5.32	11.04	11.82	5.06	18.16	20.26	10.71	26.28	28.24	13.03	11.21	4.86
TSC22D4	253.23	656.11	2032.85	486.75	563.18	287.01	507.46	860.08	131.51	307.69	237.86	320.8	293.07	343.89	624.99	708.18	2739.08	1175.27	2555.58	1015.93	802.41	486.75	332.14	1199.98	466.88	842.36	1242.34	1127.35	1322.37	1001.93	1037.29	1350.18	1233.75	995.0	1322.37	341.51
TSR3	309.83	571.05	3564.78	414.87	336.79	258.57	291.04	1259.69	197.09	320.8	154.42	283.05	325.29	249.73	1369.04	860.08	1883.54	1023.0	1909.85	1369.04	981.29	616.37	397.93	1757.34	620.67	1175.27	1304.15	1605.83	1487.87	1111.82	1151.06	1617.0	1733.13	1417.35	1447.15	228.13
UBALD1	172.65	211.31	1167.14	195.72	224.97	143.01	76.17	1304.15	48.18	98.04	49.56	100.13	43.94	134.3	830.75	674.59	1135.2	802.41	1651.0	1001.93	660.68	547.75	490.14	1135.2	579.04	872.1	1008.9	1378.57	1191.69	967.76	753.83	928.3	1104.13	967.76	1023.0	102.25
UBL4A	511.0	543.96	1388.16	480.04	325.29	283.05	426.57	559.28	260.38	447.82	660.68	518.15	591.22	361.04	753.83	571.05	981.29	660.68	1037.29	808.0	642.59	543.96	438.59	1008.9	607.87	591.22	753.83	836.53	896.64	688.78	612.11	718.08	775.05	642.59	728.11	536.45
UBXN6	343.89	1143.1	4972.34	1167.14	713.11	669.92	854.13	3325.99	432.53	738.29	392.44	543.96	486.75	511.0	2224.63	1096.5	2739.08	1721.16	2701.35	1498.22	1340.84	808.0	884.29	2400.97	693.58	1639.59	1806.78	1857.6	2287.2	1651.0	1950.0	2303.12	1923.14	1721.16	1896.65	457.25
USF2	444.72	1781.89	4972.34	1757.34	884.29	1015.93	1081.39	3081.75	1259.69	1487.87	860.08	2400.97	1111.82	1819.35	4038.61	2104.58	4481.23	2502.97	3874.05	2004.85	2163.77	2193.99	2075.59	2193.99	2193.99	2468.49	2319.15	2417.67	2835.7	2537.92	2573.36	3768.09	2915.45	2193.99	3639.7	1651.0
VPS4A	791.35	1277.29	2287.2	1127.35	866.07	860.08	808.0	1950.0	693.58	1023.0	698.41	1127.35	1023.0	967.76	1508.65	1208.34	2119.22	1832.01	1697.45	1617.0	1350.18	961.07	934.76	1540.37	1268.46	1159.07	1662.49	1794.29	1745.2	1572.76	1685.71	1639.59	1540.37	1572.76	1572.76	947.83
VPS51	669.92	1175.27	5913.33	1417.35	1572.76	1008.9	813.63	2720.15	525.39	884.29	460.44	753.83	825.0	1119.56	2485.67	1540.37	1794.29	2271.4	2935.74	2351.53	1359.57	1242.34	909.17	2119.22	1183.45	1757.34	2163.77	2915.45	2758.13	2400.97	2915.45	2148.82	2434.5	2451.44	2796.65	733.19
WDR24	54.72	128.79	381.68	77.25	69.03	31.22	42.11	273.37	10.71	49.56	16.63	44.89	22.43	39.22	244.57	172.65	295.11	201.25	249.73	244.57	191.67	163.28	111.21	295.11	170.25	275.28	246.28	229.72	289.02	223.41	197.09	208.38	242.88	185.11	191.67	33.54
WDR83	51.35	120.1	825.0	108.14	87.03	48.18	112.77	316.37	40.36	104.42	62.56	66.65	73.54	104.42	287.01	295.11	379.04	255.0	289.02	180.02	271.48	161.02	162.14	256.78	163.28	147.06	279.14	255.0	269.6	199.85	205.5	269.6	336.79	299.25	329.84	65.26
ZBTB45	102.25	129.69	698.41	118.43	140.04	92.7	80.57	327.56	21.16	35.5	14.78	57.49	34.75	100.83	301.33	229.72	412.0	325.29	507.46	361.04	258.57	161.02	133.36	241.19	228.13	273.37	327.56	358.54	387.02	291.04	264.03	291.04	389.72	271.48	295.11	47.5
ZFAND2B	214.27	603.67	2163.77	579.04	463.65	507.46	684.02	825.0	441.64	521.76	379.04	457.25	575.03	587.13	872.1	713.11	1119.56	785.88	884.29	1250.98	629.35	547.75	571.05	1008.9	612.11	656.11	1407.55	1498.22	1378.57	1199.98	1477.58	1233.75	1477.58	1135.2	1359.57	547.75
ZNF444	423.61	264.03	1250.98	241.19	255.0	181.28	170.25	1001.93	198.47	341.51	61.68	279.14	67.59	441.64	1183.45	679.29	1088.92	656.11	1250.98	961.07	454.09	412.0	277.2	934.76	656.11	796.86	1030.12	796.86	954.43	1081.39	693.58	780.44	1143.1	934.76	748.61	100.83
ZNF500	76.17	150.17	220.32	134.3	158.79	95.34	111.21	218.79	56.28	72.01	117.6	93.35	139.07	111.99	204.07	260.38	221.86	256.78	297.17	215.77	147.06	155.5	119.26	281.09	190.34	353.59	244.57	156.59	211.31	221.86	185.11	231.32	167.9	128.79	158.79	154.42
ZNF524	53.95	195.72	2061.24	204.07	161.02	135.24	130.6	642.59	26.67	74.58	10.96	35.76	33.78	80.01	896.64	624.99	1167.14	780.44	1127.35	796.86	529.06	229.72	195.72	748.61	208.38	669.92	954.43	860.08	1159.07	769.69	698.41	1088.92	1457.23	1059.11	1008.9	63.45
ZNF628	15.56	12.18	267.73	32.36	36.01	21.01	15.34	205.5	8.25	11.21	0.99	8.71	1.43	31.45	46.84	108.14	223.41	265.87	291.04	169.07	60.39	65.26	49.21	202.66	83.45	198.47	208.38	215.77	211.31	178.77	149.12	128.79	136.19	118.43	149.12	6.62
ZNF653	82.87	74.06	316.37	91.41	105.15	98.73	112.77	361.04	47.5	94.01	36.27	49.21	46.18	52.82	256.78	127.0	318.57	176.29	204.07	183.82	116.78	155.5	146.03	189.02	119.26	136.19	251.48	229.72	231.32	248.0	167.9	224.97	246.28	149.12	195.72	54.33
ZNF775	45.53	165.57	738.29	157.68	159.9	102.25	105.89	620.67	66.65	106.63	48.52	108.14	102.25	163.28	267.73	511.0	483.38	753.83	769.69	503.95	279.14	327.56	150.17	503.95	221.86	327.56	563.18	470.14	684.02	503.95	435.55	1044.52	698.41	638.15	708.18	62.12
ZNF777	82.87	122.64	438.59	129.69	151.22	102.97	122.64	265.87	55.1	75.64	32.59	102.25	54.72	81.14	260.38	198.47	291.04	314.17	325.29	251.48	176.29	150.17	84.04	392.44	218.79	332.14	246.28	255.0	275.28	256.78	212.78	212.78	206.94	185.11	204.07	79.45
