	TCGA.E7.A6ME.01A.22R.A32O.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.S3.AA0Z.01A.11R.A41B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.PX3G.0526.SM.2I3EM	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
C17orf59	312.0	435.55	185.11	325.29	255.0	211.31	221.86	297.17	327.56	166.73	144.01	221.86	177.53	201.25	327.56	63.45	277.2	237.86	351.14	351.14	50.63	135.24	198.47	123.5	387.02	232.94	142.01	95.34	82.87	167.9	119.26	299.25	281.09	287.01	157.68	77.79	120.1	126.12	158.79	108.9	76.71
C19orf25	1191.69	733.19	638.15	684.02	493.56	713.11	480.04	728.11	669.92	423.61	486.75	511.0	518.15	555.41	802.41	123.5	607.87	323.03	836.53	921.88	194.36	180.02	444.72	275.28	988.12	363.56	356.05	228.13	267.73	417.77	237.86	563.18	603.67	642.59	417.77	148.09	138.1	264.03	366.09	226.54	177.53
C21orf119	454.09	141.02	269.6	249.73	87.65	205.5	167.9	327.56	151.22	454.09	159.9	108.9	126.12	246.28	181.28	49.56	199.85	124.37	141.02	167.9	107.38	74.06	109.66	45.21	267.73	107.38	96.68	104.42	78.89	198.47	130.6	144.01	148.09	260.38	78.34	63.45	43.02	144.01	92.05	114.36	119.26
C3orf14	2537.92	693.58	660.68	348.71	314.17	205.5	81.14	356.05	429.54	201.25	182.55	447.82	660.68	748.61	518.15	92.05	111.99	67.59	320.8	226.54	84.63	94.01	116.78	51.71	713.11	194.36	58.3	82.87	49.91	135.24	123.5	540.19	190.34	208.38	105.15	199.85	82.29	62.56	69.52	50.27	74.58
C6orf203	3372.43	547.75	463.65	316.37	297.17	769.69	316.37	476.71	361.04	236.21	189.02	273.37	356.05	299.25	368.65	120.94	325.29	181.28	441.64	454.09	144.01	113.56	152.28	80.01	532.74	251.48	197.09	170.25	118.43	228.13	166.73	395.18	376.41	409.15	101.54	102.25	102.25	163.28	169.07	112.77	117.6
C9orf69	551.56	674.59	624.99	579.04	438.59	497.0	559.28	486.75	476.71	307.69	265.87	379.04	457.25	441.64	480.04	153.34	529.06	273.37	647.07	450.94	152.28	159.9	343.89	139.07	723.08	301.33	255.0	177.53	234.57	303.44	256.78	409.15	525.39	493.56	253.23	149.12	143.01	204.07	277.2	187.71	171.45
CCDC167	1519.15	2400.97	1397.83	1023.0	860.08	796.86	909.17	928.3	529.06	279.14	457.25	607.87	961.07	748.61	890.44	206.94	256.78	279.14	728.11	872.1	146.03	239.52	305.55	291.04	866.07	665.29	460.44	140.04	275.28	172.65	325.29	412.0	379.04	397.93	346.29	293.07	185.11	242.88	187.71	212.78	140.04
CD74	101420.22	275175.93	74243.68	443937.41	466008.55	425853.18	506427.83	280957.98	527933.71	726195.27	1196176.45	502929.67	485798.0	682276.92	585779.24	116501.39	619179.28	419990.32	520665.48	757033.75	358098.26	1019901.63	414208.18	932018.1	414208.18	459592.86	265802.39	1503610.06	135693.24	1229805.58	741454.2	513497.31	554180.87	550352.86	363097.14	593956.43	375901.76	1877002.62	636586.81	1196176.45	531605.79
CDIPT	3901.01	2018.8	4328.55	2956.17	1909.85	2537.92	3081.75	2451.44	2645.74	2224.63	1498.22	2537.92	1088.92	2796.65	2209.26	713.11	2627.46	2303.12	2018.8	2816.11	1199.98	1447.15	2178.83	1286.18	2468.49	1437.15	1936.53	1350.18	1127.35	1991.0	1378.57	2758.13	3349.13	2956.17	1498.22	1331.57	825.0	1757.34	1794.29	1088.92	1313.23
CLPTM1	3540.14	3901.01	2520.38	2163.77	1781.89	2502.97	1819.35	2075.59	2255.7	2104.58	1322.37	1883.54	2163.77	1883.54	2335.28	1001.93	2609.3	961.07	2537.92	2720.15	1467.37	1030.12	1066.48	1447.15	2701.35	1674.06	1870.53	1605.83	981.29	1467.37	1277.29	2287.2	2875.3	2796.65	1268.46	1104.13	1417.35	1697.45	1208.34	1015.93	1059.11
COPE	5041.77	8658.09	4419.52	4419.52	4095.0	4972.34	3820.7	3665.02	3039.3	4210.15	3639.7	2701.35	4181.07	6207.38	2875.3	2148.82	3928.15	1936.53	5366.37	3467.27	2520.38	1709.26	2758.13	3982.99	6471.02	2976.74	3372.43	2609.3	2468.49	2835.7	2796.65	2976.74	3257.52	3690.52	2319.15	1781.89	1529.73	2537.92	2816.11	2645.74	2855.44
COQ4	1628.26	1304.15	884.29	1225.22	941.27	1540.37	961.07	1286.18	1216.75	1191.69	748.61	808.0	1066.48	866.07	1378.57	320.8	1059.11	603.67	1359.57	1628.26	480.04	603.67	753.83	473.41	1359.57	854.13	738.29	563.18	379.04	872.1	529.06	1286.18	1135.2	1304.15	567.1	507.46	283.05	775.05	532.74	483.38	693.58
COQ7	1340.84	346.29	854.13	389.72	339.14	414.87	366.09	450.94	316.37	521.76	273.37	358.54	429.54	295.11	497.0	189.02	361.04	318.57	373.81	412.0	217.27	248.0	199.85	101.54	463.65	325.29	120.94	234.57	103.69	463.65	258.57	587.13	518.15	409.15	217.27	253.23	158.79	197.09	265.87	187.71	220.32
DAK	1417.35	1709.26	1268.46	1340.84	1023.0	1259.69	1051.79	1794.29	1051.79	1037.29	497.0	579.04	1143.1	1015.93	1059.11	139.07	813.63	379.04	1037.29	1583.71	376.41	435.55	540.19	241.19	1540.37	1044.52	759.08	587.13	273.37	1088.92	543.96	988.12	1551.09	1119.56	343.89	361.04	163.28	642.59	423.61	486.75	514.56
DCTPP1	2997.45	1487.87	3820.7	915.51	759.08	629.35	616.37	785.88	656.11	759.08	1051.79	480.04	674.59	483.38	915.51	187.71	660.68	423.61	954.43	587.13	353.59	320.8	279.14	334.46	1745.2	532.74	291.04	275.28	384.34	521.76	363.56	612.11	454.09	616.37	204.07	346.29	518.15	267.73	651.58	432.53	295.11
DDX49	1519.15	1883.54	1208.34	934.76	796.86	1135.2	1015.93	780.44	738.29	497.0	444.72	486.75	921.88	698.41	575.03	234.57	656.11	343.89	1037.29	842.36	208.38	208.38	301.33	429.54	1104.13	603.67	426.57	297.17	256.78	463.65	275.28	703.28	764.36	967.76	287.01	244.57	285.03	273.37	295.11	336.79	186.4
DDX59	444.72	397.93	842.36	476.71	381.68	563.18	493.56	536.45	384.34	301.33	249.73	323.03	529.06	265.87	567.1	224.97	264.03	172.65	543.96	483.38	273.37	57.49	244.57	78.34	417.77	529.06	215.77	253.23	204.07	387.02	239.52	429.54	273.37	368.65	189.02	170.25	135.24	262.2	221.86	182.55	223.41
DNAJA3	587.13	974.5	2351.53	718.08	616.37	819.3	748.61	915.51	483.38	371.22	753.83	454.09	473.41	384.34	688.78	258.57	490.14	503.95	575.03	629.35	251.48	353.59	273.37	209.84	563.18	518.15	500.46	178.77	312.0	379.04	312.0	470.14	571.05	674.59	417.77	287.01	248.0	395.18	397.93	269.6	307.69
DNAL4	607.87	547.75	1023.0	842.36	529.06	503.95	529.06	500.46	674.59	802.41	339.14	463.65	791.35	647.07	624.99	177.53	567.1	228.13	921.88	961.07	273.37	366.09	346.29	166.73	753.83	435.55	283.05	204.07	180.02	457.25	293.07	947.83	842.36	753.83	264.03	285.03	128.79	339.14	269.6	185.11	493.56
DOHH	738.29	351.14	316.37	244.57	242.88	293.07	154.42	221.86	194.36	121.79	147.06	167.9	202.66	199.85	150.17	59.55	218.79	110.43	307.69	212.78	105.89	90.14	112.77	97.36	343.89	189.02	119.26	94.67	100.13	80.01	77.25	205.5	277.2	265.87	131.51	72.01	119.26	73.54	142.01	52.08	62.12
DPM2	1551.09	1199.98	1551.09	1216.75	780.44	1259.69	954.43	961.07	1081.39	1030.12	988.12	819.3	1023.0	1427.22	1081.39	426.57	1208.34	599.49	1111.82	1081.39	414.87	476.71	571.05	525.39	1936.53	775.05	674.59	473.41	400.71	872.1	500.46	974.5	1183.45	1081.39	490.14	454.09	395.18	743.43	743.43	599.49	361.04
ECE2	246.28	185.11	251.48	92.05	57.49	85.22	37.59	81.14	38.4	37.05	84.04	31.45	40.36	49.91	40.07	16.88	84.63	23.93	81.14	52.82	10.96	14.35	15.8	20.56	98.73	27.64	29.48	15.8	23.76	14.24	19.97	26.28	87.65	69.52	7.88	13.03	22.43	21.94	34.02	16.88	28.86
EIF2D	928.3	693.58	1417.35	1447.15	902.89	1159.07	1008.9	1199.98	1044.52	674.59	738.29	1066.48	595.34	575.03	1066.48	432.53	647.07	463.65	961.07	902.89	620.67	543.96	934.76	314.17	764.36	791.35	426.57	426.57	529.06	961.07	536.45	1127.35	872.1	1059.11	688.78	551.56	269.6	808.0	536.45	507.46	728.11
ELOF1	2537.92	2555.58	1073.91	1605.83	1286.18	1963.57	1183.45	1685.71	1697.45	1359.57	1268.46	1313.23	1359.57	1639.59	1617.0	612.11	1457.23	860.08	2004.85	1806.78	728.11	872.1	967.76	743.43	2163.77	1199.98	1073.91	713.11	575.03	1216.75	819.3	1733.13	1733.13	1909.85	780.44	733.19	748.61	1051.79	934.76	647.07	713.11
ERAL1	1721.16	825.0	2627.46	872.1	813.63	1001.93	656.11	1081.39	836.53	543.96	490.14	607.87	808.0	612.11	961.07	177.53	780.44	271.48	1127.35	836.53	392.44	181.28	314.17	228.13	1143.1	559.28	497.0	332.14	312.0	521.76	312.0	825.0	769.69	819.3	336.79	316.37	147.06	371.22	373.81	262.2	293.07
EXOSC3	1359.57	1331.57	1806.78	563.18	444.72	642.59	320.8	521.76	493.56	232.94	684.02	599.49	688.78	532.74	283.05	178.77	224.97	283.05	748.61	412.0	122.64	162.14	262.2	152.28	679.29	497.0	242.88	138.1	236.21	215.77	132.44	866.07	353.59	237.86	180.02	275.28	299.25	223.41	237.86	223.41	178.77
FAM189B	708.18	497.0	1331.57	1135.2	432.53	665.29	555.41	579.04	316.37	204.07	234.57	356.05	275.28	361.04	353.59	121.79	376.41	486.75	361.04	400.71	142.01	287.01	348.71	299.25	540.19	126.12	228.13	139.07	301.33	170.25	241.19	339.14	381.68	403.5	297.17	136.19	217.27	120.1	295.11	190.34	220.32
FAM32A	2758.13	2384.37	4543.8	1685.71	1674.06	2032.85	2240.11	2758.13	2287.2	2148.82	1529.73	1674.06	1870.53	1950.0	1794.29	1030.12	2271.4	1001.93	2835.7	2090.03	1135.2	825.0	947.83	1322.37	2591.27	1286.18	902.89	1216.75	1001.93	1508.65	1167.14	2835.7	2178.83	1991.0	1051.79	1191.69	1733.13	1277.29	1662.49	1023.0	947.83
FEM1A	457.25	318.57	303.44	409.15	134.3	332.14	88.26	366.09	258.57	211.31	195.72	236.21	146.03	106.63	149.12	51.71	808.0	75.64	381.68	348.71	54.33	53.19	55.89	62.56	441.64	86.43	116.78	58.3	77.79	118.43	64.34	248.0	480.04	429.54	85.82	43.02	72.52	99.43	112.77	78.34	85.82
FH	1709.26	1378.57	2224.63	1685.71	836.53	1277.29	665.29	1870.53	813.63	775.05	825.0	819.3	764.36	718.08	785.88	473.41	866.07	476.71	698.41	647.07	559.28	283.05	353.59	318.57	1407.55	483.38	595.34	620.67	379.04	825.0	518.15	890.44	848.22	813.63	555.41	612.11	320.8	674.59	723.08	669.92	567.1
FIZ1	486.75	429.54	318.57	318.57	157.68	309.83	215.77	281.09	206.94	186.4	138.1	229.72	232.94	182.55	283.05	93.35	332.14	115.16	366.09	336.79	72.52	65.26	170.25	102.97	395.18	150.17	70.01	96.68	132.44	172.65	81.71	307.69	320.8	361.04	135.24	94.01	87.65	86.43	154.42	86.43	128.79
FLAD1	2018.8	878.17	2451.44	1030.12	518.15	1008.9	575.03	947.83	674.59	629.35	536.45	389.72	743.43	277.2	599.49	171.45	603.67	264.03	928.3	738.29	320.8	255.0	346.29	291.04	748.61	1088.92	493.56	267.73	332.14	476.71	463.65	559.28	514.56	620.67	323.03	163.28	323.03	341.51	320.8	269.6	231.32
GPAA1	3303.0	3589.58	3874.05	2224.63	1498.22	1950.0	3395.89	1104.13	2178.83	1605.83	1322.37	1605.83	2209.26	2400.97	2209.26	543.96	2240.11	995.0	2777.33	2335.28	967.76	713.11	1350.18	638.15	3467.27	1806.78	947.83	1001.93	713.11	1662.49	1313.23	1617.0	2573.36	2816.11	1104.13	660.68	555.41	947.83	1088.92	780.44	878.17
GPATCH2	373.81	327.56	441.64	164.42	153.34	231.32	167.9	229.72	228.13	139.07	145.02	115.97	242.88	158.79	198.47	41.52	53.57	55.1	152.28	113.56	94.67	50.63	156.59	31.0	149.12	141.02	92.7	78.89	80.01	145.02	161.02	185.11	105.89	90.14	52.82	73.54	30.78	104.42	59.13	67.59	105.15
GPR137	872.1	1583.71	1023.0	1175.27	1001.93	1322.37	1277.29	1175.27	830.75	547.75	417.77	733.19	967.76	866.07	941.27	206.94	693.58	409.15	1111.82	1030.12	320.8	450.94	753.83	493.56	1594.73	579.04	463.65	314.17	295.11	466.88	490.14	981.29	830.75	884.29	500.46	346.29	320.8	417.77	450.94	371.22	325.29
HAX1	3768.09	2645.74	4450.27	5672.41	1977.24	4066.71	2119.22	3614.55	2133.97	1487.87	1896.65	1781.89	2004.85	1662.49	1991.0	836.53	2075.59	1008.9	2682.69	2485.67	1073.91	1001.93	1088.92	909.17	2367.9	1427.22	1088.92	1051.79	791.35	1709.26	915.51	2335.28	2351.53	2520.38	1088.92	1605.83	718.08	1250.98	1259.69	1008.9	1216.75
HINT2	2209.26	1896.65	2855.44	2417.67	1233.75	2417.67	1159.07	2485.67	1628.26	1806.78	1051.79	1008.9	1487.87	988.12	1662.49	493.56	1685.71	848.22	1857.6	1457.23	708.18	435.55	607.87	718.08	3303.0	1059.11	642.59	647.07	316.37	1359.57	703.28	2047.0	1651.0	1662.49	620.67	651.58	356.05	884.29	836.53	497.0	819.3
HSD11B1L	353.59	289.02	303.44	392.44	158.79	249.73	214.27	381.68	228.13	303.44	136.19	202.66	244.57	246.28	194.36	47.5	149.12	231.32	289.02	275.28	79.45	155.5	198.47	130.6	223.41	127.0	172.65	117.6	30.78	191.67	131.51	323.03	171.45	295.11	175.07	108.9	111.99	89.51	105.89	108.9	237.86
INO80C	743.43	656.11	1359.57	1651.0	529.06	1001.93	500.46	1030.12	1167.14	860.08	525.39	612.11	679.29	239.52	688.78	171.45	688.78	201.25	872.1	961.07	500.46	236.21	244.57	159.9	890.44	567.1	152.28	314.17	255.0	567.1	348.71	1183.45	503.95	759.08	289.02	432.53	332.14	376.41	262.2	384.34	265.87
IRF2BP1	764.36	842.36	392.44	329.84	258.57	332.14	242.88	438.59	423.61	305.55	178.77	332.14	283.05	177.53	358.54	111.99	490.14	256.78	423.61	591.22	111.21	112.77	178.77	239.52	620.67	248.0	155.5	141.02	145.02	211.31	120.1	376.41	490.14	490.14	146.03	146.03	258.57	185.11	194.36	113.56	169.07
ISG20L2	796.86	633.73	1594.73	669.92	579.04	387.02	543.96	567.1	493.56	406.31	392.44	454.09	435.55	316.37	511.0	366.09	563.18	341.51	460.44	559.28	253.23	264.03	226.54	301.33	599.49	336.79	211.31	332.14	381.68	251.48	187.71	460.44	547.75	361.04	309.83	356.05	463.65	267.73	371.22	341.51	497.0
JMJD4	674.59	723.08	703.28	629.35	323.03	414.87	376.41	444.72	258.57	228.13	220.32	151.22	251.48	267.73	293.07	115.97	376.41	102.25	318.57	339.14	164.42	72.52	182.55	113.56	395.18	273.37	136.19	156.59	115.16	204.07	105.89	265.87	289.02	323.03	130.6	120.1	74.58	195.72	217.27	127.89	157.68
JOSD2	2104.58	1427.22	1051.79	791.35	633.73	1340.84	665.29	921.88	1111.82	728.11	848.22	1023.0	1111.82	1745.2	1359.57	136.19	620.67	403.5	1832.01	1417.35	373.81	532.74	684.02	454.09	1104.13	802.41	819.3	417.77	314.17	567.1	579.04	1242.34	860.08	1340.84	748.61	379.04	269.6	420.68	414.87	460.44	551.56
KEAP1	1950.0	2271.4	1407.55	1832.01	1268.46	1605.83	1001.93	1745.2	1508.65	947.83	684.02	896.64	1119.56	669.92	928.3	299.25	2591.27	638.15	1350.18	1498.22	406.31	305.55	450.94	674.59	2468.49	830.75	579.04	486.75	395.18	830.75	483.38	1259.69	1477.58	1437.15	660.68	400.71	529.06	660.68	603.67	457.25	511.0
KLHDC3	3235.01	2061.24	2537.92	1674.06	1407.55	1529.73	1745.2	1794.29	1769.57	1909.85	1295.13	1487.87	1023.0	2664.15	1757.34	769.69	2287.2	1322.37	2163.77	2104.58	860.08	1104.13	1685.71	1359.57	2367.9	1508.65	1242.34	988.12	1023.0	1991.0	1628.26	2090.03	2104.58	2148.82	1304.15	651.58	860.08	1508.65	1304.15	1104.13	1268.46
KLHL12	854.13	457.25	1143.1	728.11	476.71	599.49	414.87	791.35	463.65	229.72	265.87	376.41	444.72	392.44	373.81	150.17	392.44	175.07	483.38	500.46	209.84	115.16	194.36	100.83	438.59	366.09	244.57	197.09	150.17	346.29	224.97	460.44	423.61	473.41	229.72	175.07	121.79	293.07	237.86	199.85	190.34
LENG1	329.84	387.02	155.5	237.86	211.31	258.57	133.36	226.54	353.59	167.9	181.28	217.27	305.55	215.77	194.36	94.67	283.05	167.9	379.04	406.31	99.43	199.85	127.89	185.11	325.29	217.27	165.57	90.77	149.12	132.44	103.69	361.04	260.38	289.02	139.07	130.6	221.86	191.67	186.4	92.05	167.9
LEO1	447.82	353.59	400.71	353.59	332.14	305.55	285.03	363.56	277.2	198.47	169.07	229.72	277.2	267.73	275.28	112.77	244.57	123.5	297.17	339.14	157.68	89.51	177.53	53.95	356.05	223.41	143.01	122.64	89.51	214.27	145.02	316.37	303.44	279.14	137.14	173.85	111.99	173.85	120.94	133.36	134.3
LOH12CR2	29.91	30.56	36.01	40.64	22.43	26.28	30.34	22.75	29.91	20.56	8.32	31.22	25.17	29.7	22.1	7.75	16.88	15.68	43.02	35.5	11.64	15.91	26.1	14.89	47.17	19.25	10.55	10.63	16.63	19.82	24.81	38.12	41.52	28.65	15.34	25.91	15.91	17.0	11.21	17.51	7.51
LSM2	2520.38	1909.85	3491.39	1498.22	1059.11	1233.75	1407.55	1340.84	1277.29	1066.48	1008.9	1088.92	1008.9	1378.57	703.28	332.14	660.68	620.67	1540.37	1127.35	444.72	571.05	854.13	633.73	2796.65	607.87	457.25	387.02	698.41	769.69	514.56	1159.07	947.83	1037.29	525.39	651.58	497.0	607.87	928.3	660.68	802.41
LSMD1	4239.45	3589.58	2573.36	3395.89	1857.6	3303.0	1447.15	2935.74	3768.09	3039.3	1844.76	2224.63	1977.24	4575.41	1561.89	769.69	4010.71	2209.26	4639.29	2502.97	1151.06	1832.01	1781.89	2133.97	5954.47	1457.23	2119.22	1088.92	759.08	1870.53	1467.37	3564.78	3257.52	3742.05	1183.45	1733.13	947.83	1709.26	1936.53	1304.15	2664.15
MAGEF1	1583.71	1378.57	1583.71	738.29	583.07	703.28	460.44	1073.91	529.06	738.29	387.02	679.29	647.07	547.75	1104.13	400.71	878.17	808.0	688.78	684.02	206.94	194.36	258.57	122.64	2075.59	356.05	400.71	147.06	181.28	490.14	177.53	1127.35	551.56	559.28	202.66	289.02	536.45	376.41	551.56	181.28	244.57
MAN1B1	1417.35	1697.45	3190.46	1909.85	1519.15	1757.34	1639.59	1250.98	1417.35	1059.11	934.76	836.53	1208.34	1721.16	1369.04	387.02	1015.93	660.68	1745.2	1709.26	567.1	587.13	1259.69	551.56	2271.4	1304.15	1119.56	540.19	426.57	1467.37	1073.91	1233.75	1477.58	1417.35	848.22	559.28	293.07	1030.12	612.11	642.59	575.03
MAZ	5831.91	5751.61	10368.08	4095.0	3614.55	4239.45	5292.48	2720.15	3372.43	2384.37	1721.16	2645.74	2400.97	1628.26	2796.65	1359.57	3540.14	2835.7	3168.41	4268.94	1529.73	2520.38	2573.36	3235.01	7130.55	2148.82	2537.92	1322.37	2240.11	2720.15	2004.85	2915.45	3540.14	3794.3	2468.49	1594.73	2434.5	1617.0	2163.77	2018.8	2004.85
MED19	423.61	743.43	341.51	379.04	343.89	406.31	395.18	493.56	368.65	281.09	287.01	387.02	444.72	334.46	368.65	181.28	305.55	277.2	493.56	384.34	177.53	171.45	197.09	361.04	497.0	255.0	186.4	183.82	205.5	183.82	159.9	403.5	351.14	309.83	180.02	244.57	414.87	183.82	258.57	157.68	212.78
METTL18	395.18	193.01	368.65	329.84	143.01	260.38	171.45	269.6	149.12	102.25	109.66	107.38	124.37	128.79	214.27	37.85	140.04	61.68	190.34	199.85	19.11	32.82	74.58	23.59	171.45	133.36	92.7	50.98	63.0	64.8	48.18	197.09	139.07	186.4	53.19	51.71	37.85	47.84	41.52	48.18	47.84
MRPL15	2133.97	1295.13	1088.92	1519.15	808.0	1135.2	808.0	1030.12	723.08	713.11	748.61	532.74	825.0	748.61	780.44	208.38	780.44	295.11	1015.93	748.61	381.68	164.42	363.56	206.94	1340.84	543.96	392.44	353.59	275.28	507.46	373.81	733.19	825.0	872.1	320.8	351.14	275.28	441.64	532.74	329.84	260.38
