	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13FLV.1326.SM.5L3EJ	GTEX.132NY.2026.SM.5L3FM	GTEX.12696.1526.SM.5EGL6	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.P4QT.0726.SM.3NMCM	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.FP.7829.11A.01R.2055.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
CCDC85B	1081.39	559.28	688.78	353.59	988.12	733.19	1208.34	571.05	629.35	1551.09	1135.2	1709.26	1477.58	2434.5	1378.57	2520.38	3419.52	1467.37	2351.53	1199.98	1662.49	1225.22	2004.85	2163.77	1963.57	3257.52	2417.67	2701.35	3124.78	3742.05	3039.3	1651.0	2351.53	2090.03	1950.0	1909.85	1674.06	2664.15	1697.45	2075.59	1639.59	2075.59	2193.99	1044.52	1819.35	2956.17	1991.0	1697.45	1662.49	2664.15	1216.75	1757.34	1242.34	813.63	1721.16	301.33	780.44	2004.85	872.1	1757.34	1437.15	1119.56	1769.57	1819.35	1250.98	1508.65	1427.22	1896.65	1175.27	1674.06
CCR10	8.38	19.39	16.39	11.3	65.26	18.56	52.45	46.18	57.89	77.25	39.22	102.25	106.63	102.25	69.03	121.79	82.29	127.89	194.36	84.04	105.15	124.37	137.14	119.26	127.89	147.06	131.51	165.57	161.02	136.19	198.47	125.24	112.77	124.37	138.1	127.0	62.12	130.6	156.59	189.02	93.35	96.01	108.14	71.0	130.6	173.85	177.53	112.77	101.54	134.3	136.19	125.24	135.24	45.85	17.77	38.95	75.64	110.43	68.55	102.97	77.79	100.13	93.35	73.03	66.18	45.85	76.17	90.14	94.01	95.34
CENPT	490.14	540.19	457.25	503.95	450.94	540.19	921.88	890.44	796.86	1151.06	1857.6	819.3	1167.14	638.15	1167.14	1923.14	1819.35	2224.63	2855.44	1388.16	1572.76	1963.57	2468.49	2032.85	2367.9	2591.27	2271.4	3235.01	2255.7	2032.85	2400.97	1639.59	2627.46	2645.74	2090.03	1883.54	802.41	1709.26	2271.4	2224.63	2591.27	2047.0	2061.24	2075.59	2434.5	2645.74	1359.57	2193.99	785.88	1963.57	2468.49	2271.4	1745.2	563.18	595.34	753.83	813.63	1096.5	813.63	808.0	848.22	753.83	848.22	1051.79	684.02	988.12	825.0	603.67	392.44	476.71
CLASRP	529.06	497.0	575.03	579.04	607.87	518.15	1051.79	902.89	813.63	988.12	1721.16	1397.83	1628.26	941.27	2133.97	2163.77	2384.37	3257.52	2855.44	1286.18	2119.22	2004.85	2997.45	2384.37	2739.08	2609.3	2645.74	3443.31	2555.58	1883.54	2915.45	1896.65	2835.7	2875.3	2255.7	2209.26	1073.91	1857.6	2956.17	2682.69	3257.52	2591.27	2018.8	2178.83	2816.11	3103.19	1769.57	2090.03	848.22	2163.77	2758.13	2384.37	2520.38	483.38	647.07	1008.9	1059.11	1447.15	1059.11	1143.1	1369.04	1199.98	1295.13	1073.91	1225.22	974.5	1313.23	486.75	409.15	417.77
CLK3	902.89	854.13	947.83	1143.1	842.36	1001.93	1175.27	1331.57	1268.46	1359.57	974.5	1073.91	1216.75	1135.2	1437.15	1540.37	1721.16	2047.0	2163.77	1111.82	1617.0	1561.89	1794.29	1628.26	1594.73	1794.29	1896.65	2451.44	1769.57	1561.89	1923.14	1617.0	1781.89	2090.03	1639.59	1605.83	1250.98	1561.89	1819.35	1806.78	1819.35	1685.71	1639.59	1540.37	1721.16	1977.24	1674.06	1651.0	872.1	1417.35	1794.29	1896.65	1674.06	1135.2	1059.11	1119.56	1233.75	1437.15	1001.93	1304.15	1059.11	1119.56	1208.34	1369.04	1417.35	1457.23	1295.13	954.43	1015.93	1044.52
COG7	232.94	244.57	264.03	269.6	231.32	271.48	361.04	480.04	403.5	368.65	444.72	414.87	406.31	291.04	480.04	753.83	928.3	679.29	947.83	511.0	555.41	718.08	718.08	802.41	753.83	1127.35	842.36	1313.23	647.07	713.11	1059.11	656.11	1143.1	733.19	808.0	748.61	395.18	599.49	995.0	1127.35	1023.0	819.3	599.49	842.36	909.17	860.08	802.41	693.58	248.0	514.56	915.51	896.64	656.11	470.14	420.68	384.34	463.65	583.07	514.56	403.5	674.59	463.65	500.46	444.72	420.68	371.22	518.15	356.05	255.0	211.31
CPNE1	2090.03	2468.49	1936.53	2061.24	2119.22	1806.78	4419.52	2417.67	2720.15	3443.31	6164.49	4388.98	3372.43	2796.65	3103.19	4575.41	4419.52	5831.91	5672.41	3190.46	4388.98	4972.34	6037.61	3235.01	5441.3	5872.48	5791.62	5751.61	5517.27	3515.68	5403.7	3665.02	6207.38	5479.15	5441.3	4038.61	2468.49	3794.3	4704.07	5995.9	5479.15	4512.4	4298.64	5751.61	5329.3	5711.87	4704.07	4512.4	1572.76	3257.52	5672.41	4736.79	4736.79	2417.67	2061.24	2664.15	2627.46	4298.64	2163.77	3874.05	3280.18	3303.0	3212.66	3515.68	2537.92	2520.38	2451.44	3419.52	2816.11	2032.85
CPSF3L	2875.3	1277.29	1498.22	1572.76	1437.15	1529.73	2502.97	2193.99	2148.82	2485.67	4210.15	2271.4	2701.35	2384.37	2956.17	3639.7	4639.29	5255.91	5112.16	2875.3	3212.66	3820.7	4298.64	3103.19	4543.8	5147.73	4268.94	6792.79	4388.98	3716.2	4239.45	3955.48	5366.37	4869.99	4639.29	4639.29	2319.15	3589.58	4736.79	4358.66	4769.75	4836.35	4358.66	5219.6	4543.8	4639.29	3257.52	4010.71	1781.89	3257.52	3716.2	4639.29	3515.68	2451.44	2133.97	2047.0	2178.83	2178.83	1781.89	2119.22	1923.14	1674.06	2367.9	2537.92	1733.13	1991.0	2163.77	1896.65	1225.22	1304.15
DIP2A	164.42	201.25	193.01	246.28	218.79	199.85	353.59	460.44	320.8	450.94	669.92	466.88	583.07	476.71	532.74	780.44	884.29	967.76	915.51	483.38	633.73	603.67	748.61	785.88	802.41	836.53	909.17	902.89	559.28	587.13	967.76	532.74	1127.35	890.44	836.53	780.44	303.44	698.41	974.5	961.07	988.12	813.63	796.86	860.08	802.41	915.51	656.11	679.29	387.02	543.96	1183.45	743.43	660.68	339.14	303.44	454.09	447.82	432.53	397.93	325.29	540.19	397.93	543.96	218.79	301.33	353.59	420.68	253.23	164.42	177.53
DPH7	314.17	199.85	228.13	299.25	172.65	371.22	559.28	559.28	470.14	532.74	915.51	486.75	629.35	397.93	688.78	1175.27	1225.22	1250.98	1594.73	669.92	703.28	902.89	1369.04	1183.45	1225.22	1407.55	1250.98	1844.76	1119.56	1044.52	1477.58	884.29	1519.15	1697.45	1388.16	1044.52	432.53	1037.29	1286.18	1183.45	1551.09	1359.57	1030.12	1104.13	1208.34	1551.09	928.3	1088.92	269.6	1127.35	1369.04	1313.23	921.88	258.57	327.56	529.06	480.04	616.37	457.25	373.81	547.75	547.75	540.19	473.41	361.04	412.0	454.09	177.53	152.28	224.97
DTX3	1651.0	1015.93	961.07	1183.45	890.44	1304.15	1617.0	1519.15	1781.89	3955.48	2351.53	2004.85	2956.17	3103.19	2047.0	3081.75	3419.52	3018.3	3325.99	2148.82	2468.49	2351.53	2997.45	2271.4	3124.78	3467.27	3325.99	3794.3	2645.74	2400.97	2976.74	2119.22	3467.27	3665.02	3060.45	2855.44	1378.57	2319.15	2682.69	2537.92	3081.75	2701.35	2104.58	3081.75	3212.66	3190.46	2163.77	2895.31	1233.75	2384.37	3235.01	3081.75	2434.5	1104.13	1143.1	1991.0	1628.26	1498.22	1242.34	1467.37	1662.49	1242.34	1651.0	2287.2	1457.23	2075.59	1832.01	1781.89	1127.35	1216.75
FAAH	59.13	42.11	30.78	24.11	39.79	25.72	237.86	486.75	595.34	88.26	81.71	127.89	127.0	121.79	309.83	423.61	438.59	318.57	429.54	163.28	167.9	293.07	392.44	246.28	323.03	518.15	332.14	447.82	480.04	218.79	269.6	190.34	409.15	447.82	316.37	371.22	140.04	309.83	387.02	285.03	287.01	351.14	295.11	226.54	273.37	543.96	209.84	287.01	42.11	273.37	363.56	351.14	237.86	373.81	417.77	295.11	525.39	194.36	79.45	111.21	205.5	117.6	117.6	146.03	105.15	130.6	93.35	97.36	95.34	87.03
FAM229A	17.13	28.65	17.0	25.35	20.86	34.02	63.89	62.56	36.79	81.71	289.02	108.9	152.28	73.54	187.71	318.57	301.33	211.31	665.29	151.22	327.56	173.85	323.03	291.04	283.05	532.74	309.83	703.28	249.73	346.29	318.57	289.02	373.81	432.53	361.04	361.04	64.8	185.11	507.46	397.93	341.51	460.44	363.56	239.52	343.89	483.38	212.78	262.2	73.54	231.32	353.59	327.56	387.02	72.52	44.57	55.89	60.39	228.13	122.64	140.04	166.73	134.3	140.04	76.17	108.14	105.15	157.68	36.79	26.86	26.1
FAM27D1	0.75	0.88	0.44	0.0	0.88	0.0	1.48	2.29	0.88	1.04	0.3	0.77	1.64	3.72	2.56	4.58	2.53	11.55	3.79	2.53	0.82	2.53	5.11	1.51	9.06	2.01	2.2	1.97	4.35	2.86	7.06	2.73	8.71	4.5	1.89	3.06	0.45	3.26	4.24	0.45	0.82	5.59	3.96	8.78	13.72	5.45	3.63	3.23	0.75	1.22	7.69	7.11	2.36	0.84	1.16	1.57	1.51	2.12	4.06	1.17	2.2	1.83	1.68	6.36	1.69	3.38	0.64	1.13	0.0	1.41
FAM27E1	2.76	0.0	1.77	3.03	0.0	4.82	6.16	0.0	0.0	11.82	7.57	5.06	6.41	15.68	7.75	21.01	5.96	13.83	17.0	4.74	7.17	12.64	15.68	9.48	18.43	15.34	4.94	7.34	13.52	6.11	34.75	12.45	14.56	20.11	17.64	9.13	6.16	14.45	17.0	16.03	23.59	20.86	4.74	31.9	30.12	21.78	21.94	15.22	2.18	4.5	18.16	10.63	1.1	2.1	3.76	11.73	5.5	11.04	7.51	0.95	6.89	16.27	4.24	3.41	2.97	3.29	4.28	3.11	3.08	0.0
FAM73B	258.57	325.29	366.09	379.04	291.04	376.41	325.29	532.74	638.15	638.15	536.45	463.65	624.99	669.92	651.58	1066.48	947.83	1119.56	1183.45	624.99	595.34	738.29	1250.98	665.29	1066.48	1008.9	830.75	1151.06	769.69	723.08	878.17	947.83	1143.1	1135.2	995.0	872.1	463.65	693.58	1073.91	884.29	954.43	1088.92	941.27	872.1	1111.82	921.88	607.87	743.43	409.15	713.11	1242.34	836.53	785.88	409.15	295.11	450.94	532.74	529.06	426.57	392.44	490.14	414.87	525.39	500.46	429.54	476.71	551.56	262.2	303.44	281.09
FBXO44	327.56	265.87	279.14	291.04	234.57	269.6	363.56	341.51	406.31	529.06	915.51	547.75	733.19	651.58	629.35	988.12	961.07	1127.35	1081.39	543.96	890.44	1191.69	1037.29	934.76	830.75	1286.18	1030.12	1259.69	1059.11	1295.13	1191.69	738.29	1378.57	941.27	961.07	1111.82	579.04	669.92	928.3	860.08	934.76	1216.75	1295.13	896.64	775.05	1259.69	674.59	954.43	616.37	854.13	1208.34	1081.39	974.5	748.61	450.94	441.64	343.89	616.37	303.44	447.82	395.18	366.09	571.05	830.75	514.56	703.28	518.15	117.6	353.59	120.94
FITM1	10.55	22.59	23.59	12.55	26.1	15.34	18.84	35.5	17.13	5.63	9.7	8.25	12.64	19.25	20.86	72.01	29.06	23.76	51.35	15.34	14.45	34.26	32.36	34.26	29.06	28.86	51.71	72.01	54.72	35.25	61.25	27.84	26.86	34.51	29.06	46.18	9.63	28.86	33.78	19.53	67.59	36.27	32.13	11.73	58.3	19.82	27.64	42.11	5.19	19.82	27.05	61.68	32.36	9.34	3.06	18.29	13.52	16.88	6.36	4.78	16.63	20.86	13.03	5.06	7.69	28.86	7.63	5.23	7.11	10.55
FLNA	197294.7	226632.25	193234.41	253213.41	145432.49	301123.38	358098.26	368165.8	260332.24	1634025.56	419990.32	513497.31	811368.76	1393227.06	649962.87	244588.0	336441.4	220434.95	263966.36	233003.78	215898.44	239554.43	234624.45	237899.7	275175.93	248002.34	236256.4	322736.12	311742.51	288856.81	280957.98	226632.25	313910.86	239554.43	241220.67	200048.85	256748.15	195931.88	275175.93	251464.33	299043.36	249727.34	262143.0	334117.42	290865.98	223512.12	296977.71	275175.93	154794.07	258533.99	241220.67	200048.85	239554.43	284880.02	288856.81	258533.99	249727.34	277089.94	258533.99	282912.21	267651.2	234624.45	248002.34	358098.26	220434.95	296977.71	242898.5	160252.91	107948.72	149521.18
FLYWCH1	748.61	532.74	708.18	753.83	532.74	728.11	775.05	532.74	529.06	921.88	830.75	902.89	1051.79	1008.9	902.89	1639.59	988.12	1923.14	2209.26	595.34	1467.37	1407.55	2271.4	813.63	1081.39	1286.18	1322.37	2255.7	1674.06	1498.22	2287.2	1143.1	2178.83	2240.11	1369.04	1896.65	909.17	1059.11	1457.23	1685.71	796.86	1216.75	1883.54	896.64	1259.69	1540.37	1340.84	1183.45	656.11	808.0	1467.37	1447.15	915.51	836.53	872.1	698.41	624.99	1037.29	688.78	921.88	743.43	836.53	890.44	934.76	616.37	842.36	679.29	547.75	368.65	432.53
GET4	575.03	457.25	454.09	518.15	327.56	532.74	796.86	819.3	830.75	753.83	967.76	830.75	633.73	688.78	842.36	1066.48	1242.34	1088.92	1295.13	813.63	669.92	947.83	947.83	941.27	1051.79	1096.5	1119.56	1487.87	961.07	1191.69	1143.1	733.19	1088.92	1199.98	896.64	1167.14	660.68	780.44	1066.48	813.63	878.17	890.44	872.1	718.08	1008.9	1183.45	738.29	1023.0	559.28	934.76	896.64	1096.5	884.29	629.35	633.73	723.08	718.08	791.35	723.08	872.1	808.0	599.49	674.59	848.22	629.35	733.19	723.08	450.94	395.18	426.57
GNB3	104.42	61.68	29.27	17.0	38.95	79.45	48.87	38.67	44.89	42.41	49.56	46.5	141.02	71.0	106.63	223.41	215.77	162.14	343.89	136.19	115.16	218.79	297.17	105.15	480.04	115.97	151.22	361.04	253.23	131.51	279.14	124.37	314.17	194.36	307.69	197.09	66.65	178.77	281.09	251.48	316.37	223.41	368.65	165.57	426.57	432.53	211.31	228.13	26.67	110.43	518.15	363.56	295.11	22.92	74.06	66.18	37.59	80.57	84.04	79.45	94.67	55.89	72.01	45.53	14.03	20.86	67.59	31.9	24.99	40.64
GSDMB	111.99	28.45	17.13	40.36	13.42	26.86	547.75	346.29	389.72	127.89	299.25	191.67	113.56	68.07	269.6	607.87	679.29	759.08	1015.93	291.04	403.5	591.22	559.28	406.31	1427.22	1135.2	848.22	1322.37	420.68	802.41	1059.11	503.95	1844.76	547.75	563.18	660.68	46.5	309.83	947.83	878.17	1467.37	1015.93	656.11	1104.13	1073.91	738.29	373.81	703.28	55.49	361.04	764.36	896.64	525.39	43.94	30.12	412.0	232.94	450.94	204.07	141.02	164.42	201.25	232.94	83.45	77.79	46.84	80.01	73.54	58.71	65.26
GTF3C1	738.29	909.17	878.17	669.92	703.28	896.64	1388.16	1015.93	791.35	967.76	1561.89	1397.83	1111.82	872.1	1268.46	1561.89	1769.57	1709.26	1407.55	1044.52	1159.07	1806.78	1709.26	1135.2	1883.54	1651.0	1651.0	1794.29	1467.37	1135.2	1639.59	1304.15	1662.49	1519.15	1498.22	1529.73	947.83	1295.13	1322.37	1437.15	1733.13	1447.15	1066.48	1477.58	1651.0	1529.73	1883.54	1216.75	1001.93	1167.14	1870.53	1340.84	1605.83	1159.07	1096.5	679.29	1044.52	1023.0	947.83	1073.91	1340.84	909.17	1023.0	1073.91	860.08	848.22	1044.52	928.3	872.1	629.35
GTPBP3	159.9	115.97	146.03	104.42	109.66	111.21	320.8	214.27	223.41	244.57	591.22	392.44	379.04	163.28	329.84	420.68	343.89	532.74	660.68	327.56	277.2	460.44	493.56	595.34	555.41	435.55	348.71	579.04	363.56	312.0	551.56	323.03	551.56	536.45	457.25	543.96	220.32	336.79	521.76	325.29	555.41	426.57	283.05	329.84	559.28	669.92	279.14	429.54	123.5	273.37	563.18	438.59	323.03	127.89	146.03	217.27	260.38	277.2	239.52	281.09	289.02	264.03	256.78	198.47	239.52	251.48	256.78	189.02	84.04	157.68
