	GTEX.S32W.1526.SM.4AD6Z	GTEX.S341.1326.SM.4AD72	GTEX.S32W.1626.SM.4AD6G	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.148VI.0226.SM.5RQKA	GTEX.145MN.0926.SM.5NQBT	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	TCGA.56.6545.01A.11R.1820.07	TCGA.FL.A1YN.11A.11R.A32Y.07
CCDC173	24.99	3395.89	23.93	0.0	0.0	119.26	303.44	607.87	532.74	172.65	460.44	599.49	99.43	0.56	14.78
CCDC19	34.51	45386.27	27.44	0.0	0.05	285.03	813.63	1369.04	1583.71	633.73	1674.06	1216.75	366.09	10.79	241.19
CCDC30	29.48	878.17	72.52	0.0	0.1	130.6	214.27	529.06	708.18	145.02	738.29	432.53	111.21	12.09	87.03
CCDC33	50.98	12502.12	35.0	0.0	0.0	70.01	273.37	575.03	743.43	256.78	599.49	361.04	89.51	0.09	96.01
CCDC40	31.45	2777.33	21.78	0.0	0.33	289.02	532.74	1233.75	878.17	336.79	967.76	1059.11	199.85	33.78	163.28
CCDC42B	66.18	30572.63	62.56	0.0	0.0	303.44	684.02	1628.26	2104.58	660.68	1167.14	1088.92	312.0	0.26	127.89
CCDC78	170.25	31650.8	77.25	0.0	0.01	842.36	1233.75	4066.71	4736.79	1551.09	3716.2	2240.11	915.51	8.38	376.41
CCDC96	47.84	1844.76	48.52	0.0	0.0	92.05	351.14	595.34	447.82	346.29	555.41	417.77	232.94	15.68	108.14
CDHR3	125.24	18304.63	132.44	0.0	0.0	854.13	2591.27	3716.2	4419.52	1437.15	4575.41	3372.43	1199.98	14.45	155.5
CDHR4	32.36	42346.82	45.85	0.0	0.0	397.93	748.61	2417.67	2400.97	769.69	1397.83	1268.46	529.06	1.79	223.41
CHDC2	0.0	3303.0	0.0	0.0	0.0	12.27	33.3	49.21	50.63	29.27	66.18	42.11	13.32	0.0	4.86
CNGA4	4.78	1529.73	4.21	0.0	0.0	44.25	262.2	363.56	339.14	202.66	397.93	351.14	93.35	3.14	37.05
DCDC2B	4.82	2090.03	1.01	0.0	0.0	175.07	529.06	1572.76	1030.12	406.31	954.43	860.08	67.59	1.17	42.71
DENND6B	150.17	915.51	127.89	0.0	0.22	320.8	738.29	1529.73	1883.54	591.22	967.76	848.22	384.34	106.63	325.29
DNAAF3	62.56	9088.59	27.25	0.0	0.0	358.54	759.08	1674.06	1745.2	738.29	1605.83	1119.56	629.35	58.3	169.07
DNAH2	0.79	1896.65	7.63	0.0	0.0	154.42	403.5	872.1	684.02	273.37	616.37	536.45	117.6	4.35	23.76
DNAH3	12.64	567.1	3.69	0.0	0.0	54.72	127.89	248.0	281.09	107.38	289.02	181.28	70.51	3.08	14.03
DNAH9	25.72	95949.32	53.95	0.0	0.0	332.14	1417.35	3491.39	1963.57	954.43	3349.13	1832.01	269.6	4.21	183.82
DNAI2	28.86	13123.73	89.51	0.0	0.0	277.2	540.19	1073.91	1551.09	417.77	775.05	842.36	381.68	0.92	92.05
DRC1	127.0	40904.3	107.38	0.0	0.0	198.47	525.39	1159.07	1081.39	620.67	1628.26	954.43	295.11	0.61	81.71
DTHD1	8.58	1572.76	4.98	0.0	0.0	152.28	275.28	511.0	432.53	228.13	808.0	567.1	130.6	4.78	19.82
DYNLRB2	81.14	20737.16	72.01	0.0	0.0	397.93	2287.2	4543.8	4328.55	1651.0	4671.57	2502.97	595.34	36.01	258.57
DYX1C1	71.5	555.41	164.42	0.0	0.0	211.31	435.55	723.08	348.71	244.57	830.75	587.13	166.73	22.75	93.35
EFCAB10	10.0	909.17	5.54	0.0	0.0	158.79	351.14	934.76	884.29	339.14	1427.22	866.07	260.38	9.93	67.59
EFCAB12	9.93	5329.3	25.91	0.0	0.01	136.19	343.89	842.36	769.69	293.07	591.22	551.56	256.78	1.91	80.01
EFHC1	87.03	2209.26	94.67	0.0	0.22	521.76	896.64	1963.57	1977.24	713.11	2148.82	1216.75	314.17	187.71	353.59
ENKUR	26.1	17197.56	29.06	0.0	0.0	116.78	693.58	1583.71	1685.71	733.19	1457.23	1104.13	540.19	3.44	106.63
ENO4	7.75	187.71	11.64	0.0	0.22	36.27	111.21	177.53	158.79	96.01	244.57	193.01	23.93	5.19	28.24
FAM154B	54.72	728.11	30.12	0.0	0.0	612.11	1059.11	1819.35	1781.89	860.08	1991.0	1467.37	363.56	15.8	72.52
FAM166B	183.82	49322.93	231.32	0.0	0.0	507.46	988.12	2573.36	2061.24	921.88	1498.22	1857.6	551.56	7.88	323.03
FAM179A	67.59	3665.02	56.68	0.0	0.21	164.42	463.65	1119.56	1540.37	334.46	698.41	642.59	271.48	10.08	123.5
FAM183A	239.52	29327.18	356.05	0.0	0.0	1277.29	2895.31	6037.61	5366.37	2777.33	6381.92	4298.64	1963.57	28.04	785.88
FAM81B	334.46	229795.93	56.28	0.0	0.0	684.02	1167.14	4358.66	5147.73	1199.98	4419.52	2271.4	934.76	4.98	175.07
FAM92B	12.93	32315.87	37.32	0.0	0.0	255.0	902.89	1769.57	1923.14	679.29	1909.85	1135.2	420.68	11.3	87.65
FANK1	111.99	8305.36	88.88	0.0	0.0	273.37	791.35	1369.04	1936.53	559.28	1369.04	896.64	397.93	80.57	176.29
FBXW9	291.04	921.88	164.42	0.0	0.0	221.86	309.83	583.07	624.99	339.14	507.46	373.81	291.04	144.01	246.28
FHAD1	54.33	3874.05	59.55	0.0	0.0	171.45	633.73	1340.84	780.44	460.44	1127.35	941.27	262.2	37.05	92.05
GAS2L2	25.17	16157.44	15.22	0.0	0.0	158.79	273.37	748.61	878.17	262.2	423.61	463.65	139.07	0.49	44.25
GRIN3B	8.19	791.35	9.48	0.0	0.01	33.3	68.55	195.72	237.86	161.02	241.19	156.59	76.17	3.5	34.75
GSTA3	54.72	6121.9	0.0	0.0	0.0	102.97	283.05	205.5	299.25	229.72	323.03	497.0	110.43	2.89	71.0
HYDIN	81.14	1529.73	55.49	0.0	0.04	140.04	285.03	775.05	769.69	260.38	902.89	563.18	118.43	23.59	76.71
IFT172	483.38	1594.73	314.17	0.0	0.37	723.08	1233.75	2434.5	2384.37	947.83	2047.0	1685.71	607.87	293.07	860.08
IFT81	295.11	698.41	262.2	0.0	0.32	285.03	291.04	638.15	780.44	348.71	660.68	536.45	237.86	117.6	255.0
IQCD	13.83	4066.71	16.88	0.0	0.0	183.82	447.82	890.44	514.56	376.41	1073.91	764.36	208.38	25.17	100.13
IQCG	256.78	6207.38	314.17	0.0	0.12	551.56	1225.22	2400.97	2664.15	974.5	2271.4	1896.65	629.35	218.79	251.48
KCNRG	7.57	1617.0	27.84	0.0	0.0	169.07	371.22	575.03	769.69	279.14	665.29	595.34	214.27	12.45	57.89
KIF6	11.64	3820.7	44.57	0.0	0.0	96.68	264.03	954.43	547.75	173.85	928.3	591.22	33.06	12.0	33.3
KLHL32	12.74	291.04	6.73	0.0	0.0	29.7	100.83	162.14	158.79	86.43	183.82	162.14	46.5	0.82	20.41
KNCN	0.0	89.51	0.0	0.0	0.0	2.48	2.58	6.31	1.87	5.5	2.58	10.24	0.0	0.0	1.51
LCA5L	20.71	607.87	39.79	0.0	0.0	78.89	199.85	387.02	429.54	106.63	358.54	246.28	96.68	12.83	60.39
LDLRAD1	332.14	336441.4	108.14	0.0	0.0	559.28	2351.53	4481.23	3564.78	1733.13	7331.05	4575.41	629.35	2.16	92.05
LRP2BP	39.22	115.16	35.0	0.0	0.21	67.59	603.67	234.57	126.12	172.65	136.19	151.22	49.91	10.31	45.53
LRRC18	29.27	2351.53	19.53	0.0	0.0	88.88	191.67	312.0	376.41	146.03	293.07	368.65	120.94	2.66	12.64
LRRC23	312.0	15392.14	176.29	0.0	0.0	941.27	1950.0	2997.45	3325.99	1651.0	3928.15	2720.15	1008.9	141.02	723.08
LRRC43	1.36	2664.15	22.59	0.0	0.0	114.36	256.78	660.68	599.49	271.48	420.68	463.65	154.42	17.0	63.0
LRRC46	81.14	17927.91	71.5	0.0	0.0	483.38	1487.87	2335.28	2520.38	1030.12	1936.53	1685.71	603.67	23.59	305.55
LRRC6	62.56	2303.12	182.55	0.0	0.34	107.38	454.09	988.12	1639.59	305.55	791.35	624.99	297.17	43.94	161.02
LRRC63	2.25	62.12	5.28	0.0	0.0	7.94	26.28	30.34	27.84	11.47	21.16	23.42	19.97	0.38	1.69
LRRC71	6.73	6983.79	24.46	0.0	0.12	155.5	371.22	1151.06	1088.92	417.77	688.78	723.08	217.27	0.53	64.34
MAP3K19	12.45	68793.23	16.75	0.0	0.0	113.56	265.87	473.41	780.44	199.85	620.67	500.46	175.07	0.4	37.85
MARCH10	16.63	1088.92	24.11	0.0	0.0	178.77	217.27	540.19	559.28	161.02	414.87	384.34	136.19	2.46	65.72
MNS1	100.13	1175.27	105.89	70.01	181.28	130.6	267.73	571.05	587.13	260.38	563.18	493.56	244.57	24.81	136.19
MOBP	0.31	26.28	0.04	0.0	0.15	19.39	73.54	125.24	129.69	38.95	167.9	102.25	18.97	1.38	11.47
MORN5	186.4	2835.7	63.45	0.0	0.0	473.41	1662.49	3280.18	2609.3	1572.76	3901.01	2287.2	928.3	1.08	389.72
MYCBPAP	19.68	214.27	18.84	0.0	0.06	47.17	171.45	346.29	197.09	108.14	202.66	241.19	35.5	3.86	21.16
NME5	37.32	21026.65	106.63	0.0	0.05	226.54	1119.56	3443.31	2645.74	909.17	5366.37	1977.24	493.56	17.13	199.85
NME9	19.97	3039.3	3.08	0.0	0.08	148.09	387.02	785.88	638.15	264.03	981.29	595.34	102.97	4.74	68.55
NUP62CL	12.45	343.89	16.63	0.0	0.0	58.3	136.19	190.34	181.28	131.51	190.34	146.03	108.9	46.18	72.52
ODF3B	363.56	10014.87	387.02	0.0	0.58	1331.57	2835.7	7382.04	9474.59	4038.61	7642.41	3690.52	1651.0	599.49	921.88
OSCP1	148.09	1757.34	154.42	0.0	0.0	500.46	1286.18	1639.59	2240.11	1143.1	2935.74	1781.89	819.3	84.63	438.59
PCDP1	134.3	43840.21	193.01	0.0	0.21	1030.12	2796.65	5329.3	3614.55	2224.63	4639.29	3081.75	775.05	43.63	87.65
PIH1D2	37.32	1044.52	31.45	0.0	0.0	127.0	283.05	514.56	417.77	206.94	669.92	432.53	221.86	25.54	97.36
PIH1D3	0.0	8538.88	0.0	0.0	0.0	87.03	236.21	583.07	503.95	232.94	713.11	406.31	100.83	0.0	28.45
PPP1R42	31.22	1977.24	58.3	0.0	0.0	172.65	273.37	802.41	860.08	287.01	796.86	607.87	220.32	0.6	72.52
PRR18	0.0	642.59	1.41	0.0	0.0	10.31	82.87	161.02	51.71	26.1	73.03	87.65	14.78	5.15	3.32
RABL2A	339.14	1159.07	267.73	0.0	0.13	595.34	848.22	2384.37	2303.12	616.37	1685.71	1721.16	525.39	226.54	420.68
RABL2B	536.45	1794.29	497.0	0.0	0.18	819.3	1519.15	2777.33	3081.75	1216.75	2193.99	2090.03	1199.98	457.25	587.13
RIBC2	16.63	890.44	37.59	0.0	0.0	81.71	212.78	543.96	323.03	253.23	214.27	264.03	127.89	59.97	90.14
RIIAD1	189.02	2976.74	29.27	0.0	0.0	343.89	934.76	1397.83	1674.06	796.86	2351.53	1096.5	764.36	2.92	162.14
ROPN1L	400.71	184082.4	120.94	0.0	0.0	423.61	1407.55	4298.64	3060.45	1508.65	5517.27	2271.4	878.17	11.55	204.07
RP11-368I7.4	9.93	228.13	14.35	0.0	0.0	57.49	128.79	169.07	198.47	94.67	198.47	119.26	61.68	4.7	28.45
RP11-444E17.6	3.69	10.47	1.57	0.0	0.0	3.44	10.24	21.32	14.78	8.0	10.71	10.79	4.62	1.68	4.86
RSPH1	123.5	573724.06	147.06	0.0	0.0	733.19	3467.27	5555.65	6037.61	2875.3	7749.1	5292.48	1551.09	7.88	353.59
RSPH10B	8.06	802.41	2.1	0.0	0.0	64.34	185.11	236.21	204.07	146.03	190.34	204.07	72.01	1.0	28.65
RSPH4A	19.25	11345.82	8.38	0.0	0.0	371.22	665.29	1313.23	1088.92	674.59	2271.4	1605.83	656.11	9.78	77.25
SCGB3A1	1857.6	6.482288873E7	2609.3	0.0	0.05	811368.76	1402917.72	1903204.61	2232145.06	1462493.73	6056277.0	1864037.21	951601.81	612.11	1697.45
SLC23A1	29.91	30785.28	1.07	0.0	0.01	42.41	215.77	647.07	237.86	100.83	289.02	473.41	36.79	3.66	127.89
SLC47A2	2.84	432.53	1.68	0.0	0.16	6.21	6.78	54.33	3.32	19.53	24.28	14.67	2.46	2.76	15.56
SNTN	186.4	365622.68	289.02	0.0	0.0	1216.75	2956.17	5112.16	4210.15	2485.67	8305.36	4671.57	1427.22	1.39	199.85
SPA17	231.32	3589.58	361.04	0.0	0.0	587.13	1088.92	2018.8	1617.0	1119.56	3372.43	2193.99	764.36	167.9	429.54
SPAG17	51.35	4210.15	116.78	0.0	0.0	205.5	426.57	878.17	1233.75	320.8	780.44	603.67	281.09	25.17	60.82
SPATA17	80.57	7280.4	36.53	0.0	0.0	133.36	318.57	583.07	547.75	312.0	954.43	511.0	309.83	33.78	98.73
SPATS1	0.0	13123.73	0.0	0.0	0.0	24.28	161.02	325.29	215.77	125.24	267.73	148.09	52.08	2.68	21.16
SPEF1	14.35	14361.31	2.97	0.0	0.0	152.28	353.59	866.07	1183.45	392.44	775.05	438.59	314.17	4.9	147.06
STOML3	23.93	75803.72	31.45	0.0	0.0	172.65	511.0	669.92	669.92	249.73	1457.23	713.11	224.97	0.21	75.64
TCTE1	10.31	909.17	6.16	0.0	0.0	92.05	246.28	518.15	432.53	161.02	343.89	381.68	84.63	0.78	43.63
TCTEX1D4	0.0	275.28	4.66	0.0	0.11	62.12	177.53	503.95	395.18	189.02	463.65	353.59	29.48	1.35	49.21
TEKT1	9.34	44145.15	141.02	0.0	0.0	447.82	1540.37	3928.15	2609.3	1662.49	4123.49	2417.67	723.08	0.25	198.47
TEKT2	100.13	176583.6	66.18	0.0	0.0	486.75	954.43	2645.74	2240.11	878.17	1508.65	1733.13	633.73	9.93	226.54
TEKT4	45.85	12076.21	40.93	0.0	0.0	68.07	169.07	343.89	301.33	167.9	204.07	214.27	95.34	3.14	40.64
TMCO5A	0.0	8.71	0.0	0.0	0.0	1.93	6.89	15.0	16.75	4.98	34.75	4.13	2.23	0.0	0.0
TMEM212	0.0	2816.11	0.0	0.0	0.0	77.79	305.55	480.04	476.71	170.25	432.53	518.15	84.04	2.1	9.93
TMEM231	303.44	6887.62	244.57	0.0	0.0	647.07	1051.79	2627.46	2104.58	1135.2	2645.74	1806.78	693.58	239.52	483.38
TMEM232	103.69	1685.71	101.54	0.0	0.0	120.94	450.94	647.07	733.19	305.55	1088.92	830.75	149.12	3.41	77.25
TMEM67	171.45	414.87	149.12	0.0	0.0	312.0	351.14	603.67	836.53	273.37	775.05	521.76	246.28	115.16	215.77
TTC16	7.22	603.67	3.23	0.0	0.0	55.89	151.22	403.5	314.17	105.15	194.36	194.36	43.32	3.06	17.77
TTC18	80.57	2451.44	68.07	0.0	0.22	156.59	599.49	1447.15	1870.53	214.27	785.88	571.05	153.34	9.78	132.44
TTC21A	69.03	713.11	58.71	0.0	0.43	237.86	536.45	1059.11	1477.58	429.54	842.36	624.99	208.38	43.32	169.07
TTC26	151.22	289.02	162.14	88.26	77.79	108.14	193.01	269.6	242.88	181.28	339.14	305.55	199.85	64.8	108.14
TTC29	3.56	18950.18	3.59	0.0	0.0	127.89	366.09	521.76	769.69	312.0	1208.34	521.76	283.05	0.04	39.79
TTLL10	5.63	3982.99	23.08	0.0	0.0	175.07	327.56	802.41	802.41	228.13	642.59	409.15	217.27	2.81	63.0
TTLL9	29.27	3614.55	29.7	0.0	0.0	57.08	163.28	293.07	283.05	108.14	189.02	208.38	53.19	2.39	36.27
VWA3A	39.79	14765.09	55.89	0.0	0.28	135.24	339.14	1023.0	1199.98	329.84	656.11	536.45	154.42	3.14	106.63
VWA3B	0.0	10883.59	105.15	0.0	0.0	183.82	813.63	1551.09	848.22	599.49	1883.54	624.99	204.07	5.19	104.42
WDR38	0.0	100719.65	73.03	0.0	0.0	536.45	1216.75	3395.89	2018.8	1143.1	1896.65	1721.16	293.07	0.51	165.57
WDR65	8.92	5112.16	3.82	0.0	0.0	148.09	417.77	808.0	713.11	353.59	866.07	723.08	171.45	16.75	61.25
WDR66	38.4	8191.0	59.55	0.0	0.11	301.33	607.87	1709.26	1674.06	679.29	1819.35	1081.39	447.82	164.42	177.53
WDR78	72.01	4481.23	62.56	0.0	0.0	101.54	1088.92	961.07	708.18	373.81	1277.29	890.44	172.65	10.39	100.13
WDR93	31.0	2061.24	9.85	0.0	0.0	38.4	98.04	244.57	228.13	71.0	164.42	130.6	48.18	9.2	39.22
WDR96	71.5	32092.64	53.95	0.0	0.0	246.28	947.83	1909.85	1909.85	567.1	1819.35	1286.18	381.68	3.96	204.07
ZC2HC1C	48.18	341.51	81.14	0.0	0.01	90.77	414.87	796.86	860.08	202.66	336.79	387.02	197.09	10.71	120.1
ZMYND10	127.0	757033.75	59.55	0.0	0.0	1498.22	4671.57	14461.21	10585.95	3982.99	10084.54	6887.62	3639.7	12.93	567.1
