	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LN.A9FP.01A.31R.A38D.31	GTEX.144GM.1626.SM.5O9AG	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.12WSL.1326.SM.5LZVW	GTEX.S3XE.0826.SM.4AD4U	GTEX.139YR.1626.SM.5IJGK	GTEX.145ME.0626.SM.5O99Q	GTEX.Y3I4.1026.SM.4TT2C	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.139TS.1426.SM.5IFJD	GTEX.RU72.1426.SM.46MUF	GTEX.12KS4.1326.SM.5LUB3	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A94P.01A.13R.A414.31	GTEX.U8T8.1226.SM.4E3IH
FGFR4	1286.18	101.54	31.67	5.77	47.84	56.68	12.64	15.11	255.0	1709.26	2047.0	1167.14	1268.46	915.51	995.0	1135.2	1151.06	1369.04	669.92	813.63	2224.63	4210.15	1225.22	1745.2	1781.89	1437.15	0.0	0.61	217.27	88.88
GALK1	1896.65	450.94	339.14	368.65	493.56	423.61	463.65	305.55	521.76	769.69	4181.07	2367.9	1896.65	1709.26	2855.44	2835.7	2384.37	2555.58	2163.77	1639.59	6121.9	3325.99	5995.9	2075.59	4607.24	1721.16	0.0	0.64	320.8	176.29
GALT	3190.46	684.02	575.03	242.88	698.41	444.72	674.59	518.15	723.08	2627.46	2335.28	1819.35	2224.63	1697.45	2520.38	2485.67	3820.7	2935.74	1883.54	2816.11	5711.87	5403.7	3491.39	4210.15	4769.75	3540.14	0.0	0.45	753.83	334.46
HDDC3	563.18	111.99	109.66	107.38	183.82	108.14	198.47	106.63	212.78	836.53	759.08	629.35	733.19	629.35	521.76	493.56	529.06	738.29	480.04	583.07	665.29	547.75	497.0	830.75	660.68	981.29	0.0	0.08	239.52	122.64
HEBP1	2417.67	1487.87	1277.29	1467.37	1250.98	1088.92	1407.55	1350.18	1397.83	1991.0	2520.38	2417.67	1477.58	2119.22	3039.3	2573.36	3039.3	2573.36	1991.0	2915.45	4671.57	3794.3	3515.68	3614.55	3540.14	3928.15	0.0	0.77	896.64	890.44
HEXIM2	122.64	59.13	69.52	54.72	110.43	87.65	104.42	85.82	71.0	127.0	334.46	187.71	242.88	217.27	173.85	163.28	137.14	201.25	66.18	105.15	392.44	318.57	454.09	316.37	221.86	204.07	0.0	0.0	162.14	50.98
HINT2	4066.71	629.35	941.27	493.56	575.03	575.03	656.11	518.15	785.88	5872.48	4836.35	3589.58	1844.76	4239.45	3325.99	3564.78	4769.75	4481.23	3257.52	4210.15	8901.53	10296.45	5672.41	8778.97	7130.55	7081.29	0.0	0.29	728.11	813.63
JTB	3928.15	2777.33	2855.44	2701.35	2935.74	3212.66	2591.27	3146.52	3103.19	3820.7	4607.24	3081.75	4095.0	4066.71	3847.29	4010.71	3794.3	4210.15	3443.31	3820.7	3018.3	5403.7	5594.3	5006.93	7382.04	5441.3	0.0	1.17	2664.15	2468.49
LAMTOR2	3419.52	1757.34	1268.46	1313.23	1794.29	1119.56	1896.65	1268.46	2004.85	3874.05	3768.09	2895.31	3716.2	3467.27	2956.17	2997.45	3614.55	4066.71	2609.3	3639.7	3665.02	4639.29	4575.41	5672.41	6516.03	6426.31	0.0	0.53	1583.71	728.11
LLGL2	961.07	120.94	316.37	156.59	299.25	329.84	232.94	281.09	223.41	928.3	995.0	1340.84	1030.12	934.76	896.64	872.1	1127.35	1104.13	825.0	1183.45	1322.37	1697.45	1081.39	1991.0	2255.7	1135.2	0.0	0.91	368.65	620.67
MGST2	5555.65	1199.98	775.05	703.28	723.08	872.1	1167.14	759.08	967.76	4937.99	8305.36	4736.79	4239.45	5555.65	4607.24	4671.57	6121.9	5076.84	4481.23	6983.79	7803.01	11112.3	6471.02	11267.44	8191.0	10014.87	0.0	0.52	988.12	860.08
MPC2	6164.49	890.44	1369.04	1487.87	1008.9	1183.45	1923.14	1183.45	1721.16	5366.37	6250.56	5255.91	5219.6	5594.3	5517.27	5594.3	6887.62	6164.49	4937.99	6426.31	8191.0	9740.98	9279.58	12676.65	12160.22	14561.8	1259.69	206.94	2032.85	1639.59
MPND	1135.2	244.57	361.04	226.54	229.72	228.13	351.14	242.88	346.29	733.19	753.83	785.88	1407.55	703.28	738.29	688.78	995.0	967.76	529.06	674.59	1277.29	1769.57	647.07	1111.82	1191.69	842.36	0.0	0.16	269.6	74.06
MRPL40	1417.35	607.87	497.0	656.11	483.38	559.28	559.28	397.93	808.0	1896.65	1561.89	1617.0	1242.34	1745.2	1651.0	1519.15	1628.26	1628.26	1066.48	2255.7	1936.53	2400.97	1529.73	1883.54	2520.38	2240.11	0.0	0.27	759.08	447.82
MRPS26	1457.23	1225.22	785.88	775.05	1073.91	890.44	934.76	878.17	1151.06	1617.0	1457.23	1378.57	1081.39	1225.22	1259.69	1023.0	1605.83	1639.59	1159.07	1498.22	1447.15	2104.58	1540.37	1457.23	2682.69	1561.89	0.0	0.67	934.76	603.67
NAPRT1	4512.4	532.74	283.05	723.08	1151.06	559.28	536.45	514.56	1295.13	5711.87	7382.04	4937.99	3982.99	3564.78	3955.48	2090.03	4671.57	4123.49	2520.38	3820.7	7130.55	4639.29	4869.99	4802.93	5831.91	2997.45	0.0	1.13	1233.75	1277.29
NDUFA2	3564.78	1304.15	1268.46	1135.2	1119.56	1583.71	1477.58	1286.18	1896.65	3690.52	5711.87	3039.3	2255.7	2935.74	2664.15	2417.67	3235.01	3820.7	2468.49	3820.7	4388.98	6164.49	3742.05	6164.49	6121.9	5517.27	0.0	0.84	1662.49	1127.35
NDUFB11	2701.35	1561.89	1651.0	1167.14	1183.45	1277.29	1662.49	1199.98	1697.45	2303.12	2997.45	2451.44	2400.97	2739.08	2178.83	2119.22	2627.46	3467.27	2400.97	2400.97	3325.99	4268.94	3190.46	3874.05	4836.35	6121.9	0.0	0.82	1529.73	1008.9
NDUFV1	4903.87	2664.15	3081.75	2047.0	2335.28	2935.74	2935.74	2796.65	3060.45	4038.61	4869.99	4123.49	3515.68	5041.77	3847.29	3901.01	4481.23	5633.22	3716.2	3716.2	7589.61	8078.22	5872.48	4704.07	4972.34	4512.4	0.0	1.08	2287.2	3081.75
NENF	1733.13	1757.34	1407.55	1225.22	1233.75	1135.2	1417.35	1313.23	1721.16	1674.06	1268.46	1447.15	1216.75	1806.78	1427.22	1286.18	1662.49	1674.06	1175.27	1794.29	2090.03	2451.44	1561.89	2119.22	2319.15	2209.26	0.0	0.78	1331.57	1662.49
OCEL1	1572.76	336.79	429.54	441.64	583.07	454.09	483.38	483.38	435.55	1529.73	2224.63	1457.23	1991.0	1151.06	1457.23	1066.48	1583.71	1286.18	1096.5	2032.85	2537.92	3081.75	1870.53	3690.52	3491.39	1359.57	0.0	0.43	450.94	114.36
OCIAD2	3235.01	961.07	647.07	353.59	376.41	400.71	688.78	307.69	540.19	2148.82	2148.82	1477.58	1769.57	2090.03	2335.28	3235.01	4066.71	3443.31	1896.65	3614.55	6935.54	9279.58	4210.15	7695.57	7537.18	5006.93	0.0	0.52	785.88	928.3
OGFOD2	575.03	198.47	120.1	142.01	236.21	211.31	191.67	166.73	251.48	656.11	444.72	521.76	547.75	429.54	373.81	348.71	325.29	476.71	275.28	348.71	633.73	743.43	514.56	563.18	551.56	406.31	0.0	0.24	183.82	172.65
PAOX	334.46	136.19	93.35	89.51	172.65	117.6	88.26	130.6	102.97	215.77	371.22	244.57	438.59	249.73	397.93	343.89	258.57	309.83	215.77	237.86	543.96	567.1	521.76	256.78	450.94	242.88	0.0	0.16	94.67	78.89
PCBD1	7966.99	1651.0	1963.57	1551.09	1467.37	1359.57	2468.49	1963.57	2502.97	9088.59	9945.68	7642.41	6935.54	7331.05	10014.87	9606.86	12244.81	9474.59	6840.04	12160.22	13306.94	16383.0	11035.54	12589.08	19892.37	14163.58	0.0	0.52	2777.33	1081.39
PET100	1674.06	947.83	1135.2	1008.9	884.29	974.5	1208.34	693.58	981.29	2384.37	1529.73	1508.65	1015.93	1519.15	981.29	1119.56	1378.57	1561.89	1081.39	1662.49	1870.53	2816.11	1259.69	2018.8	1721.16	2417.67	0.0	0.61	1572.76	825.0
PLCXD2	954.43	1.89	34.51	10.55	14.89	4.62	19.53	13.22	2.89	1216.75	305.55	684.02	575.03	525.39	915.51	656.11	1001.93	1233.75	684.02	1369.04	1617.0	1757.34	743.43	1340.84	2319.15	1540.37	0.0	0.27	11.55	88.88
PRADC1	974.5	387.02	414.87	314.17	363.56	289.02	620.67	341.51	638.15	995.0	1001.93	860.08	878.17	902.89	878.17	753.83	974.5	1096.5	769.69	1073.91	954.43	1030.12	934.76	967.76	1936.53	1529.73	0.0	0.13	379.04	387.02
PRDX2	6840.04	4575.41	5329.3	2758.13	3955.48	4095.0	6935.54	3901.01	4639.29	5147.73	7081.29	7589.61	7081.29	6516.03	6516.03	5403.7	6121.9	8305.36	5954.47	5872.48	9876.98	8247.98	9025.81	8363.13	7331.05	7803.01	0.0	1.07	4639.29	3303.0
RFNG	1304.15	819.3	591.22	583.07	764.36	775.05	848.22	934.76	995.0	1051.79	1397.83	1427.22	1662.49	1225.22	1030.12	1331.57	1685.71	1397.83	934.76	995.0	1651.0	2645.74	1378.57	2520.38	1457.23	1745.2	0.0	0.83	890.44	579.04
RP11-126K1.2	55.1	6.01	8.99	12.36	3.06	13.32	7.06	10.31	19.68	56.68	20.11	41.22	20.41	62.56	17.25	35.0	36.27	9.56	34.26	43.32	58.71	96.68	51.35	38.4	95.34	46.18	0.0	0.0	13.22	24.46
RPA3	728.11	723.08	262.2	414.87	373.81	420.68	327.56	483.38	460.44	693.58	785.88	665.29	769.69	872.1	713.11	733.19	684.02	780.44	713.11	934.76	1359.57	1073.91	967.76	1159.07	1037.29	1651.0	0.0	0.36	497.0	178.77
RPP25L	813.63	361.04	258.57	215.77	432.53	420.68	358.54	307.69	412.0	896.64	1088.92	1008.9	525.39	819.3	842.36	802.41	866.07	921.88	567.1	854.13	1477.58	1651.0	1183.45	1295.13	1250.98	995.0	0.0	0.0	444.72	202.66
SAA2	932018.1	1417.35	16.75	387.02	297.17	1216.75	217.27	35.0	303.44	1800541.22	1108362.75	1903204.61	1048575.0	2691538.19	3601083.44	1813064.98	822695.06	1402917.72	2425749.94	3049200.37	598087.73	438.59	863596.77	181548.07	114897.47	176583.6	0.0	0.24	33.54	50.63
SCCPDH	2271.4	351.14	460.44	575.03	400.71	497.0	473.41	457.25	536.45	1685.71	2573.36	1991.0	2555.58	1397.83	2240.11	2384.37	2796.65	2119.22	1407.55	2335.28	4607.24	5112.16	2739.08	6294.04	1745.2	1769.57	0.0	0.52	521.76	665.29
SLC38A10	2645.74	1023.0	947.83	1388.16	1551.09	1639.59	1457.23	1781.89	1963.57	1697.45	1540.37	2664.15	2835.7	2193.99	1923.14	2240.11	2075.59	2502.97	2133.97	1963.57	1540.37	2319.15	2032.85	3847.29	3540.14	2758.13	954.43	1447.15	1295.13	353.59
SMIM1	332.14	33.54	123.5	76.71	109.66	63.89	43.02	34.75	73.03	164.42	214.27	158.79	202.66	158.79	303.44	239.52	220.32	417.77	234.57	221.86	660.68	1605.83	316.37	612.11	579.04	563.18	0.0	0.17	87.65	4.17
SMUG1	1081.39	454.09	351.14	429.54	555.41	543.96	571.05	473.41	674.59	1135.2	698.41	884.29	759.08	813.63	785.88	764.36	802.41	934.76	497.0	941.27	1008.9	1066.48	947.83	1151.06	902.89	1073.91	0.0	0.0	547.75	293.07
SNRNP25	775.05	547.75	575.03	612.11	563.18	525.39	679.29	638.15	555.41	860.08	764.36	629.35	698.41	620.67	629.35	743.43	748.61	954.43	575.03	819.3	1001.93	1685.71	571.05	1331.57	1191.69	902.89	0.0	0.33	444.72	312.0
SOD1	28328.16	5913.33	6250.56	5112.16	4802.93	4769.75	5711.87	5041.77	5403.7	34635.37	44145.15	30785.28	23492.92	35856.82	29531.18	30785.28	44761.41	31650.8	25708.25	36610.26	42641.37	71714.63	46662.28	85283.74	43840.21	55877.28	0.0	1.13	5441.3	2758.13
SURF1	2367.9	802.41	1583.71	1208.34	1143.1	1119.56	995.0	1551.09	1721.16	1909.85	2148.82	2502.97	1832.01	1794.29	1950.0	1977.24	2163.77	2573.36	2271.4	1781.89	3081.75	3540.14	2855.44	2645.74	2956.17	2148.82	0.0	0.44	1088.92	802.41
SWI5	674.59	638.15	353.59	444.72	450.94	348.71	432.53	420.68	579.04	921.88	417.77	718.08	688.78	1008.9	723.08	620.67	860.08	842.36	583.07	796.86	808.0	872.1	941.27	1051.79	1427.22	1096.5	0.0	0.46	599.49	260.38
TIMM10	1697.45	915.51	629.35	703.28	1167.14	866.07	1023.0	1127.35	698.41	2335.28	1331.57	1096.5	1259.69	1191.69	836.53	1059.11	1295.13	2384.37	1044.52	1896.65	1923.14	4152.18	1529.73	2178.83	1883.54	1757.34	0.0	0.4	1030.12	543.96
TMEM205	8718.32	1757.34	2148.82	1286.18	2090.03	2148.82	1950.0	1340.84	2178.83	6652.97	9151.82	8658.09	9279.58	6840.04	7331.05	7280.4	8078.22	10959.3	7911.95	7433.4	18052.61	22692.63	11345.82	16960.78	9606.86	9876.98	0.0	0.95	2047.0	1242.34
TMEM219	3491.39	1651.0	2520.38	1628.26	1639.59	1242.34	1909.85	1781.89	2520.38	3325.99	2976.74	3060.45	2664.15	4210.15	2796.65	2895.31	3124.78	3467.27	2178.83	3103.19	3419.52	4903.87	3794.3	4836.35	4704.07	4639.29	4095.0	934.76	2271.4	1651.0
TMEM256	5594.3	1378.57	1073.91	1037.29	961.07	1044.52	791.35	1037.29	1277.29	3955.48	5872.48	4481.23	2104.58	4836.35	3665.02	3955.48	5633.22	4903.87	3395.89	5441.3	9808.75	11992.79	8247.98	7180.15	6294.04	8421.31	0.0	0.71	1216.75	591.22
TMUB1	1551.09	830.75	728.11	620.67	1304.15	780.44	974.5	836.53	1350.18	1977.24	2417.67	1561.89	1857.6	1447.15	1378.57	1167.14	1896.65	2163.77	1073.91	1551.09	1794.29	2682.69	1540.37	3742.05	2956.17	2468.49	0.0	0.97	928.3	1088.92
TRAPPC6A	1135.2	417.77	376.41	305.55	447.82	318.57	351.14	325.29	420.68	1369.04	1322.37	1407.55	1143.1	1322.37	981.29	1081.39	1331.57	1651.0	941.27	1199.98	2451.44	1909.85	1250.98	2148.82	1467.37	1628.26	0.0	0.36	379.04	267.73
TUFM	5751.61	2119.22	2367.9	2451.44	2915.45	2520.38	2417.67	2224.63	2609.3	6037.61	6699.25	5366.37	3955.48	6381.92	4972.34	4010.71	5441.3	6426.31	4671.57	5913.33	6426.31	8191.0	7966.99	7749.1	5594.3	5751.61	0.0	0.67	2520.38	1883.54
TXN2	2816.11	1277.29	995.0	1359.57	1651.0	1286.18	1388.16	1119.56	2018.8	2609.3	2701.35	2287.2	2178.83	2720.15	2739.08	2915.45	2645.74	3124.78	2627.46	2701.35	3325.99	4704.07	2956.17	3690.52	4095.0	3665.02	2777.33	981.29	1216.75	780.44
UQCR10	3614.55	1977.24	2178.83	1662.49	1639.59	1583.71	2451.44	1950.0	2061.24	4328.55	3955.48	3190.46	2645.74	2976.74	2915.45	2335.28	3794.3	3874.05	2573.36	4210.15	4639.29	6121.9	4869.99	4903.87	4704.07	5594.3	0.0	0.56	2271.4	1519.15
UROS	1159.07	607.87	679.29	759.08	624.99	669.92	830.75	642.59	693.58	1674.06	961.07	647.07	947.83	748.61	769.69	1044.52	1008.9	848.22	780.44	684.02	934.76	1551.09	1066.48	1844.76	1508.65	1437.15	0.0	0.15	733.19	409.15
ZBTB48	616.37	265.87	199.85	305.55	409.15	389.72	460.44	400.71	525.39	638.15	591.22	1088.92	587.13	633.73	536.45	638.15	651.58	579.04	336.79	587.13	612.11	656.11	540.19	866.07	890.44	638.15	0.0	0.72	420.68	429.54
ZNHIT1	4095.0	1073.91	872.1	961.07	974.5	1111.82	1191.69	884.29	1467.37	4388.98	6607.01	4836.35	4123.49	3491.39	3443.31	3060.45	4210.15	4450.27	2935.74	4481.23	5219.6	6337.83	4836.35	6983.79	7803.01	6250.56	0.0	0.85	1233.75	753.83
