	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
DEGS1	1397.83	947.83	1457.23	2627.46	3103.19	6121.9	679.29	400.71	444.72	769.69	934.76	633.73	271.48	543.96	457.25	603.67	190.34	607.87	514.56	480.04	733.19	371.22	414.87	571.05	297.17	457.25	435.55	320.8	587.13	1135.2	521.76	1268.46	2573.36	2061.24	1721.16	1870.53	1963.57	2148.82	2224.63	2417.67	2047.0	2061.24	1605.83	2417.67	3018.3	2417.67	1757.34	2451.44	1313.23	1883.54	1651.0	1250.98	1437.15	1651.0	1331.57	1135.2
DKC1	1674.06	679.29	825.0	583.07	708.18	529.06	808.0	236.21	293.07	420.68	387.02	267.73	299.25	256.78	366.09	348.71	305.55	299.25	351.14	307.69	366.09	389.72	293.07	314.17	195.72	426.57	258.57	140.04	312.0	336.79	307.69	603.67	1008.9	967.76	791.35	842.36	1037.29	780.44	1073.91	1096.5	890.44	921.88	878.17	941.27	1059.11	1008.9	947.83	1008.9	796.86	1088.92	1030.12	1051.79	915.51	878.17	1023.0	518.15
DMTF1	473.41	921.88	629.35	514.56	587.13	358.54	555.41	31.22	99.43	279.14	154.42	114.36	183.82	239.52	215.77	205.5	223.41	108.14	218.79	165.57	159.9	62.12	110.43	154.42	195.72	353.59	318.57	49.56	217.27	190.34	150.17	387.02	1605.83	1295.13	1059.11	1388.16	1397.83	1605.83	1233.75	1674.06	1277.29	1151.06	679.29	2032.85	1151.06	1519.15	1135.2	1605.83	860.08	1008.9	1733.13	1819.35	1044.52	1250.98	1250.98	518.15
DOCK9	825.0	595.34	3190.46	2240.11	1794.29	1685.71	693.58	177.53	220.32	463.65	265.87	161.02	53.57	150.17	318.57	379.04	115.16	251.48	190.34	406.31	638.15	115.16	323.03	265.87	136.19	228.13	118.43	170.25	353.59	265.87	361.04	961.07	5633.22	4769.75	5791.62	6250.56	4704.07	4937.99	3589.58	5711.87	4358.66	6561.36	4419.52	4268.94	4869.99	6250.56	3901.01	5329.3	1088.92	1617.0	988.12	2018.8	2468.49	1733.13	420.68	507.46
EPG5	251.48	237.86	159.9	177.53	99.43	127.0	134.3	75.64	68.07	128.79	63.89	71.5	61.68	87.03	106.63	70.51	92.7	102.25	55.1	121.79	109.66	80.01	87.65	90.14	88.26	119.26	99.43	74.58	128.79	105.15	68.07	162.14	358.54	271.48	258.57	277.2	285.03	368.65	283.05	356.05	351.14	343.89	346.29	480.04	269.6	332.14	228.13	295.11	291.04	237.86	351.14	392.44	231.32	253.23	253.23	206.94
F2RL3	57.89	17.77	1015.93	299.25	23.25	438.59	73.54	5.28	2.05	19.25	0.0	1.97	2.03	1.93	4.46	10.39	1.87	0.74	7.0	1.43	0.78	4.46	2.92	7.28	7.88	3.26	7.94	3.79	3.47	0.66	0.6	15.0	748.61	129.69	90.77	68.07	603.67	231.32	231.32	135.24	224.97	236.21	14.03	532.74	162.14	128.79	329.84	376.41	153.34	218.79	66.65	346.29	253.23	177.53	4.46	19.97
FANCE	73.54	224.97	51.71	49.91	53.57	49.91	82.29	9.34	14.03	24.11	18.03	11.21	17.0	12.93	23.76	25.17	7.11	17.13	29.91	11.91	16.15	22.59	15.11	17.51	16.15	27.25	6.21	11.82	3.99	23.93	12.64	57.08	158.79	164.42	98.73	74.58	158.79	93.35	94.01	153.34	126.12	148.09	141.02	100.13	206.94	152.28	87.65	105.15	76.17	72.52	75.11	97.36	84.63	66.65	170.25	43.94
FBXO34	379.04	395.18	363.56	295.11	281.09	193.01	142.01	83.45	91.41	277.2	117.6	91.41	88.88	145.02	180.02	218.79	87.65	194.36	117.6	172.65	128.79	126.12	157.68	137.14	214.27	182.55	138.1	201.25	95.34	126.12	140.04	432.53	679.29	674.59	718.08	660.68	813.63	400.71	575.03	642.59	616.37	743.43	371.22	567.1	785.88	647.07	651.58	718.08	480.04	591.22	884.29	1044.52	518.15	547.75	307.69	297.17
FHDC1	50.27	73.54	59.55	38.12	21.63	63.89	2.34	0.0	1.69	2.53	0.18	0.6	1.81	4.28	10.16	2.46	1.01	4.31	6.57	5.96	0.93	6.89	1.38	1.2	6.31	18.56	2.41	0.0	0.67	6.46	8.32	47.84	101.54	115.97	76.17	72.01	92.05	22.43	90.77	120.1	105.89	118.43	42.11	74.06	90.77	73.54	115.97	135.24	334.46	307.69	567.1	651.58	547.75	769.69	13.52	23.59
FUBP1	1437.15	1369.04	1467.37	961.07	1561.89	1111.82	1015.93	289.02	403.5	848.22	341.51	366.09	571.05	351.14	656.11	529.06	309.83	476.71	723.08	525.39	379.04	307.69	384.34	571.05	603.67	656.11	802.41	145.02	267.73	514.56	473.41	1561.89	2271.4	2032.85	1832.01	2209.26	2240.11	2451.44	2004.85	2400.97	2335.28	1977.24	1437.15	2400.97	1923.14	2609.3	2004.85	2303.12	2224.63	2701.35	2895.31	2178.83	1991.0	2816.11	2335.28	1191.69
GDAP2	275.28	82.87	115.16	126.12	140.04	161.02	111.99	94.67	96.01	137.14	109.66	79.45	66.18	76.17	91.41	171.45	78.34	76.17	103.69	194.36	135.24	46.18	111.99	69.03	127.0	171.45	115.16	110.43	71.5	100.13	119.26	148.09	172.65	208.38	215.77	127.0	242.88	132.44	172.65	149.12	185.11	221.86	205.5	146.03	111.99	137.14	156.59	146.03	144.01	133.36	187.71	283.05	169.07	142.01	117.6	143.01
GGA2	1104.13	1199.98	819.3	753.83	647.07	551.56	1059.11	348.71	395.18	616.37	343.89	387.02	283.05	281.09	629.35	406.31	320.8	356.05	466.88	529.06	273.37	318.57	444.72	473.41	387.02	733.19	371.22	191.67	253.23	334.46	559.28	1794.29	1923.14	1936.53	1529.73	1819.35	1936.53	2875.3	1437.15	2032.85	3103.19	2537.92	1216.75	2240.11	1594.73	2434.5	2061.24	2047.0	1605.83	1427.22	1896.65	2417.67	1769.57	1923.14	1059.11	748.61
HIRA	116.78	212.78	397.93	287.01	256.78	262.2	299.25	194.36	287.01	231.32	289.02	253.23	255.0	297.17	209.84	139.07	246.28	239.52	249.73	297.17	358.54	209.84	242.88	199.85	180.02	223.41	143.01	198.47	285.03	205.5	221.86	249.73	1467.37	1322.37	1119.56	1331.57	1304.15	599.49	1104.13	1594.73	934.76	1242.34	540.19	1199.98	1498.22	1073.91	1857.6	1745.2	1936.53	1950.0	2796.65	1096.5	1467.37	2193.99	325.29	373.81
HOOK3	134.3	145.02	217.27	220.32	176.29	170.25	156.59	11.73	40.93	92.7	108.9	16.63	36.27	98.73	159.9	70.51	28.04	120.1	54.33	128.79	38.95	44.25	132.44	119.26	73.54	320.8	53.19	29.06	92.7	86.43	94.01	198.47	688.78	447.82	780.44	733.19	497.0	743.43	441.64	503.95	543.96	674.59	363.56	493.56	444.72	368.65	242.88	555.41	220.32	297.17	688.78	1001.93	366.09	616.37	155.5	265.87
INO80D	33.78	61.68	76.17	67.12	56.28	52.08	52.82	8.19	20.41	42.71	18.56	19.68	31.9	49.91	34.02	32.13	22.75	29.06	20.56	25.35	15.8	26.47	16.03	33.06	21.78	27.84	43.94	8.92	40.36	30.56	19.82	55.89	143.01	125.24	102.97	117.6	114.36	123.5	98.73	152.28	90.77	111.21	74.58	189.02	106.63	109.66	88.88	120.94	72.01	96.01	157.68	110.43	75.11	108.14	118.43	56.28
INTU	21.63	69.03	107.38	59.13	61.25	60.82	21.94	5.06	7.11	21.01	2.63	8.51	9.13	20.71	9.27	21.01	7.69	11.55	6.21	9.27	3.66	3.92	12.83	19.11	13.03	17.77	21.32	1.6	16.51	8.65	7.28	63.0	146.03	141.02	84.63	93.35	178.77	199.85	100.13	193.01	98.73	172.65	43.32	208.38	146.03	161.02	162.14	169.07	99.43	113.56	185.11	125.24	88.88	132.44	139.07	98.73
ITPR3	368.65	733.19	825.0	764.36	2104.58	1175.27	7.94	10.39	8.65	265.87	8.45	14.78	8.92	16.15	70.01	21.47	5.19	8.65	10.47	16.03	25.72	13.32	12.74	60.82	31.45	113.56	12.74	2.48	44.25	15.11	2.25	703.28	1685.71	1427.22	2061.24	2148.82	1498.22	1745.2	1378.57	1896.65	2875.3	2255.7	3847.29	1397.83	1561.89	1540.37	1191.69	1883.54	733.19	1295.13	825.0	995.0	599.49	1259.69	163.28	54.33
ITSN2	403.5	518.15	447.82	432.53	303.44	384.34	603.67	109.66	262.2	441.64	314.17	228.13	246.28	307.69	312.0	334.46	205.5	309.83	384.34	361.04	244.57	228.13	285.03	305.55	366.09	368.65	397.93	237.86	289.02	518.15	265.87	403.5	1340.84	1191.69	1167.14	1437.15	1819.35	819.3	1583.71	1216.75	1651.0	1437.15	902.89	1199.98	1427.22	1437.15	1127.35	2061.24	1733.13	1199.98	1096.5	2224.63	1447.15	1359.57	607.87	356.05
KCNK13	6.46	18.03	62.12	73.54	53.57	32.59	0.57	1.95	6.62	38.67	10.16	15.22	1.38	32.36	18.7	0.0	0.0	29.7	8.71	17.13	8.45	2.23	35.0	39.22	5.54	33.54	0.0	3.89	24.11	38.95	7.4	28.45	85.82	111.21	120.1	98.04	59.55	175.07	205.5	166.73	96.01	64.8	260.38	120.1	120.1	228.13	49.21	47.84	57.49	77.25	83.45	131.51	28.24	58.71	5.63	6.67
KDM4C	224.97	275.28	244.57	381.68	309.83	279.14	277.2	74.06	95.34	185.11	145.02	71.0	67.59	166.73	132.44	108.9	88.88	101.54	81.71	135.24	106.63	40.93	111.99	104.42	104.42	185.11	126.12	78.89	100.83	113.56	116.78	229.72	403.5	351.14	309.83	389.72	387.02	420.68	348.71	373.81	341.51	438.59	237.86	366.09	343.89	389.72	358.54	376.41	366.09	387.02	417.77	493.56	379.04	348.71	293.07	232.94
KIAA1456	9.06	1883.54	189.02	88.26	159.9	80.01	20.26	16.27	36.01	107.38	102.97	24.11	10.71	46.5	76.71	24.99	9.93	17.25	6.73	74.58	56.28	0.13	49.56	20.26	6.31	38.95	21.32	24.46	81.71	81.14	48.52	33.78	162.14	205.5	117.6	190.34	412.0	226.54	137.14	275.28	237.86	264.03	175.07	329.84	153.34	246.28	248.0	353.59	559.28	603.67	2609.3	551.56	575.03	1662.49	7.51	94.01
KLC3	242.88	265.87	90.77	116.78	63.89	137.14	11.3	7.28	4.86	36.01	0.84	3.0	1.48	0.69	0.0	8.06	0.11	0.0	8.78	0.97	4.24	24.11	0.97	6.78	0.0	0.66	6.57	1.85	5.5	0.0	0.49	74.06	92.7	84.04	35.25	39.79	41.22	52.08	42.11	72.52	45.21	144.01	164.42	129.69	40.07	45.85	39.5	47.84	14.78	17.0	29.91	24.28	4.54	14.56	11.3	6.01
MAP3K1	154.42	684.02	363.56	191.67	616.37	271.48	141.02	37.05	74.06	226.54	57.49	60.39	80.01	152.28	140.04	194.36	57.89	90.14	66.18	60.82	54.33	92.05	69.52	140.04	96.68	173.85	111.99	20.11	142.01	110.43	52.82	432.53	1023.0	1037.29	1135.2	1159.07	1037.29	780.44	854.13	941.27	909.17	1268.46	543.96	1119.56	1183.45	1208.34	909.17	1551.09	409.15	540.19	733.19	693.58	432.53	381.68	555.41	239.52
MAT2A	2502.97	1991.0	3419.52	4836.35	5403.7	3395.89	1359.57	780.44	1572.76	2720.15	1191.69	1023.0	1498.22	1617.0	2119.22	974.5	836.53	1001.93	1721.16	1183.45	1697.45	1250.98	1259.69	1651.0	808.0	2303.12	1135.2	182.55	629.35	1143.1	1447.15	1896.65	7180.15	2555.58	2240.11	3443.31	4450.27	6745.86	3235.01	2976.74	3768.09	2701.35	3820.7	6337.83	2875.3	3060.45	2351.53	5006.93	6887.62	10512.82	7803.01	5672.41	6699.25	13776.25	1378.57	1909.85
MLLT6	305.55	1662.49	1119.56	934.76	866.07	748.61	896.64	96.68	212.78	624.99	185.11	186.4	204.07	258.57	403.5	121.79	193.01	194.36	273.37	307.69	223.41	119.26	269.6	271.48	162.14	656.11	221.86	55.1	152.28	325.29	198.47	1191.69	2178.83	1417.35	1350.18	2104.58	1733.13	2895.31	1313.23	2520.38	2004.85	1757.34	1268.46	2701.35	1757.34	2163.77	1572.76	2468.49	1551.09	1437.15	2119.22	4066.71	1467.37	1561.89	1844.76	995.0
NMUR2	0.3	6.11	0.0	0.31	1.41	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	6.62	0.91	0.97	4.86	5.96	10.31	0.91	0.93	5.32	1.25	3.06	5.77	4.74	0.64	3.72	43.94	7.82	7.28	40.64	25.72	23.25	7.51	1.43	2.73
NOC3L	293.07	112.77	187.71	172.65	258.57	143.01	232.94	17.38	93.35	88.26	80.57	75.11	113.56	96.68	72.01	120.94	72.52	95.34	78.34	87.03	119.26	52.08	88.88	77.79	94.67	71.0	56.68	28.65	130.6	73.03	76.71	166.73	414.87	348.71	224.97	236.21	289.02	283.05	361.04	368.65	242.88	271.48	307.69	273.37	241.19	281.09	223.41	281.09	156.59	228.13	279.14	143.01	183.82	287.01	194.36	139.07
NPHP4	65.26	190.34	127.0	100.13	273.37	99.43	47.5	45.85	13.83	28.24	10.55	9.06	21.47	48.52	69.52	43.32	2.89	27.44	11.3	56.68	32.13	64.8	8.25	22.92	55.49	30.56	23.42	2.92	82.87	71.0	10.24	101.54	226.54	173.85	323.03	389.72	314.17	713.11	202.66	275.28	248.0	343.89	255.0	392.44	273.37	426.57	275.28	289.02	208.38	220.32	371.22	271.48	186.4	392.44	102.97	68.07
NT5C2	656.11	1437.15	791.35	819.3	928.3	616.37	830.75	242.88	343.89	780.44	620.67	379.04	221.86	603.67	656.11	297.17	336.79	642.59	387.02	753.83	348.71	289.02	525.39	547.75	224.97	915.51	358.54	183.82	813.63	503.95	486.75	1208.34	2240.11	2163.77	1806.78	2367.9	2287.2	2627.46	1639.59	2645.74	1721.16	2351.53	1498.22	2193.99	2193.99	2133.97	1883.54	2502.97	2240.11	2701.35	3419.52	3103.19	2104.58	3540.14	1143.1	902.89
OGT	708.18	1088.92	909.17	718.08	921.88	493.56	1304.15	177.53	161.02	559.28	281.09	201.25	217.27	329.84	476.71	281.09	409.15	244.57	303.44	371.22	314.17	164.42	209.84	309.83	392.44	656.11	426.57	120.94	327.56	262.2	232.94	563.18	2287.2	1769.57	1551.09	2682.69	2047.0	3018.3	1508.65	2224.63	2018.8	2075.59	1199.98	3716.2	1781.89	2720.15	2018.8	2796.65	1407.55	1769.57	2319.15	3039.3	1111.82	2400.97	1605.83	753.83
PAPOLG	173.85	163.28	127.89	159.9	79.45	134.3	110.43	25.17	56.68	89.51	41.22	27.44	39.22	53.19	76.71	71.5	44.57	52.45	36.79	61.68	37.32	58.3	36.79	62.56	30.56	78.89	56.68	28.24	55.89	74.06	62.56	129.69	323.03	275.28	201.25	251.48	293.07	309.83	277.2	312.0	217.27	289.02	130.6	265.87	275.28	255.0	229.72	262.2	287.01	251.48	514.56	571.05	305.55	323.03	199.85	205.5
PCM1	775.05	2502.97	1477.58	1467.37	1081.39	1059.11	1104.13	176.29	660.68	1322.37	1709.26	660.68	409.15	884.29	753.83	595.34	669.92	679.29	1015.93	1662.49	603.67	450.94	698.41	813.63	791.35	2193.99	1151.06	223.41	1216.75	1059.11	638.15	1628.26	2645.74	2645.74	2178.83	2255.7	2384.37	2209.26	2119.22	2777.33	1936.53	2367.9	1417.35	2384.37	2104.58	2224.63	1857.6	2148.82	1583.71	1508.65	2303.12	2335.28	1388.16	1745.2	3018.3	2319.15
