	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
BBX	224.97	480.04	291.04	236.21	177.53	409.15	543.96	301.33	158.79	371.22	224.97	217.27	423.61	248.0	371.22	438.59	536.45	356.05	205.5	193.01	183.82	283.05	204.07	289.02	480.04	293.07	366.09	187.71	273.37	264.03	153.34	384.34	438.59	265.87	353.59	285.03	246.28	521.76	182.55	629.35	447.82	218.79	295.11	291.04	409.15	466.88	236.21	242.88	228.13	400.71	181.28	387.02	540.19	441.64	532.74	287.01	457.25	262.2	470.14	215.77	334.46	624.99	258.57	295.11	205.5	202.66	441.64	295.11	395.18	624.99	406.31	255.0	356.05	211.31	607.87	258.57	532.74	486.75	237.86	242.88	521.76	281.09	212.78	260.38
BIRC2	363.56	1832.01	866.07	616.37	454.09	603.67	854.13	674.59	389.72	718.08	503.95	536.45	854.13	642.59	769.69	860.08	813.63	629.35	555.41	529.06	514.56	518.15	493.56	603.67	647.07	473.41	599.49	559.28	543.96	583.07	423.61	651.58	728.11	642.59	507.46	483.38	244.57	738.29	503.95	785.88	599.49	595.34	500.46	571.05	579.04	708.18	518.15	543.96	447.82	679.29	429.54	660.68	791.35	708.18	738.29	559.28	624.99	665.29	708.18	450.94	703.28	638.15	551.56	591.22	503.95	511.0	674.59	674.59	651.58	941.27	579.04	518.15	660.68	507.46	651.58	559.28	718.08	665.29	708.18	583.07	638.15	529.06	503.95	656.11
BIRC6	497.0	1008.9	728.11	543.96	457.25	587.13	703.28	500.46	277.2	599.49	460.44	483.38	665.29	551.56	536.45	679.29	688.78	551.56	379.04	486.75	371.22	460.44	454.09	507.46	764.36	463.65	493.56	476.71	525.39	571.05	301.33	620.67	543.96	486.75	540.19	409.15	432.53	651.58	423.61	728.11	607.87	435.55	529.06	497.0	620.67	651.58	493.56	595.34	417.77	583.07	363.56	507.46	612.11	583.07	638.15	529.06	532.74	460.44	480.04	438.59	518.15	620.67	486.75	503.95	400.71	454.09	511.0	490.14	583.07	738.29	563.18	423.61	571.05	366.09	665.29	466.88	651.58	629.35	567.1	511.0	642.59	536.45	435.55	500.46
BLOC1S6	334.46	674.59	1250.98	473.41	363.56	612.11	743.43	563.18	348.71	620.67	392.44	470.14	647.07	529.06	583.07	688.78	728.11	642.59	454.09	409.15	397.93	529.06	379.04	612.11	684.02	476.71	612.11	397.93	466.88	555.41	379.04	638.15	698.41	591.22	529.06	514.56	403.5	708.18	450.94	753.83	607.87	567.1	450.94	444.72	507.46	647.07	511.0	429.54	423.61	660.68	329.84	603.67	669.92	674.59	665.29	476.71	583.07	559.28	693.58	447.82	638.15	808.0	356.05	583.07	403.5	466.88	595.34	612.11	693.58	785.88	457.25	518.15	638.15	392.44	836.53	466.88	684.02	743.43	432.53	518.15	713.11	559.28	414.87	480.04
C10orf118	154.42	341.51	368.65	125.24	103.69	228.13	279.14	204.07	84.04	205.5	128.79	181.28	273.37	161.02	249.73	334.46	295.11	237.86	163.28	156.59	122.64	173.85	121.79	180.02	281.09	169.07	199.85	156.59	169.07	189.02	85.22	215.77	285.03	180.02	199.85	163.28	132.44	329.84	115.16	309.83	237.86	159.9	154.42	195.72	214.27	332.14	163.28	166.73	139.07	237.86	73.03	209.84	329.84	244.57	323.03	180.02	244.57	185.11	236.21	127.0	214.27	295.11	119.26	208.38	121.79	123.5	224.97	187.71	249.73	406.31	218.79	151.22	228.13	100.83	318.57	176.29	289.02	314.17	206.94	177.53	271.48	171.45	121.79	127.89
CACUL1	303.44	444.72	397.93	269.6	223.41	309.83	389.72	277.2	269.6	305.55	223.41	244.57	361.04	260.38	320.8	435.55	412.0	314.17	244.57	220.32	202.66	279.14	228.13	273.37	293.07	295.11	295.11	156.59	281.09	307.69	218.79	351.14	454.09	279.14	356.05	265.87	185.11	371.22	297.17	406.31	336.79	236.21	287.01	305.55	246.28	323.03	297.17	215.77	269.6	384.34	201.25	379.04	353.59	329.84	414.87	281.09	371.22	297.17	353.59	295.11	260.38	301.33	173.85	336.79	221.86	190.34	332.14	287.01	341.51	426.57	307.69	279.14	265.87	231.32	376.41	209.84	426.57	293.07	237.86	269.6	406.31	199.85	249.73	224.97
CAMSAP2	223.41	297.17	454.09	208.38	215.77	316.37	341.51	279.14	146.03	320.8	211.31	283.05	389.72	236.21	301.33	397.93	371.22	348.71	180.02	209.84	178.77	318.57	211.31	289.02	343.89	239.52	303.44	212.78	253.23	346.29	175.07	291.04	320.8	283.05	307.69	242.88	173.85	409.15	201.25	417.77	336.79	214.27	281.09	309.83	297.17	371.22	244.57	260.38	217.27	332.14	170.25	297.17	376.41	323.03	417.77	231.32	358.54	231.32	320.8	220.32	312.0	432.53	212.78	260.38	209.84	234.57	329.84	256.78	332.14	476.71	239.52	248.0	295.11	202.66	400.71	242.88	406.31	423.61	246.28	258.57	361.04	265.87	176.29	209.84
CCSER2	309.83	647.07	660.68	182.55	169.07	460.44	414.87	387.02	305.55	297.17	255.0	229.72	511.0	281.09	409.15	454.09	507.46	334.46	323.03	211.31	215.77	361.04	277.2	325.29	392.44	351.14	497.0	371.22	293.07	329.84	199.85	341.51	412.0	277.2	373.81	325.29	387.02	460.44	320.8	480.04	414.87	279.14	267.73	297.17	325.29	483.38	239.52	249.73	314.17	470.14	273.37	466.88	483.38	376.41	429.54	312.0	358.54	334.46	379.04	293.07	379.04	540.19	267.73	312.0	273.37	314.17	470.14	336.79	406.31	647.07	441.64	336.79	373.81	305.55	551.56	332.14	426.57	414.87	353.59	297.17	563.18	384.34	229.72	221.86
CD2AP	329.84	796.86	1191.69	228.13	262.2	389.72	403.5	351.14	156.59	341.51	215.77	260.38	376.41	285.03	454.09	525.39	447.82	395.18	271.48	218.79	232.94	323.03	239.52	291.04	381.68	303.44	297.17	239.52	318.57	353.59	193.01	332.14	435.55	341.51	275.28	281.09	221.86	466.88	312.0	490.14	366.09	258.57	249.73	271.48	295.11	400.71	267.73	260.38	281.09	395.18	134.3	366.09	441.64	356.05	420.68	234.57	323.03	314.17	384.34	291.04	336.79	346.29	195.72	336.79	246.28	323.03	279.14	339.14	376.41	423.61	295.11	297.17	373.81	221.86	438.59	289.02	460.44	438.59	329.84	273.37	438.59	316.37	214.27	260.38
CDC5L	187.71	336.79	289.02	214.27	181.28	265.87	285.03	220.32	152.28	293.07	178.77	209.84	291.04	241.19	269.6	287.01	299.25	273.37	145.02	198.47	163.28	221.86	148.09	248.0	297.17	208.38	226.54	226.54	223.41	255.0	156.59	265.87	269.6	239.52	215.77	195.72	161.02	279.14	176.29	293.07	232.94	191.67	202.66	199.85	223.41	271.48	220.32	205.5	211.31	242.88	181.28	269.6	285.03	237.86	277.2	236.21	249.73	214.27	226.54	176.29	246.28	267.73	197.09	211.31	156.59	193.01	279.14	248.0	249.73	320.8	226.54	191.67	234.57	171.45	262.2	193.01	275.28	289.02	244.57	217.27	249.73	211.31	183.82	223.41
CEP120	102.25	395.18	271.48	143.01	108.9	176.29	234.57	136.19	81.71	164.42	113.56	127.89	218.79	147.06	155.5	193.01	205.5	148.09	99.43	153.34	114.36	128.79	115.97	163.28	176.29	116.78	152.28	101.54	123.5	162.14	98.73	185.11	212.78	143.01	156.59	119.26	74.58	195.72	111.99	249.73	212.78	122.64	117.6	136.19	171.45	198.47	117.6	148.09	124.37	158.79	94.67	173.85	190.34	173.85	221.86	135.24	140.04	147.06	164.42	128.79	167.9	221.86	121.79	138.1	112.77	110.43	167.9	122.64	180.02	264.03	173.85	148.09	172.65	89.51	193.01	118.43	242.88	175.07	141.02	148.09	201.25	117.6	129.69	145.02
CHD9	202.66	579.04	995.0	202.66	150.17	271.48	343.89	267.73	115.16	291.04	165.57	176.29	318.57	178.77	265.87	339.14	346.29	312.0	143.01	150.17	111.21	218.79	180.02	232.94	301.33	177.53	275.28	125.24	194.36	271.48	121.79	318.57	265.87	239.52	269.6	208.38	146.03	356.05	162.14	392.44	353.59	158.79	209.84	217.27	236.21	351.14	190.34	199.85	147.06	307.69	109.66	299.25	301.33	316.37	361.04	223.41	273.37	242.88	334.46	187.71	224.97	429.54	155.5	189.02	123.5	164.42	285.03	220.32	301.33	511.0	297.17	189.02	299.25	167.9	379.04	180.02	423.61	379.04	221.86	197.09	373.81	226.54	172.65	195.72
CHML	154.42	199.85	215.77	38.95	45.85	83.45	74.06	58.3	31.45	59.97	37.85	32.13	62.12	47.84	48.52	90.77	69.03	67.12	43.02	30.12	24.11	35.5	47.17	45.21	50.63	53.19	46.18	40.36	34.51	44.25	30.78	46.84	92.7	64.8	52.08	33.78	56.68	60.39	43.94	90.77	68.55	47.84	51.71	40.93	53.95	55.49	28.65	29.06	40.64	78.89	23.93	69.03	59.55	63.89	63.45	29.27	47.84	52.08	61.25	48.52	58.3	69.52	30.34	56.28	45.85	55.89	42.11	50.27	65.72	85.82	47.5	48.87	66.65	38.12	69.52	44.25	80.57	53.19	46.18	33.54	93.35	51.71	41.52	37.05
CLOCK	90.77	105.15	287.01	96.01	98.04	173.85	148.09	112.77	88.88	113.56	84.04	82.87	193.01	114.36	133.36	206.94	147.06	141.02	98.04	75.64	87.65	119.26	94.67	116.78	236.21	163.28	128.79	102.25	128.79	111.99	70.51	121.79	202.66	109.66	134.3	117.6	169.07	148.09	108.14	198.47	176.29	94.67	115.16	111.21	133.36	181.28	124.37	105.89	120.1	156.59	91.41	183.82	171.45	171.45	156.59	124.37	143.01	106.63	149.12	85.82	152.28	198.47	88.88	98.73	127.0	131.51	318.57	105.15	158.79	271.48	121.79	111.99	206.94	106.63	198.47	96.01	236.21	181.28	96.01	102.25	167.9	105.89	88.26	103.69
CRK	540.19	981.29	1286.18	620.67	708.18	802.41	759.08	842.36	620.67	759.08	551.56	599.49	961.07	688.78	884.29	1111.82	928.3	808.0	514.56	529.06	543.96	775.05	587.13	775.05	954.43	713.11	748.61	620.67	633.73	808.0	503.95	708.18	954.43	733.19	753.83	703.28	780.44	967.76	536.45	909.17	733.19	555.41	679.29	607.87	769.69	884.29	698.41	674.59	808.0	738.29	633.73	890.44	896.64	896.64	866.07	616.37	785.88	629.35	836.53	612.11	830.75	961.07	587.13	723.08	638.15	656.11	738.29	796.86	836.53	961.07	651.58	693.58	860.08	599.49	878.17	684.02	785.88	896.64	860.08	647.07	872.1	813.63	486.75	656.11
CSGALNACT2	269.6	403.5	540.19	285.03	211.31	323.03	426.57	336.79	199.85	366.09	221.86	303.44	438.59	251.48	341.51	466.88	325.29	351.14	211.31	267.73	265.87	159.9	244.57	295.11	366.09	279.14	283.05	412.0	269.6	262.2	191.67	295.11	420.68	341.51	361.04	249.73	104.42	406.31	260.38	447.82	316.37	279.14	265.87	332.14	325.29	381.68	198.47	287.01	214.27	414.87	162.14	387.02	356.05	316.37	379.04	262.2	339.14	312.0	339.14	312.0	339.14	305.55	287.01	305.55	285.03	201.25	346.29	323.03	334.46	423.61	387.02	248.0	400.71	234.57	406.31	368.65	457.25	309.83	358.54	299.25	361.04	260.38	289.02	312.0
CTDSPL2	91.41	429.54	329.84	146.03	120.1	226.54	239.52	155.5	78.34	190.34	106.63	141.02	244.57	159.9	201.25	237.86	260.38	199.85	96.01	117.6	111.21	180.02	120.94	199.85	262.2	148.09	214.27	119.26	166.73	144.01	88.26	206.94	206.94	167.9	162.14	133.36	130.6	289.02	105.15	251.48	209.84	115.97	159.9	177.53	186.4	271.48	136.19	142.01	121.79	221.86	75.64	217.27	234.57	241.19	248.0	173.85	208.38	120.94	236.21	121.79	202.66	312.0	127.0	147.06	115.97	121.79	262.2	193.01	220.32	373.81	220.32	154.42	165.57	102.97	275.28	127.89	339.14	281.09	120.94	138.1	251.48	157.68	106.63	141.02
CUL4B	358.54	665.29	536.45	432.53	305.55	583.07	595.34	486.75	307.69	514.56	376.41	397.93	603.67	432.53	559.28	708.18	656.11	450.94	392.44	368.65	363.56	417.77	429.54	457.25	518.15	412.0	435.55	307.69	476.71	507.46	339.14	547.75	620.67	457.25	463.65	447.82	397.93	651.58	373.81	708.18	536.45	420.68	426.57	463.65	450.94	595.34	371.22	376.41	450.94	555.41	356.05	563.18	591.22	547.75	616.37	420.68	490.14	395.18	567.1	397.93	525.39	603.67	329.84	466.88	420.68	348.71	525.39	486.75	612.11	813.63	460.44	426.57	476.71	395.18	620.67	371.22	624.99	684.02	358.54	384.34	647.07	334.46	392.44	403.5
