	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZC5H.1726.SM.5HL7X	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.DZ.6131.11A.01R.1965.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13NZB.0626.SM.5IFH6	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF
BACE2	890.44	603.67	7537.18	36357.37	8022.41	13586.57	6337.83	5403.7	7695.57	14765.09	4639.29	503.95	1551.09	4481.23	6121.9	1250.98	1477.58	4575.41	10154.69	1340.84	529.06	5711.87	2240.11	1594.73	11189.6	2520.38	17.9	49.21	214.27	16.03	90.77	46.84	106.63	115.97	43.63	53.95	68.07	143.01	170.25	37.85	71.5	28.24	64.34	1096.5	1191.69	909.17
BAHD1	239.52	397.93	872.1	334.46	454.09	1498.22	1250.98	460.44	567.1	796.86	642.59	698.41	202.66	656.11	242.88	229.72	432.53	447.82	529.06	264.03	178.77	808.0	381.68	329.84	703.28	361.04	191.67	236.21	191.67	265.87	145.02	255.0	251.48	279.14	223.41	224.97	166.73	117.6	202.66	234.57	303.44	149.12	327.56	366.09	332.14	264.03
BPGM	392.44	182.55	796.86	3955.48	2956.17	1359.57	2591.27	3515.68	1909.85	1896.65	2061.24	802.41	995.0	1794.29	1407.55	1167.14	454.09	1781.89	1023.0	708.18	406.31	1870.53	884.29	825.0	1225.22	830.75	106.63	86.43	144.01	115.97	152.28	120.94	115.16	157.68	98.04	137.14	104.42	285.03	128.79	135.24	105.15	64.34	164.42	295.11	329.84	420.68
C14orf159	684.02	1572.76	3280.18	1950.0	2855.44	4298.64	3874.05	3235.01	4419.52	3955.48	3124.78	3146.52	1508.65	1832.01	1407.55	1745.2	346.29	3372.43	2502.97	587.13	748.61	3540.14	1594.73	1594.73	4268.94	1757.34	525.39	802.41	1167.14	728.11	665.29	532.74	674.59	1111.82	872.1	791.35	915.51	620.67	1044.52	371.22	363.56	212.78	511.0	1175.27	813.63	1605.83
C15orf61	220.32	212.78	373.81	387.02	273.37	341.51	423.61	384.34	339.14	293.07	403.5	143.01	260.38	221.86	241.19	301.33	101.54	346.29	295.11	75.64	66.65	301.33	182.55	197.09	320.8	212.78	256.78	137.14	126.12	99.43	127.89	136.19	116.78	139.07	161.02	94.01	149.12	146.03	96.68	211.31	136.19	50.63	142.01	205.5	231.32	267.73
C3orf18	209.84	85.82	2384.37	665.29	2163.77	1794.29	1199.98	483.38	1883.54	698.41	693.58	301.33	271.48	209.84	642.59	559.28	53.19	555.41	780.44	113.56	71.5	1088.92	212.78	212.78	1143.1	384.34	105.15	78.34	77.79	137.14	106.63	95.34	93.35	183.82	120.1	78.89	135.24	51.35	105.15	48.18	64.8	17.64	86.43	258.57	211.31	256.78
C8orf56	3.72	11.73	316.37	9.7	172.65	872.1	201.25	150.17	155.5	122.64	60.82	17.38	9.2	11.55	89.51	75.11	16.03	339.14	283.05	12.0	16.03	103.69	13.42	6.94	153.34	8.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.9	0.0	0.0	0.0	0.0	14.03	0.0	0.0	12.18	0.0	3.53	10.31	9.78
CALM3	8191.0	4671.57	8078.22	6381.92	9279.58	12676.65	15934.98	12502.12	17437.64	18431.96	8718.32	6337.83	4639.29	6294.04	4769.75	7331.05	3018.3	13033.07	8840.04	7382.04	6652.97	18052.61	7130.55	6561.36	17078.76	4575.41	4328.55	2209.26	2555.58	3018.3	2915.45	2367.9	2935.74	2796.65	3124.78	2816.11	3419.52	2573.36	2502.97	2367.9	1896.65	1199.98	2209.26	7485.11	6983.79	4268.94
CCDC134	73.54	65.26	164.42	229.72	171.45	575.03	529.06	336.79	373.81	473.41	226.54	185.11	55.1	156.59	139.07	131.51	94.01	253.23	285.03	100.13	76.71	327.56	156.59	129.69	595.34	169.07	19.11	26.86	23.93	26.47	18.16	20.26	27.84	24.99	33.3	30.12	21.16	24.11	56.28	46.5	24.81	12.36	20.56	80.57	72.52	42.11
CD9	21617.82	18819.27	24490.61	15934.98	24490.61	56657.31	99333.0	86474.27	33455.53	112532.89	44145.15	8963.45	11189.6	30361.44	20593.91	8718.32	6516.03	58655.36	31870.96	7589.61	3257.52	146444.06	9740.98	8901.53	85283.74	11424.74	928.3	961.07	1909.85	323.03	703.28	1081.39	1088.92	1015.93	988.12	1127.35	1104.13	723.08	334.46	1001.93	2004.85	2451.44	890.44	5711.87	9215.48	3639.7
CEP78	232.94	113.56	127.89	165.57	158.79	157.68	368.65	483.38	371.22	244.57	341.51	111.99	140.04	241.19	189.02	197.09	129.69	395.18	236.21	80.01	87.65	339.14	208.38	127.89	351.14	98.04	55.89	124.37	199.85	101.54	88.26	93.35	141.02	84.63	120.1	82.29	81.71	140.04	86.43	92.05	64.34	32.36	145.02	202.66	127.89	65.26
CLNK	7.11	5.41	1268.46	1159.07	830.75	1208.34	1617.0	1388.16	915.51	1477.58	1457.23	708.18	204.07	503.95	43.94	297.17	854.13	1991.0	547.75	3.63	5.02	1844.76	156.59	123.5	2193.99	8.38	4.9	1.17	2.73	7.57	2.94	2.14	1.79	1.17	5.36	3.66	0.56	1.11	7.46	0.53	0.0	1.08	4.13	30.12	0.0	0.0
COLCA1	76.17	139.07	1268.46	450.94	802.41	525.39	909.17	1529.73	1407.55	2255.7	1733.13	236.21	599.49	351.14	1167.14	1304.15	206.94	934.76	860.08	36.27	24.99	802.41	239.52	211.31	1304.15	309.83	13.62	48.18	5.19	5.45	0.26	6.41	20.56	8.19	4.31	13.03	16.75	7.57	10.31	30.34	34.75	6.89	6.16	301.33	305.55	327.56
COX5A	8078.22	19754.96	32767.0	28923.41	34876.28	22850.48	19082.0	30151.71	30151.71	25354.3	22380.2	6935.54	9409.14	6935.54	12589.08	18052.61	6207.38	40621.74	32092.64	5183.54	4181.07	26800.01	10014.87	8538.88	21919.61	8901.53	4152.18	4704.07	3395.89	3039.3	4769.75	6471.02	4095.0	3847.29	3690.52	4575.41	5633.22	6935.54	4038.61	6840.04	3467.27	5751.61	5594.3	5076.84	7331.05	12676.65
COX7A1	3124.78	1437.15	22535.88	34876.28	22850.48	253.23	16496.96	493.56	20310.37	764.36	47642.77	2004.85	3515.68	2627.46	25887.07	4802.93	3955.48	30785.28	59063.35	1757.34	2627.46	698.41	3614.55	3372.43	7911.95	6381.92	358.54	441.64	583.07	120.1	146.03	780.44	279.14	1143.1	1322.37	417.77	684.02	255.0	934.76	115.16	339.14	312.0	624.99	1685.71	1733.13	1030.12
CR1L	0.0	0.0	679.29	1350.18	194.36	281.09	854.13	928.3	791.35	769.69	262.2	78.89	29.91	73.03	22.75	109.66	16.51	1167.14	909.17	13.72	6.31	61.68	141.02	30.56	1447.15	2.92	4.35	10.24	143.01	5.54	33.78	0.0	7.51	23.42	0.0	0.0	20.56	6.26	17.9	6.84	2.16	0.0	10.31	36.53	8.65	0.0
CRTC1	307.69	189.02	457.25	314.17	285.03	830.75	769.69	361.04	638.15	454.09	547.75	198.47	170.25	295.11	343.89	167.9	239.52	295.11	246.28	146.03	135.24	265.87	229.72	180.02	414.87	476.71	107.38	121.79	153.34	148.09	125.24	125.24	226.54	127.0	128.79	167.9	138.1	70.51	253.23	134.3	142.01	55.1	115.97	395.18	325.29	217.27
CSGALNACT1	287.01	75.11	283.05	267.73	775.05	1127.35	2367.9	921.88	785.88	1519.15	1417.35	108.9	142.01	532.74	327.56	171.45	353.59	1551.09	500.46	336.79	209.84	1923.14	305.55	368.65	1870.53	251.48	63.0	35.76	74.58	36.01	34.51	23.42	72.01	96.68	106.63	106.63	80.01	134.3	99.43	10.08	57.89	10.24	79.45	150.17	223.41	414.87
CYCS	3564.78	4802.93	12764.83	8191.0	13681.08	6164.49	6983.79	11424.74	9151.82	9088.59	9673.69	2720.15	2701.35	5255.91	6207.38	4607.24	5791.62	13399.51	10296.45	2240.11	1498.22	9606.86	4481.23	3303.0	10585.95	4268.94	723.08	1096.5	1225.22	902.89	1081.39	1857.6	1519.15	647.07	785.88	497.0	759.08	3540.14	1001.93	1963.57	1250.98	2209.26	974.5	1594.73	2451.44	3103.19
DBN1	995.0	486.75	2835.7	2739.08	4038.61	2119.22	2451.44	2555.58	3716.2	3491.39	3257.52	1467.37	403.5	2502.97	1295.13	769.69	1159.07	2664.15	1709.26	1088.92	954.43	2935.74	1322.37	954.43	3190.46	1551.09	46.18	57.89	171.45	17.77	65.72	21.47	447.82	102.97	94.67	46.5	45.53	194.36	175.07	31.22	101.54	36.53	50.98	769.69	1127.35	808.0
DDR1	1030.12	3491.39	4095.0	5995.9	3515.68	7130.55	13586.57	13492.72	6840.04	11992.79	10659.59	1832.01	1001.93	5147.73	2178.83	1583.71	2004.85	7537.18	5006.93	2148.82	665.29	11424.74	2335.28	2075.59	12764.83	3325.99	195.72	87.65	258.57	66.18	169.07	320.8	138.1	164.42	149.12	287.01	104.42	55.49	146.03	9.7	157.68	136.19	158.79	769.69	1388.16	1674.06
DHRS7	2148.82	1697.45	17078.76	13123.73	14361.31	15075.35	24153.43	19754.96	18819.27	33688.23	22692.63	2104.58	2367.9	2417.67	3716.2	4419.52	941.27	22225.61	17681.08	1023.0	1605.83	9808.75	2935.74	2319.15	23330.64	2178.83	1216.75	1529.73	1388.16	1151.06	1135.2	2004.85	1331.57	1127.35	1709.26	1769.57	1991.0	2119.22	1359.57	2004.85	988.12	1662.49	2075.59	1331.57	1685.71	4419.52
DUSP15	116.78	45.21	15607.02	2915.45	4358.66	8598.28	11584.24	5255.91	8538.88	6983.79	5831.91	532.74	1407.55	1605.83	158.79	4512.4	460.44	7537.18	6381.92	90.14	81.71	5479.15	1135.2	928.3	4937.99	473.41	6.31	4.7	7.0	34.02	8.71	2.18	8.06	8.65	28.24	11.04	8.0	24.11	23.76	0.15	14.78	0.72	33.78	71.0	312.0	89.51
ELAVL2	14.24	38.4	289.02	183.82	5.68	99.43	158.79	107.38	172.65	226.54	289.02	8.85	3.06	41.81	44.89	13.32	29.7	287.01	149.12	4.43	2.68	158.79	20.56	16.63	132.44	6.89	0.0	0.0	0.0	0.0	0.72	0.65	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	8.0	0.72	0.39
EPB41L4A-AS2	11.04	4.24	68.07	387.02	878.17	63.45	283.05	269.6	255.0	358.54	493.56	21.16	52.82	82.87	111.21	51.71	33.3	97.36	35.25	43.32	48.52	54.72	36.79	42.11	417.77	73.03	5.82	4.35	20.86	0.0	18.43	0.0	2.78	33.06	22.92	1.99	21.16	21.94	3.38	6.11	12.64	2.56	3.08	5.54	36.01	25.72
EPS8	1143.1	967.76	3124.78	4328.55	1322.37	3235.01	4358.66	2796.65	1806.78	2835.7	2816.11	1331.57	713.11	1477.58	708.18	1066.48	289.02	2047.0	2335.28	1457.23	723.08	4575.41	1407.55	1561.89	5594.3	764.36	237.86	450.94	665.29	318.57	229.72	161.02	332.14	454.09	476.71	343.89	332.14	500.46	343.89	303.44	267.73	70.51	450.94	373.81	507.46	587.13
ERP27	12.55	17.77	111.99	11664.82	2.94	8840.04	14561.8	21320.18	9606.86	6250.56	16269.83	2609.3	409.15	3081.75	195.72	884.29	3665.02	19754.96	8305.36	74.06	40.07	2047.0	796.86	819.3	17558.94	466.88	15.0	2.51	11.47	6.16	19.11	12.18	43.94	40.07	21.78	11.73	6.73	3.26	17.64	1.13	12.18	9.56	34.02	131.51	136.19	63.45
EVI5L	277.2	205.5	1037.29	497.0	813.63	1697.45	2758.13	693.58	1757.34	1457.23	1259.69	293.07	199.85	301.33	214.27	231.32	80.57	1277.29	279.14	116.78	129.69	1066.48	258.57	262.2	1143.1	215.77	43.94	52.08	89.51	75.64	72.52	45.21	105.15	50.63	90.77	40.93	63.89	85.22	123.5	78.89	82.29	30.12	74.58	224.97	343.89	178.77
FAM13C	356.05	81.14	842.36	220.32	110.43	518.15	638.15	490.14	457.25	753.83	638.15	68.07	73.54	147.06	176.29	209.84	14.35	587.13	1104.13	82.87	127.0	748.61	99.43	143.01	866.07	59.55	30.34	19.11	40.36	9.7	16.75	10.55	47.84	22.59	55.89	37.85	32.36	32.13	40.36	5.92	18.29	1.16	11.64	111.21	193.01	327.56
FAM155B	158.79	43.94	559.28	293.07	409.15	507.46	884.29	379.04	403.5	218.79	251.48	127.89	1.99	154.42	9.7	30.56	11.04	186.4	135.24	5.41	2.29	470.14	43.63	31.67	529.06	24.46	2.2	5.54	1.39	3.26	6.21	0.0	0.47	3.44	0.02	0.0	0.0	0.93	8.58	3.69	2.36	0.89	5.32	7.0	16.51	64.34
FAM174A	490.14	293.07	1008.9	1167.14	1651.0	808.0	1674.06	1651.0	1685.71	1277.29	1832.01	381.68	656.11	813.63	1030.12	684.02	599.49	1605.83	866.07	1001.93	660.68	1183.45	555.41	450.94	1259.69	587.13	358.54	376.41	262.2	234.57	414.87	476.71	500.46	271.48	400.71	218.79	358.54	603.67	262.2	486.75	312.0	575.03	320.8	212.78	346.29	555.41
FBXO10	92.05	82.29	339.14	314.17	128.79	56.68	229.72	150.17	242.88	295.11	178.77	92.7	58.3	128.79	64.34	83.45	68.55	197.09	110.43	45.53	67.12	152.28	115.16	92.7	162.14	59.97	81.14	57.49	53.19	63.0	52.45	39.22	56.68	69.52	60.39	58.3	90.14	37.32	76.71	24.63	48.87	26.67	54.72	162.14	90.77	45.53
FYCO1	438.59	275.28	603.67	1277.29	612.11	848.22	607.87	1135.2	1023.0	764.36	1167.14	332.14	242.88	366.09	603.67	159.9	312.0	1015.93	616.37	224.97	157.68	866.07	336.79	371.22	1769.57	379.04	293.07	177.53	149.12	228.13	185.11	164.42	155.5	215.77	152.28	153.34	163.28	77.79	148.09	96.68	94.01	57.08	180.02	830.75	642.59	470.14
GAS6	3847.29	5479.15	8718.32	11424.74	6561.36	6516.03	9409.14	4181.07	6207.38	18689.27	8598.28	3103.19	6516.03	3928.15	6294.04	4639.29	10296.45	19482.97	5791.62	2018.8	1199.98	9215.48	2664.15	2384.37	16843.62	2895.31	1594.73	947.83	693.58	651.58	1745.2	1051.79	2319.15	1417.35	753.83	417.77	2875.3	3303.0	4066.71	738.29	293.07	1477.58	429.54	2758.13	3742.05	3639.7
GBAS	1111.82	1096.5	3018.3	3419.52	2591.27	3349.13	4181.07	4869.99	2485.67	3395.89	3443.31	1081.39	1977.24	2255.7	6337.83	1674.06	954.43	3690.52	4836.35	1104.13	785.88	4736.79	1639.59	1605.83	4152.18	1457.23	144.01	277.2	420.68	299.25	165.57	125.24	426.57	332.14	323.03	139.07	145.02	303.44	373.81	158.79	287.01	84.63	339.14	1457.23	1259.69	1561.89
GLTP	1127.35	1295.13	5006.93	4010.71	2835.7	6381.92	7695.57	4210.15	4639.29	6337.83	4869.99	1322.37	1477.58	2178.83	5366.37	2240.11	1259.69	5995.9	3955.48	1313.23	1143.1	5555.65	1605.83	1369.04	4388.98	2451.44	182.55	221.86	193.01	181.28	169.07	223.41	334.46	171.45	246.28	129.69	187.71	273.37	195.72	289.02	277.2	148.09	159.9	638.15	961.07	723.08
GNA11	1572.76	2468.49	3349.13	1605.83	2303.12	6079.61	4419.52	1977.24	3820.7	2976.74	3768.09	1397.83	525.39	1529.73	1208.34	620.67	1104.13	2178.83	1350.18	629.35	473.41	2148.82	1111.82	1350.18	3614.55	1119.56	343.89	267.73	283.05	262.2	559.28	435.55	473.41	392.44	327.56	303.44	389.72	332.14	536.45	351.14	559.28	363.56	353.59	1073.91	1806.78	915.51
GPD1L	656.11	1096.5	525.39	1572.76	500.46	2609.3	3039.3	1407.55	3257.52	2997.45	3303.0	500.46	954.43	1427.22	738.29	1617.0	212.78	2148.82	1977.24	159.9	92.7	2645.74	1143.1	1088.92	3280.18	764.36	28.65	15.8	70.01	14.89	7.88	21.16	48.18	63.89	43.94	23.42	13.22	57.89	46.5	16.63	44.57	51.35	36.79	361.04	693.58	728.11
GPR56	743.43	1662.49	17558.94	9740.98	37901.36	13123.73	19082.0	9945.68	14461.21	19214.73	13123.73	9945.68	2417.67	11992.79	1135.2	3716.2	3235.01	11992.79	3820.7	2976.74	5872.48	15934.98	6164.49	5995.9	13033.07	4123.49	39.79	21.01	466.88	72.52	82.29	115.16	406.31	109.66	177.53	193.01	94.67	191.67	182.55	11.38	47.17	42.71	122.64	457.25	1059.11	1127.35
GPRIN3	64.34	105.15	320.8	228.13	98.04	87.03	381.68	361.04	171.45	329.84	384.34	133.36	111.21	264.03	64.34	82.87	161.02	198.47	368.65	105.89	81.71	483.38	205.5	205.5	438.59	117.6	13.72	45.85	51.71	18.84	12.74	32.13	21.94	11.21	21.01	22.26	12.64	25.91	10.63	4.1	6.78	23.08	8.13	105.89	76.71	36.01
GS1-259H13.10	21.47	19.11	99.43	18.03	7.51	57.08	77.25	33.3	96.01	81.71	42.11	35.5	0.0	52.08	21.94	38.67	0.0	107.38	57.08	10.96	0.0	65.72	19.39	33.78	60.82	45.53	0.0	3.56	0.0	8.38	0.0	0.0	5.45	6.06	28.65	0.0	0.0	7.51	0.0	0.0	0.0	0.0	0.0	6.06	0.0	16.15
IDH3A	1199.98	1896.65	3742.05	3443.31	4268.94	1883.54	4512.4	3235.01	3124.78	3303.0	2956.17	1322.37	665.29	1617.0	961.07	660.68	2555.58	4972.34	3901.01	878.17	571.05	5633.22	1685.71	1388.16	4937.99	1233.75	353.59	348.71	563.18	289.02	334.46	759.08	417.77	435.55	281.09	480.04	307.69	890.44	361.04	629.35	647.07	825.0	438.59	860.08	1127.35	796.86
ILDR1	43.32	351.14	1059.11	616.37	346.29	559.28	1268.46	679.29	928.3	915.51	595.34	173.85	96.68	743.43	435.55	334.46	127.0	733.19	842.36	120.1	43.63	400.71	325.29	234.57	669.92	559.28	1.73	10.31	52.82	12.27	2.36	32.59	2.58	7.88	14.67	1.31	1.22	1.2	7.28	6.52	0.37	5.02	1.71	26.1	47.5	7.63
INPP5J	155.5	651.58	3443.31	3060.45	4210.15	7130.55	12853.63	8901.53	10959.3	13776.25	9474.59	1819.35	3303.0	3018.3	1936.53	6935.54	1051.79	9215.48	4239.45	18.03	10.96	13586.57	947.83	848.22	12076.21	1143.1	4.58	1.45	16.39	10.96	5.45	18.43	9.34	3.14	18.97	2.16	4.31	5.32	4.86	2.97	1.3	8.06	2.81	101.54	164.42	336.79
ITGA6	1857.6	1806.78	2609.3	4575.41	3690.52	1605.83	3847.29	1963.57	1540.37	2997.45	2004.85	1806.78	866.07	1769.57	775.05	954.43	1467.37	1857.6	3665.02	884.29	808.0	4123.49	1359.57	1378.57	3614.55	854.13	90.77	88.88	115.97	120.1	101.54	84.63	101.54	100.13	102.25	127.0	81.14	154.42	90.14	104.42	94.01	44.25	74.58	665.29	738.29	860.08
ITPK1	2271.4	1467.37	3235.01	1023.0	1844.76	5329.3	5441.3	4388.98	5006.93	5255.91	4450.27	854.13	785.88	1721.16	1088.92	1111.82	540.19	3303.0	1733.13	753.83	796.86	3103.19	1151.06	1268.46	4152.18	1662.49	848.22	1081.39	503.95	728.11	1277.29	738.29	2032.85	638.15	1059.11	866.07	860.08	414.87	830.75	1030.12	403.5	511.0	1159.07	947.83	1286.18	1030.12
JMJD7	208.38	248.0	603.67	518.15	414.87	540.19	591.22	435.55	616.37	647.07	583.07	111.21	125.24	271.48	323.03	251.48	123.5	693.58	486.75	161.02	154.42	273.37	215.77	186.4	493.56	303.44	117.6	133.36	260.38	63.0	122.64	164.42	101.54	176.29	81.14	193.01	110.43	122.64	102.25	113.56	134.3	116.78	83.45	132.44	215.77	285.03
KATNAL2	43.94	80.01	928.3	579.04	802.41	713.11	802.41	802.41	896.64	848.22	738.29	329.84	204.07	293.07	603.67	441.64	197.09	1457.23	536.45	102.97	63.45	738.29	215.77	239.52	890.44	224.97	87.65	77.79	187.71	78.89	78.34	15.8	97.36	153.34	164.42	31.22	83.45	124.37	152.28	59.13	87.65	23.42	129.69	61.25	59.97	96.68
