	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9V1.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.PX3G.0826.SM.48TZS	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.6452.01A.12R.1802.13	TCGA.CG.4438.01A.01R.1157.13	TCGA.BR.A452.01A.91R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.CG.4469.01A.01R.1157.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.4371.01A.01R.1157.13	TCGA.HF.A5NB.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.4369.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.BR.8484.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CG.4306.01A.01R.1157.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.BR.4363.01A.01R.1157.13	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.SNOS.0826.SM.4DM5N	GTEX.PWCY.0926.SM.48TD7	GTEX.145MN.1326.SM.5NQ9S	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.UJMC.1226.SM.4IHLI
BDP1	84.63	633.73	457.25	540.19	642.59	674.59	536.45	674.59	500.46	83.45	221.86	172.65	224.97	295.11	166.73	125.24	209.84	248.0	215.77	116.78	199.85	191.67	175.07	220.32	100.13	189.02	220.32	128.79	22.92	69.03	41.52	82.87	69.52	67.59	23.42	69.52	30.78	55.1	226.54	157.68	214.27	74.06	189.02	279.14	343.89	287.01	303.44	175.07	314.17	476.71	269.6	120.94	366.09	255.0	414.87	264.03	253.23	279.14	193.01	293.07	366.09	251.48	138.1	318.57	267.73	327.56	236.21	95.34	94.67	120.1	191.67	214.27	146.03	137.14	127.89	138.1	88.88	111.21	105.15	67.59	137.14
CAPRIN1	1540.37	4095.0	3716.2	5183.54	3768.09	4181.07	3690.52	6121.9	6935.54	3212.66	2335.28	2178.83	3018.3	1896.65	1561.89	1806.78	2537.92	2537.92	2255.7	2303.12	1991.0	2434.5	1359.57	2384.37	2537.92	1757.34	2119.22	1457.23	808.0	947.83	764.36	669.92	629.35	638.15	656.11	624.99	915.51	460.44	2047.0	2287.2	2240.11	1259.69	3235.01	4512.4	3124.78	1781.89	2090.03	2047.0	2609.3	3443.31	3039.3	1662.49	3639.7	2895.31	3955.48	2739.08	2976.74	4181.07	2701.35	2758.13	3491.39	2701.35	1487.87	3081.75	1883.54	3955.48	3443.31	2351.53	1023.0	2032.85	1277.29	1639.59	1295.13	1508.65	1844.76	1991.0	2047.0	1477.58	1561.89	1059.11	1225.22
CASP8	260.38	854.13	642.59	536.45	540.19	624.99	438.59	490.14	1073.91	529.06	624.99	409.15	447.82	363.56	289.02	480.04	163.28	327.56	698.41	733.19	543.96	420.68	896.64	718.08	587.13	1104.13	624.99	796.86	323.03	289.02	153.34	151.22	185.11	120.94	186.4	144.01	351.14	92.05	217.27	583.07	224.97	525.39	555.41	759.08	507.46	896.64	507.46	503.95	698.41	961.07	698.41	480.04	842.36	587.13	713.11	420.68	1119.56	1051.79	1008.9	521.76	660.68	332.14	423.61	642.59	486.75	713.11	656.11	339.14	244.57	629.35	483.38	279.14	373.81	438.59	447.82	457.25	629.35	483.38	521.76	395.18	368.65
CCNJ	55.49	87.65	129.69	135.24	212.78	189.02	141.02	128.79	75.64	40.93	67.12	87.65	111.99	59.13	74.58	43.32	68.07	133.36	122.64	87.65	101.54	90.14	90.77	105.89	99.43	93.35	78.34	75.64	21.01	29.91	13.12	16.03	26.1	8.78	8.0	18.97	19.11	4.21	69.52	87.03	67.59	32.13	181.28	182.55	208.38	59.97	61.68	102.25	94.67	208.38	150.17	60.39	217.27	81.71	167.9	129.69	79.45	215.77	125.24	94.01	234.57	88.88	62.12	139.07	96.01	185.11	98.73	88.26	34.02	48.52	82.29	61.25	53.57	68.07	38.12	38.12	57.49	33.78	41.52	33.3	46.84
CCNT1	88.88	536.45	258.57	297.17	579.04	595.34	414.87	555.41	320.8	149.12	140.04	167.9	253.23	171.45	162.14	155.5	194.36	249.73	163.28	201.25	249.73	201.25	198.47	197.09	134.3	175.07	158.79	178.77	41.22	76.71	36.01	59.55	66.65	80.01	38.67	62.56	50.27	59.13	158.79	190.34	194.36	92.05	234.57	395.18	251.48	118.43	181.28	108.9	258.57	343.89	201.25	141.02	351.14	241.19	356.05	262.2	87.65	389.72	201.25	265.87	231.32	231.32	70.01	343.89	134.3	356.05	283.05	157.68	96.68	158.79	197.09	171.45	139.07	142.01	163.28	175.07	107.38	116.78	121.79	117.6	128.79
CDC23	241.19	743.43	500.46	723.08	723.08	813.63	633.73	854.13	651.58	358.54	473.41	403.5	329.84	457.25	387.02	423.61	457.25	414.87	414.87	414.87	529.06	529.06	336.79	470.14	406.31	381.68	397.93	289.02	307.69	253.23	295.11	212.78	183.82	193.01	208.38	212.78	373.81	142.01	332.14	384.34	414.87	239.52	529.06	507.46	543.96	400.71	429.54	327.56	351.14	571.05	503.95	220.32	540.19	507.46	713.11	381.68	429.54	791.35	409.15	457.25	555.41	318.57	389.72	607.87	587.13	651.58	543.96	463.65	162.14	356.05	221.86	285.03	348.71	470.14	269.6	323.03	258.57	346.29	329.84	177.53	229.72
CHD1	162.14	1594.73	947.83	1001.93	1143.1	1639.59	1340.84	860.08	974.5	251.48	264.03	406.31	529.06	500.46	444.72	334.46	616.37	808.0	642.59	332.14	595.34	567.1	518.15	656.11	229.72	480.04	532.74	603.67	31.45	202.66	107.38	215.77	258.57	269.6	48.87	244.57	165.57	277.2	432.53	281.09	334.46	186.4	420.68	854.13	656.11	647.07	199.85	532.74	607.87	830.75	532.74	293.07	825.0	511.0	507.46	603.67	532.74	872.1	679.29	674.59	791.35	532.74	318.57	1015.93	579.04	713.11	579.04	186.4	371.22	412.0	785.88	432.53	376.41	366.09	277.2	463.65	325.29	366.09	253.23	429.54	253.23
COPS8	476.71	1651.0	1883.54	2271.4	1378.57	1340.84	1697.45	2163.77	2287.2	232.94	775.05	890.44	1066.48	830.75	791.35	842.36	656.11	830.75	848.22	1030.12	974.5	753.83	1081.39	802.41	796.86	1135.2	909.17	743.43	947.83	603.67	312.0	426.57	490.14	444.72	480.04	507.46	403.5	376.41	665.29	743.43	808.0	647.07	878.17	1605.83	1159.07	902.89	967.76	1340.84	915.51	1135.2	995.0	808.0	974.5	703.28	896.64	902.89	1359.57	2682.69	1088.92	921.88	961.07	454.09	915.51	1447.15	961.07	1313.23	995.0	1001.93	607.87	808.0	1008.9	764.36	733.19	743.43	866.07	759.08	693.58	698.41	791.35	748.61	607.87
CTCF	417.77	775.05	947.83	703.28	718.08	974.5	878.17	1397.83	954.43	559.28	651.58	591.22	836.53	463.65	551.56	575.03	473.41	493.56	629.35	540.19	417.77	525.39	563.18	559.28	409.15	633.73	507.46	450.94	256.78	299.25	255.0	334.46	234.57	231.32	234.57	241.19	299.25	159.9	540.19	547.75	579.04	312.0	769.69	1037.29	896.64	438.59	511.0	441.64	559.28	848.22	607.87	457.25	748.61	595.34	551.56	785.88	329.84	808.0	723.08	665.29	679.29	493.56	376.41	954.43	423.61	830.75	441.64	514.56	327.56	603.67	423.61	466.88	457.25	543.96	454.09	470.14	476.71	612.11	454.09	463.65	409.15
CTDSPL2	123.5	718.08	723.08	612.11	665.29	808.0	616.37	1059.11	660.68	137.14	131.51	218.79	346.29	301.33	267.73	126.12	80.57	105.89	183.82	320.8	211.31	214.27	269.6	289.02	223.41	232.94	275.28	214.27	24.46	67.59	54.33	69.52	73.54	56.28	37.59	53.95	49.91	49.21	293.07	361.04	693.58	169.07	287.01	417.77	406.31	339.14	279.14	264.03	343.89	500.46	384.34	134.3	511.0	293.07	447.82	412.0	323.03	466.88	332.14	392.44	348.71	206.94	120.94	563.18	314.17	595.34	379.04	167.9	91.41	195.72	142.01	187.71	177.53	329.84	162.14	287.01	164.42	232.94	149.12	116.78	169.07
DDX20	108.14	373.81	323.03	265.87	323.03	334.46	301.33	426.57	242.88	73.54	105.89	142.01	178.77	147.06	133.36	173.85	226.54	166.73	162.14	251.48	239.52	167.9	223.41	152.28	281.09	232.94	112.77	124.37	41.81	92.05	73.54	47.5	71.5	46.5	32.82	44.25	71.5	15.45	90.14	176.29	142.01	107.38	205.5	169.07	236.21	158.79	122.64	117.6	206.94	223.41	249.73	60.39	253.23	138.1	231.32	185.11	131.51	194.36	228.13	156.59	262.2	155.5	107.38	190.34	126.12	215.77	202.66	163.28	44.25	116.78	127.0	101.54	100.13	140.04	100.13	132.44	102.25	115.97	127.0	69.52	71.5
DDX46	305.55	1073.91	1066.48	679.29	1208.34	961.07	713.11	1208.34	785.88	346.29	525.39	414.87	555.41	532.74	647.07	567.1	540.19	738.29	607.87	470.14	708.18	684.02	559.28	878.17	379.04	665.29	583.07	403.5	98.73	204.07	189.02	199.85	248.0	206.94	126.12	271.48	251.48	116.78	620.67	733.19	988.12	348.71	651.58	836.53	878.17	1175.27	540.19	532.74	684.02	764.36	791.35	450.94	791.35	878.17	769.69	981.29	620.67	1037.29	921.88	902.89	896.64	866.07	728.11	698.41	1030.12	796.86	884.29	629.35	432.53	547.75	563.18	624.99	555.41	718.08	633.73	575.03	693.58	551.56	571.05	332.14	529.06
DHX29	149.12	579.04	612.11	921.88	728.11	656.11	629.35	1397.83	802.41	327.56	381.68	186.4	336.79	204.07	154.42	190.34	318.57	299.25	291.04	183.82	264.03	343.89	204.07	255.0	186.4	171.45	307.69	175.07	68.07	221.86	148.09	158.79	151.22	165.57	89.51	189.02	155.5	141.02	283.05	323.03	406.31	102.25	299.25	318.57	325.29	299.25	185.11	297.17	363.56	426.57	332.14	187.71	395.18	297.17	429.54	371.22	275.28	343.89	248.0	358.54	450.94	323.03	133.36	339.14	177.53	454.09	273.37	146.03	132.44	277.2	251.48	305.55	209.84	223.41	307.69	199.85	312.0	193.01	363.56	170.25	183.82
DIMT1	269.6	665.29	514.56	753.83	679.29	1044.52	848.22	656.11	620.67	466.88	543.96	748.61	607.87	514.56	281.09	256.78	629.35	674.59	403.5	395.18	536.45	486.75	457.25	679.29	460.44	651.58	511.0	320.8	226.54	229.72	112.77	130.6	175.07	130.6	121.79	144.01	129.69	117.6	743.43	457.25	536.45	231.32	454.09	684.02	525.39	248.0	241.19	447.82	392.44	612.11	483.38	275.28	669.92	332.14	529.06	414.87	612.11	599.49	232.94	400.71	559.28	412.0	400.71	723.08	241.19	480.04	262.2	214.27	255.0	358.54	511.0	353.59	244.57	346.29	339.14	285.03	366.09	314.17	346.29	271.48	273.37
DMTF1	285.03	1397.83	842.36	961.07	1159.07	1662.49	1001.93	1551.09	698.41	271.48	587.13	921.88	878.17	325.29	665.29	698.41	532.74	1295.13	713.11	954.43	1378.57	1697.45	1697.45	1286.18	842.36	842.36	878.17	1030.12	39.22	239.52	346.29	253.23	170.25	167.9	31.22	133.36	114.36	49.56	381.68	273.37	346.29	397.93	409.15	915.51	830.75	679.29	423.61	392.44	1073.91	1870.53	559.28	314.17	1388.16	543.96	825.0	872.1	473.41	1407.55	1268.46	915.51	1037.29	854.13	457.25	981.29	2627.46	1304.15	819.3	157.68	197.09	327.56	543.96	414.87	629.35	1037.29	295.11	660.68	336.79	460.44	473.41	241.19	457.25
ENOX2	90.14	249.73	170.25	176.29	167.9	211.31	194.36	540.19	223.41	65.72	152.28	166.73	181.28	103.69	78.34	133.36	117.6	110.43	132.44	165.57	118.43	154.42	148.09	211.31	120.1	173.85	121.79	126.12	34.51	76.17	97.36	50.27	36.53	49.21	21.63	85.82	73.03	66.18	140.04	142.01	202.66	63.45	122.64	208.38	120.1	121.79	132.44	103.69	229.72	476.71	131.51	129.69	234.57	102.25	176.29	164.42	76.71	191.67	163.28	232.94	183.82	194.36	108.14	140.04	70.51	303.44	143.01	152.28	52.08	147.06	81.14	124.37	106.63	106.63	151.22	114.36	111.99	119.26	104.42	100.13	102.25
FAM49B	551.56	2303.12	1447.15	2193.99	1073.91	1286.18	1359.57	753.83	1950.0	1331.57	819.3	480.04	447.82	647.07	854.13	860.08	473.41	775.05	928.3	708.18	1909.85	860.08	941.27	1709.26	748.61	1037.29	1286.18	1008.9	629.35	743.43	660.68	199.85	381.68	209.84	214.27	273.37	289.02	185.11	1059.11	1427.22	967.76	1331.57	1417.35	2485.67	1277.29	1081.39	896.64	1487.87	1457.23	1757.34	1175.27	1023.0	1870.53	1397.83	1896.65	941.27	1721.16	1674.06	1313.23	1277.29	1572.76	1331.57	753.83	1369.04	1104.13	2384.37	698.41	802.41	656.11	2018.8	764.36	518.15	620.67	1015.93	1119.56	1143.1	1268.46	1175.27	896.64	555.41	463.65
FBXO11	521.76	1081.39	1051.79	1015.93	1151.06	1242.34	1268.46	1757.34	1119.56	409.15	518.15	551.56	780.44	493.56	358.54	518.15	358.54	435.55	457.25	647.07	679.29	616.37	842.36	825.0	438.59	693.58	769.69	599.49	153.34	275.28	187.71	273.37	316.37	256.78	119.26	239.52	293.07	153.34	540.19	647.07	607.87	336.79	483.38	759.08	555.41	559.28	348.71	525.39	743.43	785.88	457.25	361.04	819.3	591.22	503.95	909.17	591.22	791.35	698.41	651.58	651.58	567.1	303.44	780.44	543.96	872.1	612.11	351.14	316.37	500.46	480.04	397.93	441.64	620.67	412.0	514.56	480.04	476.71	409.15	291.04	327.56
FCF1	371.22	1143.1	1304.15	1487.87	1030.12	1437.15	1359.57	1936.53	1519.15	497.0	607.87	450.94	872.1	351.14	511.0	633.73	563.18	339.14	514.56	417.77	507.46	769.69	607.87	547.75	529.06	759.08	612.11	599.49	285.03	260.38	218.79	291.04	239.52	269.6	271.48	305.55	309.83	307.69	571.05	791.35	753.83	409.15	651.58	647.07	679.29	854.13	684.02	669.92	551.56	981.29	323.03	406.31	954.43	567.1	603.67	567.1	708.18	890.44	525.39	563.18	426.57	450.94	624.99	753.83	532.74	995.0	587.13	271.48	403.5	536.45	454.09	497.0	529.06	454.09	521.76	420.68	480.04	591.22	497.0	346.29	432.53
FDXACB1	34.51	133.36	90.77	255.0	80.01	78.89	85.22	141.02	63.45	32.13	81.71	59.13	74.58	23.08	37.05	27.64	15.56	28.45	34.75	16.03	35.5	38.12	33.54	41.81	19.82	54.33	22.92	53.95	29.7	31.45	24.11	33.3	34.75	29.27	26.86	26.86	40.07	9.63	43.94	38.12	32.82	23.93	76.71	63.45	82.87	36.01	54.72	29.91	48.18	55.89	22.59	18.7	100.83	46.18	49.56	47.5	127.89	109.66	48.18	56.68	71.5	27.05	24.11	48.18	57.08	45.21	62.56	29.7	21.16	48.87	31.22	54.72	44.25	41.81	42.11	22.75	35.0	40.93	35.5	23.93	27.84
