	GTEX.1497J.2126.SM.5NQB8	GTEX.111CU.0826.SM.5EGIJ	GTEX.XGQ4.1626.SM.4AT6J	GTEX.13O61.1226.SM.5KM21	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYY3.1626.SM.5EGJF	GTEX.S95S.0326.SM.4B66U	TCGA.CN.4726.01A.01R.1436.07	GTEX.ZQG8.2126.SM.4YCF1	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.11NUK.2426.SM.5BC4U	GTEX.S95S.0826.SM.4B64N	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3
APBB3	1216.75	842.36	1313.23	854.13	1467.37	967.76	1437.15	1540.37	647.07	90.77	29.7	409.15	277.2	679.29	293.07	277.2	137.14	127.0	258.57	201.25	176.29	163.28	275.28	218.79	454.09	125.24	193.01
BACE1	490.14	521.76	483.38	473.41	426.57	555.41	620.67	403.5	511.0	149.12	417.77	423.61	251.48	454.09	341.51	271.48	73.54	212.78	226.54	181.28	148.09	194.36	155.5	58.71	246.28	61.25	92.05
BBS4	620.67	406.31	536.45	432.53	651.58	483.38	547.75	647.07	381.68	88.26	78.89	547.75	253.23	389.72	237.86	339.14	140.04	195.72	226.54	214.27	363.56	244.57	346.29	106.63	336.79	138.1	120.1
BZRAP1	684.02	780.44	1674.06	825.0	1950.0	1073.91	2796.65	1561.89	703.28	2.36	2.39	199.85	255.0	612.11	264.03	171.45	33.78	81.14	180.02	166.73	72.52	144.01	251.48	33.3	532.74	81.14	54.33
C19orf44	182.55	183.82	211.31	130.6	267.73	154.42	206.94	202.66	187.71	12.09	27.84	88.26	86.43	206.94	101.54	75.11	33.06	65.72	77.79	72.01	67.59	72.01	60.82	53.95	97.36	34.26	50.63
CACTIN	540.19	688.78	603.67	460.44	703.28	638.15	669.92	595.34	563.18	157.68	134.3	224.97	392.44	521.76	395.18	336.79	307.69	329.84	414.87	420.68	142.01	293.07	223.41	82.29	343.89	135.24	151.22
CAPN3	583.07	305.55	551.56	358.54	896.64	441.64	796.86	1051.79	353.59	24.99	24.99	170.25	37.59	102.97	52.08	35.0	17.0	32.36	81.71	36.79	38.4	18.43	42.71	11.47	164.42	34.26	21.94
CAPRIN2	555.41	497.0	638.15	503.95	642.59	540.19	674.59	669.92	473.41	149.12	15.8	297.17	156.59	327.56	122.64	122.64	81.71	81.14	154.42	104.42	114.36	136.19	195.72	83.45	353.59	62.56	100.13
CARF	185.11	159.9	161.02	124.37	186.4	172.65	167.9	202.66	115.16	19.68	24.28	157.68	71.0	151.22	87.65	50.63	31.0	43.02	54.33	44.89	100.13	75.11	144.01	25.54	92.7	40.93	31.0
CCDC130	1697.45	1407.55	1733.13	1322.37	1757.34	1250.98	1529.73	1498.22	1111.82	325.29	100.13	629.35	693.58	1001.93	583.07	503.95	616.37	412.0	748.61	624.99	376.41	483.38	679.29	543.96	647.07	460.44	400.71
CDK3	249.73	133.36	218.79	98.73	202.66	157.68	228.13	246.28	169.07	9.63	5.36	161.02	88.88	100.83	75.11	70.01	23.42	34.02	56.68	32.82	55.89	26.1	96.01	35.76	88.88	48.52	64.8
CLK2	1857.6	1286.18	1991.0	1127.35	2193.99	1651.0	1457.23	2271.4	1143.1	346.29	141.02	1159.07	743.43	808.0	607.87	624.99	450.94	412.0	665.29	567.1	450.94	476.71	802.41	158.79	748.61	438.59	406.31
CMTR1	733.19	693.58	808.0	769.69	860.08	836.53	909.17	836.53	684.02	323.03	152.28	518.15	532.74	733.19	607.87	476.71	291.04	473.41	514.56	423.61	221.86	441.64	454.09	193.01	389.72	348.71	164.42
CTC1	890.44	708.18	1208.34	813.63	1359.57	1159.07	890.44	988.12	791.35	145.02	60.82	543.96	339.14	698.41	497.0	409.15	169.07	339.14	454.09	460.44	100.13	341.51	295.11	190.34	339.14	503.95	341.51
DCAF8	2997.45	2997.45	4095.0	3395.89	3515.68	4328.55	3443.31	3190.46	3124.78	1001.93	507.46	2434.5	1498.22	2367.9	1662.49	1508.65	878.17	1286.18	1322.37	1167.14	791.35	1037.29	1583.71	896.64	1594.73	1250.98	698.41
DDX17	10512.82	8247.98	13968.57	10733.74	14065.74	11424.74	12244.81	12502.12	8658.09	2209.26	995.0	6840.04	3589.58	7032.37	4671.57	3820.7	2645.74	3901.01	3874.05	3146.52	2224.63	2148.82	4972.34	2855.44	4239.45	2502.97	3419.52
DGCR8	525.39	551.56	743.43	536.45	909.17	748.61	902.89	791.35	603.67	142.01	99.43	514.56	412.0	429.54	406.31	351.14	172.65	248.0	406.31	301.33	145.02	195.72	358.54	92.05	329.84	163.28	202.66
DPH1	1183.45	1167.14	1388.16	1044.52	1651.0	1407.55	1769.57	1662.49	1199.98	295.11	153.34	629.35	723.08	1151.06	679.29	647.07	551.56	503.95	633.73	764.36	460.44	583.07	457.25	392.44	775.05	325.29	384.34
DPH7	1008.9	759.08	1081.39	708.18	1313.23	1008.9	1519.15	1250.98	743.43	193.01	67.12	497.0	507.46	575.03	384.34	351.14	198.47	351.14	409.15	343.89	323.03	305.55	414.87	112.77	400.71	281.09	194.36
DVL2	656.11	791.35	988.12	559.28	1081.39	759.08	1388.16	791.35	563.18	327.56	201.25	368.65	493.56	693.58	432.53	341.51	187.71	289.02	463.65	318.57	172.65	193.01	500.46	128.79	361.04	376.41	221.86
EEF2K	1044.52	1051.79	848.22	536.45	703.28	624.99	612.11	559.28	698.41	124.37	176.29	438.59	441.64	559.28	536.45	460.44	151.22	341.51	400.71	197.09	105.89	358.54	358.54	171.45	361.04	190.34	169.07
ENOSF1	1551.09	1529.73	2032.85	1407.55	2816.11	2351.53	2555.58	2485.67	1572.76	249.73	157.68	1769.57	878.17	1199.98	444.72	836.53	483.38	1081.39	607.87	656.11	1268.46	373.81	420.68	454.09	1051.79	376.41	500.46
FAM160B2	2224.63	1745.2	2193.99	1529.73	3103.19	2224.63	3018.3	3146.52	1909.85	120.94	115.97	878.17	791.35	1225.22	1199.98	961.07	638.15	629.35	1081.39	769.69	194.36	571.05	1268.46	674.59	1119.56	473.41	796.86
FAM193B	2875.3	1508.65	2682.69	2075.59	4010.71	2148.82	3349.13	3395.89	1594.73	244.57	93.35	860.08	718.08	1088.92	525.39	612.11	500.46	450.94	1051.79	684.02	417.77	392.44	890.44	432.53	1059.11	620.67	698.41
FAM21C	674.59	684.02	785.88	486.75	624.99	713.11	571.05	688.78	525.39	84.63	239.52	759.08	435.55	511.0	429.54	312.0	98.73	358.54	323.03	253.23	126.12	173.85	486.75	96.01	327.56	100.83	137.14
GAS6	3419.52	4769.75	3018.3	4010.71	5006.93	4869.99	12415.75	7966.99	5329.3	1044.52	718.08	2816.11	2032.85	3168.41	1594.73	1697.45	1709.26	1769.57	1844.76	2133.97	1378.57	1583.71	2816.11	638.15	5872.48	384.34	1151.06
GIGYF1	866.07	748.61	1417.35	698.41	1225.22	1037.29	748.61	954.43	633.73	69.03	43.02	314.17	299.25	532.74	397.93	312.0	142.01	241.19	339.14	289.02	59.97	194.36	256.78	114.36	346.29	100.83	114.36
GKN1	121.79	9151.82	122.64	80683.28	102.25	31.22	0.0	0.0	280957.98	0.0	1.28	751804.53	985160.01	229795.93	1255646.43	1273174.62	687022.54	492579.5	535303.41	1838374.44	4987895.16	1116072.03	585779.24	459592.86	602247.76	506427.83	721179.07
GOLGA1	381.68	339.14	395.18	316.37	329.84	373.81	500.46	414.87	363.56	90.14	178.77	403.5	249.73	301.33	275.28	253.23	165.57	223.41	256.78	164.42	105.89	183.82	281.09	95.34	289.02	185.11	96.68
HDAC6	1909.85	1883.54	3491.39	1844.76	3146.52	2351.53	3168.41	2502.97	1819.35	332.14	336.79	981.29	896.64	1104.13	842.36	769.69	854.13	842.36	802.41	819.3	339.14	1081.39	848.22	397.93	830.75	656.11	629.35
IKBKG	836.53	915.51	1088.92	1037.29	813.63	872.1	1037.29	981.29	808.0	435.55	283.05	476.71	703.28	587.13	607.87	532.74	555.41	457.25	738.29	612.11	289.02	599.49	460.44	343.89	669.92	258.57	371.22
INTS3	1721.16	1073.91	2090.03	1519.15	2609.3	1977.24	2915.45	2384.37	1407.55	186.4	267.73	884.29	808.0	1331.57	703.28	638.15	403.5	486.75	890.44	543.96	175.07	460.44	733.19	241.19	780.44	373.81	543.96
JMJD7-PLA2G4B	144.01	159.9	253.23	128.79	379.04	189.02	228.13	255.0	145.02	84.63	8.45	89.51	20.71	107.38	33.54	22.92	8.92	26.28	33.06	24.46	6.21	24.28	45.53	11.47	80.57	34.26	32.36
KAT2A	1477.58	967.76	1529.73	941.27	2451.44	1457.23	2537.92	2451.44	1127.35	195.72	198.47	674.59	629.35	748.61	503.95	460.44	371.22	429.54	500.46	454.09	241.19	348.71	435.55	236.21	571.05	307.69	412.0
KRI1	718.08	698.41	638.15	389.72	819.3	633.73	466.88	579.04	656.11	262.2	151.22	373.81	366.09	532.74	376.41	299.25	173.85	229.72	305.55	299.25	115.16	244.57	316.37	120.94	320.8	162.14	120.1
L3HYPDH	665.29	480.04	563.18	629.35	414.87	555.41	693.58	753.83	417.77	241.19	34.75	486.75	119.26	246.28	172.65	163.28	62.12	55.89	115.97	125.24	206.94	114.36	164.42	36.53	206.94	75.11	69.03
L3MBTL1	289.02	307.69	476.71	197.09	703.28	559.28	698.41	400.71	327.56	20.11	1.07	176.29	67.59	228.13	109.66	40.93	25.72	34.75	88.26	74.06	32.13	47.17	175.07	16.39	147.06	40.36	34.26
LZTR1	1447.15	1369.04	1572.76	1250.98	2627.46	1662.49	1794.29	2255.7	1467.37	397.93	151.22	723.08	599.49	995.0	679.29	486.75	291.04	403.5	559.28	490.14	130.6	348.71	575.03	147.06	441.64	384.34	412.0
MAP2K7	688.78	808.0	884.29	785.88	915.51	1023.0	796.86	802.41	728.11	309.83	157.68	325.29	507.46	651.58	612.11	525.39	438.59	476.71	591.22	486.75	248.0	435.55	438.59	305.55	540.19	351.14	656.11
METTL3	1111.82	769.69	1250.98	872.1	1277.29	1104.13	1477.58	1540.37	825.0	353.59	135.24	813.63	540.19	587.13	423.61	409.15	269.6	346.29	423.61	358.54	460.44	366.09	457.25	167.9	420.68	389.72	334.46
MTA1	2090.03	1896.65	2537.92	1697.45	2468.49	1896.65	2875.3	2664.15	1769.57	253.23	182.55	1073.91	954.43	1551.09	1073.91	1044.52	764.36	743.43	1066.48	1037.29	473.41	759.08	642.59	511.0	1519.15	579.04	728.11
MTERFD3	473.41	409.15	764.36	493.56	848.22	514.56	753.83	915.51	441.64	63.0	57.49	346.29	253.23	339.14	171.45	251.48	124.37	170.25	214.27	215.77	397.93	285.03	358.54	46.18	320.8	126.12	70.51
NDRG2	25354.3	8078.22	16157.44	7382.04	14163.58	10014.87	8598.28	9409.14	4298.64	435.55	1088.92	2384.37	2758.13	4836.35	3515.68	2739.08	1844.76	2796.65	2682.69	2502.97	3467.27	3419.52	4937.99	961.07	3874.05	967.76	1081.39
NEURL4	633.73	941.27	866.07	684.02	1242.34	1023.0	1208.34	872.1	651.58	87.65	57.89	348.71	260.38	473.41	275.28	187.71	201.25	256.78	316.37	208.38	56.28	149.12	351.14	38.67	279.14	155.5	96.01
NISCH	2400.97	2816.11	2997.45	2537.92	4123.49	4010.71	3540.14	3742.05	2451.44	241.19	176.29	878.17	775.05	1639.59	1030.12	890.44	480.04	728.11	928.3	780.44	249.73	563.18	981.29	265.87	1081.39	463.65	595.34
NPIPA1	4328.55	2739.08	4481.23	2645.74	6887.62	4802.93	5791.62	5711.87	3081.75	31.67	76.17	1991.0	591.22	1781.89	529.06	450.94	199.85	182.55	902.89	454.09	139.07	231.32	466.88	153.34	620.67	242.88	348.71
PACS2	1628.26	1331.57	1806.78	1359.57	2090.03	1529.73	2434.5	2319.15	1268.46	318.57	209.84	915.51	753.83	1487.87	1081.39	780.44	638.15	693.58	995.0	733.19	339.14	713.11	688.78	325.29	860.08	417.77	660.68
PBX2	1923.14	2104.58	2485.67	1594.73	2976.74	2224.63	2451.44	1936.53	1628.26	303.44	320.8	954.43	1044.52	1769.57	1233.75	1340.84	651.58	1037.29	1417.35	1015.93	493.56	785.88	974.5	559.28	830.75	764.36	688.78
PI4KA	1477.58	1697.45	1721.16	1277.29	1733.13	1697.45	1781.89	1605.83	1259.69	429.54	279.14	1359.57	1044.52	1208.34	1143.1	981.29	743.43	981.29	1030.12	921.88	320.8	718.08	1151.06	607.87	1001.93	733.19	819.3
PPT2-EGFL8	175.07	183.82	267.73	128.79	435.55	193.01	309.83	348.71	112.77	6.41	11.04	27.44	53.19	134.3	42.41	35.25	28.86	23.42	39.22	21.78	16.39	22.75	79.45	31.67	64.34	31.9	26.1
PRPF40B	669.92	728.11	1066.48	642.59	1151.06	764.36	1096.5	656.11	518.15	71.5	47.5	253.23	251.48	551.56	327.56	212.78	76.71	185.11	287.01	183.82	73.54	122.64	180.02	35.0	212.78	100.83	66.18
PRPF8	4210.15	5403.7	4836.35	4450.27	5441.3	4736.79	4937.99	4038.61	3847.29	2537.92	1322.37	3168.41	2855.44	3901.01	3847.29	2976.74	2119.22	3540.14	3257.52	3467.27	1697.45	2976.74	2997.45	1605.83	3212.66	2351.53	2434.5
PTPRS	7803.01	1936.53	3190.46	1191.69	3212.66	2075.59	1651.0	2701.35	1008.9	66.65	73.54	204.07	397.93	1143.1	595.34	476.71	180.02	366.09	441.64	397.93	91.41	351.14	105.89	52.82	647.07	65.72	127.0
RABL2B	808.0	620.67	791.35	500.46	967.76	915.51	703.28	988.12	674.59	147.06	133.36	447.82	387.02	540.19	373.81	346.29	264.03	305.55	376.41	287.01	251.48	289.02	420.68	95.34	532.74	221.86	220.32
RBM19	579.04	503.95	660.68	503.95	647.07	669.92	842.36	708.18	480.04	190.34	106.63	466.88	232.94	332.14	258.57	228.13	149.12	209.84	303.44	206.94	87.65	180.02	289.02	109.66	232.94	165.57	158.79
RBM5	4210.15	2224.63	5112.16	2976.74	5751.61	3874.05	6037.61	5147.73	2976.74	358.54	265.87	2351.53	1757.34	2609.3	1407.55	1295.13	780.44	1081.39	1350.18	1208.34	567.1	854.13	1594.73	878.17	1378.57	1437.15	1143.1
RHOT2	2573.36	2502.97	3146.52	2417.67	3168.41	2520.38	3874.05	3212.66	2075.59	896.64	358.54	1359.57	1340.84	1697.45	1498.22	1268.46	1088.92	1159.07	1397.83	1304.15	583.07	1030.12	1427.22	915.51	1674.06	1135.2	1286.18
RP11-1055B8.7	265.87	543.96	412.0	363.56	454.09	376.41	507.46	412.0	356.05	20.56	8.58	90.77	120.1	332.14	187.71	147.06	93.35	132.44	153.34	100.13	29.06	72.01	92.7	20.41	82.87	24.46	178.77
RP11-5A19.5	152.28	163.28	264.03	91.41	483.38	271.48	249.73	368.65	119.26	3.66	1.25	29.48	41.81	78.89	41.81	30.34	5.92	7.94	78.34	21.63	0.0	0.0	88.26	21.63	67.59	40.36	108.9
RXRB	1359.57	1191.69	1651.0	1378.57	1674.06	1561.89	2075.59	1639.59	1159.07	511.0	234.57	660.68	785.88	1023.0	802.41	665.29	441.64	642.59	713.11	616.37	559.28	591.22	616.37	232.94	713.11	460.44	406.31
SGSM2	1388.16	1359.57	2417.67	1487.87	2537.92	2032.85	3018.3	2047.0	1350.18	195.72	130.6	759.08	688.78	1242.34	890.44	651.58	299.25	563.18	934.76	728.11	140.04	463.65	733.19	470.14	848.22	559.28	432.53
SIX5	961.07	1008.9	890.44	738.29	1286.18	718.08	915.51	764.36	728.11	132.44	66.18	124.37	395.18	928.3	493.56	397.93	161.02	253.23	420.68	318.57	97.36	182.55	253.23	64.34	406.31	194.36	145.02
SMARCC2	1487.87	1594.73	1963.57	1561.89	1721.16	2075.59	1250.98	1427.22	1331.57	151.22	283.05	1051.79	961.07	1295.13	1096.5	890.44	426.57	842.36	934.76	713.11	201.25	612.11	854.13	303.44	791.35	633.73	532.74
STAT6	5403.7	5555.65	6471.02	4769.75	7589.61	6037.61	4152.18	5995.9	3491.39	878.17	1540.37	2997.45	3060.45	3716.2	3325.99	2855.44	2163.77	2895.31	3280.18	2287.2	1030.12	2240.11	3372.43	2075.59	2855.44	1896.65	3820.7
STX16	1745.2	1208.34	2104.58	1250.98	2682.69	2090.03	2555.58	2485.67	1359.57	343.89	178.77	988.12	454.09	785.88	543.96	563.18	339.14	376.41	521.76	426.57	244.57	329.84	525.39	444.72	624.99	351.14	273.37
TAF1C	1745.2	1233.75	2163.77	1030.12	1977.24	1781.89	1594.73	1963.57	1151.06	204.07	96.68	466.88	567.1	1081.39	500.46	612.11	414.87	351.14	529.06	470.14	258.57	447.82	450.94	149.12	674.59	265.87	301.33
TAOK2	1208.34	769.69	928.3	796.86	1119.56	967.76	1037.29	1199.98	791.35	158.79	137.14	406.31	612.11	679.29	693.58	620.67	518.15	587.13	660.68	511.0	165.57	460.44	591.22	224.97	540.19	191.67	320.8
TCEA2	1769.57	1757.34	1508.65	1674.06	2400.97	1923.14	2537.92	1757.34	1388.16	234.57	108.9	400.71	808.0	1628.26	1088.92	629.35	567.1	381.68	995.0	1001.93	934.76	941.27	429.54	171.45	764.36	318.57	236.21
THAP6	346.29	299.25	376.41	320.8	231.32	277.2	356.05	363.56	229.72	118.43	78.89	289.02	167.9	191.67	140.04	220.32	81.14	128.79	124.37	153.34	198.47	106.63	195.72	134.3	162.14	120.1	53.57
THBS3	1477.58	995.0	1199.98	934.76	1769.57	830.75	2485.67	3303.0	753.83	116.78	115.16	525.39	395.18	665.29	353.59	228.13	149.12	189.02	323.03	269.6	260.38	183.82	318.57	110.43	356.05	208.38	173.85
TJAP1	1001.93	842.36	1135.2	902.89	1407.55	1044.52	1073.91	1208.34	995.0	165.57	108.9	403.5	529.06	842.36	575.03	460.44	366.09	376.41	529.06	497.0	231.32	273.37	420.68	389.72	511.0	493.56	336.79
TMEM200B	361.04	273.37	291.04	277.2	473.41	242.88	460.44	441.64	281.09	67.59	47.84	112.77	99.43	246.28	85.82	92.05	67.59	80.57	78.34	110.43	88.26	87.65	101.54	27.64	91.41	102.25	62.12
TTLL3	1407.55	785.88	1870.53	1030.12	3018.3	1388.16	3303.0	3103.19	909.17	30.78	11.3	543.96	262.2	660.68	384.34	237.86	212.78	136.19	363.56	316.37	198.47	128.79	518.15	260.38	339.14	190.34	327.56
VPS39	1295.13	1135.2	1225.22	1167.14	1191.69	1417.35	1208.34	1259.69	1023.0	289.02	204.07	1066.48	665.29	848.22	674.59	733.19	348.71	575.03	753.83	540.19	229.72	490.14	848.22	309.83	583.07	246.28	271.48
VPS45	872.1	921.88	1313.23	890.44	1167.14	1023.0	1781.89	1081.39	934.76	332.14	368.65	808.0	651.58	733.19	497.0	529.06	423.61	473.41	599.49	460.44	583.07	603.67	753.83	241.19	547.75	387.02	366.09
WDR6	3794.3	3443.31	4543.8	2956.17	6887.62	4328.55	4869.99	4972.34	3235.01	334.46	224.97	1167.14	1388.16	2061.24	1674.06	1540.37	813.63	1359.57	1832.01	1295.13	363.56	842.36	2148.82	351.14	1331.57	633.73	1088.92
WDR73	775.05	595.34	780.44	624.99	967.76	819.3	802.41	775.05	521.76	135.24	158.79	651.58	435.55	463.65	343.89	379.04	212.78	251.48	371.22	293.07	239.52	312.0	457.25	119.26	299.25	218.79	186.4
WDR81	733.19	493.56	514.56	551.56	480.04	483.38	441.64	665.29	547.75	226.54	202.66	260.38	285.03	466.88	371.22	301.33	183.82	392.44	343.89	346.29	67.12	217.27	249.73	27.25	301.33	58.3	148.09
ZBTB1	679.29	555.41	684.02	583.07	748.61	629.35	575.03	848.22	656.11	251.48	241.19	642.59	341.51	353.59	353.59	381.68	146.03	318.57	309.83	258.57	361.04	287.01	316.37	371.22	463.65	264.03	185.11
ZC3H10	202.66	234.57	226.54	229.72	251.48	232.94	181.28	181.28	199.85	57.08	140.04	115.97	122.64	159.9	141.02	85.22	50.98	69.52	96.68	115.16	109.66	88.88	96.68	22.75	87.65	31.0	41.22
ZNF135	131.51	146.03	111.21	105.15	226.54	149.12	191.67	234.57	116.78	3.53	6.89	57.49	38.67	108.9	73.03	30.78	11.47	17.64	45.53	23.76	21.63	22.59	19.11	10.96	46.5	16.39	21.94
ZNF182	156.59	102.97	162.14	102.97	141.02	98.73	185.11	189.02	102.25	19.97	14.89	134.3	63.45	74.58	62.12	77.25	18.29	39.5	63.0	59.97	55.89	45.85	71.0	19.82	103.69	15.0	21.78
ZNF302	665.29	665.29	884.29	748.61	884.29	884.29	866.07	896.64	759.08	75.64	57.08	435.55	271.48	412.0	265.87	273.37	127.89	131.51	197.09	273.37	299.25	486.75	353.59	69.03	387.02	49.56	70.01
ZNF585B	353.59	226.54	231.32	228.13	307.69	275.28	269.6	285.03	228.13	8.99	35.76	134.3	113.56	165.57	135.24	104.42	41.52	82.29	81.14	90.14	117.6	112.77	156.59	7.22	156.59	11.64	35.0
ZNF594	127.0	96.01	124.37	41.22	123.5	92.7	151.22	110.43	72.01	9.13	7.11	72.01	40.07	64.8	41.52	24.99	9.34	20.41	30.56	26.28	7.28	9.13	63.0	2.41	26.86	7.22	17.38
ZNF692	981.29	764.36	1909.85	1051.79	1936.53	1617.0	2061.24	1923.14	921.88	124.37	84.63	543.96	500.46	848.22	297.17	303.44	205.5	164.42	454.09	343.89	180.02	226.54	483.38	115.97	463.65	366.09	305.55
ZNF740	457.25	490.14	629.35	457.25	551.56	620.67	457.25	395.18	500.46	126.12	125.24	316.37	221.86	318.57	353.59	244.57	102.97	217.27	218.79	264.03	72.01	206.94	273.37	73.54	232.94	80.57	104.42
ZNF76	1233.75	884.29	1111.82	884.29	1369.04	1225.22	2047.0	1561.89	825.0	139.07	90.77	490.14	525.39	769.69	483.38	447.82	267.73	406.31	521.76	414.87	366.09	255.0	612.11	154.42	470.14	358.54	231.32
ZNF783	361.04	343.89	450.94	269.6	603.67	435.55	473.41	503.95	361.04	25.54	34.75	193.01	105.89	198.47	111.21	89.51	66.18	80.57	156.59	94.67	29.91	53.95	102.97	28.65	114.36	37.32	50.98
ZNF793	155.5	165.57	194.36	72.52	397.93	161.02	521.76	323.03	111.99	1.04	12.83	44.25	58.71	80.57	41.81	55.89	22.43	19.97	37.05	42.41	28.45	32.59	111.99	8.71	136.19	3.96	29.27
ZNF862	371.22	299.25	483.38	351.14	575.03	384.34	500.46	547.75	332.14	14.56	22.26	208.38	112.77	249.73	194.36	148.09	50.27	91.41	142.01	86.43	87.03	57.08	105.15	18.43	244.57	43.02	70.01
ZSCAN30	417.77	291.04	395.18	239.52	470.14	339.14	575.03	599.49	327.56	36.01	36.79	303.44	115.97	180.02	127.0	172.65	51.35	122.64	102.97	84.04	53.95	142.01	176.29	33.06	193.01	36.79	70.51
ZSWIM8	4095.0	3443.31	4869.99	3419.52	5366.37	4181.07	4543.8	3820.7	2935.74	872.1	1199.98	1551.09	1407.55	2417.67	1662.49	1216.75	1407.55	1259.69	1794.29	1216.75	420.68	1143.1	2224.63	669.92	1709.26	890.44	1225.22
