	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.113JC.1026.SM.5H117	GTEX.13OVL.2726.SM.5J2MP	GTEX.11UD2.1526.SM.5EQLQ	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.S3XE.0926.SM.4AD4S	GTEX.WFJO.0826.SM.4LVM5	GTEX.ZAB4.1126.SM.5HL86	GTEX.1212Z.2026.SM.5N9EA	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.113JC.0926.SM.5H114	GTEX.139TU.1326.SM.5LZXW	TCGA.CV.7440.11A.01R.2187.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CNDP2	7803.01	1127.35	1923.14	1769.57	1583.71	1417.35	1685.71	1322.37	1477.58	1369.04	1037.29	1551.09	575.03	583.07	915.51	836.53	2816.11	3419.52	2758.13	769.69	915.51	796.86	796.86	813.63	753.83	902.89	3540.14	4010.71	2178.83	2119.22	3081.75	3901.01	2645.74	1781.89
CPT2	438.59	127.89	248.0	334.46	186.4	221.86	329.84	271.48	426.57	231.32	224.97	392.44	102.97	163.28	138.1	281.09	353.59	591.22	376.41	191.67	181.28	190.34	108.14	189.02	120.1	127.89	412.0	587.13	361.04	221.86	642.59	616.37	551.56	387.02
CRB3	7180.15	90.14	575.03	633.73	493.56	409.15	172.65	244.57	514.56	1191.69	71.0	954.43	52.82	69.52	19.82	19.82	1250.98	1037.29	1151.06	82.29	31.22	83.45	37.32	127.0	41.52	55.89	1617.0	1617.0	2468.49	1870.53	1991.0	2004.85	2609.3	1936.53
CRNN	971597.0	358.54	509950.32	2171106.91	581732.96	565825.41	1221310.69	767601.56	2805836.45	951601.81	3212.66	4107985.47	31.67	76.71	91.41	21.32	87075.75	4769.75	26431.04	7.57	25.17	21.16	28.24	10.63	11.13	629.35	5255.91	3336720.86	4851500.88	894051.48	834179.46	6183532.28	4558095.38	5534416.31
CSNK2A1	2047.0	921.88	1023.0	1066.48	1151.06	679.29	1030.12	1143.1	1104.13	902.89	988.12	909.17	406.31	500.46	379.04	638.15	1467.37	1216.75	947.83	384.34	612.11	483.38	490.14	480.04	536.45	450.94	1427.22	1883.54	1883.54	1896.65	1427.22	1857.6	1857.6	1639.59
CTNNA1	13776.25	5006.93	5791.62	6887.62	5791.62	5555.65	5633.22	5555.65	7433.4	6426.31	4419.52	6983.79	4095.0	3742.05	3614.55	3146.52	6561.36	6840.04	6250.56	3443.31	3419.52	3589.58	3820.7	4298.64	4419.52	3491.39	10659.59	8134.41	10959.3	5831.91	8778.97	9088.59	8840.04	9876.98
CTNND1	20593.91	1427.22	4512.4	7433.4	5751.61	3124.78	7485.11	3982.99	8363.13	7032.37	2434.5	7180.15	1417.35	1832.01	2224.63	1651.0	4388.98	5672.41	5479.15	1250.98	1457.23	2119.22	2255.7	1733.13	1651.0	1407.55	5751.61	3018.3	6652.97	4769.75	5441.3	7642.41	5183.54	5329.3
CXADR	1151.06	90.77	176.29	77.25	46.18	10.47	202.66	169.07	60.82	108.14	33.78	80.57	3.41	10.96	12.0	6.16	587.13	802.41	603.67	21.47	5.32	13.83	8.99	7.75	5.92	14.14	723.08	432.53	228.13	251.48	432.53	426.57	429.54	285.03
DENND1C	974.5	18.43	170.25	176.29	234.57	90.14	106.63	107.38	145.02	193.01	135.24	231.32	16.27	51.35	19.11	68.07	518.15	444.72	575.03	61.25	27.25	46.5	70.51	89.51	32.59	68.07	607.87	248.0	836.53	363.56	514.56	728.11	579.04	432.53
EXOSC7	896.64	476.71	633.73	679.29	713.11	921.88	813.63	603.67	825.0	547.75	775.05	796.86	563.18	764.36	540.19	791.35	967.76	988.12	1044.52	703.28	575.03	575.03	607.87	642.59	490.14	607.87	1023.0	1340.84	1477.58	1030.12	1044.52	1477.58	995.0	1340.84
FAM3B	44761.41	0.0	389.72	265.87	35.0	164.42	96.01	37.85	287.01	223.41	23.59	312.0	15.45	12.18	15.91	17.25	397.93	1561.89	1628.26	23.93	22.26	18.29	66.65	4.17	15.56	44.89	3564.78	1051.79	4639.29	435.55	2720.15	6471.02	3847.29	4972.34
FHDC1	638.15	17.38	148.09	110.43	153.34	73.54	78.34	189.02	162.14	180.02	98.04	147.06	46.18	29.27	36.53	26.86	151.22	193.01	223.41	27.25	44.89	50.63	43.32	62.56	63.89	32.36	173.85	379.04	325.29	271.48	312.0	426.57	403.5	389.72
FRK	44.89	11.21	109.66	57.49	36.01	13.52	34.02	49.21	84.04	80.01	43.94	29.27	3.5	8.71	5.68	10.24	85.22	98.73	117.6	10.47	9.48	19.82	25.17	6.21	7.22	4.1	187.71	41.52	27.05	27.25	91.41	52.08	53.95	72.52
GCNT3	1844.76	9.06	368.65	146.03	363.56	55.49	43.63	13.93	103.69	417.77	5.32	113.56	1.79	1.23	8.65	7.28	1304.15	316.37	244.57	5.45	1.64	6.31	7.11	3.06	0.0	0.0	3060.45	116.78	9.63	307.69	463.65	21.94	769.69	120.1
GHITM	3690.52	1857.6	2701.35	2224.63	1991.0	1936.53	2271.4	1832.01	2287.2	2119.22	1662.49	2451.44	2240.11	1806.78	1313.23	1733.13	4066.71	3491.39	3018.3	2417.67	1950.0	1651.0	1498.22	1857.6	2004.85	1844.76	3928.15	6840.04	5183.54	5329.3	4450.27	3639.7	4869.99	5995.9
H2AFY2	1104.13	376.41	193.01	389.72	242.88	334.46	432.53	525.39	356.05	373.81	607.87	381.68	105.15	249.73	131.51	139.07	629.35	536.45	447.82	327.56	152.28	212.78	106.63	121.79	98.04	191.67	497.0	1066.48	1242.34	1066.48	1111.82	703.28	830.75	616.37
HMGA1	25354.3	854.13	3257.52	5711.87	1350.18	7857.29	3081.75	3982.99	11664.82	6699.25	1794.29	47974.16	368.65	289.02	521.76	295.11	7382.04	5329.3	5872.48	397.93	353.59	281.09	426.57	327.56	409.15	669.92	8538.88	8479.89	14867.79	10154.69	7032.37	11267.44	10296.45	13215.02
IGSF3	2591.27	232.94	256.78	403.5	454.09	486.75	748.61	595.34	389.72	251.48	309.83	423.61	47.84	79.45	127.0	21.63	748.61	579.04	674.59	62.12	53.19	55.49	45.21	53.95	75.64	103.69	457.25	967.76	1304.15	743.43	848.22	1639.59	842.36	1127.35
IL10RB	2319.15	429.54	854.13	665.29	454.09	454.09	679.29	466.88	633.73	802.41	412.0	603.67	305.55	255.0	493.56	403.5	579.04	947.83	775.05	323.03	339.14	397.93	450.94	466.88	384.34	406.31	967.76	1628.26	934.76	708.18	890.44	1340.84	1001.93	872.1
KPNA7	3716.2	2.41	5.32	3.47	2.71	4.13	2.07	1.53	11.55	10.55	0.0	2.94	0.0	0.0	1.73	0.0	45.85	3.32	9.7	0.0	0.0	0.0	1.77	0.0	0.0	2.18	67.12	14.89	4.17	15.34	9.78	67.59	18.16	12.55
KRT4	3.697379928E7	295.11	1402917.72	1.810644424E7	1545882.32	746611.43	6140819.49	778316.89	2.276004283E7	3359929.59	4388.98	3.109113511E7	92.05	85.82	136.19	92.7	44145.15	24490.61	44452.21	17.0	77.25	15.91	42.71	32.82	75.11	244.57	55491.3	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
MACC1	1023.0	0.93	289.02	159.9	341.51	38.67	125.24	145.02	181.28	336.79	29.06	332.14	2.51	1.36	0.0	2.84	218.79	185.11	138.1	1.97	1.25	3.29	2.71	2.58	0.0	8.0	595.34	341.51	239.52	228.13	450.94	420.68	414.87	156.59
MAGI3	265.87	53.95	166.73	121.79	158.79	73.03	162.14	113.56	215.77	164.42	134.3	190.34	144.01	140.04	145.02	142.01	205.5	234.57	291.04	87.65	89.51	108.9	157.68	101.54	156.59	73.54	341.51	363.56	713.11	166.73	392.44	318.57	392.44	612.11
MAP7	1923.14	57.89	1143.1	346.29	429.54	197.09	231.32	244.57	234.57	220.32	109.66	395.18	39.79	20.11	14.35	36.79	595.34	540.19	460.44	34.75	13.93	23.25	30.56	24.11	45.21	20.11	769.69	575.03	703.28	595.34	698.41	441.64	660.68	567.1
MARVELD2	723.08	4.31	102.97	68.55	51.71	17.51	59.97	86.43	49.91	66.18	13.12	31.45	10.0	11.13	14.89	9.78	228.13	293.07	185.11	6.01	13.03	12.27	6.36	8.99	5.15	10.63	283.05	423.61	395.18	267.73	329.84	198.47	316.37	242.88
OCLN	819.3	15.8	236.21	177.53	161.02	59.13	137.14	162.14	182.55	180.02	7.88	208.38	32.82	115.97	55.89	44.89	490.14	426.57	248.0	34.75	39.22	80.01	98.73	74.06	39.79	111.99	775.05	854.13	1639.59	791.35	647.07	1519.15	1015.93	555.41
PGGT1B	187.71	94.67	185.11	169.07	211.31	177.53	248.0	170.25	175.07	161.02	181.28	155.5	90.77	129.69	124.37	135.24	262.2	249.73	264.03	88.26	131.51	125.24	103.69	119.26	109.66	104.42	450.94	334.46	480.04	312.0	346.29	281.09	327.56	285.03
POF1B	299043.36	1.93	748.61	412.0	1529.73	157.68	343.89	232.94	497.0	450.94	157.68	412.0	7.22	3.92	11.38	6.06	633.73	780.44	507.46	6.31	8.92	6.62	8.0	3.29	10.16	8.32	1059.11	25005.23	22535.88	1844.76	6037.61	4328.55	6164.49	19754.96
POU2F3	5255.91	6.67	38.67	92.05	100.13	156.59	211.31	70.51	100.13	144.01	30.34	170.25	7.63	1.77	13.03	0.0	122.64	161.02	144.01	3.14	3.44	17.13	5.28	4.94	11.04	18.29	189.02	163.28	297.17	503.95	167.9	244.57	217.27	100.13
PRPS2	656.11	297.17	293.07	228.13	361.04	256.78	267.73	314.17	195.72	215.77	339.14	190.34	248.0	214.27	148.09	229.72	647.07	607.87	587.13	198.47	256.78	190.34	186.4	182.55	218.79	269.6	1119.56	813.63	743.43	547.75	718.08	361.04	460.44	353.59
PTBP3	2976.74	154.42	848.22	1143.1	1359.57	633.73	1119.56	878.17	1008.9	842.36	334.46	1883.54	201.25	187.71	376.41	158.79	921.88	1001.93	954.43	135.24	190.34	156.59	303.44	215.77	271.48	246.28	1583.71	1551.09	2520.38	1477.58	1081.39	1540.37	1167.14	1594.73
PTPN13	3614.55	232.94	470.14	397.93	884.29	366.09	624.99	638.15	503.95	536.45	420.68	529.06	161.02	80.01	70.01	144.01	836.53	1081.39	796.86	56.68	108.9	74.06	76.71	82.87	140.04	63.0	1277.29	1651.0	2104.58	1540.37	1111.82	1639.59	1407.55	2178.83
RAB11FIP4	616.37	23.76	85.82	199.85	81.71	51.71	51.35	55.89	176.29	156.59	18.43	134.3	15.8	43.02	27.44	17.25	314.17	191.67	228.13	24.99	22.59	22.59	46.5	35.25	11.3	35.0	253.23	137.14	197.09	180.02	269.6	303.44	237.86	116.78
RAB27B	6381.92	18.03	221.86	142.01	299.25	51.71	189.02	162.14	251.48	221.86	5.63	167.9	4.03	23.76	5.02	21.16	361.04	629.35	525.39	19.82	4.28	6.57	39.5	21.94	18.56	6.06	638.15	633.73	934.76	395.18	384.34	435.55	376.41	599.49
RHBDL2	12853.63	6.11	460.44	220.32	197.09	132.44	265.87	329.84	718.08	1208.34	40.07	651.58	16.63	12.18	32.36	6.84	579.04	769.69	665.29	8.85	10.31	34.51	15.11	8.38	13.22	24.46	860.08	902.89	1551.09	595.34	1769.57	1277.29	1529.73	1617.0
RNF141	6207.38	323.03	1304.15	1340.84	1605.83	743.43	1963.57	1295.13	2627.46	1909.85	728.11	1977.24	221.86	262.2	246.28	309.83	1806.78	1369.04	1295.13	215.77	297.17	234.57	195.72	299.25	215.77	226.54	2417.67	3280.18	3665.02	1407.55	1745.2	4010.71	3235.01	2468.49
SAR1B	1832.01	656.11	693.58	595.34	612.11	571.05	563.18	463.65	988.12	780.44	397.93	836.53	409.15	373.81	483.38	483.38	1023.0	1199.98	909.17	389.72	397.93	463.65	379.04	412.0	420.68	384.34	1417.35	1991.0	1104.13	1388.16	1407.55	1030.12	1519.15	836.53
SCAMP2	3820.7	1794.29	2816.11	4010.71	2777.33	3146.52	2976.74	2104.58	3614.55	3768.09	1572.76	4450.27	902.89	1066.48	629.35	1242.34	3280.18	2520.38	2178.83	1159.07	1350.18	1216.75	1175.27	1059.11	825.0	1350.18	3768.09	2875.3	3257.52	1572.76	2796.65	3190.46	3768.09	2468.49
SCO1	379.04	363.56	332.14	397.93	318.57	323.03	371.22	358.54	303.44	348.71	293.07	361.04	209.84	234.57	295.11	283.05	403.5	555.41	400.71	265.87	285.03	264.03	214.27	323.03	260.38	256.78	420.68	571.05	476.71	624.99	521.76	563.18	325.29	423.61
SERINC5	1233.75	156.59	181.28	305.55	289.02	191.67	132.44	171.45	212.78	244.57	113.56	384.34	32.13	43.63	66.65	45.21	281.09	486.75	376.41	29.91	45.53	77.25	74.06	68.55	55.49	31.22	1037.29	802.41	796.86	1175.27	669.92	555.41	536.45	194.36
SH2D4A	2163.77	25.35	371.22	283.05	316.37	136.19	332.14	220.32	381.68	660.68	122.64	232.94	17.51	108.14	65.26	82.87	521.76	890.44	713.11	61.25	51.35	117.6	116.78	128.79	24.46	102.97	1001.93	579.04	679.29	129.69	1104.13	483.38	679.29	483.38
SLC31A1	450.94	118.43	318.57	234.57	366.09	215.77	256.78	190.34	223.41	281.09	173.85	212.78	185.11	83.45	157.68	123.5	575.03	490.14	366.09	99.43	153.34	120.94	87.65	115.97	187.71	115.16	808.0	473.41	397.93	303.44	406.31	444.72	497.0	381.68
SOCS6	679.29	122.64	242.88	212.78	387.02	189.02	251.48	229.72	299.25	246.28	193.01	400.71	80.01	136.19	105.89	143.01	511.0	309.83	212.78	91.41	114.36	129.69	85.82	181.28	103.69	105.89	693.58	656.11	728.11	414.87	642.59	698.41	575.03	529.06
SOX21	139508.13	0.0	68.55	46.18	27.64	54.72	33.78	52.82	100.83	29.48	23.59	70.51	0.0	0.0	2.68	0.0	353.59	295.11	384.34	1.85	0.0	0.0	1.91	2.63	2.58	3.99	638.15	3395.89	4937.99	275.28	1923.14	8479.89	2502.97	4239.45
SPCS1	4095.0	2434.5	2502.97	2224.63	2287.2	2739.08	2287.2	2004.85	2271.4	2417.67	1991.0	2777.33	1794.29	1844.76	1369.04	2119.22	4010.71	3124.78	3235.01	2875.3	1457.23	1685.71	1639.59	2119.22	1674.06	1674.06	3564.78	3768.09	2417.67	2178.83	2739.08	3540.14	3349.13	3146.52
SPTY2D1	343.89	117.6	161.02	167.9	255.0	99.43	211.31	165.57	177.53	209.84	173.85	170.25	155.5	114.36	189.02	144.01	277.2	234.57	178.77	82.29	109.66	91.41	123.5	124.37	150.17	112.77	351.14	414.87	358.54	500.46	353.59	314.17	201.25	253.23
TMEM246	2148.82	117.6	239.52	246.28	279.14	189.02	231.32	153.34	267.73	229.72	193.01	341.51	59.13	187.71	102.25	116.78	460.44	426.57	387.02	212.78	105.89	161.02	120.94	153.34	84.04	145.02	384.34	1259.69	995.0	379.04	1268.46	651.58	961.07	1175.27
TMEM30B	4903.87	40.07	149.12	157.68	112.77	146.03	98.73	105.15	136.19	156.59	144.01	221.86	51.35	62.12	50.63	46.5	444.72	559.28	500.46	40.93	26.67	42.41	83.45	39.5	65.72	39.22	830.75	429.54	277.2	563.18	607.87	497.0	454.09	332.14
TPD52	3372.43	305.55	2720.15	1088.92	1242.34	514.56	808.0	1044.52	1225.22	1286.18	1127.35	988.12	483.38	486.75	329.84	368.65	1709.26	1870.53	1896.65	497.0	234.57	346.29	295.11	327.56	490.14	291.04	2875.3	2400.97	2555.58	1037.29	1769.57	1721.16	1467.37	1175.27
TSG101	4769.75	1044.52	2400.97	2209.26	1685.71	1709.26	1923.14	1583.71	2555.58	2148.82	1417.35	2090.03	866.07	1159.07	947.83	1397.83	2287.2	1950.0	1674.06	1233.75	1350.18	1001.93	1088.92	902.89	878.17	1183.45	2502.97	4575.41	3614.55	2537.92	3614.55	3768.09	3847.29	4095.0
VAPA	10368.08	3443.31	3467.27	4512.4	4239.45	3665.02	4123.49	3847.29	4607.24	5041.77	4123.49	4181.07	3018.3	1709.26	1427.22	2287.2	4671.57	4972.34	3491.39	1923.14	2627.46	1397.83	1950.0	1870.53	2895.31	2047.0	5366.37	8022.41	7280.4	6840.04	6037.61	6426.31	7130.55	7230.1
