	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.A54E.01A.11R.A266.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YT.0526.SM.32PK8	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.R55C.0526.SM.3GIKA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ARSJ	19.39	61.25	84.04	157.68	40.64	314.17	49.91	89.51	48.87	60.82	460.44	68.07	7.69	96.01	105.15	92.7	140.04	55.49	148.09	139.07	115.16	8.45	9.7	11.47	46.5	8.99	6.62	5.73	10.79	16.51	1.36	7.69	5.5	40.07	6.57	9.41	34.02	7.88	10.71	40.36	26.67	32.13	0.74	11.73	13.22	9.06	16.39	17.38	21.63	13.62	18.16	1.89	18.43	18.97	11.64	34.26	10.47	18.03	12.18	35.0	42.41	10.16	7.06	10.24	39.22	59.13	8.32	35.5	58.3	63.0	28.86	10.63	85.82	7.0	33.06	75.11	111.99	74.06	115.97	325.29	341.51	26.28	98.04	98.04	173.85	74.58	85.22	100.13	52.82	389.72	9.7	260.38	305.55	155.5	108.9	366.09	397.93	84.63	136.19	68.07	68.07	87.03	47.5	183.82	180.02	231.32	67.12	43.02	12.0	177.53	106.63
ASXL2	136.19	197.09	193.01	780.44	162.14	327.56	97.36	88.88	100.13	90.77	255.0	92.7	43.94	162.14	121.79	195.72	165.57	72.01	208.38	162.14	66.18	62.56	51.35	44.89	50.27	56.28	39.5	39.5	50.98	86.43	43.32	29.27	37.59	63.45	35.5	123.5	49.21	39.79	63.45	47.17	39.79	55.89	44.25	39.5	48.18	31.22	63.0	48.52	202.66	20.41	36.53	42.41	48.18	27.64	76.71	90.14	60.39	40.07	23.25	34.02	36.27	53.95	17.64	50.63	60.82	33.54	41.52	59.13	23.59	59.55	87.65	53.19	88.88	18.16	131.51	115.97	78.34	94.01	111.21	170.25	190.34	131.51	173.85	90.77	187.71	148.09	158.79	100.13	87.03	239.52	79.45	162.14	251.48	163.28	150.17	236.21	312.0	158.79	146.03	48.87	159.9	132.44	161.02	199.85	239.52	191.67	217.27	144.01	59.55	152.28	105.89
ATAD1	612.11	684.02	567.1	2417.67	1008.9	612.11	376.41	287.01	438.59	392.44	599.49	454.09	273.37	529.06	447.82	454.09	470.14	406.31	463.65	642.59	281.09	438.59	339.14	376.41	242.88	303.44	244.57	262.2	429.54	318.57	420.68	211.31	277.2	343.89	249.73	307.69	115.97	307.69	258.57	387.02	423.61	373.81	389.72	514.56	241.19	234.57	260.38	316.37	351.14	195.72	305.55	358.54	417.77	346.29	384.34	395.18	262.2	303.44	297.17	336.79	332.14	356.05	540.19	249.73	325.29	412.0	307.69	253.23	387.02	511.0	389.72	221.86	316.37	293.07	384.34	414.87	426.57	503.95	441.64	571.05	780.44	447.82	595.34	454.09	246.28	791.35	384.34	414.87	392.44	830.75	264.03	733.19	825.0	543.96	389.72	878.17	1359.57	507.46	909.17	125.24	660.68	387.02	543.96	417.77	389.72	1135.2	483.38	293.07	438.59	356.05	493.56
B3GNT2	363.56	941.27	698.41	718.08	387.02	698.41	555.41	460.44	743.43	223.41	540.19	241.19	371.22	351.14	327.56	384.34	301.33	297.17	660.68	595.34	371.22	88.88	172.65	155.5	187.71	190.34	172.65	107.38	220.32	110.43	97.36	156.59	138.1	271.48	151.22	275.28	228.13	208.38	279.14	172.65	224.97	146.03	102.97	180.02	202.66	91.41	332.14	166.73	156.59	48.52	103.69	85.82	277.2	59.55	199.85	423.61	170.25	124.37	291.04	231.32	194.36	178.77	244.57	265.87	212.78	214.27	217.27	175.07	414.87	90.14	133.36	239.52	175.07	87.03	223.41	974.5	389.72	854.13	1551.09	743.43	1378.57	595.34	1477.58	500.46	854.13	414.87	587.13	466.88	1008.9	1127.35	698.41	579.04	341.51	432.53	796.86	1388.16	1167.14	1008.9	954.43	206.94	830.75	497.0	819.3	379.04	1135.2	728.11	995.0	759.08	620.67	723.08	633.73
BBS7	191.67	231.32	221.86	392.44	198.47	152.28	167.9	167.9	164.42	142.01	180.02	177.53	87.03	285.03	183.82	205.5	140.04	198.47	163.28	204.07	108.9	132.44	20.86	55.49	77.25	81.14	15.0	112.77	97.36	81.14	42.11	93.35	92.05	134.3	61.68	99.43	94.67	27.05	84.63	76.17	78.34	53.57	37.32	71.5	65.72	67.59	115.16	67.12	75.11	109.66	13.93	114.36	94.67	5.92	83.45	88.26	187.71	110.43	31.67	22.26	79.45	63.45	36.27	32.13	289.02	82.87	68.07	61.25	18.7	108.14	40.36	11.64	84.04	74.58	57.08	145.02	139.07	170.25	161.02	253.23	142.01	231.32	228.13	205.5	228.13	260.38	316.37	189.02	185.11	248.0	154.42	239.52	236.21	234.57	194.36	267.73	204.07	145.02	136.19	102.25	211.31	190.34	220.32	193.01	236.21	195.72	141.02	115.16	86.43	256.78	205.5
BTBD10	559.28	500.46	529.06	1081.39	435.55	379.04	343.89	246.28	301.33	262.2	412.0	234.57	191.67	329.84	332.14	371.22	253.23	262.2	323.03	351.14	228.13	187.71	161.02	194.36	264.03	182.55	130.6	152.28	199.85	169.07	183.82	121.79	108.14	206.94	126.12	312.0	177.53	130.6	260.38	145.02	178.77	137.14	152.28	156.59	148.09	112.77	211.31	146.03	143.01	136.19	117.6	191.67	173.85	125.24	138.1	242.88	183.82	162.14	77.25	137.14	135.24	81.71	54.33	104.42	269.6	75.64	100.83	146.03	93.35	181.28	167.9	88.88	189.02	99.43	140.04	336.79	575.03	412.0	447.82	543.96	303.44	463.65	587.13	249.73	813.63	547.75	540.19	406.31	400.71	679.29	307.69	493.56	583.07	473.41	384.34	629.35	825.0	454.09	395.18	301.33	417.77	473.41	463.65	473.41	555.41	432.53	334.46	285.03	124.37	521.76	423.61
C9orf156	105.89	246.28	221.86	441.64	307.69	253.23	202.66	260.38	293.07	191.67	305.55	193.01	163.28	217.27	242.88	246.28	244.57	126.12	295.11	320.8	211.31	226.54	180.02	94.67	173.85	167.9	178.77	223.41	164.42	228.13	299.25	212.78	144.01	239.52	199.85	323.03	346.29	208.38	258.57	206.94	289.02	221.86	269.6	123.5	144.01	199.85	307.69	190.34	275.28	161.02	212.78	303.44	211.31	199.85	237.86	269.6	181.28	279.14	100.83	146.03	135.24	182.55	170.25	140.04	201.25	202.66	141.02	167.9	214.27	381.68	164.42	265.87	162.14	271.48	149.12	264.03	226.54	376.41	629.35	450.94	320.8	514.56	470.14	260.38	323.03	154.42	540.19	348.71	450.94	493.56	493.56	301.33	221.86	351.14	460.44	323.03	493.56	376.41	521.76	309.83	444.72	336.79	457.25	318.57	470.14	466.88	497.0	490.14	301.33	361.04	346.29
CAPRIN1	2956.17	3039.3	3280.18	6121.9	1896.65	2319.15	1651.0	1397.83	1617.0	1781.89	2335.28	1769.57	808.0	2400.97	1781.89	1991.0	1950.0	1781.89	2133.97	1950.0	1819.35	1073.91	1225.22	1551.09	1819.35	1250.98	1051.79	1388.16	1233.75	1286.18	1066.48	860.08	947.83	1350.18	1216.75	1794.29	934.76	947.83	1963.57	1487.87	1208.34	967.76	1674.06	1151.06	1008.9	1225.22	1340.84	1233.75	1561.89	1745.2	988.12	1572.76	1199.98	848.22	1096.5	1551.09	1331.57	902.89	656.11	830.75	1037.29	884.29	612.11	764.36	1350.18	575.03	802.41	854.13	854.13	1467.37	1104.13	555.41	1250.98	432.53	1175.27	1662.49	2777.33	1781.89	2591.27	2119.22	2935.74	2816.11	1819.35	2032.85	3103.19	2777.33	1909.85	2384.37	2090.03	3060.45	1216.75	2271.4	4736.79	2090.03	1199.98	2287.2	3690.52	2119.22	1295.13	921.88	1605.83	1639.59	1883.54	2148.82	1857.6	5292.48	1781.89	1277.29	1059.11	2627.46	1883.54
CBL	71.5	180.02	236.21	346.29	96.01	169.07	100.13	71.0	128.79	69.03	201.25	82.29	49.56	49.56	87.03	148.09	114.36	65.72	138.1	96.68	71.5	21.78	47.5	34.51	60.39	38.12	26.1	38.12	35.76	30.56	37.59	26.67	21.01	55.89	16.27	77.25	14.78	26.1	56.28	37.32	28.04	42.41	31.0	24.28	16.15	20.71	66.18	30.78	38.95	17.9	21.32	31.67	48.52	19.39	28.04	92.7	38.95	22.92	10.96	24.46	23.25	22.1	21.63	14.67	37.59	10.55	24.99	36.79	22.92	35.0	28.24	11.73	66.18	11.73	30.34	187.71	82.29	78.89	100.13	131.51	297.17	143.01	144.01	69.03	157.68	234.57	166.73	95.34	88.26	182.55	102.97	145.02	189.02	147.06	126.12	153.34	193.01	197.09	71.0	80.01	103.69	145.02	111.99	221.86	195.72	108.14	145.02	108.9	66.18	190.34	90.14
CEP41	231.32	327.56	287.01	239.52	135.24	232.94	218.79	172.65	180.02	155.5	275.28	154.42	143.01	131.51	236.21	237.86	137.14	182.55	236.21	244.57	131.51	125.24	173.85	150.17	146.03	175.07	12.55	197.09	85.22	128.79	82.87	133.36	183.82	153.34	73.54	165.57	84.63	86.43	120.1	102.97	148.09	102.25	56.28	197.09	167.9	102.97	264.03	71.0	71.5	208.38	40.93	163.28	122.64	256.78	194.36	190.34	226.54	131.51	48.87	67.12	59.55	39.5	22.92	47.5	204.07	58.3	61.68	45.21	17.25	139.07	100.13	48.52	111.99	28.24	115.16	128.79	177.53	139.07	129.69	275.28	146.03	305.55	212.78	234.57	346.29	187.71	327.56	267.73	221.86	208.38	123.5	242.88	316.37	202.66	201.25	256.78	325.29	211.31	92.7	275.28	224.97	237.86	189.02	343.89	303.44	229.72	195.72	133.36	100.83	279.14	167.9
CEP63	476.71	454.09	540.19	974.5	460.44	406.31	470.14	371.22	251.48	248.0	435.55	224.97	81.14	361.04	363.56	361.04	363.56	153.34	205.5	376.41	88.88	417.77	262.2	265.87	260.38	301.33	226.54	381.68	228.13	327.56	454.09	309.83	269.6	198.47	193.01	264.03	212.78	285.03	503.95	341.51	249.73	226.54	316.37	291.04	202.66	204.07	269.6	228.13	392.44	420.68	255.0	329.84	312.0	182.55	262.2	316.37	361.04	258.57	88.88	373.81	260.38	260.38	256.78	271.48	166.73	295.11	199.85	273.37	211.31	323.03	291.04	316.37	226.54	211.31	197.09	269.6	426.57	226.54	351.14	575.03	277.2	470.14	473.41	226.54	265.87	379.04	392.44	305.55	366.09	521.76	387.02	518.15	305.55	476.71	312.0	412.0	595.34	343.89	305.55	312.0	368.65	381.68	373.81	387.02	500.46	603.67	323.03	341.51	220.32	351.14	305.55
CHST10	29.27	113.56	136.19	58.71	142.01	149.12	175.07	164.42	186.4	91.41	327.56	142.01	191.67	163.28	146.03	142.01	186.4	190.34	183.82	123.5	400.71	53.19	24.46	22.43	94.01	17.25	5.92	129.69	14.67	18.84	7.82	23.42	11.3	46.18	28.65	29.48	6.11	16.27	57.89	44.57	25.72	10.55	52.45	83.45	15.22	13.22	48.18	18.16	7.75	80.57	7.46	9.7	39.79	4.54	52.82	34.51	9.63	24.81	15.8	14.14	47.84	5.5	4.86	3.86	19.97	23.76	2.46	4.39	22.59	13.93	16.15	48.52	23.76	3.72	19.39	134.3	206.94	191.67	336.79	277.2	36.01	339.14	180.02	115.16	191.67	113.56	236.21	258.57	173.85	265.87	176.29	145.02	363.56	223.41	204.07	255.0	327.56	291.04	177.53	242.88	255.0	239.52	242.88	223.41	358.54	341.51	183.82	275.28	59.97	262.2	120.94
CHUK	356.05	251.48	332.14	343.89	395.18	329.84	221.86	208.38	237.86	183.82	327.56	198.47	158.79	185.11	275.28	232.94	423.61	178.77	285.03	314.17	205.5	145.02	212.78	221.86	204.07	187.71	198.47	146.03	295.11	212.78	151.22	137.14	147.06	223.41	166.73	199.85	98.04	185.11	237.86	125.24	190.34	248.0	218.79	264.03	193.01	140.04	180.02	185.11	343.89	144.01	129.69	221.86	251.48	197.09	244.57	323.03	105.89	205.5	137.14	183.82	143.01	211.31	253.23	154.42	193.01	209.84	148.09	149.12	173.85	283.05	167.9	149.12	170.25	205.5	221.86	312.0	379.04	435.55	412.0	423.61	341.51	521.76	432.53	246.28	373.81	336.79	423.61	332.14	384.34	575.03	279.14	356.05	351.14	277.2	341.51	486.75	543.96	289.02	343.89	212.78	325.29	358.54	381.68	283.05	323.03	656.11	514.56	256.78	220.32	256.78	312.0
CNOT6	248.0	400.71	295.11	669.92	244.57	327.56	189.02	167.9	140.04	161.02	256.78	125.24	69.03	248.0	177.53	229.72	208.38	144.01	193.01	218.79	132.44	128.79	98.73	66.65	142.01	96.01	62.12	180.02	116.78	72.01	147.06	63.0	50.27	183.82	44.57	187.71	68.07	57.89	185.11	146.03	103.69	145.02	127.89	100.13	112.77	77.25	99.43	60.82	152.28	141.02	44.89	136.19	112.77	77.79	109.66	141.02	59.13	50.27	25.17	58.3	42.71	63.0	36.79	45.21	81.14	20.56	30.12	35.0	71.0	88.26	36.79	24.81	66.18	37.32	88.88	253.23	152.28	232.94	228.13	218.79	267.73	285.03	312.0	185.11	232.94	299.25	208.38	197.09	156.59	511.0	208.38	218.79	262.2	305.55	212.78	297.17	547.75	275.28	183.82	109.66	293.07	251.48	239.52	363.56	351.14	420.68	264.03	150.17	144.01	303.44	169.07
CRLF3	215.77	329.84	387.02	435.55	100.83	239.52	241.19	157.68	232.94	90.77	249.73	93.35	61.25	111.99	161.02	140.04	119.26	98.04	176.29	141.02	102.25	94.01	110.43	63.0	118.43	74.06	84.63	85.82	143.01	90.77	96.68	67.12	74.58	172.65	47.5	228.13	52.82	63.89	180.02	74.06	70.01	99.43	100.13	46.84	61.25	54.72	146.03	59.55	111.99	53.95	47.17	82.87	111.21	50.27	116.78	186.4	74.58	61.68	35.76	69.52	77.79	45.85	45.85	43.02	92.7	36.01	69.03	59.13	77.25	62.56	60.82	53.95	85.22	32.36	83.45	239.52	295.11	325.29	255.0	285.03	420.68	381.68	343.89	283.05	389.72	343.89	429.54	271.48	273.37	236.21	237.86	412.0	307.69	291.04	303.44	224.97	409.15	368.65	199.85	153.34	232.94	373.81	236.21	376.41	387.02	191.67	211.31	212.78	224.97	214.27	289.02
DBR1	212.78	253.23	271.48	480.04	206.94	228.13	208.38	166.73	199.85	187.71	271.48	151.22	106.63	181.28	287.01	211.31	275.28	146.03	199.85	262.2	171.45	118.43	108.9	100.13	127.89	141.02	98.73	173.85	103.69	106.63	152.28	100.83	99.43	151.22	92.05	197.09	129.69	65.72	193.01	130.6	120.94	120.1	110.43	153.34	107.38	81.71	157.68	83.45	193.01	118.43	102.97	163.28	120.94	66.18	130.6	167.9	118.43	120.94	66.18	84.04	99.43	82.29	67.59	94.67	197.09	67.12	59.97	107.38	77.25	166.73	101.54	78.34	68.55	80.57	70.51	204.07	307.69	234.57	387.02	384.34	295.11	299.25	327.56	218.79	285.03	153.34	363.56	223.41	291.04	336.79	329.84	253.23	212.78	295.11	341.51	255.0	356.05	353.59	231.32	248.0	332.14	346.29	332.14	285.03	389.72	466.88	246.28	297.17	189.02	279.14	198.47
DCK	412.0	409.15	450.94	567.1	205.5	368.65	244.57	133.36	358.54	162.14	325.29	162.14	143.01	273.37	231.32	217.27	211.31	190.34	291.04	223.41	165.57	199.85	142.01	131.51	137.14	138.1	102.25	73.54	100.13	164.42	71.0	122.64	89.51	191.67	49.56	223.41	113.56	85.82	246.28	212.78	147.06	140.04	76.71	59.13	119.26	47.17	157.68	90.14	154.42	92.7	103.69	165.57	205.5	75.64	153.34	269.6	201.25	88.26	50.98	57.89	55.89	40.36	52.45	42.11	202.66	57.49	58.71	103.69	59.13	66.65	92.05	63.89	128.79	55.1	107.38	269.6	260.38	454.09	514.56	400.71	253.23	503.95	403.5	341.51	301.33	521.76	429.54	241.19	265.87	651.58	323.03	543.96	341.51	503.95	363.56	575.03	603.67	376.41	351.14	171.45	463.65	438.59	397.93	327.56	575.03	529.06	441.64	387.02	343.89	379.04	403.5
DDX1	1313.23	1583.71	1427.22	4543.8	1936.53	902.89	909.17	1225.22	954.43	902.89	1119.56	995.0	476.71	1551.09	934.76	796.86	1051.79	813.63	961.07	1175.27	587.13	1225.22	860.08	733.19	1662.49	1498.22	693.58	1350.18	1001.93	1143.1	1081.39	728.11	981.29	836.53	872.1	1111.82	660.68	769.69	1030.12	1199.98	988.12	830.75	941.27	1359.57	559.28	872.1	961.07	878.17	2104.58	872.1	1096.5	1259.69	995.0	866.07	954.43	836.53	1023.0	954.43	547.75	713.11	884.29	884.29	753.83	718.08	1304.15	791.35	688.78	1127.35	595.34	1216.75	1008.9	583.07	1073.91	555.41	1143.1	890.44	1111.82	1088.92	1427.22	1508.65	718.08	1923.14	1572.76	808.0	1709.26	1111.82	1242.34	1119.56	1457.23	2209.26	988.12	1331.57	1832.01	974.5	1199.98	1605.83	1794.29	1143.1	1151.06	967.76	1369.04	1378.57	1369.04	1331.57	1151.06	2032.85	1561.89	1051.79	698.41	1030.12	1127.35
DNAJC10	1487.87	1286.18	1304.15	2417.67	656.11	848.22	460.44	536.45	642.59	438.59	1143.1	563.18	277.2	802.41	698.41	718.08	878.17	551.56	665.29	764.36	314.17	320.8	521.76	483.38	890.44	417.77	204.07	466.88	423.61	638.15	312.0	256.78	473.41	785.88	320.8	825.0	202.66	332.14	791.35	332.14	559.28	500.46	267.73	444.72	264.03	281.09	591.22	395.18	738.29	262.2	348.71	363.56	473.41	320.8	651.58	753.83	571.05	412.0	109.66	309.83	239.52	490.14	289.02	137.14	854.13	241.19	149.12	223.41	126.12	212.78	166.73	325.29	237.86	521.76	190.34	638.15	1639.59	607.87	563.18	1322.37	395.18	1295.13	884.29	928.3	928.3	642.59	796.86	460.44	587.13	1757.34	409.15	921.88	1923.14	902.89	830.75	941.27	2163.77	551.56	854.13	454.09	684.02	941.27	825.0	503.95	551.56	1088.92	764.36	457.25	384.34	791.35	743.43
DPP8	253.23	277.2	323.03	624.99	249.73	353.59	170.25	109.66	180.02	127.0	299.25	127.0	48.52	234.57	189.02	129.69	224.97	99.43	214.27	215.77	82.87	92.05	92.05	64.8	68.07	99.43	65.26	81.14	113.56	92.7	89.51	59.97	72.52	157.68	65.26	173.85	78.34	88.26	146.03	85.22	92.7	101.54	61.25	127.89	79.45	51.71	127.89	82.87	151.22	43.63	78.34	90.77	98.04	53.95	104.42	142.01	120.1	72.52	29.7	103.69	182.55	95.34	91.41	89.51	140.04	58.71	41.52	57.89	60.39	195.72	62.56	99.43	67.12	66.18	81.14	239.52	180.02	223.41	189.02	175.07	323.03	208.38	244.57	283.05	314.17	255.0	218.79	277.2	204.07	312.0	159.9	163.28	242.88	339.14	229.72	232.94	291.04	228.13	195.72	177.53	267.73	312.0	246.28	205.5	253.23	334.46	307.69	193.01	406.31	242.88	214.27
DUSP11	379.04	571.05	497.0	808.0	503.95	341.51	387.02	423.61	426.57	341.51	361.04	361.04	332.14	543.96	366.09	387.02	395.18	379.04	406.31	423.61	334.46	215.77	218.79	178.77	384.34	327.56	169.07	265.87	303.44	279.14	258.57	193.01	297.17	271.48	185.11	348.71	197.09	234.57	417.77	251.48	303.44	281.09	346.29	277.2	228.13	165.57	325.29	223.41	432.53	182.55	232.94	289.02	262.2	218.79	234.57	318.57	275.28	234.57	218.79	234.57	264.03	211.31	312.0	146.03	376.41	258.57	236.21	195.72	234.57	336.79	232.94	187.71	289.02	366.09	251.48	420.68	579.04	543.96	595.34	563.18	371.22	476.71	529.06	633.73	587.13	432.53	493.56	521.76	400.71	748.61	450.94	525.39	543.96	674.59	412.0	417.77	669.92	551.56	457.25	262.2	599.49	612.11	507.46	540.19	595.34	669.92	417.77	447.82	283.05	486.75	463.65
DYNC1I2	2032.85	1950.0	1909.85	5913.33	1896.65	1457.23	1191.69	1662.49	1331.57	1250.98	1447.15	1277.29	884.29	1806.78	1388.16	1216.75	1340.84	1388.16	1304.15	1781.89	854.13	466.88	624.99	642.59	599.49	775.05	400.71	463.65	796.86	802.41	612.11	444.72	555.41	703.28	656.11	808.0	429.54	563.18	1030.12	660.68	738.29	567.1	872.1	1088.92	525.39	571.05	656.11	616.37	791.35	483.38	525.39	961.07	848.22	525.39	733.19	974.5	656.11	543.96	387.02	466.88	595.34	371.22	406.31	244.57	1359.57	368.65	454.09	555.41	575.03	1167.14	753.83	198.47	981.29	423.61	733.19	1233.75	1721.16	1322.37	1709.26	1896.65	1225.22	1540.37	1870.53	1378.57	1991.0	1457.23	1467.37	1295.13	1295.13	2468.49	1457.23	1709.26	1896.65	1806.78	1806.78	1923.14	2224.63	1519.15	1407.55	1135.2	1721.16	1350.18	1781.89	1447.15	1923.14	1794.29	1662.49	1151.06	1023.0	1487.87	1242.34
DYNC1LI1	441.64	674.59	688.78	1322.37	679.29	511.0	447.82	483.38	387.02	480.04	406.31	384.34	218.79	575.03	476.71	318.57	503.95	267.73	395.18	579.04	220.32	454.09	312.0	307.69	406.31	381.68	249.73	819.3	356.05	251.48	287.01	275.28	314.17	397.93	339.14	376.41	162.14	273.37	713.11	346.29	389.72	244.57	224.97	366.09	189.02	301.33	417.77	283.05	336.79	638.15	205.5	265.87	334.46	297.17	244.57	473.41	293.07	251.48	132.44	299.25	246.28	262.2	277.2	218.79	480.04	171.45	204.07	293.07	212.78	400.71	264.03	215.77	256.78	198.47	327.56	409.15	371.22	660.68	759.08	738.29	500.46	802.41	775.05	438.59	679.29	708.18	780.44	529.06	703.28	974.5	642.59	674.59	647.07	575.03	591.22	819.3	872.1	629.35	679.29	540.19	748.61	656.11	753.83	507.46	320.8	1104.13	718.08	551.56	392.44	607.87	583.07
ERCC4	52.82	85.22	130.6	743.43	152.28	136.19	55.1	70.01	46.84	64.34	90.14	50.27	15.22	61.25	84.04	77.79	90.77	49.56	73.54	116.78	21.63	26.1	38.12	41.81	44.25	31.0	24.99	12.83	21.16	39.5	21.01	22.59	18.56	40.64	22.75	64.34	40.93	20.41	33.54	34.02	18.56	45.85	10.96	32.82	63.0	16.27	31.22	38.67	75.11	10.79	24.28	41.22	31.0	17.77	39.5	41.22	28.04	39.22	17.0	44.25	33.78	38.67	33.06	52.45	54.72	29.7	28.65	29.06	37.32	42.11	44.57	62.12	41.81	12.0	69.52	50.63	51.35	65.26	105.15	80.01	53.95	77.25	120.1	53.19	132.44	105.89	82.29	82.87	78.34	105.15	44.57	106.63	118.43	78.34	98.73	92.7	105.15	107.38	70.01	72.52	84.04	76.71	109.66	82.87	105.89	72.01	104.42	102.25	69.03	61.68	70.51
