	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6938.01A.11R.1915.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CV.6960.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	TCGA.33.4589.01A.01R.1443.07
FAM189A2	0.0	1.23	314.17	314.17	32.82	43.63	21.01	13.03	95.34	49.56	1.45	10.88	39.79	81.71	126.12	103.69	0.0	0.26	2451.44	808.0	10154.69	2104.58	1151.06	2915.45	1388.16	2384.37	1225.22	1551.09	2816.11	490.14	1662.49	2682.69	1322.37	4066.71	1721.16	1662.49	3103.19	1628.26	1806.78	1857.6	1991.0	785.88	2400.97	2520.38	1183.45	4869.99	3564.78	2287.2	2520.38	1313.23	6121.9	1417.35	0.0
FAM69B	19.82	4.54	100.13	100.13	23.42	32.82	19.53	36.27	10.47	10.47	11.55	34.26	36.53	23.59	17.64	13.62	0.0	0.54	291.04	248.0	769.69	1037.29	132.44	275.28	693.58	400.71	318.57	684.02	567.1	110.43	438.59	262.2	395.18	193.01	371.22	265.87	571.05	309.83	1127.35	327.56	555.41	75.64	507.46	514.56	281.09	373.81	521.76	147.06	1081.39	320.8	148.09	902.89	3.06
FBXW4	232.94	406.31	1583.71	1583.71	511.0	796.86	559.28	890.44	688.78	460.44	341.51	511.0	587.13	791.35	547.75	460.44	0.0	0.58	921.88	1540.37	3443.31	1936.53	2133.97	1977.24	2609.3	1551.09	1250.98	2104.58	2400.97	954.43	1639.59	2555.58	1857.6	1806.78	1529.73	1651.0	2271.4	1745.2	1487.87	2047.0	2018.8	802.41	1832.01	1769.57	1397.83	2400.97	2434.5	1870.53	1721.16	2303.12	1605.83	2133.97	132.44
GGT1	26.1	1051.79	620.67	620.67	236.21	136.19	74.58	318.57	185.11	271.48	123.5	379.04	121.79	121.79	567.1	45.85	0.0	0.35	6079.61	2303.12	7081.29	2255.7	361.04	2335.28	3124.78	6516.03	1628.26	4481.23	1936.53	988.12	2997.45	4095.0	4038.61	2047.0	5076.84	7485.11	3235.01	1639.59	470.14	2303.12	6935.54	1447.15	2178.83	5791.62	5633.22	9540.5	3124.78	2319.15	1225.22	5366.37	3467.27	2976.74	234.57
HEYL	73.54	12.27	157.68	157.68	81.71	44.25	74.06	37.59	10.08	28.65	35.76	51.71	155.5	16.63	12.18	2.94	0.0	0.46	679.29	463.65	1286.18	1909.85	454.09	728.11	1417.35	353.59	460.44	397.93	954.43	241.19	493.56	1008.9	1030.12	559.28	723.08	480.04	163.28	183.82	279.14	915.51	660.68	105.15	483.38	947.83	559.28	612.11	540.19	332.14	660.68	244.57	490.14	688.78	11.13
HIGD1B	37.05	8.06	223.41	223.41	46.5	50.63	28.65	18.84	4.62	35.5	15.45	7.0	38.4	14.45	31.9	12.64	0.0	0.0	1519.15	473.41	1359.57	2855.44	327.56	967.76	2367.9	1111.82	1540.37	2417.67	1369.04	54.72	1721.16	1651.0	1313.23	961.07	1015.93	633.73	1378.57	1081.39	2240.11	669.92	1628.26	753.83	1313.23	802.41	1651.0	1304.15	1250.98	1059.11	4010.71	1397.83	1143.1	1104.13	13.32
HIPK4	0.61	0.3	1.39	1.39	0.95	0.41	0.0	0.77	0.47	1.69	0.97	0.4	1.06	0.0	1.69	0.45	0.0	0.09	5.87	6.06	4.06	5.73	6.06	9.27	9.27	1.39	5.92	4.28	8.25	4.1	2.48	5.23	3.2	3.03	4.17	1.33	3.17	2.2	8.58	7.17	5.63	1.66	4.62	5.02	0.8	13.72	8.0	4.28	17.0	2.73	4.78	7.82	0.0
HOXB6	20.71	61.25	21.94	21.94	19.97	11.38	2.89	2.27	1.43	26.28	6.57	2.73	19.25	11.55	0.0	1.69	0.0	0.66	57.49	72.52	88.26	224.97	13.83	137.14	248.0	90.77	132.44	198.47	60.39	38.95	74.06	46.18	121.79	92.7	180.02	69.03	118.43	103.69	57.08	237.86	149.12	44.89	76.71	148.09	62.56	151.22	83.45	104.42	72.52	62.12	47.17	41.81	7.0
HSPA12B	37.32	10.71	147.06	147.06	22.26	19.82	35.5	12.93	12.74	12.55	18.97	70.51	36.79	18.29	13.22	10.63	0.0	0.22	423.61	316.37	748.61	915.51	217.27	253.23	642.59	902.89	341.51	934.76	791.35	95.34	473.41	454.09	728.11	295.11	423.61	503.95	343.89	209.84	579.04	450.94	769.69	84.63	299.25	587.13	460.44	529.06	674.59	381.68	1001.93	320.8	599.49	493.56	6.89
IL7R	332.14	68.07	94.01	94.01	132.44	76.17	480.04	58.71	167.9	120.94	312.0	220.32	90.14	36.79	128.79	42.41	444.72	248.0	813.63	327.56	3039.3	5147.73	406.31	961.07	1498.22	2682.69	2255.7	1870.53	2032.85	1104.13	1044.52	1313.23	6471.02	1733.13	363.56	1183.45	1529.73	273.37	3540.14	981.29	3018.3	1059.11	1529.73	1286.18	2271.4	567.1	1111.82	2271.4	647.07	1397.83	954.43	1498.22	241.19
