	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.ZG.A8QX.01A.11R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.V1.A8MK.01A.11R.A36G.07	GTEX.NFK9.2226.SM.3MJGP	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.DI.A1BU.01A.11R.A137.07
BOLA2B	6607.01	5954.47	4903.87	5954.47	7537.18	5366.37	6121.9	6887.62	6792.79	4268.94	5292.48	2701.35	1417.35	2047.0	769.69	1059.11	521.76	660.68	974.5	679.29	1268.46	830.75	575.03	1151.06	802.41	1216.75	974.5	915.51	651.58	607.87	1183.45	703.28	728.11	1594.73	769.69	1167.14	808.0	1119.56	1008.9	830.75	688.78	1096.5	698.41	1044.52	2061.24	1044.52	1844.76	1096.5	656.11	1498.22	915.51	638.15	860.08	728.11	620.67	1051.79	2609.3	1806.78	1883.54	1757.34	2240.11	1794.29	2163.77	4066.71	8963.45	2956.17	3716.2	3146.52	4607.24
BRD9	748.61	909.17	575.03	656.11	791.35	1225.22	743.43	819.3	796.86	1066.48	928.3	400.71	265.87	303.44	305.55	341.51	228.13	226.54	279.14	289.02	368.65	211.31	265.87	273.37	332.14	583.07	165.57	309.83	167.9	307.69	212.78	187.71	303.44	264.03	133.36	172.65	221.86	165.57	583.07	229.72	356.05	236.21	195.72	231.32	325.29	301.33	400.71	253.23	303.44	305.55	217.27	283.05	237.86	110.43	295.11	199.85	536.45	460.44	624.99	591.22	490.14	511.0	591.22	733.19	624.99	547.75	708.18	642.59	559.28
BRMS1	1583.71	1259.69	1322.37	1508.65	1111.82	2609.3	1023.0	1437.15	1427.22	1388.16	1605.83	1127.35	967.76	866.07	684.02	638.15	486.75	454.09	470.14	518.15	890.44	518.15	460.44	521.76	612.11	1008.9	603.67	748.61	612.11	348.71	547.75	629.35	525.39	748.61	575.03	444.72	738.29	656.11	819.3	406.31	679.29	693.58	551.56	483.38	808.0	780.44	967.76	463.65	444.72	603.67	591.22	384.34	563.18	221.86	603.67	647.07	1119.56	1199.98	1015.93	1733.13	1191.69	1359.57	1331.57	1417.35	1295.13	1745.2	2004.85	1628.26	909.17
C11orf48	4607.24	3325.99	2796.65	3614.55	4066.71	4869.99	3467.27	4543.8	5147.73	3257.52	3443.31	2032.85	2075.59	2351.53	1583.71	1561.89	1529.73	1111.82	1322.37	1594.73	2555.58	1447.15	1427.22	1487.87	1769.57	2367.9	1832.01	2193.99	1572.76	1369.04	1674.06	1457.23	1844.76	1651.0	1388.16	1477.58	1639.59	1551.09	2133.97	1498.22	1388.16	1950.0	1167.14	1745.2	2303.12	1561.89	1674.06	1617.0	1487.87	1909.85	1977.24	1313.23	1757.34	896.64	1498.22	1467.37	4210.15	3589.58	3820.7	4512.4	4239.45	3847.29	4268.94	4298.64	4298.64	4450.27	4836.35	4038.61	4038.61
C12orf10	1963.57	1896.65	1295.13	1857.6	2434.5	2555.58	2032.85	1639.59	2520.38	1896.65	1870.53	791.35	1066.48	1242.34	878.17	890.44	638.15	587.13	836.53	753.83	1259.69	819.3	674.59	796.86	842.36	1059.11	656.11	748.61	836.53	507.46	748.61	665.29	981.29	954.43	629.35	796.86	733.19	1096.5	1037.29	660.68	796.86	854.13	698.41	854.13	1359.57	954.43	854.13	941.27	633.73	921.88	1008.9	693.58	819.3	497.0	1175.27	890.44	1340.84	1407.55	1208.34	1561.89	1519.15	1407.55	1639.59	1769.57	2664.15	2335.28	1991.0	1639.59	1909.85
C12orf45	591.22	466.88	460.44	343.89	371.22	642.59	624.99	426.57	450.94	348.71	603.67	457.25	320.8	438.59	189.02	237.86	140.04	199.85	271.48	202.66	264.03	211.31	169.07	318.57	329.84	255.0	156.59	228.13	231.32	181.28	260.38	228.13	221.86	193.01	267.73	262.2	92.05	269.6	346.29	169.07	173.85	242.88	115.97	185.11	339.14	307.69	258.57	309.83	165.57	242.88	269.6	234.57	187.71	165.57	148.09	248.0	387.02	287.01	201.25	395.18	366.09	258.57	293.07	480.04	591.22	775.05	698.41	947.83	743.43
C16orf91	507.46	301.33	536.45	417.77	466.88	703.28	291.04	307.69	334.46	490.14	753.83	384.34	341.51	395.18	293.07	275.28	232.94	275.28	248.0	251.48	387.02	371.22	231.32	224.97	224.97	327.56	275.28	260.38	412.0	265.87	376.41	281.09	291.04	283.05	309.83	248.0	314.17	206.94	500.46	148.09	327.56	223.41	260.38	366.09	318.57	497.0	395.18	381.68	190.34	327.56	525.39	221.86	208.38	96.01	171.45	221.86	305.55	329.84	403.5	423.61	414.87	358.54	283.05	595.34	323.03	480.04	665.29	376.41	575.03
C1orf229	5.36	3.23	6.36	1.53	9.78	2.61	4.98	1.99	3.32	18.43	15.22	8.19	0.0	1.69	2.03	9.27	1.39	1.31	1.33	3.23	5.92	2.16	0.82	0.85	2.36	6.41	1.85	3.59	3.26	1.97	2.18	0.53	7.34	6.41	0.8	0.09	0.42	1.41	1.81	0.97	1.71	0.68	9.48	2.84	2.89	1.19	3.76	2.81	0.89	0.0	0.04	1.81	0.73	2.66	2.34	0.37	18.84	13.72	21.63	15.45	38.12	15.45	9.06	4.74	10.88	3.79	6.57	1.01	8.45
CCDC124	2520.38	2178.83	2591.27	2935.74	3146.52	5711.87	2434.5	2573.36	2682.69	5183.54	5112.16	2520.38	2047.0	1685.71	1572.76	1277.29	1151.06	1081.39	1340.84	1023.0	1923.14	1304.15	1104.13	1313.23	1313.23	1561.89	1044.52	1628.26	1397.83	934.76	1313.23	1159.07	1340.84	1963.57	1159.07	1242.34	1242.34	1857.6	1457.23	1350.18	1457.23	1540.37	1350.18	1037.29	2758.13	1277.29	2061.24	1662.49	1119.56	1857.6	1540.37	1001.93	1583.71	1051.79	1529.73	1340.84	2537.92	2209.26	2178.83	2935.74	2537.92	2417.67	2351.53	3874.05	3372.43	3564.78	4607.24	3639.7	2835.7
CCDC85B	551.56	366.09	1721.16	414.87	392.44	5633.22	575.03	497.0	271.48	2133.97	4268.94	521.76	258.57	420.68	236.21	463.65	353.59	198.47	157.68	450.94	854.13	232.94	269.6	232.94	521.76	343.89	339.14	417.77	297.17	117.6	381.68	149.12	277.2	444.72	72.01	295.11	127.89	279.14	195.72	258.57	173.85	463.65	218.79	170.25	299.25	182.55	642.59	215.77	97.36	312.0	178.77	171.45	206.94	173.85	232.94	312.0	813.63	540.19	518.15	988.12	780.44	738.29	371.22	878.17	854.13	1001.93	785.88	733.19	599.49
CDC37	5913.33	5112.16	4836.35	4481.23	5791.62	8305.36	5791.62	3372.43	6471.02	4869.99	4937.99	4066.71	3716.2	3018.3	3124.78	2935.74	1781.89	1769.57	2047.0	2018.8	2777.33	2004.85	1781.89	1909.85	2434.5	2591.27	1605.83	2193.99	1832.01	1583.71	2075.59	1508.65	1583.71	2090.03	1313.23	1583.71	2609.3	2004.85	2384.37	1594.73	1963.57	2061.24	1674.06	1806.78	3280.18	1674.06	2758.13	2018.8	1417.35	2664.15	2133.97	2163.77	1923.14	1498.22	1963.57	1551.09	4937.99	4358.66	3372.43	4639.29	4450.27	4607.24	5041.77	3768.09	5366.37	4736.79	4388.98	4802.93	5633.22
CKLF	1697.45	1936.53	2193.99	1498.22	1909.85	1991.0	2104.58	2434.5	1340.84	1617.0	3081.75	1427.22	540.19	854.13	457.25	518.15	297.17	348.71	343.89	525.39	775.05	275.28	563.18	470.14	995.0	607.87	819.3	514.56	395.18	412.0	796.86	493.56	426.57	961.07	490.14	486.75	603.67	450.94	412.0	463.65	511.0	547.75	503.95	514.56	555.41	450.94	890.44	289.02	414.87	872.1	674.59	376.41	432.53	353.59	536.45	457.25	381.68	457.25	358.54	551.56	660.68	470.14	320.8	2816.11	2032.85	2451.44	1508.65	1175.27	1388.16
CMSS1	674.59	555.41	551.56	381.68	353.59	1359.57	320.8	423.61	441.64	1023.0	1059.11	341.51	460.44	387.02	214.27	301.33	193.01	348.71	232.94	258.57	297.17	309.83	236.21	336.79	267.73	511.0	327.56	329.84	305.55	195.72	229.72	244.57	236.21	356.05	320.8	262.2	444.72	241.19	423.61	256.78	281.09	457.25	255.0	214.27	414.87	363.56	559.28	277.2	241.19	307.69	511.0	177.53	283.05	277.2	283.05	224.97	525.39	457.25	536.45	441.64	543.96	447.82	420.68	507.46	808.0	511.0	981.29	559.28	575.03
CNIH4	1950.0	1781.89	1407.55	1617.0	1388.16	1617.0	2303.12	2468.49	2502.97	1745.2	3395.89	1331.57	595.34	780.44	693.58	466.88	559.28	638.15	371.22	559.28	642.59	493.56	629.35	575.03	785.88	1127.35	698.41	500.46	480.04	395.18	493.56	718.08	397.93	651.58	665.29	514.56	718.08	638.15	387.02	909.17	414.87	620.67	642.59	423.61	473.41	629.35	775.05	454.09	642.59	607.87	575.03	536.45	713.11	412.0	563.18	866.07	738.29	559.28	633.73	503.95	802.41	738.29	312.0	1832.01	1721.16	1051.79	1199.98	1277.29	1819.35
COMMD4	4736.79	3124.78	3280.18	4736.79	3690.52	5255.91	2591.27	2976.74	3589.58	2148.82	3235.01	3081.75	2400.97	2451.44	1685.71	2061.24	1175.27	1208.34	1745.2	1467.37	2502.97	1674.06	1233.75	1407.55	2061.24	1322.37	1233.75	1674.06	1111.82	1697.45	2178.83	866.07	1388.16	2434.5	890.44	1508.65	1167.14	2303.12	1104.13	860.08	1651.0	1832.01	1617.0	1199.98	1733.13	1467.37	713.11	1883.54	1295.13	2417.67	1259.69	1457.23	1674.06	1447.15	1883.54	1286.18	2451.44	2178.83	1685.71	2240.11	2178.83	2004.85	2591.27	5441.3	3372.43	5366.37	4152.18	3168.41	3874.05
CTU2	432.53	336.79	320.8	447.82	540.19	738.29	353.59	336.79	543.96	642.59	476.71	295.11	231.32	251.48	291.04	267.73	191.67	244.57	248.0	145.02	373.81	285.03	204.07	171.45	267.73	241.19	201.25	215.77	316.37	180.02	155.5	185.11	165.57	341.51	242.88	202.66	314.17	275.28	441.64	169.07	180.02	283.05	194.36	283.05	224.97	341.51	438.59	269.6	209.84	320.8	343.89	164.42	175.07	140.04	260.38	262.2	373.81	293.07	215.77	305.55	373.81	301.33	265.87	463.65	392.44	532.74	616.37	447.82	563.18
DGCR14	457.25	470.14	403.5	571.05	507.46	616.37	395.18	291.04	616.37	595.34	432.53	239.52	211.31	223.41	234.57	161.02	137.14	141.02	170.25	123.5	204.07	156.59	138.1	167.9	206.94	186.4	139.07	189.02	159.9	118.43	176.29	95.34	163.28	267.73	127.89	167.9	193.01	113.56	154.42	130.6	161.02	161.02	135.24	170.25	197.09	182.55	283.05	236.21	117.6	195.72	147.06	167.9	105.89	70.01	197.09	156.59	256.78	295.11	264.03	334.46	343.89	358.54	368.65	406.31	503.95	525.39	559.28	409.15	441.64
DIABLO	1870.53	1467.37	1583.71	1487.87	1936.53	2351.53	1857.6	1936.53	1487.87	1909.85	1857.6	1397.83	1519.15	1369.04	1277.29	1044.52	1081.39	1081.39	1295.13	1175.27	1350.18	1167.14	1277.29	1135.2	1417.35	1991.0	1447.15	1023.0	1159.07	1119.56	1745.2	1208.34	1143.1	1286.18	1540.37	1268.46	1427.22	934.76	1127.35	1322.37	1340.84	1233.75	1119.56	1295.13	1427.22	1295.13	1313.23	1242.34	825.0	1111.82	1745.2	1081.39	1250.98	909.17	941.27	830.75	1340.84	1250.98	1369.04	1519.15	1561.89	1417.35	1583.71	2384.37	1487.87	1427.22	1745.2	1794.29	1991.0
DOHH	246.28	209.84	417.77	366.09	303.44	842.36	265.87	371.22	209.84	412.0	563.18	332.14	301.33	204.07	171.45	262.2	134.3	126.12	191.67	106.63	435.55	198.47	146.03	137.14	170.25	241.19	246.28	204.07	204.07	116.78	134.3	218.79	143.01	221.86	110.43	163.28	194.36	237.86	241.19	153.34	183.82	144.01	172.65	152.28	273.37	214.27	281.09	190.34	124.37	141.02	316.37	140.04	155.5	94.01	218.79	189.02	423.61	348.71	363.56	435.55	423.61	379.04	173.85	723.08	332.14	470.14	571.05	529.06	406.31
DRAP1	3955.48	3874.05	3665.02	4388.98	3540.14	11189.6	4769.75	5872.48	4038.61	4450.27	5441.3	2682.69	2682.69	3146.52	1685.71	2303.12	1216.75	1733.13	1963.57	1268.46	2148.82	1977.24	1487.87	1870.53	2451.44	1277.29	1540.37	1963.57	1340.84	1378.57	2018.8	1119.56	1191.69	2875.3	1159.07	1832.01	1733.13	2777.33	1457.23	1844.76	2255.7	2609.3	1674.06	2075.59	2627.46	2075.59	2335.28	1447.15	1709.26	2303.12	1721.16	1322.37	1794.29	2004.85	1519.15	1397.83	2609.3	2720.15	2255.7	2720.15	3060.45	2777.33	2573.36	5255.91	5403.7	3325.99	3540.14	3060.45	5403.7
DRG1	1794.29	1617.0	1508.65	1583.71	1388.16	2367.9	1757.34	1819.35	1388.16	1159.07	2090.03	1081.39	947.83	1268.46	780.44	954.43	866.07	860.08	759.08	764.36	1208.34	1066.48	842.36	967.76	909.17	1073.91	1015.93	764.36	728.11	713.11	866.07	723.08	769.69	738.29	848.22	836.53	753.83	748.61	819.3	679.29	860.08	1159.07	866.07	825.0	1081.39	961.07	947.83	1437.15	842.36	941.27	866.07	819.3	825.0	583.07	733.19	647.07	1519.15	1331.57	1008.9	1757.34	1477.58	1250.98	1268.46	1844.76	1639.59	1883.54	2075.59	1594.73	2367.9
DRG2	521.76	1175.27	748.61	796.86	1127.35	1233.75	954.43	612.11	1037.29	1059.11	669.92	769.69	902.89	603.67	769.69	384.34	406.31	412.0	420.68	583.07	775.05	409.15	476.71	417.77	447.82	493.56	423.61	493.56	312.0	620.67	371.22	332.14	500.46	426.57	417.77	441.64	397.93	575.03	536.45	409.15	329.84	480.04	381.68	463.65	934.76	384.34	470.14	417.77	314.17	500.46	444.72	493.56	500.46	483.38	432.53	353.59	981.29	1059.11	1044.52	1225.22	947.83	1096.5	1127.35	872.1	902.89	1030.12	902.89	878.17	759.08
DROSHA	1167.14	1088.92	866.07	1437.15	1088.92	1216.75	1639.59	1498.22	1277.29	1498.22	1216.75	684.02	612.11	591.22	490.14	426.57	417.77	318.57	412.0	669.92	567.1	316.37	381.68	460.44	665.29	473.41	297.17	441.64	181.28	387.02	255.0	314.17	212.78	277.2	195.72	447.82	208.38	329.84	412.0	303.44	457.25	466.88	273.37	397.93	629.35	262.2	503.95	559.28	336.79	376.41	336.79	660.68	525.39	381.68	466.88	450.94	981.29	860.08	825.0	1295.13	1023.0	1104.13	961.07	1427.22	1519.15	1794.29	1313.23	1457.23	1487.87
EIF2B2	656.11	555.41	660.68	656.11	521.76	1008.9	698.41	395.18	595.34	718.08	679.29	551.56	460.44	559.28	463.65	426.57	400.71	361.04	327.56	309.83	493.56	438.59	403.5	339.14	435.55	669.92	318.57	373.81	518.15	253.23	267.73	457.25	426.57	417.77	426.57	463.65	480.04	332.14	384.34	406.31	497.0	384.34	373.81	381.68	463.65	470.14	629.35	406.31	387.02	368.65	387.02	312.0	327.56	218.79	435.55	387.02	555.41	651.58	587.13	642.59	698.41	567.1	693.58	967.76	660.68	703.28	981.29	753.83	860.08
EIF2B4	1015.93	1044.52	1044.52	947.83	1066.48	1709.26	1191.69	1295.13	1498.22	1350.18	1427.22	759.08	759.08	1096.5	583.07	718.08	665.29	748.61	651.58	579.04	896.64	738.29	813.63	543.96	679.29	728.11	493.56	536.45	660.68	514.56	500.46	563.18	583.07	571.05	698.41	406.31	728.11	633.73	713.11	518.15	571.05	842.36	473.41	466.88	842.36	616.37	954.43	693.58	599.49	723.08	563.18	633.73	638.15	389.72	435.55	660.68	1832.01	1487.87	1594.73	1963.57	1896.65	1674.06	1794.29	1191.69	1322.37	1674.06	1331.57	1407.55	1697.45
