	TCGA.FJ.A871.01A.11R.A352.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.5P.A9JV.01A.12R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.FL.A1YQ.11A.11R.A32Y.07
CTBP1	3235.01	3235.01	3665.02	3847.29	3874.05	2796.65	2303.12	2915.45	2032.85	1066.48	1498.22	2367.9	2520.38	1407.55	1870.53	1709.26	1651.0	3081.75	1757.34	1572.76	2468.49	2997.45	1685.71	1923.14	1769.57	3443.31	1378.57	3395.89	3190.46	4298.64	4328.55
CTDP1	497.0	406.31	450.94	480.04	575.03	223.41	269.6	249.73	170.25	110.43	108.14	291.04	176.29	162.14	183.82	170.25	212.78	295.11	120.1	202.66	305.55	312.0	190.34	172.65	156.59	305.55	303.44	429.54	395.18	403.5	373.81
DHRS1	532.74	928.3	967.76	921.88	909.17	764.36	460.44	493.56	289.02	262.2	329.84	599.49	361.04	379.04	420.68	620.67	339.14	775.05	457.25	346.29	603.67	603.67	656.11	447.82	476.71	1096.5	0.0	825.0	872.1	1001.93	769.69
DOLPP1	426.57	258.57	327.56	493.56	423.61	208.38	141.02	125.24	139.07	128.79	106.63	130.6	156.59	126.12	185.11	135.24	74.58	148.09	108.14	120.94	147.06	169.07	129.69	144.01	133.36	189.02	0.0	373.81	417.77	295.11	237.86
E4F1	473.41	567.1	1437.15	3124.78	780.44	277.2	241.19	253.23	149.12	82.29	124.37	269.6	236.21	164.42	163.28	237.86	153.34	271.48	173.85	178.77	220.32	486.75	197.09	183.82	171.45	287.01	0.0	713.11	866.07	591.22	693.58
EFS	466.88	836.53	591.22	392.44	909.17	71.5	220.32	209.84	198.47	35.25	37.32	314.17	36.53	18.84	121.79	199.85	31.22	53.19	58.3	92.7	218.79	103.69	56.28	202.66	12.74	218.79	0.0	738.29	343.89	698.41	896.64
ELP6	1572.76	688.78	819.3	947.83	693.58	579.04	483.38	376.41	403.5	260.38	389.72	470.14	417.77	392.44	536.45	392.44	384.34	536.45	242.88	400.71	476.71	591.22	444.72	429.54	316.37	728.11	0.0	921.88	961.07	1127.35	1001.93
EMC8	791.35	400.71	435.55	642.59	703.28	444.72	392.44	483.38	329.84	429.54	283.05	325.29	287.01	348.71	305.55	392.44	253.23	480.04	397.93	320.8	525.39	466.88	283.05	423.61	356.05	483.38	0.0	476.71	486.75	629.35	514.56
EVA1B	3491.39	1242.34	6840.04	2367.9	1769.57	878.17	540.19	860.08	825.0	723.08	785.88	708.18	1331.57	595.34	379.04	624.99	303.44	860.08	305.55	190.34	1127.35	633.73	232.94	616.37	507.46	1199.98	0.0	1388.16	825.0	2061.24	2591.27
EXOSC3	1127.35	507.46	1015.93	1104.13	775.05	392.44	470.14	460.44	356.05	503.95	307.69	204.07	371.22	379.04	400.71	363.56	208.38	616.37	336.79	204.07	518.15	366.09	253.23	356.05	329.84	473.41	0.0	500.46	607.87	769.69	813.63
FAM3A	1073.91	1151.06	1143.1	1498.22	2240.11	1216.75	703.28	961.07	748.61	532.74	476.71	1233.75	1159.07	567.1	503.95	1111.82	748.61	1111.82	866.07	921.88	1250.98	1950.0	642.59	1104.13	915.51	1407.55	0.0	1617.0	1685.71	1259.69	1745.2
FBXL22	20.11	135.24	49.91	53.57	56.68	17.64	9.78	16.75	8.92	6.62	18.43	8.32	22.26	6.46	8.71	23.42	7.75	11.64	2.2	9.78	16.88	8.45	35.76	22.1	11.47	21.47	0.0	450.94	22.75	303.44	356.05
FBXO18	1844.76	1427.22	1417.35	1208.34	2075.59	1508.65	974.5	928.3	961.07	896.64	633.73	1023.0	866.07	775.05	825.0	1313.23	878.17	1427.22	915.51	791.35	1143.1	1397.83	1268.46	684.02	728.11	1199.98	733.19	1936.53	1651.0	1639.59	2178.83
FEM1A	237.86	441.64	441.64	447.82	791.35	275.28	148.09	193.01	80.01	186.4	195.72	229.72	255.0	197.09	67.12	232.94	63.45	346.29	204.07	42.11	309.83	237.86	13.62	139.07	170.25	320.8	0.0	392.44	368.65	343.89	351.14
GLTPD1	551.56	620.67	748.61	629.35	1477.58	441.64	291.04	555.41	351.14	218.79	277.2	486.75	460.44	287.01	291.04	395.18	287.01	551.56	351.14	336.79	591.22	473.41	177.53	406.31	423.61	674.59	0.0	728.11	764.36	521.76	669.92
H1FX	2018.8	4123.49	6607.01	8191.0	11424.74	1617.0	1407.55	854.13	1583.71	1001.93	860.08	1183.45	1051.79	988.12	967.76	1127.35	620.67	1662.49	974.5	563.18	1909.85	1304.15	483.38	825.0	1008.9	1963.57	0.0	4543.8	3982.99	5147.73	4736.79
HDGFRP2	3820.7	1561.89	1721.16	1437.15	2335.28	941.27	878.17	866.07	688.78	264.03	616.37	866.07	954.43	660.68	703.28	902.89	629.35	1081.39	583.07	785.88	1015.93	995.0	679.29	728.11	813.63	1268.46	1216.75	1697.45	1088.92	2209.26	2682.69
HES4	295.11	555.41	860.08	633.73	1662.49	159.9	197.09	264.03	181.28	186.4	297.17	162.14	236.21	183.82	100.83	155.5	105.15	187.71	122.64	58.3	307.69	470.14	94.01	208.38	209.84	397.93	0.0	1594.73	2351.53	728.11	493.56
HMG20B	2875.3	2502.97	3955.48	4639.29	3614.55	1583.71	1304.15	1674.06	1259.69	532.74	1359.57	1594.73	1594.73	1216.75	961.07	1322.37	1088.92	1498.22	1268.46	1073.91	1508.65	1950.0	1277.29	1369.04	1304.15	1870.53	3419.52	3515.68	7911.95	3874.05	3665.02
IER5L	1286.18	193.01	373.81	902.89	629.35	223.41	318.57	318.57	140.04	228.13	190.34	170.25	275.28	114.36	167.9	224.97	55.89	525.39	95.34	72.52	371.22	346.29	57.49	182.55	141.02	595.34	0.0	536.45	303.44	1242.34	1216.75
IFI27L1	277.2	366.09	483.38	728.11	718.08	493.56	353.59	260.38	185.11	264.03	212.78	206.94	429.54	251.48	224.97	273.37	232.94	536.45	214.27	193.01	343.89	379.04	228.13	231.32	236.21	507.46	0.0	351.14	457.25	1008.9	802.41
IFRD2	2720.15	1572.76	1388.16	1909.85	1104.13	928.3	612.11	728.11	547.75	775.05	417.77	688.78	698.41	381.68	384.34	417.77	503.95	796.86	460.44	587.13	665.29	1286.18	748.61	698.41	368.65	1111.82	0.0	1572.76	3491.39	1417.35	1208.34
IRF2BP1	518.15	813.63	808.0	743.43	1051.79	237.86	244.57	220.32	265.87	149.12	189.02	234.57	258.57	125.24	206.94	316.37	198.47	444.72	202.66	158.79	318.57	205.5	169.07	314.17	242.88	476.71	0.0	738.29	669.92	780.44	785.88
LMNB2	1769.57	414.87	507.46	587.13	555.41	285.03	262.2	275.28	218.79	99.43	178.77	228.13	287.01	157.68	218.79	215.77	215.77	301.33	197.09	392.44	392.44	170.25	246.28	220.32	223.41	303.44	0.0	426.57	525.39	1208.34	651.58
LZTS2	1023.0	1883.54	2434.5	1721.16	1733.13	764.36	842.36	480.04	647.07	348.71	379.04	698.41	521.76	486.75	529.06	764.36	547.75	1286.18	368.65	591.22	1175.27	1037.29	450.94	665.29	511.0	1304.15	647.07	2537.92	1685.71	1781.89	1794.29
MBD3	2855.44	1674.06	1662.49	1477.58	2664.15	967.76	878.17	934.76	743.43	361.04	358.54	1143.1	866.07	460.44	679.29	934.76	703.28	1359.57	890.44	780.44	1051.79	1059.11	679.29	813.63	854.13	1639.59	1216.75	2255.7	2645.74	2061.24	1832.01
MBLAC1	50.63	70.01	88.26	83.45	94.01	47.17	33.3	59.97	27.44	6.84	11.82	49.56	31.67	22.75	19.39	35.76	21.16	109.66	42.41	24.81	58.71	92.05	25.54	45.53	53.95	75.64	0.0	100.83	171.45	80.57	111.99
NOC4L	1359.57	583.07	703.28	1259.69	1225.22	429.54	305.55	486.75	351.14	212.78	172.65	336.79	303.44	199.85	320.8	376.41	264.03	514.56	281.09	291.04	376.41	547.75	190.34	305.55	314.17	403.5	0.0	563.18	802.41	830.75	620.67
NOL6	713.11	642.59	514.56	698.41	624.99	447.82	454.09	406.31	295.11	334.46	237.86	264.03	285.03	221.86	356.05	273.37	275.28	420.68	289.02	299.25	389.72	417.77	303.44	277.2	291.04	392.44	0.0	529.06	890.44	698.41	583.07
NOSIP	4802.93	1561.89	2367.9	2178.83	4095.0	1628.26	1388.16	1397.83	1447.15	723.08	1519.15	1477.58	1208.34	1096.5	1030.12	1397.83	1199.98	1757.34	1167.14	921.88	1617.0	1407.55	1073.91	1508.65	1143.1	1662.49	0.0	1896.65	1745.2	2537.92	2451.44
NT5C	2303.12	1561.89	1662.49	1651.0	1963.57	1331.57	1066.48	1051.79	1175.27	358.54	981.29	1388.16	1233.75	1233.75	638.15	1044.52	674.59	1594.73	884.29	791.35	1331.57	1832.01	785.88	780.44	830.75	1757.34	0.0	1605.83	1487.87	1950.0	1832.01
OXLD1	1259.69	1044.52	1277.29	1508.65	2032.85	872.1	397.93	540.19	316.37	307.69	232.94	543.96	473.41	273.37	318.57	395.18	289.02	819.3	371.22	371.22	547.75	743.43	214.27	348.71	348.71	684.02	0.0	1304.15	1757.34	1175.27	1159.07
P2RY11	251.48	318.57	325.29	279.14	595.34	177.53	172.65	140.04	164.42	43.63	53.95	312.0	146.03	82.29	106.63	108.9	66.18	332.14	97.36	162.14	137.14	316.37	125.24	151.22	113.56	301.33	0.0	358.54	249.73	447.82	346.29
PEX16	890.44	896.64	1073.91	1662.49	1417.35	802.41	532.74	738.29	483.38	283.05	387.02	775.05	493.56	412.0	384.34	679.29	493.56	620.67	493.56	463.65	575.03	647.07	336.79	583.07	414.87	802.41	0.0	902.89	866.07	775.05	769.69
PGP	435.55	171.45	480.04	656.11	348.71	171.45	112.77	208.38	85.22	78.89	93.35	106.63	143.01	96.01	102.25	76.71	88.26	170.25	113.56	103.69	170.25	137.14	95.34	120.94	109.66	142.01	0.0	191.67	265.87	275.28	202.66
PIGZ	63.45	153.34	152.28	131.51	151.22	45.85	31.67	35.5	56.68	23.76	22.26	78.89	38.67	50.27	33.78	120.1	53.19	78.89	18.16	22.43	186.4	53.95	33.54	53.19	33.78	158.79	0.0	260.38	293.07	260.38	154.42
PIN1	3614.55	1709.26	2148.82	2502.97	3665.02	1322.37	1369.04	1286.18	1044.52	435.55	1044.52	1561.89	1487.87	915.51	1088.92	1572.76	1286.18	1437.15	947.83	1159.07	1397.83	1127.35	1135.2	1662.49	1151.06	1909.85	0.0	2816.11	2796.65	2148.82	2032.85
POMGNT2	518.15	400.71	373.81	353.59	329.84	166.73	181.28	267.73	273.37	198.47	199.85	271.48	241.19	164.42	232.94	387.02	185.11	246.28	162.14	185.11	244.57	187.71	201.25	234.57	218.79	336.79	0.0	547.75	343.89	532.74	616.37
PQLC2	514.56	381.68	607.87	432.53	693.58	384.34	202.66	249.73	138.1	164.42	153.34	392.44	283.05	158.79	204.07	178.77	229.72	384.34	232.94	262.2	470.14	366.09	217.27	167.9	186.4	381.68	0.0	403.5	490.14	397.93	409.15
PRR24	1081.39	854.13	1216.75	934.76	1628.26	872.1	547.75	441.64	314.17	423.61	171.45	376.41	476.71	152.28	277.2	397.93	249.73	723.08	441.64	209.84	575.03	836.53	231.32	373.81	384.34	507.46	0.0	1295.13	1199.98	1143.1	1397.83
PTRH1	1208.34	532.74	780.44	1081.39	1135.2	307.69	198.47	279.14	209.84	148.09	131.51	199.85	237.86	136.19	218.79	373.81	127.0	563.18	198.47	148.09	237.86	279.14	149.12	195.72	285.03	460.44	0.0	470.14	679.29	836.53	854.13
PUS1	1059.11	460.44	583.07	759.08	688.78	400.71	327.56	356.05	305.55	125.24	119.26	316.37	232.94	148.09	232.94	236.21	195.72	363.56	297.17	255.0	339.14	463.65	295.11	169.07	166.73	432.53	0.0	493.56	909.17	674.59	555.41
RCCD1	271.48	221.86	205.5	258.57	283.05	239.52	122.64	154.42	131.51	87.03	90.77	220.32	241.19	105.89	127.0	173.85	124.37	228.13	143.01	211.31	241.19	194.36	217.27	162.14	79.45	251.48	0.0	318.57	212.78	379.04	267.73
RING1	1639.59	1313.23	1313.23	1199.98	1709.26	669.92	660.68	463.65	603.67	395.18	633.73	693.58	384.34	536.45	679.29	624.99	684.02	1051.79	327.56	412.0	738.29	759.08	629.35	559.28	511.0	1143.1	0.0	1540.37	1508.65	1745.2	1685.71
RPP25L	1832.01	974.5	1044.52	1561.89	1628.26	796.86	567.1	638.15	518.15	575.03	314.17	353.59	503.95	303.44	389.72	567.1	329.84	684.02	490.14	329.84	738.29	612.11	426.57	633.73	395.18	866.07	0.0	836.53	1322.37	1159.07	1030.12
RPUSD3	1135.2	698.41	836.53	1066.48	878.17	532.74	368.65	423.61	323.03	483.38	341.51	547.75	447.82	336.79	332.14	420.68	341.51	379.04	392.44	397.93	497.0	679.29	417.77	376.41	260.38	718.08	0.0	748.61	708.18	703.28	703.28
SIGIRR	1806.78	1322.37	2400.97	2997.45	1594.73	1191.69	1059.11	583.07	775.05	514.56	521.76	909.17	775.05	457.25	808.0	674.59	583.07	802.41	651.58	647.07	1151.06	1135.2	785.88	947.83	802.41	1561.89	0.0	1870.53	2271.4	1417.35	1583.71
SMARCD3	1066.48	1191.69	1127.35	890.44	718.08	387.02	417.77	309.83	180.02	353.59	277.2	301.33	376.41	249.73	201.25	166.73	187.71	299.25	92.05	96.68	406.31	490.14	334.46	202.66	108.9	540.19	0.0	1977.24	1081.39	1508.65	1674.06
SSBP4	2468.49	1963.57	2224.63	2178.83	1674.06	1286.18	1233.75	1073.91	1096.5	808.0	759.08	1331.57	1417.35	921.88	902.89	1304.15	872.1	1529.73	890.44	791.35	1216.75	1561.89	1191.69	1135.2	775.05	1769.57	0.0	2468.49	2061.24	3467.27	3395.89
SWSAP1	74.06	85.22	129.69	199.85	144.01	77.25	50.98	49.91	39.79	30.78	27.25	57.89	31.67	27.44	39.79	70.51	34.51	56.28	80.57	39.22	50.63	63.45	57.08	51.71	45.85	101.54	0.0	72.01	79.45	97.36	74.58
TFPT	1529.73	620.67	1073.91	1088.92	2287.2	583.07	500.46	373.81	420.68	147.06	175.07	409.15	289.02	289.02	358.54	363.56	262.2	629.35	265.87	256.78	703.28	432.53	281.09	368.65	285.03	480.04	0.0	785.88	2555.58	854.13	769.69
TGFBI	73221.53	1397.83	1167.14	1721.16	8134.41	134755.94	343510.77	419990.32	338781.54	201440.3	242898.5	248002.34	419990.32	114103.8	246289.25	411347.03	114103.8	174152.51	186652.11	275175.93	114103.8	258533.99	391864.76	294926.33	174152.51	20030.74	0.0	3467.27	2485.67	6294.04	8078.22
THOP1	1883.54	656.11	1417.35	872.1	1135.2	511.0	387.02	334.46	316.37	137.14	251.48	351.14	406.31	246.28	262.2	466.88	332.14	429.54	460.44	429.54	559.28	409.15	358.54	318.57	248.0	518.15	0.0	1059.11	2645.74	961.07	825.0
TMEM115	1250.98	1183.45	1268.46	1295.13	1477.58	759.08	583.07	571.05	624.99	759.08	414.87	587.13	532.74	447.82	490.14	764.36	529.06	813.63	423.61	480.04	780.44	753.83	423.61	607.87	571.05	1191.69	0.0	1233.75	1437.15	1001.93	1015.93
TMEM203	1369.04	1059.11	1001.93	1199.98	1540.37	748.61	638.15	567.1	698.41	947.83	599.49	551.56	603.67	540.19	642.59	543.96	392.44	928.3	563.18	412.0	693.58	629.35	532.74	684.02	529.06	1030.12	0.0	1088.92	785.88	1044.52	1111.82
TPGS1	995.0	397.93	412.0	307.69	688.78	93.35	112.77	241.19	82.87	94.67	106.63	103.69	204.07	95.34	67.59	161.02	38.12	134.3	77.25	40.07	199.85	75.11	19.53	173.85	146.03	299.25	0.0	371.22	253.23	525.39	438.59
TRAF2	738.29	417.77	684.02	872.1	669.92	417.77	332.14	218.79	211.31	76.71	137.14	246.28	314.17	152.28	248.0	215.77	162.14	258.57	269.6	231.32	293.07	295.11	156.59	271.48	193.01	329.84	0.0	543.96	470.14	287.01	305.55
TRIM11	435.55	429.54	866.07	1088.92	651.58	287.01	241.19	220.32	152.28	80.57	154.42	189.02	226.54	149.12	172.65	202.66	143.01	253.23	165.57	164.42	283.05	220.32	239.52	171.45	152.28	339.14	0.0	514.56	651.58	514.56	466.88
TRMT61A	403.5	309.83	318.57	353.59	329.84	232.94	178.77	149.12	74.06	66.65	50.63	144.01	135.24	88.26	101.54	194.36	90.77	237.86	107.38	132.44	182.55	241.19	111.21	135.24	111.99	220.32	0.0	460.44	563.18	438.59	457.25
TSSC4	1709.26	995.0	1340.84	1572.76	2537.92	915.51	679.29	607.87	511.0	285.03	277.2	941.27	836.53	511.0	384.34	660.68	563.18	842.36	384.34	400.71	684.02	1216.75	559.28	624.99	379.04	808.0	0.0	1331.57	1674.06	1199.98	1225.22
TTC9B	1.73	1.16	3.23	1.6	7.75	6.16	0.78	0.79	0.41	1.58	0.0	2.23	1.97	0.38	1.95	0.79	0.77	3.86	0.77	0.75	1.89	4.1	0.41	0.78	1.11	0.35	0.0	5.73	15.34	5.32	3.41
TUSC2	830.75	688.78	764.36	1225.22	934.76	454.09	368.65	595.34	406.31	559.28	521.76	441.64	400.71	332.14	281.09	395.18	341.51	463.65	316.37	320.8	400.71	466.88	287.01	466.88	291.04	624.99	0.0	819.3	988.12	607.87	514.56
UBALD1	1199.98	819.3	1191.69	1477.58	1167.14	392.44	312.0	511.0	256.78	183.82	169.07	323.03	397.93	176.29	206.94	473.41	217.27	647.07	303.44	218.79	353.59	376.41	209.84	336.79	368.65	521.76	0.0	1073.91	1322.37	819.3	759.08
WDR46	2367.9	1143.1	1313.23	1733.13	1697.45	759.08	733.19	647.07	587.13	384.34	713.11	928.3	497.0	525.39	647.07	738.29	703.28	878.17	536.45	525.39	791.35	780.44	733.19	571.05	559.28	1059.11	0.0	1143.1	1286.18	1674.06	1487.87
ZBTB3	206.94	98.04	105.89	69.52	128.79	61.25	57.08	63.89	56.68	38.4	45.85	55.49	76.71	33.78	48.87	84.63	47.17	67.12	76.71	53.19	49.91	81.71	46.18	48.87	54.72	113.56	28.04	133.36	139.07	223.41	202.66
ZCCHC3	80.01	145.02	181.28	255.0	165.57	85.82	60.82	70.51	100.13	43.63	96.68	94.67	69.52	63.89	53.19	80.01	60.39	150.17	52.08	76.71	80.57	97.36	73.03	102.25	79.45	152.28	0.0	130.6	191.67	182.55	187.71
