	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EI.6882.01A.11R.1928.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	GTEX.11WQK.2926.SM.5EQKT	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4437.01A.01R.1802.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y5LM.1326.SM.5RQIS	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.131XG.1226.SM.5EGH9
EPC2	155.5	289.02	708.18	688.78	738.29	967.76	665.29	688.78	738.29	684.02	775.05	884.29	567.1	896.64	656.11	679.29	1008.9	78.34	323.03	303.44	551.56	206.94	279.14	183.82	134.3	316.37	265.87	267.73	183.82	403.5	309.83	289.02	343.89	305.55	258.57	307.69	232.94	220.32	201.25	332.14	228.13	208.38	85.22	110.43	67.12	78.89	80.57	114.36	226.54	55.1	318.57	246.28	291.04	82.87	185.11	167.9	204.07	223.41	301.33	183.82	144.01	438.59	109.66	199.85	218.79	320.8	123.5	133.36	193.01	157.68	191.67	172.65	206.94	140.04	183.82	157.68	190.34	154.42	152.28
EXTL2	109.66	116.78	277.2	366.09	269.6	432.53	343.89	376.41	332.14	343.89	221.86	332.14	368.65	395.18	503.95	500.46	381.68	65.26	124.37	325.29	595.34	185.11	71.0	97.36	152.28	305.55	242.88	84.63	102.25	256.78	204.07	217.27	175.07	115.97	150.17	81.71	65.72	74.58	244.57	111.99	119.26	73.54	91.41	67.59	71.0	49.56	108.14	96.01	248.0	40.64	228.13	38.95	65.72	30.78	78.34	133.36	108.14	248.0	139.07	105.15	42.71	93.35	84.63	175.07	226.54	204.07	81.14	79.45	113.56	111.99	44.57	92.05	118.43	119.26	21.94	54.33	45.21	41.52	67.59
FAM13B	57.49	212.78	813.63	791.35	679.29	902.89	764.36	775.05	759.08	642.59	629.35	802.41	603.67	941.27	967.76	753.83	1388.16	105.89	162.14	297.17	400.71	136.19	193.01	202.66	84.04	323.03	195.72	97.36	158.79	244.57	466.88	476.71	307.69	172.65	209.84	387.02	165.57	223.41	96.68	147.06	186.4	159.9	38.95	45.21	26.86	44.57	48.87	85.22	96.68	21.01	162.14	199.85	264.03	93.35	47.5	158.79	125.24	148.09	139.07	182.55	57.49	346.29	124.37	90.14	325.29	253.23	171.45	91.41	146.03	193.01	117.6	185.11	159.9	236.21	239.52	105.15	187.71	142.01	135.24
FAM204A	642.59	1037.29	1457.23	1733.13	1508.65	1437.15	1350.18	1378.57	1583.71	1268.46	1487.87	1369.04	1331.57	1477.58	1313.23	1340.84	2777.33	336.79	872.1	703.28	1030.12	583.07	764.36	480.04	813.63	947.83	1051.79	417.77	928.3	1628.26	1119.56	1088.92	1044.52	1175.27	848.22	825.0	660.68	785.88	947.83	848.22	780.44	500.46	429.54	490.14	314.17	476.71	420.68	503.95	420.68	162.14	1081.39	738.29	947.83	995.0	473.41	450.94	633.73	514.56	426.57	1104.13	327.56	486.75	432.53	708.18	559.28	507.46	316.37	567.1	688.78	674.59	450.94	563.18	848.22	571.05	688.78	738.29	559.28	567.1	571.05
FAM21A	348.71	325.29	1015.93	733.19	1051.79	890.44	896.64	1183.45	1104.13	791.35	819.3	624.99	775.05	738.29	1457.23	1167.14	921.88	181.28	316.37	603.67	866.07	79.45	371.22	273.37	497.0	384.34	616.37	172.65	567.1	567.1	612.11	656.11	507.46	376.41	607.87	723.08	612.11	432.53	202.66	260.38	429.54	180.02	303.44	325.29	193.01	193.01	215.77	256.78	327.56	144.01	571.05	450.94	651.58	92.7	334.46	293.07	387.02	521.76	909.17	336.79	334.46	438.59	140.04	334.46	995.0	237.86	698.41	343.89	476.71	629.35	480.04	301.33	420.68	480.04	211.31	351.14	718.08	429.54	273.37
FAM98B	104.42	688.78	447.82	669.92	463.65	624.99	547.75	518.15	525.39	429.54	579.04	454.09	454.09	500.46	633.73	483.38	1096.5	237.86	314.17	220.32	536.45	525.39	320.8	112.77	236.21	403.5	165.57	264.03	329.84	486.75	497.0	361.04	441.64	178.77	177.53	208.38	208.38	334.46	246.28	384.34	215.77	156.59	113.56	98.73	63.89	124.37	75.64	134.3	303.44	61.68	316.37	353.59	258.57	140.04	166.73	356.05	182.55	195.72	197.09	212.78	107.38	444.72	105.15	183.82	253.23	256.78	94.01	215.77	417.77	291.04	241.19	239.52	236.21	214.27	105.89	201.25	232.94	164.42	183.82
FBXO38	161.02	559.28	587.13	507.46	633.73	733.19	551.56	595.34	665.29	599.49	713.11	638.15	612.11	693.58	791.35	669.92	660.68	525.39	591.22	343.89	444.72	327.56	368.65	248.0	316.37	400.71	435.55	389.72	417.77	514.56	432.53	466.88	543.96	249.73	314.17	521.76	258.57	384.34	226.54	358.54	351.14	287.01	246.28	173.85	181.28	293.07	181.28	239.52	301.33	167.9	429.54	373.81	543.96	314.17	155.5	368.65	332.14	503.95	343.89	387.02	293.07	525.39	249.73	264.03	438.59	525.39	339.14	343.89	301.33	371.22	303.44	353.59	429.54	444.72	226.54	571.05	348.71	629.35	493.56
HERC4	246.28	351.14	647.07	703.28	713.11	872.1	684.02	665.29	607.87	656.11	669.92	656.11	571.05	974.5	728.11	764.36	954.43	297.17	258.57	414.87	476.71	163.28	339.14	153.34	325.29	563.18	470.14	320.8	397.93	356.05	454.09	376.41	450.94	540.19	525.39	414.87	802.41	473.41	460.44	264.03	633.73	616.37	180.02	214.27	178.77	214.27	113.56	215.77	186.4	159.9	547.75	379.04	297.17	239.52	115.16	363.56	346.29	420.68	426.57	470.14	166.73	511.0	256.78	426.57	490.14	406.31	575.03	187.71	406.31	703.28	191.67	341.51	301.33	486.75	248.0	236.21	236.21	325.29	181.28
KDM3B	265.87	1233.75	1151.06	967.76	1175.27	1208.34	1167.14	1242.34	1159.07	1104.13	1199.98	1268.46	1088.92	1313.23	1225.22	1135.2	1407.55	371.22	507.46	802.41	1037.29	444.72	571.05	426.57	624.99	819.3	802.41	743.43	638.15	921.88	860.08	764.36	896.64	603.67	616.37	819.3	444.72	688.78	466.88	438.59	591.22	389.72	194.36	186.4	148.09	255.0	106.63	244.57	258.57	136.19	1015.93	684.02	866.07	476.71	389.72	476.71	500.46	420.68	961.07	698.41	450.94	995.0	441.64	414.87	890.44	866.07	599.49	392.44	723.08	723.08	540.19	536.45	500.46	426.57	497.0	647.07	665.29	688.78	543.96
KDM4A	323.03	579.04	567.1	819.3	612.11	616.37	583.07	738.29	603.67	624.99	575.03	633.73	713.11	813.63	1151.06	713.11	493.56	406.31	361.04	429.54	642.59	253.23	229.72	356.05	329.84	403.5	297.17	387.02	285.03	490.14	518.15	518.15	708.18	486.75	490.14	460.44	435.55	438.59	454.09	241.19	277.2	366.09	161.02	189.02	143.01	246.28	156.59	251.48	384.34	237.86	389.72	547.75	540.19	241.19	371.22	312.0	529.06	194.36	358.54	450.94	271.48	1044.52	246.28	285.03	336.79	647.07	426.57	237.86	256.78	438.59	395.18	543.96	325.29	406.31	183.82	363.56	567.1	480.04	403.5
KIAA1109	201.25	688.78	1477.58	1508.65	1369.04	1857.6	1477.58	1447.15	1350.18	1167.14	1388.16	1208.34	1151.06	1697.45	1757.34	1685.71	2758.13	132.44	249.73	583.07	624.99	169.07	376.41	336.79	318.57	543.96	674.59	379.04	366.09	490.14	660.68	620.67	660.68	341.51	579.04	463.65	848.22	397.93	155.5	183.82	358.54	281.09	156.59	162.14	134.3	128.79	119.26	248.0	392.44	84.04	476.71	363.56	579.04	117.6	202.66	414.87	287.01	392.44	547.75	389.72	253.23	599.49	155.5	400.71	497.0	629.35	551.56	201.25	397.93	389.72	150.17	309.83	194.36	343.89	128.79	316.37	279.14	339.14	201.25
KIDINS220	189.02	591.22	1044.52	1001.93	1023.0	1119.56	1023.0	1037.29	1030.12	947.83	902.89	921.88	872.1	1359.57	1151.06	1104.13	1540.37	379.04	293.07	420.68	555.41	187.71	285.03	234.57	194.36	656.11	423.61	397.93	314.17	660.68	532.74	612.11	587.13	384.34	412.0	466.88	555.41	444.72	353.59	285.03	420.68	384.34	118.43	135.24	108.14	100.83	78.34	137.14	154.42	76.17	518.15	403.5	583.07	226.54	283.05	356.05	297.17	387.02	463.65	273.37	221.86	329.84	163.28	309.83	490.14	511.0	379.04	291.04	426.57	348.71	293.07	253.23	273.37	466.88	334.46	293.07	291.04	325.29	242.88
KIF1B	96.01	334.46	525.39	480.04	490.14	665.29	575.03	642.59	447.82	507.46	507.46	599.49	438.59	698.41	536.45	607.87	848.22	429.54	226.54	123.5	151.22	100.13	177.53	133.36	176.29	400.71	325.29	183.82	236.21	454.09	366.09	490.14	426.57	395.18	356.05	283.05	373.81	323.03	323.03	215.77	403.5	339.14	111.21	133.36	125.24	90.14	106.63	157.68	96.01	115.16	314.17	373.81	363.56	381.68	186.4	336.79	204.07	159.9	255.0	287.01	158.79	279.14	94.67	239.52	287.01	376.41	189.02	120.1	208.38	432.53	277.2	209.84	299.25	285.03	351.14	205.5	162.14	197.09	242.88
LANCL1	118.43	669.92	1111.82	1277.29	967.76	1457.23	1208.34	1191.69	1111.82	1008.9	1015.93	1183.45	988.12	1151.06	1388.16	1540.37	2417.67	318.57	660.68	384.34	540.19	246.28	379.04	295.11	237.86	607.87	327.56	426.57	215.77	305.55	567.1	555.41	555.41	444.72	267.73	575.03	366.09	358.54	249.73	387.02	361.04	307.69	242.88	202.66	199.85	204.07	136.19	217.27	395.18	191.67	583.07	384.34	902.89	116.78	198.47	260.38	753.83	299.25	356.05	371.22	189.02	607.87	248.0	460.44	454.09	1191.69	215.77	154.42	142.01	351.14	147.06	201.25	269.6	305.55	75.11	277.2	258.57	246.28	185.11
LCA5	30.34	47.17	173.85	185.11	244.57	260.38	177.53	226.54	262.2	229.72	242.88	264.03	228.13	387.02	521.76	325.29	503.95	5.82	15.34	147.06	153.34	27.05	26.1	21.47	5.28	67.12	47.17	31.22	34.02	24.99	27.25	36.79	39.22	32.82	46.84	49.91	35.5	71.5	22.1	36.53	50.98	37.59	2.32	5.15	1.71	2.86	2.84	7.46	19.11	2.53	30.56	61.68	108.9	21.63	8.32	16.27	24.28	45.53	41.52	31.22	9.93	66.18	7.82	17.25	54.33	84.04	28.86	29.06	26.86	28.86	18.03	10.39	29.06	73.54	20.11	13.93	20.11	27.25	10.0
LCN2	318292.9	87.65	2400.97	854.13	406.31	293.07	1044.52	470.14	159.9	532.74	1936.53	183.82	480.04	1519.15	921.88	1617.0	974.5	565825.41	1179708.33	706337.4	313910.86	311742.51	214407.12	280957.98	316094.29	796.86	248002.34	204252.32	542775.98	14971.21	9151.82	8963.45	2537.92	343510.77	313910.86	275175.93	606436.73	256748.15	654483.73	1238359.56	336441.4	513497.31	177811.84	59887.86	32315.87	51417.5	30785.28	32092.64	40341.14	201.25	21172.91	425853.18	267651.2	110983.6	1034138.94	565825.41	251464.33	1472666.19	593956.43	244588.0	172949.54	269512.87	13399.51	431797.89	334117.42	466008.55	301123.38	251464.33	383800.28	305326.92	350728.68	290865.98	6840.04	248002.34	8421.31	217400.14	301123.38	320506.81	65535.0
MBTD1	85.22	206.94	366.09	397.93	389.72	620.67	389.72	518.15	356.05	486.75	460.44	521.76	366.09	679.29	540.19	511.0	665.29	120.94	202.66	236.21	277.2	183.82	206.94	150.17	148.09	169.07	209.84	178.77	95.34	279.14	151.22	158.79	241.19	212.78	159.9	246.28	189.02	199.85	142.01	162.14	129.69	119.26	52.82	65.72	44.89	71.0	57.49	85.22	150.17	59.13	221.86	176.29	180.02	62.12	111.21	150.17	158.79	147.06	208.38	211.31	68.55	460.44	102.25	204.07	234.57	256.78	190.34	92.05	187.71	191.67	64.34	95.34	111.21	178.77	111.21	114.36	123.5	165.57	96.01
MGEA5	603.67	2451.44	2555.58	2434.5	2609.3	3372.43	3081.75	2664.15	2935.74	2664.15	2915.45	2935.74	2224.63	3124.78	2537.92	2758.13	3540.14	1417.35	1175.27	1233.75	1216.75	647.07	1119.56	543.96	1001.93	1594.73	2400.97	884.29	1051.79	1950.0	1331.57	1295.13	1594.73	1832.01	2018.8	2075.59	2047.0	1923.14	995.0	1151.06	1617.0	1183.45	567.1	612.11	356.05	521.76	323.03	603.67	638.15	470.14	1832.01	1359.57	1199.98	679.29	669.92	555.41	718.08	819.3	633.73	954.43	438.59	1745.2	571.05	629.35	1447.15	1096.5	878.17	450.94	921.88	921.88	417.77	563.18	703.28	1191.69	981.29	796.86	748.61	967.76	476.71
MKRN2	327.56	384.34	493.56	483.38	543.96	536.45	503.95	500.46	540.19	500.46	466.88	507.46	493.56	521.76	486.75	567.1	633.73	521.76	264.03	336.79	339.14	312.0	293.07	297.17	353.59	476.71	483.38	291.04	346.29	463.65	414.87	480.04	403.5	567.1	486.75	441.64	198.47	376.41	563.18	246.28	414.87	376.41	249.73	182.55	132.44	195.72	199.85	185.11	281.09	187.71	532.74	334.46	486.75	595.34	161.02	334.46	246.28	297.17	339.14	316.37	211.31	371.22	253.23	205.5	226.54	283.05	260.38	214.27	329.84	332.14	316.37	264.03	334.46	346.29	244.57	260.38	289.02	249.73	246.28
MLLT10	206.94	420.68	466.88	532.74	587.13	698.41	490.14	486.75	571.05	480.04	547.75	555.41	460.44	555.41	518.15	473.41	708.18	95.34	208.38	237.86	234.57	189.02	351.14	224.97	176.29	262.2	323.03	400.71	262.2	620.67	429.54	444.72	366.09	470.14	633.73	525.39	476.71	616.37	629.35	275.28	379.04	466.88	187.71	167.9	172.65	152.28	113.56	144.01	312.0	107.38	414.87	358.54	493.56	251.48	384.34	483.38	127.0	249.73	490.14	435.55	177.53	423.61	224.97	339.14	629.35	466.88	248.0	133.36	301.33	511.0	141.02	271.48	232.94	329.84	138.1	246.28	236.21	226.54	224.97
MSH3	54.33	271.48	228.13	255.0	241.19	379.04	320.8	323.03	260.38	281.09	295.11	273.37	269.6	343.89	373.81	470.14	234.57	161.02	180.02	116.78	312.0	133.36	185.11	102.25	138.1	157.68	125.24	120.94	128.79	194.36	161.02	121.79	201.25	73.03	153.34	135.24	52.82	90.14	82.87	111.99	94.67	49.21	81.71	74.58	47.17	108.14	88.88	83.45	82.87	34.02	187.71	170.25	206.94	37.59	37.59	113.56	63.89	91.41	108.14	125.24	72.52	124.37	53.19	90.14	120.1	218.79	131.51	57.08	62.12	176.29	68.55	165.57	106.63	147.06	40.93	108.14	116.78	114.36	204.07
