	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.ZF2S.2026.SM.5E461	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.33.4589.01A.01R.1443.07	TCGA.AJ.A3I9.01A.11R.A22K.07	TCGA.EO.A3AV.01A.12R.A19W.07
DGKE	16.75	279.14	7.51	33.78	77.25	81.71	41.52	226.54	108.14	66.65	34.51	75.64	71.5	25.35	60.39	28.65	77.79	134.3	31.45	102.97	183.82	35.25	44.57	36.79	93.35	82.29	78.89	94.67	30.12	10.08	21.01	26.1	24.99	45.53
DHX40	150.17	2915.45	361.04	363.56	890.44	1268.46	599.49	1733.13	819.3	808.0	665.29	733.19	842.36	435.55	825.0	403.5	775.05	603.67	389.72	1477.58	551.56	656.11	323.03	429.54	638.15	1594.73	1662.49	733.19	109.66	100.13	140.04	208.38	303.44	164.42
GDPD1	7.82	403.5	80.57	42.11	105.15	172.65	26.47	256.78	147.06	120.94	104.42	105.89	96.68	61.68	150.17	41.52	94.01	165.57	53.57	185.11	151.22	70.01	26.47	87.03	47.5	229.72	181.28	67.12	3.41	21.78	12.74	4.5	16.75	6.06
GGA3	295.11	529.06	256.78	195.72	435.55	540.19	329.84	872.1	497.0	466.88	480.04	371.22	463.65	256.78	486.75	307.69	297.17	525.39	305.55	599.49	373.81	493.56	353.59	205.5	486.75	684.02	395.18	551.56	40.36	217.27	281.09	67.12	202.66	255.0
GNA13	246.28	1295.13	262.2	454.09	830.75	928.3	493.56	941.27	764.36	842.36	616.37	466.88	420.68	172.65	633.73	255.0	379.04	500.46	438.59	1135.2	450.94	466.88	466.88	320.8	575.03	587.13	1242.34	723.08	111.99	197.09	135.24	414.87	145.02	231.32
GPATCH8	89.51	450.94	136.19	117.6	299.25	336.79	231.32	656.11	400.71	423.61	314.17	381.68	273.37	115.16	409.15	129.69	221.86	403.5	204.07	536.45	336.79	312.0	237.86	137.14	279.14	660.68	444.72	256.78	14.78	94.67	68.07	30.56	101.54	111.99
HEATR6	140.04	813.63	120.1	85.82	273.37	301.33	144.01	603.67	301.33	297.17	283.05	221.86	223.41	127.89	281.09	132.44	198.47	269.6	172.65	409.15	165.57	154.42	165.57	145.02	193.01	536.45	289.02	218.79	21.01	57.08	43.94	102.25	125.24	98.73
HELZ	31.22	279.14	70.01	69.52	182.55	297.17	115.97	260.38	265.87	281.09	228.13	232.94	141.02	46.84	251.48	96.01	143.01	218.79	127.89	400.71	133.36	206.94	120.1	93.35	138.1	361.04	441.64	130.6	11.64	48.18	39.22	41.52	52.08	73.54
INTS2	54.33	361.04	44.57	44.25	96.68	197.09	64.8	264.03	121.79	193.01	82.87	110.43	100.13	45.21	90.77	36.53	67.59	113.56	56.68	314.17	92.7	82.29	96.68	75.11	120.94	217.27	205.5	45.85	13.83	22.43	20.26	48.18	28.86	31.67
KAT7	175.07	1304.15	325.29	231.32	500.46	878.17	454.09	1806.78	669.92	708.18	688.78	547.75	713.11	417.77	703.28	293.07	567.1	567.1	325.29	1081.39	444.72	532.74	279.14	447.82	612.11	954.43	1030.12	353.59	63.89	199.85	144.01	95.34	234.57	173.85
LUC7L3	769.69	3235.01	1605.83	1159.07	2502.97	2485.67	1001.93	7589.61	2451.44	2520.38	1697.45	1388.16	2739.08	1111.82	2061.24	1059.11	1551.09	1923.14	1359.57	3060.45	3124.78	1259.69	967.76	884.29	1216.75	3325.99	1487.87	2319.15	167.9	988.12	1081.39	353.59	1304.15	1322.37
MAP3K3	131.51	629.35	119.26	164.42	339.14	241.19	279.14	371.22	363.56	285.03	256.78	361.04	327.56	176.29	248.0	128.79	237.86	435.55	295.11	420.68	336.79	555.41	248.0	149.12	260.38	521.76	651.58	587.13	45.53	146.03	143.01	38.67	84.04	115.16
MBTD1	41.52	397.93	135.24	86.43	249.73	246.28	127.0	395.18	215.77	229.72	175.07	170.25	165.57	73.54	220.32	135.24	103.69	139.07	175.07	334.46	175.07	141.02	100.13	105.89	181.28	540.19	366.09	236.21	18.7	66.65	45.85	46.18	122.64	35.25
MED13	94.67	638.15	145.02	166.73	423.61	529.06	231.32	567.1	503.95	543.96	397.93	351.14	299.25	94.01	406.31	143.01	264.03	291.04	232.94	669.92	279.14	348.71	205.5	126.12	379.04	444.72	629.35	146.03	35.76	82.29	72.52	77.79	75.11	116.78
MTMR4	116.78	1709.26	178.77	114.36	376.41	642.59	195.72	860.08	476.71	473.41	420.68	493.56	392.44	297.17	525.39	275.28	348.71	412.0	287.01	708.18	403.5	358.54	166.73	217.27	387.02	563.18	423.61	232.94	53.19	165.57	164.42	88.26	189.02	114.36
NFE2L1	753.83	5112.16	1037.29	1447.15	2351.53	3768.09	1870.53	3690.52	2682.69	3146.52	2758.13	3303.0	3303.0	1447.15	2271.4	1044.52	1936.53	3235.01	1721.16	4419.52	1896.65	4481.23	1277.29	1369.04	2061.24	4512.4	3467.27	3124.78	928.3	1639.59	1359.57	1081.39	825.0	1467.37
NPEPPS	480.04	2319.15	1066.48	796.86	1551.09	2400.97	718.08	2591.27	1628.26	1819.35	1183.45	1685.71	1572.76	660.68	1369.04	511.0	1407.55	1135.2	808.0	4937.99	1331.57	1030.12	764.36	808.0	1250.98	2997.45	1477.58	961.07	193.01	320.8	275.28	444.72	463.65	808.0
PNPO	189.02	1508.65	334.46	228.13	529.06	1143.1	400.71	1225.22	679.29	836.53	808.0	693.58	780.44	555.41	718.08	293.07	599.49	629.35	476.71	1183.45	441.64	819.3	332.14	441.64	612.11	954.43	1030.12	271.48	363.56	616.37	647.07	218.79	229.72	316.37
PPM1D	52.45	507.46	74.58	92.7	201.25	161.02	154.42	265.87	183.82	214.27	157.68	163.28	166.73	89.51	166.73	95.34	187.71	120.1	87.65	275.28	194.36	189.02	115.97	105.89	169.07	341.51	521.76	267.73	28.45	50.27	43.02	49.91	83.45	62.12
PRKAR1A	842.36	8191.0	878.17	1572.76	3395.89	5872.48	2384.37	7280.4	4095.0	3639.7	2997.45	3349.13	2796.65	1397.83	3515.68	1359.57	2915.45	2935.74	2148.82	5791.62	2573.36	4388.98	1963.57	1378.57	3589.58	5292.48	7485.11	3690.52	1111.82	1250.98	1037.29	1015.93	775.05	825.0
RP11-1407O15.2	62.56	460.44	249.73	159.9	559.28	281.09	158.79	808.0	275.28	341.51	273.37	262.2	297.17	155.5	281.09	181.28	285.03	291.04	206.94	536.45	323.03	224.97	138.1	141.02	525.39	647.07	318.57	412.0	35.25	277.2	146.03	39.22	96.01	140.04
RPS6KB1	214.27	1340.84	162.14	153.34	493.56	620.67	239.52	669.92	463.65	612.11	371.22	363.56	379.04	180.02	414.87	218.79	397.93	476.71	271.48	738.29	353.59	316.37	255.0	183.82	301.33	693.58	441.64	336.79	82.87	155.5	154.42	163.28	215.77	197.09
SCGB2A2	1.95	7.28	881742.8	964885.69	1800541.22	845824.19	668235.84	131.51	938500.81	1318073.06	1163466.92	1238359.56	1788103.97	1751305.3	2279047.19	1668359.93	1422501.74	1600397.78	1524599.69	125.24	8805660.77	1345768.59	912837.43	619179.28	1578364.61	167058.21	731246.37	1503610.06	0.0	0.0	0.0	0.0	0.0	3.79
SMG8	101.54	764.36	173.85	115.16	293.07	334.46	159.9	525.39	293.07	275.28	262.2	226.54	293.07	178.77	251.48	144.01	193.01	199.85	161.02	371.22	177.53	221.86	161.02	154.42	297.17	543.96	242.88	205.5	18.97	100.13	76.71	107.38	87.65	75.64
SMURF2	110.43	486.75	154.42	163.28	329.84	285.03	224.97	351.14	361.04	318.57	189.02	258.57	358.54	51.35	209.84	120.94	159.9	287.01	269.6	490.14	237.86	514.56	260.38	157.68	178.77	555.41	476.71	363.56	21.01	53.57	35.5	84.63	111.99	113.56
SP2	217.27	490.14	165.57	181.28	271.48	267.73	271.48	490.14	332.14	273.37	392.44	412.0	312.0	211.31	371.22	195.72	339.14	392.44	343.89	387.02	293.07	389.72	182.55	291.04	343.89	521.76	551.56	269.6	30.34	172.65	108.14	57.49	164.42	187.71
SPAG9	218.79	995.0	293.07	231.32	579.04	748.61	381.68	1030.12	684.02	642.59	511.0	536.45	457.25	156.59	511.0	158.79	316.37	688.78	466.88	1051.79	387.02	620.67	629.35	307.69	432.53	802.41	1359.57	368.65	113.56	183.82	165.57	314.17	138.1	258.57
SPOP	208.38	1896.65	579.04	607.87	967.76	1674.06	802.41	2591.27	1225.22	1277.29	1151.06	1225.22	1277.29	915.51	1268.46	647.07	791.35	1119.56	620.67	1950.0	1081.39	753.83	567.1	532.74	830.75	1369.04	1561.89	1015.93	122.64	351.14	366.09	283.05	373.81	532.74
SYNRG	114.36	1104.13	145.02	115.16	366.09	351.14	202.66	633.73	457.25	457.25	403.5	392.44	417.77	142.01	341.51	163.28	341.51	358.54	258.57	476.71	279.14	353.59	232.94	161.02	575.03	1051.79	579.04	343.89	69.52	92.7	85.82	76.71	87.65	166.73
TLK2	307.69	1259.69	277.2	291.04	567.1	703.28	291.04	1135.2	551.56	603.67	559.28	587.13	476.71	289.02	543.96	248.0	500.46	470.14	397.93	825.0	444.72	420.68	384.34	358.54	536.45	825.0	521.76	356.05	55.1	181.28	159.9	226.54	228.13	287.01
TOB1	860.08	3349.13	947.83	1519.15	3665.02	3018.3	1583.71	8363.13	2351.53	2720.15	2417.67	2119.22	2682.69	1259.69	2855.44	1923.14	1295.13	2104.58	1015.93	3690.52	1832.01	1359.57	890.44	1721.16	2193.99	2047.0	3716.2	2664.15	339.14	688.78	684.02	518.15	387.02	813.63
TRIM37	96.01	1437.15	183.82	212.78	438.59	674.59	209.84	921.88	444.72	361.04	353.59	336.79	389.72	297.17	384.34	251.48	480.04	287.01	273.37	642.59	303.44	220.32	277.2	305.55	287.01	915.51	454.09	242.88	109.66	113.56	97.36	189.02	164.42	163.28
USP32	231.32	3419.52	353.59	262.2	518.15	802.41	301.33	1697.45	595.34	616.37	525.39	679.29	543.96	269.6	587.13	113.56	718.08	638.15	384.34	842.36	587.13	808.0	503.95	358.54	571.05	1322.37	780.44	314.17	77.25	325.29	187.71	228.13	154.42	295.11
VEZF1	97.36	2400.97	429.54	397.93	1208.34	1594.73	780.44	1350.18	1369.04	1286.18	1208.34	909.17	890.44	629.35	1286.18	532.74	813.63	1104.13	529.06	2193.99	1051.79	642.59	599.49	813.63	860.08	1721.16	1359.57	738.29	253.23	187.71	130.6	194.36	291.04	224.97
