	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13FTW.1626.SM.5KM4N	GTEX.WH7G.0926.SM.4LVMJ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.HC.7745.01A.11R.2118.07	GTEX.WFG8.1826.SM.4LVM4	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13
SIRT1	231.32	231.32	75.64	143.01	182.55	148.09	133.36	180.02	246.28	0.0	0.17	267.73	237.86	256.78	301.33	289.02	297.17	273.37	287.01	166.73	101.54	95.34	149.12	137.14	132.44	158.79	351.14
SLC25A38	559.28	559.28	124.37	307.69	293.07	228.13	249.73	351.14	532.74	0.0	0.06	1051.79	890.44	1023.0	1216.75	947.83	842.36	819.3	860.08	314.17	129.69	206.94	273.37	291.04	195.72	246.28	1159.07
SLC35D2	547.75	547.75	256.78	373.81	303.44	339.14	348.71	525.39	647.07	0.0	0.52	679.29	780.44	493.56	802.41	532.74	728.11	629.35	656.11	497.0	291.04	248.0	406.31	438.59	392.44	346.29	2664.15
SLC39A14	371.22	371.22	85.22	121.79	70.51	27.64	29.06	209.84	371.22	0.0	0.0	309.83	339.14	376.41	529.06	316.37	389.72	314.17	279.14	336.79	93.35	674.59	301.33	100.13	153.34	249.73	3467.27
SLC46A1	214.27	214.27	53.95	116.78	100.13	60.39	51.35	69.52	183.82	0.0	0.14	521.76	426.57	656.11	836.53	366.09	466.88	400.71	423.61	40.07	25.35	24.81	88.88	42.41	56.68	13.12	713.11
SLC9B1	21.32	21.32	11.73	2.97	2.48	0.59	3.59	11.21	22.43	0.0	0.07	31.9	20.71	31.22	19.25	13.32	20.71	29.48	21.16	7.63	1.73	5.36	5.5	2.25	2.89	4.78	36.53
SMARCA1	503.95	503.95	36.53	172.65	159.9	124.37	119.26	221.86	224.97	0.0	0.68	819.3	665.29	674.59	607.87	507.46	674.59	638.15	368.65	83.45	25.17	79.45	119.26	82.87	53.19	32.82	723.08
SMIM11	656.11	656.11	87.65	94.01	138.1	67.12	95.34	379.04	438.59	0.0	0.52	656.11	620.67	447.82	633.73	748.61	563.18	708.18	518.15	547.75	92.05	202.66	246.28	138.1	255.0	102.25	1427.22
SPATA13	429.54	429.54	22.26	59.13	55.89	29.06	45.85	57.08	143.01	0.0	0.58	450.94	525.39	660.68	738.29	269.6	339.14	543.96	361.04	35.25	35.0	87.03	92.7	16.75	48.18	8.06	866.07
SPOPL	221.86	221.86	127.89	144.01	221.86	127.0	132.44	113.56	175.07	0.0	0.14	165.57	166.73	258.57	212.78	195.72	208.38	214.27	191.67	105.89	77.25	82.87	136.19	94.67	129.69	104.42	281.09
