	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EA.A50E.01A.21R.A26T.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.VS.A9UY.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.MU.A51Y.01A.11R.A26T.07	TCGA.Q1.A73Q.01A.21R.A32P.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.S95S.0426.SM.4B64I	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.13FLV.1126.SM.5J2NO	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.12ZZX.1326.SM.5DUWI	TCGA.DQ.7596.01A.11R.2232.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.BA.A4IG.01A.11R.A266.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
C1orf112	69.52	244.57	323.03	303.44	279.14	285.03	361.04	251.48	258.57	543.96	426.57	237.86	353.59	234.57	146.03	151.22	158.79	205.5	145.02	223.41	248.0	90.77	181.28	204.07	123.5	159.9	52.08	92.05	70.51	34.51	68.07	44.57	70.51	57.08	39.79	48.87	54.72	84.63	37.59	52.08	96.68	71.5	119.26	35.5	135.24	69.03	40.93	76.17	63.0	34.75	83.45	229.72	45.53	299.25	400.71	224.97	81.71	88.88	96.01	134.3	103.69	66.18	36.79	92.7	59.97	50.27	41.22
CCDC43	356.05	521.76	470.14	429.54	543.96	438.59	420.68	460.44	571.05	454.09	483.38	420.68	332.14	253.23	289.02	373.81	361.04	275.28	242.88	339.14	255.0	256.78	325.29	567.1	273.37	381.68	285.03	202.66	279.14	255.0	265.87	226.54	248.0	172.65	341.51	318.57	289.02	332.14	244.57	198.47	248.0	318.57	299.25	129.69	395.18	248.0	150.17	231.32	264.03	142.01	301.33	463.65	204.07	400.71	571.05	348.71	325.29	318.57	327.56	325.29	612.11	483.38	305.55	420.68	346.29	376.41	426.57
CCNE2	366.09	373.81	381.68	591.22	854.13	334.46	599.49	463.65	397.93	708.18	854.13	579.04	136.19	69.03	98.73	48.18	76.17	124.37	59.55	67.12	161.02	50.27	70.01	57.89	37.05	108.9	49.21	44.25	84.04	37.05	55.49	72.01	63.45	39.79	53.57	60.39	33.54	90.77	33.06	59.13	91.41	83.45	83.45	45.85	132.44	75.64	47.5	61.68	59.13	20.41	83.45	351.14	57.08	457.25	309.83	521.76	124.37	99.43	76.17	83.45	214.27	426.57	40.93	152.28	75.11	47.17	67.59
CDC6	265.87	579.04	642.59	547.75	1088.92	848.22	669.92	603.67	738.29	890.44	902.89	583.07	693.58	144.01	176.29	166.73	128.79	211.31	157.68	223.41	242.88	36.01	127.0	327.56	75.64	444.72	164.42	44.89	88.26	26.47	107.38	49.56	63.89	72.01	51.35	59.13	40.64	83.45	25.91	68.07	157.68	129.69	134.3	104.42	269.6	108.9	55.89	84.04	77.79	33.54	81.14	493.56	102.25	633.73	780.44	665.29	206.94	159.9	151.22	231.32	320.8	406.31	248.0	161.02	154.42	130.6	185.11
CDC7	141.02	265.87	305.55	371.22	450.94	457.25	497.0	426.57	204.07	387.02	493.56	387.02	265.87	90.14	59.55	116.78	105.15	169.07	73.03	177.53	185.11	84.04	98.73	124.37	53.19	309.83	128.79	22.92	72.01	37.05	68.55	81.14	63.0	59.13	72.52	34.26	60.39	55.89	42.11	63.0	52.82	89.51	76.17	34.02	144.01	96.01	44.57	59.97	34.75	40.64	74.06	205.5	58.71	473.41	406.31	295.11	120.1	64.34	102.25	83.45	78.89	111.21	63.0	53.57	98.04	55.1	83.45
CDK1	1369.04	2090.03	1662.49	1628.26	2956.17	1447.15	2351.53	2485.67	1397.83	2335.28	2682.69	2178.83	802.41	703.28	72.52	339.14	890.44	343.89	181.28	256.78	988.12	73.54	167.9	305.55	65.72	890.44	305.55	332.14	444.72	140.04	392.44	332.14	269.6	285.03	220.32	241.19	269.6	287.01	84.63	392.44	409.15	444.72	555.41	303.44	878.17	376.41	232.94	236.21	264.03	130.6	406.31	1721.16	463.65	2163.77	3168.41	1340.84	507.46	490.14	486.75	656.11	1008.9	941.27	612.11	723.08	684.02	460.44	941.27
CDKN2C	122.64	486.75	1104.13	1477.58	3372.43	1001.93	1313.23	1721.16	1540.37	1304.15	1605.83	1709.26	1167.14	414.87	426.57	120.94	201.25	343.89	547.75	665.29	376.41	336.79	301.33	503.95	334.46	967.76	693.58	363.56	183.82	102.25	356.05	177.53	100.83	82.87	106.63	171.45	157.68	255.0	111.21	185.11	234.57	181.28	195.72	112.77	332.14	242.88	129.69	348.71	139.07	93.35	199.85	444.72	110.43	1857.6	1844.76	1199.98	180.02	332.14	204.07	265.87	842.36	961.07	68.55	420.68	303.44	127.89	928.3
CENPI	102.97	108.9	133.36	99.43	193.01	149.12	158.79	120.1	101.54	241.19	208.38	105.15	289.02	82.87	29.91	84.04	76.71	114.36	24.63	50.98	95.34	28.04	44.89	82.29	30.78	285.03	26.67	29.48	30.78	13.52	19.25	23.42	23.08	9.85	20.56	22.1	24.28	20.41	9.41	19.11	27.25	32.13	34.51	21.32	99.43	26.67	18.16	32.59	9.63	10.71	28.04	143.01	20.11	320.8	146.03	130.6	43.32	39.22	52.45	50.27	89.51	72.01	49.91	47.5	50.63	24.28	43.94
CENPK	387.02	518.15	511.0	620.67	1313.23	733.19	703.28	825.0	543.96	1051.79	866.07	759.08	497.0	291.04	14.03	54.72	251.48	119.26	39.5	110.43	275.28	43.32	51.35	104.42	169.07	381.68	28.86	63.45	145.02	34.02	105.15	176.29	89.51	64.34	89.51	87.65	44.89	98.04	32.36	91.41	151.22	133.36	194.36	78.34	255.0	146.03	94.67	94.67	80.57	86.43	130.6	483.38	75.64	624.99	1250.98	397.93	140.04	123.5	120.1	155.5	171.45	332.14	158.79	180.02	105.89	104.42	208.38
CENPL	92.7	217.27	234.57	253.23	312.0	204.07	361.04	248.0	180.02	551.56	432.53	224.97	229.72	198.47	72.01	108.14	98.04	108.14	58.3	111.99	114.36	44.25	93.35	107.38	71.5	136.19	49.56	56.68	53.57	33.54	69.52	53.95	43.94	46.5	63.89	55.1	64.8	63.89	15.91	42.71	52.08	55.89	93.35	36.27	149.12	62.12	27.44	60.82	61.25	40.36	72.52	246.28	29.27	395.18	287.01	214.27	94.01	86.43	92.7	96.68	164.42	105.89	41.22	92.05	108.14	62.12	101.54
CHEK1	785.88	297.17	406.31	525.39	406.31	808.0	738.29	476.71	244.57	444.72	896.64	518.15	454.09	190.34	99.43	392.44	341.51	368.65	194.36	226.54	420.68	111.99	229.72	193.01	141.02	400.71	190.34	120.94	132.44	58.71	150.17	92.7	88.88	77.25	85.82	106.63	97.36	111.21	42.41	98.73	149.12	148.09	173.85	80.01	314.17	132.44	82.29	85.82	83.45	70.51	109.66	473.41	115.97	351.14	808.0	363.56	212.78	177.53	228.13	232.94	395.18	301.33	125.24	193.01	209.84	170.25	232.94
CHRNA5	145.02	193.01	129.69	191.67	182.55	194.36	167.9	120.94	111.99	114.36	82.87	206.94	47.84	72.52	39.5	33.54	45.53	109.66	60.82	69.52	98.04	23.42	49.56	55.49	120.1	127.0	61.68	26.47	35.0	30.34	30.34	14.67	18.56	40.07	18.97	16.15	31.0	32.82	17.38	37.85	36.27	45.53	31.67	41.81	82.87	14.78	20.86	25.17	15.56	2.89	31.67	102.25	45.21	52.08	236.21	66.65	54.33	22.1	47.84	63.45	85.82	48.52	108.14	33.78	61.68	35.25	43.32
CKLF	1037.29	1721.16	2335.28	819.3	3665.02	2018.8	2240.11	3443.31	2271.4	2193.99	1794.29	1870.53	1350.18	1594.73	878.17	665.29	753.83	848.22	1044.52	1167.14	808.0	665.29	1059.11	921.88	1832.01	1175.27	480.04	503.95	392.44	305.55	457.25	341.51	346.29	432.53	314.17	312.0	126.12	493.56	305.55	703.28	555.41	551.56	583.07	305.55	947.83	438.59	258.57	295.11	201.25	185.11	384.34	674.59	323.03	1467.37	1498.22	1662.49	518.15	656.11	500.46	703.28	1870.53	830.75	780.44	540.19	1340.84	748.61	599.49
CLSPN	130.6	93.35	187.71	224.97	312.0	232.94	237.86	186.4	173.85	265.87	293.07	195.72	186.4	23.42	10.24	67.59	29.06	77.79	22.59	61.68	118.43	3.99	48.52	42.11	15.68	120.94	40.64	6.62	29.91	9.06	29.27	11.38	28.04	6.94	28.45	21.01	19.68	28.45	18.97	30.56	52.45	60.82	45.53	7.46	104.42	46.18	24.81	42.11	24.99	8.99	28.65	180.02	18.03	316.37	262.2	241.19	57.49	38.95	58.3	65.72	78.34	108.14	54.33	52.08	56.68	49.21	55.89
DCLRE1B	91.41	147.06	185.11	232.94	205.5	193.01	206.94	186.4	186.4	217.27	236.21	226.54	135.24	142.01	108.14	155.5	170.25	144.01	154.42	146.03	144.01	82.29	100.83	114.36	87.65	275.28	91.41	80.57	68.07	41.81	67.59	47.84	49.91	30.34	59.55	48.87	39.79	64.34	40.64	46.84	57.08	56.28	94.67	25.91	206.94	94.01	30.12	47.17	54.72	38.4	48.18	195.72	33.78	289.02	181.28	177.53	91.41	81.71	75.11	94.67	169.07	118.43	79.45	76.71	77.79	88.26	94.01
DEPDC1B	170.25	208.38	234.57	209.84	444.72	180.02	185.11	228.13	141.02	497.0	246.28	205.5	198.47	107.38	9.63	113.56	579.04	33.78	9.56	33.78	119.26	10.39	13.93	84.04	27.05	251.48	37.05	26.86	64.8	25.72	41.52	56.28	45.21	37.32	40.64	42.11	15.8	42.11	15.8	46.18	49.91	65.26	66.18	41.22	146.03	59.55	39.79	29.91	35.25	27.05	61.25	256.78	41.22	255.0	638.15	295.11	80.57	71.5	92.7	95.34	123.5	178.77	84.04	113.56	100.13	55.1	132.44
DHFR	521.76	896.64	769.69	738.29	1685.71	1073.91	878.17	896.64	802.41	1111.82	1143.1	890.44	1883.54	521.76	205.5	384.34	463.65	312.0	251.48	329.84	490.14	228.13	332.14	320.8	441.64	791.35	164.42	204.07	167.9	60.82	181.28	217.27	164.42	81.71	169.07	220.32	69.03	283.05	142.01	153.34	231.32	271.48	229.72	189.02	693.58	171.45	126.12	162.14	123.5	100.13	178.77	1151.06	123.5	1143.1	2018.8	808.0	327.56	275.28	275.28	389.72	738.29	738.29	341.51	476.71	346.29	327.56	232.94
DNAJC8	1447.15	2796.65	3665.02	2351.53	3443.31	2895.31	2956.17	2915.45	2061.24	2835.7	2609.3	3235.01	3235.01	1757.34	1685.71	1950.0	2104.58	1594.73	1721.16	2303.12	1950.0	1583.71	2119.22	1806.78	1781.89	2104.58	1883.54	1437.15	1322.37	1167.14	1427.22	1030.12	1519.15	1167.14	1359.57	1427.22	1359.57	1487.87	1233.75	1277.29	1519.15	1605.83	1457.23	1183.45	1844.76	1286.18	866.07	1073.91	1331.57	866.07	1498.22	2004.85	1127.35	3168.41	2895.31	2915.45	1819.35	1963.57	1617.0	1794.29	3540.14	2193.99	1819.35	2004.85	1844.76	1991.0	2133.97
DSCC1	111.99	301.33	228.13	397.93	336.79	177.53	177.53	231.32	108.14	325.29	463.65	299.25	145.02	106.63	78.89	88.88	144.01	142.01	65.26	100.83	255.0	48.18	101.54	120.94	49.21	220.32	28.24	36.01	44.89	18.7	42.11	33.54	42.71	30.34	30.12	35.76	41.52	50.63	25.91	37.05	79.45	53.57	90.77	20.41	173.85	47.84	36.79	26.28	34.75	17.64	56.28	234.57	25.35	163.28	500.46	205.5	75.64	58.3	42.11	75.11	115.97	91.41	35.76	71.0	74.58	49.56	49.21
EFCAB11	384.34	295.11	332.14	316.37	466.88	339.14	441.64	738.29	423.61	309.83	366.09	301.33	387.02	109.66	116.78	65.26	100.83	146.03	80.01	145.02	47.5	111.21	146.03	206.94	98.73	151.22	72.01	167.9	202.66	141.02	159.9	132.44	111.99	111.21	142.01	154.42	67.12	133.36	83.45	135.24	118.43	185.11	229.72	98.04	262.2	120.94	121.79	111.99	133.36	44.57	130.6	341.51	94.01	332.14	293.07	361.04	169.07	214.27	242.88	301.33	320.8	209.84	146.03	162.14	147.06	314.17	248.0
EXO5	87.03	157.68	339.14	241.19	287.01	166.73	150.17	108.9	231.32	314.17	116.78	231.32	120.94	145.02	120.94	90.77	28.65	123.5	156.59	120.1	175.07	115.97	120.1	189.02	140.04	152.28	65.72	105.15	81.71	59.97	64.34	75.64	73.03	24.46	85.82	60.39	55.1	110.43	74.06	83.45	87.65	73.54	113.56	15.45	109.66	53.19	27.25	68.07	91.41	29.48	104.42	180.02	9.34	332.14	314.17	193.01	102.25	122.64	161.02	143.01	194.36	93.35	40.64	116.78	153.34	89.51	90.14
FAM111B	674.59	285.03	480.04	703.28	435.55	503.95	559.28	291.04	234.57	339.14	181.28	612.11	412.0	170.25	30.12	51.35	72.52	127.0	21.47	49.91	146.03	31.45	40.64	71.0	45.85	55.49	65.26	48.87	48.52	22.26	47.84	50.63	43.63	29.91	56.68	57.08	32.82	67.59	13.62	54.72	79.45	102.97	115.16	17.25	190.34	60.82	39.5	51.35	39.5	23.25	73.03	426.57	30.78	723.08	647.07	575.03	183.82	103.69	151.22	178.77	231.32	269.6	145.02	173.85	136.19	89.51	87.03
FAM49B	1331.57	2255.7	1745.2	2451.44	1313.23	2758.13	1519.15	2701.35	1388.16	1977.24	1757.34	1781.89	954.43	723.08	854.13	1081.39	1936.53	1143.1	1151.06	1250.98	1909.85	638.15	1104.13	1088.92	1286.18	1870.53	1340.84	612.11	733.19	612.11	638.15	830.75	872.1	796.86	785.88	780.44	616.37	642.59	595.34	669.92	753.83	1030.12	954.43	842.36	909.17	796.86	647.07	651.58	791.35	563.18	688.78	1259.69	1096.5	1457.23	1674.06	2485.67	928.3	1096.5	1044.52	961.07	2004.85	1295.13	1407.55	1051.79	1350.18	995.0	1030.12
FANCI	988.12	563.18	775.05	813.63	1135.2	785.88	1037.29	854.13	733.19	1417.35	733.19	1037.29	1023.0	320.8	277.2	371.22	733.19	656.11	166.73	490.14	808.0	130.6	185.11	314.17	231.32	780.44	255.0	127.89	260.38	85.22	237.86	116.78	189.02	211.31	150.17	163.28	157.68	185.11	117.6	181.28	279.14	237.86	264.03	220.32	536.45	244.57	166.73	182.55	166.73	63.0	186.4	954.43	158.79	764.36	1322.37	395.18	356.05	297.17	323.03	381.68	281.09	693.58	293.07	368.65	281.09	248.0	291.04
FBXO5	102.97	316.37	309.83	358.54	579.04	143.01	316.37	384.34	271.48	830.75	607.87	343.89	303.44	220.32	74.06	149.12	180.02	176.29	100.83	119.26	297.17	74.58	94.67	158.79	100.83	258.57	100.13	51.71	107.38	49.56	108.9	84.63	84.04	70.51	77.25	72.52	69.03	92.7	47.17	81.14	103.69	88.88	153.34	47.17	159.9	89.51	68.55	105.15	60.82	24.63	102.25	457.25	124.37	432.53	616.37	389.72	141.02	126.12	100.13	155.5	275.28	124.37	112.77	172.65	142.01	59.97	158.79
FEN1	532.74	1096.5	947.83	1572.76	1639.59	1023.0	1322.37	802.41	647.07	1066.48	1467.37	1350.18	1208.34	490.14	281.09	547.75	571.05	376.41	438.59	444.72	463.65	224.97	429.54	819.3	303.44	819.3	417.77	198.47	287.01	122.64	239.52	143.01	251.48	189.02	199.85	264.03	177.53	265.87	131.51	267.73	376.41	289.02	323.03	161.02	642.59	273.37	180.02	301.33	217.27	90.14	281.09	981.29	165.57	1051.79	1896.65	1096.5	417.77	346.29	392.44	612.11	802.41	647.07	490.14	500.46	579.04	543.96	403.5
FTSJ2	599.49	896.64	693.58	723.08	775.05	579.04	713.11	688.78	679.29	669.92	490.14	921.88	902.89	995.0	547.75	591.22	473.41	460.44	567.1	500.46	599.49	444.72	607.87	703.28	703.28	665.29	536.45	406.31	384.34	435.55	384.34	348.71	409.15	211.31	420.68	397.93	329.84	447.82	361.04	403.5	387.02	397.93	406.31	158.79	507.46	346.29	195.72	483.38	435.55	211.31	457.25	591.22	149.12	718.08	633.73	529.06	395.18	497.0	647.07	616.37	915.51	463.65	497.0	651.58	830.75	842.36	703.28
GPN1	629.35	988.12	961.07	947.83	1015.93	1008.9	1073.91	1250.98	872.1	1059.11	819.3	866.07	872.1	884.29	785.88	1023.0	629.35	748.61	878.17	813.63	934.76	738.29	825.0	819.3	830.75	1151.06	684.02	647.07	603.67	660.68	567.1	532.74	665.29	447.82	866.07	753.83	551.56	703.28	642.59	559.28	647.07	575.03	813.63	420.68	743.43	490.14	336.79	679.29	684.02	334.46	669.92	921.88	463.65	1066.48	1313.23	1030.12	785.88	825.0	860.08	836.53	1427.22	872.1	866.07	825.0	928.3	1001.93	947.83
