	TCGA.LP.A5U2.01A.11R.A28H.07	GTEX.RU72.0726.SM.46MUW	GTEX.146FQ.1026.SM.5LU8I	GTEX.TMMY.1126.SM.4DXSX	GTEX.YFC4.1226.SM.5LU9R	GTEX.WQUQ.1626.SM.4OOSH	GTEX.Y111.1626.SM.57WCY	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZF3C.1626.SM.4WWB4	GTEX.TSE9.1226.SM.4DXTM	GTEX.13X6K.2126.SM.5O9D4	GTEX.ZYT6.1126.SM.5GZYR	GTEX.133LE.0626.SM.5IFFJ	TCGA.BA.A4IG.01A.11R.A266.07	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
CDC25B	473.41	1119.56	896.64	1242.34	473.41	612.11	679.29	559.28	444.72	624.99	603.67	796.86	981.29	2451.44	277.2	102.25	90.77	318.57	115.16	133.36	279.14	163.28	543.96	305.55	205.5	273.37
CDC45	1268.46	381.68	314.17	486.75	208.38	273.37	285.03	185.11	148.09	221.86	217.27	244.57	454.09	612.11	5.19	26.28	3.72	5.41	7.17	2.39	0.0	10.16	23.93	36.53	6.57	5.19
CDC6	642.59	314.17	299.25	450.94	162.14	195.72	241.19	105.89	61.25	197.09	169.07	185.11	493.56	665.29	2.34	7.11	3.53	5.19	8.32	5.63	5.19	3.79	15.34	5.41	4.54	9.48
CDCA5	698.41	438.59	351.14	470.14	283.05	291.04	429.54	239.52	185.11	285.03	229.72	241.19	599.49	660.68	5.32	13.42	5.11	10.08	26.86	10.0	5.45	4.13	12.36	14.67	9.34	8.25
CDCA7	2209.26	860.08	638.15	764.36	490.14	384.34	688.78	379.04	241.19	514.56	438.59	660.68	866.07	802.41	3.11	5.63	0.61	0.0	0.0	6.84	10.71	3.23	4.7	7.63	0.49	5.15
CDCA8	599.49	536.45	429.54	381.68	320.8	262.2	480.04	228.13	186.4	220.32	255.0	249.73	587.13	669.92	8.99	10.79	4.39	9.48	9.48	8.19	2.48	8.32	10.47	10.47	17.64	9.85
CDKN3	579.04	866.07	571.05	587.13	406.31	400.71	555.41	318.57	256.78	301.33	409.15	426.57	941.27	1769.57	8.06	48.52	5.73	5.59	23.25	0.0	6.41	14.45	12.55	15.34	9.63	64.34
CDT1	1662.49	595.34	307.69	486.75	351.14	279.14	397.93	194.36	218.79	384.34	329.84	299.25	575.03	813.63	21.78	34.02	7.4	5.41	6.46	3.96	7.57	21.16	15.8	17.0	8.85	7.4
CENPH	967.76	490.14	395.18	400.71	249.73	182.55	406.31	148.09	152.28	356.05	303.44	287.01	438.59	603.67	14.35	48.18	24.11	22.1	23.76	22.43	33.3	21.63	50.63	27.44	39.22	32.59
CENPK	309.83	429.54	400.71	309.83	248.0	205.5	417.77	242.88	186.4	291.04	232.94	264.03	483.38	397.93	3.92	16.27	8.25	0.0	0.0	15.45	7.69	13.03	22.92	25.17	8.51	3.92
CENPM	2163.77	629.35	429.54	426.57	447.82	473.41	395.18	336.79	205.5	353.59	295.11	435.55	612.11	967.76	14.56	37.85	9.2	18.97	27.64	0.0	8.99	18.7	29.91	40.93	8.38	11.82
CENPN	848.22	616.37	423.61	651.58	289.02	490.14	379.04	198.47	199.85	237.86	400.71	332.14	587.13	1096.5	91.41	108.9	94.67	77.79	132.44	79.45	69.52	152.28	177.53	96.68	71.0	77.25
CENPW	2701.35	1015.93	713.11	1304.15	753.83	514.56	1015.93	417.77	400.71	514.56	612.11	603.67	1369.04	3280.18	27.05	111.99	15.68	41.52	16.39	90.77	59.55	88.26	52.08	78.34	85.22	2.46
CEP55	318.57	540.19	414.87	483.38	265.87	198.47	363.56	165.57	169.07	191.67	253.23	234.57	656.11	595.34	3.69	0.0	0.0	0.0	6.16	0.0	1.64	0.0	1.55	4.06	1.01	0.0
CEP78	275.28	341.51	332.14	327.56	212.78	157.68	348.71	164.42	136.19	228.13	248.0	215.77	409.15	409.15	82.29	54.33	155.5	81.71	43.94	26.1	56.68	189.02	127.0	78.89	145.02	109.66
CHAF1A	1199.98	460.44	341.51	507.46	273.37	339.14	381.68	281.09	242.88	297.17	264.03	295.11	480.04	1015.93	52.82	75.64	50.27	66.65	71.0	43.02	61.25	55.1	59.97	55.1	65.72	40.64
CHEK1	563.18	363.56	295.11	387.02	221.86	202.66	265.87	153.34	120.1	172.65	232.94	220.32	473.41	363.56	27.05	73.03	21.32	45.85	25.72	27.44	21.78	20.56	41.22	40.07	45.53	63.45
CSE1L	2555.58	1950.0	1781.89	2255.7	1175.27	1199.98	1733.13	934.76	679.29	1135.2	1233.75	1051.79	2209.26	2104.58	323.03	301.33	297.17	234.57	480.04	316.37	309.83	363.56	426.57	423.61	511.0	334.46
DARS2	647.07	348.71	429.54	373.81	173.85	271.48	204.07	165.57	154.42	189.02	234.57	155.5	470.14	563.18	82.87	228.13	153.34	122.64	146.03	147.06	186.4	111.21	152.28	117.6	79.45	118.43
DCLRE1B	191.67	135.24	121.79	154.42	108.9	92.05	134.3	69.03	36.01	84.63	86.43	77.25	195.72	177.53	14.14	15.45	14.56	25.35	20.86	14.89	16.88	19.82	35.0	19.97	34.75	14.78
DDX20	339.14	177.53	198.47	178.77	138.1	100.83	209.84	125.24	86.43	127.0	129.69	143.01	190.34	214.27	80.57	29.27	57.49	115.16	49.21	64.34	36.01	71.0	73.03	94.67	86.43	45.21
DIEXF	220.32	121.79	139.07	130.6	96.68	84.63	100.83	82.29	75.11	76.17	100.13	72.52	120.94	151.22	38.95	38.95	40.64	53.95	65.26	44.25	55.1	55.1	71.0	40.64	48.52	52.08
DNAJC9	842.36	642.59	595.34	693.58	507.46	420.68	599.49	450.94	289.02	460.44	371.22	525.39	785.88	583.07	75.64	98.04	59.13	59.13	48.18	66.18	76.71	86.43	152.28	121.79	127.0	74.58
DONSON	1059.11	521.76	480.04	423.61	486.75	334.46	397.93	312.0	312.0	366.09	353.59	480.04	780.44	866.07	103.69	166.73	91.41	156.59	96.01	182.55	119.26	189.02	195.72	371.22	305.55	420.68
DSCC1	221.86	125.24	140.04	156.59	95.34	76.71	122.64	63.45	55.89	79.45	92.05	100.83	234.57	205.5	4.46	14.24	10.88	7.17	10.16	11.13	8.06	13.12	23.93	10.79	7.57	13.32
DTD2	941.27	409.15	423.61	412.0	295.11	239.52	392.44	197.09	226.54	224.97	251.48	323.03	387.02	426.57	106.63	199.85	159.9	152.28	182.55	181.28	157.68	144.01	253.23	124.37	167.9	194.36
DTL	384.34	220.32	158.79	202.66	136.19	130.6	136.19	73.03	54.33	85.82	136.19	113.56	236.21	218.79	1.89	21.47	2.2	6.16	19.68	0.0	1.91	9.78	15.91	11.47	3.35	6.89
E2F7	127.0	100.83	79.45	84.63	52.08	56.28	80.01	38.4	48.52	43.63	51.71	55.89	108.14	173.85	0.07	1.93	0.43	0.06	1.39	0.0	1.04	0.08	0.48	0.91	0.0	1.01
EIF1AX	1870.53	2240.11	1662.49	2224.63	2209.26	1250.98	1427.22	743.43	1407.55	1721.16	2133.97	1233.75	2739.08	2303.12	825.0	860.08	1096.5	583.07	1081.39	961.07	1143.1	854.13	1250.98	890.44	967.76	860.08
ENOPH1	1159.07	842.36	941.27	759.08	967.76	620.67	830.75	540.19	603.67	796.86	785.88	656.11	947.83	698.41	143.01	232.94	201.25	211.31	197.09	229.72	178.77	202.66	309.83	231.32	256.78	361.04
ESCO2	98.04	162.14	123.5	172.65	105.15	76.71	87.03	44.57	38.12	61.68	87.03	53.57	194.36	312.0	3.79	3.59	2.07	0.72	6.31	1.3	9.2	1.28	2.68	1.17	6.41	5.28
EXO1	688.78	175.07	154.42	166.73	80.57	94.01	129.69	57.89	49.91	97.36	77.25	77.25	236.21	316.37	0.65	2.86	1.03	2.94	7.75	0.67	0.0	7.11	4.17	4.86	1.25	2.1
EXOSC2	1051.79	738.29	575.03	743.43	500.46	457.25	603.67	500.46	361.04	529.06	490.14	490.14	759.08	688.78	336.79	318.57	262.2	199.85	206.94	244.57	309.83	229.72	260.38	305.55	293.07	256.78
FABP6	16.39	124.37	158.79	205.5	116.78	16.75	58.71	73.54	42.41	51.71	74.58	85.22	90.14	70.51	2.71	3.59	0.0	3.14	0.0	0.0	0.0	0.0	28.24	34.26	21.01	46.84
FAM111B	392.44	285.03	201.25	273.37	138.1	170.25	231.32	96.01	63.45	147.06	133.36	166.73	426.57	575.03	2.29	12.64	3.08	1.71	6.67	4.46	2.32	4.35	8.06	10.16	8.71	4.78
FAM98A	738.29	848.22	723.08	941.27	543.96	688.78	547.75	346.29	295.11	476.71	483.38	473.41	753.83	872.1	167.9	305.55	299.25	232.94	237.86	251.48	205.5	258.57	368.65	249.73	285.03	271.48
FANCA	866.07	748.61	400.71	698.41	420.68	426.57	642.59	409.15	285.03	514.56	414.87	511.0	647.07	738.29	163.28	387.02	277.2	65.72	130.6	329.84	343.89	84.04	329.84	202.66	135.24	339.14
FANCI	791.35	684.02	638.15	808.0	221.86	363.56	454.09	256.78	234.57	414.87	332.14	441.64	954.43	395.18	30.34	36.53	9.06	13.42	8.71	9.27	18.16	14.24	30.12	46.5	23.42	11.3
FBXO5	381.68	314.17	223.41	190.34	182.55	136.19	251.48	103.69	147.06	175.07	149.12	199.85	457.25	389.72	37.32	30.56	13.22	38.12	70.51	22.75	47.17	20.41	50.63	70.51	47.84	59.55
FCGR2A	165.57	180.02	166.73	197.09	123.5	76.17	221.86	76.17	84.63	103.69	101.54	120.1	177.53	283.05	108.14	40.64	76.71	115.16	218.79	52.82	67.59	134.3	212.78	89.51	80.57	44.25
FEN1	1127.35	665.29	638.15	909.17	417.77	507.46	563.18	351.14	151.22	392.44	289.02	348.71	981.29	1096.5	47.84	143.01	90.14	82.87	116.78	97.36	86.43	101.54	134.3	126.12	115.97	84.04
GAPT	2.97	39.22	52.82	23.59	19.25	28.45	75.64	13.03	8.19	5.96	24.81	24.28	41.52	23.42	12.09	18.29	19.82	38.95	20.86	0.77	13.32	9.63	20.41	13.32	9.93	6.16
GGCT	4066.71	2224.63	2255.7	2303.12	2090.03	2119.22	2133.97	1397.83	1340.84	2061.24	1651.0	1896.65	2739.08	2555.58	397.93	791.35	579.04	518.15	651.58	500.46	587.13	620.67	1008.9	629.35	599.49	612.11
GINS1	271.48	271.48	215.77	281.09	195.72	154.42	221.86	125.24	90.14	132.44	159.9	148.09	314.17	361.04	7.4	21.32	4.35	7.17	5.02	8.32	6.06	5.02	31.67	16.03	9.06	30.34
GINS3	470.14	420.68	412.0	348.71	301.33	232.94	339.14	206.94	218.79	215.77	185.11	281.09	395.18	819.3	19.39	45.21	36.53	28.86	16.15	24.11	16.51	13.22	43.02	60.82	25.91	12.55
GINS4	89.51	189.02	285.03	172.65	73.03	107.38	98.04	51.71	36.53	82.87	102.25	67.59	334.46	473.41	7.82	37.59	1.01	10.71	12.09	5.59	21.47	24.28	21.32	14.35	6.73	3.5
GMNN	1417.35	995.0	830.75	1037.29	718.08	669.92	872.1	460.44	403.5	713.11	540.19	638.15	1159.07	2004.85	295.11	441.64	159.9	241.19	299.25	100.13	289.02	279.14	559.28	329.84	435.55	336.79
H2AFX	2047.0	3235.01	1605.83	2520.38	2004.85	1457.23	2335.28	1369.04	775.05	1794.29	1111.82	1551.09	2835.7	1151.06	101.54	153.34	191.67	146.03	536.45	135.24	98.04	158.79	97.36	105.89	180.02	183.82
H2AFZ	18431.96	11345.82	10959.3	12676.65	8078.22	6037.61	8963.45	4607.24	3419.52	7857.29	6983.79	7642.41	15715.58	12502.12	769.69	1832.01	1259.69	836.53	2090.03	848.22	1015.93	1397.83	1519.15	1508.65	1175.27	1304.15
HELLS	493.56	480.04	400.71	511.0	325.29	242.88	371.22	208.38	164.42	363.56	232.94	346.29	547.75	336.79	12.55	56.28	2.61	5.54	15.68	6.06	8.51	16.15	33.06	43.63	18.7	6.84
HMGN1	8421.31	6037.61	4704.07	5041.77	5751.61	3491.39	5006.93	3564.78	4239.45	4210.15	4972.34	5219.6	5831.91	3303.0	890.44	2255.7	2485.67	928.3	1857.6	1378.57	1044.52	1540.37	2664.15	1066.48	1407.55	1936.53
HMGN2	25708.25	15934.98	14561.8	10808.41	12076.21	8963.45	11504.21	7130.55	8191.0	8963.45	15824.9	12076.21	19892.37	22225.61	7589.61	8134.41	6561.36	5555.65	3982.99	6607.01	7230.1	6561.36	11424.74	5872.48	5672.41	7130.55
HNRNPA2B1	15499.21	17437.64	16960.78	18052.61	10659.59	12076.21	18052.61	11035.54	9151.82	13399.51	12502.12	14663.09	21468.49	16960.78	6607.01	7433.4	5672.41	5441.3	6079.61	6745.86	7803.01	6699.25	9945.68	10225.32	8247.98	7081.29
HNRNPU	5147.73	4010.71	4152.18	4358.66	3467.27	2835.7	4010.71	2434.5	2255.7	2956.17	3349.13	3124.78	4704.07	4481.23	1447.15	1457.23	1437.15	974.5	1697.45	1313.23	1551.09	1923.14	1963.57	1721.16	1359.57	1208.34
HYLS1	176.29	246.28	141.02	149.12	122.64	110.43	251.48	100.83	75.11	96.01	69.52	141.02	249.73	122.64	95.34	62.12	126.12	83.45	61.25	78.89	90.14	42.11	100.83	114.36	159.9	81.14
ICMT	791.35	941.27	1001.93	1143.1	718.08	703.28	872.1	571.05	400.71	733.19	595.34	748.61	1104.13	921.88	113.56	279.14	329.84	248.0	206.94	392.44	289.02	248.0	384.34	262.2	356.05	447.82
IPO11	387.02	395.18	493.56	373.81	361.04	301.33	389.72	258.57	258.57	285.03	307.69	267.73	559.28	299.25	133.36	134.3	138.1	143.01	102.25	154.42	147.06	109.66	181.28	105.89	170.25	158.79
KHDRBS1	3081.75	1857.6	2319.15	2018.8	1572.76	1397.83	1896.65	1151.06	1268.46	1628.26	1832.01	1674.06	2271.4	2417.67	679.29	974.5	638.15	629.35	872.1	651.58	743.43	796.86	1127.35	769.69	830.75	813.63
KIAA0101	2090.03	1769.57	1208.34	1096.5	1233.75	738.29	1225.22	518.15	563.18	1030.12	866.07	1313.23	2555.58	974.5	40.36	94.67	66.18	52.08	33.06	71.5	68.55	42.11	71.0	92.05	109.66	123.5
KIF24	53.19	63.89	45.21	53.19	23.59	39.22	56.28	27.64	23.42	26.1	38.4	35.0	79.45	78.34	5.77	6.89	5.54	5.59	2.53	1.41	4.86	1.83	3.53	3.38	7.22	4.74
KPNA2	3443.31	2720.15	2502.97	3018.3	1369.04	1119.56	2032.85	941.27	503.95	872.1	1127.35	1159.07	3168.41	5329.3	52.45	149.12	173.85	144.01	332.14	152.28	118.43	171.45	197.09	166.73	134.3	165.57
KREMEN2	36.27	218.79	106.63	187.71	108.9	83.45	366.09	142.01	40.93	180.02	136.19	140.04	63.89	183.82	0.0	0.0	0.99	0.0	11.73	0.0	0.0	0.0	1.08	1.91	0.0	0.0
LMNB1	1685.71	1167.14	1159.07	1073.91	759.08	688.78	890.44	490.14	341.51	454.09	802.41	674.59	1487.87	1551.09	46.18	126.12	33.06	73.03	114.36	177.53	129.69	134.3	117.6	99.43	264.03	180.02
LMNB2	2061.24	1819.35	1295.13	1745.2	791.35	1023.0	1447.15	902.89	575.03	872.1	738.29	860.08	1870.53	1498.22	26.28	72.01	61.25	52.45	74.06	57.08	26.1	62.12	63.89	53.19	32.36	50.27
LSM2	1963.57	1551.09	1313.23	1769.57	1167.14	1208.34	1674.06	961.07	802.41	1487.87	1233.75	1199.98	2163.77	1594.73	403.5	915.51	450.94	507.46	878.17	540.19	583.07	629.35	521.76	651.58	684.02	563.18
LSM3	660.68	483.38	381.68	387.02	312.0	309.83	389.72	293.07	265.87	351.14	265.87	406.31	525.39	753.83	189.02	366.09	249.73	212.78	305.55	237.86	249.73	214.27	381.68	275.28	249.73	242.88
MAD2L1	1407.55	825.0	718.08	684.02	567.1	392.44	759.08	279.14	255.0	529.06	521.76	473.41	1037.29	587.13	17.38	79.45	37.32	24.63	28.65	19.39	17.77	18.97	34.02	38.95	37.32	48.52
MB21D1	249.73	102.97	159.9	101.54	149.12	55.89	94.67	65.26	55.89	79.45	52.45	90.14	115.97	373.81	4.5	7.22	0.41	3.79	63.45	24.11	7.51	6.84	48.52	5.36	11.64	11.13
MCM10	215.77	151.22	88.88	171.45	86.43	77.79	111.21	41.81	31.45	68.07	79.45	88.26	208.38	244.57	2.36	8.19	0.39	0.89	3.56	0.0	0.0	1.41	4.1	5.32	3.2	2.36
MCM2	2777.33	743.43	603.67	723.08	406.31	473.41	567.1	334.46	164.42	438.59	412.0	435.55	854.13	2645.74	34.26	190.34	17.25	66.18	23.93	52.82	35.0	35.5	137.14	108.14	34.51	43.63
MCM3	2855.44	2209.26	1769.57	2075.59	921.88	1427.22	1685.71	928.3	525.39	1225.22	1051.79	1208.34	2573.36	2287.2	100.83	281.09	169.07	165.57	99.43	132.44	214.27	86.43	307.69	275.28	189.02	161.02
MCM4	2119.22	1529.73	1437.15	1991.0	915.51	884.29	1167.14	759.08	624.99	872.1	860.08	909.17	1844.76	3690.52	53.57	125.24	100.13	97.36	124.37	62.12	152.28	61.25	206.94	130.6	153.34	79.45
MCM6	1304.15	708.18	703.28	974.5	435.55	529.06	638.15	281.09	190.34	329.84	414.87	473.41	1066.48	1407.55	24.63	177.53	50.63	50.63	47.84	59.97	83.45	63.45	152.28	115.16	46.84	35.5
MELK	785.88	503.95	438.59	536.45	291.04	251.48	351.14	170.25	182.55	236.21	255.0	273.37	723.08	642.59	2.36	10.47	5.23	2.73	0.0	1.06	1.04	1.95	5.15	8.78	5.5	1.93
METTL8	647.07	638.15	476.71	555.41	547.75	312.0	599.49	341.51	368.65	351.14	540.19	279.14	529.06	571.05	45.85	84.04	57.08	42.41	46.18	55.1	86.43	76.71	81.14	55.1	51.71	62.56
MIS18A	830.75	514.56	417.77	441.64	285.03	224.97	356.05	194.36	175.07	303.44	269.6	312.0	493.56	493.56	71.5	90.77	63.0	76.71	79.45	48.52	117.6	66.18	154.42	96.68	60.39	79.45
MND1	400.71	175.07	158.79	195.72	102.25	121.79	133.36	76.17	102.25	120.1	104.42	136.19	293.07	136.19	0.0	14.14	0.0	14.45	11.38	6.06	0.0	14.03	8.71	11.21	7.06	0.0
MRPL18	2537.92	2384.37	2090.03	1844.76	2224.63	1242.34	1806.78	1572.76	1295.13	1745.2	1662.49	1583.71	1674.06	2645.74	728.11	1437.15	961.07	791.35	1923.14	1088.92	1119.56	1340.84	1059.11	1199.98	1135.2	1313.23
MRPL51	6516.03	4769.75	3443.31	4298.64	3419.52	4450.27	4419.52	3491.39	2417.67	3419.52	3190.46	3515.68	4869.99	6037.61	2537.92	3955.48	2148.82	2701.35	3982.99	2061.24	2956.17	2976.74	3349.13	2720.15	2303.12	2875.3
MTERFD1	620.67	480.04	450.94	529.06	387.02	303.44	529.06	329.84	253.23	417.77	275.28	392.44	392.44	780.44	164.42	339.14	486.75	209.84	172.65	255.0	234.57	297.17	371.22	438.59	366.09	438.59
MYBL2	1340.84	583.07	441.64	633.73	387.02	403.5	423.61	265.87	199.85	323.03	287.01	329.84	665.29	1561.89	2.12	6.36	2.29	0.21	5.28	0.25	0.69	4.21	8.0	6.67	3.56	1.14
NCAPG2	426.57	583.07	454.09	525.39	262.2	258.57	318.57	194.36	169.07	305.55	299.25	305.55	878.17	403.5	34.51	75.64	36.01	36.01	42.11	34.75	37.05	22.1	70.01	51.71	35.0	50.63
NCAPH	339.14	358.54	289.02	412.0	189.02	183.82	299.25	156.59	126.12	150.17	205.5	211.31	493.56	563.18	4.9	13.12	2.76	4.17	20.41	9.78	0.0	6.26	19.53	5.11	8.38	10.0
NDC1	679.29	463.65	426.57	616.37	312.0	217.27	463.65	175.07	164.42	314.17	253.23	244.57	651.58	490.14	64.34	107.38	88.26	80.57	77.79	79.45	53.19	84.63	117.6	84.04	80.57	99.43
NGB	237.86	0.95	0.47	0.0	1.33	0.48	1.23	0.44	0.0	0.4	0.75	0.46	0.0	9.34	0.0	0.0	0.65	0.72	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0
NRG2	0.24	91.41	99.43	31.67	84.63	50.98	107.38	81.14	39.22	59.55	55.49	75.11	55.1	4.82	4.1	6.26	11.55	2.41	5.28	0.0	25.91	8.06	4.58	18.03	1.5	3.29
NUDT1	1369.04	1437.15	896.64	1304.15	988.12	780.44	1008.9	733.19	521.76	896.64	796.86	842.36	1127.35	1417.35	133.36	361.04	96.01	177.53	71.5	140.04	191.67	153.34	177.53	169.07	131.51	109.66
NUP35	603.67	466.88	450.94	429.54	397.93	301.33	463.65	264.03	244.57	241.19	318.57	329.84	412.0	599.49	132.44	101.54	202.66	138.1	118.43	172.65	150.17	177.53	303.44	137.14	218.79	244.57
NUP62CL	100.13	97.36	84.63	68.55	78.89	48.18	107.38	52.08	63.45	65.72	69.52	77.79	90.14	217.27	58.71	24.11	1.23	10.31	1.36	1.19	63.45	56.28	47.5	68.07	51.71	11.82
ORC1	325.29	154.42	120.1	212.78	82.87	85.82	98.73	54.33	36.53	82.29	92.7	79.45	253.23	312.0	1.25	5.82	1.35	0.55	6.16	0.99	2.36	4.31	7.11	5.28	3.56	3.06
ORC6	503.95	400.71	275.28	392.44	221.86	223.41	368.65	209.84	171.45	253.23	226.54	283.05	426.57	620.67	3.47	25.54	2.48	3.99	9.06	4.7	7.57	9.27	18.56	22.26	15.0	6.78
PBK	343.89	441.64	353.59	454.09	264.03	228.13	327.56	178.77	158.79	217.27	193.01	228.13	638.15	612.11	0.0	7.75	2.81	0.0	0.0	3.72	1.93	1.91	8.25	5.82	2.05	5.68
PCNA	6699.25	4181.07	4038.61	4802.93	3039.3	2956.17	3928.15	2032.85	1127.35	3081.75	2400.97	3212.66	5995.9	7130.55	318.57	1175.27	830.75	647.07	591.22	723.08	620.67	764.36	896.64	947.83	819.3	785.88
PKMYT1	954.43	1066.48	595.34	1127.35	563.18	591.22	872.1	490.14	320.8	802.41	454.09	503.95	1225.22	1519.15	22.75	20.71	26.47	23.42	16.63	7.82	23.25	32.59	33.06	38.4	35.0	70.01
