	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.14753.1626.SM.5NQ9L	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.PWN1.2626.SM.2I3FH	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.TKQ1.0126.SM.33HB3	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
CLINT1	743.43	981.29	830.75	647.07	872.1	748.61	651.58	748.61	1781.89	764.36	1175.27	967.76	1477.58	759.08	1427.22	802.41	1781.89	1457.23	1044.52	1277.29	909.17	1769.57	1051.79	1605.83	1225.22	708.18	1977.24	1498.22	1427.22	1477.58	1709.26	1561.89	848.22	1073.91	1870.53	1923.14	1519.15	1583.71	728.11	713.11	703.28	902.89	872.1	1233.75	854.13	1781.89	1628.26	769.69	896.64	988.12	669.92	1662.49	842.36	1781.89	1437.15	1378.57	1508.65	1709.26	2119.22	1639.59	1250.98	1697.45	1191.69	1447.15	1662.49	1819.35	1487.87	988.12	1175.27	728.11	872.1	921.88	1583.71	890.44
CLIP4	48.18	21.63	13.62	66.65	20.11	57.08	26.47	466.88	1437.15	358.54	454.09	612.11	974.5	305.55	1044.52	371.22	1135.2	796.86	376.41	921.88	591.22	1857.6	866.07	934.76	769.69	559.28	1183.45	928.3	669.92	748.61	896.64	819.3	420.68	540.19	1242.34	1066.48	791.35	921.88	387.02	346.29	420.68	684.02	500.46	688.78	540.19	1151.06	802.41	603.67	397.93	559.28	387.02	981.29	591.22	1023.0	974.5	947.83	802.41	1066.48	947.83	1119.56	848.22	854.13	457.25	1119.56	1340.84	1051.79	1096.5	785.88	688.78	460.44	500.46	473.41	819.3	435.55
CS	547.75	669.92	603.67	769.69	669.92	587.13	555.41	981.29	1963.57	1119.56	1350.18	1066.48	1594.73	1073.91	1936.53	974.5	2061.24	1832.01	1216.75	1950.0	1073.91	1651.0	1697.45	1923.14	1477.58	1183.45	1757.34	2255.7	1487.87	1639.59	1674.06	2417.67	1175.27	1417.35	1896.65	2163.77	1697.45	1923.14	1088.92	1023.0	1073.91	1268.46	1167.14	1359.57	1135.2	1639.59	1721.16	1216.75	1250.98	2061.24	941.27	1781.89	1159.07	2119.22	1583.71	2319.15	1572.76	1721.16	2032.85	1883.54	1457.23	1781.89	1519.15	1304.15	1572.76	1769.57	2119.22	1233.75	1477.58	1225.22	1277.29	1242.34	1685.71	1135.2
CUL4A	476.71	559.28	460.44	447.82	571.05	309.83	409.15	830.75	1059.11	764.36	836.53	753.83	1008.9	647.07	954.43	764.36	1030.12	1023.0	723.08	896.64	785.88	1044.52	915.51	1030.12	825.0	764.36	1225.22	1037.29	947.83	934.76	902.89	854.13	713.11	909.17	1015.93	1096.5	1001.93	1008.9	703.28	713.11	703.28	764.36	785.88	764.36	753.83	1096.5	848.22	723.08	802.41	802.41	713.11	902.89	802.41	1127.35	872.1	961.07	995.0	1001.93	981.29	1001.93	854.13	890.44	808.0	1081.39	1135.2	1066.48	974.5	688.78	825.0	620.67	872.1	743.43	928.3	854.13
DDX42	684.02	595.34	599.49	493.56	591.22	441.64	264.03	1199.98	1745.2	1044.52	1340.84	981.29	1437.15	1242.34	1487.87	1104.13	1529.73	1369.04	1322.37	1427.22	1208.34	2163.77	1551.09	1651.0	1407.55	1167.14	1674.06	1519.15	1447.15	1143.1	1498.22	1397.83	1295.13	1350.18	1697.45	1806.78	1447.15	1529.73	1216.75	1331.57	1233.75	1295.13	1277.29	1259.69	1250.98	1628.26	1407.55	1331.57	1081.39	1135.2	1023.0	1617.0	1295.13	1832.01	988.12	1259.69	1572.76	1651.0	1662.49	1519.15	1059.11	1397.83	1051.79	1487.87	1709.26	1950.0	1540.37	1183.45	1388.16	1183.45	1407.55	1286.18	1369.04	1216.75
DHX15	665.29	587.13	599.49	406.31	559.28	591.22	265.87	1081.39	1832.01	1066.48	1331.57	1088.92	1331.57	967.76	1457.23	1167.14	1487.87	1498.22	1250.98	1467.37	1216.75	1583.71	1427.22	1467.37	1427.22	1407.55	1721.16	1467.37	1397.83	1359.57	1378.57	1540.37	1167.14	1295.13	1617.0	1950.0	1583.71	1745.2	1059.11	1073.91	1268.46	1350.18	1350.18	1167.14	1096.5	1651.0	1487.87	1151.06	1216.75	1225.22	1127.35	1540.37	1242.34	1819.35	1286.18	1322.37	1359.57	1498.22	1806.78	1407.55	1199.98	1417.35	1143.1	1397.83	1781.89	1883.54	1594.73	1073.91	1397.83	941.27	1191.69	1216.75	1487.87	1135.2
DHX36	295.11	262.2	275.28	158.79	241.19	358.54	441.64	629.35	1073.91	583.07	836.53	536.45	1023.0	738.29	780.44	753.83	884.29	802.41	785.88	775.05	753.83	1388.16	743.43	1030.12	896.64	616.37	1088.92	872.1	836.53	825.0	981.29	848.22	587.13	915.51	1001.93	1191.69	941.27	995.0	616.37	656.11	808.0	813.63	785.88	669.92	633.73	941.27	928.3	713.11	555.41	669.92	567.1	934.76	713.11	1167.14	748.61	780.44	878.17	1111.82	1051.79	848.22	802.41	884.29	728.11	1088.92	1378.57	995.0	896.64	674.59	780.44	603.67	656.11	802.41	764.36	713.11
DOCK5	64.8	70.01	70.01	58.3	70.01	70.51	75.64	169.07	599.49	157.68	162.14	199.85	316.37	167.9	579.04	130.6	521.76	299.25	186.4	718.08	180.02	460.44	142.01	607.87	201.25	182.55	947.83	339.14	651.58	251.48	599.49	486.75	206.94	204.07	543.96	1143.1	457.25	371.22	183.82	191.67	101.54	199.85	201.25	277.2	221.86	759.08	381.68	195.72	126.12	301.33	173.85	420.68	205.5	547.75	346.29	249.73	368.65	387.02	426.57	463.65	567.1	507.46	202.66	314.17	890.44	669.92	389.72	172.65	260.38	153.34	161.02	177.53	438.59	123.5
DYNC1LI2	232.94	275.28	205.5	187.71	275.28	332.14	104.42	1369.04	2451.44	1340.84	1923.14	1088.92	2133.97	1340.84	1936.53	1119.56	2004.85	2018.8	1561.89	1883.54	1583.71	3212.66	1844.76	1832.01	1733.13	1286.18	2224.63	1832.01	1662.49	1674.06	2163.77	1674.06	1467.37	1605.83	2502.97	2758.13	2148.82	1896.65	1340.84	1417.35	1529.73	1519.15	1605.83	1313.23	1340.84	2739.08	1583.71	1313.23	1250.98	1467.37	1313.23	2240.11	1628.26	2502.97	1417.35	1883.54	2224.63	2075.59	1819.35	2209.26	1417.35	1794.29	1242.34	2224.63	2255.7	2997.45	2682.69	1277.29	1417.35	1008.9	1757.34	1757.34	1769.57	1583.71
ELAC2	555.41	579.04	642.59	791.35	674.59	595.34	583.07	802.41	872.1	669.92	733.19	674.59	967.76	738.29	836.53	708.18	884.29	921.88	860.08	902.89	571.05	860.08	764.36	836.53	813.63	808.0	1001.93	995.0	1037.29	915.51	1044.52	1008.9	684.02	860.08	988.12	1023.0	1088.92	974.5	669.92	848.22	629.35	674.59	733.19	860.08	728.11	1015.93	902.89	642.59	607.87	1037.29	616.37	934.76	693.58	872.1	878.17	1096.5	934.76	825.0	872.1	825.0	854.13	974.5	872.1	896.64	1066.48	1023.0	934.76	808.0	684.02	674.59	884.29	665.29	884.29	813.63
EPB41	199.85	221.86	178.77	224.97	301.33	214.27	130.6	253.23	591.22	287.01	417.77	316.37	283.05	194.36	429.54	232.94	624.99	595.34	229.72	412.0	384.34	368.65	507.46	483.38	780.44	336.79	796.86	555.41	320.8	713.11	791.35	579.04	264.03	521.76	540.19	441.64	417.77	567.1	346.29	358.54	336.79	291.04	301.33	403.5	371.22	463.65	483.38	753.83	318.57	316.37	281.09	414.87	320.8	718.08	353.59	688.78	466.88	507.46	555.41	1183.45	353.59	441.64	327.56	603.67	514.56	486.75	473.41	438.59	395.18	435.55	379.04	287.01	555.41	287.01
FAM160B1	131.51	151.22	205.5	108.9	150.17	142.01	129.69	142.01	450.94	135.24	176.29	176.29	283.05	143.01	297.17	135.24	305.55	303.44	159.9	309.83	147.06	334.46	197.09	395.18	251.48	182.55	403.5	332.14	260.38	305.55	307.69	303.44	159.9	236.21	373.81	395.18	336.79	332.14	158.79	134.3	167.9	152.28	152.28	234.57	165.57	358.54	267.73	173.85	162.14	206.94	142.01	291.04	183.82	384.34	320.8	262.2	283.05	363.56	327.56	373.81	281.09	301.33	190.34	348.71	432.53	334.46	356.05	194.36	181.28	153.34	204.07	164.42	285.03	154.42
FAM91A1	214.27	279.14	251.48	135.24	264.03	202.66	191.67	258.57	575.03	231.32	384.34	248.0	400.71	229.72	363.56	262.2	423.61	400.71	314.17	379.04	371.22	536.45	371.22	463.65	343.89	291.04	500.46	412.0	406.31	409.15	356.05	351.14	329.84	358.54	429.54	540.19	379.04	406.31	293.07	242.88	325.29	291.04	329.84	356.05	301.33	486.75	353.59	214.27	327.56	293.07	265.87	432.53	346.29	497.0	289.02	403.5	358.54	420.68	511.0	417.77	237.86	341.51	242.88	363.56	595.34	563.18	454.09	267.73	429.54	267.73	301.33	361.04	381.68	279.14
FBXO30	33.06	23.76	23.76	15.68	23.93	22.75	5.96	66.18	312.0	79.45	122.64	106.63	214.27	93.35	189.02	81.14	195.72	187.71	85.82	241.19	103.69	214.27	108.9	194.36	121.79	85.22	189.02	190.34	148.09	202.66	255.0	127.0	96.01	91.41	211.31	204.07	193.01	214.27	87.65	72.01	92.05	102.97	104.42	143.01	81.71	220.32	201.25	117.6	92.05	96.01	81.14	191.67	108.14	258.57	159.9	121.79	167.9	229.72	187.71	262.2	145.02	214.27	149.12	251.48	412.0	236.21	241.19	112.77	154.42	129.69	101.54	88.26	173.85	98.73
FNIP1	69.52	102.25	96.68	63.45	100.83	76.71	88.88	100.13	325.29	74.06	131.51	144.01	197.09	100.83	190.34	63.0	277.2	205.5	103.69	234.57	91.41	332.14	111.99	260.38	183.82	95.34	301.33	244.57	157.68	211.31	173.85	173.85	120.94	169.07	215.77	264.03	209.84	170.25	99.43	110.43	147.06	164.42	107.38	169.07	129.69	205.5	166.73	109.66	105.89	127.0	94.67	221.86	163.28	217.27	172.65	172.65	143.01	226.54	218.79	232.94	194.36	260.38	127.89	273.37	363.56	199.85	221.86	108.9	162.14	111.99	135.24	107.38	211.31	119.26
FOXJ3	169.07	194.36	163.28	121.79	152.28	208.38	115.97	346.29	633.73	303.44	473.41	291.04	540.19	334.46	473.41	387.02	500.46	490.14	409.15	423.61	343.89	555.41	555.41	521.76	438.59	412.0	591.22	466.88	470.14	460.44	490.14	429.54	339.14	420.68	514.56	616.37	476.71	470.14	351.14	358.54	368.65	441.64	406.31	441.64	368.65	551.56	463.65	353.59	381.68	348.71	305.55	529.06	384.34	651.58	450.94	409.15	473.41	476.71	543.96	514.56	432.53	447.82	363.56	497.0	547.75	587.13	473.41	307.69	414.87	316.37	438.59	379.04	466.88	358.54
FUBP3	518.15	547.75	575.03	397.93	559.28	353.59	438.59	961.07	1427.22	1081.39	1477.58	928.3	1467.37	915.51	1594.73	813.63	1477.58	1250.98	1427.22	1331.57	1268.46	1923.14	1119.56	1529.73	1008.9	974.5	1651.0	1304.15	1407.55	1628.26	1594.73	1397.83	1037.29	1233.75	1605.83	1639.59	1733.13	1651.0	967.76	860.08	1104.13	1037.29	1088.92	1059.11	1001.93	1572.76	1397.83	928.3	967.76	1268.46	988.12	1844.76	1286.18	1605.83	1199.98	1313.23	1467.37	1417.35	1519.15	1936.53	1175.27	2032.85	1127.35	1397.83	1857.6	1378.57	2004.85	1008.9	1073.91	813.63	1167.14	1191.69	1369.04	1268.46
GAPVD1	87.03	87.65	84.04	65.26	70.01	99.43	42.71	228.13	718.08	262.2	307.69	303.44	591.22	258.57	420.68	177.53	497.0	514.56	281.09	470.14	218.79	1709.26	361.04	400.71	389.72	299.25	420.68	500.46	486.75	363.56	656.11	403.5	206.94	395.18	447.82	591.22	473.41	476.71	223.41	279.14	241.19	341.51	262.2	356.05	283.05	575.03	339.14	248.0	246.28	297.17	226.54	444.72	255.0	547.75	265.87	366.09	470.14	457.25	529.06	791.35	334.46	426.57	348.71	703.28	624.99	620.67	525.39	224.97	356.05	185.11	246.28	299.25	454.09	232.94
GART	346.29	353.59	329.84	334.46	376.41	260.38	267.73	420.68	836.53	518.15	551.56	483.38	656.11	457.25	688.78	473.41	753.83	665.29	493.56	713.11	490.14	713.11	612.11	669.92	642.59	423.61	656.11	708.18	728.11	624.99	599.49	764.36	493.56	612.11	743.43	896.64	748.61	791.35	417.77	392.44	493.56	521.76	444.72	607.87	457.25	674.59	587.13	438.59	423.61	559.28	423.61	629.35	507.46	825.0	511.0	830.75	656.11	674.59	743.43	583.07	480.04	656.11	595.34	591.22	708.18	1037.29	718.08	423.61	511.0	457.25	521.76	500.46	647.07	540.19
HNRNPH1	3325.99	2434.5	1896.65	1233.75	2417.67	3039.3	629.35	5479.15	11584.24	4769.75	6471.02	6471.02	8963.45	4769.75	11504.21	5041.77	14262.1	10733.74	6983.79	10733.74	6426.31	17558.94	9474.59	11035.54	9474.59	9606.86	14663.09	11992.79	10084.54	7032.37	11189.6	10440.2	6121.9	8191.0	12076.21	15607.02	10440.2	10585.95	6652.97	8078.22	5292.48	8247.98	9088.59	7966.99	5633.22	13215.02	10959.3	6381.92	5255.91	7382.04	4836.35	12943.04	8078.22	14361.31	7130.55	10225.32	10959.3	10733.74	11035.54	10225.32	5366.37	11345.82	5751.61	11745.96	11584.24	11827.67	14461.21	7230.1	7331.05	6471.02	11745.96	6935.54	10225.32	5633.22
IARS	169.07	214.27	208.38	167.9	209.84	161.02	159.9	518.15	1295.13	599.49	796.86	575.03	791.35	708.18	1340.84	642.59	995.0	967.76	642.59	796.86	591.22	921.88	860.08	1936.53	1023.0	497.0	1709.26	988.12	1617.0	1286.18	830.75	1295.13	620.67	1159.07	1417.35	2193.99	1119.56	1781.89	575.03	555.41	551.56	525.39	555.41	836.53	718.08	1757.34	1295.13	460.44	607.87	738.29	536.45	1437.15	571.05	2047.0	947.83	1167.14	2061.24	909.17	1073.91	1350.18	988.12	808.0	830.75	1883.54	1457.23	2148.82	1119.56	759.08	551.56	890.44	616.37	703.28	941.27	624.99
KDM2A	450.94	591.22	540.19	450.94	486.75	412.0	236.21	791.35	1104.13	791.35	796.86	651.58	981.29	909.17	1096.5	551.56	1183.45	1023.0	674.59	866.07	633.73	1066.48	753.83	1059.11	872.1	836.53	1340.84	1001.93	1008.9	848.22	1167.14	1119.56	718.08	1044.52	1143.1	1437.15	988.12	902.89	791.35	753.83	764.36	759.08	753.83	1073.91	703.28	1119.56	1051.79	607.87	890.44	896.64	713.11	1340.84	842.36	1183.45	813.63	1088.92	1044.52	1104.13	1175.27	954.43	872.1	995.0	860.08	981.29	1268.46	1175.27	1359.57	775.05	738.29	708.18	1001.93	679.29	872.1	854.13
L3HYPDH	170.25	178.77	273.37	172.65	234.57	190.34	61.25	285.03	607.87	181.28	343.89	318.57	559.28	258.57	497.0	175.07	470.14	480.04	221.86	336.79	246.28	273.37	215.77	511.0	381.68	400.71	961.07	525.39	346.29	406.31	457.25	603.67	323.03	486.75	708.18	1104.13	624.99	503.95	180.02	262.2	318.57	242.88	403.5	371.22	191.67	866.07	638.15	253.23	248.0	323.03	309.83	890.44	447.82	525.39	417.77	525.39	612.11	583.07	518.15	848.22	551.56	351.14	218.79	764.36	647.07	802.41	753.83	226.54	198.47	165.57	251.48	264.03	483.38	279.14
