	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.B6.A1KF.01A.11R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9UO.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.DM.A1DB.01A.11R.A155.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.G4.6322.01A.11R.1723.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.13VXT.2426.SM.5LU46	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.VR.AA4D.01A.11R.A37I.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.L5.A4OS.01A.11R.A28J.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.44.6146.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.2687.01A.02R.1736.07	TCGA.AF.A56L.01A.31R.A39D.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.HU.8238.11A.01R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.CG.5730.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WFG8.1326.SM.4LVN3	GTEX.WHPG.0426.SM.4M1XW	GTEX.Q2AH.1126.SM.48TZM	GTEX.13OW6.2526.SM.5IJEC	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.13FTW.1726.SM.5KM2B	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.ZYY3.1726.SM.5EGH3	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.131XG.1226.SM.5EGH9
IFT52	629.35	808.0	195.72	633.73	1135.2	563.18	603.67	575.03	503.95	1135.2	470.14	420.68	769.69	403.5	480.04	395.18	571.05	571.05	620.67	723.08	514.56	791.35	480.04	791.35	1051.79	607.87	808.0	387.02	703.28	514.56	450.94	0.39	1008.9	995.0	267.73	303.44	450.94	1250.98	417.77	447.82	571.05	223.41	791.35	934.76	397.93	1369.04	743.43	480.04	348.71	480.04	447.82	262.2	295.11	318.57	232.94	353.59	229.72	346.29	441.64	305.55	429.54	242.88	412.0	301.33	244.57	346.29	265.87	201.25	249.73	271.48	348.71	150.17	403.5	241.19	244.57
IKBKAP	169.07	361.04	140.04	303.44	423.61	412.0	420.68	293.07	444.72	460.44	320.8	353.59	432.53	395.18	323.03	269.6	373.81	507.46	438.59	463.65	500.46	480.04	665.29	447.82	511.0	476.71	426.57	363.56	521.76	366.09	341.51	0.6	507.46	435.55	273.37	197.09	325.29	253.23	191.67	395.18	476.71	190.34	896.64	660.68	314.17	291.04	432.53	503.95	312.0	503.95	325.29	128.79	273.37	271.48	129.69	198.47	121.79	260.38	228.13	269.6	195.72	206.94	189.02	258.57	153.34	211.31	366.09	70.01	214.27	164.42	223.41	190.34	209.84	242.88	221.86
INTS8	438.59	1857.6	283.05	400.71	647.07	764.36	591.22	753.83	624.99	1651.0	679.29	1135.2	753.83	698.41	543.96	460.44	563.18	1407.55	1950.0	1883.54	1250.98	1870.53	1175.27	1417.35	599.49	1167.14	813.63	688.78	1447.15	718.08	476.71	0.4	1096.5	1051.79	381.68	842.36	860.08	633.73	902.89	1417.35	769.69	629.35	1073.91	2739.08	1001.93	1286.18	1322.37	1059.11	2520.38	1359.57	547.75	271.48	400.71	403.5	277.2	371.22	457.25	470.14	303.44	348.71	356.05	358.54	454.09	547.75	285.03	397.93	1044.52	127.89	287.01	381.68	718.08	217.27	417.77	305.55	351.14
LCN2	318292.9	339.14	565825.41	1179708.33	706337.4	311742.51	90146.51	280957.98	316094.29	33.06	95286.54	122293.5	204252.32	542775.98	9151.82	48307.85	8963.45	343510.77	158046.64	313910.86	204252.32	275175.93	606436.73	256748.15	654483.73	131071.0	1238359.56	336441.4	6887.62	513497.31	40904.3	0.43	90.77	438.59	425853.18	1034138.94	565825.41	251464.33	1472666.19	593956.43	244588.0	172949.54	269512.87	138544.47	431797.89	334117.42	466008.55	301123.38	383800.28	305326.92	350728.68	4210.15	48307.85	37121.34	5954.47	31432.17	400.71	45701.96	55491.3	59474.18	197294.7	129266.49	290865.98	162489.97	15607.02	218912.29	248002.34	8421.31	72715.74	217400.14	301123.38	30572.63	320506.81	61999.83	65535.0
MDN1	323.03	389.72	297.17	629.35	476.71	476.71	470.14	339.14	713.11	954.43	547.75	457.25	417.77	417.77	281.09	209.84	327.56	325.29	921.88	563.18	529.06	514.56	647.07	529.06	591.22	785.88	769.69	447.82	651.58	323.03	316.37	0.87	1023.0	713.11	217.27	161.02	406.31	246.28	275.28	684.02	343.89	191.67	595.34	909.17	241.19	444.72	638.15	251.48	551.56	409.15	351.14	140.04	202.66	258.57	142.01	157.68	206.94	336.79	242.88	242.88	195.72	165.57	217.27	226.54	159.9	229.72	289.02	154.42	173.85	190.34	141.02	87.03	152.28	189.02	271.48
MORC2	571.05	1143.1	190.34	409.15	616.37	423.61	579.04	356.05	579.04	1191.69	555.41	808.0	909.17	1059.11	323.03	293.07	341.51	457.25	921.88	567.1	688.78	583.07	591.22	860.08	791.35	743.43	660.68	432.53	836.53	540.19	366.09	0.82	748.61	878.17	486.75	417.77	728.11	287.01	525.39	669.92	647.07	312.0	1030.12	785.88	507.46	426.57	423.61	457.25	571.05	529.06	334.46	165.57	215.77	244.57	220.32	194.36	204.07	303.44	253.23	277.2	226.54	295.11	226.54	236.21	153.34	212.78	373.81	312.0	149.12	226.54	189.02	142.01	287.01	283.05	265.87
MPLKIP	130.6	123.5	114.36	139.07	100.83	185.11	90.14	104.42	141.02	239.52	81.14	122.64	96.01	72.52	67.59	78.34	77.25	177.53	169.07	193.01	99.43	100.13	116.78	148.09	122.64	175.07	138.1	124.37	169.07	131.51	58.3	49.56	114.36	121.79	94.01	80.01	90.14	71.5	100.83	94.67	105.89	84.04	82.29	172.65	166.73	96.01	79.45	107.38	201.25	89.51	67.59	63.0	74.06	66.18	87.03	66.65	88.26	46.84	90.77	78.34	90.77	77.79	71.5	88.26	33.3	59.55	91.41	51.35	66.65	53.57	85.22	32.82	84.04	50.63	49.56
MTBP	25.54	205.5	57.08	36.79	25.54	108.14	86.43	56.28	52.08	189.02	49.91	75.64	79.45	56.68	27.84	22.26	37.59	131.51	181.28	167.9	122.64	124.37	52.08	204.07	108.9	88.88	88.26	34.75	157.68	40.93	24.11	0.07	144.01	90.77	20.41	66.18	124.37	50.27	36.01	169.07	120.1	34.26	277.2	199.85	89.51	110.43	112.77	82.29	125.24	106.63	42.41	13.72	14.89	28.04	17.0	17.0	22.59	18.56	27.64	31.45	27.84	29.27	44.25	25.91	30.56	40.64	36.53	9.78	21.63	17.0	55.49	12.55	23.25	24.11	38.4
MTERFD1	325.29	1572.76	242.88	403.5	343.89	417.77	381.68	381.68	507.46	902.89	507.46	571.05	511.0	412.0	195.72	283.05	299.25	543.96	934.76	921.88	476.71	713.11	466.88	624.99	559.28	490.14	486.75	336.79	547.75	379.04	178.77	0.13	791.35	775.05	307.69	193.01	332.14	258.57	571.05	551.56	470.14	194.36	460.44	896.64	718.08	447.82	591.22	444.72	1191.69	633.73	307.69	97.36	152.28	187.71	150.17	158.79	146.03	232.94	204.07	198.47	379.04	187.71	323.03	224.97	127.89	244.57	183.82	94.01	194.36	175.07	236.21	97.36	204.07	150.17	152.28
MYBBP1A	441.64	713.11	457.25	909.17	660.68	1119.56	738.29	299.25	1447.15	1295.13	1304.15	1199.98	1286.18	830.75	480.04	616.37	629.35	866.07	981.29	1781.89	860.08	1709.26	1001.93	1447.15	1417.35	2018.8	1044.52	642.59	1350.18	902.89	638.15	0.55	2032.85	1437.15	780.44	1508.65	674.59	769.69	368.65	638.15	928.3	591.22	1208.34	1044.52	909.17	854.13	1757.34	624.99	1350.18	361.04	896.64	251.48	674.59	536.45	305.55	497.0	366.09	511.0	555.41	463.65	406.31	688.78	500.46	435.55	291.04	412.0	450.94	616.37	379.04	470.14	503.95	262.2	387.02	802.41	603.67
NCBP2	1322.37	2591.27	769.69	1242.34	995.0	1685.71	2240.11	1191.69	1313.23	1977.24	1605.83	2090.03	1583.71	1259.69	1127.35	909.17	1331.57	1457.23	1769.57	1529.73	2351.53	1844.76	1639.59	1447.15	1781.89	1721.16	1191.69	1447.15	2287.2	1127.35	1242.34	0.93	2224.63	2224.63	1008.9	624.99	842.36	947.83	825.0	1407.55	1437.15	563.18	1617.0	1498.22	1397.83	1167.14	974.5	1457.23	1359.57	1015.93	819.3	429.54	595.34	688.78	454.09	497.0	486.75	612.11	563.18	543.96	830.75	579.04	620.67	651.58	432.53	688.78	525.39	559.28	559.28	723.08	525.39	361.04	511.0	457.25	518.15
NIT2	1583.71	3515.68	981.29	1225.22	934.76	1081.39	688.78	981.29	1685.71	1991.0	1015.93	1628.26	1369.04	1397.83	698.41	688.78	848.22	2240.11	1369.04	1733.13	1199.98	1191.69	1088.92	1757.34	1437.15	1819.35	2004.85	1023.0	1844.76	819.3	660.68	289.02	1721.16	1721.16	941.27	934.76	860.08	759.08	1023.0	599.49	1605.83	583.07	1199.98	1259.69	1662.49	1350.18	1051.79	1015.93	1208.34	1059.11	1605.83	373.81	595.34	642.59	486.75	483.38	525.39	595.34	713.11	785.88	1001.93	769.69	624.99	540.19	351.14	825.0	429.54	309.83	426.57	688.78	651.58	460.44	444.72	420.68	497.0
NOL8	291.04	536.45	346.29	529.06	563.18	583.07	503.95	314.17	684.02	1216.75	507.46	403.5	703.28	583.07	265.87	226.54	323.03	603.67	1143.1	563.18	674.59	688.78	753.83	703.28	525.39	684.02	1151.06	406.31	802.41	420.68	281.09	0.58	713.11	842.36	361.04	316.37	409.15	265.87	444.72	791.35	842.36	325.29	1059.11	808.0	444.72	460.44	708.18	591.22	435.55	896.64	303.44	140.04	277.2	409.15	248.0	175.07	155.5	226.54	283.05	358.54	246.28	265.87	277.2	303.44	159.9	248.0	400.71	74.58	229.72	262.2	283.05	148.09	218.79	236.21	193.01
NRBP2	98.73	995.0	104.42	341.51	441.64	287.01	733.19	164.42	204.07	463.65	189.02	503.95	217.27	470.14	400.71	559.28	529.06	1250.98	775.05	1250.98	559.28	1883.54	878.17	1639.59	1313.23	1806.78	450.94	669.92	587.13	679.29	346.29	1.11	1208.34	1896.65	171.45	693.58	693.58	454.09	403.5	536.45	470.14	255.0	392.44	371.22	536.45	476.71	414.87	679.29	854.13	441.64	454.09	217.27	299.25	316.37	211.31	242.88	218.79	400.71	226.54	187.71	417.77	397.93	232.94	265.87	307.69	275.28	327.56	92.05	229.72	258.57	314.17	320.8	346.29	283.05	164.42
NSUN2	1030.12	1721.16	796.86	1427.22	420.68	2417.67	981.29	866.07	1883.54	1508.65	1250.98	1508.65	1096.5	1208.34	748.61	733.19	1008.9	1909.85	1151.06	1769.57	1583.71	1159.07	1857.6	1844.76	1508.65	1662.49	1709.26	1322.37	1950.0	2148.82	1001.93	0.95	1135.2	1508.65	961.07	1397.83	1359.57	518.15	503.95	1242.34	961.07	607.87	1427.22	2271.4	1015.93	2303.12	981.29	1066.48	2061.24	1199.98	1498.22	403.5	629.35	660.68	429.54	529.06	454.09	599.49	532.74	503.95	764.36	633.73	713.11	743.43	397.93	775.05	633.73	718.08	591.22	780.44	743.43	409.15	555.41	511.0	808.0
NUDCD1	186.4	934.76	115.16	224.97	215.77	271.48	199.85	195.72	289.02	529.06	356.05	299.25	260.38	381.68	108.9	139.07	127.0	316.37	607.87	551.56	366.09	406.31	283.05	460.44	312.0	466.88	403.5	267.73	503.95	228.13	191.67	0.45	595.34	532.74	204.07	228.13	262.2	220.32	244.57	497.0	297.17	197.09	540.19	656.11	540.19	325.29	406.31	258.57	420.68	395.18	291.04	55.1	98.04	155.5	72.01	117.6	100.13	132.44	100.13	141.02	139.07	68.07	218.79	162.14	73.54	113.56	209.84	244.57	101.54	163.28	138.1	47.5	111.99	100.13	169.07
NUP107	287.01	503.95	283.05	438.59	363.56	684.02	693.58	607.87	559.28	1540.37	429.54	567.1	454.09	567.1	397.93	334.46	490.14	507.46	921.88	638.15	825.0	656.11	400.71	785.88	660.68	796.86	802.41	361.04	915.51	426.57	293.07	0.65	902.89	723.08	193.01	256.78	356.05	291.04	206.94	674.59	525.39	226.54	738.29	713.11	217.27	507.46	563.18	403.5	384.34	647.07	356.05	93.35	307.69	256.78	130.6	187.71	195.72	229.72	178.77	205.5	353.59	285.03	423.61	194.36	104.42	325.29	234.57	197.09	170.25	305.55	420.68	68.55	220.32	181.28	297.17
NUP155	555.41	633.73	236.21	214.27	83.45	567.1	229.72	269.6	285.03	361.04	211.31	202.66	206.94	211.31	132.44	96.01	193.01	371.22	228.13	291.04	260.38	258.57	249.73	295.11	325.29	277.2	253.23	191.67	395.18	293.07	229.72	0.66	343.89	209.84	220.32	253.23	253.23	84.04	175.07	414.87	291.04	150.17	316.37	748.61	312.0	703.28	343.89	234.57	376.41	299.25	237.86	75.11	108.9	149.12	50.63	118.43	75.64	108.14	78.89	103.69	148.09	143.01	287.01	145.02	107.38	121.79	170.25	123.5	110.43	164.42	221.86	26.28	110.43	113.56	221.86
NUPL2	563.18	764.36	384.34	454.09	785.88	624.99	733.19	921.88	748.61	1350.18	397.93	575.03	769.69	575.03	339.14	457.25	507.46	954.43	1242.34	3349.13	785.88	733.19	988.12	909.17	738.29	808.0	896.64	612.11	1151.06	728.11	406.31	0.48	785.88	780.44	518.15	463.65	961.07	414.87	426.57	571.05	603.67	264.03	1059.11	1119.56	1127.35	642.59	819.3	547.75	941.27	651.58	387.02	281.09	312.0	346.29	271.48	318.57	246.28	318.57	387.02	361.04	529.06	507.46	493.56	351.14	212.78	371.22	432.53	246.28	314.17	339.14	381.68	117.6	318.57	293.07	285.03
OTUD6B	62.12	368.65	44.89	81.14	73.54	120.1	104.42	80.57	134.3	343.89	169.07	180.02	177.53	131.51	112.77	88.26	178.77	157.68	287.01	341.51	193.01	251.48	197.09	295.11	117.6	232.94	232.94	183.82	231.32	157.68	82.29	0.51	285.03	320.8	106.63	69.52	105.89	81.14	115.16	157.68	95.34	75.64	175.07	232.94	135.24	178.77	193.01	209.84	454.09	171.45	58.71	35.5	60.39	80.01	34.02	37.59	34.02	66.65	65.26	45.53	113.56	64.8	65.72	53.95	54.72	58.3	73.54	24.46	75.11	54.33	52.45	33.78	62.12	49.21	46.5
PAXBP1	220.32	387.02	149.12	215.77	397.93	454.09	211.31	438.59	414.87	819.3	356.05	503.95	403.5	392.44	332.14	215.77	309.83	638.15	947.83	802.41	638.15	583.07	529.06	775.05	376.41	470.14	688.78	389.72	651.58	409.15	295.11	0.95	629.35	748.61	239.52	246.28	432.53	256.78	251.48	802.41	454.09	198.47	476.71	684.02	361.04	454.09	579.04	400.71	518.15	791.35	153.34	281.09	159.9	187.71	143.01	144.01	165.57	159.9	159.9	132.44	241.19	204.07	176.29	139.07	193.01	175.07	323.03	232.94	152.28	178.77	197.09	128.79	229.72	148.09	134.3
PCNXL2	66.18	244.57	262.2	149.12	236.21	111.21	316.37	140.04	226.54	248.0	194.36	123.5	356.05	218.79	53.57	78.34	109.66	246.28	325.29	392.44	271.48	208.38	358.54	262.2	336.79	163.28	191.67	180.02	575.03	176.29	120.1	209.84	145.02	163.28	127.0	36.53	698.41	206.94	392.44	190.34	133.36	52.08	224.97	497.0	183.82	497.0	309.83	187.71	189.02	191.67	191.67	69.52	103.69	125.24	104.42	76.17	48.18	144.01	142.01	101.54	88.88	142.01	92.7	105.15	159.9	127.0	297.17	71.5	115.16	127.89	152.28	66.18	111.21	130.6	63.45
