	TCGA.B0.5698.01A.11R.1672.07	TCGA.CJ.4900.01A.01R.1334.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VP.A87C.01A.11R.A352.07	TCGA.J4.A6G1.01A.11R.A311.07	GTEX.N7MT.0726.SM.3TW8S	GTEX.1313W.2826.SM.5P9G1
MPHOSPH10	457.25	480.04	412.0	507.46	220.32	346.29	371.22	293.07	267.73	336.79	277.2	441.64	209.84	0.14	642.59	642.59	575.03	785.88
NACA	50709.61	53973.86	45386.27	44145.15	12943.04	15607.02	21468.49	30572.63	27553.49	24832.5	16157.44	28723.62	21468.49	915.51	46662.28	69753.56	93974.69	122293.5
NUP35	341.51	229.72	271.48	251.48	206.94	226.54	157.68	112.77	101.54	118.43	119.26	137.14	132.44	0.0	234.57	291.04	432.53	366.09
PAFAH1B3	400.71	457.25	547.75	947.83	78.89	48.52	146.03	72.52	204.07	105.89	244.57	57.49	141.02	0.27	808.0	1081.39	607.87	1037.29
PFDN5	21919.61	34158.52	27363.16	30785.28	8598.28	10659.59	11827.67	14971.21	14971.21	13033.07	11345.82	12415.75	9540.5	1.31	17927.91	28723.62	55877.28	50011.46
PRR4	206.94	265.87	246.28	332.14	277.2	244.57	220.32	142.01	197.09	221.86	163.28	314.17	97.36	0.64	389.72	392.44	368.65	603.67
RNF113A	336.79	583.07	579.04	483.38	157.68	208.38	214.27	226.54	221.86	229.72	208.38	175.07	387.02	0.59	507.46	490.14	273.37	466.88
RPL10	102836.01	106462.55	153724.82	107948.72	38697.77	66912.05	48982.22	63302.6	79572.48	80683.28	24490.61	25887.07	39237.98	1.81	130165.62	174152.51	221968.2	280957.98
RPL10A	37121.34	39237.98	32540.65	25005.23	11112.3	20593.91	18560.17	16157.44	25887.07	28923.41	8078.22	9808.75	16496.96	1.57	48982.22	71219.26	95949.32	116501.39
RPL11	57051.4	57051.4	59063.35	63302.6	22692.63	30572.63	31650.8	50359.33	52863.07	56265.94	18431.96	27553.49	35363.15	1.51	69271.73	107948.72	202841.44	195931.88
RPL12	57448.23	55491.3	50709.61	49322.93	11504.21	20881.4	21026.65	30361.44	38430.46	47642.77	15392.14	30572.63	23986.58	753.83	69271.73	87075.75	87681.42	144427.91
RPL18	43840.21	62865.33	52863.07	38430.46	30572.63	47313.67	40062.48	33455.53	43236.64	34158.52	27938.14	27938.14	23330.64	1.64	72213.45	97288.74	107203.06	165904.25
RPL23A	42054.3	47974.16	44145.15	51062.33	11424.74	15180.22	17558.94	27938.14	31870.96	29531.18	10808.41	18560.17	15392.14	1.64	58655.36	65990.84	102836.01	120609.84
RPL27	44452.21	66912.05	47642.77	53601.03	18950.18	32315.87	25354.3	28328.16	44145.15	38966.94	19214.73	20170.07	20593.91	1583.71	46339.95	81809.59	101420.22	115696.65
RPL35A	37639.55	47974.16	30361.44	40062.48	11992.79	19892.37	22850.48	21468.49	27553.49	26248.46	13776.25	15180.22	11584.24	1.69	51775.15	77396.54	127486.83	144427.91
RPL36	31870.96	35118.87	34635.37	41188.81	17078.76	27553.49	18304.63	19348.38	27553.49	20881.4	18178.19	13681.08	13399.51	1.35	50011.46	68793.23	79572.48	102125.66
RPL36A	38430.46	62865.33	65082.31	51775.15	8598.28	16157.44	15499.21	20030.74	26431.04	23986.58	13492.72	23820.89	12415.75	1.73	52135.28	72715.74	113315.62	91404.92
RPL36AL	8022.41	13586.57	11745.96	9279.58	3820.7	5751.61	6840.04	9409.14	8718.32	9088.59	7081.29	7230.1	7331.05	1.01	8247.98	9740.98	20593.91	19348.38
RPL38	38164.99	56657.31	54349.29	50011.46	16045.82	23656.34	27938.14	34635.37	36610.26	33688.23	18304.63	26986.43	23330.64	1447.15	46339.95	66912.05	113315.62	119776.72
RPL39	59887.86	102125.66	110983.6	77934.88	18052.61	30361.44	29327.18	46662.28	61999.83	51775.15	29531.18	30361.44	35118.87	2193.99	94628.34	132900.7	204252.32	170568.48
RPL5	33922.56	41763.8	32540.65	32315.87	10225.32	12589.08	12853.63	19482.97	22380.2	22380.2	5954.47	12853.63	10733.74	3443.31	38164.99	57051.4	121448.75	152662.96
RPL6	36610.26	40341.14	38966.94	40341.14	11189.6	18950.18	16960.78	23986.58	32994.92	27363.16	9025.81	14561.8	13586.57	1.53	36864.92	65082.31	111755.56	145432.49
RPL9	54727.32	62431.08	69753.56	47642.77	13215.02	20030.74	23169.48	29736.59	61146.25	27363.16	12160.22	23820.89	18304.63	1.5	50709.61	64186.29	145432.49	195931.88
RPLP2	29943.43	34635.37	31870.96	46662.28	11345.82	12329.98	12329.98	17804.06	18819.27	22380.2	12853.63	11745.96	14262.1	2777.33	38164.99	64632.75	88905.42	79572.48
RPS10	30999.42	39510.91	34396.12	32767.0	16960.78	33224.42	19618.49	24660.96	32767.0	29943.43	15715.58	11189.6	15824.9	1.69	59887.86	65082.31	94628.34	87681.42
RPS12	39785.74	37901.36	33922.56	35609.13	15075.35	29531.18	18304.63	28525.2	36864.92	37379.55	11424.74	16157.44	20030.74	1104.13	62865.33	84694.64	139508.13	115696.65
RPS13	30785.28	42937.97	32767.0	32315.87	8718.32	15824.9	13123.73	18950.18	20170.07	23820.89	9215.48	11909.94	11345.82	2451.44	35118.87	50709.61	73730.83	88291.3
RPS15A	33922.56	61571.56	55877.28	47313.67	23330.64	38164.99	28923.41	43236.64	48643.87	46986.85	14971.21	23820.89	21768.19	1639.59	59887.86	85283.74	141455.6	128373.58
RPS17L	28328.16	41763.8	32540.65	37379.55	28132.47	23330.64	23169.48	30572.63	31432.17	31215.04	3467.27	24832.5	23009.42	0.51	46986.85	55491.3	78476.96	52135.28
RPS18	91404.92	128373.58	112532.89	62431.08	24321.43	76861.91	44452.21	55491.3	79572.48	69753.56	27553.49	37901.36	39510.91	1.83	130165.62	197294.7	313910.86	263966.36
RPS24	64186.29	113315.62	93974.69	96616.71	19348.38	25887.07	26800.01	51417.5	63302.6	52863.07	26248.46	38697.77	35118.87	2645.74	93325.55	118949.35	233003.78	262143.0
RPS27	119776.72	169390.27	155870.75	137587.47	48643.87	99333.0	77934.88	93974.69	104271.56	91404.92	38430.46	42346.82	41475.31	1.68	184082.4	251464.33	343510.77	353168.2
RPS29	59474.18	80125.95	79572.48	70727.3	46019.85	80125.95	63302.6	60723.88	87075.75	101420.22	33922.56	30151.71	36106.23	830.75	118949.35	160252.91	191899.64	149521.18
RPS3	45072.75	73730.83	59887.86	52135.28	21172.91	31650.8	25354.3	30785.28	35609.13	25887.07	15824.9	18950.18	18819.27	1.75	80683.28	114897.47	170568.48	215898.44
RPS6	69753.56	66912.05	58250.19	59887.86	16045.82	27553.49	23169.48	32315.87	44761.41	42937.97	14663.09	30785.28	20170.07	1.79	76330.98	123144.13	208544.12	229795.93
RPS8	51775.15	58250.19	49322.93	55877.28	14461.21	24321.43	19892.37	23820.89	31650.8	30785.28	12244.81	16960.78	14867.79	1.66	59063.35	94628.34	152662.96	201440.3
SAP30L	796.86	1111.82	1159.07	1001.93	444.72	346.29	366.09	454.09	447.82	723.08	679.29	759.08	463.65	0.59	693.58	612.11	842.36	616.37
SERGEF	1037.29	1015.93	1175.27	1498.22	728.11	723.08	896.64	703.28	518.15	738.29	1322.37	819.3	836.53	0.56	1407.55	1936.53	1313.23	1923.14
SLC25A28	1183.45	1561.89	1572.76	1639.59	1023.0	928.3	1331.57	791.35	878.17	842.36	1819.35	1359.57	1127.35	0.56	1304.15	1508.65	2777.33	2061.24
SLC3A2	3639.7	5366.37	3081.75	3820.7	599.49	813.63	785.88	1277.29	1508.65	3060.45	1819.35	1135.2	836.53	0.79	3901.01	2701.35	5441.3	2319.15
SNRPD1	1242.34	1651.0	1259.69	1407.55	348.71	314.17	507.46	525.39	967.76	723.08	595.34	713.11	387.02	0.21	995.0	1883.54	1477.58	1359.57
ST8SIA5	8.25	7.69	42.41	16.15	1.19	0.0	0.83	2.12	0.0	1.07	3.69	6.78	0.0	0.19	8.51	21.32	3.41	11.47
SUMO2	6426.31	6652.97	8078.22	7032.37	2319.15	1529.73	2148.82	5041.77	3467.27	2701.35	3039.3	4010.71	2417.67	4972.34	6207.38	6983.79	6840.04	10296.45
TARDBP	2434.5	2520.38	2163.77	2133.97	2018.8	1508.65	1832.01	1697.45	1572.76	1350.18	1572.76	2303.12	1427.22	0.93	2485.67	2895.31	2520.38	3081.75
TCEAL4	2148.82	3491.39	5183.54	4972.34	2004.85	1331.57	2133.97	1277.29	1628.26	1242.34	1457.23	2739.08	2335.28	1639.59	5517.27	5292.48	7589.61	4095.0
TPT1	153724.82	187950.38	212926.09	158046.64	53973.86	65990.84	75280.1	180294.02	148488.36	153724.82	46662.28	93974.69	110216.97	2319.15	148488.36	195931.88	263966.36	263966.36
TREX2	50.27	5.28	173.85	100.13	3.59	0.69	5.63	1.99	4.54	0.0	2.63	3.32	1.2	0.42	11.55	13.03	16.27	13.42
USF2	3103.19	3443.31	3467.27	4512.4	2645.74	2224.63	2758.13	3955.48	3124.78	2004.85	2434.5	2664.15	3168.41	1.04	4869.99	3349.13	5517.27	4181.07
VSTM1	9.2	15.56	10.71	34.26	2.07	0.0	3.0	1.35	0.0	0.0	0.0	2.56	3.03	0.19	3.63	3.38	6.57	2.89
WDR45	1540.37	1950.0	2664.15	1977.24	896.64	1388.16	1286.18	1183.45	1008.9	1529.73	1407.55	1044.52	1250.98	0.95	1991.0	1883.54	2119.22	1662.49
ZNF32	915.51	890.44	1397.83	1277.29	638.15	638.15	860.08	842.36	579.04	358.54	518.15	480.04	329.84	0.56	1127.35	1508.65	2555.58	2193.99
ZNF385D	24.46	198.47	130.6	59.97	3.92	0.22	9.7	3.5	0.0	0.47	1.43	1.83	49.56	0.07	121.79	78.34	559.28	127.0
ZNF781	24.63	20.41	78.34	91.41	0.72	2.1	0.65	1.71	1.01	0.2	52.82	10.24	0.0	0.17	67.59	36.27	514.56	540.19
