	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A45K.01A.11R.A23W.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.X4XX.0926.SM.46MV7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
CCDC97	191.67	120.94	144.01	115.16	111.21	150.17	120.1	138.1	165.57	108.9	121.79	70.51	0.0	493.56	497.0	400.71	473.41	511.0	435.55	432.53	507.46	376.41	223.41	454.09	406.31	503.95	450.94	571.05	543.96	346.29	595.34	525.39	514.56	435.55	384.34	414.87	389.72	414.87	441.64	379.04	358.54	371.22	403.5	414.87	438.59	376.41	303.44	525.39	381.68
CCM2L	22.92	9.27	23.42	7.51	29.91	32.59	15.0	44.89	35.5	36.01	25.54	10.08	0.0	438.59	376.41	277.2	125.24	211.31	123.5	151.22	98.04	121.79	8.78	163.28	105.89	173.85	155.5	228.13	187.71	96.68	162.14	175.07	150.17	131.51	281.09	126.12	170.25	82.87	88.88	55.49	68.55	114.36	108.9	159.9	144.01	108.14	32.36	195.72	279.14
CD34	59.55	26.67	35.76	35.25	39.79	90.14	59.97	120.1	76.71	62.56	82.87	35.25	0.0	4181.07	2875.3	2758.13	2240.11	4450.27	1651.0	1286.18	1950.0	2664.15	221.86	1331.57	836.53	1551.09	995.0	2209.26	2133.97	651.58	1313.23	2816.11	1175.27	974.5	1605.83	1304.15	753.83	603.67	1096.5	583.07	470.14	921.88	1066.48	961.07	941.27	403.5	441.64	2384.37	1519.15
CHMP1A	896.64	723.08	674.59	688.78	679.29	796.86	638.15	1015.93	514.56	363.56	764.36	384.34	0.0	2004.85	2018.8	1508.65	1397.83	1709.26	1662.49	1561.89	1477.58	1437.15	1561.89	1674.06	1519.15	1662.49	1427.22	1487.87	1467.37	1135.2	1551.09	1769.57	1487.87	1304.15	1457.23	1359.57	1397.83	1369.04	1806.78	1617.0	1733.13	1350.18	1417.35	1331.57	1745.2	1639.59	1427.22	1721.16	1883.54
CLCN2	39.22	38.95	29.27	43.63	30.56	31.67	22.92	36.01	30.78	77.25	34.51	7.82	0.0	246.28	241.19	166.73	91.41	124.37	103.69	148.09	99.43	88.88	80.57	138.1	118.43	111.21	88.26	140.04	131.51	85.22	100.83	143.01	121.79	112.77	194.36	134.3	173.85	151.22	108.14	73.03	128.79	145.02	105.15	133.36	209.84	118.43	68.55	148.09	171.45
CLEC18B	0.0	0.0	2.84	1.31	0.0	2.81	4.66	2.73	4.21	0.22	1.91	0.0	0.0	70.01	25.91	17.51	9.7	27.25	3.72	9.2	13.12	9.78	5.63	28.45	7.46	10.88	0.77	19.25	15.11	4.1	13.32	35.0	1.25	2.84	18.16	10.0	4.78	8.85	10.55	8.0	16.88	5.68	3.66	5.15	7.69	6.31	13.03	16.88	19.53
CNTNAP1	12.74	7.22	7.63	10.79	6.57	8.13	5.68	5.15	12.36	1.64	15.8	0.44	0.0	76.17	87.65	49.21	66.65	66.65	37.59	52.82	43.32	52.82	16.03	52.82	26.28	51.71	43.63	91.41	78.34	40.93	58.3	182.55	56.28	31.9	54.72	38.4	20.86	44.57	20.71	27.84	14.78	14.67	18.29	35.25	31.9	46.5	29.48	75.11	35.5
COL9A1	0.0	0.0	0.0	2.23	0.0	0.65	0.4	0.36	1.51	0.0	0.0	0.06	0.0	7.17	25.72	18.43	23.08	9.27	10.47	1.87	17.51	2.94	4.06	9.41	2.05	5.96	6.52	25.72	44.25	7.75	14.35	32.13	6.46	2.66	5.41	8.58	1.85	3.72	9.85	0.89	0.0	0.8	4.7	0.1	1.66	7.75	10.47	2.92	3.14
DACT3	30.12	13.62	21.47	14.67	15.11	30.78	28.45	15.91	8.85	7.82	13.32	29.27	0.0	135.24	110.43	45.53	87.03	145.02	40.93	38.95	64.8	71.5	32.13	36.01	33.06	88.88	59.55	100.13	70.01	41.52	63.45	142.01	60.39	32.13	28.04	31.67	22.43	25.17	26.47	100.13	23.93	12.55	21.32	26.1	23.08	59.13	21.94	77.79	75.64
FAM193A	183.82	90.77	117.6	128.79	99.43	135.24	95.34	124.37	169.07	96.68	129.69	52.45	139.07	373.81	397.93	511.0	343.89	514.56	329.84	376.41	423.61	371.22	327.56	397.93	289.02	376.41	273.37	571.05	480.04	423.61	361.04	514.56	381.68	356.05	277.2	356.05	239.52	299.25	379.04	327.56	287.01	228.13	320.8	318.57	361.04	348.71	406.31	429.54	470.14
FAM219A	94.67	47.5	77.79	45.53	63.0	75.11	70.01	90.14	64.34	64.8	73.03	56.28	0.0	403.5	389.72	249.73	151.22	262.2	262.2	287.01	206.94	199.85	170.25	195.72	246.28	242.88	202.66	186.4	241.19	217.27	215.77	400.71	162.14	220.32	246.28	269.6	205.5	301.33	202.66	208.38	214.27	158.79	161.02	229.72	234.57	180.02	206.94	231.32	221.86
FBXL7	17.25	5.96	7.88	13.83	16.51	17.13	6.06	7.94	6.41	13.52	8.65	8.38	0.0	193.01	128.79	120.94	126.12	220.32	70.51	59.97	110.43	158.79	29.06	124.37	76.71	67.12	82.87	156.59	89.51	81.14	108.14	190.34	110.43	82.29	50.27	112.77	65.26	47.5	85.82	86.43	67.59	46.18	41.52	61.68	100.83	57.49	85.22	86.43	84.63
FGD1	14.45	8.58	10.08	7.82	13.03	13.03	7.11	28.04	15.91	9.13	5.28	7.51	0.0	136.19	129.69	141.02	124.37	135.24	80.01	92.7	81.14	69.52	87.65	70.01	88.88	100.13	80.57	154.42	71.5	65.72	90.14	153.34	105.15	61.68	55.1	88.26	67.12	60.82	74.58	114.36	72.01	58.3	67.59	75.64	74.06	73.54	63.89	154.42	83.45
FGF17	1.36	0.0	0.0	0.0	0.0	1.31	0.82	0.16	2.25	0.0	0.12	0.0	0.0	221.86	194.36	83.45	21.94	48.87	14.89	29.7	27.84	38.95	71.0	44.89	15.0	27.84	37.59	81.14	34.51	105.89	36.79	309.83	26.28	28.24	23.93	34.02	29.7	17.51	36.27	30.78	80.01	40.64	30.34	30.12	21.01	34.51	35.25	33.54	36.27
HIC1	40.36	31.67	32.36	51.35	32.59	59.97	53.95	53.57	24.28	20.11	38.95	66.65	0.0	217.27	269.6	205.5	246.28	305.55	62.56	117.6	214.27	217.27	148.09	124.37	61.68	159.9	82.29	265.87	186.4	248.0	185.11	540.19	103.69	143.01	102.97	76.71	59.13	106.63	52.08	33.78	34.02	44.57	32.13	53.95	58.71	141.02	77.25	180.02	149.12
HSFX2	2.32	0.0	0.0	0.0	0.0	2.18	0.0	1.51	9.78	0.0	9.27	0.75	0.0	33.54	32.36	4.82	28.24	61.25	3.17	5.59	41.81	23.08	2.92	54.72	23.93	43.32	33.06	32.36	70.51	7.22	24.63	79.45	43.94	23.93	5.23	31.9	29.7	23.93	4.58	20.71	28.04	1.5	6.36	39.22	15.45	33.78	21.16	63.89	53.57
HSPA12B	18.43	8.25	15.0	13.22	19.39	21.78	10.47	12.18	23.25	81.71	13.62	13.32	0.0	307.69	320.8	297.17	150.17	358.54	153.34	162.14	154.42	167.9	12.27	167.9	94.01	162.14	135.24	275.28	209.84	68.55	136.19	265.87	149.12	165.57	239.52	119.26	138.1	88.88	124.37	63.45	77.25	97.36	115.16	176.29	155.5	105.89	33.06	246.28	258.57
HSPG2	329.84	130.6	248.0	204.07	190.34	309.83	275.28	297.17	361.04	490.14	269.6	186.4	0.0	7032.37	7749.1	2627.46	2240.11	3257.52	2163.77	2178.83	2434.5	1769.57	1008.9	2271.4	1561.89	2090.03	2193.99	2777.33	3372.43	1322.37	2075.59	2434.5	2287.2	1487.87	2209.26	1909.85	1242.34	1208.34	1806.78	1159.07	1233.75	1191.69	1583.71	1561.89	2209.26	2047.0	1322.37	2627.46	2335.28
HTRA2	358.54	454.09	612.11	395.18	490.14	507.46	555.41	514.56	532.74	366.09	473.41	323.03	0.0	791.35	825.0	764.36	718.08	866.07	738.29	684.02	836.53	759.08	647.07	728.11	785.88	791.35	660.68	890.44	836.53	808.0	860.08	1088.92	802.41	713.11	802.41	698.41	878.17	813.63	759.08	723.08	743.43	738.29	688.78	733.19	748.61	813.63	753.83	896.64	796.86
ICAM2	153.34	67.12	171.45	146.03	379.04	241.19	178.77	166.73	211.31	234.57	159.9	153.34	0.0	1662.49	1304.15	896.64	718.08	1331.57	688.78	511.0	802.41	1457.23	169.07	753.83	373.81	603.67	327.56	836.53	842.36	909.17	941.27	1769.57	567.1	497.0	813.63	450.94	432.53	521.76	358.54	318.57	285.03	339.14	262.2	303.44	368.65	241.19	651.58	796.86	743.43
INPP5J	2.86	2.63	1.57	2.14	0.92	5.5	0.56	5.06	3.35	4.31	1.19	0.0	0.0	7803.01	7803.01	9279.58	6652.97	6250.56	7695.57	15934.98	7642.41	5872.48	16157.44	9279.58	8840.04	8718.32	8247.98	9474.59	8134.41	5441.3	6935.54	19618.49	6561.36	5555.65	16727.26	7485.11	21919.61	21026.65	6164.49	3982.99	6652.97	15715.58	9215.48	4704.07	22225.61	9344.14	5954.47	12853.63	11827.67
LIN37	149.12	182.55	291.04	201.25	103.69	182.55	136.19	256.78	137.14	119.26	164.42	125.24	0.0	480.04	435.55	371.22	265.87	283.05	376.41	309.83	193.01	220.32	297.17	293.07	260.38	291.04	403.5	373.81	400.71	381.68	309.83	559.28	177.53	336.79	279.14	301.33	384.34	395.18	363.56	325.29	318.57	432.53	309.83	334.46	209.84	264.03	258.57	403.5	325.29
LLGL1	27.84	28.45	35.25	13.72	36.27	37.59	38.12	60.39	28.24	40.64	29.48	9.41	0.0	232.94	262.2	281.09	260.38	392.44	112.77	177.53	181.28	165.57	73.54	279.14	214.27	256.78	202.66	327.56	327.56	129.69	297.17	309.83	205.5	218.79	132.44	212.78	211.31	136.19	194.36	138.1	180.02	108.14	113.56	190.34	212.78	130.6	61.68	297.17	215.77
LRRC48	38.67	24.11	27.05	28.45	30.12	23.59	59.97	25.35	24.28	21.32	44.57	15.0	0.0	497.0	435.55	616.37	281.09	373.81	264.03	353.59	642.59	392.44	318.57	438.59	297.17	447.82	395.18	536.45	563.18	363.56	426.57	775.05	454.09	414.87	224.97	314.17	253.23	231.32	612.11	265.87	281.09	209.84	258.57	384.34	361.04	226.54	185.11	743.43	679.29
LSG1	441.64	229.72	195.72	309.83	305.55	246.28	348.71	211.31	234.57	400.71	232.94	118.43	514.56	738.29	759.08	563.18	616.37	426.57	514.56	518.15	406.31	575.03	612.11	490.14	674.59	532.74	819.3	351.14	780.44	392.44	497.0	1191.69	486.75	493.56	447.82	518.15	457.25	567.1	480.04	483.38	480.04	447.82	466.88	518.15	536.45	327.56	336.79	759.08	620.67
MAPK3	376.41	258.57	444.72	305.55	384.34	447.82	432.53	529.06	387.02	314.17	348.71	420.68	0.0	2956.17	2384.37	2645.74	2609.3	2895.31	1923.14	2090.03	2351.53	2537.92	1857.6	2032.85	1963.57	2193.99	1883.54	2855.44	2468.49	2434.5	2209.26	2468.49	2502.97	2178.83	1651.0	1844.76	1745.2	813.63	1950.0	1870.53	1594.73	1662.49	1551.09	2004.85	1923.14	1857.6	1529.73	2591.27	2133.97
MYH3	32.36	30.78	24.46	10.63	28.04	38.95	12.27	15.45	18.16	11.47	17.77	0.17	0.0	463.65	130.6	162.14	31.67	100.13	85.22	56.68	31.0	91.41	15.8	82.29	14.45	26.67	109.66	144.01	127.0	75.11	61.68	480.04	31.67	83.45	58.71	171.45	27.84	92.05	46.18	56.68	100.83	56.28	125.24	48.87	264.03	60.39	20.71	165.57	232.94
NCDN	87.65	79.45	79.45	80.01	72.52	87.03	63.0	134.3	95.34	82.29	112.77	29.7	0.0	575.03	708.18	473.41	460.44	563.18	497.0	473.41	591.22	463.65	329.84	595.34	723.08	612.11	460.44	540.19	476.71	299.25	525.39	860.08	483.38	460.44	480.04	473.41	435.55	647.07	384.34	309.83	397.93	361.04	412.0	429.54	567.1	457.25	291.04	429.54	536.45
NOTCH3	30.56	12.74	10.08	27.25	16.39	36.53	10.88	53.95	15.34	28.45	24.81	9.56	0.0	688.78	988.12	587.13	438.59	854.13	289.02	435.55	518.15	291.04	241.19	392.44	229.72	723.08	490.14	454.09	444.72	329.84	738.29	733.19	307.69	301.33	595.34	271.48	153.34	339.14	217.27	279.14	231.32	151.22	172.65	466.88	327.56	224.97	137.14	444.72	444.72
NPR1	58.3	57.08	91.41	60.82	82.87	137.14	68.55	60.39	151.22	129.69	48.52	100.83	0.0	323.03	325.29	273.37	133.36	392.44	275.28	206.94	149.12	297.17	65.26	346.29	273.37	155.5	295.11	466.88	162.14	127.0	303.44	836.53	177.53	332.14	164.42	199.85	122.64	151.22	220.32	166.73	145.02	155.5	105.89	156.59	215.77	197.09	144.01	211.31	262.2
PEAR1	41.22	10.47	29.48	32.59	32.59	45.21	25.91	34.75	34.26	38.95	19.25	46.18	0.0	191.67	314.17	351.14	183.82	417.77	159.9	206.94	148.09	209.84	65.26	279.14	115.16	148.09	231.32	293.07	221.86	96.68	241.19	567.1	159.9	134.3	114.36	125.24	76.17	108.9	147.06	52.08	63.0	35.76	66.18	118.43	140.04	134.3	127.0	214.27	221.86
PELP1	339.14	307.69	343.89	336.79	262.2	363.56	251.48	366.09	234.57	289.02	387.02	132.44	612.11	1127.35	981.29	651.58	563.18	764.36	616.37	638.15	656.11	432.53	941.27	718.08	703.28	728.11	684.02	718.08	825.0	718.08	896.64	1044.52	780.44	587.13	688.78	723.08	532.74	693.58	638.15	563.18	651.58	547.75	579.04	728.11	629.35	583.07	674.59	830.75	679.29
PIK3C2B	56.68	30.34	50.63	20.71	44.57	58.3	31.22	46.18	59.97	63.0	55.1	10.88	101.54	244.57	285.03	295.11	156.59	285.03	165.57	217.27	129.69	161.02	88.26	241.19	198.47	246.28	214.27	208.38	392.44	158.79	341.51	493.56	87.65	113.56	173.85	211.31	102.25	368.65	137.14	98.73	143.01	94.67	164.42	169.07	157.68	142.01	92.05	205.5	201.25
PIP4K2B	258.57	149.12	214.27	117.6	218.79	193.01	201.25	171.45	185.11	137.14	120.1	67.59	0.0	693.58	713.11	638.15	559.28	693.58	466.88	587.13	583.07	514.56	409.15	587.13	476.71	563.18	476.71	638.15	791.35	493.56	669.92	819.3	575.03	466.88	460.44	518.15	493.56	525.39	575.03	555.41	536.45	376.41	438.59	551.56	551.56	426.57	397.93	728.11	660.68
PLXND1	525.39	341.51	591.22	237.86	438.59	551.56	329.84	503.95	583.07	529.06	447.82	229.72	0.0	5112.16	5112.16	2148.82	1369.04	1857.6	1340.84	1617.0	1250.98	1111.82	371.22	1477.58	1208.34	1322.37	1651.0	1757.34	2090.03	723.08	2090.03	2468.49	1745.2	1001.93	1950.0	915.51	872.1	1397.83	915.51	607.87	854.13	674.59	928.3	928.3	1233.75	1175.27	607.87	1709.26	2047.0
PPFIA3	96.01	136.19	102.97	126.12	165.57	134.3	170.25	159.9	87.03	89.51	80.57	102.97	0.0	373.81	351.14	339.14	181.28	289.02	162.14	201.25	199.85	217.27	72.01	189.02	262.2	209.84	221.86	190.34	215.77	138.1	255.0	336.79	170.25	255.0	332.14	187.71	325.29	169.07	157.68	140.04	143.01	201.25	140.04	161.02	198.47	153.34	122.64	265.87	264.03
PPM1F	115.16	55.49	120.1	35.5	69.03	90.14	81.71	87.03	76.71	118.43	65.72	19.39	195.72	334.46	460.44	384.34	258.57	414.87	215.77	277.2	187.71	249.73	141.02	256.78	389.72	242.88	351.14	444.72	403.5	202.66	559.28	595.34	327.56	309.83	248.0	253.23	193.01	363.56	275.28	151.22	281.09	193.01	167.9	277.2	371.22	236.21	161.02	379.04	381.68
PSRC1	8.06	1.89	8.32	14.56	26.28	21.47	8.78	55.1	5.96	40.93	9.78	73.03	0.0	91.41	96.68	124.37	88.26	69.52	63.89	53.57	66.65	68.55	32.82	57.49	60.82	72.52	56.68	102.25	107.38	39.22	81.14	147.06	60.39	60.39	94.01	49.21	100.13	82.29	45.21	66.18	41.81	51.71	69.03	49.21	72.01	86.43	35.25	96.01	110.43
RHOJ	22.26	9.27	18.84	26.67	34.02	27.64	17.77	30.56	21.63	23.93	20.86	9.7	54.72	320.8	412.0	242.88	239.52	363.56	120.94	116.78	214.27	260.38	52.82	157.68	96.68	125.24	154.42	291.04	178.77	180.02	246.28	616.37	209.84	132.44	102.25	108.9	87.03	209.84	193.01	79.45	92.05	104.42	72.01	81.71	145.02	145.02	346.29	177.53	194.36
RNF40	995.0	1051.79	1008.9	1096.5	759.08	1044.52	981.29	1242.34	1081.39	780.44	1242.34	748.61	0.0	2303.12	2133.97	1781.89	1572.76	2240.11	2047.0	2032.85	1697.45	1572.76	1651.0	1806.78	1733.13	1721.16	1697.45	1709.26	1487.87	1674.06	2133.97	2271.4	2193.99	1594.73	1844.76	1651.0	1757.34	1781.89	1819.35	1769.57	1819.35	2075.59	1733.13	1709.26	1844.76	2004.85	2047.0	1769.57	1923.14
SETD1A	134.3	92.7	92.05	111.99	81.14	102.97	62.12	68.55	90.14	100.13	63.89	37.59	0.0	312.0	371.22	262.2	198.47	287.01	264.03	275.28	241.19	190.34	228.13	287.01	229.72	244.57	256.78	279.14	277.2	194.36	267.73	392.44	221.86	265.87	231.32	287.01	234.57	241.19	264.03	256.78	237.86	226.54	231.32	231.32	334.46	204.07	244.57	307.69	253.23
SIX2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.84	0.0	20.56	52.82	4.86	1.58	20.41	11.55	9.7	17.9	7.0	1.69	2.36	6.41	5.77	10.08	21.94	1.43	1.28	6.01	12.74	3.38	9.7	3.66	3.63	6.62	15.0	5.06	8.85	2.14	8.06	4.13	9.2	4.24	1.22	1.97	18.7	13.52
SLC12A9	211.31	191.67	232.94	201.25	127.89	258.57	157.68	376.41	186.4	236.21	356.05	108.14	0.0	688.78	603.67	460.44	353.59	460.44	291.04	473.41	447.82	414.87	251.48	454.09	457.25	432.53	486.75	525.39	733.19	363.56	493.56	698.41	470.14	420.68	417.77	358.54	420.68	551.56	438.59	327.56	361.04	371.22	336.79	423.61	447.82	397.93	320.8	511.0	511.0
SMARCAL1	137.14	115.97	124.37	87.03	115.16	130.6	120.94	164.42	126.12	165.57	103.69	78.89	0.0	441.64	348.71	346.29	392.44	371.22	242.88	309.83	361.04	293.07	166.73	312.0	336.79	312.0	358.54	389.72	320.8	277.2	348.71	323.03	329.84	275.28	318.57	297.17	273.37	325.29	277.2	258.57	260.38	256.78	262.2	279.14	244.57	269.6	260.38	327.56	314.17
SMG6	412.0	253.23	289.02	201.25	212.78	334.46	234.57	262.2	229.72	151.22	221.86	251.48	0.0	1104.13	872.1	1044.52	928.3	1721.16	819.3	753.83	791.35	934.76	708.18	808.0	651.58	1059.11	674.59	1277.29	1023.0	723.08	1151.06	995.0	941.27	802.41	638.15	764.36	587.13	493.56	854.13	607.87	503.95	518.15	629.35	703.28	521.76	860.08	688.78	1175.27	941.27
SYDE1	50.98	27.84	49.21	32.13	47.5	58.71	23.25	32.82	35.76	55.49	9.63	19.39	0.0	228.13	400.71	190.34	135.24	279.14	171.45	185.11	208.38	115.97	48.87	271.48	109.66	256.78	221.86	214.27	164.42	78.34	231.32	480.04	173.85	169.07	183.82	156.59	133.36	95.34	129.69	115.16	102.97	134.3	85.22	149.12	149.12	117.6	65.72	223.41	180.02
TCF15	2.73	0.51	0.54	3.06	0.0	3.56	0.0	1.87	6.11	5.45	1.48	1.75	0.0	34.51	29.27	7.63	8.0	12.64	10.24	1.13	10.63	17.64	6.06	20.56	4.43	5.92	14.45	8.32	5.19	3.35	6.52	37.32	0.74	5.15	14.24	8.65	13.22	10.96	2.86	6.78	1.1	4.58	2.97	6.01	2.32	2.71	7.0	19.25	9.27
