	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.BJ.A3PR.01A.11R.A220.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.BJ.A2N9.11A.11R.A18C.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.13FXS.0726.SM.5LZXJ	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2
CAMK4	180.02	289.02	22.1	51.71	10.88	52.82	48.87	29.06	102.97	18.16	110.43	44.25	30.56	70.51	71.5	47.17	25.35	48.18	29.48	39.5	9.48	7.17	17.25	20.56	3.89	19.97	51.71	7.0	8.78	8.0	13.42	2.97	9.27	42.41	2.05	28.86	21.63	29.27	4.39	1.99	2.51	1.46	5.32	6.52	4.74	1.45	3.66	1.91	21.32	3.23	4.39	24.99	9.63
CCR7	2351.53	3372.43	176.29	323.03	123.5	260.38	470.14	221.86	656.11	195.72	1096.5	285.03	239.52	493.56	497.0	412.0	223.41	414.87	24.81	113.56	27.05	105.15	8.92	34.75	23.08	13.52	146.03	9.41	63.45	25.54	65.72	47.84	33.78	209.84	67.12	27.05	71.5	10.79	55.49	35.5	68.07	1.75	121.79	57.89	70.51	68.07	20.56	21.01	36.53	27.44	65.72	9.41	5.06
CD163L1	285.03	457.25	65.72	221.86	66.65	115.16	189.02	54.33	229.72	72.01	218.79	76.71	81.14	136.19	218.79	116.78	74.58	111.99	29.48	46.5	36.27	46.18	57.08	30.56	6.73	38.95	59.13	12.45	99.43	18.29	25.17	40.36	59.55	71.0	22.59	62.12	69.03	43.02	31.22	50.98	13.83	10.63	38.4	26.86	4.7	1.97	13.62	16.51	26.1	16.27	27.25	24.28	29.91
CD37	15285.81	20170.07	1322.37	2434.5	813.63	1674.06	3540.14	1572.76	3820.7	1119.56	3768.09	1639.59	1605.83	3212.66	2351.53	1963.57	1199.98	2895.31	733.19	9215.48	154.42	165.57	197.09	180.02	62.56	246.28	10014.87	97.36	229.72	126.12	139.07	122.64	688.78	6887.62	181.28	703.28	878.17	180.02	265.87	57.89	241.19	45.53	248.0	239.52	163.28	28.04	32.82	98.73	1242.34	136.19	183.82	301.33	104.42
CD53	7749.1	9808.75	1151.06	1628.26	1378.57	2119.22	3794.3	1331.57	3491.39	1167.14	3060.45	1437.15	1143.1	2816.11	2915.45	1487.87	1127.35	1844.76	444.72	4298.64	264.03	356.05	128.79	239.52	85.22	205.5	3018.3	121.79	336.79	162.14	122.64	156.59	318.57	2178.83	241.19	514.56	638.15	150.17	591.22	101.54	218.79	87.65	320.8	450.94	167.9	58.3	82.87	126.12	1111.82	122.64	329.84	397.93	81.71
CD7	1044.52	1457.23	299.25	325.29	356.05	521.76	872.1	211.31	753.83	346.29	808.0	454.09	435.55	607.87	525.39	463.65	214.27	738.29	111.21	713.11	20.71	71.0	97.36	96.01	28.65	111.21	1066.48	18.7	37.85	43.63	25.17	8.25	299.25	769.69	185.11	397.93	189.02	97.36	43.02	11.13	28.65	11.91	58.3	42.11	29.91	6.89	63.45	16.75	88.88	30.34	21.94	426.57	71.5
CD72	1167.14	1977.24	291.04	147.06	211.31	447.82	909.17	251.48	669.92	166.73	743.43	194.36	232.94	457.25	444.72	450.94	217.27	297.17	129.69	698.41	38.95	103.69	84.04	94.67	264.03	132.44	532.74	43.32	75.11	67.12	84.63	103.69	158.79	376.41	253.23	153.34	115.16	169.07	55.89	92.7	95.34	90.14	67.59	169.07	113.56	80.57	48.18	76.71	61.25	145.02	65.72	63.45	84.63
CDK5R1	135.24	134.3	34.51	50.63	21.01	34.02	97.36	27.64	84.04	17.77	126.12	28.04	53.57	67.12	95.34	66.18	37.59	25.35	5.77	35.25	14.24	17.77	14.89	4.03	1.06	7.75	15.8	25.72	19.53	12.09	10.88	14.14	8.85	32.59	19.39	7.63	14.35	20.11	11.47	16.51	13.42	14.03	14.89	11.82	26.47	17.25	1.95	13.93	23.76	8.85	11.47	5.54	6.31
CDKN2D	665.29	896.64	166.73	260.38	185.11	329.84	518.15	190.34	332.14	149.12	314.17	201.25	220.32	343.89	242.88	220.32	122.64	334.46	101.54	149.12	114.36	133.36	111.21	150.17	36.01	137.14	214.27	169.07	112.77	57.08	157.68	98.04	132.44	121.79	109.66	148.09	111.21	80.01	140.04	158.79	95.34	155.5	120.1	128.79	140.04	78.34	87.65	98.04	199.85	78.34	136.19	208.38	85.82
CFP	236.21	1135.2	144.01	271.48	106.63	150.17	218.79	123.5	226.54	113.56	514.56	95.34	105.89	191.67	237.86	161.02	67.59	260.38	40.93	90.77	85.82	50.98	34.75	31.22	34.75	9.2	69.52	13.83	17.64	33.78	36.53	66.65	95.34	164.42	31.22	75.11	70.01	44.89	108.9	41.81	55.89	16.03	51.71	57.08	17.77	12.0	29.91	28.86	129.69	49.91	52.08	28.24	8.06
CLNK	40.64	59.13	5.87	15.56	6.84	11.3	17.9	6.46	20.71	6.01	23.42	12.18	5.92	24.99	19.82	9.7	8.45	7.34	4.24	19.53	0.64	2.27	10.31	0.62	0.97	1.0	12.74	8.13	1.04	0.64	0.65	1.91	2.66	18.56	0.0	4.17	5.15	0.64	0.66	0.0	0.65	0.65	3.03	2.68	2.71	0.64	0.61	0.66	3.06	0.0	0.0	0.99	0.0
CORO1A	12853.63	15499.21	2032.85	2573.36	1487.87	3372.43	7485.11	2335.28	5006.93	1561.89	5479.15	2287.2	2287.2	5112.16	2997.45	3060.45	1529.73	3847.29	603.67	5791.62	412.0	470.14	181.28	172.65	57.89	164.42	9025.81	154.42	351.14	301.33	358.54	265.87	995.0	8363.13	309.83	607.87	1437.15	204.07	967.76	271.48	373.81	234.57	260.38	551.56	127.89	99.43	159.9	142.01	1457.23	248.0	403.5	400.71	108.9
CRLF3	764.36	909.17	186.4	305.55	162.14	255.0	299.25	170.25	361.04	162.14	403.5	214.27	173.85	358.54	262.2	239.52	194.36	223.41	159.9	218.79	72.52	120.94	74.06	109.66	52.82	122.64	167.9	115.97	110.43	76.71	111.21	90.14	86.43	214.27	94.01	88.26	157.68	109.66	77.79	98.73	104.42	113.56	90.14	77.25	82.29	90.77	68.07	71.5	152.28	111.21	112.77	77.79	101.54
CRTAM	198.47	281.09	25.72	19.68	26.67	32.59	68.07	21.16	55.49	34.26	61.68	47.5	32.59	66.18	63.45	49.21	34.26	53.95	23.25	37.59	1.46	10.24	7.06	2.01	3.59	6.26	111.21	21.47	14.45	5.77	6.73	2.76	11.73	57.08	4.98	9.2	31.45	7.22	3.41	2.92	2.07	5.28	5.92	11.04	6.06	2.05	0.0	1.55	11.64	2.71	4.06	5.5	3.23
CSF2RB	813.63	759.08	153.34	309.83	131.51	303.44	409.15	148.09	417.77	146.03	447.82	199.85	142.01	267.73	202.66	271.48	154.42	157.68	32.36	295.11	25.35	27.25	20.71	34.26	10.79	53.19	112.77	15.45	22.92	16.39	87.65	29.91	58.71	248.0	37.32	46.18	90.77	29.48	78.34	17.64	23.08	11.13	40.93	61.68	39.22	3.66	18.03	18.29	48.87	33.06	38.95	34.02	12.27
CTB-133G6.1	432.53	242.88	15.8	28.86	8.25	26.67	49.91	21.78	78.34	13.12	100.13	26.1	19.53	49.21	87.65	37.32	25.35	36.01	8.85	72.52	8.13	6.46	1.41	3.44	0.0	6.67	80.01	1.95	0.0	2.43	1.5	2.58	14.89	135.24	1.39	8.06	7.82	6.36	3.66	2.73	5.82	0.0	4.1	6.57	1.0	2.46	0.0	3.76	14.78	3.59	1.51	2.29	0.95
CXXC11	30.12	44.89	13.42	5.41	3.69	16.03	54.72	6.89	38.95	4.62	23.42	9.85	7.69	40.07	12.93	21.01	11.73	25.17	2.53	13.62	0.82	2.81	1.04	3.63	0.05	1.48	6.11	1.3	4.43	3.44	0.0	3.14	4.03	15.68	1.01	5.06	2.84	1.79	3.86	0.38	0.0	0.83	2.05	2.1	4.58	0.57	3.06	1.13	2.05	1.08	2.63	8.06	0.06
DENND2D	2609.3	4123.49	884.29	1088.92	842.36	1277.29	1572.76	878.17	1709.26	954.43	1781.89	1081.39	947.83	1199.98	1417.35	802.41	679.29	1135.2	444.72	1151.06	525.39	599.49	426.57	438.59	819.3	409.15	1233.75	603.67	603.67	532.74	599.49	591.22	483.38	1277.29	432.53	336.79	723.08	532.74	441.64	583.07	438.59	555.41	718.08	470.14	507.46	587.13	438.59	656.11	674.59	525.39	571.05	660.68	397.93
DOCK2	1551.09	1594.73	239.52	351.14	234.57	389.72	651.58	277.2	642.59	237.86	688.78	323.03	228.13	567.1	426.57	341.51	244.57	403.5	88.26	802.41	46.18	76.17	49.21	59.97	8.45	47.5	559.28	12.64	63.45	50.63	37.59	31.22	105.15	571.05	69.03	170.25	128.79	77.25	115.97	15.8	38.12	9.85	53.57	70.01	30.78	10.96	11.21	19.53	150.17	40.64	100.83	85.22	29.06
EVI2A	791.35	2255.7	162.14	293.07	224.97	371.22	493.56	237.86	454.09	224.97	486.75	301.33	169.07	532.74	463.65	327.56	199.85	353.59	85.82	490.14	55.49	38.67	42.71	63.45	29.48	30.34	307.69	20.11	64.34	27.44	31.45	49.91	72.52	353.59	72.52	90.14	153.34	34.02	78.34	24.11	36.53	17.25	30.56	69.52	22.59	21.01	4.94	31.22	312.0	29.48	37.59	66.18	30.12
EVI2B	2915.45	4704.07	314.17	612.11	476.71	738.29	1044.52	454.09	947.83	353.59	1175.27	660.68	435.55	961.07	878.17	587.13	400.71	603.67	236.21	1447.15	76.71	123.5	73.03	115.16	22.1	83.45	1277.29	45.53	144.01	33.3	30.56	73.03	173.85	1183.45	73.54	167.9	343.89	55.1	118.43	35.25	58.3	20.86	108.14	112.77	38.67	23.59	33.3	43.02	748.61	47.17	86.43	166.73	18.7
FAM159A	450.94	441.64	110.43	81.14	39.79	57.08	146.03	38.95	132.44	42.71	142.01	70.51	76.17	135.24	95.34	88.88	43.63	104.42	52.45	102.25	30.78	26.28	39.22	35.5	0.53	29.91	189.02	34.26	1.31	50.63	69.03	29.27	45.85	118.43	40.93	55.1	44.57	33.06	78.34	68.07	82.87	96.01	31.0	32.36	19.68	11.91	32.36	33.54	54.72	26.86	26.47	54.72	42.41
FAM65B	1909.85	2178.83	323.03	368.65	281.09	234.57	543.96	195.72	543.96	139.07	642.59	253.23	195.72	490.14	412.0	314.17	178.77	283.05	95.34	389.72	77.79	140.04	23.25	92.05	40.07	24.99	327.56	55.89	119.26	44.25	19.39	38.4	61.68	563.18	127.0	121.79	87.65	33.06	49.21	90.14	65.72	17.51	33.3	110.43	54.72	45.21	9.27	102.97	177.53	41.52	81.71	171.45	11.3
FCRL4	14.03	29.91	4.31	3.96	2.84	5.19	29.06	4.13	11.21	2.05	10.47	2.53	11.82	15.68	5.77	6.41	2.97	3.56	4.03	131.51	0.0	0.0	0.0	0.0	0.0	0.0	11.04	0.0	0.0	0.0	0.0	0.0	0.0	29.06	0.0	0.0	9.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0
FLT3	100.13	147.06	14.35	23.93	11.82	23.08	22.26	14.67	43.02	8.99	72.52	15.22	9.7	35.25	69.52	38.12	10.31	27.84	3.44	16.27	9.63	4.86	2.46	4.66	0.75	2.41	10.39	0.82	2.97	1.22	1.69	1.73	3.47	37.59	5.02	1.64	7.88	1.66	4.5	1.36	3.89	1.25	0.83	12.55	0.0	1.66	1.55	0.44	18.16	3.47	2.63	1.55	0.8
GAPT	1081.39	1119.56	64.34	143.01	79.45	102.97	253.23	72.52	143.01	36.53	353.59	98.73	94.01	154.42	154.42	125.24	76.17	125.24	72.01	253.23	14.03	20.86	11.3	7.46	2.29	10.47	251.48	11.47	15.34	6.89	19.11	12.64	34.26	267.73	16.03	34.02	52.08	10.24	33.78	4.7	7.69	1.73	5.68	35.25	11.21	6.94	5.41	2.48	97.36	14.89	5.19	8.38	4.31
GIMAP2	1191.69	1617.0	260.38	384.34	336.79	486.75	579.04	392.44	764.36	264.03	743.43	518.15	323.03	536.45	559.28	341.51	318.57	447.82	181.28	262.2	105.89	95.34	109.66	100.13	19.68	87.65	460.44	170.25	144.01	61.25	175.07	59.55	215.77	500.46	150.17	77.25	212.78	90.77	63.89	120.94	78.34	110.43	193.01	113.56	124.37	111.21	58.71	75.64	320.8	89.51	127.89	108.14	47.17
GMIP	1127.35	884.29	341.51	397.93	265.87	397.93	607.87	339.14	567.1	373.81	587.13	309.83	307.69	514.56	503.95	420.68	403.5	435.55	214.27	460.44	267.73	309.83	221.86	175.07	215.77	228.13	480.04	199.85	329.84	281.09	316.37	218.79	287.01	559.28	244.57	293.07	248.0	301.33	307.69	221.86	371.22	239.52	346.29	256.78	241.19	231.32	277.2	275.28	353.59	244.57	323.03	339.14	260.38
GP1BA	507.46	551.56	46.84	87.65	24.63	60.39	76.71	36.53	100.13	43.94	146.03	49.91	50.98	97.36	78.34	63.0	36.53	74.58	13.03	60.39	10.0	19.53	9.78	7.11	15.45	8.51	88.26	6.31	8.99	7.75	17.77	7.82	10.88	185.11	8.51	8.85	14.67	11.82	14.24	2.03	26.67	5.41	5.36	17.77	19.97	17.77	2.01	13.32	9.63	10.24	39.22	4.03	5.19
GPR18	674.59	647.07	46.18	75.64	28.65	76.17	228.13	61.25	208.38	36.01	147.06	116.78	69.03	157.68	81.14	69.03	45.85	84.63	38.12	153.34	4.9	9.2	8.78	6.41	8.71	20.26	221.86	1.43	2.36	10.08	2.94	3.53	20.26	220.32	0.95	7.69	25.91	8.45	1.97	4.39	7.28	6.73	6.06	1.03	4.58	0.99	1.33	6.52	9.13	14.45	6.36	2.63	7.63
GPSM3	3874.05	4836.35	718.08	1143.1	612.11	1191.69	2061.24	842.36	1540.37	563.18	1819.35	854.13	769.69	1378.57	1104.13	769.69	583.07	1369.04	215.77	1119.56	135.24	187.71	75.11	163.28	84.04	186.4	1551.09	106.63	214.27	140.04	172.65	108.14	260.38	1286.18	212.78	287.01	423.61	197.09	287.01	145.02	129.69	86.43	289.02	181.28	98.04	42.41	105.89	71.5	563.18	86.43	241.19	181.28	88.88
GRK6	1540.37	1697.45	480.04	579.04	353.59	674.59	1066.48	532.74	684.02	432.53	872.1	470.14	490.14	848.22	579.04	563.18	429.54	769.69	323.03	684.02	346.29	348.71	289.02	336.79	353.59	246.28	775.05	236.21	316.37	255.0	283.05	279.14	426.57	718.08	346.29	426.57	423.61	343.89	371.22	237.86	325.29	287.01	307.69	323.03	450.94	231.32	346.29	265.87	384.34	291.04	329.84	438.59	343.89
HVCN1	2627.46	2758.13	201.25	438.59	218.79	363.56	674.59	348.71	532.74	218.79	660.68	226.54	262.2	432.53	361.04	339.14	194.36	341.51	187.71	346.29	106.63	87.65	102.25	83.45	16.63	80.57	346.29	73.54	105.15	55.1	92.05	102.97	170.25	301.33	84.04	80.57	191.67	116.78	90.77	100.83	77.79	143.01	36.53	69.52	30.78	28.45	75.11	94.01	226.54	106.63	71.5	50.63	149.12
IKZF1	1388.16	1883.54	141.02	199.85	147.06	205.5	373.81	140.04	457.25	127.0	432.53	249.73	181.28	351.14	366.09	234.57	176.29	217.27	75.11	444.72	30.34	35.0	22.75	24.81	2.12	25.17	346.29	17.38	25.72	29.91	84.63	20.86	79.45	403.5	26.86	80.57	76.17	32.36	30.56	12.55	27.84	13.32	43.63	47.5	25.54	5.5	15.68	7.69	55.89	24.99	37.32	44.57	8.51
IL2RB	1111.82	1073.91	119.26	151.22	157.68	316.37	514.56	212.78	420.68	244.57	483.38	358.54	277.2	403.5	264.03	224.97	177.53	351.14	127.0	409.15	28.24	32.36	22.1	41.52	32.82	123.5	571.05	20.86	13.32	29.91	41.22	6.41	108.9	587.13	49.56	115.97	197.09	69.03	27.25	15.8	21.16	10.24	74.06	50.63	15.68	10.55	14.45	7.57	72.01	33.78	19.39	69.03	27.05
IRF8	2591.27	2303.12	275.28	493.56	212.78	356.05	842.36	251.48	836.53	314.17	723.08	368.65	260.38	684.02	620.67	629.35	299.25	414.87	104.42	638.15	90.77	81.14	24.63	23.25	62.56	67.12	441.64	21.32	63.0	48.18	43.02	94.01	106.63	620.67	86.43	148.09	217.27	40.07	57.08	37.85	106.63	8.19	54.72	129.69	47.17	8.32	28.24	23.25	237.86	17.0	120.1	56.28	29.27
ITGAD	21.16	59.13	2.94	7.75	10.08	7.06	21.47	5.45	8.19	5.19	18.29	10.63	7.28	15.56	14.35	10.55	3.0	9.56	1.73	68.07	1.17	1.19	0.0	4.74	1.08	0.0	8.45	3.53	0.0	0.0	0.66	0.0	2.36	4.28	1.13	0.0	38.95	0.65	1.22	4.7	1.19	0.0	0.0	0.66	0.0	0.0	0.61	0.67	3.59	0.65	0.0	14.35	0.0
KIAA1551	2591.27	4512.4	791.35	1073.91	934.76	1023.0	1487.87	878.17	1359.57	703.28	1662.49	1127.35	872.1	1175.27	1250.98	896.64	759.08	967.76	665.29	1191.69	343.89	363.56	353.59	567.1	271.48	457.25	703.28	591.22	397.93	237.86	540.19	392.44	651.58	921.88	575.03	490.14	579.04	412.0	287.01	438.59	371.22	511.0	463.65	351.14	318.57	371.22	423.61	379.04	438.59	483.38	366.09	466.88	444.72
LAIR2	69.52	156.59	13.22	22.92	21.63	41.22	103.69	4.9	48.87	24.11	50.98	15.8	10.71	19.68	48.87	27.25	7.34	60.39	19.68	52.45	0.0	17.25	11.47	0.0	7.0	0.0	94.01	0.0	0.0	6.78	0.0	0.0	8.58	21.78	21.32	0.0	3.96	0.0	4.03	0.0	0.0	0.0	14.35	7.06	0.0	0.0	0.0	0.0	0.0	8.58	7.94	4.98	9.06
LCP1	8363.13	9673.69	1001.93	1350.18	1023.0	1477.58	2796.65	1127.35	2855.44	878.17	2502.97	1397.83	1059.11	2119.22	1745.2	1295.13	995.0	1572.76	351.14	1008.9	141.02	242.88	66.18	229.72	53.57	195.72	3190.46	60.39	218.79	117.6	206.94	111.21	208.38	1662.49	262.2	381.68	1066.48	163.28	567.1	70.01	185.11	51.71	256.78	381.68	68.55	43.63	50.63	63.0	1111.82	87.03	309.83	215.77	46.18
LPXN	2090.03	2555.58	403.5	536.45	490.14	620.67	1191.69	529.06	1216.75	457.25	1023.0	612.11	551.56	941.27	723.08	543.96	470.14	688.78	279.14	836.53	176.29	234.57	244.57	204.07	285.03	262.2	878.17	166.73	194.36	144.01	283.05	177.53	381.68	791.35	275.28	220.32	325.29	246.28	165.57	236.21	221.86	218.79	215.77	256.78	197.09	255.0	199.85	228.13	202.66	281.09	205.5	220.32	202.66
MUSK	7.82	6.26	5.63	7.88	3.99	7.4	8.45	0.78	15.91	5.87	20.56	8.99	3.99	9.2	17.38	5.96	4.13	7.34	1.6	5.77	1.87	0.43	5.11	1.57	0.4	0.99	6.46	1.03	4.46	0.42	4.82	3.32	2.46	3.26	0.71	1.01	2.2	1.31	3.32	1.75	3.99	0.43	2.16	6.31	1.93	2.14	1.25	0.0	2.71	1.33	1.93	1.5	3.41
