	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.GC.A3RC.01A.11R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CN.6992.01A.11R.1915.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.BA.6870.01A.11R.1873.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.7582.01A.11R.2045.07
CAMK1D	122.64	18.84	112.77	119.26	5.02	137.14	141.02	24.99	381.68	69.03	21.78	74.06	7.69	47.17	40.36	46.5	242.88	164.42	281.09	220.32	460.44	363.56	87.03	287.01	146.03	111.21	105.15	108.9	105.15	167.9	242.88	191.67	156.59	320.8	98.73	82.87	201.25	88.26	171.45	226.54	199.85	165.57	182.55	115.97	75.11	180.02	145.02	124.37	54.33	201.25	94.01	208.38	82.29	66.65	132.44	98.04	106.63	358.54	191.67	74.58	75.11	132.44	197.09	115.16	62.56	144.01	320.8	356.05	53.95	460.44	36.01	281.09	96.68	189.02	176.29	51.35	320.8	110.43	84.63	258.57	232.94	262.2	217.27	11.64	9.13	242.88	285.03	229.72
CASK	281.09	470.14	297.17	392.44	595.34	392.44	212.78	483.38	595.34	301.33	283.05	281.09	154.42	193.01	470.14	356.05	1073.91	718.08	785.88	679.29	1088.92	1407.55	476.71	493.56	941.27	363.56	665.29	181.28	463.65	144.01	555.41	466.88	395.18	521.76	521.76	511.0	406.31	941.27	503.95	591.22	1594.73	447.82	607.87	119.26	514.56	543.96	470.14	361.04	376.41	1081.39	214.27	669.92	329.84	607.87	928.3	215.77	293.07	329.84	540.19	728.11	444.72	603.67	612.11	343.89	323.03	878.17	1529.73	1313.23	728.11	511.0	423.61	1529.73	579.04	791.35	836.53	406.31	638.15	314.17	366.09	825.0	954.43	629.35	218.79	341.51	105.15	759.08	1151.06	1697.45
CHD2	128.79	211.31	185.11	275.28	258.57	373.81	165.57	323.03	409.15	175.07	195.72	366.09	503.95	185.11	532.74	329.84	387.02	599.49	473.41	723.08	748.61	591.22	392.44	314.17	406.31	376.41	363.56	395.18	244.57	323.03	406.31	486.75	320.8	583.07	353.59	379.04	228.13	536.45	348.71	267.73	599.49	320.8	325.29	209.84	323.03	511.0	356.05	384.34	253.23	529.06	343.89	514.56	237.86	248.0	525.39	177.53	368.65	387.02	567.1	633.73	381.68	567.1	358.54	223.41	295.11	409.15	775.05	358.54	262.2	376.41	287.01	429.54	351.14	559.28	267.73	253.23	599.49	543.96	269.6	563.18	314.17	521.76	271.48	101.54	103.69	698.41	435.55	583.07
CLCN5	44.89	35.76	14.14	15.34	38.12	32.59	25.17	30.12	24.28	21.63	13.12	38.4	29.48	10.55	37.32	44.89	44.89	67.59	38.67	47.17	115.97	73.03	47.5	55.89	78.89	49.21	64.8	29.91	23.08	11.64	35.76	66.18	28.45	67.59	50.27	30.78	46.84	61.68	69.52	94.01	76.17	23.93	139.07	8.51	43.02	55.89	32.59	58.3	33.06	119.26	17.0	42.71	18.84	14.56	50.63	14.14	17.0	23.42	82.87	66.18	25.91	26.1	73.54	12.09	12.27	20.41	80.57	66.65	29.27	39.22	21.47	97.36	18.7	79.45	45.85	17.0	25.17	22.1	39.22	72.01	30.12	77.79	34.51	43.63	59.97	76.17	91.41	78.34
CNOT6L	87.03	96.01	36.27	81.14	105.15	215.77	125.24	136.19	301.33	102.25	86.43	176.29	110.43	61.68	146.03	176.29	212.78	269.6	214.27	260.38	400.71	518.15	104.42	208.38	152.28	214.27	195.72	193.01	90.14	111.21	116.78	206.94	112.77	204.07	167.9	241.19	128.79	277.2	309.83	361.04	248.0	130.6	264.03	170.25	88.88	209.84	147.06	253.23	82.87	379.04	130.6	320.8	110.43	145.02	450.94	133.36	91.41	162.14	486.75	189.02	115.16	237.86	153.34	165.57	181.28	303.44	819.3	540.19	135.24	356.05	104.42	400.71	171.45	256.78	128.79	64.34	182.55	293.07	241.19	158.79	111.99	366.09	157.68	44.25	37.59	346.29	423.61	234.57
DDX6	125.24	180.02	123.5	180.02	172.65	563.18	94.01	228.13	759.08	115.16	120.94	327.56	242.88	94.01	285.03	307.69	718.08	620.67	463.65	571.05	656.11	954.43	241.19	684.02	595.34	332.14	674.59	647.07	262.2	450.94	201.25	656.11	493.56	346.29	348.71	529.06	351.14	934.76	819.3	1277.29	1044.52	291.04	723.08	214.27	339.14	624.99	514.56	813.63	118.43	825.0	303.44	1135.2	186.4	217.27	1151.06	320.8	221.86	371.22	1023.0	813.63	540.19	473.41	438.59	403.5	260.38	785.88	1936.53	1208.34	224.97	825.0	201.25	555.41	583.07	660.68	209.84	236.21	718.08	791.35	555.41	529.06	205.5	1175.27	420.68	66.65	66.65	688.78	802.41	723.08
DIP2B	106.63	98.73	59.13	291.04	157.68	287.01	99.43	201.25	1561.89	105.89	161.02	197.09	144.01	114.36	199.85	177.53	1350.18	698.41	878.17	665.29	866.07	1015.93	356.05	511.0	466.88	476.71	547.75	454.09	264.03	275.28	197.09	612.11	521.76	713.11	366.09	417.77	115.16	836.53	514.56	688.78	866.07	426.57	684.02	277.2	283.05	583.07	400.71	571.05	258.57	733.19	258.57	921.88	262.2	228.13	738.29	265.87	277.2	500.46	665.29	860.08	688.78	624.99	334.46	175.07	150.17	688.78	1277.29	684.02	281.09	532.74	409.15	1023.0	521.76	497.0	271.48	204.07	703.28	397.93	249.73	620.67	486.75	764.36	299.25	82.87	80.01	607.87	988.12	1529.73
DLG1	403.5	332.14	208.38	332.14	287.01	432.53	269.6	220.32	3467.27	376.41	395.18	490.14	387.02	351.14	1073.91	620.67	2609.3	2573.36	2209.26	2047.0	1685.71	1104.13	802.41	647.07	902.89	1073.91	878.17	791.35	915.51	547.75	480.04	890.44	819.3	607.87	759.08	647.07	366.09	1111.82	693.58	921.88	1467.37	540.19	872.1	371.22	438.59	884.29	713.11	435.55	307.69	1081.39	447.82	995.0	490.14	221.86	2148.82	460.44	493.56	909.17	733.19	647.07	967.76	1008.9	954.43	785.88	251.48	457.25	3280.18	2061.24	231.32	1605.83	412.0	974.5	854.13	854.13	454.09	503.95	674.59	583.07	579.04	1119.56	674.59	836.53	441.64	368.65	175.07	1697.45	3212.66	1781.89
DLG3	281.09	182.55	75.64	204.07	285.03	155.5	176.29	149.12	1628.26	229.72	190.34	265.87	260.38	36.79	361.04	314.17	540.19	429.54	305.55	384.34	454.09	698.41	165.57	234.57	336.79	217.27	325.29	332.14	119.26	199.85	177.53	341.51	226.54	332.14	173.85	271.48	193.01	241.19	217.27	476.71	633.73	295.11	503.95	45.85	164.42	232.94	343.89	325.29	135.24	473.41	195.72	249.73	191.67	348.71	503.95	236.21	87.65	232.94	297.17	660.68	361.04	248.0	241.19	82.87	206.94	447.82	575.03	629.35	217.27	426.57	136.19	693.58	221.86	348.71	223.41	248.0	262.2	525.39	147.06	251.48	150.17	591.22	275.28	35.76	4.58	575.03	376.41	480.04
DNAJB14	75.64	77.25	79.45	122.64	136.19	169.07	93.35	255.0	120.1	117.6	108.9	81.14	156.59	108.14	135.24	90.77	177.53	285.03	283.05	339.14	316.37	281.09	127.89	153.34	144.01	202.66	198.47	159.9	105.89	201.25	108.9	181.28	155.5	162.14	185.11	204.07	135.24	309.83	186.4	301.33	171.45	138.1	183.82	165.57	127.89	183.82	155.5	237.86	149.12	244.57	114.36	212.78	126.12	127.0	329.84	194.36	145.02	167.9	285.03	269.6	122.64	218.79	135.24	147.06	145.02	248.0	878.17	323.03	140.04	463.65	105.15	309.83	220.32	258.57	162.14	73.03	164.42	191.67	163.28	198.47	111.99	264.03	122.64	43.63	28.24	287.01	432.53	267.73
DNAJC27	22.26	18.29	21.63	20.11	21.01	10.47	15.68	17.0	21.16	18.7	18.16	24.46	24.81	18.7	28.86	25.35	53.57	129.69	110.43	88.26	89.51	70.51	11.21	24.63	27.84	35.0	34.75	18.29	33.06	18.7	24.63	32.59	19.97	27.25	10.47	27.25	31.9	29.06	26.28	27.05	67.12	15.8	33.54	11.13	19.97	18.43	20.41	26.47	9.34	78.34	21.94	32.36	22.43	22.26	38.95	10.39	12.18	38.95	29.48	26.47	23.59	25.17	24.46	17.51	19.25	24.28	102.25	30.56	22.43	94.01	17.38	53.95	23.25	32.59	17.9	11.55	16.51	23.25	14.56	26.47	18.43	49.21	14.67	9.93	5.28	75.64	68.07	70.01
DSG4	0.0	0.0	0.58	0.96	0.29	2.18	0.0	0.31	830.75	0.34	0.0	0.92	0.0	0.35	0.61	0.61	0.84	2.89	8.25	2.56	1059.11	27.44	1.17	6.78	3.66	10.55	4.21	2.68	6.52	0.37	2.32	12.36	1.5	48.87	3.66	13.83	0.0	6.84	1.2	17.51	86.43	0.41	2.29	0.0	0.0	8.25	3.53	4.54	0.74	3.47	0.0	10.24	0.71	0.68	3.08	0.38	0.68	1.46	2.27	0.38	2.25	10.47	5.63	0.0	0.0	35.76	20.71	6.78	15.0	23.08	0.0	15.0	3.76	4.46	1.13	0.35	4.31	0.8	78.89	9.2	2.61	1.36	1.69	0.0	4.94	3.59	12.64	37.05
E2F6	234.57	190.34	262.2	253.23	214.27	239.52	178.77	199.85	212.78	193.01	251.48	218.79	226.54	232.94	323.03	229.72	301.33	444.72	466.88	503.95	435.55	511.0	241.19	140.04	218.79	253.23	209.84	212.78	157.68	242.88	255.0	218.79	246.28	119.26	183.82	144.01	135.24	329.84	181.28	232.94	480.04	157.68	343.89	206.94	187.71	220.32	152.28	199.85	149.12	348.71	176.29	314.17	183.82	223.41	334.46	155.5	155.5	253.23	223.41	400.71	194.36	198.47	165.57	281.09	191.67	289.02	796.86	368.65	309.83	633.73	191.67	348.71	277.2	204.07	208.38	149.12	142.01	171.45	172.65	231.32	283.05	251.48	149.12	115.97	142.01	476.71	514.56	518.15
EP300	91.41	123.5	102.25	156.59	138.1	264.03	83.45	137.14	211.31	144.01	134.3	242.88	262.2	107.38	371.22	228.13	915.51	836.53	684.02	532.74	656.11	733.19	180.02	316.37	293.07	318.57	341.51	514.56	228.13	264.03	214.27	303.44	202.66	269.6	242.88	334.46	242.88	432.53	400.71	409.15	551.56	217.27	511.0	197.09	226.54	376.41	301.33	486.75	135.24	785.88	223.41	567.1	189.02	134.3	612.11	223.41	167.9	363.56	599.49	651.58	384.34	480.04	323.03	218.79	186.4	518.15	1286.18	651.58	166.73	260.38	119.26	473.41	348.71	332.14	144.01	279.14	303.44	447.82	231.32	303.44	275.28	521.76	214.27	101.54	62.56	624.99	503.95	848.22
EPT1	228.13	218.79	129.69	297.17	190.34	148.09	115.97	167.9	325.29	98.04	146.03	156.59	182.55	93.35	209.84	178.77	463.65	381.68	1030.12	473.41	476.71	414.87	144.01	301.33	279.14	301.33	248.0	265.87	209.84	267.73	152.28	356.05	253.23	236.21	283.05	351.14	112.77	291.04	295.11	341.51	529.06	190.34	426.57	163.28	132.44	264.03	231.32	368.65	187.71	379.04	141.02	387.02	165.57	193.01	170.25	190.34	186.4	231.32	320.8	595.34	361.04	237.86	211.31	167.9	206.94	563.18	547.75	540.19	301.33	802.41	177.53	305.55	264.03	301.33	150.17	191.67	234.57	466.88	253.23	195.72	271.48	329.84	229.72	89.51	152.28	432.53	674.59	1304.15
FAM160A1	34.51	35.5	7.22	48.18	79.45	92.05	18.03	170.25	191.67	46.84	32.36	41.22	36.53	27.05	206.94	28.65	220.32	301.33	483.38	267.73	107.38	237.86	134.3	244.57	177.53	198.47	256.78	208.38	90.77	265.87	66.18	379.04	139.07	301.33	167.9	102.97	47.84	265.87	228.13	358.54	194.36	166.73	262.2	84.63	146.03	320.8	147.06	249.73	103.69	255.0	106.63	441.64	49.56	46.84	624.99	299.25	202.66	218.79	264.03	208.38	198.47	412.0	208.38	63.89	36.27	275.28	348.71	318.57	90.14	275.28	91.41	231.32	214.27	255.0	108.14	60.82	251.48	194.36	105.15	256.78	76.71	343.89	113.56	1.77	2.76	209.84	113.56	189.02
FAM175A	34.26	28.24	53.19	31.22	31.22	35.0	36.01	25.54	69.52	12.0	37.59	87.65	52.08	28.04	26.28	85.82	61.68	94.01	98.04	81.14	190.34	87.65	27.84	62.56	44.25	48.87	99.43	36.01	32.59	48.52	41.22	72.52	35.76	36.53	39.79	66.65	63.0	37.05	79.45	117.6	117.6	42.11	74.06	33.3	84.63	96.68	45.21	84.63	40.36	116.78	44.89	94.01	23.42	43.94	78.34	59.97	54.33	49.21	81.14	100.13	33.54	81.71	48.87	31.0	69.03	86.43	246.28	176.29	46.5	303.44	31.45	100.83	40.64	71.0	38.12	30.56	57.49	57.49	50.98	60.82	50.98	154.42	61.25	28.04	28.04	80.01	97.36	120.1
