	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A7DP.01A.31R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZZPT.1426.SM.5N9C5	GTEX.Y3I4.1226.SM.4TT8N	GTEX.14H4A.1626.SM.5SI69	GTEX.145LS.1826.SM.5LUAZ	GTEX.139TU.1226.SM.5J2NL	GTEX.11DZ1.2026.SM.5A5KG	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.MP.A4T4.01A.11R.A262.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CCDC109B	432.53	480.04	555.41	387.02	447.82	567.1	665.29	656.11	228.13	392.44	301.33	115.16	423.61	220.32	511.0	285.03	167.9	159.9	387.02	591.22	559.28	493.56	269.6	229.72	277.2	120.94	249.73
CCDC78	37.05	31.0	38.12	21.32	19.39	34.75	102.25	45.53	18.56	119.26	18.7	6.16	21.63	45.21	92.7	2.86	2.73	5.45	336.79	967.76	483.38	1.03	1.0	3.35	0.57	2.81	1.16
CDK18	303.44	133.36	248.0	172.65	111.99	125.24	277.2	466.88	101.54	1628.26	197.09	111.99	688.78	638.15	1594.73	114.36	45.85	214.27	974.5	651.58	595.34	22.43	118.43	139.07	103.69	93.35	30.12
CLEC2D	37.59	109.66	361.04	194.36	103.69	108.14	941.27	460.44	158.79	563.18	92.7	54.72	287.01	289.02	316.37	80.01	31.67	55.1	733.19	941.27	571.05	8.06	21.78	24.99	33.3	26.47	15.34
CLSTN3	180.02	353.59	486.75	287.01	226.54	258.57	1540.37	599.49	301.33	1119.56	384.34	180.02	607.87	599.49	642.59	111.21	47.5	127.0	1286.18	1286.18	753.83	60.82	202.66	162.14	218.79	67.12	162.14
CTC-479C5.12	12.18	29.91	56.68	28.24	18.43	33.78	144.01	81.71	18.43	232.94	37.59	15.34	59.97	43.02	140.04	17.77	13.52	16.88	101.54	150.17	121.79	8.99	22.43	13.72	32.13	31.0	4.9
CYHR1	753.83	1313.23	1044.52	1242.34	1304.15	1277.29	1457.23	1721.16	1268.46	1857.6	775.05	656.11	1286.18	1697.45	1674.06	595.34	579.04	743.43	2047.0	1594.73	1857.6	379.04	435.55	775.05	660.68	647.07	473.41
DCBLD1	136.19	208.38	209.84	314.17	180.02	231.32	316.37	507.46	125.24	525.39	244.57	132.44	307.69	215.77	256.78	145.02	96.68	246.28	348.71	336.79	341.51	89.51	102.97	91.41	44.57	64.34	16.63
DDRGK1	860.08	1208.34	1304.15	1051.79	921.88	1417.35	1378.57	1340.84	1127.35	2796.65	1199.98	780.44	1304.15	1594.73	2018.8	1023.0	1044.52	941.27	1378.57	1639.59	1437.15	665.29	647.07	1304.15	854.13	1199.98	974.5
DFFB	21.94	79.45	153.34	62.12	72.01	74.06	142.01	119.26	57.08	194.36	68.55	28.24	142.01	119.26	229.72	33.06	34.75	56.68	132.44	92.7	134.3	15.91	14.56	30.56	18.16	18.16	21.01
FAM50A	884.29	1427.22	2209.26	1350.18	995.0	1561.89	2061.24	1857.6	896.64	3564.78	995.0	713.11	1313.23	1304.15	1781.89	785.88	547.75	642.59	2627.46	4450.27	2935.74	529.06	616.37	791.35	420.68	967.76	511.0
FHOD1	271.48	323.03	426.57	497.0	256.78	454.09	836.53	743.43	281.09	890.44	295.11	172.65	483.38	612.11	693.58	154.42	98.73	204.07	1617.0	3060.45	3039.3	92.7	134.3	221.86	99.43	123.5	115.16
FLOT1	2573.36	3491.39	3212.66	2796.65	2104.58	2627.46	3982.99	3820.7	2047.0	4388.98	1977.24	1508.65	2935.74	2915.45	4210.15	1697.45	1697.45	1447.15	3639.7	3768.09	3928.15	2178.83	1397.83	2451.44	1674.06	1594.73	1519.15
FMNL2	102.25	169.07	181.28	361.04	121.79	199.85	532.74	473.41	71.5	595.34	291.04	103.69	361.04	204.07	764.36	144.01	50.98	183.82	514.56	363.56	307.69	186.4	77.79	155.5	75.64	71.5	108.14
GNPTG	791.35	1044.52	1037.29	1081.39	759.08	830.75	1447.15	1457.23	1225.22	1909.85	941.27	808.0	1806.78	1594.73	1369.04	791.35	890.44	854.13	2287.2	1662.49	1806.78	759.08	559.28	1066.48	679.29	896.64	633.73
GRAMD1A	96.01	540.19	947.83	583.07	181.28	412.0	2271.4	915.51	249.73	1313.23	529.06	327.56	1225.22	915.51	1369.04	218.79	84.04	249.73	2209.26	2997.45	2075.59	206.94	74.06	339.14	178.77	277.2	134.3
GSDMD	486.75	1304.15	2148.82	819.3	642.59	1467.37	3928.15	2400.97	624.99	3443.31	723.08	318.57	1313.23	1457.23	2287.2	708.18	921.88	679.29	3901.01	2935.74	3690.52	529.06	555.41	1059.11	633.73	575.03	490.14
HAGHL	46.84	150.17	149.12	127.89	111.99	211.31	336.79	271.48	91.41	780.44	96.01	48.18	108.9	217.27	309.83	14.03	5.92	24.11	642.59	497.0	473.41	14.45	11.04	23.42	8.38	13.52	7.69
HAUS7	194.36	493.56	825.0	718.08	220.32	579.04	665.29	941.27	172.65	679.29	435.55	186.4	660.68	389.72	423.61	119.26	265.87	273.37	591.22	848.22	603.67	152.28	323.03	253.23	158.79	205.5	166.73
HEXDC	253.23	540.19	713.11	713.11	466.88	476.71	1508.65	1044.52	409.15	2758.13	466.88	323.03	1457.23	1225.22	2018.8	231.32	146.03	251.48	1870.53	2047.0	1572.76	145.02	153.34	343.89	185.11	262.2	164.42
ICAM5	447.82	38.4	19.25	36.27	42.41	29.48	37.85	128.79	15.0	161.02	18.7	9.63	43.02	30.34	115.97	0.6	2.81	17.51	194.36	132.44	140.04	3.59	6.62	11.13	9.63	16.75	6.46
IRF3	1322.37	1594.73	1936.53	2627.46	1208.34	2018.8	3564.78	2796.65	1208.34	3690.52	1519.15	866.07	2319.15	2720.15	3847.29	896.64	693.58	974.5	3614.55	4450.27	3124.78	381.68	830.75	928.3	723.08	665.29	665.29
IRF9	9409.14	3146.52	4066.71	3395.89	3303.0	3742.05	5711.87	6294.04	1143.1	4769.75	934.76	688.78	3742.05	2163.77	3395.89	1508.65	713.11	796.86	3124.78	4181.07	4802.93	483.38	1674.06	1059.11	2133.97	808.0	633.73
KCNMB3	10.24	57.89	95.34	70.01	25.72	59.55	138.1	131.51	25.72	157.68	43.63	23.59	89.51	78.34	64.8	11.47	6.67	17.9	303.44	171.45	121.79	4.5	8.19	48.87	14.03	8.58	10.79
KRT4	3.697379928E7	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3359929.59	39.5	1800541.22	3.109113511E7	638.15	26431.04	492579.5	71219.26	82951.62	1832.01	677564.08	951601.81	649962.87	13.52	19.97	6.78	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
MAP3K10	86.43	208.38	267.73	264.03	172.65	224.97	341.51	463.65	193.01	633.73	180.02	128.79	441.64	414.87	684.02	91.41	40.64	98.73	348.71	728.11	301.33	40.36	75.64	129.69	96.01	113.56	74.06
MOGS	457.25	759.08	896.64	571.05	587.13	974.5	884.29	713.11	579.04	1081.39	830.75	511.0	896.64	1159.07	1225.22	616.37	325.29	629.35	1909.85	1487.87	1639.59	295.11	395.18	521.76	476.71	476.71	397.93
MSTO1	226.54	748.61	819.3	728.11	470.14	656.11	791.35	866.07	525.39	802.41	665.29	642.59	743.43	536.45	981.29	373.81	273.37	444.72	1059.11	1487.87	1594.73	187.71	229.72	271.48	297.17	246.28	133.36
NADK	656.11	1159.07	2400.97	995.0	693.58	1001.93	1467.37	1259.69	981.29	1936.53	1051.79	854.13	1340.84	1561.89	2434.5	529.06	343.89	703.28	1417.35	1745.2	2609.3	339.14	371.22	733.19	341.51	518.15	376.41
NAT9	281.09	633.73	723.08	718.08	435.55	813.63	743.43	954.43	497.0	1268.46	493.56	320.8	915.51	718.08	1242.34	271.48	156.59	281.09	1388.16	1427.22	1709.26	129.69	116.78	221.86	145.02	147.06	111.99
NIT1	1467.37	941.27	1183.45	890.44	974.5	1015.93	995.0	1051.79	819.3	1059.11	616.37	497.0	947.83	961.07	1015.93	612.11	713.11	693.58	1167.14	1208.34	981.29	438.59	417.77	660.68	842.36	679.29	616.37
NLRC5	769.69	703.28	1159.07	684.02	796.86	836.53	2758.13	1769.57	305.55	2682.69	454.09	211.31	1745.2	612.11	1745.2	358.54	72.52	356.05	1733.13	2417.67	2682.69	154.42	698.41	234.57	665.29	253.23	232.94
ODF2L	373.81	476.71	312.0	1127.35	723.08	748.61	813.63	1233.75	332.14	1378.57	403.5	379.04	713.11	414.87	825.0	241.19	307.69	607.87	748.61	1806.78	713.11	147.06	228.13	269.6	151.22	279.14	226.54
ODF3B	4512.4	1208.34	1551.09	1127.35	961.07	1127.35	5041.77	3124.78	603.67	2520.38	435.55	237.86	1417.35	1233.75	1697.45	417.77	232.94	346.29	1605.83	2591.27	1498.22	283.05	620.67	624.99	473.41	281.09	384.34
OGFR	842.36	928.3	1088.92	688.78	759.08	1199.98	2133.97	1519.15	679.29	1313.23	463.65	403.5	1096.5	954.43	1015.93	493.56	260.38	571.05	1295.13	1340.84	1437.15	299.25	325.29	571.05	503.95	381.68	325.29
PARP12	995.0	688.78	1498.22	981.29	775.05	928.3	1923.14	1242.34	325.29	1135.2	435.55	215.77	941.27	514.56	723.08	190.34	173.85	559.28	1350.18	1477.58	2417.67	164.42	334.46	303.44	339.14	185.11	82.87
PCED1B	53.19	117.6	185.11	149.12	91.41	63.89	563.18	253.23	93.35	193.01	86.43	32.59	189.02	100.13	155.5	47.5	11.38	47.5	1295.13	599.49	457.25	47.5	71.0	59.13	90.14	15.11	28.65
PCGF2	403.5	723.08	656.11	567.1	493.56	759.08	1023.0	1119.56	318.57	1111.82	384.34	236.21	878.17	915.51	1127.35	248.0	154.42	301.33	1191.69	1233.75	660.68	236.21	260.38	346.29	202.66	387.02	346.29
PIEZO1	2224.63	3901.01	2997.45	3742.05	3716.2	3820.7	5555.65	4575.41	3515.68	3847.29	2104.58	1685.71	2875.3	2609.3	3303.0	1151.06	483.38	1662.49	3614.55	4038.61	4388.98	1135.2	1832.01	1950.0	1378.57	1286.18	1651.0
PILRB	583.07	967.76	1369.04	1457.23	921.88	1208.34	1832.01	3614.55	759.08	6381.92	753.83	429.54	1583.71	1605.83	3564.78	166.73	85.82	356.05	1769.57	2193.99	1651.0	20.41	55.49	406.31	88.88	167.9	117.6
PML	1286.18	1427.22	1923.14	1617.0	1617.0	1794.29	4095.0	2468.49	967.76	1857.6	967.76	420.68	1883.54	1359.57	1977.24	813.63	236.21	1295.13	1745.2	2075.59	1883.54	395.18	1030.12	808.0	1617.0	579.04	473.41
PNPLA6	351.14	1457.23	1519.15	967.76	1167.14	1572.76	1662.49	1950.0	1286.18	2451.44	854.13	836.53	1008.9	1498.22	2255.7	555.41	444.72	796.86	1088.92	1923.14	928.3	521.76	486.75	813.63	511.0	529.06	595.34
PNPT1	262.2	334.46	341.51	384.34	215.77	336.79	392.44	363.56	143.01	543.96	283.05	172.65	395.18	236.21	616.37	279.14	197.09	223.41	395.18	351.14	441.64	228.13	169.07	246.28	140.04	214.27	228.13
POLR2H	1844.76	1896.65	2591.27	1781.89	1551.09	2645.74	2720.15	2645.74	1378.57	3257.52	1844.76	1096.5	2287.2	2148.82	4736.79	1151.06	1322.37	1159.07	2835.7	2855.44	3124.78	1073.91	909.17	1030.12	753.83	928.3	1111.82
POMT2	129.69	299.25	384.34	339.14	244.57	348.71	285.03	521.76	217.27	500.46	301.33	142.01	432.53	389.72	669.92	82.29	38.12	127.89	665.29	1322.37	295.11	59.13	85.22	178.77	94.01	155.5	65.26
PON2	69.03	1529.73	1208.34	2119.22	1295.13	1685.71	1651.0	2720.15	860.08	1883.54	1023.0	361.04	1059.11	743.43	2520.38	529.06	432.53	693.58	4268.94	5006.93	6840.04	463.65	180.02	698.41	258.57	473.41	253.23
PQLC2	152.28	287.01	406.31	229.72	218.79	285.03	323.03	318.57	209.84	599.49	264.03	171.45	363.56	293.07	353.59	177.53	130.6	164.42	412.0	583.07	490.14	198.47	176.29	214.27	283.05	249.73	199.85
QSOX2	39.22	146.03	329.84	204.07	90.14	180.02	205.5	164.42	94.01	279.14	126.12	68.55	178.77	146.03	279.14	73.03	35.5	101.54	339.14	228.13	309.83	48.52	35.76	91.41	28.65	51.35	34.02
RNF215	65.26	170.25	269.6	246.28	127.89	147.06	209.84	281.09	129.69	395.18	142.01	84.04	265.87	244.57	395.18	45.53	47.84	103.69	414.87	669.92	329.84	61.68	40.36	108.9	66.65	62.12	35.0
RP11-697E2.6	1.45	4.1	4.1	4.58	5.02	10.08	2.61	5.15	6.21	5.59	3.03	1.38	2.76	6.26	8.19	1.91	0.95	2.18	4.66	10.96	10.71	2.36	0.0	0.68	1.11	1.43	0.16
SAP30L	231.32	547.75	674.59	361.04	426.57	454.09	708.18	518.15	334.46	915.51	466.88	447.82	503.95	595.34	791.35	356.05	264.03	503.95	660.68	796.86	507.46	532.74	409.15	420.68	392.44	403.5	536.45
SHKBP1	1242.34	1950.0	2193.99	2163.77	1769.57	2384.37	3212.66	2835.7	1594.73	2502.97	1561.89	988.12	1781.89	1844.76	2255.7	1001.93	842.36	1135.2	2240.11	3039.3	2255.7	1199.98	1508.65	1304.15	1561.89	1388.16	1304.15
SKIV2L	361.04	1151.06	1127.35	1015.93	1015.93	1242.34	1268.46	1199.98	981.29	1909.85	802.41	587.13	1175.27	1175.27	2287.2	669.92	339.14	529.06	1639.59	1936.53	1844.76	275.28	587.13	579.04	624.99	414.87	460.44
SLC25A28	1359.57	1745.2	1769.57	1991.0	1757.34	1870.53	2976.74	3303.0	1417.35	3589.58	1378.57	802.41	2335.28	2956.17	3467.27	995.0	518.15	928.3	1508.65	1467.37	1104.13	379.04	909.17	769.69	866.07	607.87	1250.98
SLC25A37	209.84	320.8	629.35	638.15	260.38	579.04	285.03	463.65	279.14	909.17	327.56	221.86	688.78	616.37	1127.35	163.28	85.22	173.85	1175.27	921.88	642.59	128.79	82.87	242.88	141.02	182.55	82.87
SLC26A6	161.02	249.73	575.03	215.77	148.09	395.18	279.14	329.84	143.01	1447.15	361.04	95.34	503.95	529.06	1397.83	63.0	46.18	114.36	684.02	708.18	665.29	37.32	56.28	71.5	52.08	63.45	47.5
SLC2A11	82.29	136.19	169.07	70.01	87.65	76.71	171.45	130.6	103.69	361.04	60.82	94.01	180.02	151.22	256.78	40.07	55.89	41.81	368.65	384.34	329.84	16.51	15.11	64.8	45.21	51.35	9.2
SLC4A2	866.07	878.17	1417.35	728.11	718.08	1250.98	1191.69	1073.91	728.11	4239.45	1651.0	1044.52	2209.26	2351.53	3874.05	819.3	423.61	909.17	2627.46	5255.91	4607.24	713.11	769.69	1111.82	866.07	1135.2	1175.27
SLC9A5	1.33	10.96	12.74	11.73	10.24	14.78	31.0	15.34	5.54	44.57	8.51	5.87	11.13	11.82	16.51	1.85	0.0	4.58	76.17	134.3	108.14	0.34	0.52	2.27	0.97	1.25	0.0
SP100	1936.53	884.29	1277.29	1135.2	934.76	890.44	2997.45	1551.09	583.07	2104.58	624.99	674.59	1427.22	1023.0	1757.34	693.58	708.18	1001.93	2061.24	2133.97	2335.28	460.44	403.5	571.05	543.96	336.79	246.28
SSBP4	620.67	1183.45	1709.26	915.51	457.25	947.83	3349.13	1037.29	718.08	1806.78	733.19	400.71	1437.15	1277.29	1794.29	336.79	285.03	381.68	1923.14	2434.5	1437.15	603.67	314.17	486.75	476.71	379.04	483.38
TAF6	532.74	1135.2	1437.15	1685.71	1001.93	1023.0	1437.15	3690.52	909.17	2104.58	830.75	395.18	954.43	896.64	1388.16	571.05	312.0	447.82	1143.1	1286.18	2032.85	540.19	412.0	748.61	450.94	543.96	547.75
TCIRG1	629.35	2271.4	3742.05	2739.08	2075.59	3515.68	5041.77	4210.15	1639.59	7230.1	1769.57	748.61	2976.74	3540.14	4512.4	497.0	376.41	1111.82	6983.79	7180.15	6607.01	251.48	444.72	642.59	583.07	373.81	305.55
TNIP2	660.68	872.1	1059.11	764.36	603.67	1159.07	934.76	836.53	620.67	1651.0	802.41	429.54	890.44	995.0	1268.46	497.0	376.41	463.65	890.44	1135.2	988.12	651.58	759.08	743.43	660.68	536.45	656.11
TYK2	1111.82	1806.78	3039.3	1628.26	1529.73	2417.67	3928.15	3982.99	1322.37	4802.93	1832.01	1127.35	3395.89	3349.13	4095.0	708.18	260.38	866.07	4268.94	5183.54	3372.43	208.38	660.68	642.59	595.34	490.14	450.94
ZC3H7A	305.55	387.02	612.11	642.59	348.71	470.14	941.27	638.15	241.19	759.08	435.55	435.55	764.36	571.05	866.07	295.11	178.77	423.61	921.88	521.76	624.99	197.09	199.85	285.03	241.19	182.55	248.0
ZGPAT	379.04	642.59	708.18	638.15	567.1	759.08	819.3	860.08	624.99	896.64	470.14	343.89	612.11	656.11	612.11	381.68	242.88	426.57	848.22	808.0	733.19	199.85	429.54	463.65	547.75	473.41	384.34
