	TCGA.BH.A204.11A.53R.A157.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.11ZTT.2326.SM.5EQLG	GTEX.ZQG8.0726.SM.5P9H9	TCGA.AK.3447.01A.01R.1766.07	TCGA.49.4490.11A.01R.1858.07	TCGA.77.7335.11A.01R.2045.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.KC.A4BL.01A.31R.A250.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.VN.A88Q.01A.11R.A352.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11P82.1126.SM.5BC5K	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
C17orf96	31.9	33.78	7.0	9.27	17.38	28.24	13.42	11.64	30.34	6.06	25.17	9.78	1.58	36.79	6.41	123.5	63.45	104.42	41.81	141.02	38.95	45.53	38.67	57.49	73.03	90.77	37.59	82.29	71.0	64.8	40.07	72.52	62.56	51.35	70.01	76.71	36.27	69.52	181.28	45.21	64.34	72.01	26.28	31.67	26.28	38.12	20.11	12.93	40.93	28.65	71.5	33.3	35.25	75.11	36.79	56.28	44.57	48.52	47.17	41.81	55.49	25.72	21.47	35.25	148.09	57.49	53.57	44.57	45.53	36.53	45.85	63.89
C2CD4D	4.28	1.31	0.83	1.2	0.0	4.82	0.83	1.79	2.61	5.19	2.12	0.95	8.92	1.23	2.71	37.05	47.84	29.91	37.32	23.93	36.53	15.45	71.0	33.54	23.93	38.12	49.91	21.63	73.03	38.95	12.45	26.47	43.94	14.78	19.25	27.64	43.63	67.59	106.63	8.19	26.86	56.28	32.82	12.0	12.55	18.84	5.5	8.65	20.26	21.94	7.46	7.69	22.43	15.8	11.04	11.04	28.45	25.91	25.35	31.67	33.3	10.16	18.56	16.63	6.31	34.51	38.95	27.44	15.56	23.59	24.46	29.91
CAPN15	195.72	143.01	88.88	136.19	163.28	163.28	185.11	149.12	153.34	191.67	180.02	171.45	177.53	189.02	156.59	591.22	493.56	476.71	486.75	518.15	579.04	353.59	514.56	426.57	325.29	587.13	713.11	334.46	525.39	571.05	381.68	679.29	748.61	171.45	291.04	514.56	438.59	521.76	603.67	348.71	536.45	529.06	307.69	232.94	406.31	343.89	297.17	123.5	447.82	236.21	127.0	301.33	392.44	323.03	215.77	202.66	346.29	242.88	318.57	414.87	647.07	275.28	356.05	242.88	483.38	264.03	275.28	339.14	384.34	397.93	236.21	339.14
CARM1	507.46	423.61	387.02	447.82	426.57	483.38	463.65	470.14	454.09	384.34	215.77	249.73	237.86	356.05	392.44	780.44	813.63	813.63	693.58	738.29	723.08	642.59	713.11	813.63	825.0	808.0	934.76	723.08	825.0	796.86	753.83	928.3	866.07	521.76	665.29	780.44	698.41	854.13	769.69	718.08	698.41	748.61	629.35	514.56	674.59	688.78	612.11	463.65	759.08	536.45	647.07	660.68	748.61	638.15	543.96	525.39	674.59	599.49	551.56	669.92	665.29	559.28	785.88	629.35	830.75	579.04	629.35	571.05	612.11	728.11	575.03	748.61
CCDC9	249.73	285.03	152.28	145.02	229.72	201.25	265.87	186.4	159.9	212.78	172.65	125.24	111.21	180.02	122.64	669.92	713.11	540.19	490.14	1250.98	656.11	688.78	738.29	575.03	915.51	872.1	753.83	808.0	571.05	454.09	571.05	769.69	842.36	412.0	759.08	567.1	669.92	775.05	802.41	688.78	748.61	656.11	409.15	460.44	551.56	466.88	384.34	260.38	529.06	376.41	819.3	521.76	642.59	591.22	543.96	397.93	633.73	412.0	674.59	406.31	825.0	514.56	543.96	612.11	1583.71	612.11	674.59	674.59	543.96	525.39	743.43	567.1
CHERP	339.14	297.17	228.13	244.57	267.73	301.33	289.02	336.79	269.6	323.03	212.78	205.5	87.03	223.41	239.52	854.13	825.0	769.69	665.29	708.18	723.08	587.13	808.0	819.3	769.69	872.1	890.44	713.11	738.29	796.86	1030.12	884.29	928.3	473.41	638.15	723.08	688.78	698.41	981.29	723.08	759.08	796.86	457.25	583.07	612.11	521.76	423.61	279.14	679.29	389.72	555.41	603.67	665.29	603.67	460.44	397.93	698.41	521.76	629.35	629.35	693.58	514.56	647.07	583.07	616.37	480.04	525.39	693.58	587.13	791.35	438.59	480.04
CHPF2	361.04	191.67	204.07	191.67	273.37	236.21	260.38	161.02	164.42	260.38	414.87	412.0	161.02	373.81	287.01	1008.9	1030.12	679.29	947.83	1001.93	860.08	638.15	813.63	1151.06	728.11	796.86	1015.93	567.1	718.08	934.76	551.56	819.3	896.64	500.46	665.29	651.58	351.14	693.58	961.07	470.14	665.29	808.0	507.46	466.88	555.41	599.49	429.54	379.04	624.99	497.0	543.96	483.38	591.22	575.03	454.09	547.75	616.37	563.18	521.76	587.13	669.92	503.95	447.82	473.41	981.29	665.29	547.75	674.59	603.67	473.41	432.53	723.08
CLN6	320.8	283.05	307.69	361.04	309.83	353.59	341.51	299.25	283.05	414.87	327.56	248.0	872.1	376.41	332.14	738.29	595.34	713.11	612.11	620.67	563.18	514.56	503.95	674.59	536.45	551.56	684.02	579.04	669.92	780.44	665.29	813.63	808.0	361.04	400.71	679.29	748.61	651.58	688.78	480.04	551.56	457.25	429.54	368.65	406.31	514.56	358.54	295.11	571.05	341.51	470.14	376.41	412.0	587.13	450.94	334.46	514.56	371.22	551.56	551.56	890.44	392.44	435.55	414.87	435.55	500.46	514.56	414.87	532.74	665.29	441.64	412.0
CRTC1	120.94	110.43	94.01	100.83	103.69	117.6	130.6	105.89	99.43	135.24	197.09	96.68	52.82	87.65	72.01	307.69	323.03	297.17	246.28	283.05	255.0	217.27	265.87	353.59	255.0	277.2	271.48	236.21	332.14	271.48	336.79	327.56	438.59	153.34	226.54	265.87	246.28	301.33	291.04	301.33	271.48	258.57	202.66	194.36	208.38	215.77	186.4	112.77	253.23	157.68	175.07	267.73	273.37	208.38	142.01	175.07	329.84	165.57	236.21	262.2	366.09	246.28	295.11	253.23	204.07	221.86	264.03	269.6	299.25	395.18	223.41	265.87
CSNK1D	1697.45	1551.09	1304.15	1359.57	1498.22	1477.58	1427.22	1447.15	1674.06	1277.29	1427.22	1529.73	223.41	1467.37	1417.35	3325.99	3589.58	3103.19	2303.12	4512.4	2468.49	2956.17	3639.7	3146.52	3303.0	4481.23	3168.41	2976.74	3515.68	3168.41	3467.27	3639.7	3768.09	2573.36	3820.7	2664.15	2777.33	3039.3	4298.64	2855.44	3257.52	2997.45	2777.33	2555.58	2777.33	2591.27	2434.5	1397.83	2434.5	2434.5	2502.97	2976.74	3280.18	3564.78	2485.67	2335.28	2739.08	2627.46	2796.65	2502.97	4607.24	2384.37	2209.26	2835.7	3982.99	2915.45	2609.3	3060.45	2451.44	2520.38	3039.3	2739.08
DDX27	497.0	514.56	267.73	351.14	447.82	454.09	438.59	454.09	332.14	470.14	237.86	229.72	66.18	346.29	339.14	848.22	825.0	825.0	769.69	896.64	769.69	896.64	909.17	753.83	954.43	1081.39	791.35	854.13	791.35	759.08	785.88	1023.0	802.41	595.34	878.17	808.0	688.78	884.29	1059.11	796.86	796.86	825.0	612.11	698.41	748.61	629.35	583.07	403.5	703.28	529.06	684.02	660.68	842.36	848.22	785.88	607.87	679.29	848.22	890.44	753.83	1159.07	769.69	698.41	587.13	836.53	753.83	780.44	808.0	629.35	587.13	995.0	753.83
DDX51	134.3	161.02	92.7	88.26	167.9	151.22	159.9	134.3	119.26	127.0	99.43	102.25	91.41	123.5	93.35	353.59	329.84	525.39	283.05	366.09	363.56	389.72	339.14	363.56	514.56	426.57	511.0	397.93	376.41	329.84	400.71	423.61	450.94	197.09	256.78	303.44	320.8	406.31	397.93	318.57	358.54	334.46	220.32	236.21	255.0	255.0	183.82	123.5	299.25	127.0	281.09	242.88	318.57	361.04	289.02	189.02	339.14	223.41	267.73	293.07	307.69	267.73	325.29	217.27	343.89	218.79	231.32	316.37	299.25	314.17	242.88	229.72
DHX30	532.74	529.06	373.81	400.71	493.56	563.18	543.96	497.0	409.15	432.53	305.55	356.05	656.11	503.95	420.68	660.68	1151.06	1268.46	1066.48	1081.39	1111.82	1059.11	1175.27	1242.34	1191.69	941.27	842.36	1008.9	1096.5	1119.56	1001.93	1407.55	1216.75	796.86	872.1	1030.12	954.43	1015.93	1487.87	1127.35	1088.92	981.29	866.07	902.89	941.27	947.83	848.22	567.1	1037.29	693.58	890.44	909.17	1066.48	921.88	878.17	769.69	928.3	941.27	921.88	967.76	1250.98	921.88	902.89	802.41	1073.91	928.3	915.51	981.29	1088.92	954.43	769.69	902.89
DHX34	73.54	59.97	51.35	56.28	59.97	67.12	60.39	100.13	63.45	105.15	76.17	59.13	10.71	60.39	68.07	303.44	236.21	400.71	264.03	366.09	256.78	307.69	262.2	273.37	281.09	339.14	403.5	267.73	307.69	273.37	271.48	480.04	420.68	120.94	152.28	229.72	346.29	320.8	329.84	271.48	314.17	285.03	171.45	164.42	236.21	209.84	178.77	111.21	256.78	158.79	193.01	185.11	246.28	229.72	172.65	162.14	262.2	144.01	215.77	231.32	403.5	186.4	262.2	220.32	356.05	150.17	201.25	173.85	228.13	295.11	189.02	187.71
DHX37	98.73	102.97	65.72	73.54	90.77	101.54	111.21	84.63	76.17	89.51	59.97	74.58	29.48	73.03	63.89	231.32	204.07	178.77	164.42	237.86	197.09	224.97	175.07	223.41	217.27	194.36	220.32	156.59	144.01	180.02	193.01	291.04	199.85	108.9	144.01	159.9	109.66	185.11	220.32	157.68	195.72	121.79	132.44	119.26	189.02	153.34	119.26	67.12	141.02	88.26	124.37	141.02	158.79	199.85	125.24	125.24	202.66	149.12	150.17	141.02	249.73	112.77	115.16	125.24	267.73	164.42	163.28	151.22	141.02	163.28	129.69	171.45
DKC1	460.44	470.14	356.05	389.72	454.09	547.75	444.72	470.14	387.02	555.41	275.28	387.02	104.42	536.45	490.14	1322.37	796.86	981.29	759.08	1037.29	1066.48	961.07	785.88	967.76	921.88	954.43	1044.52	743.43	775.05	981.29	842.36	1066.48	1225.22	764.36	764.36	1135.2	866.07	890.44	1295.13	688.78	743.43	642.59	718.08	796.86	791.35	791.35	713.11	665.29	708.18	743.43	555.41	703.28	698.41	780.44	718.08	718.08	748.61	1023.0	629.35	909.17	954.43	785.88	884.29	728.11	1037.29	674.59	647.07	698.41	555.41	540.19	603.67	708.18
DVL1	348.71	387.02	218.79	214.27	473.41	384.34	460.44	373.81	236.21	264.03	211.31	142.01	152.28	373.81	215.77	1286.18	878.17	1088.92	884.29	854.13	1259.69	878.17	1127.35	1051.79	902.89	1015.93	1369.04	866.07	1088.92	1088.92	1015.93	1216.75	1561.89	438.59	599.49	1023.0	1397.83	1066.48	1529.73	1066.48	1023.0	1119.56	656.11	503.95	688.78	656.11	603.67	307.69	791.35	507.46	583.07	684.02	902.89	688.78	547.75	348.71	764.36	525.39	595.34	579.04	684.02	397.93	660.68	684.02	728.11	587.13	583.07	708.18	607.87	947.83	703.28	612.11
EIF3B	1794.29	1909.85	1857.6	1709.26	1909.85	2335.28	2148.82	1769.57	1662.49	1870.53	1674.06	1709.26	454.09	1159.07	1225.22	3716.2	2520.38	2701.35	2335.28	3443.31	2645.74	2758.13	2367.9	2915.45	2777.33	2573.36	3716.2	2468.49	2591.27	3060.45	2739.08	3018.3	3540.14	2133.97	2119.22	3235.01	3419.52	2997.45	3168.41	2537.92	2193.99	2193.99	1508.65	1639.59	1721.16	1857.6	1540.37	1127.35	2335.28	1331.57	2434.5	1883.54	1963.57	2271.4	2018.8	1674.06	2224.63	1991.0	2384.37	2303.12	2468.49	1883.54	1651.0	1561.89	3639.7	2287.2	2075.59	2520.38	1781.89	1909.85	1447.15	2148.82
EIF4G1	3018.3	3639.7	2520.38	2701.35	4268.94	2645.74	3467.27	2209.26	2895.31	2935.74	5555.65	5403.7	679.29	1733.13	1651.0	6607.01	5329.3	5633.22	5594.3	6164.49	5112.16	4481.23	5791.62	6207.38	4836.35	5441.3	6699.25	4268.94	4736.79	6652.97	5041.77	6337.83	6079.61	4152.18	5831.91	5112.16	4512.4	5041.77	5594.3	5219.6	4575.41	4903.87	3443.31	3901.01	4328.55	4010.71	2855.44	1529.73	5219.6	2417.67	4152.18	4481.23	4736.79	5076.84	3349.13	3928.15	4095.0	4937.99	4769.75	5041.77	5791.62	4836.35	3491.39	3901.01	5292.48	5183.54	4836.35	5292.48	4419.52	3820.7	4010.71	4512.4
FBRSL1	423.61	387.02	255.0	366.09	346.29	361.04	346.29	441.64	271.48	299.25	249.73	265.87	161.02	264.03	249.73	1447.15	1295.13	1388.16	1268.46	1551.09	1167.14	1143.1	1322.37	1447.15	1127.35	1250.98	1397.83	1073.91	1529.73	1936.53	1096.5	2163.77	1883.54	723.08	866.07	1388.16	934.76	1037.29	1923.14	1225.22	1104.13	1286.18	842.36	583.07	775.05	836.53	961.07	447.82	1208.34	629.35	825.0	941.27	1407.55	921.88	651.58	785.88	1268.46	733.19	1015.93	764.36	1519.15	669.92	872.1	1051.79	1437.15	890.44	1369.04	1259.69	1008.9	1159.07	872.1	928.3
FBXO46	131.51	140.04	82.29	110.43	95.34	132.44	94.67	187.71	109.66	153.34	91.41	96.68	31.9	91.41	105.89	264.03	291.04	409.15	329.84	279.14	339.14	299.25	281.09	463.65	275.28	297.17	371.22	232.94	305.55	371.22	316.37	341.51	450.94	172.65	189.02	395.18	256.78	314.17	389.72	341.51	303.44	217.27	199.85	260.38	246.28	255.0	198.47	146.03	343.89	170.25	185.11	226.54	260.38	218.79	162.14	265.87	339.14	143.01	218.79	229.72	283.05	220.32	417.77	318.57	193.01	218.79	239.52	187.71	248.0	339.14	169.07	211.31
FBXW9	95.34	68.07	37.59	41.52	76.71	84.63	70.01	84.04	53.19	105.15	72.01	60.82	197.09	135.24	101.54	325.29	409.15	392.44	314.17	395.18	363.56	351.14	309.83	351.14	325.29	301.33	483.38	316.37	351.14	454.09	289.02	309.83	379.04	176.29	212.78	353.59	571.05	389.72	381.68	332.14	323.03	205.5	273.37	277.2	206.94	309.83	241.19	297.17	275.28	248.0	265.87	220.32	236.21	197.09	283.05	175.07	358.54	226.54	307.69	301.33	463.65	221.86	202.66	256.78	241.19	325.29	334.46	145.02	336.79	371.22	218.79	289.02
FOXP4	503.95	665.29	381.68	447.82	629.35	511.0	587.13	503.95	555.41	470.14	368.65	329.84	61.25	249.73	358.54	1259.69	1313.23	1096.5	896.64	1457.23	842.36	616.37	947.83	1268.46	1015.93	1081.39	988.12	928.3	974.5	1030.12	872.1	1199.98	1216.75	693.58	1001.93	967.76	890.44	934.76	934.76	921.88	738.29	928.3	698.41	728.11	854.13	796.86	679.29	379.04	842.36	595.34	909.17	921.88	1119.56	693.58	529.06	660.68	698.41	633.73	836.53	733.19	1127.35	575.03	802.41	941.27	708.18	753.83	884.29	921.88	733.19	651.58	703.28	684.02
GAK	624.99	500.46	497.0	460.44	518.15	669.92	660.68	583.07	529.06	563.18	473.41	325.29	473.41	647.07	660.68	2520.38	1870.53	2047.0	1963.57	2047.0	1685.71	1781.89	1674.06	1709.26	1794.29	1896.65	2400.97	1583.71	2224.63	2739.08	1819.35	2090.03	1936.53	743.43	1477.58	1651.0	2468.49	1883.54	1806.78	2255.7	1870.53	2104.58	1369.04	1225.22	1295.13	1159.07	934.76	642.59	2104.58	954.43	1322.37	1529.73	1628.26	1143.1	988.12	825.0	1529.73	915.51	1322.37	1331.57	1857.6	1059.11	1233.75	1437.15	1457.23	1350.18	1175.27	1477.58	1304.15	2209.26	1233.75	1369.04
